,address1,address2,city,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,fiveYearAvgDividendYield,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,ICBC Tower,Room 808 3 Garden Road,Central,Hong Kong,852 2509 3228,852 2509 9028,https://www.fosun.com,Conglomerates,Industrials,"Fosun International Limited operates in the health, happiness, wealth, and intelligent manufacturing sectors in Mainland China, Portugal, and internationally. It operates through five segments: Health, Happiness, Insurance, Asset Management, and Intelligent Manufacturing. The Health segment engages in the research, development, manufacture, sale, and trading of pharmaceutical, biopharmaceutical, and health products; and provision of medical and health management services. The Happiness segment operates and invests in tourism and leisure, fashion consumer, and lifestyle industries. The Insurance segment operates and invests in the insurance business. The Asset Management segment engages in the asset management and market investments activities. The Intelligent Manufacturing segment operates and invests in the intelligent manufacturing business; and produces iron and steel ore. It is also involved in the capital investment and management, property development, retail, and reinsurance businesses; sale of iron and steel products; retail of jewelry; manufacturing and trading of dairy products; and provision of banking and financial, and medical consultation services, as well as digital and intelligent solutions. The company was founded in 1992 and is based in Central, Hong Kong. Fosun International Limited operates as a subsidiary of Fosun Holdings Limited.",108000,"{'maxAge': 1, 'name': 'Mr. Qunbin  Wang', 'age': 52, 'title': 'Exec. Co-Chairman', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 4850395, 'exercisedValue': 0, 'unexercisedValue': 0}",4,7,9,8,10,1693526400,1672444800,86400,3,4.81,4.85,4.75,4.87,4.81,4.85,4.75,4.87,0.01,0.0029,1686700800,3.5,1.038663,5.2258067,5413049,5413049,2554482,2662306,2662306,4.84,4.86,0,0,39997997056,4.59,7.87,0.21631248,5.1922,5.89185,0.012,0.0024948025,HKD,182438232064,-0.00207,2150117718,8230040064,0.73954004,0.046550002,15.313,0.31737742,1672444800,1703980800,1688083200,-0.496,-384435008,-0.04,0.93,0.987,95.711,HKG,EQUITY,0656.HK,0656.HK,FOSUN INTL,Fosun International Limited,1184549400,Asia/Hong_Kong,HKT,28800000,4.86,11.63,6.03,8.85,9.23,1.9,buy,8,171859951616,21.013,1906139520,234425188352,1.721,2.894,184908414976,114.15,22.53,-0.00365,0.02408,57380503000,-0.487,0.171,0.32501,0.01031,-0.02664,CNY,
1,ICBC Tower,Room 808 3 Garden Road,Central,Hong Kong,852 2509 3228,852 2509 9028,https://www.fosun.com,Conglomerates,Industrials,"Fosun International Limited operates in the health, happiness, wealth, and intelligent manufacturing sectors in Mainland China, Portugal, and internationally. It operates through five segments: Health, Happiness, Insurance, Asset Management, and Intelligent Manufacturing. The Health segment engages in the research, development, manufacture, sale, and trading of pharmaceutical, biopharmaceutical, and health products; and provision of medical and health management services. The Happiness segment operates and invests in tourism and leisure, fashion consumer, and lifestyle industries. The Insurance segment operates and invests in the insurance business. The Asset Management segment engages in the asset management and market investments activities. The Intelligent Manufacturing segment operates and invests in the intelligent manufacturing business; and produces iron and steel ore. It is also involved in the capital investment and management, property development, retail, and reinsurance businesses; sale of iron and steel products; retail of jewelry; manufacturing and trading of dairy products; and provision of banking and financial, and medical consultation services, as well as digital and intelligent solutions. The company was founded in 1992 and is based in Central, Hong Kong. Fosun International Limited operates as a subsidiary of Fosun Holdings Limited.",108000,"{'maxAge': 1, 'name': 'Mr. Guangchang  Guo', 'age': 55, 'title': 'Exec. Chairman', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 5015872, 'exercisedValue': 0, 'unexercisedValue': 0}",4,7,9,8,10,1693526400,1672444800,86400,3,4.81,4.85,4.75,4.87,4.81,4.85,4.75,4.87,0.01,0.0029,1686700800,3.5,1.038663,5.2258067,5413049,5413049,2554482,2662306,2662306,4.84,4.86,0,0,39997997056,4.59,7.87,0.21631248,5.1922,5.89185,0.012,0.0024948025,HKD,182438232064,-0.00207,2150117718,8230040064,0.73954004,0.046550002,15.313,0.31737742,1672444800,1703980800,1688083200,-0.496,-384435008,-0.04,0.93,0.987,95.711,HKG,EQUITY,0656.HK,0656.HK,FOSUN INTL,Fosun International Limited,1184549400,Asia/Hong_Kong,HKT,28800000,4.86,11.63,6.03,8.85,9.23,1.9,buy,8,171859951616,21.013,1906139520,234425188352,1.721,2.894,184908414976,114.15,22.53,-0.00365,0.02408,57380503000,-0.487,0.171,0.32501,0.01031,-0.02664,CNY,
2,ICBC Tower,Room 808 3 Garden Road,Central,Hong Kong,852 2509 3228,852 2509 9028,https://www.fosun.com,Conglomerates,Industrials,"Fosun International Limited operates in the health, happiness, wealth, and intelligent manufacturing sectors in Mainland China, Portugal, and internationally. It operates through five segments: Health, Happiness, Insurance, Asset Management, and Intelligent Manufacturing. The Health segment engages in the research, development, manufacture, sale, and trading of pharmaceutical, biopharmaceutical, and health products; and provision of medical and health management services. The Happiness segment operates and invests in tourism and leisure, fashion consumer, and lifestyle industries. The Insurance segment operates and invests in the insurance business. The Asset Management segment engages in the asset management and market investments activities. The Intelligent Manufacturing segment operates and invests in the intelligent manufacturing business; and produces iron and steel ore. It is also involved in the capital investment and management, property development, retail, and reinsurance businesses; sale of iron and steel products; retail of jewelry; manufacturing and trading of dairy products; and provision of banking and financial, and medical consultation services, as well as digital and intelligent solutions. The company was founded in 1992 and is based in Central, Hong Kong. Fosun International Limited operates as a subsidiary of Fosun Holdings Limited.",108000,"{'maxAge': 1, 'name': 'Mr. Qiyu  Chen', 'age': 50, 'title': 'Co-CEO & Exec. Director', 'yearBorn': 1972, 'fiscalYear': 2022, 'totalPay': 4231640, 'exercisedValue': 0, 'unexercisedValue': 0}",4,7,9,8,10,1693526400,1672444800,86400,3,4.81,4.85,4.75,4.87,4.81,4.85,4.75,4.87,0.01,0.0029,1686700800,3.5,1.038663,5.2258067,5413049,5413049,2554482,2662306,2662306,4.84,4.86,0,0,39997997056,4.59,7.87,0.21631248,5.1922,5.89185,0.012,0.0024948025,HKD,182438232064,-0.00207,2150117718,8230040064,0.73954004,0.046550002,15.313,0.31737742,1672444800,1703980800,1688083200,-0.496,-384435008,-0.04,0.93,0.987,95.711,HKG,EQUITY,0656.HK,0656.HK,FOSUN INTL,Fosun International Limited,1184549400,Asia/Hong_Kong,HKT,28800000,4.86,11.63,6.03,8.85,9.23,1.9,buy,8,171859951616,21.013,1906139520,234425188352,1.721,2.894,184908414976,114.15,22.53,-0.00365,0.02408,57380503000,-0.487,0.171,0.32501,0.01031,-0.02664,CNY,
3,ICBC Tower,Room 808 3 Garden Road,Central,Hong Kong,852 2509 3228,852 2509 9028,https://www.fosun.com,Conglomerates,Industrials,"Fosun International Limited operates in the health, happiness, wealth, and intelligent manufacturing sectors in Mainland China, Portugal, and internationally. It operates through five segments: Health, Happiness, Insurance, Asset Management, and Intelligent Manufacturing. The Health segment engages in the research, development, manufacture, sale, and trading of pharmaceutical, biopharmaceutical, and health products; and provision of medical and health management services. The Happiness segment operates and invests in tourism and leisure, fashion consumer, and lifestyle industries. The Insurance segment operates and invests in the insurance business. The Asset Management segment engages in the asset management and market investments activities. The Intelligent Manufacturing segment operates and invests in the intelligent manufacturing business; and produces iron and steel ore. It is also involved in the capital investment and management, property development, retail, and reinsurance businesses; sale of iron and steel products; retail of jewelry; manufacturing and trading of dairy products; and provision of banking and financial, and medical consultation services, as well as digital and intelligent solutions. The company was founded in 1992 and is based in Central, Hong Kong. Fosun International Limited operates as a subsidiary of Fosun Holdings Limited.",108000,"{'maxAge': 1, 'name': 'Mr. Xiaoliang  Xu', 'age': 49, 'title': 'Co-CEO & Exec. Director', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 4412098, 'exercisedValue': 0, 'unexercisedValue': 0}",4,7,9,8,10,1693526400,1672444800,86400,3,4.81,4.85,4.75,4.87,4.81,4.85,4.75,4.87,0.01,0.0029,1686700800,3.5,1.038663,5.2258067,5413049,5413049,2554482,2662306,2662306,4.84,4.86,0,0,39997997056,4.59,7.87,0.21631248,5.1922,5.89185,0.012,0.0024948025,HKD,182438232064,-0.00207,2150117718,8230040064,0.73954004,0.046550002,15.313,0.31737742,1672444800,1703980800,1688083200,-0.496,-384435008,-0.04,0.93,0.987,95.711,HKG,EQUITY,0656.HK,0656.HK,FOSUN INTL,Fosun International Limited,1184549400,Asia/Hong_Kong,HKT,28800000,4.86,11.63,6.03,8.85,9.23,1.9,buy,8,171859951616,21.013,1906139520,234425188352,1.721,2.894,184908414976,114.15,22.53,-0.00365,0.02408,57380503000,-0.487,0.171,0.32501,0.01031,-0.02664,CNY,
4,ICBC Tower,Room 808 3 Garden Road,Central,Hong Kong,852 2509 3228,852 2509 9028,https://www.fosun.com,Conglomerates,Industrials,"Fosun International Limited operates in the health, happiness, wealth, and intelligent manufacturing sectors in Mainland China, Portugal, and internationally. It operates through five segments: Health, Happiness, Insurance, Asset Management, and Intelligent Manufacturing. The Health segment engages in the research, development, manufacture, sale, and trading of pharmaceutical, biopharmaceutical, and health products; and provision of medical and health management services. The Happiness segment operates and invests in tourism and leisure, fashion consumer, and lifestyle industries. The Insurance segment operates and invests in the insurance business. The Asset Management segment engages in the asset management and market investments activities. The Intelligent Manufacturing segment operates and invests in the intelligent manufacturing business; and produces iron and steel ore. It is also involved in the capital investment and management, property development, retail, and reinsurance businesses; sale of iron and steel products; retail of jewelry; manufacturing and trading of dairy products; and provision of banking and financial, and medical consultation services, as well as digital and intelligent solutions. The company was founded in 1992 and is based in Central, Hong Kong. Fosun International Limited operates as a subsidiary of Fosun Holdings Limited.",108000,"{'maxAge': 1, 'name': 'Mr. Ping  Gong', 'age': 47, 'title': 'Sr. VP, CFO & Exec. Director', 'yearBorn': 1975, 'fiscalYear': 2022, 'totalPay': 1651341, 'exercisedValue': 0, 'unexercisedValue': 0}",4,7,9,8,10,1693526400,1672444800,86400,3,4.81,4.85,4.75,4.87,4.81,4.85,4.75,4.87,0.01,0.0029,1686700800,3.5,1.038663,5.2258067,5413049,5413049,2554482,2662306,2662306,4.84,4.86,0,0,39997997056,4.59,7.87,0.21631248,5.1922,5.89185,0.012,0.0024948025,HKD,182438232064,-0.00207,2150117718,8230040064,0.73954004,0.046550002,15.313,0.31737742,1672444800,1703980800,1688083200,-0.496,-384435008,-0.04,0.93,0.987,95.711,HKG,EQUITY,0656.HK,0656.HK,FOSUN INTL,Fosun International Limited,1184549400,Asia/Hong_Kong,HKT,28800000,4.86,11.63,6.03,8.85,9.23,1.9,buy,8,171859951616,21.013,1906139520,234425188352,1.721,2.894,184908414976,114.15,22.53,-0.00365,0.02408,57380503000,-0.487,0.171,0.32501,0.01031,-0.02664,CNY,
5,ICBC Tower,Room 808 3 Garden Road,Central,Hong Kong,852 2509 3228,852 2509 9028,https://www.fosun.com,Conglomerates,Industrials,"Fosun International Limited operates in the health, happiness, wealth, and intelligent manufacturing sectors in Mainland China, Portugal, and internationally. It operates through five segments: Health, Happiness, Insurance, Asset Management, and Intelligent Manufacturing. The Health segment engages in the research, development, manufacture, sale, and trading of pharmaceutical, biopharmaceutical, and health products; and provision of medical and health management services. The Happiness segment operates and invests in tourism and leisure, fashion consumer, and lifestyle industries. The Insurance segment operates and invests in the insurance business. The Asset Management segment engages in the asset management and market investments activities. The Intelligent Manufacturing segment operates and invests in the intelligent manufacturing business; and produces iron and steel ore. It is also involved in the capital investment and management, property development, retail, and reinsurance businesses; sale of iron and steel products; retail of jewelry; manufacturing and trading of dairy products; and provision of banking and financial, and medical consultation services, as well as digital and intelligent solutions. The company was founded in 1992 and is based in Central, Hong Kong. Fosun International Limited operates as a subsidiary of Fosun Holdings Limited.",108000,"{'maxAge': 1, 'name': 'Mr. Zhen  Huang', 'age': 51, 'title': 'Exec. Director', 'yearBorn': 1971, 'fiscalYear': 2022, 'totalPay': 1231737, 'exercisedValue': 0, 'unexercisedValue': 0}",4,7,9,8,10,1693526400,1672444800,86400,3,4.81,4.85,4.75,4.87,4.81,4.85,4.75,4.87,0.01,0.0029,1686700800,3.5,1.038663,5.2258067,5413049,5413049,2554482,2662306,2662306,4.84,4.86,0,0,39997997056,4.59,7.87,0.21631248,5.1922,5.89185,0.012,0.0024948025,HKD,182438232064,-0.00207,2150117718,8230040064,0.73954004,0.046550002,15.313,0.31737742,1672444800,1703980800,1688083200,-0.496,-384435008,-0.04,0.93,0.987,95.711,HKG,EQUITY,0656.HK,0656.HK,FOSUN INTL,Fosun International Limited,1184549400,Asia/Hong_Kong,HKT,28800000,4.86,11.63,6.03,8.85,9.23,1.9,buy,8,171859951616,21.013,1906139520,234425188352,1.721,2.894,184908414976,114.15,22.53,-0.00365,0.02408,57380503000,-0.487,0.171,0.32501,0.01031,-0.02664,CNY,
6,ICBC Tower,Room 808 3 Garden Road,Central,Hong Kong,852 2509 3228,852 2509 9028,https://www.fosun.com,Conglomerates,Industrials,"Fosun International Limited operates in the health, happiness, wealth, and intelligent manufacturing sectors in Mainland China, Portugal, and internationally. It operates through five segments: Health, Happiness, Insurance, Asset Management, and Intelligent Manufacturing. The Health segment engages in the research, development, manufacture, sale, and trading of pharmaceutical, biopharmaceutical, and health products; and provision of medical and health management services. The Happiness segment operates and invests in tourism and leisure, fashion consumer, and lifestyle industries. The Insurance segment operates and invests in the insurance business. The Asset Management segment engages in the asset management and market investments activities. The Intelligent Manufacturing segment operates and invests in the intelligent manufacturing business; and produces iron and steel ore. It is also involved in the capital investment and management, property development, retail, and reinsurance businesses; sale of iron and steel products; retail of jewelry; manufacturing and trading of dairy products; and provision of banking and financial, and medical consultation services, as well as digital and intelligent solutions. The company was founded in 1992 and is based in Central, Hong Kong. Fosun International Limited operates as a subsidiary of Fosun Holdings Limited.",108000,"{'maxAge': 1, 'name': 'Mr. Shunjiang  Qian', 'age': 58, 'title': 'Co-Chief Financial Officer', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",4,7,9,8,10,1693526400,1672444800,86400,3,4.81,4.85,4.75,4.87,4.81,4.85,4.75,4.87,0.01,0.0029,1686700800,3.5,1.038663,5.2258067,5413049,5413049,2554482,2662306,2662306,4.84,4.86,0,0,39997997056,4.59,7.87,0.21631248,5.1922,5.89185,0.012,0.0024948025,HKD,182438232064,-0.00207,2150117718,8230040064,0.73954004,0.046550002,15.313,0.31737742,1672444800,1703980800,1688083200,-0.496,-384435008,-0.04,0.93,0.987,95.711,HKG,EQUITY,0656.HK,0656.HK,FOSUN INTL,Fosun International Limited,1184549400,Asia/Hong_Kong,HKT,28800000,4.86,11.63,6.03,8.85,9.23,1.9,buy,8,171859951616,21.013,1906139520,234425188352,1.721,2.894,184908414976,114.15,22.53,-0.00365,0.02408,57380503000,-0.487,0.171,0.32501,0.01031,-0.02664,CNY,
7,ICBC Tower,Room 808 3 Garden Road,Central,Hong Kong,852 2509 3228,852 2509 9028,https://www.fosun.com,Conglomerates,Industrials,"Fosun International Limited operates in the health, happiness, wealth, and intelligent manufacturing sectors in Mainland China, Portugal, and internationally. It operates through five segments: Health, Happiness, Insurance, Asset Management, and Intelligent Manufacturing. The Health segment engages in the research, development, manufacture, sale, and trading of pharmaceutical, biopharmaceutical, and health products; and provision of medical and health management services. The Happiness segment operates and invests in tourism and leisure, fashion consumer, and lifestyle industries. The Insurance segment operates and invests in the insurance business. The Asset Management segment engages in the asset management and market investments activities. The Intelligent Manufacturing segment operates and invests in the intelligent manufacturing business; and produces iron and steel ore. It is also involved in the capital investment and management, property development, retail, and reinsurance businesses; sale of iron and steel products; retail of jewelry; manufacturing and trading of dairy products; and provision of banking and financial, and medical consultation services, as well as digital and intelligent solutions. The company was founded in 1992 and is based in Central, Hong Kong. Fosun International Limited operates as a subsidiary of Fosun Holdings Limited.",108000,"{'maxAge': 1, 'name': 'Mr. Bin  Tang', 'age': 51, 'title': 'Chief Investment Officer', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",4,7,9,8,10,1693526400,1672444800,86400,3,4.81,4.85,4.75,4.87,4.81,4.85,4.75,4.87,0.01,0.0029,1686700800,3.5,1.038663,5.2258067,5413049,5413049,2554482,2662306,2662306,4.84,4.86,0,0,39997997056,4.59,7.87,0.21631248,5.1922,5.89185,0.012,0.0024948025,HKD,182438232064,-0.00207,2150117718,8230040064,0.73954004,0.046550002,15.313,0.31737742,1672444800,1703980800,1688083200,-0.496,-384435008,-0.04,0.93,0.987,95.711,HKG,EQUITY,0656.HK,0656.HK,FOSUN INTL,Fosun International Limited,1184549400,Asia/Hong_Kong,HKT,28800000,4.86,11.63,6.03,8.85,9.23,1.9,buy,8,171859951616,21.013,1906139520,234425188352,1.721,2.894,184908414976,114.15,22.53,-0.00365,0.02408,57380503000,-0.487,0.171,0.32501,0.01031,-0.02664,CNY,
8,ICBC Tower,Room 808 3 Garden Road,Central,Hong Kong,852 2509 3228,852 2509 9028,https://www.fosun.com,Conglomerates,Industrials,"Fosun International Limited operates in the health, happiness, wealth, and intelligent manufacturing sectors in Mainland China, Portugal, and internationally. It operates through five segments: Health, Happiness, Insurance, Asset Management, and Intelligent Manufacturing. The Health segment engages in the research, development, manufacture, sale, and trading of pharmaceutical, biopharmaceutical, and health products; and provision of medical and health management services. The Happiness segment operates and invests in tourism and leisure, fashion consumer, and lifestyle industries. The Insurance segment operates and invests in the insurance business. The Asset Management segment engages in the asset management and market investments activities. The Intelligent Manufacturing segment operates and invests in the intelligent manufacturing business; and produces iron and steel ore. It is also involved in the capital investment and management, property development, retail, and reinsurance businesses; sale of iron and steel products; retail of jewelry; manufacturing and trading of dairy products; and provision of banking and financial, and medical consultation services, as well as digital and intelligent solutions. The company was founded in 1992 and is based in Central, Hong Kong. Fosun International Limited operates as a subsidiary of Fosun Holdings Limited.",108000,"{'maxAge': 1, 'name': 'Fan  Ruohan', 'title': 'Sr. Assistant to the Pres & CTO', 'exercisedValue': 0, 'unexercisedValue': 0}",4,7,9,8,10,1693526400,1672444800,86400,3,4.81,4.85,4.75,4.87,4.81,4.85,4.75,4.87,0.01,0.0029,1686700800,3.5,1.038663,5.2258067,5413049,5413049,2554482,2662306,2662306,4.84,4.86,0,0,39997997056,4.59,7.87,0.21631248,5.1922,5.89185,0.012,0.0024948025,HKD,182438232064,-0.00207,2150117718,8230040064,0.73954004,0.046550002,15.313,0.31737742,1672444800,1703980800,1688083200,-0.496,-384435008,-0.04,0.93,0.987,95.711,HKG,EQUITY,0656.HK,0656.HK,FOSUN INTL,Fosun International Limited,1184549400,Asia/Hong_Kong,HKT,28800000,4.86,11.63,6.03,8.85,9.23,1.9,buy,8,171859951616,21.013,1906139520,234425188352,1.721,2.894,184908414976,114.15,22.53,-0.00365,0.02408,57380503000,-0.487,0.171,0.32501,0.01031,-0.02664,CNY,
9,ICBC Tower,Room 808 3 Garden Road,Central,Hong Kong,852 2509 3228,852 2509 9028,https://www.fosun.com,Conglomerates,Industrials,"Fosun International Limited operates in the health, happiness, wealth, and intelligent manufacturing sectors in Mainland China, Portugal, and internationally. It operates through five segments: Health, Happiness, Insurance, Asset Management, and Intelligent Manufacturing. The Health segment engages in the research, development, manufacture, sale, and trading of pharmaceutical, biopharmaceutical, and health products; and provision of medical and health management services. The Happiness segment operates and invests in tourism and leisure, fashion consumer, and lifestyle industries. The Insurance segment operates and invests in the insurance business. The Asset Management segment engages in the asset management and market investments activities. The Intelligent Manufacturing segment operates and invests in the intelligent manufacturing business; and produces iron and steel ore. It is also involved in the capital investment and management, property development, retail, and reinsurance businesses; sale of iron and steel products; retail of jewelry; manufacturing and trading of dairy products; and provision of banking and financial, and medical consultation services, as well as digital and intelligent solutions. The company was founded in 1992 and is based in Central, Hong Kong. Fosun International Limited operates as a subsidiary of Fosun Holdings Limited.",108000,"{'maxAge': 1, 'name': 'Sun  Lu', 'title': 'Gen. Mang. of Capital Market and Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",4,7,9,8,10,1693526400,1672444800,86400,3,4.81,4.85,4.75,4.87,4.81,4.85,4.75,4.87,0.01,0.0029,1686700800,3.5,1.038663,5.2258067,5413049,5413049,2554482,2662306,2662306,4.84,4.86,0,0,39997997056,4.59,7.87,0.21631248,5.1922,5.89185,0.012,0.0024948025,HKD,182438232064,-0.00207,2150117718,8230040064,0.73954004,0.046550002,15.313,0.31737742,1672444800,1703980800,1688083200,-0.496,-384435008,-0.04,0.93,0.987,95.711,HKG,EQUITY,0656.HK,0656.HK,FOSUN INTL,Fosun International Limited,1184549400,Asia/Hong_Kong,HKT,28800000,4.86,11.63,6.03,8.85,9.23,1.9,buy,8,171859951616,21.013,1906139520,234425188352,1.721,2.894,184908414976,114.15,22.53,-0.00365,0.02408,57380503000,-0.487,0.171,0.32501,0.01031,-0.02664,CNY,
