,address1,address2,city,state,zip,country,phone,fax,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Lago Zurich 245,"Plaza Carso / Edificio Telcel, Piso 16 Colonia Ampliación Granada Miguel Hidalgo",Mexico City,DF,11529,Mexico,52 55 2581 3700,52 55 2581 4422,https://www.americamovil.com,Telecom Services,Telecom Services,Communication Services,Communication Services,"América Móvil, S.A.B. de C.V. provides telecommunications services in Latin America and internationally. The company offers wireless and fixed voice services, including airtime, local, domestic, and international long-distance services; and network interconnection services. It also provides data services, such as data centers, data administration, and hosting services to residential and corporate clients; value-added services, including Internet access, messaging and other wireless entertainment, and corporate services; data transmission, email services, instant messaging, content streaming, and interactive applications; and wireless security services, mobile payment solutions, machine-to-machine services, mobile banking, virtual private network services, and video calls and personal communications services. In addition, the company offers residential broadband services; IT solutions to small businesses and large corporations; and cable and satellite television subscriptions. Further, it sells equipment, accessories, and computers; and offers telephone directories, wireless security, call center, advertising, media, and software development services. Additionally, the company provides video, audio, and other media content through the Internet directly from the content provider to the end user. It sells its products and services under the Telcel, Telmex Infinitum, and A1 brands through a network of retailers and service centers to retail customers; and through sales force to corporate customers. América Móvil, S.A.B. de C.V. was incorporated in 2000 and is based in Mexico City, Mexico.",176014,"{'maxAge': 1, 'name': 'Lic. Daniel  Hajj Aboumrad', 'age': 56, 'title': 'CEO & Director', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,18.29,18.33,18.03,18.44,18.29,18.33,18.03,18.44,0.71,0.0392,1689206400,0.2978,2.44,0.277593,10.491329,10.67647,3191117,3191117,2078296,2893270,2893270,17.7,18.83,1400,1200,57261797376,16.13,23.07,0.06831416,19.8314,20.49735,0.0,0.0,USD,532261437440,0.10463,820557200,3147450112,8834884,4307750,1690761600,1693440000,0.0028,0.0,0.05762,3.19,3154919936,112.56,0.16124733,1672444800,1703980800,1688083200,94183071744,1.73,1.7,1.15,2:1,1309478400,0.635,1.863,0.08552635,0.14113986,0.269,1689206400,NYQ,EQUITY,AMX,AMX,"America Movil, S.A.B. de C.V.","América Móvil, S.A.B. de C.V.",981988200,America/New_York,EDT,49dedd4e-b492-3d17-943f-dfb022f26f2d,finmb_813607,-14400000,18.15,25.0,15.0,21.68,22.2,2.5,buy,12,32298319872,10.221,285724082176,446618501120,0.585,0.659,838212714496,107.289,265.36,0.06182,0.23014,355335161000,39630090240,218645561344,0.61567,0.34087002,0.1935,MXN,1.5082
1,Lago Zurich 245,"Plaza Carso / Edificio Telcel, Piso 16 Colonia Ampliación Granada Miguel Hidalgo",Mexico City,DF,11529,Mexico,52 55 2581 3700,52 55 2581 4422,https://www.americamovil.com,Telecom Services,Telecom Services,Communication Services,Communication Services,"América Móvil, S.A.B. de C.V. provides telecommunications services in Latin America and internationally. The company offers wireless and fixed voice services, including airtime, local, domestic, and international long-distance services; and network interconnection services. It also provides data services, such as data centers, data administration, and hosting services to residential and corporate clients; value-added services, including Internet access, messaging and other wireless entertainment, and corporate services; data transmission, email services, instant messaging, content streaming, and interactive applications; and wireless security services, mobile payment solutions, machine-to-machine services, mobile banking, virtual private network services, and video calls and personal communications services. In addition, the company offers residential broadband services; IT solutions to small businesses and large corporations; and cable and satellite television subscriptions. Further, it sells equipment, accessories, and computers; and offers telephone directories, wireless security, call center, advertising, media, and software development services. Additionally, the company provides video, audio, and other media content through the Internet directly from the content provider to the end user. It sells its products and services under the Telcel, Telmex Infinitum, and A1 brands through a network of retailers and service centers to retail customers; and through sales force to corporate customers. América Móvil, S.A.B. de C.V. was incorporated in 2000 and is based in Mexico City, Mexico.",176014,"{'maxAge': 1, 'name': 'Mr. Carlos Jose Garcia  Moreno Elizondo Ph.D.', 'age': 65, 'title': 'Chief Financial Officer', 'yearBorn': 1957, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,18.29,18.33,18.03,18.44,18.29,18.33,18.03,18.44,0.71,0.0392,1689206400,0.2978,2.44,0.277593,10.491329,10.67647,3191117,3191117,2078296,2893270,2893270,17.7,18.83,1400,1200,57261797376,16.13,23.07,0.06831416,19.8314,20.49735,0.0,0.0,USD,532261437440,0.10463,820557200,3147450112,8834884,4307750,1690761600,1693440000,0.0028,0.0,0.05762,3.19,3154919936,112.56,0.16124733,1672444800,1703980800,1688083200,94183071744,1.73,1.7,1.15,2:1,1309478400,0.635,1.863,0.08552635,0.14113986,0.269,1689206400,NYQ,EQUITY,AMX,AMX,"America Movil, S.A.B. de C.V.","América Móvil, S.A.B. de C.V.",981988200,America/New_York,EDT,49dedd4e-b492-3d17-943f-dfb022f26f2d,finmb_813607,-14400000,18.15,25.0,15.0,21.68,22.2,2.5,buy,12,32298319872,10.221,285724082176,446618501120,0.585,0.659,838212714496,107.289,265.36,0.06182,0.23014,355335161000,39630090240,218645561344,0.61567,0.34087002,0.1935,MXN,1.5082
2,Lago Zurich 245,"Plaza Carso / Edificio Telcel, Piso 16 Colonia Ampliación Granada Miguel Hidalgo",Mexico City,DF,11529,Mexico,52 55 2581 3700,52 55 2581 4422,https://www.americamovil.com,Telecom Services,Telecom Services,Communication Services,Communication Services,"América Móvil, S.A.B. de C.V. provides telecommunications services in Latin America and internationally. The company offers wireless and fixed voice services, including airtime, local, domestic, and international long-distance services; and network interconnection services. It also provides data services, such as data centers, data administration, and hosting services to residential and corporate clients; value-added services, including Internet access, messaging and other wireless entertainment, and corporate services; data transmission, email services, instant messaging, content streaming, and interactive applications; and wireless security services, mobile payment solutions, machine-to-machine services, mobile banking, virtual private network services, and video calls and personal communications services. In addition, the company offers residential broadband services; IT solutions to small businesses and large corporations; and cable and satellite television subscriptions. Further, it sells equipment, accessories, and computers; and offers telephone directories, wireless security, call center, advertising, media, and software development services. Additionally, the company provides video, audio, and other media content through the Internet directly from the content provider to the end user. It sells its products and services under the Telcel, Telmex Infinitum, and A1 brands through a network of retailers and service centers to retail customers; and through sales force to corporate customers. América Móvil, S.A.B. de C.V. was incorporated in 2000 and is based in Mexico City, Mexico.",176014,"{'maxAge': 1, 'name': 'Daniela  Lecuona Torras', 'age': 40, 'title': 'Head of Investor Relations', 'yearBorn': 1982, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,18.29,18.33,18.03,18.44,18.29,18.33,18.03,18.44,0.71,0.0392,1689206400,0.2978,2.44,0.277593,10.491329,10.67647,3191117,3191117,2078296,2893270,2893270,17.7,18.83,1400,1200,57261797376,16.13,23.07,0.06831416,19.8314,20.49735,0.0,0.0,USD,532261437440,0.10463,820557200,3147450112,8834884,4307750,1690761600,1693440000,0.0028,0.0,0.05762,3.19,3154919936,112.56,0.16124733,1672444800,1703980800,1688083200,94183071744,1.73,1.7,1.15,2:1,1309478400,0.635,1.863,0.08552635,0.14113986,0.269,1689206400,NYQ,EQUITY,AMX,AMX,"America Movil, S.A.B. de C.V.","América Móvil, S.A.B. de C.V.",981988200,America/New_York,EDT,49dedd4e-b492-3d17-943f-dfb022f26f2d,finmb_813607,-14400000,18.15,25.0,15.0,21.68,22.2,2.5,buy,12,32298319872,10.221,285724082176,446618501120,0.585,0.659,838212714496,107.289,265.36,0.06182,0.23014,355335161000,39630090240,218645561344,0.61567,0.34087002,0.1935,MXN,1.5082
3,Lago Zurich 245,"Plaza Carso / Edificio Telcel, Piso 16 Colonia Ampliación Granada Miguel Hidalgo",Mexico City,DF,11529,Mexico,52 55 2581 3700,52 55 2581 4422,https://www.americamovil.com,Telecom Services,Telecom Services,Communication Services,Communication Services,"América Móvil, S.A.B. de C.V. provides telecommunications services in Latin America and internationally. The company offers wireless and fixed voice services, including airtime, local, domestic, and international long-distance services; and network interconnection services. It also provides data services, such as data centers, data administration, and hosting services to residential and corporate clients; value-added services, including Internet access, messaging and other wireless entertainment, and corporate services; data transmission, email services, instant messaging, content streaming, and interactive applications; and wireless security services, mobile payment solutions, machine-to-machine services, mobile banking, virtual private network services, and video calls and personal communications services. In addition, the company offers residential broadband services; IT solutions to small businesses and large corporations; and cable and satellite television subscriptions. Further, it sells equipment, accessories, and computers; and offers telephone directories, wireless security, call center, advertising, media, and software development services. Additionally, the company provides video, audio, and other media content through the Internet directly from the content provider to the end user. It sells its products and services under the Telcel, Telmex Infinitum, and A1 brands through a network of retailers and service centers to retail customers; and through sales force to corporate customers. América Móvil, S.A.B. de C.V. was incorporated in 2000 and is based in Mexico City, Mexico.",176014,"{'maxAge': 1, 'name': 'Mr. J. D. Alejandro  Cantú Jiménez', 'age': 50, 'title': 'Gen. Counsel & Corp. Sec.', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,18.29,18.33,18.03,18.44,18.29,18.33,18.03,18.44,0.71,0.0392,1689206400,0.2978,2.44,0.277593,10.491329,10.67647,3191117,3191117,2078296,2893270,2893270,17.7,18.83,1400,1200,57261797376,16.13,23.07,0.06831416,19.8314,20.49735,0.0,0.0,USD,532261437440,0.10463,820557200,3147450112,8834884,4307750,1690761600,1693440000,0.0028,0.0,0.05762,3.19,3154919936,112.56,0.16124733,1672444800,1703980800,1688083200,94183071744,1.73,1.7,1.15,2:1,1309478400,0.635,1.863,0.08552635,0.14113986,0.269,1689206400,NYQ,EQUITY,AMX,AMX,"America Movil, S.A.B. de C.V.","América Móvil, S.A.B. de C.V.",981988200,America/New_York,EDT,49dedd4e-b492-3d17-943f-dfb022f26f2d,finmb_813607,-14400000,18.15,25.0,15.0,21.68,22.2,2.5,buy,12,32298319872,10.221,285724082176,446618501120,0.585,0.659,838212714496,107.289,265.36,0.06182,0.23014,355335161000,39630090240,218645561344,0.61567,0.34087002,0.1935,MXN,1.5082
4,Lago Zurich 245,"Plaza Carso / Edificio Telcel, Piso 16 Colonia Ampliación Granada Miguel Hidalgo",Mexico City,DF,11529,Mexico,52 55 2581 3700,52 55 2581 4422,https://www.americamovil.com,Telecom Services,Telecom Services,Communication Services,Communication Services,"América Móvil, S.A.B. de C.V. provides telecommunications services in Latin America and internationally. The company offers wireless and fixed voice services, including airtime, local, domestic, and international long-distance services; and network interconnection services. It also provides data services, such as data centers, data administration, and hosting services to residential and corporate clients; value-added services, including Internet access, messaging and other wireless entertainment, and corporate services; data transmission, email services, instant messaging, content streaming, and interactive applications; and wireless security services, mobile payment solutions, machine-to-machine services, mobile banking, virtual private network services, and video calls and personal communications services. In addition, the company offers residential broadband services; IT solutions to small businesses and large corporations; and cable and satellite television subscriptions. Further, it sells equipment, accessories, and computers; and offers telephone directories, wireless security, call center, advertising, media, and software development services. Additionally, the company provides video, audio, and other media content through the Internet directly from the content provider to the end user. It sells its products and services under the Telcel, Telmex Infinitum, and A1 brands through a network of retailers and service centers to retail customers; and through sales force to corporate customers. América Móvil, S.A.B. de C.V. was incorporated in 2000 and is based in Mexico City, Mexico.",176014,"{'maxAge': 1, 'name': 'Mr. Oscar  Von Hauske Solís CPA, CPA', 'age': 65, 'title': 'Chief Fixed Line Operations Officer & Director', 'yearBorn': 1957, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,18.29,18.33,18.03,18.44,18.29,18.33,18.03,18.44,0.71,0.0392,1689206400,0.2978,2.44,0.277593,10.491329,10.67647,3191117,3191117,2078296,2893270,2893270,17.7,18.83,1400,1200,57261797376,16.13,23.07,0.06831416,19.8314,20.49735,0.0,0.0,USD,532261437440,0.10463,820557200,3147450112,8834884,4307750,1690761600,1693440000,0.0028,0.0,0.05762,3.19,3154919936,112.56,0.16124733,1672444800,1703980800,1688083200,94183071744,1.73,1.7,1.15,2:1,1309478400,0.635,1.863,0.08552635,0.14113986,0.269,1689206400,NYQ,EQUITY,AMX,AMX,"America Movil, S.A.B. de C.V.","América Móvil, S.A.B. de C.V.",981988200,America/New_York,EDT,49dedd4e-b492-3d17-943f-dfb022f26f2d,finmb_813607,-14400000,18.15,25.0,15.0,21.68,22.2,2.5,buy,12,32298319872,10.221,285724082176,446618501120,0.585,0.659,838212714496,107.289,265.36,0.06182,0.23014,355335161000,39630090240,218645561344,0.61567,0.34087002,0.1935,MXN,1.5082
5,Lago Zurich 245,"Plaza Carso / Edificio Telcel, Piso 16 Colonia Ampliación Granada Miguel Hidalgo",Mexico City,DF,11529,Mexico,52 55 2581 3700,52 55 2581 4422,https://www.americamovil.com,Telecom Services,Telecom Services,Communication Services,Communication Services,"América Móvil, S.A.B. de C.V. provides telecommunications services in Latin America and internationally. The company offers wireless and fixed voice services, including airtime, local, domestic, and international long-distance services; and network interconnection services. It also provides data services, such as data centers, data administration, and hosting services to residential and corporate clients; value-added services, including Internet access, messaging and other wireless entertainment, and corporate services; data transmission, email services, instant messaging, content streaming, and interactive applications; and wireless security services, mobile payment solutions, machine-to-machine services, mobile banking, virtual private network services, and video calls and personal communications services. In addition, the company offers residential broadband services; IT solutions to small businesses and large corporations; and cable and satellite television subscriptions. Further, it sells equipment, accessories, and computers; and offers telephone directories, wireless security, call center, advertising, media, and software development services. Additionally, the company provides video, audio, and other media content through the Internet directly from the content provider to the end user. It sells its products and services under the Telcel, Telmex Infinitum, and A1 brands through a network of retailers and service centers to retail customers; and through sales force to corporate customers. América Móvil, S.A.B. de C.V. was incorporated in 2000 and is based in Mexico City, Mexico.",176014,"{'maxAge': 1, 'name': 'Mr. Federico  Oguich', 'title': 'Chief Financial Officer of Claro Chile S.A.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,18.29,18.33,18.03,18.44,18.29,18.33,18.03,18.44,0.71,0.0392,1689206400,0.2978,2.44,0.277593,10.491329,10.67647,3191117,3191117,2078296,2893270,2893270,17.7,18.83,1400,1200,57261797376,16.13,23.07,0.06831416,19.8314,20.49735,0.0,0.0,USD,532261437440,0.10463,820557200,3147450112,8834884,4307750,1690761600,1693440000,0.0028,0.0,0.05762,3.19,3154919936,112.56,0.16124733,1672444800,1703980800,1688083200,94183071744,1.73,1.7,1.15,2:1,1309478400,0.635,1.863,0.08552635,0.14113986,0.269,1689206400,NYQ,EQUITY,AMX,AMX,"America Movil, S.A.B. de C.V.","América Móvil, S.A.B. de C.V.",981988200,America/New_York,EDT,49dedd4e-b492-3d17-943f-dfb022f26f2d,finmb_813607,-14400000,18.15,25.0,15.0,21.68,22.2,2.5,buy,12,32298319872,10.221,285724082176,446618501120,0.585,0.659,838212714496,107.289,265.36,0.06182,0.23014,355335161000,39630090240,218645561344,0.61567,0.34087002,0.1935,MXN,1.5082
6,Lago Zurich 245,"Plaza Carso / Edificio Telcel, Piso 16 Colonia Ampliación Granada Miguel Hidalgo",Mexico City,DF,11529,Mexico,52 55 2581 3700,52 55 2581 4422,https://www.americamovil.com,Telecom Services,Telecom Services,Communication Services,Communication Services,"América Móvil, S.A.B. de C.V. provides telecommunications services in Latin America and internationally. The company offers wireless and fixed voice services, including airtime, local, domestic, and international long-distance services; and network interconnection services. It also provides data services, such as data centers, data administration, and hosting services to residential and corporate clients; value-added services, including Internet access, messaging and other wireless entertainment, and corporate services; data transmission, email services, instant messaging, content streaming, and interactive applications; and wireless security services, mobile payment solutions, machine-to-machine services, mobile banking, virtual private network services, and video calls and personal communications services. In addition, the company offers residential broadband services; IT solutions to small businesses and large corporations; and cable and satellite television subscriptions. Further, it sells equipment, accessories, and computers; and offers telephone directories, wireless security, call center, advertising, media, and software development services. Additionally, the company provides video, audio, and other media content through the Internet directly from the content provider to the end user. It sells its products and services under the Telcel, Telmex Infinitum, and A1 brands through a network of retailers and service centers to retail customers; and through sales force to corporate customers. América Móvil, S.A.B. de C.V. was incorporated in 2000 and is based in Mexico City, Mexico.",176014,"{'maxAge': 1, 'name': 'Rafael Couttolenc Urrea', 'title': 'Chief Wireless Operations Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,18.29,18.33,18.03,18.44,18.29,18.33,18.03,18.44,0.71,0.0392,1689206400,0.2978,2.44,0.277593,10.491329,10.67647,3191117,3191117,2078296,2893270,2893270,17.7,18.83,1400,1200,57261797376,16.13,23.07,0.06831416,19.8314,20.49735,0.0,0.0,USD,532261437440,0.10463,820557200,3147450112,8834884,4307750,1690761600,1693440000,0.0028,0.0,0.05762,3.19,3154919936,112.56,0.16124733,1672444800,1703980800,1688083200,94183071744,1.73,1.7,1.15,2:1,1309478400,0.635,1.863,0.08552635,0.14113986,0.269,1689206400,NYQ,EQUITY,AMX,AMX,"America Movil, S.A.B. de C.V.","América Móvil, S.A.B. de C.V.",981988200,America/New_York,EDT,49dedd4e-b492-3d17-943f-dfb022f26f2d,finmb_813607,-14400000,18.15,25.0,15.0,21.68,22.2,2.5,buy,12,32298319872,10.221,285724082176,446618501120,0.585,0.659,838212714496,107.289,265.36,0.06182,0.23014,355335161000,39630090240,218645561344,0.61567,0.34087002,0.1935,MXN,1.5082
7,Lago Zurich 245,"Plaza Carso / Edificio Telcel, Piso 16 Colonia Ampliación Granada Miguel Hidalgo",Mexico City,DF,11529,Mexico,52 55 2581 3700,52 55 2581 4422,https://www.americamovil.com,Telecom Services,Telecom Services,Communication Services,Communication Services,"América Móvil, S.A.B. de C.V. provides telecommunications services in Latin America and internationally. The company offers wireless and fixed voice services, including airtime, local, domestic, and international long-distance services; and network interconnection services. It also provides data services, such as data centers, data administration, and hosting services to residential and corporate clients; value-added services, including Internet access, messaging and other wireless entertainment, and corporate services; data transmission, email services, instant messaging, content streaming, and interactive applications; and wireless security services, mobile payment solutions, machine-to-machine services, mobile banking, virtual private network services, and video calls and personal communications services. In addition, the company offers residential broadband services; IT solutions to small businesses and large corporations; and cable and satellite television subscriptions. Further, it sells equipment, accessories, and computers; and offers telephone directories, wireless security, call center, advertising, media, and software development services. Additionally, the company provides video, audio, and other media content through the Internet directly from the content provider to the end user. It sells its products and services under the Telcel, Telmex Infinitum, and A1 brands through a network of retailers and service centers to retail customers; and through sales force to corporate customers. América Móvil, S.A.B. de C.V. was incorporated in 2000 and is based in Mexico City, Mexico.",176014,"{'maxAge': 1, 'name': 'Alfredo  Parot', 'title': 'Chief Exec. Officer of Claro/VTR - Joint Venture', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,18.29,18.33,18.03,18.44,18.29,18.33,18.03,18.44,0.71,0.0392,1689206400,0.2978,2.44,0.277593,10.491329,10.67647,3191117,3191117,2078296,2893270,2893270,17.7,18.83,1400,1200,57261797376,16.13,23.07,0.06831416,19.8314,20.49735,0.0,0.0,USD,532261437440,0.10463,820557200,3147450112,8834884,4307750,1690761600,1693440000,0.0028,0.0,0.05762,3.19,3154919936,112.56,0.16124733,1672444800,1703980800,1688083200,94183071744,1.73,1.7,1.15,2:1,1309478400,0.635,1.863,0.08552635,0.14113986,0.269,1689206400,NYQ,EQUITY,AMX,AMX,"America Movil, S.A.B. de C.V.","América Móvil, S.A.B. de C.V.",981988200,America/New_York,EDT,49dedd4e-b492-3d17-943f-dfb022f26f2d,finmb_813607,-14400000,18.15,25.0,15.0,21.68,22.2,2.5,buy,12,32298319872,10.221,285724082176,446618501120,0.585,0.659,838212714496,107.289,265.36,0.06182,0.23014,355335161000,39630090240,218645561344,0.61567,0.34087002,0.1935,MXN,1.5082
8,Lago Zurich 245,"Plaza Carso / Edificio Telcel, Piso 16 Colonia Ampliación Granada Miguel Hidalgo",Mexico City,DF,11529,Mexico,52 55 2581 3700,52 55 2581 4422,https://www.americamovil.com,Telecom Services,Telecom Services,Communication Services,Communication Services,"América Móvil, S.A.B. de C.V. provides telecommunications services in Latin America and internationally. The company offers wireless and fixed voice services, including airtime, local, domestic, and international long-distance services; and network interconnection services. It also provides data services, such as data centers, data administration, and hosting services to residential and corporate clients; value-added services, including Internet access, messaging and other wireless entertainment, and corporate services; data transmission, email services, instant messaging, content streaming, and interactive applications; and wireless security services, mobile payment solutions, machine-to-machine services, mobile banking, virtual private network services, and video calls and personal communications services. In addition, the company offers residential broadband services; IT solutions to small businesses and large corporations; and cable and satellite television subscriptions. Further, it sells equipment, accessories, and computers; and offers telephone directories, wireless security, call center, advertising, media, and software development services. Additionally, the company provides video, audio, and other media content through the Internet directly from the content provider to the end user. It sells its products and services under the Telcel, Telmex Infinitum, and A1 brands through a network of retailers and service centers to retail customers; and through sales force to corporate customers. América Móvil, S.A.B. de C.V. was incorporated in 2000 and is based in Mexico City, Mexico.",176014,"{'maxAge': 1, 'name': 'Yatira  Lozada', 'title': 'Deputy Chief Financial Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,18.29,18.33,18.03,18.44,18.29,18.33,18.03,18.44,0.71,0.0392,1689206400,0.2978,2.44,0.277593,10.491329,10.67647,3191117,3191117,2078296,2893270,2893270,17.7,18.83,1400,1200,57261797376,16.13,23.07,0.06831416,19.8314,20.49735,0.0,0.0,USD,532261437440,0.10463,820557200,3147450112,8834884,4307750,1690761600,1693440000,0.0028,0.0,0.05762,3.19,3154919936,112.56,0.16124733,1672444800,1703980800,1688083200,94183071744,1.73,1.7,1.15,2:1,1309478400,0.635,1.863,0.08552635,0.14113986,0.269,1689206400,NYQ,EQUITY,AMX,AMX,"America Movil, S.A.B. de C.V.","América Móvil, S.A.B. de C.V.",981988200,America/New_York,EDT,49dedd4e-b492-3d17-943f-dfb022f26f2d,finmb_813607,-14400000,18.15,25.0,15.0,21.68,22.2,2.5,buy,12,32298319872,10.221,285724082176,446618501120,0.585,0.659,838212714496,107.289,265.36,0.06182,0.23014,355335161000,39630090240,218645561344,0.61567,0.34087002,0.1935,MXN,1.5082
9,Lago Zurich 245,"Plaza Carso / Edificio Telcel, Piso 16 Colonia Ampliación Granada Miguel Hidalgo",Mexico City,DF,11529,Mexico,52 55 2581 3700,52 55 2581 4422,https://www.americamovil.com,Telecom Services,Telecom Services,Communication Services,Communication Services,"América Móvil, S.A.B. de C.V. provides telecommunications services in Latin America and internationally. The company offers wireless and fixed voice services, including airtime, local, domestic, and international long-distance services; and network interconnection services. It also provides data services, such as data centers, data administration, and hosting services to residential and corporate clients; value-added services, including Internet access, messaging and other wireless entertainment, and corporate services; data transmission, email services, instant messaging, content streaming, and interactive applications; and wireless security services, mobile payment solutions, machine-to-machine services, mobile banking, virtual private network services, and video calls and personal communications services. In addition, the company offers residential broadband services; IT solutions to small businesses and large corporations; and cable and satellite television subscriptions. Further, it sells equipment, accessories, and computers; and offers telephone directories, wireless security, call center, advertising, media, and software development services. Additionally, the company provides video, audio, and other media content through the Internet directly from the content provider to the end user. It sells its products and services under the Telcel, Telmex Infinitum, and A1 brands through a network of retailers and service centers to retail customers; and through sales force to corporate customers. América Móvil, S.A.B. de C.V. was incorporated in 2000 and is based in Mexico City, Mexico.",176014,"{'maxAge': 1, 'name': 'Mr. Thomas  Arnoldner', 'age': 45, 'title': 'Chief Exec. Officer of Telekom Austria', 'yearBorn': 1977, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,18.29,18.33,18.03,18.44,18.29,18.33,18.03,18.44,0.71,0.0392,1689206400,0.2978,2.44,0.277593,10.491329,10.67647,3191117,3191117,2078296,2893270,2893270,17.7,18.83,1400,1200,57261797376,16.13,23.07,0.06831416,19.8314,20.49735,0.0,0.0,USD,532261437440,0.10463,820557200,3147450112,8834884,4307750,1690761600,1693440000,0.0028,0.0,0.05762,3.19,3154919936,112.56,0.16124733,1672444800,1703980800,1688083200,94183071744,1.73,1.7,1.15,2:1,1309478400,0.635,1.863,0.08552635,0.14113986,0.269,1689206400,NYQ,EQUITY,AMX,AMX,"America Movil, S.A.B. de C.V.","América Móvil, S.A.B. de C.V.",981988200,America/New_York,EDT,49dedd4e-b492-3d17-943f-dfb022f26f2d,finmb_813607,-14400000,18.15,25.0,15.0,21.68,22.2,2.5,buy,12,32298319872,10.221,285724082176,446618501120,0.585,0.659,838212714496,107.289,265.36,0.06182,0.23014,355335161000,39630090240,218645561344,0.61567,0.34087002,0.1935,MXN,1.5082
