,address1,address2,city,state,zip,country,phone,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Five Concourse Parkway,Suite 300,Atlanta,GA,30328,United States,770 828 2000,https://www.atlanticus.com,Credit Services,Credit Services,Financial Services,Financial Services,"Atlanticus Holdings Corporation provides credit and related financial services and products to customers the United States. It operates in two segments, Credit as a Service, and Auto Finance. The Credit as a Service segment originates a range of consumer loan products, such as private label and general purpose credit cards originated by lenders through various channels, including retail and healthcare, direct mail solicitation, digital marketing, and partnerships with third parties; and offers credit to their customers for the purchase of various goods and services, including consumer electronics, furniture, elective medical procedures, healthcare, and home-improvements by partnering with retailers and service providers. This segment also offers loan servicing, such as risk management and customer service outsourcing for third parties; and engages in testing and investment activities in consumer finance technology platforms. The Auto Finance segment purchases and/or services loans secured by automobiles from or for a pre-qualified network of independent automotive dealers and automotive finance companies in the buy-here, pay-here, and used car business. This segment also provides floor plan financing and installment lending products. It also invests in and services portfolios of credit card receivables. The company was founded in 1996 and is headquartered in Atlanta, Georgia.",355,"{'maxAge': 1, 'name': 'Mr. David G. Hanna', 'age': 57, 'title': 'Exec. Chairman', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 2742375, 'exercisedValue': 67170000, 'unexercisedValue': 7270}",9,10,9,3,9,1693526400,1672444800,86400,2,32.07,32.13,30.68,32.41,32.07,32.13,30.68,32.41,1262044800,0.0,1.713692,7.1085453,5.3530436,23505,23505,17877,15380,15380,30.47,33.19,800,1800,444189280,21.65,43.7,1.2731537,36.977,32.4006,0.0,0.0,USD,2069817344,0.30916,4407105,14431100,455751,464788,1690761600,1693440000,0.031600002,0.65808,0.13859999,30.89,0.097600006,14431100,25.184,1.2222046,1672444800,1703980800,1688083200,-0.263,82734000,4.33,5.75,0.37,5.933,0.041272044,0.14113986,0.5,1262044800,NMS,EQUITY,ATLC,ATLC,Atlanticus Holdings Corporation,Atlanticus Holdings Corporation,924874200,America/New_York,EDT,aeead6a7-0bf8-39c8-bf8d-db5eb0ed63cd,finmb_400461,-14400000,30.78,50.0,40.0,47.0,49.0,2.0,buy,4,342616000,23.742,1830104960,18.913,19.536,348888992,364.934,24.118,0.04671,0.22948,290504000,403311008,-0.297,-0.151,0.72225,0.0,0.38562,USD,
1,Five Concourse Parkway,Suite 300,Atlanta,GA,30328,United States,770 828 2000,https://www.atlanticus.com,Credit Services,Credit Services,Financial Services,Financial Services,"Atlanticus Holdings Corporation provides credit and related financial services and products to customers the United States. It operates in two segments, Credit as a Service, and Auto Finance. The Credit as a Service segment originates a range of consumer loan products, such as private label and general purpose credit cards originated by lenders through various channels, including retail and healthcare, direct mail solicitation, digital marketing, and partnerships with third parties; and offers credit to their customers for the purchase of various goods and services, including consumer electronics, furniture, elective medical procedures, healthcare, and home-improvements by partnering with retailers and service providers. This segment also offers loan servicing, such as risk management and customer service outsourcing for third parties; and engages in testing and investment activities in consumer finance technology platforms. The Auto Finance segment purchases and/or services loans secured by automobiles from or for a pre-qualified network of independent automotive dealers and automotive finance companies in the buy-here, pay-here, and used car business. This segment also provides floor plan financing and installment lending products. It also invests in and services portfolios of credit card receivables. The company was founded in 1996 and is headquartered in Atlanta, Georgia.",355,"{'maxAge': 1, 'name': 'Mr. Jeffrey A. Howard', 'age': 52, 'title': 'Pres, CEO & Director', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 1329575, 'exercisedValue': 0, 'unexercisedValue': 10107270}",9,10,9,3,9,1693526400,1672444800,86400,2,32.07,32.13,30.68,32.41,32.07,32.13,30.68,32.41,1262044800,0.0,1.713692,7.1085453,5.3530436,23505,23505,17877,15380,15380,30.47,33.19,800,1800,444189280,21.65,43.7,1.2731537,36.977,32.4006,0.0,0.0,USD,2069817344,0.30916,4407105,14431100,455751,464788,1690761600,1693440000,0.031600002,0.65808,0.13859999,30.89,0.097600006,14431100,25.184,1.2222046,1672444800,1703980800,1688083200,-0.263,82734000,4.33,5.75,0.37,5.933,0.041272044,0.14113986,0.5,1262044800,NMS,EQUITY,ATLC,ATLC,Atlanticus Holdings Corporation,Atlanticus Holdings Corporation,924874200,America/New_York,EDT,aeead6a7-0bf8-39c8-bf8d-db5eb0ed63cd,finmb_400461,-14400000,30.78,50.0,40.0,47.0,49.0,2.0,buy,4,342616000,23.742,1830104960,18.913,19.536,348888992,364.934,24.118,0.04671,0.22948,290504000,403311008,-0.297,-0.151,0.72225,0.0,0.38562,USD,
2,Five Concourse Parkway,Suite 300,Atlanta,GA,30328,United States,770 828 2000,https://www.atlanticus.com,Credit Services,Credit Services,Financial Services,Financial Services,"Atlanticus Holdings Corporation provides credit and related financial services and products to customers the United States. It operates in two segments, Credit as a Service, and Auto Finance. The Credit as a Service segment originates a range of consumer loan products, such as private label and general purpose credit cards originated by lenders through various channels, including retail and healthcare, direct mail solicitation, digital marketing, and partnerships with third parties; and offers credit to their customers for the purchase of various goods and services, including consumer electronics, furniture, elective medical procedures, healthcare, and home-improvements by partnering with retailers and service providers. This segment also offers loan servicing, such as risk management and customer service outsourcing for third parties; and engages in testing and investment activities in consumer finance technology platforms. The Auto Finance segment purchases and/or services loans secured by automobiles from or for a pre-qualified network of independent automotive dealers and automotive finance companies in the buy-here, pay-here, and used car business. This segment also provides floor plan financing and installment lending products. It also invests in and services portfolios of credit card receivables. The company was founded in 1996 and is headquartered in Atlanta, Georgia.",355,"{'maxAge': 1, 'name': 'Mr. William R. McCamey', 'age': 53, 'title': 'Chief Financial Officer', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 1086575, 'exercisedValue': 6906000, 'unexercisedValue': 7270}",9,10,9,3,9,1693526400,1672444800,86400,2,32.07,32.13,30.68,32.41,32.07,32.13,30.68,32.41,1262044800,0.0,1.713692,7.1085453,5.3530436,23505,23505,17877,15380,15380,30.47,33.19,800,1800,444189280,21.65,43.7,1.2731537,36.977,32.4006,0.0,0.0,USD,2069817344,0.30916,4407105,14431100,455751,464788,1690761600,1693440000,0.031600002,0.65808,0.13859999,30.89,0.097600006,14431100,25.184,1.2222046,1672444800,1703980800,1688083200,-0.263,82734000,4.33,5.75,0.37,5.933,0.041272044,0.14113986,0.5,1262044800,NMS,EQUITY,ATLC,ATLC,Atlanticus Holdings Corporation,Atlanticus Holdings Corporation,924874200,America/New_York,EDT,aeead6a7-0bf8-39c8-bf8d-db5eb0ed63cd,finmb_400461,-14400000,30.78,50.0,40.0,47.0,49.0,2.0,buy,4,342616000,23.742,1830104960,18.913,19.536,348888992,364.934,24.118,0.04671,0.22948,290504000,403311008,-0.297,-0.151,0.72225,0.0,0.38562,USD,
3,Five Concourse Parkway,Suite 300,Atlanta,GA,30328,United States,770 828 2000,https://www.atlanticus.com,Credit Services,Credit Services,Financial Services,Financial Services,"Atlanticus Holdings Corporation provides credit and related financial services and products to customers the United States. It operates in two segments, Credit as a Service, and Auto Finance. The Credit as a Service segment originates a range of consumer loan products, such as private label and general purpose credit cards originated by lenders through various channels, including retail and healthcare, direct mail solicitation, digital marketing, and partnerships with third parties; and offers credit to their customers for the purchase of various goods and services, including consumer electronics, furniture, elective medical procedures, healthcare, and home-improvements by partnering with retailers and service providers. This segment also offers loan servicing, such as risk management and customer service outsourcing for third parties; and engages in testing and investment activities in consumer finance technology platforms. The Auto Finance segment purchases and/or services loans secured by automobiles from or for a pre-qualified network of independent automotive dealers and automotive finance companies in the buy-here, pay-here, and used car business. This segment also provides floor plan financing and installment lending products. It also invests in and services portfolios of credit card receivables. The company was founded in 1996 and is headquartered in Atlanta, Georgia.",355,"{'maxAge': 1, 'name': 'Mr. Mitchell C. Saunders', 'age': 49, 'title': 'Chief Accounting Officer', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}",9,10,9,3,9,1693526400,1672444800,86400,2,32.07,32.13,30.68,32.41,32.07,32.13,30.68,32.41,1262044800,0.0,1.713692,7.1085453,5.3530436,23505,23505,17877,15380,15380,30.47,33.19,800,1800,444189280,21.65,43.7,1.2731537,36.977,32.4006,0.0,0.0,USD,2069817344,0.30916,4407105,14431100,455751,464788,1690761600,1693440000,0.031600002,0.65808,0.13859999,30.89,0.097600006,14431100,25.184,1.2222046,1672444800,1703980800,1688083200,-0.263,82734000,4.33,5.75,0.37,5.933,0.041272044,0.14113986,0.5,1262044800,NMS,EQUITY,ATLC,ATLC,Atlanticus Holdings Corporation,Atlanticus Holdings Corporation,924874200,America/New_York,EDT,aeead6a7-0bf8-39c8-bf8d-db5eb0ed63cd,finmb_400461,-14400000,30.78,50.0,40.0,47.0,49.0,2.0,buy,4,342616000,23.742,1830104960,18.913,19.536,348888992,364.934,24.118,0.04671,0.22948,290504000,403311008,-0.297,-0.151,0.72225,0.0,0.38562,USD,
4,Five Concourse Parkway,Suite 300,Atlanta,GA,30328,United States,770 828 2000,https://www.atlanticus.com,Credit Services,Credit Services,Financial Services,Financial Services,"Atlanticus Holdings Corporation provides credit and related financial services and products to customers the United States. It operates in two segments, Credit as a Service, and Auto Finance. The Credit as a Service segment originates a range of consumer loan products, such as private label and general purpose credit cards originated by lenders through various channels, including retail and healthcare, direct mail solicitation, digital marketing, and partnerships with third parties; and offers credit to their customers for the purchase of various goods and services, including consumer electronics, furniture, elective medical procedures, healthcare, and home-improvements by partnering with retailers and service providers. This segment also offers loan servicing, such as risk management and customer service outsourcing for third parties; and engages in testing and investment activities in consumer finance technology platforms. The Auto Finance segment purchases and/or services loans secured by automobiles from or for a pre-qualified network of independent automotive dealers and automotive finance companies in the buy-here, pay-here, and used car business. This segment also provides floor plan financing and installment lending products. It also invests in and services portfolios of credit card receivables. The company was founded in 1996 and is headquartered in Atlanta, Georgia.",355,"{'maxAge': 1, 'name': 'Ms. Linda  Brooks', 'title': 'Chief Technology Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",9,10,9,3,9,1693526400,1672444800,86400,2,32.07,32.13,30.68,32.41,32.07,32.13,30.68,32.41,1262044800,0.0,1.713692,7.1085453,5.3530436,23505,23505,17877,15380,15380,30.47,33.19,800,1800,444189280,21.65,43.7,1.2731537,36.977,32.4006,0.0,0.0,USD,2069817344,0.30916,4407105,14431100,455751,464788,1690761600,1693440000,0.031600002,0.65808,0.13859999,30.89,0.097600006,14431100,25.184,1.2222046,1672444800,1703980800,1688083200,-0.263,82734000,4.33,5.75,0.37,5.933,0.041272044,0.14113986,0.5,1262044800,NMS,EQUITY,ATLC,ATLC,Atlanticus Holdings Corporation,Atlanticus Holdings Corporation,924874200,America/New_York,EDT,aeead6a7-0bf8-39c8-bf8d-db5eb0ed63cd,finmb_400461,-14400000,30.78,50.0,40.0,47.0,49.0,2.0,buy,4,342616000,23.742,1830104960,18.913,19.536,348888992,364.934,24.118,0.04671,0.22948,290504000,403311008,-0.297,-0.151,0.72225,0.0,0.38562,USD,
5,Five Concourse Parkway,Suite 300,Atlanta,GA,30328,United States,770 828 2000,https://www.atlanticus.com,Credit Services,Credit Services,Financial Services,Financial Services,"Atlanticus Holdings Corporation provides credit and related financial services and products to customers the United States. It operates in two segments, Credit as a Service, and Auto Finance. The Credit as a Service segment originates a range of consumer loan products, such as private label and general purpose credit cards originated by lenders through various channels, including retail and healthcare, direct mail solicitation, digital marketing, and partnerships with third parties; and offers credit to their customers for the purchase of various goods and services, including consumer electronics, furniture, elective medical procedures, healthcare, and home-improvements by partnering with retailers and service providers. This segment also offers loan servicing, such as risk management and customer service outsourcing for third parties; and engages in testing and investment activities in consumer finance technology platforms. The Auto Finance segment purchases and/or services loans secured by automobiles from or for a pre-qualified network of independent automotive dealers and automotive finance companies in the buy-here, pay-here, and used car business. This segment also provides floor plan financing and installment lending products. It also invests in and services portfolios of credit card receivables. The company was founded in 1996 and is headquartered in Atlanta, Georgia.",355,"{'maxAge': 1, 'name': 'Mr. Kas  Naderi', 'title': 'Chief Information Officer & Sr. VP of Technology Systems', 'exercisedValue': 0, 'unexercisedValue': 0}",9,10,9,3,9,1693526400,1672444800,86400,2,32.07,32.13,30.68,32.41,32.07,32.13,30.68,32.41,1262044800,0.0,1.713692,7.1085453,5.3530436,23505,23505,17877,15380,15380,30.47,33.19,800,1800,444189280,21.65,43.7,1.2731537,36.977,32.4006,0.0,0.0,USD,2069817344,0.30916,4407105,14431100,455751,464788,1690761600,1693440000,0.031600002,0.65808,0.13859999,30.89,0.097600006,14431100,25.184,1.2222046,1672444800,1703980800,1688083200,-0.263,82734000,4.33,5.75,0.37,5.933,0.041272044,0.14113986,0.5,1262044800,NMS,EQUITY,ATLC,ATLC,Atlanticus Holdings Corporation,Atlanticus Holdings Corporation,924874200,America/New_York,EDT,aeead6a7-0bf8-39c8-bf8d-db5eb0ed63cd,finmb_400461,-14400000,30.78,50.0,40.0,47.0,49.0,2.0,buy,4,342616000,23.742,1830104960,18.913,19.536,348888992,364.934,24.118,0.04671,0.22948,290504000,403311008,-0.297,-0.151,0.72225,0.0,0.38562,USD,
6,Five Concourse Parkway,Suite 300,Atlanta,GA,30328,United States,770 828 2000,https://www.atlanticus.com,Credit Services,Credit Services,Financial Services,Financial Services,"Atlanticus Holdings Corporation provides credit and related financial services and products to customers the United States. It operates in two segments, Credit as a Service, and Auto Finance. The Credit as a Service segment originates a range of consumer loan products, such as private label and general purpose credit cards originated by lenders through various channels, including retail and healthcare, direct mail solicitation, digital marketing, and partnerships with third parties; and offers credit to their customers for the purchase of various goods and services, including consumer electronics, furniture, elective medical procedures, healthcare, and home-improvements by partnering with retailers and service providers. This segment also offers loan servicing, such as risk management and customer service outsourcing for third parties; and engages in testing and investment activities in consumer finance technology platforms. The Auto Finance segment purchases and/or services loans secured by automobiles from or for a pre-qualified network of independent automotive dealers and automotive finance companies in the buy-here, pay-here, and used car business. This segment also provides floor plan financing and installment lending products. It also invests in and services portfolios of credit card receivables. The company was founded in 1996 and is headquartered in Atlanta, Georgia.",355,"{'maxAge': 1, 'name': 'Ms. Rosalind  Drakeford', 'title': 'Managing Counsel, Chief Compliance Officer & Corp. Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",9,10,9,3,9,1693526400,1672444800,86400,2,32.07,32.13,30.68,32.41,32.07,32.13,30.68,32.41,1262044800,0.0,1.713692,7.1085453,5.3530436,23505,23505,17877,15380,15380,30.47,33.19,800,1800,444189280,21.65,43.7,1.2731537,36.977,32.4006,0.0,0.0,USD,2069817344,0.30916,4407105,14431100,455751,464788,1690761600,1693440000,0.031600002,0.65808,0.13859999,30.89,0.097600006,14431100,25.184,1.2222046,1672444800,1703980800,1688083200,-0.263,82734000,4.33,5.75,0.37,5.933,0.041272044,0.14113986,0.5,1262044800,NMS,EQUITY,ATLC,ATLC,Atlanticus Holdings Corporation,Atlanticus Holdings Corporation,924874200,America/New_York,EDT,aeead6a7-0bf8-39c8-bf8d-db5eb0ed63cd,finmb_400461,-14400000,30.78,50.0,40.0,47.0,49.0,2.0,buy,4,342616000,23.742,1830104960,18.913,19.536,348888992,364.934,24.118,0.04671,0.22948,290504000,403311008,-0.297,-0.151,0.72225,0.0,0.38562,USD,
7,Five Concourse Parkway,Suite 300,Atlanta,GA,30328,United States,770 828 2000,https://www.atlanticus.com,Credit Services,Credit Services,Financial Services,Financial Services,"Atlanticus Holdings Corporation provides credit and related financial services and products to customers the United States. It operates in two segments, Credit as a Service, and Auto Finance. The Credit as a Service segment originates a range of consumer loan products, such as private label and general purpose credit cards originated by lenders through various channels, including retail and healthcare, direct mail solicitation, digital marketing, and partnerships with third parties; and offers credit to their customers for the purchase of various goods and services, including consumer electronics, furniture, elective medical procedures, healthcare, and home-improvements by partnering with retailers and service providers. This segment also offers loan servicing, such as risk management and customer service outsourcing for third parties; and engages in testing and investment activities in consumer finance technology platforms. The Auto Finance segment purchases and/or services loans secured by automobiles from or for a pre-qualified network of independent automotive dealers and automotive finance companies in the buy-here, pay-here, and used car business. This segment also provides floor plan financing and installment lending products. It also invests in and services portfolios of credit card receivables. The company was founded in 1996 and is headquartered in Atlanta, Georgia.",355,"{'maxAge': 1, 'name': 'Mr. Matt  Zalubowski', 'title': 'Sr. VP of Marketing', 'exercisedValue': 0, 'unexercisedValue': 0}",9,10,9,3,9,1693526400,1672444800,86400,2,32.07,32.13,30.68,32.41,32.07,32.13,30.68,32.41,1262044800,0.0,1.713692,7.1085453,5.3530436,23505,23505,17877,15380,15380,30.47,33.19,800,1800,444189280,21.65,43.7,1.2731537,36.977,32.4006,0.0,0.0,USD,2069817344,0.30916,4407105,14431100,455751,464788,1690761600,1693440000,0.031600002,0.65808,0.13859999,30.89,0.097600006,14431100,25.184,1.2222046,1672444800,1703980800,1688083200,-0.263,82734000,4.33,5.75,0.37,5.933,0.041272044,0.14113986,0.5,1262044800,NMS,EQUITY,ATLC,ATLC,Atlanticus Holdings Corporation,Atlanticus Holdings Corporation,924874200,America/New_York,EDT,aeead6a7-0bf8-39c8-bf8d-db5eb0ed63cd,finmb_400461,-14400000,30.78,50.0,40.0,47.0,49.0,2.0,buy,4,342616000,23.742,1830104960,18.913,19.536,348888992,364.934,24.118,0.04671,0.22948,290504000,403311008,-0.297,-0.151,0.72225,0.0,0.38562,USD,
8,Five Concourse Parkway,Suite 300,Atlanta,GA,30328,United States,770 828 2000,https://www.atlanticus.com,Credit Services,Credit Services,Financial Services,Financial Services,"Atlanticus Holdings Corporation provides credit and related financial services and products to customers the United States. It operates in two segments, Credit as a Service, and Auto Finance. The Credit as a Service segment originates a range of consumer loan products, such as private label and general purpose credit cards originated by lenders through various channels, including retail and healthcare, direct mail solicitation, digital marketing, and partnerships with third parties; and offers credit to their customers for the purchase of various goods and services, including consumer electronics, furniture, elective medical procedures, healthcare, and home-improvements by partnering with retailers and service providers. This segment also offers loan servicing, such as risk management and customer service outsourcing for third parties; and engages in testing and investment activities in consumer finance technology platforms. The Auto Finance segment purchases and/or services loans secured by automobiles from or for a pre-qualified network of independent automotive dealers and automotive finance companies in the buy-here, pay-here, and used car business. This segment also provides floor plan financing and installment lending products. It also invests in and services portfolios of credit card receivables. The company was founded in 1996 and is headquartered in Atlanta, Georgia.",355,"{'maxAge': 1, 'name': 'Mr. David  Caruso', 'title': 'Chief Commercial Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",9,10,9,3,9,1693526400,1672444800,86400,2,32.07,32.13,30.68,32.41,32.07,32.13,30.68,32.41,1262044800,0.0,1.713692,7.1085453,5.3530436,23505,23505,17877,15380,15380,30.47,33.19,800,1800,444189280,21.65,43.7,1.2731537,36.977,32.4006,0.0,0.0,USD,2069817344,0.30916,4407105,14431100,455751,464788,1690761600,1693440000,0.031600002,0.65808,0.13859999,30.89,0.097600006,14431100,25.184,1.2222046,1672444800,1703980800,1688083200,-0.263,82734000,4.33,5.75,0.37,5.933,0.041272044,0.14113986,0.5,1262044800,NMS,EQUITY,ATLC,ATLC,Atlanticus Holdings Corporation,Atlanticus Holdings Corporation,924874200,America/New_York,EDT,aeead6a7-0bf8-39c8-bf8d-db5eb0ed63cd,finmb_400461,-14400000,30.78,50.0,40.0,47.0,49.0,2.0,buy,4,342616000,23.742,1830104960,18.913,19.536,348888992,364.934,24.118,0.04671,0.22948,290504000,403311008,-0.297,-0.151,0.72225,0.0,0.38562,USD,
9,Five Concourse Parkway,Suite 300,Atlanta,GA,30328,United States,770 828 2000,https://www.atlanticus.com,Credit Services,Credit Services,Financial Services,Financial Services,"Atlanticus Holdings Corporation provides credit and related financial services and products to customers the United States. It operates in two segments, Credit as a Service, and Auto Finance. The Credit as a Service segment originates a range of consumer loan products, such as private label and general purpose credit cards originated by lenders through various channels, including retail and healthcare, direct mail solicitation, digital marketing, and partnerships with third parties; and offers credit to their customers for the purchase of various goods and services, including consumer electronics, furniture, elective medical procedures, healthcare, and home-improvements by partnering with retailers and service providers. This segment also offers loan servicing, such as risk management and customer service outsourcing for third parties; and engages in testing and investment activities in consumer finance technology platforms. The Auto Finance segment purchases and/or services loans secured by automobiles from or for a pre-qualified network of independent automotive dealers and automotive finance companies in the buy-here, pay-here, and used car business. This segment also provides floor plan financing and installment lending products. It also invests in and services portfolios of credit card receivables. The company was founded in 1996 and is headquartered in Atlanta, Georgia.",355,"{'maxAge': 1, 'name': 'Mr. Brian  Stone', 'title': 'Chief Data Science & Risk Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",9,10,9,3,9,1693526400,1672444800,86400,2,32.07,32.13,30.68,32.41,32.07,32.13,30.68,32.41,1262044800,0.0,1.713692,7.1085453,5.3530436,23505,23505,17877,15380,15380,30.47,33.19,800,1800,444189280,21.65,43.7,1.2731537,36.977,32.4006,0.0,0.0,USD,2069817344,0.30916,4407105,14431100,455751,464788,1690761600,1693440000,0.031600002,0.65808,0.13859999,30.89,0.097600006,14431100,25.184,1.2222046,1672444800,1703980800,1688083200,-0.263,82734000,4.33,5.75,0.37,5.933,0.041272044,0.14113986,0.5,1262044800,NMS,EQUITY,ATLC,ATLC,Atlanticus Holdings Corporation,Atlanticus Holdings Corporation,924874200,America/New_York,EDT,aeead6a7-0bf8-39c8-bf8d-db5eb0ed63cd,finmb_400461,-14400000,30.78,50.0,40.0,47.0,49.0,2.0,buy,4,342616000,23.742,1830104960,18.913,19.536,348888992,364.934,24.118,0.04671,0.22948,290504000,403311008,-0.297,-0.151,0.72225,0.0,0.38562,USD,
