,address1,city,state,zip,country,phone,fax,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"4040 Wilson Boulevard, Suite 1000",Arlington,VA,22203-2120,United States,703 329 6300,703 329 9130,https://www.avalonbay.com,REIT—Residential,REIT—Residential,Real Estate,Real Estate,"As of June 30, 2023, the Company owned or held a direct or indirect ownership interest in 294 apartment communities containing 88,659 apartment homes in 12 states and the District of Columbia, of which 18 communities were under development and one community was under redevelopment. The Company is an equity REIT in the business of developing, redeveloping, acquiring and managing apartment communities in leading metropolitan areas in New England, the New York/New Jersey Metro area, the Mid-Atlantic, the Pacific Northwest, and Northern and Southern California, as well as in the Company's expansion regions of Raleigh-Durham and Charlotte, North Carolina, Southeast Florida, Dallas and Austin, Texas, and Denver, Colorado.",2859,"{'maxAge': 1, 'name': 'Mr. Benjamin W. Schall', 'age': 47, 'title': 'Pres, CEO & Director', 'yearBorn': 1975, 'fiscalYear': 2022, 'totalPay': 3041962, 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,2,7,7,1693526400,1672444800,86400,2,183.46,183.53,182.73,184.54,183.46,183.53,182.73,184.54,6.6,0.0359,1695859200,0.72730005,3.29,0.937067,20.61547,34.761814,1344133,1344133,653448,656500,656500,183.29,184.91,900,900,26115321856,153.07,200.0,9.591358,186.0218,176.82675,6.48,0.03532105,USD,33523572736,0.4594,141329387,142016000,2424994,2238523,1690761600,1693440000,0.0171,0.0038800002,0.94464,4.14,0.0234,142016000,83.303,2.2074835,1672444800,1703980800,1688083200,1.653,1248610944,8.92,5.29,-3.18,12.312,19.814,-0.07884586,0.14113986,1.65,1687996800,NYQ,EQUITY,AVB,AVB,"AvalonBay Communities, Inc.","AvalonBay Communities, Inc.",763396200,America/New_York,EDT,bce3759a-7c70-390c-8510-d287ae091718,finmb_329141,-14400000,183.89,282.0,190.0,204.63,200.0,2.4,buy,19,778371968,5.488,1691888000,8217655808,1.102,1.867,2722797056,69.54,19.418,0.02688,0.10998,1689582000,1177836032,1524462976,1.612,0.075,0.65059,0.62138003,0.32051998,USD,2.7959
1,"4040 Wilson Boulevard, Suite 1000",Arlington,VA,22203-2120,United States,703 329 6300,703 329 9130,https://www.avalonbay.com,REIT—Residential,REIT—Residential,Real Estate,Real Estate,"As of June 30, 2023, the Company owned or held a direct or indirect ownership interest in 294 apartment communities containing 88,659 apartment homes in 12 states and the District of Columbia, of which 18 communities were under development and one community was under redevelopment. The Company is an equity REIT in the business of developing, redeveloping, acquiring and managing apartment communities in leading metropolitan areas in New England, the New York/New Jersey Metro area, the Mid-Atlantic, the Pacific Northwest, and Northern and Southern California, as well as in the Company's expansion regions of Raleigh-Durham and Charlotte, North Carolina, Southeast Florida, Dallas and Austin, Texas, and Denver, Colorado.",2859,"{'maxAge': 1, 'name': ""Mr. Kevin P. O'Shea"", 'age': 56, 'title': 'Chief Financial Officer', 'yearBorn': 1966, 'fiscalYear': 2016, 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,2,7,7,1693526400,1672444800,86400,2,183.46,183.53,182.73,184.54,183.46,183.53,182.73,184.54,6.6,0.0359,1695859200,0.72730005,3.29,0.937067,20.61547,34.761814,1344133,1344133,653448,656500,656500,183.29,184.91,900,900,26115321856,153.07,200.0,9.591358,186.0218,176.82675,6.48,0.03532105,USD,33523572736,0.4594,141329387,142016000,2424994,2238523,1690761600,1693440000,0.0171,0.0038800002,0.94464,4.14,0.0234,142016000,83.303,2.2074835,1672444800,1703980800,1688083200,1.653,1248610944,8.92,5.29,-3.18,12.312,19.814,-0.07884586,0.14113986,1.65,1687996800,NYQ,EQUITY,AVB,AVB,"AvalonBay Communities, Inc.","AvalonBay Communities, Inc.",763396200,America/New_York,EDT,bce3759a-7c70-390c-8510-d287ae091718,finmb_329141,-14400000,183.89,282.0,190.0,204.63,200.0,2.4,buy,19,778371968,5.488,1691888000,8217655808,1.102,1.867,2722797056,69.54,19.418,0.02688,0.10998,1689582000,1177836032,1524462976,1.612,0.075,0.65059,0.62138003,0.32051998,USD,2.7959
2,"4040 Wilson Boulevard, Suite 1000",Arlington,VA,22203-2120,United States,703 329 6300,703 329 9130,https://www.avalonbay.com,REIT—Residential,REIT—Residential,Real Estate,Real Estate,"As of June 30, 2023, the Company owned or held a direct or indirect ownership interest in 294 apartment communities containing 88,659 apartment homes in 12 states and the District of Columbia, of which 18 communities were under development and one community was under redevelopment. The Company is an equity REIT in the business of developing, redeveloping, acquiring and managing apartment communities in leading metropolitan areas in New England, the New York/New Jersey Metro area, the Mid-Atlantic, the Pacific Northwest, and Northern and Southern California, as well as in the Company's expansion regions of Raleigh-Durham and Charlotte, North Carolina, Southeast Florida, Dallas and Austin, Texas, and Denver, Colorado.",2859,"{'maxAge': 1, 'name': 'Mr. Sean J. Breslin', 'age': 55, 'title': 'Chief Operating Officer', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 1880132, 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,2,7,7,1693526400,1672444800,86400,2,183.46,183.53,182.73,184.54,183.46,183.53,182.73,184.54,6.6,0.0359,1695859200,0.72730005,3.29,0.937067,20.61547,34.761814,1344133,1344133,653448,656500,656500,183.29,184.91,900,900,26115321856,153.07,200.0,9.591358,186.0218,176.82675,6.48,0.03532105,USD,33523572736,0.4594,141329387,142016000,2424994,2238523,1690761600,1693440000,0.0171,0.0038800002,0.94464,4.14,0.0234,142016000,83.303,2.2074835,1672444800,1703980800,1688083200,1.653,1248610944,8.92,5.29,-3.18,12.312,19.814,-0.07884586,0.14113986,1.65,1687996800,NYQ,EQUITY,AVB,AVB,"AvalonBay Communities, Inc.","AvalonBay Communities, Inc.",763396200,America/New_York,EDT,bce3759a-7c70-390c-8510-d287ae091718,finmb_329141,-14400000,183.89,282.0,190.0,204.63,200.0,2.4,buy,19,778371968,5.488,1691888000,8217655808,1.102,1.867,2722797056,69.54,19.418,0.02688,0.10998,1689582000,1177836032,1524462976,1.612,0.075,0.65059,0.62138003,0.32051998,USD,2.7959
3,"4040 Wilson Boulevard, Suite 1000",Arlington,VA,22203-2120,United States,703 329 6300,703 329 9130,https://www.avalonbay.com,REIT—Residential,REIT—Residential,Real Estate,Real Estate,"As of June 30, 2023, the Company owned or held a direct or indirect ownership interest in 294 apartment communities containing 88,659 apartment homes in 12 states and the District of Columbia, of which 18 communities were under development and one community was under redevelopment. The Company is an equity REIT in the business of developing, redeveloping, acquiring and managing apartment communities in leading metropolitan areas in New England, the New York/New Jersey Metro area, the Mid-Atlantic, the Pacific Northwest, and Northern and Southern California, as well as in the Company's expansion regions of Raleigh-Durham and Charlotte, North Carolina, Southeast Florida, Dallas and Austin, Texas, and Denver, Colorado.",2859,"{'maxAge': 1, 'name': 'Mr. Matthew H. Birenbaum', 'age': 56, 'title': 'Chief Investment Officer', 'yearBorn': 1966, 'fiscalYear': 2016, 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,2,7,7,1693526400,1672444800,86400,2,183.46,183.53,182.73,184.54,183.46,183.53,182.73,184.54,6.6,0.0359,1695859200,0.72730005,3.29,0.937067,20.61547,34.761814,1344133,1344133,653448,656500,656500,183.29,184.91,900,900,26115321856,153.07,200.0,9.591358,186.0218,176.82675,6.48,0.03532105,USD,33523572736,0.4594,141329387,142016000,2424994,2238523,1690761600,1693440000,0.0171,0.0038800002,0.94464,4.14,0.0234,142016000,83.303,2.2074835,1672444800,1703980800,1688083200,1.653,1248610944,8.92,5.29,-3.18,12.312,19.814,-0.07884586,0.14113986,1.65,1687996800,NYQ,EQUITY,AVB,AVB,"AvalonBay Communities, Inc.","AvalonBay Communities, Inc.",763396200,America/New_York,EDT,bce3759a-7c70-390c-8510-d287ae091718,finmb_329141,-14400000,183.89,282.0,190.0,204.63,200.0,2.4,buy,19,778371968,5.488,1691888000,8217655808,1.102,1.867,2722797056,69.54,19.418,0.02688,0.10998,1689582000,1177836032,1524462976,1.612,0.075,0.65059,0.62138003,0.32051998,USD,2.7959
4,"4040 Wilson Boulevard, Suite 1000",Arlington,VA,22203-2120,United States,703 329 6300,703 329 9130,https://www.avalonbay.com,REIT—Residential,REIT—Residential,Real Estate,Real Estate,"As of June 30, 2023, the Company owned or held a direct or indirect ownership interest in 294 apartment communities containing 88,659 apartment homes in 12 states and the District of Columbia, of which 18 communities were under development and one community was under redevelopment. The Company is an equity REIT in the business of developing, redeveloping, acquiring and managing apartment communities in leading metropolitan areas in New England, the New York/New Jersey Metro area, the Mid-Atlantic, the Pacific Northwest, and Northern and Southern California, as well as in the Company's expansion regions of Raleigh-Durham and Charlotte, North Carolina, Southeast Florida, Dallas and Austin, Texas, and Denver, Colorado.",2859,"{'maxAge': 1, 'name': 'Mr. Edward M. Schulman', 'age': 59, 'title': 'Exec. VP, Gen. Counsel & Sec.', 'yearBorn': 1963, 'fiscalYear': 2022, 'totalPay': 1145431, 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,2,7,7,1693526400,1672444800,86400,2,183.46,183.53,182.73,184.54,183.46,183.53,182.73,184.54,6.6,0.0359,1695859200,0.72730005,3.29,0.937067,20.61547,34.761814,1344133,1344133,653448,656500,656500,183.29,184.91,900,900,26115321856,153.07,200.0,9.591358,186.0218,176.82675,6.48,0.03532105,USD,33523572736,0.4594,141329387,142016000,2424994,2238523,1690761600,1693440000,0.0171,0.0038800002,0.94464,4.14,0.0234,142016000,83.303,2.2074835,1672444800,1703980800,1688083200,1.653,1248610944,8.92,5.29,-3.18,12.312,19.814,-0.07884586,0.14113986,1.65,1687996800,NYQ,EQUITY,AVB,AVB,"AvalonBay Communities, Inc.","AvalonBay Communities, Inc.",763396200,America/New_York,EDT,bce3759a-7c70-390c-8510-d287ae091718,finmb_329141,-14400000,183.89,282.0,190.0,204.63,200.0,2.4,buy,19,778371968,5.488,1691888000,8217655808,1.102,1.867,2722797056,69.54,19.418,0.02688,0.10998,1689582000,1177836032,1524462976,1.612,0.075,0.65059,0.62138003,0.32051998,USD,2.7959
5,"4040 Wilson Boulevard, Suite 1000",Arlington,VA,22203-2120,United States,703 329 6300,703 329 9130,https://www.avalonbay.com,REIT—Residential,REIT—Residential,Real Estate,Real Estate,"As of June 30, 2023, the Company owned or held a direct or indirect ownership interest in 294 apartment communities containing 88,659 apartment homes in 12 states and the District of Columbia, of which 18 communities were under development and one community was under redevelopment. The Company is an equity REIT in the business of developing, redeveloping, acquiring and managing apartment communities in leading metropolitan areas in New England, the New York/New Jersey Metro area, the Mid-Atlantic, the Pacific Northwest, and Northern and Southern California, as well as in the Company's expansion regions of Raleigh-Durham and Charlotte, North Carolina, Southeast Florida, Dallas and Austin, Texas, and Denver, Colorado.",2859,"{'maxAge': 1, 'name': 'Ms. Keri A. Shea', 'age': 52, 'title': 'Sr. VP of Fin., Principal Accounting Officer & Treasurer', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,2,7,7,1693526400,1672444800,86400,2,183.46,183.53,182.73,184.54,183.46,183.53,182.73,184.54,6.6,0.0359,1695859200,0.72730005,3.29,0.937067,20.61547,34.761814,1344133,1344133,653448,656500,656500,183.29,184.91,900,900,26115321856,153.07,200.0,9.591358,186.0218,176.82675,6.48,0.03532105,USD,33523572736,0.4594,141329387,142016000,2424994,2238523,1690761600,1693440000,0.0171,0.0038800002,0.94464,4.14,0.0234,142016000,83.303,2.2074835,1672444800,1703980800,1688083200,1.653,1248610944,8.92,5.29,-3.18,12.312,19.814,-0.07884586,0.14113986,1.65,1687996800,NYQ,EQUITY,AVB,AVB,"AvalonBay Communities, Inc.","AvalonBay Communities, Inc.",763396200,America/New_York,EDT,bce3759a-7c70-390c-8510-d287ae091718,finmb_329141,-14400000,183.89,282.0,190.0,204.63,200.0,2.4,buy,19,778371968,5.488,1691888000,8217655808,1.102,1.867,2722797056,69.54,19.418,0.02688,0.10998,1689582000,1177836032,1524462976,1.612,0.075,0.65059,0.62138003,0.32051998,USD,2.7959
6,"4040 Wilson Boulevard, Suite 1000",Arlington,VA,22203-2120,United States,703 329 6300,703 329 9130,https://www.avalonbay.com,REIT—Residential,REIT—Residential,Real Estate,Real Estate,"As of June 30, 2023, the Company owned or held a direct or indirect ownership interest in 294 apartment communities containing 88,659 apartment homes in 12 states and the District of Columbia, of which 18 communities were under development and one community was under redevelopment. The Company is an equity REIT in the business of developing, redeveloping, acquiring and managing apartment communities in leading metropolitan areas in New England, the New York/New Jersey Metro area, the Mid-Atlantic, the Pacific Northwest, and Northern and Southern California, as well as in the Company's expansion regions of Raleigh-Durham and Charlotte, North Carolina, Southeast Florida, Dallas and Austin, Texas, and Denver, Colorado.",2859,"{'maxAge': 1, 'name': 'Mr. Jason  Reilley', 'title': 'VP of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,2,7,7,1693526400,1672444800,86400,2,183.46,183.53,182.73,184.54,183.46,183.53,182.73,184.54,6.6,0.0359,1695859200,0.72730005,3.29,0.937067,20.61547,34.761814,1344133,1344133,653448,656500,656500,183.29,184.91,900,900,26115321856,153.07,200.0,9.591358,186.0218,176.82675,6.48,0.03532105,USD,33523572736,0.4594,141329387,142016000,2424994,2238523,1690761600,1693440000,0.0171,0.0038800002,0.94464,4.14,0.0234,142016000,83.303,2.2074835,1672444800,1703980800,1688083200,1.653,1248610944,8.92,5.29,-3.18,12.312,19.814,-0.07884586,0.14113986,1.65,1687996800,NYQ,EQUITY,AVB,AVB,"AvalonBay Communities, Inc.","AvalonBay Communities, Inc.",763396200,America/New_York,EDT,bce3759a-7c70-390c-8510-d287ae091718,finmb_329141,-14400000,183.89,282.0,190.0,204.63,200.0,2.4,buy,19,778371968,5.488,1691888000,8217655808,1.102,1.867,2722797056,69.54,19.418,0.02688,0.10998,1689582000,1177836032,1524462976,1.612,0.075,0.65059,0.62138003,0.32051998,USD,2.7959
7,"4040 Wilson Boulevard, Suite 1000",Arlington,VA,22203-2120,United States,703 329 6300,703 329 9130,https://www.avalonbay.com,REIT—Residential,REIT—Residential,Real Estate,Real Estate,"As of June 30, 2023, the Company owned or held a direct or indirect ownership interest in 294 apartment communities containing 88,659 apartment homes in 12 states and the District of Columbia, of which 18 communities were under development and one community was under redevelopment. The Company is an equity REIT in the business of developing, redeveloping, acquiring and managing apartment communities in leading metropolitan areas in New England, the New York/New Jersey Metro area, the Mid-Atlantic, the Pacific Northwest, and Northern and Southern California, as well as in the Company's expansion regions of Raleigh-Durham and Charlotte, North Carolina, Southeast Florida, Dallas and Austin, Texas, and Denver, Colorado.",2859,"{'maxAge': 1, 'name': 'Mr. Kurt D. Conway', 'age': 62, 'title': 'Sr. VP of Brand Strategy & Marketing', 'yearBorn': 1960, 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,2,7,7,1693526400,1672444800,86400,2,183.46,183.53,182.73,184.54,183.46,183.53,182.73,184.54,6.6,0.0359,1695859200,0.72730005,3.29,0.937067,20.61547,34.761814,1344133,1344133,653448,656500,656500,183.29,184.91,900,900,26115321856,153.07,200.0,9.591358,186.0218,176.82675,6.48,0.03532105,USD,33523572736,0.4594,141329387,142016000,2424994,2238523,1690761600,1693440000,0.0171,0.0038800002,0.94464,4.14,0.0234,142016000,83.303,2.2074835,1672444800,1703980800,1688083200,1.653,1248610944,8.92,5.29,-3.18,12.312,19.814,-0.07884586,0.14113986,1.65,1687996800,NYQ,EQUITY,AVB,AVB,"AvalonBay Communities, Inc.","AvalonBay Communities, Inc.",763396200,America/New_York,EDT,bce3759a-7c70-390c-8510-d287ae091718,finmb_329141,-14400000,183.89,282.0,190.0,204.63,200.0,2.4,buy,19,778371968,5.488,1691888000,8217655808,1.102,1.867,2722797056,69.54,19.418,0.02688,0.10998,1689582000,1177836032,1524462976,1.612,0.075,0.65059,0.62138003,0.32051998,USD,2.7959
8,"4040 Wilson Boulevard, Suite 1000",Arlington,VA,22203-2120,United States,703 329 6300,703 329 9130,https://www.avalonbay.com,REIT—Residential,REIT—Residential,Real Estate,Real Estate,"As of June 30, 2023, the Company owned or held a direct or indirect ownership interest in 294 apartment communities containing 88,659 apartment homes in 12 states and the District of Columbia, of which 18 communities were under development and one community was under redevelopment. The Company is an equity REIT in the business of developing, redeveloping, acquiring and managing apartment communities in leading metropolitan areas in New England, the New York/New Jersey Metro area, the Mid-Atlantic, the Pacific Northwest, and Northern and Southern California, as well as in the Company's expansion regions of Raleigh-Durham and Charlotte, North Carolina, Southeast Florida, Dallas and Austin, Texas, and Denver, Colorado.",2859,"{'maxAge': 1, 'name': 'Mr. David  Alagno', 'title': 'Sr. VP of HR', 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,2,7,7,1693526400,1672444800,86400,2,183.46,183.53,182.73,184.54,183.46,183.53,182.73,184.54,6.6,0.0359,1695859200,0.72730005,3.29,0.937067,20.61547,34.761814,1344133,1344133,653448,656500,656500,183.29,184.91,900,900,26115321856,153.07,200.0,9.591358,186.0218,176.82675,6.48,0.03532105,USD,33523572736,0.4594,141329387,142016000,2424994,2238523,1690761600,1693440000,0.0171,0.0038800002,0.94464,4.14,0.0234,142016000,83.303,2.2074835,1672444800,1703980800,1688083200,1.653,1248610944,8.92,5.29,-3.18,12.312,19.814,-0.07884586,0.14113986,1.65,1687996800,NYQ,EQUITY,AVB,AVB,"AvalonBay Communities, Inc.","AvalonBay Communities, Inc.",763396200,America/New_York,EDT,bce3759a-7c70-390c-8510-d287ae091718,finmb_329141,-14400000,183.89,282.0,190.0,204.63,200.0,2.4,buy,19,778371968,5.488,1691888000,8217655808,1.102,1.867,2722797056,69.54,19.418,0.02688,0.10998,1689582000,1177836032,1524462976,1.612,0.075,0.65059,0.62138003,0.32051998,USD,2.7959
9,"4040 Wilson Boulevard, Suite 1000",Arlington,VA,22203-2120,United States,703 329 6300,703 329 9130,https://www.avalonbay.com,REIT—Residential,REIT—Residential,Real Estate,Real Estate,"As of June 30, 2023, the Company owned or held a direct or indirect ownership interest in 294 apartment communities containing 88,659 apartment homes in 12 states and the District of Columbia, of which 18 communities were under development and one community was under redevelopment. The Company is an equity REIT in the business of developing, redeveloping, acquiring and managing apartment communities in leading metropolitan areas in New England, the New York/New Jersey Metro area, the Mid-Atlantic, the Pacific Northwest, and Northern and Southern California, as well as in the Company's expansion regions of Raleigh-Durham and Charlotte, North Carolina, Southeast Florida, Dallas and Austin, Texas, and Denver, Colorado.",2859,"{'maxAge': 1, 'name': 'Mr. Ronald S. Ladell', 'age': 60, 'title': 'Sr. VP of Devel. - New Jersey', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,2,7,7,1693526400,1672444800,86400,2,183.46,183.53,182.73,184.54,183.46,183.53,182.73,184.54,6.6,0.0359,1695859200,0.72730005,3.29,0.937067,20.61547,34.761814,1344133,1344133,653448,656500,656500,183.29,184.91,900,900,26115321856,153.07,200.0,9.591358,186.0218,176.82675,6.48,0.03532105,USD,33523572736,0.4594,141329387,142016000,2424994,2238523,1690761600,1693440000,0.0171,0.0038800002,0.94464,4.14,0.0234,142016000,83.303,2.2074835,1672444800,1703980800,1688083200,1.653,1248610944,8.92,5.29,-3.18,12.312,19.814,-0.07884586,0.14113986,1.65,1687996800,NYQ,EQUITY,AVB,AVB,"AvalonBay Communities, Inc.","AvalonBay Communities, Inc.",763396200,America/New_York,EDT,bce3759a-7c70-390c-8510-d287ae091718,finmb_329141,-14400000,183.89,282.0,190.0,204.63,200.0,2.4,buy,19,778371968,5.488,1691888000,8217655808,1.102,1.867,2722797056,69.54,19.418,0.02688,0.10998,1689582000,1177836032,1524462976,1.612,0.075,0.65059,0.62138003,0.32051998,USD,2.7959
