,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,650 Liberty Avenue,Union,NJ,07083,United States,908 688 0888,https://www.bedbathandbeyond.com,Specialty Retail,Consumer Cyclical,"Bed Bath & Beyond Inc., together with its subsidiaries, operates a chain of retail stores. It sells a range of domestics merchandise, including bed linens and related items, bath items, and kitchen textiles; and home furnishings, such as kitchen and tabletop items, fine tabletop, basic housewares, general home furnishings, consumables, and various juvenile products. The company operates stores under the names Bed Bath & Beyond, and buybuy BABY. It also offers products through various omni-channel platform comprising websites and applications; and physical retail stores, as well as e-commerce platforms bedbathandbeyond.com and buybuybaby.com. Bed Bath & Beyond Inc. was incorporated in 1971 and is headquartered in Union, New Jersey. On April 23, 2023, Bed Bath & Beyond Inc. along with its affiliates, filed a voluntary petition for reorganization under Chapter 11 in the U.S. Bankruptcy Court for the District of New Jersey.",20000,"{'maxAge': 1, 'name': 'Ms. Sue Ellen Gove', 'age': 64, 'title': 'CEO, Pres & Director', 'yearBorn': 1958, 'fiscalYear': 2022, 'totalPay': 2143730, 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,3,1,1,1690848000,1672444800,86400,4,1.18,0.0,0.0,0.0,1.18,0.0,0.0,0.0,1583971200,0.0,1.479736,0,0,0,0,0,0.0,0.0,0,0,3592262144,0.0,163.13,0.6721186,1.18,17.8577,0.0,0.0,MXN,4147564288,-0.65462995,737119844,739057024,0.0017,0.10090999,-10.83,1677283200,1708819200,1677283200,-3498800896,-607.73,0.776,-5.674,MEX,EQUITY,BBBY.MX,BBBY.MX,BED BATH AND BEYOND,Bed Bath & Beyond Inc.,1210768200,America/Mexico_City,CDT,-18000000,1.18,none,65853000,0.089,-730998976,3341899008,0.033,0.439,5344685056,55.04,-0.19680001,21052000,-990979008,-0.422,0.22731,-0.13677,-0.21667999,USD,
1,650 Liberty Avenue,Union,NJ,07083,United States,908 688 0888,https://www.bedbathandbeyond.com,Specialty Retail,Consumer Cyclical,"Bed Bath & Beyond Inc., together with its subsidiaries, operates a chain of retail stores. It sells a range of domestics merchandise, including bed linens and related items, bath items, and kitchen textiles; and home furnishings, such as kitchen and tabletop items, fine tabletop, basic housewares, general home furnishings, consumables, and various juvenile products. The company operates stores under the names Bed Bath & Beyond, and buybuy BABY. It also offers products through various omni-channel platform comprising websites and applications; and physical retail stores, as well as e-commerce platforms bedbathandbeyond.com and buybuybaby.com. Bed Bath & Beyond Inc. was incorporated in 1971 and is headquartered in Union, New Jersey. On April 23, 2023, Bed Bath & Beyond Inc. along with its affiliates, filed a voluntary petition for reorganization under Chapter 11 in the U.S. Bankruptcy Court for the District of New Jersey.",20000,"{'maxAge': 1, 'name': 'Ms. Laura  Crossen', 'age': 52, 'title': 'Sr. VP of Fin. & Chief Accounting Officer', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 1094056, 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,3,1,1,1690848000,1672444800,86400,4,1.18,0.0,0.0,0.0,1.18,0.0,0.0,0.0,1583971200,0.0,1.479736,0,0,0,0,0,0.0,0.0,0,0,3592262144,0.0,163.13,0.6721186,1.18,17.8577,0.0,0.0,MXN,4147564288,-0.65462995,737119844,739057024,0.0017,0.10090999,-10.83,1677283200,1708819200,1677283200,-3498800896,-607.73,0.776,-5.674,MEX,EQUITY,BBBY.MX,BBBY.MX,BED BATH AND BEYOND,Bed Bath & Beyond Inc.,1210768200,America/Mexico_City,CDT,-18000000,1.18,none,65853000,0.089,-730998976,3341899008,0.033,0.439,5344685056,55.04,-0.19680001,21052000,-990979008,-0.422,0.22731,-0.13677,-0.21667999,USD,
2,650 Liberty Avenue,Union,NJ,07083,United States,908 688 0888,https://www.bedbathandbeyond.com,Specialty Retail,Consumer Cyclical,"Bed Bath & Beyond Inc., together with its subsidiaries, operates a chain of retail stores. It sells a range of domestics merchandise, including bed linens and related items, bath items, and kitchen textiles; and home furnishings, such as kitchen and tabletop items, fine tabletop, basic housewares, general home furnishings, consumables, and various juvenile products. The company operates stores under the names Bed Bath & Beyond, and buybuy BABY. It also offers products through various omni-channel platform comprising websites and applications; and physical retail stores, as well as e-commerce platforms bedbathandbeyond.com and buybuybaby.com. Bed Bath & Beyond Inc. was incorporated in 1971 and is headquartered in Union, New Jersey. On April 23, 2023, Bed Bath & Beyond Inc. along with its affiliates, filed a voluntary petition for reorganization under Chapter 11 in the U.S. Bankruptcy Court for the District of New Jersey.",20000,"{'maxAge': 1, 'name': 'Ms. Lynda  Markoe', 'age': 55, 'title': 'Exec. VP and Chief People & Culture Officer', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 933756, 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,3,1,1,1690848000,1672444800,86400,4,1.18,0.0,0.0,0.0,1.18,0.0,0.0,0.0,1583971200,0.0,1.479736,0,0,0,0,0,0.0,0.0,0,0,3592262144,0.0,163.13,0.6721186,1.18,17.8577,0.0,0.0,MXN,4147564288,-0.65462995,737119844,739057024,0.0017,0.10090999,-10.83,1677283200,1708819200,1677283200,-3498800896,-607.73,0.776,-5.674,MEX,EQUITY,BBBY.MX,BBBY.MX,BED BATH AND BEYOND,Bed Bath & Beyond Inc.,1210768200,America/Mexico_City,CDT,-18000000,1.18,none,65853000,0.089,-730998976,3341899008,0.033,0.439,5344685056,55.04,-0.19680001,21052000,-990979008,-0.422,0.22731,-0.13677,-0.21667999,USD,
3,650 Liberty Avenue,Union,NJ,07083,United States,908 688 0888,https://www.bedbathandbeyond.com,Specialty Retail,Consumer Cyclical,"Bed Bath & Beyond Inc., together with its subsidiaries, operates a chain of retail stores. It sells a range of domestics merchandise, including bed linens and related items, bath items, and kitchen textiles; and home furnishings, such as kitchen and tabletop items, fine tabletop, basic housewares, general home furnishings, consumables, and various juvenile products. The company operates stores under the names Bed Bath & Beyond, and buybuy BABY. It also offers products through various omni-channel platform comprising websites and applications; and physical retail stores, as well as e-commerce platforms bedbathandbeyond.com and buybuybaby.com. Bed Bath & Beyond Inc. was incorporated in 1971 and is headquartered in Union, New Jersey. On April 23, 2023, Bed Bath & Beyond Inc. along with its affiliates, filed a voluntary petition for reorganization under Chapter 11 in the U.S. Bankruptcy Court for the District of New Jersey.",20000,"{'maxAge': 1, 'name': 'Ms. Patricia  Wu', 'age': 49, 'title': 'Exec. VP & Brand Pres of buybuy BABY', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 958154, 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,3,1,1,1690848000,1672444800,86400,4,1.18,0.0,0.0,0.0,1.18,0.0,0.0,0.0,1583971200,0.0,1.479736,0,0,0,0,0,0.0,0.0,0,0,3592262144,0.0,163.13,0.6721186,1.18,17.8577,0.0,0.0,MXN,4147564288,-0.65462995,737119844,739057024,0.0017,0.10090999,-10.83,1677283200,1708819200,1677283200,-3498800896,-607.73,0.776,-5.674,MEX,EQUITY,BBBY.MX,BBBY.MX,BED BATH AND BEYOND,Bed Bath & Beyond Inc.,1210768200,America/Mexico_City,CDT,-18000000,1.18,none,65853000,0.089,-730998976,3341899008,0.033,0.439,5344685056,55.04,-0.19680001,21052000,-990979008,-0.422,0.22731,-0.13677,-0.21667999,USD,
4,650 Liberty Avenue,Union,NJ,07083,United States,908 688 0888,https://www.bedbathandbeyond.com,Specialty Retail,Consumer Cyclical,"Bed Bath & Beyond Inc., together with its subsidiaries, operates a chain of retail stores. It sells a range of domestics merchandise, including bed linens and related items, bath items, and kitchen textiles; and home furnishings, such as kitchen and tabletop items, fine tabletop, basic housewares, general home furnishings, consumables, and various juvenile products. The company operates stores under the names Bed Bath & Beyond, and buybuy BABY. It also offers products through various omni-channel platform comprising websites and applications; and physical retail stores, as well as e-commerce platforms bedbathandbeyond.com and buybuybaby.com. Bed Bath & Beyond Inc. was incorporated in 1971 and is headquartered in Union, New Jersey. On April 23, 2023, Bed Bath & Beyond Inc. along with its affiliates, filed a voluntary petition for reorganization under Chapter 11 in the U.S. Bankruptcy Court for the District of New Jersey.",20000,"{'maxAge': 1, 'name': 'Ms. Holly Fielder Etlin', 'age': 64, 'title': 'CFO & Chief Restructuring Officer', 'yearBorn': 1958, 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,3,1,1,1690848000,1672444800,86400,4,1.18,0.0,0.0,0.0,1.18,0.0,0.0,0.0,1583971200,0.0,1.479736,0,0,0,0,0,0.0,0.0,0,0,3592262144,0.0,163.13,0.6721186,1.18,17.8577,0.0,0.0,MXN,4147564288,-0.65462995,737119844,739057024,0.0017,0.10090999,-10.83,1677283200,1708819200,1677283200,-3498800896,-607.73,0.776,-5.674,MEX,EQUITY,BBBY.MX,BBBY.MX,BED BATH AND BEYOND,Bed Bath & Beyond Inc.,1210768200,America/Mexico_City,CDT,-18000000,1.18,none,65853000,0.089,-730998976,3341899008,0.033,0.439,5344685056,55.04,-0.19680001,21052000,-990979008,-0.422,0.22731,-0.13677,-0.21667999,USD,
5,650 Liberty Avenue,Union,NJ,07083,United States,908 688 0888,https://www.bedbathandbeyond.com,Specialty Retail,Consumer Cyclical,"Bed Bath & Beyond Inc., together with its subsidiaries, operates a chain of retail stores. It sells a range of domestics merchandise, including bed linens and related items, bath items, and kitchen textiles; and home furnishings, such as kitchen and tabletop items, fine tabletop, basic housewares, general home furnishings, consumables, and various juvenile products. The company operates stores under the names Bed Bath & Beyond, and buybuy BABY. It also offers products through various omni-channel platform comprising websites and applications; and physical retail stores, as well as e-commerce platforms bedbathandbeyond.com and buybuybaby.com. Bed Bath & Beyond Inc. was incorporated in 1971 and is headquartered in Union, New Jersey. On April 23, 2023, Bed Bath & Beyond Inc. along with its affiliates, filed a voluntary petition for reorganization under Chapter 11 in the U.S. Bankruptcy Court for the District of New Jersey.",20000,"{'maxAge': 1, 'name': 'Mr. Scott  Lindblom', 'title': 'Exec. VP and Chief Technology & Digital Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,3,1,1,1690848000,1672444800,86400,4,1.18,0.0,0.0,0.0,1.18,0.0,0.0,0.0,1583971200,0.0,1.479736,0,0,0,0,0,0.0,0.0,0,0,3592262144,0.0,163.13,0.6721186,1.18,17.8577,0.0,0.0,MXN,4147564288,-0.65462995,737119844,739057024,0.0017,0.10090999,-10.83,1677283200,1708819200,1677283200,-3498800896,-607.73,0.776,-5.674,MEX,EQUITY,BBBY.MX,BBBY.MX,BED BATH AND BEYOND,Bed Bath & Beyond Inc.,1210768200,America/Mexico_City,CDT,-18000000,1.18,none,65853000,0.089,-730998976,3341899008,0.033,0.439,5344685056,55.04,-0.19680001,21052000,-990979008,-0.422,0.22731,-0.13677,-0.21667999,USD,
6,650 Liberty Avenue,Union,NJ,07083,United States,908 688 0888,https://www.bedbathandbeyond.com,Specialty Retail,Consumer Cyclical,"Bed Bath & Beyond Inc., together with its subsidiaries, operates a chain of retail stores. It sells a range of domestics merchandise, including bed linens and related items, bath items, and kitchen textiles; and home furnishings, such as kitchen and tabletop items, fine tabletop, basic housewares, general home furnishings, consumables, and various juvenile products. The company operates stores under the names Bed Bath & Beyond, and buybuy BABY. It also offers products through various omni-channel platform comprising websites and applications; and physical retail stores, as well as e-commerce platforms bedbathandbeyond.com and buybuybaby.com. Bed Bath & Beyond Inc. was incorporated in 1971 and is headquartered in Union, New Jersey. On April 23, 2023, Bed Bath & Beyond Inc. along with its affiliates, filed a voluntary petition for reorganization under Chapter 11 in the U.S. Bankruptcy Court for the District of New Jersey.",20000,"{'maxAge': 1, 'name': 'Ms. Susie A. Kim', 'title': 'Head of Treasury, Sr. VP of Treasury & Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,3,1,1,1690848000,1672444800,86400,4,1.18,0.0,0.0,0.0,1.18,0.0,0.0,0.0,1583971200,0.0,1.479736,0,0,0,0,0,0.0,0.0,0,0,3592262144,0.0,163.13,0.6721186,1.18,17.8577,0.0,0.0,MXN,4147564288,-0.65462995,737119844,739057024,0.0017,0.10090999,-10.83,1677283200,1708819200,1677283200,-3498800896,-607.73,0.776,-5.674,MEX,EQUITY,BBBY.MX,BBBY.MX,BED BATH AND BEYOND,Bed Bath & Beyond Inc.,1210768200,America/Mexico_City,CDT,-18000000,1.18,none,65853000,0.089,-730998976,3341899008,0.033,0.439,5344685056,55.04,-0.19680001,21052000,-990979008,-0.422,0.22731,-0.13677,-0.21667999,USD,
7,650 Liberty Avenue,Union,NJ,07083,United States,908 688 0888,https://www.bedbathandbeyond.com,Specialty Retail,Consumer Cyclical,"Bed Bath & Beyond Inc., together with its subsidiaries, operates a chain of retail stores. It sells a range of domestics merchandise, including bed linens and related items, bath items, and kitchen textiles; and home furnishings, such as kitchen and tabletop items, fine tabletop, basic housewares, general home furnishings, consumables, and various juvenile products. The company operates stores under the names Bed Bath & Beyond, and buybuy BABY. It also offers products through various omni-channel platform comprising websites and applications; and physical retail stores, as well as e-commerce platforms bedbathandbeyond.com and buybuybaby.com. Bed Bath & Beyond Inc. was incorporated in 1971 and is headquartered in Union, New Jersey. On April 23, 2023, Bed Bath & Beyond Inc. along with its affiliates, filed a voluntary petition for reorganization under Chapter 11 in the U.S. Bankruptcy Court for the District of New Jersey.",20000,"{'maxAge': 1, 'name': 'Mr. David M. Kastin Esq.', 'age': 54, 'title': 'Exec. VP, Chief Legal Officer & Corp. Sec.', 'yearBorn': 1968, 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,3,1,1,1690848000,1672444800,86400,4,1.18,0.0,0.0,0.0,1.18,0.0,0.0,0.0,1583971200,0.0,1.479736,0,0,0,0,0,0.0,0.0,0,0,3592262144,0.0,163.13,0.6721186,1.18,17.8577,0.0,0.0,MXN,4147564288,-0.65462995,737119844,739057024,0.0017,0.10090999,-10.83,1677283200,1708819200,1677283200,-3498800896,-607.73,0.776,-5.674,MEX,EQUITY,BBBY.MX,BBBY.MX,BED BATH AND BEYOND,Bed Bath & Beyond Inc.,1210768200,America/Mexico_City,CDT,-18000000,1.18,none,65853000,0.089,-730998976,3341899008,0.033,0.439,5344685056,55.04,-0.19680001,21052000,-990979008,-0.422,0.22731,-0.13677,-0.21667999,USD,
8,650 Liberty Avenue,Union,NJ,07083,United States,908 688 0888,https://www.bedbathandbeyond.com,Specialty Retail,Consumer Cyclical,"Bed Bath & Beyond Inc., together with its subsidiaries, operates a chain of retail stores. It sells a range of domestics merchandise, including bed linens and related items, bath items, and kitchen textiles; and home furnishings, such as kitchen and tabletop items, fine tabletop, basic housewares, general home furnishings, consumables, and various juvenile products. The company operates stores under the names Bed Bath & Beyond, and buybuy BABY. It also offers products through various omni-channel platform comprising websites and applications; and physical retail stores, as well as e-commerce platforms bedbathandbeyond.com and buybuybaby.com. Bed Bath & Beyond Inc. was incorporated in 1971 and is headquartered in Union, New Jersey. On April 23, 2023, Bed Bath & Beyond Inc. along with its affiliates, filed a voluntary petition for reorganization under Chapter 11 in the U.S. Bankruptcy Court for the District of New Jersey.",20000,"{'maxAge': 1, 'name': 'Mr. Hobart P. Sichel', 'age': 57, 'title': 'Exec. VP and Chief Marketing & Customer Officer', 'yearBorn': 1965, 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,3,1,1,1690848000,1672444800,86400,4,1.18,0.0,0.0,0.0,1.18,0.0,0.0,0.0,1583971200,0.0,1.479736,0,0,0,0,0,0.0,0.0,0,0,3592262144,0.0,163.13,0.6721186,1.18,17.8577,0.0,0.0,MXN,4147564288,-0.65462995,737119844,739057024,0.0017,0.10090999,-10.83,1677283200,1708819200,1677283200,-3498800896,-607.73,0.776,-5.674,MEX,EQUITY,BBBY.MX,BBBY.MX,BED BATH AND BEYOND,Bed Bath & Beyond Inc.,1210768200,America/Mexico_City,CDT,-18000000,1.18,none,65853000,0.089,-730998976,3341899008,0.033,0.439,5344685056,55.04,-0.19680001,21052000,-990979008,-0.422,0.22731,-0.13677,-0.21667999,USD,
9,650 Liberty Avenue,Union,NJ,07083,United States,908 688 0888,https://www.bedbathandbeyond.com,Specialty Retail,Consumer Cyclical,"Bed Bath & Beyond Inc., together with its subsidiaries, operates a chain of retail stores. It sells a range of domestics merchandise, including bed linens and related items, bath items, and kitchen textiles; and home furnishings, such as kitchen and tabletop items, fine tabletop, basic housewares, general home furnishings, consumables, and various juvenile products. The company operates stores under the names Bed Bath & Beyond, and buybuy BABY. It also offers products through various omni-channel platform comprising websites and applications; and physical retail stores, as well as e-commerce platforms bedbathandbeyond.com and buybuybaby.com. Bed Bath & Beyond Inc. was incorporated in 1971 and is headquartered in Union, New Jersey. On April 23, 2023, Bed Bath & Beyond Inc. along with its affiliates, filed a voluntary petition for reorganization under Chapter 11 in the U.S. Bankruptcy Court for the District of New Jersey.",20000,"{'maxAge': 1, 'name': 'Mr. Wade E. Haddad', 'age': 55, 'title': 'Sr. VP of Real Estate & Construction', 'yearBorn': 1967, 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,3,1,1,1690848000,1672444800,86400,4,1.18,0.0,0.0,0.0,1.18,0.0,0.0,0.0,1583971200,0.0,1.479736,0,0,0,0,0,0.0,0.0,0,0,3592262144,0.0,163.13,0.6721186,1.18,17.8577,0.0,0.0,MXN,4147564288,-0.65462995,737119844,739057024,0.0017,0.10090999,-10.83,1677283200,1708819200,1677283200,-3498800896,-607.73,0.776,-5.674,MEX,EQUITY,BBBY.MX,BBBY.MX,BED BATH AND BEYOND,Bed Bath & Beyond Inc.,1210768200,America/Mexico_City,CDT,-18000000,1.18,none,65853000,0.089,-730998976,3341899008,0.033,0.439,5344685056,55.04,-0.19680001,21052000,-990979008,-0.422,0.22731,-0.13677,-0.21667999,USD,
