,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,7501 Wisconsin Avenue,Suite 1500E,Bethesda,MD,20814-6522,United States,301 986 6200,301 986 6079,https://www.saulcenters.com,REIT—Retail,Real Estate,"Saul Centers, Inc. is a self-managed, self-administered equity REIT headquartered in Bethesda, Maryland, which currently operates and manages a real estate portfolio of 61 properties, which includes (a) 50 community and neighborhood shopping centers and seven mixed-use properties with approximately 9.8 million square feet of leasable area and (b) four non-operating land and development properties. Over 85% of the Saul Centers' property operating income is generated by properties in the metropolitan Washington, D.C./Baltimore area.",129,"{'maxAge': 1, 'name': 'Mr. Bernard Francis Saul II', 'age': 89, 'title': 'Chairman & CEO', 'yearBorn': 1933, 'fiscalYear': 2022, 'totalPay': 185000, 'exercisedValue': 0, 'unexercisedValue': 0}",9,10,8,9,10,1693526400,1672444800,86400,2,37.71,37.53,37.09,37.53,37.71,37.53,37.09,37.53,2.36,0.0634,1689292800,1.4389999,5.22,1.140387,22.707317,11.458462,150920,150920,37929,47110,47110,37.25,39.69,1100,800,1219330816,32.13,44.09,4.8737946,37.5964,38.24375,2.36,0.062582865,USD,2480816128,0.20176001,13326850,23942500,109114,103078,1690761600,1693440000,0.0046,0.46268,0.466,3.88,0.0124,8.749,4.256487,1672444800,1703980800,1688083200,0.011,39283000,1.64,3.25,9.916,15.754,NYQ,EQUITY,BFS,BFS,"Saul Centers, Inc.","Saul Centers, Inc.",745767000,America/New_York,EDT,-14400000,37.24,41.0,41.0,41.0,41.0,3.0,hold,1,11473000,0.479,157476000,1297030016,0.896,0.896,250180992,252.319,10.416,0.03842,0.12595999,181338000,109594128,123359000,0.009,0.057,0.73819,0.62945,0.45319998,USD,
1,7501 Wisconsin Avenue,Suite 1500E,Bethesda,MD,20814-6522,United States,301 986 6200,301 986 6079,https://www.saulcenters.com,REIT—Retail,Real Estate,"Saul Centers, Inc. is a self-managed, self-administered equity REIT headquartered in Bethesda, Maryland, which currently operates and manages a real estate portfolio of 61 properties, which includes (a) 50 community and neighborhood shopping centers and seven mixed-use properties with approximately 9.8 million square feet of leasable area and (b) four non-operating land and development properties. Over 85% of the Saul Centers' property operating income is generated by properties in the metropolitan Washington, D.C./Baltimore area.",129,"{'maxAge': 1, 'name': 'Mr. David Todd Pearson', 'age': 41, 'title': 'Pres COO & Director', 'yearBorn': 1981, 'fiscalYear': 2022, 'totalPay': 892114, 'exercisedValue': 0, 'unexercisedValue': 0}",9,10,8,9,10,1693526400,1672444800,86400,2,37.71,37.53,37.09,37.53,37.71,37.53,37.09,37.53,2.36,0.0634,1689292800,1.4389999,5.22,1.140387,22.707317,11.458462,150920,150920,37929,47110,47110,37.25,39.69,1100,800,1219330816,32.13,44.09,4.8737946,37.5964,38.24375,2.36,0.062582865,USD,2480816128,0.20176001,13326850,23942500,109114,103078,1690761600,1693440000,0.0046,0.46268,0.466,3.88,0.0124,8.749,4.256487,1672444800,1703980800,1688083200,0.011,39283000,1.64,3.25,9.916,15.754,NYQ,EQUITY,BFS,BFS,"Saul Centers, Inc.","Saul Centers, Inc.",745767000,America/New_York,EDT,-14400000,37.24,41.0,41.0,41.0,41.0,3.0,hold,1,11473000,0.479,157476000,1297030016,0.896,0.896,250180992,252.319,10.416,0.03842,0.12595999,181338000,109594128,123359000,0.009,0.057,0.73819,0.62945,0.45319998,USD,
2,7501 Wisconsin Avenue,Suite 1500E,Bethesda,MD,20814-6522,United States,301 986 6200,301 986 6079,https://www.saulcenters.com,REIT—Retail,Real Estate,"Saul Centers, Inc. is a self-managed, self-administered equity REIT headquartered in Bethesda, Maryland, which currently operates and manages a real estate portfolio of 61 properties, which includes (a) 50 community and neighborhood shopping centers and seven mixed-use properties with approximately 9.8 million square feet of leasable area and (b) four non-operating land and development properties. Over 85% of the Saul Centers' property operating income is generated by properties in the metropolitan Washington, D.C./Baltimore area.",129,"{'maxAge': 1, 'name': 'Mr. Carlos L. Heard', 'age': 46, 'title': 'Sr. VP & CFO', 'yearBorn': 1976, 'fiscalYear': 2022, 'totalPay': 535586, 'exercisedValue': 0, 'unexercisedValue': 0}",9,10,8,9,10,1693526400,1672444800,86400,2,37.71,37.53,37.09,37.53,37.71,37.53,37.09,37.53,2.36,0.0634,1689292800,1.4389999,5.22,1.140387,22.707317,11.458462,150920,150920,37929,47110,47110,37.25,39.69,1100,800,1219330816,32.13,44.09,4.8737946,37.5964,38.24375,2.36,0.062582865,USD,2480816128,0.20176001,13326850,23942500,109114,103078,1690761600,1693440000,0.0046,0.46268,0.466,3.88,0.0124,8.749,4.256487,1672444800,1703980800,1688083200,0.011,39283000,1.64,3.25,9.916,15.754,NYQ,EQUITY,BFS,BFS,"Saul Centers, Inc.","Saul Centers, Inc.",745767000,America/New_York,EDT,-14400000,37.24,41.0,41.0,41.0,41.0,3.0,hold,1,11473000,0.479,157476000,1297030016,0.896,0.896,250180992,252.319,10.416,0.03842,0.12595999,181338000,109594128,123359000,0.009,0.057,0.73819,0.62945,0.45319998,USD,
3,7501 Wisconsin Avenue,Suite 1500E,Bethesda,MD,20814-6522,United States,301 986 6200,301 986 6079,https://www.saulcenters.com,REIT—Retail,Real Estate,"Saul Centers, Inc. is a self-managed, self-administered equity REIT headquartered in Bethesda, Maryland, which currently operates and manages a real estate portfolio of 61 properties, which includes (a) 50 community and neighborhood shopping centers and seven mixed-use properties with approximately 9.8 million square feet of leasable area and (b) four non-operating land and development properties. Over 85% of the Saul Centers' property operating income is generated by properties in the metropolitan Washington, D.C./Baltimore area.",129,"{'maxAge': 1, 'name': 'Mr. Christopher H. Netter', 'age': 67, 'title': 'Exec. VP of Retail Leasing', 'yearBorn': 1955, 'fiscalYear': 2022, 'totalPay': 770927, 'exercisedValue': 0, 'unexercisedValue': 0}",9,10,8,9,10,1693526400,1672444800,86400,2,37.71,37.53,37.09,37.53,37.71,37.53,37.09,37.53,2.36,0.0634,1689292800,1.4389999,5.22,1.140387,22.707317,11.458462,150920,150920,37929,47110,47110,37.25,39.69,1100,800,1219330816,32.13,44.09,4.8737946,37.5964,38.24375,2.36,0.062582865,USD,2480816128,0.20176001,13326850,23942500,109114,103078,1690761600,1693440000,0.0046,0.46268,0.466,3.88,0.0124,8.749,4.256487,1672444800,1703980800,1688083200,0.011,39283000,1.64,3.25,9.916,15.754,NYQ,EQUITY,BFS,BFS,"Saul Centers, Inc.","Saul Centers, Inc.",745767000,America/New_York,EDT,-14400000,37.24,41.0,41.0,41.0,41.0,3.0,hold,1,11473000,0.479,157476000,1297030016,0.896,0.896,250180992,252.319,10.416,0.03842,0.12595999,181338000,109594128,123359000,0.009,0.057,0.73819,0.62945,0.45319998,USD,
4,7501 Wisconsin Avenue,Suite 1500E,Bethesda,MD,20814-6522,United States,301 986 6200,301 986 6079,https://www.saulcenters.com,REIT—Retail,Real Estate,"Saul Centers, Inc. is a self-managed, self-administered equity REIT headquartered in Bethesda, Maryland, which currently operates and manages a real estate portfolio of 61 properties, which includes (a) 50 community and neighborhood shopping centers and seven mixed-use properties with approximately 9.8 million square feet of leasable area and (b) four non-operating land and development properties. Over 85% of the Saul Centers' property operating income is generated by properties in the metropolitan Washington, D.C./Baltimore area.",129,"{'maxAge': 1, 'name': 'Mr. John F. Collich', 'age': 62, 'title': 'Sr. VP and Chief Acquisitions & Devel. Officer', 'yearBorn': 1960, 'fiscalYear': 2022, 'totalPay': 599870, 'exercisedValue': 0, 'unexercisedValue': 0}",9,10,8,9,10,1693526400,1672444800,86400,2,37.71,37.53,37.09,37.53,37.71,37.53,37.09,37.53,2.36,0.0634,1689292800,1.4389999,5.22,1.140387,22.707317,11.458462,150920,150920,37929,47110,47110,37.25,39.69,1100,800,1219330816,32.13,44.09,4.8737946,37.5964,38.24375,2.36,0.062582865,USD,2480816128,0.20176001,13326850,23942500,109114,103078,1690761600,1693440000,0.0046,0.46268,0.466,3.88,0.0124,8.749,4.256487,1672444800,1703980800,1688083200,0.011,39283000,1.64,3.25,9.916,15.754,NYQ,EQUITY,BFS,BFS,"Saul Centers, Inc.","Saul Centers, Inc.",745767000,America/New_York,EDT,-14400000,37.24,41.0,41.0,41.0,41.0,3.0,hold,1,11473000,0.479,157476000,1297030016,0.896,0.896,250180992,252.319,10.416,0.03842,0.12595999,181338000,109594128,123359000,0.009,0.057,0.73819,0.62945,0.45319998,USD,
5,7501 Wisconsin Avenue,Suite 1500E,Bethesda,MD,20814-6522,United States,301 986 6200,301 986 6079,https://www.saulcenters.com,REIT—Retail,Real Estate,"Saul Centers, Inc. is a self-managed, self-administered equity REIT headquartered in Bethesda, Maryland, which currently operates and manages a real estate portfolio of 61 properties, which includes (a) 50 community and neighborhood shopping centers and seven mixed-use properties with approximately 9.8 million square feet of leasable area and (b) four non-operating land and development properties. Over 85% of the Saul Centers' property operating income is generated by properties in the metropolitan Washington, D.C./Baltimore area.",129,"{'maxAge': 1, 'name': 'Ms. Willoughby B. Laycock', 'age': 34, 'title': 'Sr. VP of Residential Design & Market and Director', 'yearBorn': 1988, 'fiscalYear': 2022, 'totalPay': 26000, 'exercisedValue': 0, 'unexercisedValue': 0}",9,10,8,9,10,1693526400,1672444800,86400,2,37.71,37.53,37.09,37.53,37.71,37.53,37.09,37.53,2.36,0.0634,1689292800,1.4389999,5.22,1.140387,22.707317,11.458462,150920,150920,37929,47110,47110,37.25,39.69,1100,800,1219330816,32.13,44.09,4.8737946,37.5964,38.24375,2.36,0.062582865,USD,2480816128,0.20176001,13326850,23942500,109114,103078,1690761600,1693440000,0.0046,0.46268,0.466,3.88,0.0124,8.749,4.256487,1672444800,1703980800,1688083200,0.011,39283000,1.64,3.25,9.916,15.754,NYQ,EQUITY,BFS,BFS,"Saul Centers, Inc.","Saul Centers, Inc.",745767000,America/New_York,EDT,-14400000,37.24,41.0,41.0,41.0,41.0,3.0,hold,1,11473000,0.479,157476000,1297030016,0.896,0.896,250180992,252.319,10.416,0.03842,0.12595999,181338000,109594128,123359000,0.009,0.057,0.73819,0.62945,0.45319998,USD,
6,7501 Wisconsin Avenue,Suite 1500E,Bethesda,MD,20814-6522,United States,301 986 6200,301 986 6079,https://www.saulcenters.com,REIT—Retail,Real Estate,"Saul Centers, Inc. is a self-managed, self-administered equity REIT headquartered in Bethesda, Maryland, which currently operates and manages a real estate portfolio of 61 properties, which includes (a) 50 community and neighborhood shopping centers and seven mixed-use properties with approximately 9.8 million square feet of leasable area and (b) four non-operating land and development properties. Over 85% of the Saul Centers' property operating income is generated by properties in the metropolitan Washington, D.C./Baltimore area.",129,"{'maxAge': 1, 'name': 'Mr. Joel Albert Friedman', 'age': 64, 'title': 'Sr. VP, Chief Accounting Officer & Treasurer', 'yearBorn': 1958, 'exercisedValue': 0, 'unexercisedValue': 0}",9,10,8,9,10,1693526400,1672444800,86400,2,37.71,37.53,37.09,37.53,37.71,37.53,37.09,37.53,2.36,0.0634,1689292800,1.4389999,5.22,1.140387,22.707317,11.458462,150920,150920,37929,47110,47110,37.25,39.69,1100,800,1219330816,32.13,44.09,4.8737946,37.5964,38.24375,2.36,0.062582865,USD,2480816128,0.20176001,13326850,23942500,109114,103078,1690761600,1693440000,0.0046,0.46268,0.466,3.88,0.0124,8.749,4.256487,1672444800,1703980800,1688083200,0.011,39283000,1.64,3.25,9.916,15.754,NYQ,EQUITY,BFS,BFS,"Saul Centers, Inc.","Saul Centers, Inc.",745767000,America/New_York,EDT,-14400000,37.24,41.0,41.0,41.0,41.0,3.0,hold,1,11473000,0.479,157476000,1297030016,0.896,0.896,250180992,252.319,10.416,0.03842,0.12595999,181338000,109594128,123359000,0.009,0.057,0.73819,0.62945,0.45319998,USD,
7,7501 Wisconsin Avenue,Suite 1500E,Bethesda,MD,20814-6522,United States,301 986 6200,301 986 6079,https://www.saulcenters.com,REIT—Retail,Real Estate,"Saul Centers, Inc. is a self-managed, self-administered equity REIT headquartered in Bethesda, Maryland, which currently operates and manages a real estate portfolio of 61 properties, which includes (a) 50 community and neighborhood shopping centers and seven mixed-use properties with approximately 9.8 million square feet of leasable area and (b) four non-operating land and development properties. Over 85% of the Saul Centers' property operating income is generated by properties in the metropolitan Washington, D.C./Baltimore area.",129,"{'maxAge': 1, 'name': 'Keith  Brown', 'title': 'Sr. VP & Chief Information Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",9,10,8,9,10,1693526400,1672444800,86400,2,37.71,37.53,37.09,37.53,37.71,37.53,37.09,37.53,2.36,0.0634,1689292800,1.4389999,5.22,1.140387,22.707317,11.458462,150920,150920,37929,47110,47110,37.25,39.69,1100,800,1219330816,32.13,44.09,4.8737946,37.5964,38.24375,2.36,0.062582865,USD,2480816128,0.20176001,13326850,23942500,109114,103078,1690761600,1693440000,0.0046,0.46268,0.466,3.88,0.0124,8.749,4.256487,1672444800,1703980800,1688083200,0.011,39283000,1.64,3.25,9.916,15.754,NYQ,EQUITY,BFS,BFS,"Saul Centers, Inc.","Saul Centers, Inc.",745767000,America/New_York,EDT,-14400000,37.24,41.0,41.0,41.0,41.0,3.0,hold,1,11473000,0.479,157476000,1297030016,0.896,0.896,250180992,252.319,10.416,0.03842,0.12595999,181338000,109594128,123359000,0.009,0.057,0.73819,0.62945,0.45319998,USD,
8,7501 Wisconsin Avenue,Suite 1500E,Bethesda,MD,20814-6522,United States,301 986 6200,301 986 6079,https://www.saulcenters.com,REIT—Retail,Real Estate,"Saul Centers, Inc. is a self-managed, self-administered equity REIT headquartered in Bethesda, Maryland, which currently operates and manages a real estate portfolio of 61 properties, which includes (a) 50 community and neighborhood shopping centers and seven mixed-use properties with approximately 9.8 million square feet of leasable area and (b) four non-operating land and development properties. Over 85% of the Saul Centers' property operating income is generated by properties in the metropolitan Washington, D.C./Baltimore area.",129,"{'maxAge': 1, 'name': 'Ms. Christine Nicolaides Kearns', 'age': 62, 'title': 'Exec. VP and Chief Legal & Admin. Officer', 'yearBorn': 1960, 'fiscalYear': 2019, 'exercisedValue': 0, 'unexercisedValue': 0}",9,10,8,9,10,1693526400,1672444800,86400,2,37.71,37.53,37.09,37.53,37.71,37.53,37.09,37.53,2.36,0.0634,1689292800,1.4389999,5.22,1.140387,22.707317,11.458462,150920,150920,37929,47110,47110,37.25,39.69,1100,800,1219330816,32.13,44.09,4.8737946,37.5964,38.24375,2.36,0.062582865,USD,2480816128,0.20176001,13326850,23942500,109114,103078,1690761600,1693440000,0.0046,0.46268,0.466,3.88,0.0124,8.749,4.256487,1672444800,1703980800,1688083200,0.011,39283000,1.64,3.25,9.916,15.754,NYQ,EQUITY,BFS,BFS,"Saul Centers, Inc.","Saul Centers, Inc.",745767000,America/New_York,EDT,-14400000,37.24,41.0,41.0,41.0,41.0,3.0,hold,1,11473000,0.479,157476000,1297030016,0.896,0.896,250180992,252.319,10.416,0.03842,0.12595999,181338000,109594128,123359000,0.009,0.057,0.73819,0.62945,0.45319998,USD,
9,7501 Wisconsin Avenue,Suite 1500E,Bethesda,MD,20814-6522,United States,301 986 6200,301 986 6079,https://www.saulcenters.com,REIT—Retail,Real Estate,"Saul Centers, Inc. is a self-managed, self-administered equity REIT headquartered in Bethesda, Maryland, which currently operates and manages a real estate portfolio of 61 properties, which includes (a) 50 community and neighborhood shopping centers and seven mixed-use properties with approximately 9.8 million square feet of leasable area and (b) four non-operating land and development properties. Over 85% of the Saul Centers' property operating income is generated by properties in the metropolitan Washington, D.C./Baltimore area.",129,"{'maxAge': 1, 'name': 'Ms. Dee Dee Russo', 'title': 'Shareholder Relations Representative', 'exercisedValue': 0, 'unexercisedValue': 0}",9,10,8,9,10,1693526400,1672444800,86400,2,37.71,37.53,37.09,37.53,37.71,37.53,37.09,37.53,2.36,0.0634,1689292800,1.4389999,5.22,1.140387,22.707317,11.458462,150920,150920,37929,47110,47110,37.25,39.69,1100,800,1219330816,32.13,44.09,4.8737946,37.5964,38.24375,2.36,0.062582865,USD,2480816128,0.20176001,13326850,23942500,109114,103078,1690761600,1693440000,0.0046,0.46268,0.466,3.88,0.0124,8.749,4.256487,1672444800,1703980800,1688083200,0.011,39283000,1.64,3.25,9.916,15.754,NYQ,EQUITY,BFS,BFS,"Saul Centers, Inc.","Saul Centers, Inc.",745767000,America/New_York,EDT,-14400000,37.24,41.0,41.0,41.0,41.0,3.0,hold,1,11473000,0.479,157476000,1297030016,0.896,0.896,250180992,252.319,10.416,0.03842,0.12595999,181338000,109594128,123359000,0.009,0.057,0.73819,0.62945,0.45319998,USD,
