,address1,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,36 Lajeunesse Street,Kingsey Falls,QC,J0A 1B0,Canada,(819) 363-6363,(819) 363-6399,https://www.boralex.com,Utilities—Renewable,Utilities,"Boralex Inc., together with its subsidiaries, engages in the development, construction, and operation of renewable energy power facilities primarily in Canada, France, the United States, and the United Kingdom. As of December 31, 2022, the company had interests in 90 wind farms with an installed capacity of 2,584 megawatts (MW); 16 hydroelectric power stations with a capacity of 181 MW; and 12 solar power stations with an installed capacity of 255 MW. Boralex Inc. was incorporated in 1982 and is headquartered in Kingsey Falls, Canada.",701,"{'maxAge': 1, 'name': 'Mr. Patrick  Decostre', 'age': 49, 'title': 'Pres, CEO & Director', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 1103787, 'exercisedValue': 0, 'unexercisedValue': 0}",9,3,2,9,4,1693526400,1672444800,86400,2,32.98,33.0,32.97,33.58,32.98,33.0,32.97,33.58,0.66,0.0197,1693353600,2.129,2.19,0.34287,108.0,30.715595,532404,532404,293987,231810,231810,33.44,33.49,0,0,3440605696,29.75,47.2,3.606505,33.4668,37.3334,0.66,0.02001213,CAD,6872609280,0.03354,90659229,102766000,916360,1048396,1690761600,1693440000,0.0089,0.00299,0.5711,3.1,16.465,2.033404,1672444800,1703980800,1688083200,0.9,32000000,0.31,1.09,0.52,1:10,860112000,7.204,15.479,TOR,EQUITY,BLX.TO,BLX.TO,BORALEX INC.,Boralex Inc.,839338200,America/Toronto,EDT,-14400000,33.48,50.0,38.0,44.77,45.0,2.2,buy,13,600000000,5.839,444000000,3628999936,0.899,0.994,954000000,173.222,9.283,0.01666,0.00676,578000000,317624992,667000000,0.899,0.256,0.59433997,0.46541,0.18134001,CAD,
1,36 Lajeunesse Street,Kingsey Falls,QC,J0A 1B0,Canada,(819) 363-6363,(819) 363-6399,https://www.boralex.com,Utilities—Renewable,Utilities,"Boralex Inc., together with its subsidiaries, engages in the development, construction, and operation of renewable energy power facilities primarily in Canada, France, the United States, and the United Kingdom. As of December 31, 2022, the company had interests in 90 wind farms with an installed capacity of 2,584 megawatts (MW); 16 hydroelectric power stations with a capacity of 181 MW; and 12 solar power stations with an installed capacity of 255 MW. Boralex Inc. was incorporated in 1982 and is headquartered in Kingsey Falls, Canada.",701,"{'maxAge': 1, 'name': 'Mr. Bruno  Guilmette', 'age': 56, 'title': 'CFO & EVP', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 784207, 'exercisedValue': 0, 'unexercisedValue': 0}",9,3,2,9,4,1693526400,1672444800,86400,2,32.98,33.0,32.97,33.58,32.98,33.0,32.97,33.58,0.66,0.0197,1693353600,2.129,2.19,0.34287,108.0,30.715595,532404,532404,293987,231810,231810,33.44,33.49,0,0,3440605696,29.75,47.2,3.606505,33.4668,37.3334,0.66,0.02001213,CAD,6872609280,0.03354,90659229,102766000,916360,1048396,1690761600,1693440000,0.0089,0.00299,0.5711,3.1,16.465,2.033404,1672444800,1703980800,1688083200,0.9,32000000,0.31,1.09,0.52,1:10,860112000,7.204,15.479,TOR,EQUITY,BLX.TO,BLX.TO,BORALEX INC.,Boralex Inc.,839338200,America/Toronto,EDT,-14400000,33.48,50.0,38.0,44.77,45.0,2.2,buy,13,600000000,5.839,444000000,3628999936,0.899,0.994,954000000,173.222,9.283,0.01666,0.00676,578000000,317624992,667000000,0.899,0.256,0.59433997,0.46541,0.18134001,CAD,
2,36 Lajeunesse Street,Kingsey Falls,QC,J0A 1B0,Canada,(819) 363-6363,(819) 363-6399,https://www.boralex.com,Utilities—Renewable,Utilities,"Boralex Inc., together with its subsidiaries, engages in the development, construction, and operation of renewable energy power facilities primarily in Canada, France, the United States, and the United Kingdom. As of December 31, 2022, the company had interests in 90 wind farms with an installed capacity of 2,584 megawatts (MW); 16 hydroelectric power stations with a capacity of 181 MW; and 12 solar power stations with an installed capacity of 255 MW. Boralex Inc. was incorporated in 1982 and is headquartered in Kingsey Falls, Canada.",701,"{'maxAge': 1, 'name': 'Mr. Pascal  Hurtubise', 'title': 'Exec. VP & Chief Legal Officer', 'fiscalYear': 2022, 'totalPay': 653931, 'exercisedValue': 0, 'unexercisedValue': 0}",9,3,2,9,4,1693526400,1672444800,86400,2,32.98,33.0,32.97,33.58,32.98,33.0,32.97,33.58,0.66,0.0197,1693353600,2.129,2.19,0.34287,108.0,30.715595,532404,532404,293987,231810,231810,33.44,33.49,0,0,3440605696,29.75,47.2,3.606505,33.4668,37.3334,0.66,0.02001213,CAD,6872609280,0.03354,90659229,102766000,916360,1048396,1690761600,1693440000,0.0089,0.00299,0.5711,3.1,16.465,2.033404,1672444800,1703980800,1688083200,0.9,32000000,0.31,1.09,0.52,1:10,860112000,7.204,15.479,TOR,EQUITY,BLX.TO,BLX.TO,BORALEX INC.,Boralex Inc.,839338200,America/Toronto,EDT,-14400000,33.48,50.0,38.0,44.77,45.0,2.2,buy,13,600000000,5.839,444000000,3628999936,0.899,0.994,954000000,173.222,9.283,0.01666,0.00676,578000000,317624992,667000000,0.899,0.256,0.59433997,0.46541,0.18134001,CAD,
3,36 Lajeunesse Street,Kingsey Falls,QC,J0A 1B0,Canada,(819) 363-6363,(819) 363-6399,https://www.boralex.com,Utilities—Renewable,Utilities,"Boralex Inc., together with its subsidiaries, engages in the development, construction, and operation of renewable energy power facilities primarily in Canada, France, the United States, and the United Kingdom. As of December 31, 2022, the company had interests in 90 wind farms with an installed capacity of 2,584 megawatts (MW); 16 hydroelectric power stations with a capacity of 181 MW; and 12 solar power stations with an installed capacity of 255 MW. Boralex Inc. was incorporated in 1982 and is headquartered in Kingsey Falls, Canada.",701,"{'maxAge': 1, 'name': 'Mr. Hugues  Girardin', 'title': 'Exec. VP & GM of North America', 'fiscalYear': 2022, 'totalPay': 482024, 'exercisedValue': 0, 'unexercisedValue': 0}",9,3,2,9,4,1693526400,1672444800,86400,2,32.98,33.0,32.97,33.58,32.98,33.0,32.97,33.58,0.66,0.0197,1693353600,2.129,2.19,0.34287,108.0,30.715595,532404,532404,293987,231810,231810,33.44,33.49,0,0,3440605696,29.75,47.2,3.606505,33.4668,37.3334,0.66,0.02001213,CAD,6872609280,0.03354,90659229,102766000,916360,1048396,1690761600,1693440000,0.0089,0.00299,0.5711,3.1,16.465,2.033404,1672444800,1703980800,1688083200,0.9,32000000,0.31,1.09,0.52,1:10,860112000,7.204,15.479,TOR,EQUITY,BLX.TO,BLX.TO,BORALEX INC.,Boralex Inc.,839338200,America/Toronto,EDT,-14400000,33.48,50.0,38.0,44.77,45.0,2.2,buy,13,600000000,5.839,444000000,3628999936,0.899,0.994,954000000,173.222,9.283,0.01666,0.00676,578000000,317624992,667000000,0.899,0.256,0.59433997,0.46541,0.18134001,CAD,
4,36 Lajeunesse Street,Kingsey Falls,QC,J0A 1B0,Canada,(819) 363-6363,(819) 363-6399,https://www.boralex.com,Utilities—Renewable,Utilities,"Boralex Inc., together with its subsidiaries, engages in the development, construction, and operation of renewable energy power facilities primarily in Canada, France, the United States, and the United Kingdom. As of December 31, 2022, the company had interests in 90 wind farms with an installed capacity of 2,584 megawatts (MW); 16 hydroelectric power stations with a capacity of 181 MW; and 12 solar power stations with an installed capacity of 255 MW. Boralex Inc. was incorporated in 1982 and is headquartered in Kingsey Falls, Canada.",701,"{'maxAge': 1, 'name': 'Mr. Nicolas  Wolff', 'title': 'Exec. VP & GM of Europe', 'fiscalYear': 2022, 'totalPay': 858256, 'exercisedValue': 0, 'unexercisedValue': 0}",9,3,2,9,4,1693526400,1672444800,86400,2,32.98,33.0,32.97,33.58,32.98,33.0,32.97,33.58,0.66,0.0197,1693353600,2.129,2.19,0.34287,108.0,30.715595,532404,532404,293987,231810,231810,33.44,33.49,0,0,3440605696,29.75,47.2,3.606505,33.4668,37.3334,0.66,0.02001213,CAD,6872609280,0.03354,90659229,102766000,916360,1048396,1690761600,1693440000,0.0089,0.00299,0.5711,3.1,16.465,2.033404,1672444800,1703980800,1688083200,0.9,32000000,0.31,1.09,0.52,1:10,860112000,7.204,15.479,TOR,EQUITY,BLX.TO,BLX.TO,BORALEX INC.,Boralex Inc.,839338200,America/Toronto,EDT,-14400000,33.48,50.0,38.0,44.77,45.0,2.2,buy,13,600000000,5.839,444000000,3628999936,0.899,0.994,954000000,173.222,9.283,0.01666,0.00676,578000000,317624992,667000000,0.899,0.256,0.59433997,0.46541,0.18134001,CAD,
5,36 Lajeunesse Street,Kingsey Falls,QC,J0A 1B0,Canada,(819) 363-6363,(819) 363-6399,https://www.boralex.com,Utilities—Renewable,Utilities,"Boralex Inc., together with its subsidiaries, engages in the development, construction, and operation of renewable energy power facilities primarily in Canada, France, the United States, and the United Kingdom. As of December 31, 2022, the company had interests in 90 wind farms with an installed capacity of 2,584 megawatts (MW); 16 hydroelectric power stations with a capacity of 181 MW; and 12 solar power stations with an installed capacity of 255 MW. Boralex Inc. was incorporated in 1982 and is headquartered in Kingsey Falls, Canada.",701,"{'maxAge': 1, 'name': 'Mr. Stéphane  Milot', 'title': 'Sr. Director of Investors Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",9,3,2,9,4,1693526400,1672444800,86400,2,32.98,33.0,32.97,33.58,32.98,33.0,32.97,33.58,0.66,0.0197,1693353600,2.129,2.19,0.34287,108.0,30.715595,532404,532404,293987,231810,231810,33.44,33.49,0,0,3440605696,29.75,47.2,3.606505,33.4668,37.3334,0.66,0.02001213,CAD,6872609280,0.03354,90659229,102766000,916360,1048396,1690761600,1693440000,0.0089,0.00299,0.5711,3.1,16.465,2.033404,1672444800,1703980800,1688083200,0.9,32000000,0.31,1.09,0.52,1:10,860112000,7.204,15.479,TOR,EQUITY,BLX.TO,BLX.TO,BORALEX INC.,Boralex Inc.,839338200,America/Toronto,EDT,-14400000,33.48,50.0,38.0,44.77,45.0,2.2,buy,13,600000000,5.839,444000000,3628999936,0.899,0.994,954000000,173.222,9.283,0.01666,0.00676,578000000,317624992,667000000,0.899,0.256,0.59433997,0.46541,0.18134001,CAD,
6,36 Lajeunesse Street,Kingsey Falls,QC,J0A 1B0,Canada,(819) 363-6363,(819) 363-6399,https://www.boralex.com,Utilities—Renewable,Utilities,"Boralex Inc., together with its subsidiaries, engages in the development, construction, and operation of renewable energy power facilities primarily in Canada, France, the United States, and the United Kingdom. As of December 31, 2022, the company had interests in 90 wind farms with an installed capacity of 2,584 megawatts (MW); 16 hydroelectric power stations with a capacity of 181 MW; and 12 solar power stations with an installed capacity of 255 MW. Boralex Inc. was incorporated in 1982 and is headquartered in Kingsey Falls, Canada.",701,"{'maxAge': 1, 'name': 'Ms. Isabelle  Fontaine', 'title': 'Sr. VP of Corp. Public Affairs & Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",9,3,2,9,4,1693526400,1672444800,86400,2,32.98,33.0,32.97,33.58,32.98,33.0,32.97,33.58,0.66,0.0197,1693353600,2.129,2.19,0.34287,108.0,30.715595,532404,532404,293987,231810,231810,33.44,33.49,0,0,3440605696,29.75,47.2,3.606505,33.4668,37.3334,0.66,0.02001213,CAD,6872609280,0.03354,90659229,102766000,916360,1048396,1690761600,1693440000,0.0089,0.00299,0.5711,3.1,16.465,2.033404,1672444800,1703980800,1688083200,0.9,32000000,0.31,1.09,0.52,1:10,860112000,7.204,15.479,TOR,EQUITY,BLX.TO,BLX.TO,BORALEX INC.,Boralex Inc.,839338200,America/Toronto,EDT,-14400000,33.48,50.0,38.0,44.77,45.0,2.2,buy,13,600000000,5.839,444000000,3628999936,0.899,0.994,954000000,173.222,9.283,0.01666,0.00676,578000000,317624992,667000000,0.899,0.256,0.59433997,0.46541,0.18134001,CAD,
7,36 Lajeunesse Street,Kingsey Falls,QC,J0A 1B0,Canada,(819) 363-6363,(819) 363-6399,https://www.boralex.com,Utilities—Renewable,Utilities,"Boralex Inc., together with its subsidiaries, engages in the development, construction, and operation of renewable energy power facilities primarily in Canada, France, the United States, and the United Kingdom. As of December 31, 2022, the company had interests in 90 wind farms with an installed capacity of 2,584 megawatts (MW); 16 hydroelectric power stations with a capacity of 181 MW; and 12 solar power stations with an installed capacity of 255 MW. Boralex Inc. was incorporated in 1982 and is headquartered in Kingsey Falls, Canada.",701,"{'maxAge': 1, 'name': 'Ms. Marie-Josée  Arsenault', 'title': 'Exec. VP and Chief People & Culture Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",9,3,2,9,4,1693526400,1672444800,86400,2,32.98,33.0,32.97,33.58,32.98,33.0,32.97,33.58,0.66,0.0197,1693353600,2.129,2.19,0.34287,108.0,30.715595,532404,532404,293987,231810,231810,33.44,33.49,0,0,3440605696,29.75,47.2,3.606505,33.4668,37.3334,0.66,0.02001213,CAD,6872609280,0.03354,90659229,102766000,916360,1048396,1690761600,1693440000,0.0089,0.00299,0.5711,3.1,16.465,2.033404,1672444800,1703980800,1688083200,0.9,32000000,0.31,1.09,0.52,1:10,860112000,7.204,15.479,TOR,EQUITY,BLX.TO,BLX.TO,BORALEX INC.,Boralex Inc.,839338200,America/Toronto,EDT,-14400000,33.48,50.0,38.0,44.77,45.0,2.2,buy,13,600000000,5.839,444000000,3628999936,0.899,0.994,954000000,173.222,9.283,0.01666,0.00676,578000000,317624992,667000000,0.899,0.256,0.59433997,0.46541,0.18134001,CAD,
8,36 Lajeunesse Street,Kingsey Falls,QC,J0A 1B0,Canada,(819) 363-6363,(819) 363-6399,https://www.boralex.com,Utilities—Renewable,Utilities,"Boralex Inc., together with its subsidiaries, engages in the development, construction, and operation of renewable energy power facilities primarily in Canada, France, the United States, and the United Kingdom. As of December 31, 2022, the company had interests in 90 wind farms with an installed capacity of 2,584 megawatts (MW); 16 hydroelectric power stations with a capacity of 181 MW; and 12 solar power stations with an installed capacity of 255 MW. Boralex Inc. was incorporated in 1982 and is headquartered in Kingsey Falls, Canada.",701,"{'maxAge': 1, 'name': 'Adam  Rosso', 'title': 'Sr. VP of Devel. of North America', 'exercisedValue': 0, 'unexercisedValue': 0}",9,3,2,9,4,1693526400,1672444800,86400,2,32.98,33.0,32.97,33.58,32.98,33.0,32.97,33.58,0.66,0.0197,1693353600,2.129,2.19,0.34287,108.0,30.715595,532404,532404,293987,231810,231810,33.44,33.49,0,0,3440605696,29.75,47.2,3.606505,33.4668,37.3334,0.66,0.02001213,CAD,6872609280,0.03354,90659229,102766000,916360,1048396,1690761600,1693440000,0.0089,0.00299,0.5711,3.1,16.465,2.033404,1672444800,1703980800,1688083200,0.9,32000000,0.31,1.09,0.52,1:10,860112000,7.204,15.479,TOR,EQUITY,BLX.TO,BLX.TO,BORALEX INC.,Boralex Inc.,839338200,America/Toronto,EDT,-14400000,33.48,50.0,38.0,44.77,45.0,2.2,buy,13,600000000,5.839,444000000,3628999936,0.899,0.994,954000000,173.222,9.283,0.01666,0.00676,578000000,317624992,667000000,0.899,0.256,0.59433997,0.46541,0.18134001,CAD,
9,36 Lajeunesse Street,Kingsey Falls,QC,J0A 1B0,Canada,(819) 363-6363,(819) 363-6399,https://www.boralex.com,Utilities—Renewable,Utilities,"Boralex Inc., together with its subsidiaries, engages in the development, construction, and operation of renewable energy power facilities primarily in Canada, France, the United States, and the United Kingdom. As of December 31, 2022, the company had interests in 90 wind farms with an installed capacity of 2,584 megawatts (MW); 16 hydroelectric power stations with a capacity of 181 MW; and 12 solar power stations with an installed capacity of 255 MW. Boralex Inc. was incorporated in 1982 and is headquartered in Kingsey Falls, Canada.",701,"{'maxAge': 1, 'name': 'Mr. Alain  Pouliot', 'title': 'Sr. VP of Asset Management of North America', 'exercisedValue': 0, 'unexercisedValue': 0}",9,3,2,9,4,1693526400,1672444800,86400,2,32.98,33.0,32.97,33.58,32.98,33.0,32.97,33.58,0.66,0.0197,1693353600,2.129,2.19,0.34287,108.0,30.715595,532404,532404,293987,231810,231810,33.44,33.49,0,0,3440605696,29.75,47.2,3.606505,33.4668,37.3334,0.66,0.02001213,CAD,6872609280,0.03354,90659229,102766000,916360,1048396,1690761600,1693440000,0.0089,0.00299,0.5711,3.1,16.465,2.033404,1672444800,1703980800,1688083200,0.9,32000000,0.31,1.09,0.52,1:10,860112000,7.204,15.479,TOR,EQUITY,BLX.TO,BLX.TO,BORALEX INC.,Boralex Inc.,839338200,America/Toronto,EDT,-14400000,33.48,50.0,38.0,44.77,45.0,2.2,buy,13,600000000,5.839,444000000,3628999936,0.899,0.994,954000000,173.222,9.283,0.01666,0.00676,578000000,317624992,667000000,0.899,0.256,0.59433997,0.46541,0.18134001,CAD,
