,address1,address2,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,500 Dashwood Lang Road,Bourne Business Park,Addlestone,KT15 2HJ,United Kingdom,44 19 3258 0555,https://www.crestnicholson.com,Residential Construction,Consumer Cyclical,"Crest Nicholson Holdings plc builds residential homes in the United Kingdom. The company develops and sells apartments, houses, and commercial properties. The company was founded in 1963 and is headquartered in Addlestone, the United Kingdom.",797,"{'maxAge': 1, 'name': 'Mr. Peter  Truscott', 'age': 59, 'title': 'CEO & Director', 'yearBorn': 1963, 'fiscalYear': 2022, 'totalPay': 1757000, 'exercisedValue': 0, 'unexercisedValue': 0}",7,6,6,1,5,1693526400,1672444800,86400,2,185.1,185.8,183.3,188.422,185.1,185.8,183.3,188.422,0.17,0.0912,1695254400,0.4871,1.871246,532.5714,13.362007,957056,957056,898919,541534,541534,187.1,187.1,0,0,478900704,165.1,276.8,0.5756018,194.082,224.8645,0.17,0.0009184225,GBp,413270400,0.10781,238062877,256920992,0.09649,0.65727997,3.423,54.455154,1667174400,1698710400,1682812800,89700000,0.35,13.95,-0.34,0.497,3.72,LSE,EQUITY,CRST.L,CRST.L,CREST NICHOLSON HOLDINGS PLC OR,Crest Nicholson Holdings plc,1360828800,Europe/London,BST,3600000,186.4,345.0,180.0,229.64,220.0,2.4,buy,11,166300000,0.649,111100000,102200000,0.739,3.727,832000000,11.659,3.247,0.04464,0.10413,194300000,-79612496,-66700000,-0.224,0.20120001,0.13352999,0.13317001,GBP,
1,500 Dashwood Lang Road,Bourne Business Park,Addlestone,KT15 2HJ,United Kingdom,44 19 3258 0555,https://www.crestnicholson.com,Residential Construction,Consumer Cyclical,"Crest Nicholson Holdings plc builds residential homes in the United Kingdom. The company develops and sells apartments, houses, and commercial properties. The company was founded in 1963 and is headquartered in Addlestone, the United Kingdom.",797,"{'maxAge': 1, 'name': 'Mr. Duncan  Cooper', 'age': 42, 'title': 'Group Fin. Director & Director', 'yearBorn': 1980, 'fiscalYear': 2022, 'totalPay': 932000, 'exercisedValue': 0, 'unexercisedValue': 0}",7,6,6,1,5,1693526400,1672444800,86400,2,185.1,185.8,183.3,188.422,185.1,185.8,183.3,188.422,0.17,0.0912,1695254400,0.4871,1.871246,532.5714,13.362007,957056,957056,898919,541534,541534,187.1,187.1,0,0,478900704,165.1,276.8,0.5756018,194.082,224.8645,0.17,0.0009184225,GBp,413270400,0.10781,238062877,256920992,0.09649,0.65727997,3.423,54.455154,1667174400,1698710400,1682812800,89700000,0.35,13.95,-0.34,0.497,3.72,LSE,EQUITY,CRST.L,CRST.L,CREST NICHOLSON HOLDINGS PLC OR,Crest Nicholson Holdings plc,1360828800,Europe/London,BST,3600000,186.4,345.0,180.0,229.64,220.0,2.4,buy,11,166300000,0.649,111100000,102200000,0.739,3.727,832000000,11.659,3.247,0.04464,0.10413,194300000,-79612496,-66700000,-0.224,0.20120001,0.13352999,0.13317001,GBP,
2,500 Dashwood Lang Road,Bourne Business Park,Addlestone,KT15 2HJ,United Kingdom,44 19 3258 0555,https://www.crestnicholson.com,Residential Construction,Consumer Cyclical,"Crest Nicholson Holdings plc builds residential homes in the United Kingdom. The company develops and sells apartments, houses, and commercial properties. The company was founded in 1963 and is headquartered in Addlestone, the United Kingdom.",797,"{'maxAge': 1, 'name': 'Mr. David  Marchant', 'age': 57, 'title': 'Group Operations Director', 'yearBorn': 1965, 'exercisedValue': 0, 'unexercisedValue': 0}",7,6,6,1,5,1693526400,1672444800,86400,2,185.1,185.8,183.3,188.422,185.1,185.8,183.3,188.422,0.17,0.0912,1695254400,0.4871,1.871246,532.5714,13.362007,957056,957056,898919,541534,541534,187.1,187.1,0,0,478900704,165.1,276.8,0.5756018,194.082,224.8645,0.17,0.0009184225,GBp,413270400,0.10781,238062877,256920992,0.09649,0.65727997,3.423,54.455154,1667174400,1698710400,1682812800,89700000,0.35,13.95,-0.34,0.497,3.72,LSE,EQUITY,CRST.L,CRST.L,CREST NICHOLSON HOLDINGS PLC OR,Crest Nicholson Holdings plc,1360828800,Europe/London,BST,3600000,186.4,345.0,180.0,229.64,220.0,2.4,buy,11,166300000,0.649,111100000,102200000,0.739,3.727,832000000,11.659,3.247,0.04464,0.10413,194300000,-79612496,-66700000,-0.224,0.20120001,0.13352999,0.13317001,GBP,
3,500 Dashwood Lang Road,Bourne Business Park,Addlestone,KT15 2HJ,United Kingdom,44 19 3258 0555,https://www.crestnicholson.com,Residential Construction,Consumer Cyclical,"Crest Nicholson Holdings plc builds residential homes in the United Kingdom. The company develops and sells apartments, houses, and commercial properties. The company was founded in 1963 and is headquartered in Addlestone, the United Kingdom.",797,"{'maxAge': 1, 'name': 'Ms. Eleni  Psarompa-Rothwell', 'title': 'Group Technical & Quality Director', 'exercisedValue': 0, 'unexercisedValue': 0}",7,6,6,1,5,1693526400,1672444800,86400,2,185.1,185.8,183.3,188.422,185.1,185.8,183.3,188.422,0.17,0.0912,1695254400,0.4871,1.871246,532.5714,13.362007,957056,957056,898919,541534,541534,187.1,187.1,0,0,478900704,165.1,276.8,0.5756018,194.082,224.8645,0.17,0.0009184225,GBp,413270400,0.10781,238062877,256920992,0.09649,0.65727997,3.423,54.455154,1667174400,1698710400,1682812800,89700000,0.35,13.95,-0.34,0.497,3.72,LSE,EQUITY,CRST.L,CRST.L,CREST NICHOLSON HOLDINGS PLC OR,Crest Nicholson Holdings plc,1360828800,Europe/London,BST,3600000,186.4,345.0,180.0,229.64,220.0,2.4,buy,11,166300000,0.649,111100000,102200000,0.739,3.727,832000000,11.659,3.247,0.04464,0.10413,194300000,-79612496,-66700000,-0.224,0.20120001,0.13352999,0.13317001,GBP,
4,500 Dashwood Lang Road,Bourne Business Park,Addlestone,KT15 2HJ,United Kingdom,44 19 3258 0555,https://www.crestnicholson.com,Residential Construction,Consumer Cyclical,"Crest Nicholson Holdings plc builds residential homes in the United Kingdom. The company develops and sells apartments, houses, and commercial properties. The company was founded in 1963 and is headquartered in Addlestone, the United Kingdom.",797,"{'maxAge': 1, 'name': 'Ms. Jenny  Matthews', 'title': 'Head of Investor Relations:', 'exercisedValue': 0, 'unexercisedValue': 0}",7,6,6,1,5,1693526400,1672444800,86400,2,185.1,185.8,183.3,188.422,185.1,185.8,183.3,188.422,0.17,0.0912,1695254400,0.4871,1.871246,532.5714,13.362007,957056,957056,898919,541534,541534,187.1,187.1,0,0,478900704,165.1,276.8,0.5756018,194.082,224.8645,0.17,0.0009184225,GBp,413270400,0.10781,238062877,256920992,0.09649,0.65727997,3.423,54.455154,1667174400,1698710400,1682812800,89700000,0.35,13.95,-0.34,0.497,3.72,LSE,EQUITY,CRST.L,CRST.L,CREST NICHOLSON HOLDINGS PLC OR,Crest Nicholson Holdings plc,1360828800,Europe/London,BST,3600000,186.4,345.0,180.0,229.64,220.0,2.4,buy,11,166300000,0.649,111100000,102200000,0.739,3.727,832000000,11.659,3.247,0.04464,0.10413,194300000,-79612496,-66700000,-0.224,0.20120001,0.13352999,0.13317001,GBP,
5,500 Dashwood Lang Road,Bourne Business Park,Addlestone,KT15 2HJ,United Kingdom,44 19 3258 0555,https://www.crestnicholson.com,Residential Construction,Consumer Cyclical,"Crest Nicholson Holdings plc builds residential homes in the United Kingdom. The company develops and sells apartments, houses, and commercial properties. The company was founded in 1963 and is headquartered in Addlestone, the United Kingdom.",797,"{'maxAge': 1, 'name': 'Ms. Jane  Cookson', 'age': 49, 'title': 'Group HR Director', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}",7,6,6,1,5,1693526400,1672444800,86400,2,185.1,185.8,183.3,188.422,185.1,185.8,183.3,188.422,0.17,0.0912,1695254400,0.4871,1.871246,532.5714,13.362007,957056,957056,898919,541534,541534,187.1,187.1,0,0,478900704,165.1,276.8,0.5756018,194.082,224.8645,0.17,0.0009184225,GBp,413270400,0.10781,238062877,256920992,0.09649,0.65727997,3.423,54.455154,1667174400,1698710400,1682812800,89700000,0.35,13.95,-0.34,0.497,3.72,LSE,EQUITY,CRST.L,CRST.L,CREST NICHOLSON HOLDINGS PLC OR,Crest Nicholson Holdings plc,1360828800,Europe/London,BST,3600000,186.4,345.0,180.0,229.64,220.0,2.4,buy,11,166300000,0.649,111100000,102200000,0.739,3.727,832000000,11.659,3.247,0.04464,0.10413,194300000,-79612496,-66700000,-0.224,0.20120001,0.13352999,0.13317001,GBP,
6,500 Dashwood Lang Road,Bourne Business Park,Addlestone,KT15 2HJ,United Kingdom,44 19 3258 0555,https://www.crestnicholson.com,Residential Construction,Consumer Cyclical,"Crest Nicholson Holdings plc builds residential homes in the United Kingdom. The company develops and sells apartments, houses, and commercial properties. The company was founded in 1963 and is headquartered in Addlestone, the United Kingdom.",797,"{'maxAge': 1, 'name': 'Mr. Darren  Dancey', 'age': 48, 'title': 'Managing Director of Crest Nicholson South West', 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}",7,6,6,1,5,1693526400,1672444800,86400,2,185.1,185.8,183.3,188.422,185.1,185.8,183.3,188.422,0.17,0.0912,1695254400,0.4871,1.871246,532.5714,13.362007,957056,957056,898919,541534,541534,187.1,187.1,0,0,478900704,165.1,276.8,0.5756018,194.082,224.8645,0.17,0.0009184225,GBp,413270400,0.10781,238062877,256920992,0.09649,0.65727997,3.423,54.455154,1667174400,1698710400,1682812800,89700000,0.35,13.95,-0.34,0.497,3.72,LSE,EQUITY,CRST.L,CRST.L,CREST NICHOLSON HOLDINGS PLC OR,Crest Nicholson Holdings plc,1360828800,Europe/London,BST,3600000,186.4,345.0,180.0,229.64,220.0,2.4,buy,11,166300000,0.649,111100000,102200000,0.739,3.727,832000000,11.659,3.247,0.04464,0.10413,194300000,-79612496,-66700000,-0.224,0.20120001,0.13352999,0.13317001,GBP,
7,500 Dashwood Lang Road,Bourne Business Park,Addlestone,KT15 2HJ,United Kingdom,44 19 3258 0555,https://www.crestnicholson.com,Residential Construction,Consumer Cyclical,"Crest Nicholson Holdings plc builds residential homes in the United Kingdom. The company develops and sells apartments, houses, and commercial properties. The company was founded in 1963 and is headquartered in Addlestone, the United Kingdom.",797,"{'maxAge': 1, 'name': 'Mr. Ben  Miller', 'title': 'Managing Director of Crest Nicholson Midlands', 'exercisedValue': 0, 'unexercisedValue': 0}",7,6,6,1,5,1693526400,1672444800,86400,2,185.1,185.8,183.3,188.422,185.1,185.8,183.3,188.422,0.17,0.0912,1695254400,0.4871,1.871246,532.5714,13.362007,957056,957056,898919,541534,541534,187.1,187.1,0,0,478900704,165.1,276.8,0.5756018,194.082,224.8645,0.17,0.0009184225,GBp,413270400,0.10781,238062877,256920992,0.09649,0.65727997,3.423,54.455154,1667174400,1698710400,1682812800,89700000,0.35,13.95,-0.34,0.497,3.72,LSE,EQUITY,CRST.L,CRST.L,CREST NICHOLSON HOLDINGS PLC OR,Crest Nicholson Holdings plc,1360828800,Europe/London,BST,3600000,186.4,345.0,180.0,229.64,220.0,2.4,buy,11,166300000,0.649,111100000,102200000,0.739,3.727,832000000,11.659,3.247,0.04464,0.10413,194300000,-79612496,-66700000,-0.224,0.20120001,0.13352999,0.13317001,GBP,
8,500 Dashwood Lang Road,Bourne Business Park,Addlestone,KT15 2HJ,United Kingdom,44 19 3258 0555,https://www.crestnicholson.com,Residential Construction,Consumer Cyclical,"Crest Nicholson Holdings plc builds residential homes in the United Kingdom. The company develops and sells apartments, houses, and commercial properties. The company was founded in 1963 and is headquartered in Addlestone, the United Kingdom.",797,"{'maxAge': 1, 'name': 'Trevor  Selwyn', 'title': 'Managing Director of London', 'exercisedValue': 0, 'unexercisedValue': 0}",7,6,6,1,5,1693526400,1672444800,86400,2,185.1,185.8,183.3,188.422,185.1,185.8,183.3,188.422,0.17,0.0912,1695254400,0.4871,1.871246,532.5714,13.362007,957056,957056,898919,541534,541534,187.1,187.1,0,0,478900704,165.1,276.8,0.5756018,194.082,224.8645,0.17,0.0009184225,GBp,413270400,0.10781,238062877,256920992,0.09649,0.65727997,3.423,54.455154,1667174400,1698710400,1682812800,89700000,0.35,13.95,-0.34,0.497,3.72,LSE,EQUITY,CRST.L,CRST.L,CREST NICHOLSON HOLDINGS PLC OR,Crest Nicholson Holdings plc,1360828800,Europe/London,BST,3600000,186.4,345.0,180.0,229.64,220.0,2.4,buy,11,166300000,0.649,111100000,102200000,0.739,3.727,832000000,11.659,3.247,0.04464,0.10413,194300000,-79612496,-66700000,-0.224,0.20120001,0.13352999,0.13317001,GBP,
9,500 Dashwood Lang Road,Bourne Business Park,Addlestone,KT15 2HJ,United Kingdom,44 19 3258 0555,https://www.crestnicholson.com,Residential Construction,Consumer Cyclical,"Crest Nicholson Holdings plc builds residential homes in the United Kingdom. The company develops and sells apartments, houses, and commercial properties. The company was founded in 1963 and is headquartered in Addlestone, the United Kingdom.",797,"{'maxAge': 1, 'name': 'Mr. Scott  Black', 'title': 'Managing Director of Crest Nicholson Regeneration', 'exercisedValue': 0, 'unexercisedValue': 0}",7,6,6,1,5,1693526400,1672444800,86400,2,185.1,185.8,183.3,188.422,185.1,185.8,183.3,188.422,0.17,0.0912,1695254400,0.4871,1.871246,532.5714,13.362007,957056,957056,898919,541534,541534,187.1,187.1,0,0,478900704,165.1,276.8,0.5756018,194.082,224.8645,0.17,0.0009184225,GBp,413270400,0.10781,238062877,256920992,0.09649,0.65727997,3.423,54.455154,1667174400,1698710400,1682812800,89700000,0.35,13.95,-0.34,0.497,3.72,LSE,EQUITY,CRST.L,CRST.L,CREST NICHOLSON HOLDINGS PLC OR,Crest Nicholson Holdings plc,1360828800,Europe/London,BST,3600000,186.4,345.0,180.0,229.64,220.0,2.4,buy,11,166300000,0.649,111100000,102200000,0.739,3.727,832000000,11.659,3.247,0.04464,0.10413,194300000,-79612496,-66700000,-0.224,0.20120001,0.13352999,0.13317001,GBP,
