,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"10, Rue Marcel Dassault",CS 40501,Vélizy-Villacoublay,78140,France,33 1 61 62 61 62,33 1 70 73 43 63,https://www.3ds.com,Software—Application,Technology,"Dassault Systèmes SE provides software solutions and services worldwide. It offers SOLIDWORKS design software for mechanical and electronic printed circuit board design solutions, product data management, simulation, manufacturing, and technical communication; CATIA, an engineering and design software for product 3D computer-aided design; GEOVIA for intersection of natural resources, infrastructure and urban planning; and BIOVIA that develops chemicals, biologics, and materials experiences. The company provides SIMULIA that delivers realistic simulation applications; DELMIA, which enables global industrial operations; 3DVIA that provides 3D space planning solutions; and ENOVIA that enables to plan and track the definition of success for customer. In addition, it offers Centric PLM, a product lifecycle management software solution; 3DEXCITE, a real-time 3D visualization software; NETVIBES, which enables organizations to gather, align, and enrich big data; 3DEXPERIENCE platform that provides organizations a holistic and real-time view of their business activities and ecosystem, as well as connecting people, ideas, data, and solutions together in a single environment; and MEDIDATA, a clinical research study software that provides evidences and insights to pharmaceutical, biotech, medical device, and diagnostic companies, as well as academic researchers. It primarily serves companies in the transportation and mobility; industrial equipment; aerospace and defense; high-tech; life sciences and healthcare; energy and materials; home and lifestyle; construction, cities, and territories; consumer packaged goods and retail; marine and offshore; and business services. Dassault Systèmes SE was incorporated in 1981 and is headquartered in Vélizy-Villacoublay, France.",25000,"{'maxAge': 1, 'name': 'Mr. Bernard S. Charles', 'age': 65, 'title': 'Chairman & CEO', 'yearBorn': 1957, 'fiscalYear': 2022, 'totalPay': 3293398, 'exercisedValue': 0, 'unexercisedValue': 0}",4,4,8,8,6,1693526400,1672444800,86400,2,37.73,38.05,37.44,38.11,37.73,38.05,37.44,38.11,0.22,0.0058999998,1684972800,0.24430001,0.43,0.683183,51.22297,27.667883,332232,332232,65170,77440,77440,0.0,0.0,0,0,49819676672,31.12,46.53,8.530474,41.2426,40.2968,0.21,0.0055658626,USD,49412767744,0.17477,657381382,1314329984,58050,340260,1221436800,1224028800,0.0,0.0,0.0019400001,0.23,5.673,6.6816497,1672444800,1703980800,1688083200,0.791,1020700032,0.74,1.37,4.11,5:1,1626307200,8.461,37.386,PNK,EQUITY,DASTY,DASTY,DASSAULT SYSTEMES SPON ADR EACH,Dassault Systèmes SE,835968600,America/New_York,EDT,-14400000,37.905,49.09,49.09,49.09,49.09,4.0,underperform,1,3345400064,2.537,1321699968,2993200128,1.777,1.882,5840200192,39.95,4.397,0.05373,0.14055,4746000000,1333037440,1503200000,0.877,0.047,0.83636004,0.22631,0.21189,EUR,3.1665
1,"10, Rue Marcel Dassault",CS 40501,Vélizy-Villacoublay,78140,France,33 1 61 62 61 62,33 1 70 73 43 63,https://www.3ds.com,Software—Application,Technology,"Dassault Systèmes SE provides software solutions and services worldwide. It offers SOLIDWORKS design software for mechanical and electronic printed circuit board design solutions, product data management, simulation, manufacturing, and technical communication; CATIA, an engineering and design software for product 3D computer-aided design; GEOVIA for intersection of natural resources, infrastructure and urban planning; and BIOVIA that develops chemicals, biologics, and materials experiences. The company provides SIMULIA that delivers realistic simulation applications; DELMIA, which enables global industrial operations; 3DVIA that provides 3D space planning solutions; and ENOVIA that enables to plan and track the definition of success for customer. In addition, it offers Centric PLM, a product lifecycle management software solution; 3DEXCITE, a real-time 3D visualization software; NETVIBES, which enables organizations to gather, align, and enrich big data; 3DEXPERIENCE platform that provides organizations a holistic and real-time view of their business activities and ecosystem, as well as connecting people, ideas, data, and solutions together in a single environment; and MEDIDATA, a clinical research study software that provides evidences and insights to pharmaceutical, biotech, medical device, and diagnostic companies, as well as academic researchers. It primarily serves companies in the transportation and mobility; industrial equipment; aerospace and defense; high-tech; life sciences and healthcare; energy and materials; home and lifestyle; construction, cities, and territories; consumer packaged goods and retail; marine and offshore; and business services. Dassault Systèmes SE was incorporated in 1981 and is headquartered in Vélizy-Villacoublay, France.",25000,"{'maxAge': 1, 'name': 'Mr. Charles  Edelstenne', 'age': 84, 'title': 'Founder & Honorary Chairman', 'yearBorn': 1938, 'fiscalYear': 2022, 'totalPay': 1153574, 'exercisedValue': 0, 'unexercisedValue': 0}",4,4,8,8,6,1693526400,1672444800,86400,2,37.73,38.05,37.44,38.11,37.73,38.05,37.44,38.11,0.22,0.0058999998,1684972800,0.24430001,0.43,0.683183,51.22297,27.667883,332232,332232,65170,77440,77440,0.0,0.0,0,0,49819676672,31.12,46.53,8.530474,41.2426,40.2968,0.21,0.0055658626,USD,49412767744,0.17477,657381382,1314329984,58050,340260,1221436800,1224028800,0.0,0.0,0.0019400001,0.23,5.673,6.6816497,1672444800,1703980800,1688083200,0.791,1020700032,0.74,1.37,4.11,5:1,1626307200,8.461,37.386,PNK,EQUITY,DASTY,DASTY,DASSAULT SYSTEMES SPON ADR EACH,Dassault Systèmes SE,835968600,America/New_York,EDT,-14400000,37.905,49.09,49.09,49.09,49.09,4.0,underperform,1,3345400064,2.537,1321699968,2993200128,1.777,1.882,5840200192,39.95,4.397,0.05373,0.14055,4746000000,1333037440,1503200000,0.877,0.047,0.83636004,0.22631,0.21189,EUR,3.1665
2,"10, Rue Marcel Dassault",CS 40501,Vélizy-Villacoublay,78140,France,33 1 61 62 61 62,33 1 70 73 43 63,https://www.3ds.com,Software—Application,Technology,"Dassault Systèmes SE provides software solutions and services worldwide. It offers SOLIDWORKS design software for mechanical and electronic printed circuit board design solutions, product data management, simulation, manufacturing, and technical communication; CATIA, an engineering and design software for product 3D computer-aided design; GEOVIA for intersection of natural resources, infrastructure and urban planning; and BIOVIA that develops chemicals, biologics, and materials experiences. The company provides SIMULIA that delivers realistic simulation applications; DELMIA, which enables global industrial operations; 3DVIA that provides 3D space planning solutions; and ENOVIA that enables to plan and track the definition of success for customer. In addition, it offers Centric PLM, a product lifecycle management software solution; 3DEXCITE, a real-time 3D visualization software; NETVIBES, which enables organizations to gather, align, and enrich big data; 3DEXPERIENCE platform that provides organizations a holistic and real-time view of their business activities and ecosystem, as well as connecting people, ideas, data, and solutions together in a single environment; and MEDIDATA, a clinical research study software that provides evidences and insights to pharmaceutical, biotech, medical device, and diagnostic companies, as well as academic researchers. It primarily serves companies in the transportation and mobility; industrial equipment; aerospace and defense; high-tech; life sciences and healthcare; energy and materials; home and lifestyle; construction, cities, and territories; consumer packaged goods and retail; marine and offshore; and business services. Dassault Systèmes SE was incorporated in 1981 and is headquartered in Vélizy-Villacoublay, France.",25000,"{'maxAge': 1, 'name': 'Mr. Pascal  Daloz', 'age': 53, 'title': 'Deputy CEO, COO & Director', 'yearBorn': 1969, 'exercisedValue': 0, 'unexercisedValue': 0}",4,4,8,8,6,1693526400,1672444800,86400,2,37.73,38.05,37.44,38.11,37.73,38.05,37.44,38.11,0.22,0.0058999998,1684972800,0.24430001,0.43,0.683183,51.22297,27.667883,332232,332232,65170,77440,77440,0.0,0.0,0,0,49819676672,31.12,46.53,8.530474,41.2426,40.2968,0.21,0.0055658626,USD,49412767744,0.17477,657381382,1314329984,58050,340260,1221436800,1224028800,0.0,0.0,0.0019400001,0.23,5.673,6.6816497,1672444800,1703980800,1688083200,0.791,1020700032,0.74,1.37,4.11,5:1,1626307200,8.461,37.386,PNK,EQUITY,DASTY,DASTY,DASSAULT SYSTEMES SPON ADR EACH,Dassault Systèmes SE,835968600,America/New_York,EDT,-14400000,37.905,49.09,49.09,49.09,49.09,4.0,underperform,1,3345400064,2.537,1321699968,2993200128,1.777,1.882,5840200192,39.95,4.397,0.05373,0.14055,4746000000,1333037440,1503200000,0.877,0.047,0.83636004,0.22631,0.21189,EUR,3.1665
3,"10, Rue Marcel Dassault",CS 40501,Vélizy-Villacoublay,78140,France,33 1 61 62 61 62,33 1 70 73 43 63,https://www.3ds.com,Software—Application,Technology,"Dassault Systèmes SE provides software solutions and services worldwide. It offers SOLIDWORKS design software for mechanical and electronic printed circuit board design solutions, product data management, simulation, manufacturing, and technical communication; CATIA, an engineering and design software for product 3D computer-aided design; GEOVIA for intersection of natural resources, infrastructure and urban planning; and BIOVIA that develops chemicals, biologics, and materials experiences. The company provides SIMULIA that delivers realistic simulation applications; DELMIA, which enables global industrial operations; 3DVIA that provides 3D space planning solutions; and ENOVIA that enables to plan and track the definition of success for customer. In addition, it offers Centric PLM, a product lifecycle management software solution; 3DEXCITE, a real-time 3D visualization software; NETVIBES, which enables organizations to gather, align, and enrich big data; 3DEXPERIENCE platform that provides organizations a holistic and real-time view of their business activities and ecosystem, as well as connecting people, ideas, data, and solutions together in a single environment; and MEDIDATA, a clinical research study software that provides evidences and insights to pharmaceutical, biotech, medical device, and diagnostic companies, as well as academic researchers. It primarily serves companies in the transportation and mobility; industrial equipment; aerospace and defense; high-tech; life sciences and healthcare; energy and materials; home and lifestyle; construction, cities, and territories; consumer packaged goods and retail; marine and offshore; and business services. Dassault Systèmes SE was incorporated in 1981 and is headquartered in Vélizy-Villacoublay, France.",25000,"{'maxAge': 1, 'name': 'Mr. Tanneguy  de Fromont de Bouaille', 'age': 67, 'title': 'Sr. Director, Corp. Affairs & Director', 'yearBorn': 1955, 'exercisedValue': 0, 'unexercisedValue': 0}",4,4,8,8,6,1693526400,1672444800,86400,2,37.73,38.05,37.44,38.11,37.73,38.05,37.44,38.11,0.22,0.0058999998,1684972800,0.24430001,0.43,0.683183,51.22297,27.667883,332232,332232,65170,77440,77440,0.0,0.0,0,0,49819676672,31.12,46.53,8.530474,41.2426,40.2968,0.21,0.0055658626,USD,49412767744,0.17477,657381382,1314329984,58050,340260,1221436800,1224028800,0.0,0.0,0.0019400001,0.23,5.673,6.6816497,1672444800,1703980800,1688083200,0.791,1020700032,0.74,1.37,4.11,5:1,1626307200,8.461,37.386,PNK,EQUITY,DASTY,DASTY,DASSAULT SYSTEMES SPON ADR EACH,Dassault Systèmes SE,835968600,America/New_York,EDT,-14400000,37.905,49.09,49.09,49.09,49.09,4.0,underperform,1,3345400064,2.537,1321699968,2993200128,1.777,1.882,5840200192,39.95,4.397,0.05373,0.14055,4746000000,1333037440,1503200000,0.877,0.047,0.83636004,0.22631,0.21189,EUR,3.1665
4,"10, Rue Marcel Dassault",CS 40501,Vélizy-Villacoublay,78140,France,33 1 61 62 61 62,33 1 70 73 43 63,https://www.3ds.com,Software—Application,Technology,"Dassault Systèmes SE provides software solutions and services worldwide. It offers SOLIDWORKS design software for mechanical and electronic printed circuit board design solutions, product data management, simulation, manufacturing, and technical communication; CATIA, an engineering and design software for product 3D computer-aided design; GEOVIA for intersection of natural resources, infrastructure and urban planning; and BIOVIA that develops chemicals, biologics, and materials experiences. The company provides SIMULIA that delivers realistic simulation applications; DELMIA, which enables global industrial operations; 3DVIA that provides 3D space planning solutions; and ENOVIA that enables to plan and track the definition of success for customer. In addition, it offers Centric PLM, a product lifecycle management software solution; 3DEXCITE, a real-time 3D visualization software; NETVIBES, which enables organizations to gather, align, and enrich big data; 3DEXPERIENCE platform that provides organizations a holistic and real-time view of their business activities and ecosystem, as well as connecting people, ideas, data, and solutions together in a single environment; and MEDIDATA, a clinical research study software that provides evidences and insights to pharmaceutical, biotech, medical device, and diagnostic companies, as well as academic researchers. It primarily serves companies in the transportation and mobility; industrial equipment; aerospace and defense; high-tech; life sciences and healthcare; energy and materials; home and lifestyle; construction, cities, and territories; consumer packaged goods and retail; marine and offshore; and business services. Dassault Systèmes SE was incorporated in 1981 and is headquartered in Vélizy-Villacoublay, France.",25000,"{'maxAge': 1, 'name': 'Dr. Rouven  Bergmann', 'age': 49, 'title': 'CFO & Exec. VP', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}",4,4,8,8,6,1693526400,1672444800,86400,2,37.73,38.05,37.44,38.11,37.73,38.05,37.44,38.11,0.22,0.0058999998,1684972800,0.24430001,0.43,0.683183,51.22297,27.667883,332232,332232,65170,77440,77440,0.0,0.0,0,0,49819676672,31.12,46.53,8.530474,41.2426,40.2968,0.21,0.0055658626,USD,49412767744,0.17477,657381382,1314329984,58050,340260,1221436800,1224028800,0.0,0.0,0.0019400001,0.23,5.673,6.6816497,1672444800,1703980800,1688083200,0.791,1020700032,0.74,1.37,4.11,5:1,1626307200,8.461,37.386,PNK,EQUITY,DASTY,DASTY,DASSAULT SYSTEMES SPON ADR EACH,Dassault Systèmes SE,835968600,America/New_York,EDT,-14400000,37.905,49.09,49.09,49.09,49.09,4.0,underperform,1,3345400064,2.537,1321699968,2993200128,1.777,1.882,5840200192,39.95,4.397,0.05373,0.14055,4746000000,1333037440,1503200000,0.877,0.047,0.83636004,0.22631,0.21189,EUR,3.1665
5,"10, Rue Marcel Dassault",CS 40501,Vélizy-Villacoublay,78140,France,33 1 61 62 61 62,33 1 70 73 43 63,https://www.3ds.com,Software—Application,Technology,"Dassault Systèmes SE provides software solutions and services worldwide. It offers SOLIDWORKS design software for mechanical and electronic printed circuit board design solutions, product data management, simulation, manufacturing, and technical communication; CATIA, an engineering and design software for product 3D computer-aided design; GEOVIA for intersection of natural resources, infrastructure and urban planning; and BIOVIA that develops chemicals, biologics, and materials experiences. The company provides SIMULIA that delivers realistic simulation applications; DELMIA, which enables global industrial operations; 3DVIA that provides 3D space planning solutions; and ENOVIA that enables to plan and track the definition of success for customer. In addition, it offers Centric PLM, a product lifecycle management software solution; 3DEXCITE, a real-time 3D visualization software; NETVIBES, which enables organizations to gather, align, and enrich big data; 3DEXPERIENCE platform that provides organizations a holistic and real-time view of their business activities and ecosystem, as well as connecting people, ideas, data, and solutions together in a single environment; and MEDIDATA, a clinical research study software that provides evidences and insights to pharmaceutical, biotech, medical device, and diagnostic companies, as well as academic researchers. It primarily serves companies in the transportation and mobility; industrial equipment; aerospace and defense; high-tech; life sciences and healthcare; energy and materials; home and lifestyle; construction, cities, and territories; consumer packaged goods and retail; marine and offshore; and business services. Dassault Systèmes SE was incorporated in 1981 and is headquartered in Vélizy-Villacoublay, France.",25000,"{'maxAge': 1, 'name': 'Ms. Laurence  Baucher-Barthès', 'title': 'Exec. VP and Chief People & Information Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",4,4,8,8,6,1693526400,1672444800,86400,2,37.73,38.05,37.44,38.11,37.73,38.05,37.44,38.11,0.22,0.0058999998,1684972800,0.24430001,0.43,0.683183,51.22297,27.667883,332232,332232,65170,77440,77440,0.0,0.0,0,0,49819676672,31.12,46.53,8.530474,41.2426,40.2968,0.21,0.0055658626,USD,49412767744,0.17477,657381382,1314329984,58050,340260,1221436800,1224028800,0.0,0.0,0.0019400001,0.23,5.673,6.6816497,1672444800,1703980800,1688083200,0.791,1020700032,0.74,1.37,4.11,5:1,1626307200,8.461,37.386,PNK,EQUITY,DASTY,DASTY,DASSAULT SYSTEMES SPON ADR EACH,Dassault Systèmes SE,835968600,America/New_York,EDT,-14400000,37.905,49.09,49.09,49.09,49.09,4.0,underperform,1,3345400064,2.537,1321699968,2993200128,1.777,1.882,5840200192,39.95,4.397,0.05373,0.14055,4746000000,1333037440,1503200000,0.877,0.047,0.83636004,0.22631,0.21189,EUR,3.1665
6,"10, Rue Marcel Dassault",CS 40501,Vélizy-Villacoublay,78140,France,33 1 61 62 61 62,33 1 70 73 43 63,https://www.3ds.com,Software—Application,Technology,"Dassault Systèmes SE provides software solutions and services worldwide. It offers SOLIDWORKS design software for mechanical and electronic printed circuit board design solutions, product data management, simulation, manufacturing, and technical communication; CATIA, an engineering and design software for product 3D computer-aided design; GEOVIA for intersection of natural resources, infrastructure and urban planning; and BIOVIA that develops chemicals, biologics, and materials experiences. The company provides SIMULIA that delivers realistic simulation applications; DELMIA, which enables global industrial operations; 3DVIA that provides 3D space planning solutions; and ENOVIA that enables to plan and track the definition of success for customer. In addition, it offers Centric PLM, a product lifecycle management software solution; 3DEXCITE, a real-time 3D visualization software; NETVIBES, which enables organizations to gather, align, and enrich big data; 3DEXPERIENCE platform that provides organizations a holistic and real-time view of their business activities and ecosystem, as well as connecting people, ideas, data, and solutions together in a single environment; and MEDIDATA, a clinical research study software that provides evidences and insights to pharmaceutical, biotech, medical device, and diagnostic companies, as well as academic researchers. It primarily serves companies in the transportation and mobility; industrial equipment; aerospace and defense; high-tech; life sciences and healthcare; energy and materials; home and lifestyle; construction, cities, and territories; consumer packaged goods and retail; marine and offshore; and business services. Dassault Systèmes SE was incorporated in 1981 and is headquartered in Vélizy-Villacoublay, France.",25000,"{'maxAge': 1, 'name': 'Ms. Beatrix  Martinez', 'age': 52, 'title': 'VP of Investor Relations', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",4,4,8,8,6,1693526400,1672444800,86400,2,37.73,38.05,37.44,38.11,37.73,38.05,37.44,38.11,0.22,0.0058999998,1684972800,0.24430001,0.43,0.683183,51.22297,27.667883,332232,332232,65170,77440,77440,0.0,0.0,0,0,49819676672,31.12,46.53,8.530474,41.2426,40.2968,0.21,0.0055658626,USD,49412767744,0.17477,657381382,1314329984,58050,340260,1221436800,1224028800,0.0,0.0,0.0019400001,0.23,5.673,6.6816497,1672444800,1703980800,1688083200,0.791,1020700032,0.74,1.37,4.11,5:1,1626307200,8.461,37.386,PNK,EQUITY,DASTY,DASTY,DASSAULT SYSTEMES SPON ADR EACH,Dassault Systèmes SE,835968600,America/New_York,EDT,-14400000,37.905,49.09,49.09,49.09,49.09,4.0,underperform,1,3345400064,2.537,1321699968,2993200128,1.777,1.882,5840200192,39.95,4.397,0.05373,0.14055,4746000000,1333037440,1503200000,0.877,0.047,0.83636004,0.22631,0.21189,EUR,3.1665
7,"10, Rue Marcel Dassault",CS 40501,Vélizy-Villacoublay,78140,France,33 1 61 62 61 62,33 1 70 73 43 63,https://www.3ds.com,Software—Application,Technology,"Dassault Systèmes SE provides software solutions and services worldwide. It offers SOLIDWORKS design software for mechanical and electronic printed circuit board design solutions, product data management, simulation, manufacturing, and technical communication; CATIA, an engineering and design software for product 3D computer-aided design; GEOVIA for intersection of natural resources, infrastructure and urban planning; and BIOVIA that develops chemicals, biologics, and materials experiences. The company provides SIMULIA that delivers realistic simulation applications; DELMIA, which enables global industrial operations; 3DVIA that provides 3D space planning solutions; and ENOVIA that enables to plan and track the definition of success for customer. In addition, it offers Centric PLM, a product lifecycle management software solution; 3DEXCITE, a real-time 3D visualization software; NETVIBES, which enables organizations to gather, align, and enrich big data; 3DEXPERIENCE platform that provides organizations a holistic and real-time view of their business activities and ecosystem, as well as connecting people, ideas, data, and solutions together in a single environment; and MEDIDATA, a clinical research study software that provides evidences and insights to pharmaceutical, biotech, medical device, and diagnostic companies, as well as academic researchers. It primarily serves companies in the transportation and mobility; industrial equipment; aerospace and defense; high-tech; life sciences and healthcare; energy and materials; home and lifestyle; construction, cities, and territories; consumer packaged goods and retail; marine and offshore; and business services. Dassault Systèmes SE was incorporated in 1981 and is headquartered in Vélizy-Villacoublay, France.",25000,"{'maxAge': 1, 'name': 'Ms. Sgolne  Moignet', 'title': 'Corp. Counsel', 'exercisedValue': 0, 'unexercisedValue': 0}",4,4,8,8,6,1693526400,1672444800,86400,2,37.73,38.05,37.44,38.11,37.73,38.05,37.44,38.11,0.22,0.0058999998,1684972800,0.24430001,0.43,0.683183,51.22297,27.667883,332232,332232,65170,77440,77440,0.0,0.0,0,0,49819676672,31.12,46.53,8.530474,41.2426,40.2968,0.21,0.0055658626,USD,49412767744,0.17477,657381382,1314329984,58050,340260,1221436800,1224028800,0.0,0.0,0.0019400001,0.23,5.673,6.6816497,1672444800,1703980800,1688083200,0.791,1020700032,0.74,1.37,4.11,5:1,1626307200,8.461,37.386,PNK,EQUITY,DASTY,DASTY,DASSAULT SYSTEMES SPON ADR EACH,Dassault Systèmes SE,835968600,America/New_York,EDT,-14400000,37.905,49.09,49.09,49.09,49.09,4.0,underperform,1,3345400064,2.537,1321699968,2993200128,1.777,1.882,5840200192,39.95,4.397,0.05373,0.14055,4746000000,1333037440,1503200000,0.877,0.047,0.83636004,0.22631,0.21189,EUR,3.1665
8,"10, Rue Marcel Dassault",CS 40501,Vélizy-Villacoublay,78140,France,33 1 61 62 61 62,33 1 70 73 43 63,https://www.3ds.com,Software—Application,Technology,"Dassault Systèmes SE provides software solutions and services worldwide. It offers SOLIDWORKS design software for mechanical and electronic printed circuit board design solutions, product data management, simulation, manufacturing, and technical communication; CATIA, an engineering and design software for product 3D computer-aided design; GEOVIA for intersection of natural resources, infrastructure and urban planning; and BIOVIA that develops chemicals, biologics, and materials experiences. The company provides SIMULIA that delivers realistic simulation applications; DELMIA, which enables global industrial operations; 3DVIA that provides 3D space planning solutions; and ENOVIA that enables to plan and track the definition of success for customer. In addition, it offers Centric PLM, a product lifecycle management software solution; 3DEXCITE, a real-time 3D visualization software; NETVIBES, which enables organizations to gather, align, and enrich big data; 3DEXPERIENCE platform that provides organizations a holistic and real-time view of their business activities and ecosystem, as well as connecting people, ideas, data, and solutions together in a single environment; and MEDIDATA, a clinical research study software that provides evidences and insights to pharmaceutical, biotech, medical device, and diagnostic companies, as well as academic researchers. It primarily serves companies in the transportation and mobility; industrial equipment; aerospace and defense; high-tech; life sciences and healthcare; energy and materials; home and lifestyle; construction, cities, and territories; consumer packaged goods and retail; marine and offshore; and business services. Dassault Systèmes SE was incorporated in 1981 and is headquartered in Vélizy-Villacoublay, France.",25000,"{'maxAge': 1, 'name': 'Ms. Victoire  de Margerie', 'title': 'VP of Corp. Equity, Marketing & Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",4,4,8,8,6,1693526400,1672444800,86400,2,37.73,38.05,37.44,38.11,37.73,38.05,37.44,38.11,0.22,0.0058999998,1684972800,0.24430001,0.43,0.683183,51.22297,27.667883,332232,332232,65170,77440,77440,0.0,0.0,0,0,49819676672,31.12,46.53,8.530474,41.2426,40.2968,0.21,0.0055658626,USD,49412767744,0.17477,657381382,1314329984,58050,340260,1221436800,1224028800,0.0,0.0,0.0019400001,0.23,5.673,6.6816497,1672444800,1703980800,1688083200,0.791,1020700032,0.74,1.37,4.11,5:1,1626307200,8.461,37.386,PNK,EQUITY,DASTY,DASTY,DASSAULT SYSTEMES SPON ADR EACH,Dassault Systèmes SE,835968600,America/New_York,EDT,-14400000,37.905,49.09,49.09,49.09,49.09,4.0,underperform,1,3345400064,2.537,1321699968,2993200128,1.777,1.882,5840200192,39.95,4.397,0.05373,0.14055,4746000000,1333037440,1503200000,0.877,0.047,0.83636004,0.22631,0.21189,EUR,3.1665
9,"10, Rue Marcel Dassault",CS 40501,Vélizy-Villacoublay,78140,France,33 1 61 62 61 62,33 1 70 73 43 63,https://www.3ds.com,Software—Application,Technology,"Dassault Systèmes SE provides software solutions and services worldwide. It offers SOLIDWORKS design software for mechanical and electronic printed circuit board design solutions, product data management, simulation, manufacturing, and technical communication; CATIA, an engineering and design software for product 3D computer-aided design; GEOVIA for intersection of natural resources, infrastructure and urban planning; and BIOVIA that develops chemicals, biologics, and materials experiences. The company provides SIMULIA that delivers realistic simulation applications; DELMIA, which enables global industrial operations; 3DVIA that provides 3D space planning solutions; and ENOVIA that enables to plan and track the definition of success for customer. In addition, it offers Centric PLM, a product lifecycle management software solution; 3DEXCITE, a real-time 3D visualization software; NETVIBES, which enables organizations to gather, align, and enrich big data; 3DEXPERIENCE platform that provides organizations a holistic and real-time view of their business activities and ecosystem, as well as connecting people, ideas, data, and solutions together in a single environment; and MEDIDATA, a clinical research study software that provides evidences and insights to pharmaceutical, biotech, medical device, and diagnostic companies, as well as academic researchers. It primarily serves companies in the transportation and mobility; industrial equipment; aerospace and defense; high-tech; life sciences and healthcare; energy and materials; home and lifestyle; construction, cities, and territories; consumer packaged goods and retail; marine and offshore; and business services. Dassault Systèmes SE was incorporated in 1981 and is headquartered in Vélizy-Villacoublay, France.",25000,"{'maxAge': 1, 'name': 'Ms. Florence  Verzelen', 'age': 44, 'title': 'Exec. VP of Industry, Marketing & Sustainability', 'yearBorn': 1978, 'exercisedValue': 0, 'unexercisedValue': 0}",4,4,8,8,6,1693526400,1672444800,86400,2,37.73,38.05,37.44,38.11,37.73,38.05,37.44,38.11,0.22,0.0058999998,1684972800,0.24430001,0.43,0.683183,51.22297,27.667883,332232,332232,65170,77440,77440,0.0,0.0,0,0,49819676672,31.12,46.53,8.530474,41.2426,40.2968,0.21,0.0055658626,USD,49412767744,0.17477,657381382,1314329984,58050,340260,1221436800,1224028800,0.0,0.0,0.0019400001,0.23,5.673,6.6816497,1672444800,1703980800,1688083200,0.791,1020700032,0.74,1.37,4.11,5:1,1626307200,8.461,37.386,PNK,EQUITY,DASTY,DASTY,DASSAULT SYSTEMES SPON ADR EACH,Dassault Systèmes SE,835968600,America/New_York,EDT,-14400000,37.905,49.09,49.09,49.09,49.09,4.0,underperform,1,3345400064,2.537,1321699968,2993200128,1.777,1.882,5840200192,39.95,4.397,0.05373,0.14055,4746000000,1333037440,1503200000,0.877,0.047,0.83636004,0.22631,0.21189,EUR,3.1665
