,address1,address2,city,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,totalDebt,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Doha Bank Tower,Corniche Street West Bay PO Box 3818,Doha,Qatar,974 4445 6000,974 4441 6631,https://qa.dohabank.com,Banks—Diversified,Financial Services,"Doha Bank Q.P.S.C. provides various banking products and services to individual, commercial, corporate, and institutional clients. It operates in two segments, Conventional Banking and Insurance Activities. The Conventional Banking segment offers a range of products and services to business and corporate customers, including funded and non-funded credit facilitates deposits to corporate customers. It also undertakes funding and centralized risk management activities through borrowings; issues debt securities; uses derivatives for risk management purposes; and invests in liquid assets, such as short-term placements, and corporate and government debt securities. In addition, this segment provides loans, credit cards, deposits, and other transactions to individuals. The Insurance Activities segment offers contracts of insurance, carries out contracts of insurance, arranges deals in investments, and advises on investments. In addition, the company operates call centers and kiosks, as well as provides mobile, internet, and SMS banking services. The company operates local, corporate branch, and overseas branches in the United Arab Emirates, Kuwait, and India; and representative offices in the United Kingdom, Singapore, Turkey, China, Japan, South Korea, Germany, Australia, Hong Kong, Canada, Bangladesh, South Africa, Sri Lanka, and Nepal. Doha Bank Q.P.S.C. was incorporated in 1979 and is headquartered in Doha, Qatar.","{'maxAge': 1, 'name': 'Mr. Gudni Stilholt Adalsteinsson', 'age': 55, 'title': 'Acting Chief Exec. Officer', 'yearBorn': 1967, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,1.615,1.644,1.616,1.644,1.615,1.644,1.616,1.644,0.07,0.0464,1678838400,0.4412,0.482712,9.529411,7.3636365,6647890,6647890,3160702,5218945,5218945,1.619,1.621,0,0,5022761472,1.512,2.455,3.3837507,1.68188,1.72481,0.075,0.04643963,QAR,21901926400,0.33175,2174512544,3100470016,0.06674,0.23115999,3.285,0.49315068,1672444800,1703980800,1688083200,-0.304,492443008,0.17,0.22,2.59,10:1,1560643200,14.755,DOH,EQUITY,DHBK.QA,DHBK.QA,Doha Bank QPSC,Doha Bank Q.P.S.C.,1266820200,Asia/Qatar,AST,10800000,1.62,2.2,1.6,1.9,1.9,2.4,buy,7,14818014208,4.779,31712686080,1484376960,0.479,0.00513,0.03505,1707475000,10659223552,-0.304,-0.083,0.0,0.0,0.39576,QAR,
1,Doha Bank Tower,Corniche Street West Bay PO Box 3818,Doha,Qatar,974 4445 6000,974 4441 6631,https://qa.dohabank.com,Banks—Diversified,Financial Services,"Doha Bank Q.P.S.C. provides various banking products and services to individual, commercial, corporate, and institutional clients. It operates in two segments, Conventional Banking and Insurance Activities. The Conventional Banking segment offers a range of products and services to business and corporate customers, including funded and non-funded credit facilitates deposits to corporate customers. It also undertakes funding and centralized risk management activities through borrowings; issues debt securities; uses derivatives for risk management purposes; and invests in liquid assets, such as short-term placements, and corporate and government debt securities. In addition, this segment provides loans, credit cards, deposits, and other transactions to individuals. The Insurance Activities segment offers contracts of insurance, carries out contracts of insurance, arranges deals in investments, and advises on investments. In addition, the company operates call centers and kiosks, as well as provides mobile, internet, and SMS banking services. The company operates local, corporate branch, and overseas branches in the United Arab Emirates, Kuwait, and India; and representative offices in the United Kingdom, Singapore, Turkey, China, Japan, South Korea, Germany, Australia, Hong Kong, Canada, Bangladesh, South Africa, Sri Lanka, and Nepal. Doha Bank Q.P.S.C. was incorporated in 1979 and is headquartered in Doha, Qatar.","{'maxAge': 1, 'name': 'Mr. Nasser Khalid Nasser Abdullah Al-Mesnad', 'title': 'Vice Chairman', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,1.615,1.644,1.616,1.644,1.615,1.644,1.616,1.644,0.07,0.0464,1678838400,0.4412,0.482712,9.529411,7.3636365,6647890,6647890,3160702,5218945,5218945,1.619,1.621,0,0,5022761472,1.512,2.455,3.3837507,1.68188,1.72481,0.075,0.04643963,QAR,21901926400,0.33175,2174512544,3100470016,0.06674,0.23115999,3.285,0.49315068,1672444800,1703980800,1688083200,-0.304,492443008,0.17,0.22,2.59,10:1,1560643200,14.755,DOH,EQUITY,DHBK.QA,DHBK.QA,Doha Bank QPSC,Doha Bank Q.P.S.C.,1266820200,Asia/Qatar,AST,10800000,1.62,2.2,1.6,1.9,1.9,2.4,buy,7,14818014208,4.779,31712686080,1484376960,0.479,0.00513,0.03505,1707475000,10659223552,-0.304,-0.083,0.0,0.0,0.39576,QAR,
2,Doha Bank Tower,Corniche Street West Bay PO Box 3818,Doha,Qatar,974 4445 6000,974 4441 6631,https://qa.dohabank.com,Banks—Diversified,Financial Services,"Doha Bank Q.P.S.C. provides various banking products and services to individual, commercial, corporate, and institutional clients. It operates in two segments, Conventional Banking and Insurance Activities. The Conventional Banking segment offers a range of products and services to business and corporate customers, including funded and non-funded credit facilitates deposits to corporate customers. It also undertakes funding and centralized risk management activities through borrowings; issues debt securities; uses derivatives for risk management purposes; and invests in liquid assets, such as short-term placements, and corporate and government debt securities. In addition, this segment provides loans, credit cards, deposits, and other transactions to individuals. The Insurance Activities segment offers contracts of insurance, carries out contracts of insurance, arranges deals in investments, and advises on investments. In addition, the company operates call centers and kiosks, as well as provides mobile, internet, and SMS banking services. The company operates local, corporate branch, and overseas branches in the United Arab Emirates, Kuwait, and India; and representative offices in the United Kingdom, Singapore, Turkey, China, Japan, South Korea, Germany, Australia, Hong Kong, Canada, Bangladesh, South Africa, Sri Lanka, and Nepal. Doha Bank Q.P.S.C. was incorporated in 1979 and is headquartered in Doha, Qatar.","{'maxAge': 1, 'name': 'Mr. Sanjay  Jain', 'title': 'Acting Chief Financial Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,1.615,1.644,1.616,1.644,1.615,1.644,1.616,1.644,0.07,0.0464,1678838400,0.4412,0.482712,9.529411,7.3636365,6647890,6647890,3160702,5218945,5218945,1.619,1.621,0,0,5022761472,1.512,2.455,3.3837507,1.68188,1.72481,0.075,0.04643963,QAR,21901926400,0.33175,2174512544,3100470016,0.06674,0.23115999,3.285,0.49315068,1672444800,1703980800,1688083200,-0.304,492443008,0.17,0.22,2.59,10:1,1560643200,14.755,DOH,EQUITY,DHBK.QA,DHBK.QA,Doha Bank QPSC,Doha Bank Q.P.S.C.,1266820200,Asia/Qatar,AST,10800000,1.62,2.2,1.6,1.9,1.9,2.4,buy,7,14818014208,4.779,31712686080,1484376960,0.479,0.00513,0.03505,1707475000,10659223552,-0.304,-0.083,0.0,0.0,0.39576,QAR,
3,Doha Bank Tower,Corniche Street West Bay PO Box 3818,Doha,Qatar,974 4445 6000,974 4441 6631,https://qa.dohabank.com,Banks—Diversified,Financial Services,"Doha Bank Q.P.S.C. provides various banking products and services to individual, commercial, corporate, and institutional clients. It operates in two segments, Conventional Banking and Insurance Activities. The Conventional Banking segment offers a range of products and services to business and corporate customers, including funded and non-funded credit facilitates deposits to corporate customers. It also undertakes funding and centralized risk management activities through borrowings; issues debt securities; uses derivatives for risk management purposes; and invests in liquid assets, such as short-term placements, and corporate and government debt securities. In addition, this segment provides loans, credit cards, deposits, and other transactions to individuals. The Insurance Activities segment offers contracts of insurance, carries out contracts of insurance, arranges deals in investments, and advises on investments. In addition, the company operates call centers and kiosks, as well as provides mobile, internet, and SMS banking services. The company operates local, corporate branch, and overseas branches in the United Arab Emirates, Kuwait, and India; and representative offices in the United Kingdom, Singapore, Turkey, China, Japan, South Korea, Germany, Australia, Hong Kong, Canada, Bangladesh, South Africa, Sri Lanka, and Nepal. Doha Bank Q.P.S.C. was incorporated in 1979 and is headquartered in Doha, Qatar.","{'maxAge': 1, 'name': 'Mr. Ahmed Ali J. Al-Hanzab', 'title': 'Head of Admin.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,1.615,1.644,1.616,1.644,1.615,1.644,1.616,1.644,0.07,0.0464,1678838400,0.4412,0.482712,9.529411,7.3636365,6647890,6647890,3160702,5218945,5218945,1.619,1.621,0,0,5022761472,1.512,2.455,3.3837507,1.68188,1.72481,0.075,0.04643963,QAR,21901926400,0.33175,2174512544,3100470016,0.06674,0.23115999,3.285,0.49315068,1672444800,1703980800,1688083200,-0.304,492443008,0.17,0.22,2.59,10:1,1560643200,14.755,DOH,EQUITY,DHBK.QA,DHBK.QA,Doha Bank QPSC,Doha Bank Q.P.S.C.,1266820200,Asia/Qatar,AST,10800000,1.62,2.2,1.6,1.9,1.9,2.4,buy,7,14818014208,4.779,31712686080,1484376960,0.479,0.00513,0.03505,1707475000,10659223552,-0.304,-0.083,0.0,0.0,0.39576,QAR,
4,Doha Bank Tower,Corniche Street West Bay PO Box 3818,Doha,Qatar,974 4445 6000,974 4441 6631,https://qa.dohabank.com,Banks—Diversified,Financial Services,"Doha Bank Q.P.S.C. provides various banking products and services to individual, commercial, corporate, and institutional clients. It operates in two segments, Conventional Banking and Insurance Activities. The Conventional Banking segment offers a range of products and services to business and corporate customers, including funded and non-funded credit facilitates deposits to corporate customers. It also undertakes funding and centralized risk management activities through borrowings; issues debt securities; uses derivatives for risk management purposes; and invests in liquid assets, such as short-term placements, and corporate and government debt securities. In addition, this segment provides loans, credit cards, deposits, and other transactions to individuals. The Insurance Activities segment offers contracts of insurance, carries out contracts of insurance, arranges deals in investments, and advises on investments. In addition, the company operates call centers and kiosks, as well as provides mobile, internet, and SMS banking services. The company operates local, corporate branch, and overseas branches in the United Arab Emirates, Kuwait, and India; and representative offices in the United Kingdom, Singapore, Turkey, China, Japan, South Korea, Germany, Australia, Hong Kong, Canada, Bangladesh, South Africa, Sri Lanka, and Nepal. Doha Bank Q.P.S.C. was incorporated in 1979 and is headquartered in Doha, Qatar.","{'maxAge': 1, 'name': 'Mr. Mokhtar Abdel Monem Elhenawy', 'title': 'Head of Legal, Assistant GM, Sec. & Legal Advisor', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,1.615,1.644,1.616,1.644,1.615,1.644,1.616,1.644,0.07,0.0464,1678838400,0.4412,0.482712,9.529411,7.3636365,6647890,6647890,3160702,5218945,5218945,1.619,1.621,0,0,5022761472,1.512,2.455,3.3837507,1.68188,1.72481,0.075,0.04643963,QAR,21901926400,0.33175,2174512544,3100470016,0.06674,0.23115999,3.285,0.49315068,1672444800,1703980800,1688083200,-0.304,492443008,0.17,0.22,2.59,10:1,1560643200,14.755,DOH,EQUITY,DHBK.QA,DHBK.QA,Doha Bank QPSC,Doha Bank Q.P.S.C.,1266820200,Asia/Qatar,AST,10800000,1.62,2.2,1.6,1.9,1.9,2.4,buy,7,14818014208,4.779,31712686080,1484376960,0.479,0.00513,0.03505,1707475000,10659223552,-0.304,-0.083,0.0,0.0,0.39576,QAR,
5,Doha Bank Tower,Corniche Street West Bay PO Box 3818,Doha,Qatar,974 4445 6000,974 4441 6631,https://qa.dohabank.com,Banks—Diversified,Financial Services,"Doha Bank Q.P.S.C. provides various banking products and services to individual, commercial, corporate, and institutional clients. It operates in two segments, Conventional Banking and Insurance Activities. The Conventional Banking segment offers a range of products and services to business and corporate customers, including funded and non-funded credit facilitates deposits to corporate customers. It also undertakes funding and centralized risk management activities through borrowings; issues debt securities; uses derivatives for risk management purposes; and invests in liquid assets, such as short-term placements, and corporate and government debt securities. In addition, this segment provides loans, credit cards, deposits, and other transactions to individuals. The Insurance Activities segment offers contracts of insurance, carries out contracts of insurance, arranges deals in investments, and advises on investments. In addition, the company operates call centers and kiosks, as well as provides mobile, internet, and SMS banking services. The company operates local, corporate branch, and overseas branches in the United Arab Emirates, Kuwait, and India; and representative offices in the United Kingdom, Singapore, Turkey, China, Japan, South Korea, Germany, Australia, Hong Kong, Canada, Bangladesh, South Africa, Sri Lanka, and Nepal. Doha Bank Q.P.S.C. was incorporated in 1979 and is headquartered in Doha, Qatar.","{'maxAge': 1, 'name': 'Bader Abdulreda Abdulla', 'title': 'Chief Compliance Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,1.615,1.644,1.616,1.644,1.615,1.644,1.616,1.644,0.07,0.0464,1678838400,0.4412,0.482712,9.529411,7.3636365,6647890,6647890,3160702,5218945,5218945,1.619,1.621,0,0,5022761472,1.512,2.455,3.3837507,1.68188,1.72481,0.075,0.04643963,QAR,21901926400,0.33175,2174512544,3100470016,0.06674,0.23115999,3.285,0.49315068,1672444800,1703980800,1688083200,-0.304,492443008,0.17,0.22,2.59,10:1,1560643200,14.755,DOH,EQUITY,DHBK.QA,DHBK.QA,Doha Bank QPSC,Doha Bank Q.P.S.C.,1266820200,Asia/Qatar,AST,10800000,1.62,2.2,1.6,1.9,1.9,2.4,buy,7,14818014208,4.779,31712686080,1484376960,0.479,0.00513,0.03505,1707475000,10659223552,-0.304,-0.083,0.0,0.0,0.39576,QAR,
6,Doha Bank Tower,Corniche Street West Bay PO Box 3818,Doha,Qatar,974 4445 6000,974 4441 6631,https://qa.dohabank.com,Banks—Diversified,Financial Services,"Doha Bank Q.P.S.C. provides various banking products and services to individual, commercial, corporate, and institutional clients. It operates in two segments, Conventional Banking and Insurance Activities. The Conventional Banking segment offers a range of products and services to business and corporate customers, including funded and non-funded credit facilitates deposits to corporate customers. It also undertakes funding and centralized risk management activities through borrowings; issues debt securities; uses derivatives for risk management purposes; and invests in liquid assets, such as short-term placements, and corporate and government debt securities. In addition, this segment provides loans, credit cards, deposits, and other transactions to individuals. The Insurance Activities segment offers contracts of insurance, carries out contracts of insurance, arranges deals in investments, and advises on investments. In addition, the company operates call centers and kiosks, as well as provides mobile, internet, and SMS banking services. The company operates local, corporate branch, and overseas branches in the United Arab Emirates, Kuwait, and India; and representative offices in the United Kingdom, Singapore, Turkey, China, Japan, South Korea, Germany, Australia, Hong Kong, Canada, Bangladesh, South Africa, Sri Lanka, and Nepal. Doha Bank Q.P.S.C. was incorporated in 1979 and is headquartered in Doha, Qatar.","{'maxAge': 1, 'name': 'Mr. Sheikh Mohamed Fahad Mohamed Jabor Al Thani', 'title': 'Acting Chief Human Resource Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,1.615,1.644,1.616,1.644,1.615,1.644,1.616,1.644,0.07,0.0464,1678838400,0.4412,0.482712,9.529411,7.3636365,6647890,6647890,3160702,5218945,5218945,1.619,1.621,0,0,5022761472,1.512,2.455,3.3837507,1.68188,1.72481,0.075,0.04643963,QAR,21901926400,0.33175,2174512544,3100470016,0.06674,0.23115999,3.285,0.49315068,1672444800,1703980800,1688083200,-0.304,492443008,0.17,0.22,2.59,10:1,1560643200,14.755,DOH,EQUITY,DHBK.QA,DHBK.QA,Doha Bank QPSC,Doha Bank Q.P.S.C.,1266820200,Asia/Qatar,AST,10800000,1.62,2.2,1.6,1.9,1.9,2.4,buy,7,14818014208,4.779,31712686080,1484376960,0.479,0.00513,0.03505,1707475000,10659223552,-0.304,-0.083,0.0,0.0,0.39576,QAR,
7,Doha Bank Tower,Corniche Street West Bay PO Box 3818,Doha,Qatar,974 4445 6000,974 4441 6631,https://qa.dohabank.com,Banks—Diversified,Financial Services,"Doha Bank Q.P.S.C. provides various banking products and services to individual, commercial, corporate, and institutional clients. It operates in two segments, Conventional Banking and Insurance Activities. The Conventional Banking segment offers a range of products and services to business and corporate customers, including funded and non-funded credit facilitates deposits to corporate customers. It also undertakes funding and centralized risk management activities through borrowings; issues debt securities; uses derivatives for risk management purposes; and invests in liquid assets, such as short-term placements, and corporate and government debt securities. In addition, this segment provides loans, credit cards, deposits, and other transactions to individuals. The Insurance Activities segment offers contracts of insurance, carries out contracts of insurance, arranges deals in investments, and advises on investments. In addition, the company operates call centers and kiosks, as well as provides mobile, internet, and SMS banking services. The company operates local, corporate branch, and overseas branches in the United Arab Emirates, Kuwait, and India; and representative offices in the United Kingdom, Singapore, Turkey, China, Japan, South Korea, Germany, Australia, Hong Kong, Canada, Bangladesh, South Africa, Sri Lanka, and Nepal. Doha Bank Q.P.S.C. was incorporated in 1979 and is headquartered in Doha, Qatar.","{'maxAge': 1, 'name': 'Mr. Nezih  Akalan', 'title': 'Chief Representative of Turkey Representative Office', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,1.615,1.644,1.616,1.644,1.615,1.644,1.616,1.644,0.07,0.0464,1678838400,0.4412,0.482712,9.529411,7.3636365,6647890,6647890,3160702,5218945,5218945,1.619,1.621,0,0,5022761472,1.512,2.455,3.3837507,1.68188,1.72481,0.075,0.04643963,QAR,21901926400,0.33175,2174512544,3100470016,0.06674,0.23115999,3.285,0.49315068,1672444800,1703980800,1688083200,-0.304,492443008,0.17,0.22,2.59,10:1,1560643200,14.755,DOH,EQUITY,DHBK.QA,DHBK.QA,Doha Bank QPSC,Doha Bank Q.P.S.C.,1266820200,Asia/Qatar,AST,10800000,1.62,2.2,1.6,1.9,1.9,2.4,buy,7,14818014208,4.779,31712686080,1484376960,0.479,0.00513,0.03505,1707475000,10659223552,-0.304,-0.083,0.0,0.0,0.39576,QAR,
8,Doha Bank Tower,Corniche Street West Bay PO Box 3818,Doha,Qatar,974 4445 6000,974 4441 6631,https://qa.dohabank.com,Banks—Diversified,Financial Services,"Doha Bank Q.P.S.C. provides various banking products and services to individual, commercial, corporate, and institutional clients. It operates in two segments, Conventional Banking and Insurance Activities. The Conventional Banking segment offers a range of products and services to business and corporate customers, including funded and non-funded credit facilitates deposits to corporate customers. It also undertakes funding and centralized risk management activities through borrowings; issues debt securities; uses derivatives for risk management purposes; and invests in liquid assets, such as short-term placements, and corporate and government debt securities. In addition, this segment provides loans, credit cards, deposits, and other transactions to individuals. The Insurance Activities segment offers contracts of insurance, carries out contracts of insurance, arranges deals in investments, and advises on investments. In addition, the company operates call centers and kiosks, as well as provides mobile, internet, and SMS banking services. The company operates local, corporate branch, and overseas branches in the United Arab Emirates, Kuwait, and India; and representative offices in the United Kingdom, Singapore, Turkey, China, Japan, South Korea, Germany, Australia, Hong Kong, Canada, Bangladesh, South Africa, Sri Lanka, and Nepal. Doha Bank Q.P.S.C. was incorporated in 1979 and is headquartered in Doha, Qatar.","{'maxAge': 1, 'name': 'Mr. Peter  Lo', 'title': 'Chief Representative of China Representative Office', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,1.615,1.644,1.616,1.644,1.615,1.644,1.616,1.644,0.07,0.0464,1678838400,0.4412,0.482712,9.529411,7.3636365,6647890,6647890,3160702,5218945,5218945,1.619,1.621,0,0,5022761472,1.512,2.455,3.3837507,1.68188,1.72481,0.075,0.04643963,QAR,21901926400,0.33175,2174512544,3100470016,0.06674,0.23115999,3.285,0.49315068,1672444800,1703980800,1688083200,-0.304,492443008,0.17,0.22,2.59,10:1,1560643200,14.755,DOH,EQUITY,DHBK.QA,DHBK.QA,Doha Bank QPSC,Doha Bank Q.P.S.C.,1266820200,Asia/Qatar,AST,10800000,1.62,2.2,1.6,1.9,1.9,2.4,buy,7,14818014208,4.779,31712686080,1484376960,0.479,0.00513,0.03505,1707475000,10659223552,-0.304,-0.083,0.0,0.0,0.39576,QAR,
9,Doha Bank Tower,Corniche Street West Bay PO Box 3818,Doha,Qatar,974 4445 6000,974 4441 6631,https://qa.dohabank.com,Banks—Diversified,Financial Services,"Doha Bank Q.P.S.C. provides various banking products and services to individual, commercial, corporate, and institutional clients. It operates in two segments, Conventional Banking and Insurance Activities. The Conventional Banking segment offers a range of products and services to business and corporate customers, including funded and non-funded credit facilitates deposits to corporate customers. It also undertakes funding and centralized risk management activities through borrowings; issues debt securities; uses derivatives for risk management purposes; and invests in liquid assets, such as short-term placements, and corporate and government debt securities. In addition, this segment provides loans, credit cards, deposits, and other transactions to individuals. The Insurance Activities segment offers contracts of insurance, carries out contracts of insurance, arranges deals in investments, and advises on investments. In addition, the company operates call centers and kiosks, as well as provides mobile, internet, and SMS banking services. The company operates local, corporate branch, and overseas branches in the United Arab Emirates, Kuwait, and India; and representative offices in the United Kingdom, Singapore, Turkey, China, Japan, South Korea, Germany, Australia, Hong Kong, Canada, Bangladesh, South Africa, Sri Lanka, and Nepal. Doha Bank Q.P.S.C. was incorporated in 1979 and is headquartered in Doha, Qatar.","{'maxAge': 1, 'name': 'Mr. Kanji  Shinomiya', 'title': 'Chief Representative of Japan Representative Office', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,1.615,1.644,1.616,1.644,1.615,1.644,1.616,1.644,0.07,0.0464,1678838400,0.4412,0.482712,9.529411,7.3636365,6647890,6647890,3160702,5218945,5218945,1.619,1.621,0,0,5022761472,1.512,2.455,3.3837507,1.68188,1.72481,0.075,0.04643963,QAR,21901926400,0.33175,2174512544,3100470016,0.06674,0.23115999,3.285,0.49315068,1672444800,1703980800,1688083200,-0.304,492443008,0.17,0.22,2.59,10:1,1560643200,14.755,DOH,EQUITY,DHBK.QA,DHBK.QA,Doha Bank QPSC,Doha Bank Q.P.S.C.,1266820200,Asia/Qatar,AST,10800000,1.62,2.2,1.6,1.9,1.9,2.4,buy,7,14818014208,4.779,31712686080,1484376960,0.479,0.00513,0.03505,1707475000,10659223552,-0.304,-0.083,0.0,0.0,0.39576,QAR,
