,address1,address2,city,state,zip,country,fax,website,industry,sector,longBusinessSummary,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,State Street Financial Centre,"30 Adelaide Street East, Suite 1600",Toronto,ON,M5C 3H1,Canada,416 365 3545,https://dream.ca,Real Estate—Development,Real Estate,"Dream Unlimited Corp. formerly known as Dundee Realty Corporation is a real estate investment firm. The firm provides real estate asset management and advisory services including sourcing, acquiring, managing, and developing commercial and residential real estate primarily in Western Canada. It invests in the real estate markets across the globe. The firm also seeks to invest in renewable energy infrastructure and power projects with a focus on wind, hydro, and solar in North American. Dream Unlimited Corp. was founded in 1996 and is based in Toronto, Canada. Dream Unlimited Corp. (TSX:DRM) operates as a subsidiary of Sweet LP.","{'maxAge': 1, 'name': 'Mr. Michael J. Cooper', 'age': 61, 'title': 'Pres, Chief Responsible Officer & Non Independent Director', 'yearBorn': 1961, 'fiscalYear': 2022, 'totalPay': 886328, 'exercisedValue': 0, 'unexercisedValue': 0}",3,5,3,10,5,1693526400,1672444800,86400,2,15.4612,15.5964,15.5859,15.5964,15.4612,15.5964,15.5859,15.5964,0.37,0.023699999,1694649600,4.0909,1.207916,194.82376,420,420,4950,1150,1150,669136960,14.27,23.2,1.8117785,15.1782,17.3618,0.45,0.029105114,USD,2323319808,0.01592,22634384,41244300,0.45148,0.17897,35.264,0.44197765,1672444800,1703980800,1688083200,5879000,0.08,1:2,1593993600,6.291,43.108,PNK,EQUITY,DRUNF,DRUNF,DREAM UNLIMITED CORP,Dream Unlimited Corp.,1371735000,America/New_York,EDT,-14400000,15.5859,none,90356000,2.111,53895000,1746573056,0.583,2.132,369326016,115.716,8.657,0.00753,0.00387,113607000,-64604624,-2348000,0.097,0.32345,0.14593,0.1257,CAD,
1,State Street Financial Centre,"30 Adelaide Street East, Suite 1600",Toronto,ON,M5C 3H1,Canada,416 365 3545,https://dream.ca,Real Estate—Development,Real Estate,"Dream Unlimited Corp. formerly known as Dundee Realty Corporation is a real estate investment firm. The firm provides real estate asset management and advisory services including sourcing, acquiring, managing, and developing commercial and residential real estate primarily in Western Canada. It invests in the real estate markets across the globe. The firm also seeks to invest in renewable energy infrastructure and power projects with a focus on wind, hydro, and solar in North American. Dream Unlimited Corp. was founded in 1996 and is based in Toronto, Canada. Dream Unlimited Corp. (TSX:DRM) operates as a subsidiary of Sweet LP.","{'maxAge': 1, 'name': 'Ms. Deborah Joanne Starkman', 'age': 50, 'title': 'Chief Financial Officer', 'yearBorn': 1972, 'fiscalYear': 2022, 'totalPay': 620717, 'exercisedValue': 0, 'unexercisedValue': 0}",3,5,3,10,5,1693526400,1672444800,86400,2,15.4612,15.5964,15.5859,15.5964,15.4612,15.5964,15.5859,15.5964,0.37,0.023699999,1694649600,4.0909,1.207916,194.82376,420,420,4950,1150,1150,669136960,14.27,23.2,1.8117785,15.1782,17.3618,0.45,0.029105114,USD,2323319808,0.01592,22634384,41244300,0.45148,0.17897,35.264,0.44197765,1672444800,1703980800,1688083200,5879000,0.08,1:2,1593993600,6.291,43.108,PNK,EQUITY,DRUNF,DRUNF,DREAM UNLIMITED CORP,Dream Unlimited Corp.,1371735000,America/New_York,EDT,-14400000,15.5859,none,90356000,2.111,53895000,1746573056,0.583,2.132,369326016,115.716,8.657,0.00753,0.00387,113607000,-64604624,-2348000,0.097,0.32345,0.14593,0.1257,CAD,
2,State Street Financial Centre,"30 Adelaide Street East, Suite 1600",Toronto,ON,M5C 3H1,Canada,416 365 3545,https://dream.ca,Real Estate—Development,Real Estate,"Dream Unlimited Corp. formerly known as Dundee Realty Corporation is a real estate investment firm. The firm provides real estate asset management and advisory services including sourcing, acquiring, managing, and developing commercial and residential real estate primarily in Western Canada. It invests in the real estate markets across the globe. The firm also seeks to invest in renewable energy infrastructure and power projects with a focus on wind, hydro, and solar in North American. Dream Unlimited Corp. was founded in 1996 and is based in Toronto, Canada. Dream Unlimited Corp. (TSX:DRM) operates as a subsidiary of Sweet LP.","{'maxAge': 1, 'name': 'Ms. P. Jane Gavan', 'age': 62, 'title': 'Pres of Asset Management & Non-Independent Director', 'yearBorn': 1960, 'fiscalYear': 2022, 'totalPay': 971556, 'exercisedValue': 0, 'unexercisedValue': 0}",3,5,3,10,5,1693526400,1672444800,86400,2,15.4612,15.5964,15.5859,15.5964,15.4612,15.5964,15.5859,15.5964,0.37,0.023699999,1694649600,4.0909,1.207916,194.82376,420,420,4950,1150,1150,669136960,14.27,23.2,1.8117785,15.1782,17.3618,0.45,0.029105114,USD,2323319808,0.01592,22634384,41244300,0.45148,0.17897,35.264,0.44197765,1672444800,1703980800,1688083200,5879000,0.08,1:2,1593993600,6.291,43.108,PNK,EQUITY,DRUNF,DRUNF,DREAM UNLIMITED CORP,Dream Unlimited Corp.,1371735000,America/New_York,EDT,-14400000,15.5859,none,90356000,2.111,53895000,1746573056,0.583,2.132,369326016,115.716,8.657,0.00753,0.00387,113607000,-64604624,-2348000,0.097,0.32345,0.14593,0.1257,CAD,
3,State Street Financial Centre,"30 Adelaide Street East, Suite 1600",Toronto,ON,M5C 3H1,Canada,416 365 3545,https://dream.ca,Real Estate—Development,Real Estate,"Dream Unlimited Corp. formerly known as Dundee Realty Corporation is a real estate investment firm. The firm provides real estate asset management and advisory services including sourcing, acquiring, managing, and developing commercial and residential real estate primarily in Western Canada. It invests in the real estate markets across the globe. The firm also seeks to invest in renewable energy infrastructure and power projects with a focus on wind, hydro, and solar in North American. Dream Unlimited Corp. was founded in 1996 and is based in Toronto, Canada. Dream Unlimited Corp. (TSX:DRM) operates as a subsidiary of Sweet LP.","{'maxAge': 1, 'name': 'Mr. Bruce  Traversy', 'age': 56, 'title': 'Exec. VP of Industrial', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 675825, 'exercisedValue': 0, 'unexercisedValue': 0}",3,5,3,10,5,1693526400,1672444800,86400,2,15.4612,15.5964,15.5859,15.5964,15.4612,15.5964,15.5859,15.5964,0.37,0.023699999,1694649600,4.0909,1.207916,194.82376,420,420,4950,1150,1150,669136960,14.27,23.2,1.8117785,15.1782,17.3618,0.45,0.029105114,USD,2323319808,0.01592,22634384,41244300,0.45148,0.17897,35.264,0.44197765,1672444800,1703980800,1688083200,5879000,0.08,1:2,1593993600,6.291,43.108,PNK,EQUITY,DRUNF,DRUNF,DREAM UNLIMITED CORP,Dream Unlimited Corp.,1371735000,America/New_York,EDT,-14400000,15.5859,none,90356000,2.111,53895000,1746573056,0.583,2.132,369326016,115.716,8.657,0.00753,0.00387,113607000,-64604624,-2348000,0.097,0.32345,0.14593,0.1257,CAD,
4,State Street Financial Centre,"30 Adelaide Street East, Suite 1600",Toronto,ON,M5C 3H1,Canada,416 365 3545,https://dream.ca,Real Estate—Development,Real Estate,"Dream Unlimited Corp. formerly known as Dundee Realty Corporation is a real estate investment firm. The firm provides real estate asset management and advisory services including sourcing, acquiring, managing, and developing commercial and residential real estate primarily in Western Canada. It invests in the real estate markets across the globe. The firm also seeks to invest in renewable energy infrastructure and power projects with a focus on wind, hydro, and solar in North American. Dream Unlimited Corp. was founded in 1996 and is based in Toronto, Canada. Dream Unlimited Corp. (TSX:DRM) operates as a subsidiary of Sweet LP.","{'maxAge': 1, 'name': 'Mr. Alexander  Sannikov', 'age': 36, 'title': 'Exec. VP of Industrial', 'yearBorn': 1986, 'fiscalYear': 2022, 'totalPay': 853379, 'exercisedValue': 0, 'unexercisedValue': 0}",3,5,3,10,5,1693526400,1672444800,86400,2,15.4612,15.5964,15.5859,15.5964,15.4612,15.5964,15.5859,15.5964,0.37,0.023699999,1694649600,4.0909,1.207916,194.82376,420,420,4950,1150,1150,669136960,14.27,23.2,1.8117785,15.1782,17.3618,0.45,0.029105114,USD,2323319808,0.01592,22634384,41244300,0.45148,0.17897,35.264,0.44197765,1672444800,1703980800,1688083200,5879000,0.08,1:2,1593993600,6.291,43.108,PNK,EQUITY,DRUNF,DRUNF,DREAM UNLIMITED CORP,Dream Unlimited Corp.,1371735000,America/New_York,EDT,-14400000,15.5859,none,90356000,2.111,53895000,1746573056,0.583,2.132,369326016,115.716,8.657,0.00753,0.00387,113607000,-64604624,-2348000,0.097,0.32345,0.14593,0.1257,CAD,
5,State Street Financial Centre,"30 Adelaide Street East, Suite 1600",Toronto,ON,M5C 3H1,Canada,416 365 3545,https://dream.ca,Real Estate—Development,Real Estate,"Dream Unlimited Corp. formerly known as Dundee Realty Corporation is a real estate investment firm. The firm provides real estate asset management and advisory services including sourcing, acquiring, managing, and developing commercial and residential real estate primarily in Western Canada. It invests in the real estate markets across the globe. The firm also seeks to invest in renewable energy infrastructure and power projects with a focus on wind, hydro, and solar in North American. Dream Unlimited Corp. was founded in 1996 and is based in Toronto, Canada. Dream Unlimited Corp. (TSX:DRM) operates as a subsidiary of Sweet LP.","{'maxAge': 1, 'name': 'Ms. Kim  Lefever', 'title': 'Director of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",3,5,3,10,5,1693526400,1672444800,86400,2,15.4612,15.5964,15.5859,15.5964,15.4612,15.5964,15.5859,15.5964,0.37,0.023699999,1694649600,4.0909,1.207916,194.82376,420,420,4950,1150,1150,669136960,14.27,23.2,1.8117785,15.1782,17.3618,0.45,0.029105114,USD,2323319808,0.01592,22634384,41244300,0.45148,0.17897,35.264,0.44197765,1672444800,1703980800,1688083200,5879000,0.08,1:2,1593993600,6.291,43.108,PNK,EQUITY,DRUNF,DRUNF,DREAM UNLIMITED CORP,Dream Unlimited Corp.,1371735000,America/New_York,EDT,-14400000,15.5859,none,90356000,2.111,53895000,1746573056,0.583,2.132,369326016,115.716,8.657,0.00753,0.00387,113607000,-64604624,-2348000,0.097,0.32345,0.14593,0.1257,CAD,
6,State Street Financial Centre,"30 Adelaide Street East, Suite 1600",Toronto,ON,M5C 3H1,Canada,416 365 3545,https://dream.ca,Real Estate—Development,Real Estate,"Dream Unlimited Corp. formerly known as Dundee Realty Corporation is a real estate investment firm. The firm provides real estate asset management and advisory services including sourcing, acquiring, managing, and developing commercial and residential real estate primarily in Western Canada. It invests in the real estate markets across the globe. The firm also seeks to invest in renewable energy infrastructure and power projects with a focus on wind, hydro, and solar in North American. Dream Unlimited Corp. was founded in 1996 and is based in Toronto, Canada. Dream Unlimited Corp. (TSX:DRM) operates as a subsidiary of Sweet LP.","{'maxAge': 1, 'name': 'Mr. Robert Michael-Lockwood Hughes', 'title': 'Gen. Counsel & Corp. Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",3,5,3,10,5,1693526400,1672444800,86400,2,15.4612,15.5964,15.5859,15.5964,15.4612,15.5964,15.5859,15.5964,0.37,0.023699999,1694649600,4.0909,1.207916,194.82376,420,420,4950,1150,1150,669136960,14.27,23.2,1.8117785,15.1782,17.3618,0.45,0.029105114,USD,2323319808,0.01592,22634384,41244300,0.45148,0.17897,35.264,0.44197765,1672444800,1703980800,1688083200,5879000,0.08,1:2,1593993600,6.291,43.108,PNK,EQUITY,DRUNF,DRUNF,DREAM UNLIMITED CORP,Dream Unlimited Corp.,1371735000,America/New_York,EDT,-14400000,15.5859,none,90356000,2.111,53895000,1746573056,0.583,2.132,369326016,115.716,8.657,0.00753,0.00387,113607000,-64604624,-2348000,0.097,0.32345,0.14593,0.1257,CAD,
7,State Street Financial Centre,"30 Adelaide Street East, Suite 1600",Toronto,ON,M5C 3H1,Canada,416 365 3545,https://dream.ca,Real Estate—Development,Real Estate,"Dream Unlimited Corp. formerly known as Dundee Realty Corporation is a real estate investment firm. The firm provides real estate asset management and advisory services including sourcing, acquiring, managing, and developing commercial and residential real estate primarily in Western Canada. It invests in the real estate markets across the globe. The firm also seeks to invest in renewable energy infrastructure and power projects with a focus on wind, hydro, and solar in North American. Dream Unlimited Corp. was founded in 1996 and is based in Toronto, Canada. Dream Unlimited Corp. (TSX:DRM) operates as a subsidiary of Sweet LP.","{'maxAge': 1, 'name': 'Mr. Jay  Jiang C.A.', 'title': 'Exec. VP of Corp. Devel. & Strategy', 'exercisedValue': 0, 'unexercisedValue': 0}",3,5,3,10,5,1693526400,1672444800,86400,2,15.4612,15.5964,15.5859,15.5964,15.4612,15.5964,15.5859,15.5964,0.37,0.023699999,1694649600,4.0909,1.207916,194.82376,420,420,4950,1150,1150,669136960,14.27,23.2,1.8117785,15.1782,17.3618,0.45,0.029105114,USD,2323319808,0.01592,22634384,41244300,0.45148,0.17897,35.264,0.44197765,1672444800,1703980800,1688083200,5879000,0.08,1:2,1593993600,6.291,43.108,PNK,EQUITY,DRUNF,DRUNF,DREAM UNLIMITED CORP,Dream Unlimited Corp.,1371735000,America/New_York,EDT,-14400000,15.5859,none,90356000,2.111,53895000,1746573056,0.583,2.132,369326016,115.716,8.657,0.00753,0.00387,113607000,-64604624,-2348000,0.097,0.32345,0.14593,0.1257,CAD,
8,State Street Financial Centre,"30 Adelaide Street East, Suite 1600",Toronto,ON,M5C 3H1,Canada,416 365 3545,https://dream.ca,Real Estate—Development,Real Estate,"Dream Unlimited Corp. formerly known as Dundee Realty Corporation is a real estate investment firm. The firm provides real estate asset management and advisory services including sourcing, acquiring, managing, and developing commercial and residential real estate primarily in Western Canada. It invests in the real estate markets across the globe. The firm also seeks to invest in renewable energy infrastructure and power projects with a focus on wind, hydro, and solar in North American. Dream Unlimited Corp. was founded in 1996 and is based in Toronto, Canada. Dream Unlimited Corp. (TSX:DRM) operates as a subsidiary of Sweet LP.","{'maxAge': 1, 'name': 'Mr. Jason  Lester', 'age': 61, 'title': 'Vice Chair of Devel.', 'yearBorn': 1961, 'fiscalYear': 2020, 'exercisedValue': 0, 'unexercisedValue': 0}",3,5,3,10,5,1693526400,1672444800,86400,2,15.4612,15.5964,15.5859,15.5964,15.4612,15.5964,15.5859,15.5964,0.37,0.023699999,1694649600,4.0909,1.207916,194.82376,420,420,4950,1150,1150,669136960,14.27,23.2,1.8117785,15.1782,17.3618,0.45,0.029105114,USD,2323319808,0.01592,22634384,41244300,0.45148,0.17897,35.264,0.44197765,1672444800,1703980800,1688083200,5879000,0.08,1:2,1593993600,6.291,43.108,PNK,EQUITY,DRUNF,DRUNF,DREAM UNLIMITED CORP,Dream Unlimited Corp.,1371735000,America/New_York,EDT,-14400000,15.5859,none,90356000,2.111,53895000,1746573056,0.583,2.132,369326016,115.716,8.657,0.00753,0.00387,113607000,-64604624,-2348000,0.097,0.32345,0.14593,0.1257,CAD,
9,State Street Financial Centre,"30 Adelaide Street East, Suite 1600",Toronto,ON,M5C 3H1,Canada,416 365 3545,https://dream.ca,Real Estate—Development,Real Estate,"Dream Unlimited Corp. formerly known as Dundee Realty Corporation is a real estate investment firm. The firm provides real estate asset management and advisory services including sourcing, acquiring, managing, and developing commercial and residential real estate primarily in Western Canada. It invests in the real estate markets across the globe. The firm also seeks to invest in renewable energy infrastructure and power projects with a focus on wind, hydro, and solar in North American. Dream Unlimited Corp. was founded in 1996 and is based in Toronto, Canada. Dream Unlimited Corp. (TSX:DRM) operates as a subsidiary of Sweet LP.","{'maxAge': 1, 'name': 'Mr. Brian D. Pauls', 'title': 'Exec. VP of Industrial', 'fiscalYear': 2020, 'exercisedValue': 0, 'unexercisedValue': 0}",3,5,3,10,5,1693526400,1672444800,86400,2,15.4612,15.5964,15.5859,15.5964,15.4612,15.5964,15.5859,15.5964,0.37,0.023699999,1694649600,4.0909,1.207916,194.82376,420,420,4950,1150,1150,669136960,14.27,23.2,1.8117785,15.1782,17.3618,0.45,0.029105114,USD,2323319808,0.01592,22634384,41244300,0.45148,0.17897,35.264,0.44197765,1672444800,1703980800,1688083200,5879000,0.08,1:2,1593993600,6.291,43.108,PNK,EQUITY,DRUNF,DRUNF,DREAM UNLIMITED CORP,Dream Unlimited Corp.,1371735000,America/New_York,EDT,-14400000,15.5859,none,90356000,2.111,53895000,1746573056,0.583,2.132,369326016,115.716,8.657,0.00753,0.00387,113607000,-64604624,-2348000,0.097,0.32345,0.14593,0.1257,CAD,
