,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,555 Turnpike Street,Canton,MA,02021,United States,781 828 9300,https://www.dxl.com,Apparel Retail,Consumer Cyclical,"Destination XL Group, Inc., together with its subsidiaries, operates as a specialty retailer of big and tall men's clothing and shoes in the United States and Canada. Its stores offer sportswear and dresswear; fashion-neutral items, including jeans, casual slacks, T-shirts, polo shirts, dress shirts, and suit separates; and casual clothing. It also provides tailored-related separates, blazers, dress slacks, dress shirts, and suits; and vintage-screen T-shirts and wovens under various private labels. The company offers its products under the trade names of Destination XL, DXL, DXL Men's Apparel, DXL outlets, Casual Male XL, and Casual Male XL outlets. The company was formerly known as Casual Male Retail Group, Inc. and changed its name to Destination XL Group, Inc. in February 2013. Destination XL Group, Inc. was incorporated in 1976 and is headquartered in Canton, Massachusetts.",1480,"{'maxAge': 1, 'name': 'Mr. Harvey S. Kanter', 'age': 60, 'title': 'Pres, CEO & Director', 'yearBorn': 1962, 'fiscalYear': 2022, 'totalPay': 3392068, 'exercisedValue': 2448759, 'unexercisedValue': 0}",2,3,1,1,1,1693526400,1672444800,86400,4,4.62,4.58,4.445,4.62,4.62,4.58,4.445,4.62,0.0,1.422199,7.7586207,10.4651165,506855,506855,514066,488950,488950,4.31,4.52,4000,800,271753664,3.69,7.57,0.50414944,4.744,5.41605,0.0,0.0,USD,365852256,0.06937,39546172,60389700,2996751,2483927,1690761600,1693440000,0.0496,0.093710005,0.83615994,7.48,0.0657,2.472,1.8203884,1674864000,1706400000,1690588800,-0.796,37393000,0.58,0.43,0.63,3:2,740793600,0.679,5.506,NGM,EQUITY,DXLG,DXLG,"Destination XL Group, Inc.","Destination XL Group, Inc.",549639000,America/New_York,EDT,-14400000,4.5,8.5,7.5,8.0,8.0,2.0,buy,2,62782000,1.04,66451000,149634000,0.739,1.834,539033984,99.689,8.652,0.09503999,0.27927,272598000,41017000,62334000,-0.788,-0.032,0.49145,0.12328,0.09666,USD,
1,555 Turnpike Street,Canton,MA,02021,United States,781 828 9300,https://www.dxl.com,Apparel Retail,Consumer Cyclical,"Destination XL Group, Inc., together with its subsidiaries, operates as a specialty retailer of big and tall men's clothing and shoes in the United States and Canada. Its stores offer sportswear and dresswear; fashion-neutral items, including jeans, casual slacks, T-shirts, polo shirts, dress shirts, and suit separates; and casual clothing. It also provides tailored-related separates, blazers, dress slacks, dress shirts, and suits; and vintage-screen T-shirts and wovens under various private labels. The company offers its products under the trade names of Destination XL, DXL, DXL Men's Apparel, DXL outlets, Casual Male XL, and Casual Male XL outlets. The company was formerly known as Casual Male Retail Group, Inc. and changed its name to Destination XL Group, Inc. in February 2013. Destination XL Group, Inc. was incorporated in 1976 and is headquartered in Canton, Massachusetts.",1480,"{'maxAge': 1, 'name': 'Mr. Peter H. Stratton Jr.', 'age': 50, 'title': 'Exec. VP, CFO & Treasurer', 'yearBorn': 1972, 'fiscalYear': 2022, 'totalPay': 958603, 'exercisedValue': 105400, 'unexercisedValue': 735037}",2,3,1,1,1,1693526400,1672444800,86400,4,4.62,4.58,4.445,4.62,4.62,4.58,4.445,4.62,0.0,1.422199,7.7586207,10.4651165,506855,506855,514066,488950,488950,4.31,4.52,4000,800,271753664,3.69,7.57,0.50414944,4.744,5.41605,0.0,0.0,USD,365852256,0.06937,39546172,60389700,2996751,2483927,1690761600,1693440000,0.0496,0.093710005,0.83615994,7.48,0.0657,2.472,1.8203884,1674864000,1706400000,1690588800,-0.796,37393000,0.58,0.43,0.63,3:2,740793600,0.679,5.506,NGM,EQUITY,DXLG,DXLG,"Destination XL Group, Inc.","Destination XL Group, Inc.",549639000,America/New_York,EDT,-14400000,4.5,8.5,7.5,8.0,8.0,2.0,buy,2,62782000,1.04,66451000,149634000,0.739,1.834,539033984,99.689,8.652,0.09503999,0.27927,272598000,41017000,62334000,-0.788,-0.032,0.49145,0.12328,0.09666,USD,
2,555 Turnpike Street,Canton,MA,02021,United States,781 828 9300,https://www.dxl.com,Apparel Retail,Consumer Cyclical,"Destination XL Group, Inc., together with its subsidiaries, operates as a specialty retailer of big and tall men's clothing and shoes in the United States and Canada. Its stores offer sportswear and dresswear; fashion-neutral items, including jeans, casual slacks, T-shirts, polo shirts, dress shirts, and suit separates; and casual clothing. It also provides tailored-related separates, blazers, dress slacks, dress shirts, and suits; and vintage-screen T-shirts and wovens under various private labels. The company offers its products under the trade names of Destination XL, DXL, DXL Men's Apparel, DXL outlets, Casual Male XL, and Casual Male XL outlets. The company was formerly known as Casual Male Retail Group, Inc. and changed its name to Destination XL Group, Inc. in February 2013. Destination XL Group, Inc. was incorporated in 1976 and is headquartered in Canton, Massachusetts.",1480,"{'maxAge': 1, 'name': 'Mr. Robert S. Molloy', 'age': 62, 'title': 'Gen. Counsel & Sec.', 'yearBorn': 1960, 'fiscalYear': 2022, 'totalPay': 848179, 'exercisedValue': 28758, 'unexercisedValue': 827513}",2,3,1,1,1,1693526400,1672444800,86400,4,4.62,4.58,4.445,4.62,4.62,4.58,4.445,4.62,0.0,1.422199,7.7586207,10.4651165,506855,506855,514066,488950,488950,4.31,4.52,4000,800,271753664,3.69,7.57,0.50414944,4.744,5.41605,0.0,0.0,USD,365852256,0.06937,39546172,60389700,2996751,2483927,1690761600,1693440000,0.0496,0.093710005,0.83615994,7.48,0.0657,2.472,1.8203884,1674864000,1706400000,1690588800,-0.796,37393000,0.58,0.43,0.63,3:2,740793600,0.679,5.506,NGM,EQUITY,DXLG,DXLG,"Destination XL Group, Inc.","Destination XL Group, Inc.",549639000,America/New_York,EDT,-14400000,4.5,8.5,7.5,8.0,8.0,2.0,buy,2,62782000,1.04,66451000,149634000,0.739,1.834,539033984,99.689,8.652,0.09503999,0.27927,272598000,41017000,62334000,-0.788,-0.032,0.49145,0.12328,0.09666,USD,
3,555 Turnpike Street,Canton,MA,02021,United States,781 828 9300,https://www.dxl.com,Apparel Retail,Consumer Cyclical,"Destination XL Group, Inc., together with its subsidiaries, operates as a specialty retailer of big and tall men's clothing and shoes in the United States and Canada. Its stores offer sportswear and dresswear; fashion-neutral items, including jeans, casual slacks, T-shirts, polo shirts, dress shirts, and suit separates; and casual clothing. It also provides tailored-related separates, blazers, dress slacks, dress shirts, and suits; and vintage-screen T-shirts and wovens under various private labels. The company offers its products under the trade names of Destination XL, DXL, DXL Men's Apparel, DXL outlets, Casual Male XL, and Casual Male XL outlets. The company was formerly known as Casual Male Retail Group, Inc. and changed its name to Destination XL Group, Inc. in February 2013. Destination XL Group, Inc. was incorporated in 1976 and is headquartered in Canton, Massachusetts.",1480,"{'maxAge': 1, 'name': 'Mr. Anthony J. Gaeta', 'age': 51, 'title': 'Chief Stores & Real Estate Officer', 'yearBorn': 1971, 'fiscalYear': 2022, 'totalPay': 696710, 'exercisedValue': 37064, 'unexercisedValue': 648960}",2,3,1,1,1,1693526400,1672444800,86400,4,4.62,4.58,4.445,4.62,4.62,4.58,4.445,4.62,0.0,1.422199,7.7586207,10.4651165,506855,506855,514066,488950,488950,4.31,4.52,4000,800,271753664,3.69,7.57,0.50414944,4.744,5.41605,0.0,0.0,USD,365852256,0.06937,39546172,60389700,2996751,2483927,1690761600,1693440000,0.0496,0.093710005,0.83615994,7.48,0.0657,2.472,1.8203884,1674864000,1706400000,1690588800,-0.796,37393000,0.58,0.43,0.63,3:2,740793600,0.679,5.506,NGM,EQUITY,DXLG,DXLG,"Destination XL Group, Inc.","Destination XL Group, Inc.",549639000,America/New_York,EDT,-14400000,4.5,8.5,7.5,8.0,8.0,2.0,buy,2,62782000,1.04,66451000,149634000,0.739,1.834,539033984,99.689,8.652,0.09503999,0.27927,272598000,41017000,62334000,-0.788,-0.032,0.49145,0.12328,0.09666,USD,
4,555 Turnpike Street,Canton,MA,02021,United States,781 828 9300,https://www.dxl.com,Apparel Retail,Consumer Cyclical,"Destination XL Group, Inc., together with its subsidiaries, operates as a specialty retailer of big and tall men's clothing and shoes in the United States and Canada. Its stores offer sportswear and dresswear; fashion-neutral items, including jeans, casual slacks, T-shirts, polo shirts, dress shirts, and suit separates; and casual clothing. It also provides tailored-related separates, blazers, dress slacks, dress shirts, and suits; and vintage-screen T-shirts and wovens under various private labels. The company offers its products under the trade names of Destination XL, DXL, DXL Men's Apparel, DXL outlets, Casual Male XL, and Casual Male XL outlets. The company was formerly known as Casual Male Retail Group, Inc. and changed its name to Destination XL Group, Inc. in February 2013. Destination XL Group, Inc. was incorporated in 1976 and is headquartered in Canton, Massachusetts.",1480,"{'maxAge': 1, 'name': 'Ms. Allison  Surette', 'age': 41, 'title': 'Chief Merchandising Officer', 'yearBorn': 1981, 'fiscalYear': 2022, 'totalPay': 689185, 'exercisedValue': 0, 'unexercisedValue': 641136}",2,3,1,1,1,1693526400,1672444800,86400,4,4.62,4.58,4.445,4.62,4.62,4.58,4.445,4.62,0.0,1.422199,7.7586207,10.4651165,506855,506855,514066,488950,488950,4.31,4.52,4000,800,271753664,3.69,7.57,0.50414944,4.744,5.41605,0.0,0.0,USD,365852256,0.06937,39546172,60389700,2996751,2483927,1690761600,1693440000,0.0496,0.093710005,0.83615994,7.48,0.0657,2.472,1.8203884,1674864000,1706400000,1690588800,-0.796,37393000,0.58,0.43,0.63,3:2,740793600,0.679,5.506,NGM,EQUITY,DXLG,DXLG,"Destination XL Group, Inc.","Destination XL Group, Inc.",549639000,America/New_York,EDT,-14400000,4.5,8.5,7.5,8.0,8.0,2.0,buy,2,62782000,1.04,66451000,149634000,0.739,1.834,539033984,99.689,8.652,0.09503999,0.27927,272598000,41017000,62334000,-0.788,-0.032,0.49145,0.12328,0.09666,USD,
5,555 Turnpike Street,Canton,MA,02021,United States,781 828 9300,https://www.dxl.com,Apparel Retail,Consumer Cyclical,"Destination XL Group, Inc., together with its subsidiaries, operates as a specialty retailer of big and tall men's clothing and shoes in the United States and Canada. Its stores offer sportswear and dresswear; fashion-neutral items, including jeans, casual slacks, T-shirts, polo shirts, dress shirts, and suit separates; and casual clothing. It also provides tailored-related separates, blazers, dress slacks, dress shirts, and suits; and vintage-screen T-shirts and wovens under various private labels. The company offers its products under the trade names of Destination XL, DXL, DXL Men's Apparel, DXL outlets, Casual Male XL, and Casual Male XL outlets. The company was formerly known as Casual Male Retail Group, Inc. and changed its name to Destination XL Group, Inc. in February 2013. Destination XL Group, Inc. was incorporated in 1976 and is headquartered in Canton, Massachusetts.",1480,"{'maxAge': 1, 'name': 'Mr. John F. Cooney', 'age': 39, 'title': 'Sr. VP, Corp. Controller & Chief Accounting Officer', 'yearBorn': 1983, 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,1,1,1,1693526400,1672444800,86400,4,4.62,4.58,4.445,4.62,4.62,4.58,4.445,4.62,0.0,1.422199,7.7586207,10.4651165,506855,506855,514066,488950,488950,4.31,4.52,4000,800,271753664,3.69,7.57,0.50414944,4.744,5.41605,0.0,0.0,USD,365852256,0.06937,39546172,60389700,2996751,2483927,1690761600,1693440000,0.0496,0.093710005,0.83615994,7.48,0.0657,2.472,1.8203884,1674864000,1706400000,1690588800,-0.796,37393000,0.58,0.43,0.63,3:2,740793600,0.679,5.506,NGM,EQUITY,DXLG,DXLG,"Destination XL Group, Inc.","Destination XL Group, Inc.",549639000,America/New_York,EDT,-14400000,4.5,8.5,7.5,8.0,8.0,2.0,buy,2,62782000,1.04,66451000,149634000,0.739,1.834,539033984,99.689,8.652,0.09503999,0.27927,272598000,41017000,62334000,-0.788,-0.032,0.49145,0.12328,0.09666,USD,
6,555 Turnpike Street,Canton,MA,02021,United States,781 828 9300,https://www.dxl.com,Apparel Retail,Consumer Cyclical,"Destination XL Group, Inc., together with its subsidiaries, operates as a specialty retailer of big and tall men's clothing and shoes in the United States and Canada. Its stores offer sportswear and dresswear; fashion-neutral items, including jeans, casual slacks, T-shirts, polo shirts, dress shirts, and suit separates; and casual clothing. It also provides tailored-related separates, blazers, dress slacks, dress shirts, and suits; and vintage-screen T-shirts and wovens under various private labels. The company offers its products under the trade names of Destination XL, DXL, DXL Men's Apparel, DXL outlets, Casual Male XL, and Casual Male XL outlets. The company was formerly known as Casual Male Retail Group, Inc. and changed its name to Destination XL Group, Inc. in February 2013. Destination XL Group, Inc. was incorporated in 1976 and is headquartered in Canton, Massachusetts.",1480,"{'maxAge': 1, 'name': 'Mr. Jim  Reath', 'age': 50, 'title': 'Chief Marketing Officer', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,1,1,1,1693526400,1672444800,86400,4,4.62,4.58,4.445,4.62,4.62,4.58,4.445,4.62,0.0,1.422199,7.7586207,10.4651165,506855,506855,514066,488950,488950,4.31,4.52,4000,800,271753664,3.69,7.57,0.50414944,4.744,5.41605,0.0,0.0,USD,365852256,0.06937,39546172,60389700,2996751,2483927,1690761600,1693440000,0.0496,0.093710005,0.83615994,7.48,0.0657,2.472,1.8203884,1674864000,1706400000,1690588800,-0.796,37393000,0.58,0.43,0.63,3:2,740793600,0.679,5.506,NGM,EQUITY,DXLG,DXLG,"Destination XL Group, Inc.","Destination XL Group, Inc.",549639000,America/New_York,EDT,-14400000,4.5,8.5,7.5,8.0,8.0,2.0,buy,2,62782000,1.04,66451000,149634000,0.739,1.834,539033984,99.689,8.652,0.09503999,0.27927,272598000,41017000,62334000,-0.788,-0.032,0.49145,0.12328,0.09666,USD,
7,555 Turnpike Street,Canton,MA,02021,United States,781 828 9300,https://www.dxl.com,Apparel Retail,Consumer Cyclical,"Destination XL Group, Inc., together with its subsidiaries, operates as a specialty retailer of big and tall men's clothing and shoes in the United States and Canada. Its stores offer sportswear and dresswear; fashion-neutral items, including jeans, casual slacks, T-shirts, polo shirts, dress shirts, and suit separates; and casual clothing. It also provides tailored-related separates, blazers, dress slacks, dress shirts, and suits; and vintage-screen T-shirts and wovens under various private labels. The company offers its products under the trade names of Destination XL, DXL, DXL Men's Apparel, DXL outlets, Casual Male XL, and Casual Male XL outlets. The company was formerly known as Casual Male Retail Group, Inc. and changed its name to Destination XL Group, Inc. in February 2013. Destination XL Group, Inc. was incorporated in 1976 and is headquartered in Canton, Massachusetts.",1480,"{'maxAge': 1, 'name': 'Ms. Stacey A. Jones', 'age': 51, 'title': 'Chief HR Officer', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,1,1,1,1693526400,1672444800,86400,4,4.62,4.58,4.445,4.62,4.62,4.58,4.445,4.62,0.0,1.422199,7.7586207,10.4651165,506855,506855,514066,488950,488950,4.31,4.52,4000,800,271753664,3.69,7.57,0.50414944,4.744,5.41605,0.0,0.0,USD,365852256,0.06937,39546172,60389700,2996751,2483927,1690761600,1693440000,0.0496,0.093710005,0.83615994,7.48,0.0657,2.472,1.8203884,1674864000,1706400000,1690588800,-0.796,37393000,0.58,0.43,0.63,3:2,740793600,0.679,5.506,NGM,EQUITY,DXLG,DXLG,"Destination XL Group, Inc.","Destination XL Group, Inc.",549639000,America/New_York,EDT,-14400000,4.5,8.5,7.5,8.0,8.0,2.0,buy,2,62782000,1.04,66451000,149634000,0.739,1.834,539033984,99.689,8.652,0.09503999,0.27927,272598000,41017000,62334000,-0.788,-0.032,0.49145,0.12328,0.09666,USD,
8,555 Turnpike Street,Canton,MA,02021,United States,781 828 9300,https://www.dxl.com,Apparel Retail,Consumer Cyclical,"Destination XL Group, Inc., together with its subsidiaries, operates as a specialty retailer of big and tall men's clothing and shoes in the United States and Canada. Its stores offer sportswear and dresswear; fashion-neutral items, including jeans, casual slacks, T-shirts, polo shirts, dress shirts, and suit separates; and casual clothing. It also provides tailored-related separates, blazers, dress slacks, dress shirts, and suits; and vintage-screen T-shirts and wovens under various private labels. The company offers its products under the trade names of Destination XL, DXL, DXL Men's Apparel, DXL outlets, Casual Male XL, and Casual Male XL outlets. The company was formerly known as Casual Male Retail Group, Inc. and changed its name to Destination XL Group, Inc. in February 2013. Destination XL Group, Inc. was incorporated in 1976 and is headquartered in Canton, Massachusetts.",1480,"{'maxAge': 1, 'name': 'Mr. Francis C. Chane', 'age': 59, 'title': 'Sr. VP of Supply Chain & Customer Fulfillment', 'yearBorn': 1963, 'fiscalYear': 2019, 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,1,1,1,1693526400,1672444800,86400,4,4.62,4.58,4.445,4.62,4.62,4.58,4.445,4.62,0.0,1.422199,7.7586207,10.4651165,506855,506855,514066,488950,488950,4.31,4.52,4000,800,271753664,3.69,7.57,0.50414944,4.744,5.41605,0.0,0.0,USD,365852256,0.06937,39546172,60389700,2996751,2483927,1690761600,1693440000,0.0496,0.093710005,0.83615994,7.48,0.0657,2.472,1.8203884,1674864000,1706400000,1690588800,-0.796,37393000,0.58,0.43,0.63,3:2,740793600,0.679,5.506,NGM,EQUITY,DXLG,DXLG,"Destination XL Group, Inc.","Destination XL Group, Inc.",549639000,America/New_York,EDT,-14400000,4.5,8.5,7.5,8.0,8.0,2.0,buy,2,62782000,1.04,66451000,149634000,0.739,1.834,539033984,99.689,8.652,0.09503999,0.27927,272598000,41017000,62334000,-0.788,-0.032,0.49145,0.12328,0.09666,USD,
9,555 Turnpike Street,Canton,MA,02021,United States,781 828 9300,https://www.dxl.com,Apparel Retail,Consumer Cyclical,"Destination XL Group, Inc., together with its subsidiaries, operates as a specialty retailer of big and tall men's clothing and shoes in the United States and Canada. Its stores offer sportswear and dresswear; fashion-neutral items, including jeans, casual slacks, T-shirts, polo shirts, dress shirts, and suit separates; and casual clothing. It also provides tailored-related separates, blazers, dress slacks, dress shirts, and suits; and vintage-screen T-shirts and wovens under various private labels. The company offers its products under the trade names of Destination XL, DXL, DXL Men's Apparel, DXL outlets, Casual Male XL, and Casual Male XL outlets. The company was formerly known as Casual Male Retail Group, Inc. and changed its name to Destination XL Group, Inc. in February 2013. Destination XL Group, Inc. was incorporated in 1976 and is headquartered in Canton, Massachusetts.",1480,"{'maxAge': 1, 'name': 'Mr. Jonathan  Sainsbury', 'age': 43, 'title': 'Chief Digital & Analytics Officer', 'yearBorn': 1979, 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,1,1,1,1693526400,1672444800,86400,4,4.62,4.58,4.445,4.62,4.62,4.58,4.445,4.62,0.0,1.422199,7.7586207,10.4651165,506855,506855,514066,488950,488950,4.31,4.52,4000,800,271753664,3.69,7.57,0.50414944,4.744,5.41605,0.0,0.0,USD,365852256,0.06937,39546172,60389700,2996751,2483927,1690761600,1693440000,0.0496,0.093710005,0.83615994,7.48,0.0657,2.472,1.8203884,1674864000,1706400000,1690588800,-0.796,37393000,0.58,0.43,0.63,3:2,740793600,0.679,5.506,NGM,EQUITY,DXLG,DXLG,"Destination XL Group, Inc.","Destination XL Group, Inc.",549639000,America/New_York,EDT,-14400000,4.5,8.5,7.5,8.0,8.0,2.0,buy,2,62782000,1.04,66451000,149634000,0.739,1.834,539033984,99.689,8.652,0.09503999,0.27927,272598000,41017000,62334000,-0.788,-0.032,0.49145,0.12328,0.09666,USD,
