,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,totalDebt,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,1421 Charleston Avenue,Mattoon,IL,61938,United States,217 234 7454,https://www.firstmid.com,Banks—Regional,Financial Services,"First Mid Bancshares, Inc., a financial holding company, provides community banking products and services to commercial, retail, and agricultural customers in the United States. It accepts various deposit products, such as demand deposits, savings accounts, money market deposits, and time deposits. The company's loan products include commercial real estate, commercial and industrial, agricultural and agricultural real estate, residential real estate, and consumer loans; and other loans comprising loans to municipalities to support community projects, such as infrastructure improvements or equipment purchases. It also offers wealth management services, which include estate planning, investment, and farm management and brokerage services for individuals; and employee benefit services for business enterprises. In addition, the company provides property and casualty, senior insurance products, and group medical insurance for businesses; and personal lines insurance to individuals. The company was formerly known as First Mid-Illinois Bancshares, Inc. and changed its name to First Mid Bancshares, Inc. in April 2019. First Mid Bancshares, Inc. was founded in 1865 and is headquartered in Mattoon, Illinois.",995,"{'maxAge': 1, 'name': 'Mr. Joseph R. Dively', 'age': 63, 'title': 'Chairman, Pres & CEO', 'yearBorn': 1959, 'fiscalYear': 2022, 'totalPay': 1124277, 'exercisedValue': 0, 'unexercisedValue': 0}",5,5,2,6,5,1693526400,1672444800,86400,2,27.35,27.35,26.97,27.485,27.35,27.35,26.97,27.485,0.92,0.0336,1691712000,0.2541,2.5,0.86065,7.4806633,8.181269,183548,183548,61566,65780,65780,10.86,43.37,3100,800,646399616,21.77,37.22,2.5263603,28.3026,28.4072,0.92,0.033638027,USD,1176923904,0.29049,18960715,23870000,175437,412281,1690761600,1693440000,0.0073,0.14714,0.38262,3.93,0.007900001,32.184,0.84141195,1672444800,1703980800,1688083200,-0.067,74325000,3.62,3.31,0.97,1:1,1183334400,4.6,NGM,EQUITY,FMBH,FMBH,"First Mid Bancshares, Inc.","First Mid Bancshares, Inc.",921594600,America/New_York,EDT,-14400000,27.08,36.0,34.0,34.75,34.75,1.7,buy,6,179880992,8.758,795041024,255862000,12.489,0.01112,0.1155,254153000,83871000,-0.07,-0.048,0.0,0.0,0.3996,USD,
1,1421 Charleston Avenue,Mattoon,IL,61938,United States,217 234 7454,https://www.firstmid.com,Banks—Regional,Financial Services,"First Mid Bancshares, Inc., a financial holding company, provides community banking products and services to commercial, retail, and agricultural customers in the United States. It accepts various deposit products, such as demand deposits, savings accounts, money market deposits, and time deposits. The company's loan products include commercial real estate, commercial and industrial, agricultural and agricultural real estate, residential real estate, and consumer loans; and other loans comprising loans to municipalities to support community projects, such as infrastructure improvements or equipment purchases. It also offers wealth management services, which include estate planning, investment, and farm management and brokerage services for individuals; and employee benefit services for business enterprises. In addition, the company provides property and casualty, senior insurance products, and group medical insurance for businesses; and personal lines insurance to individuals. The company was formerly known as First Mid-Illinois Bancshares, Inc. and changed its name to First Mid Bancshares, Inc. in April 2019. First Mid Bancshares, Inc. was founded in 1865 and is headquartered in Mattoon, Illinois.",995,"{'maxAge': 1, 'name': 'Mr. Matthew K. Smith CPA', 'age': 47, 'title': 'Exec. VP & CFO', 'yearBorn': 1975, 'fiscalYear': 2022, 'totalPay': 482373, 'exercisedValue': 0, 'unexercisedValue': 0}",5,5,2,6,5,1693526400,1672444800,86400,2,27.35,27.35,26.97,27.485,27.35,27.35,26.97,27.485,0.92,0.0336,1691712000,0.2541,2.5,0.86065,7.4806633,8.181269,183548,183548,61566,65780,65780,10.86,43.37,3100,800,646399616,21.77,37.22,2.5263603,28.3026,28.4072,0.92,0.033638027,USD,1176923904,0.29049,18960715,23870000,175437,412281,1690761600,1693440000,0.0073,0.14714,0.38262,3.93,0.007900001,32.184,0.84141195,1672444800,1703980800,1688083200,-0.067,74325000,3.62,3.31,0.97,1:1,1183334400,4.6,NGM,EQUITY,FMBH,FMBH,"First Mid Bancshares, Inc.","First Mid Bancshares, Inc.",921594600,America/New_York,EDT,-14400000,27.08,36.0,34.0,34.75,34.75,1.7,buy,6,179880992,8.758,795041024,255862000,12.489,0.01112,0.1155,254153000,83871000,-0.07,-0.048,0.0,0.0,0.3996,USD,
2,1421 Charleston Avenue,Mattoon,IL,61938,United States,217 234 7454,https://www.firstmid.com,Banks—Regional,Financial Services,"First Mid Bancshares, Inc., a financial holding company, provides community banking products and services to commercial, retail, and agricultural customers in the United States. It accepts various deposit products, such as demand deposits, savings accounts, money market deposits, and time deposits. The company's loan products include commercial real estate, commercial and industrial, agricultural and agricultural real estate, residential real estate, and consumer loans; and other loans comprising loans to municipalities to support community projects, such as infrastructure improvements or equipment purchases. It also offers wealth management services, which include estate planning, investment, and farm management and brokerage services for individuals; and employee benefit services for business enterprises. In addition, the company provides property and casualty, senior insurance products, and group medical insurance for businesses; and personal lines insurance to individuals. The company was formerly known as First Mid-Illinois Bancshares, Inc. and changed its name to First Mid Bancshares, Inc. in April 2019. First Mid Bancshares, Inc. was founded in 1865 and is headquartered in Mattoon, Illinois.",995,"{'maxAge': 1, 'name': 'Mr. Michael L. Taylor', 'age': 53, 'title': 'Sr. EVP & COO', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 581144, 'exercisedValue': 0, 'unexercisedValue': 0}",5,5,2,6,5,1693526400,1672444800,86400,2,27.35,27.35,26.97,27.485,27.35,27.35,26.97,27.485,0.92,0.0336,1691712000,0.2541,2.5,0.86065,7.4806633,8.181269,183548,183548,61566,65780,65780,10.86,43.37,3100,800,646399616,21.77,37.22,2.5263603,28.3026,28.4072,0.92,0.033638027,USD,1176923904,0.29049,18960715,23870000,175437,412281,1690761600,1693440000,0.0073,0.14714,0.38262,3.93,0.007900001,32.184,0.84141195,1672444800,1703980800,1688083200,-0.067,74325000,3.62,3.31,0.97,1:1,1183334400,4.6,NGM,EQUITY,FMBH,FMBH,"First Mid Bancshares, Inc.","First Mid Bancshares, Inc.",921594600,America/New_York,EDT,-14400000,27.08,36.0,34.0,34.75,34.75,1.7,buy,6,179880992,8.758,795041024,255862000,12.489,0.01112,0.1155,254153000,83871000,-0.07,-0.048,0.0,0.0,0.3996,USD,
3,1421 Charleston Avenue,Mattoon,IL,61938,United States,217 234 7454,https://www.firstmid.com,Banks—Regional,Financial Services,"First Mid Bancshares, Inc., a financial holding company, provides community banking products and services to commercial, retail, and agricultural customers in the United States. It accepts various deposit products, such as demand deposits, savings accounts, money market deposits, and time deposits. The company's loan products include commercial real estate, commercial and industrial, agricultural and agricultural real estate, residential real estate, and consumer loans; and other loans comprising loans to municipalities to support community projects, such as infrastructure improvements or equipment purchases. It also offers wealth management services, which include estate planning, investment, and farm management and brokerage services for individuals; and employee benefit services for business enterprises. In addition, the company provides property and casualty, senior insurance products, and group medical insurance for businesses; and personal lines insurance to individuals. The company was formerly known as First Mid-Illinois Bancshares, Inc. and changed its name to First Mid Bancshares, Inc. in April 2019. First Mid Bancshares, Inc. was founded in 1865 and is headquartered in Mattoon, Illinois.",995,"{'maxAge': 1, 'name': 'Mr. Bradley L. Beesley', 'age': 50, 'title': 'Exec. VP & Chief Wealth Management Officer', 'yearBorn': 1972, 'fiscalYear': 2022, 'totalPay': 601633, 'exercisedValue': 0, 'unexercisedValue': 0}",5,5,2,6,5,1693526400,1672444800,86400,2,27.35,27.35,26.97,27.485,27.35,27.35,26.97,27.485,0.92,0.0336,1691712000,0.2541,2.5,0.86065,7.4806633,8.181269,183548,183548,61566,65780,65780,10.86,43.37,3100,800,646399616,21.77,37.22,2.5263603,28.3026,28.4072,0.92,0.033638027,USD,1176923904,0.29049,18960715,23870000,175437,412281,1690761600,1693440000,0.0073,0.14714,0.38262,3.93,0.007900001,32.184,0.84141195,1672444800,1703980800,1688083200,-0.067,74325000,3.62,3.31,0.97,1:1,1183334400,4.6,NGM,EQUITY,FMBH,FMBH,"First Mid Bancshares, Inc.","First Mid Bancshares, Inc.",921594600,America/New_York,EDT,-14400000,27.08,36.0,34.0,34.75,34.75,1.7,buy,6,179880992,8.758,795041024,255862000,12.489,0.01112,0.1155,254153000,83871000,-0.07,-0.048,0.0,0.0,0.3996,USD,
4,1421 Charleston Avenue,Mattoon,IL,61938,United States,217 234 7454,https://www.firstmid.com,Banks—Regional,Financial Services,"First Mid Bancshares, Inc., a financial holding company, provides community banking products and services to commercial, retail, and agricultural customers in the United States. It accepts various deposit products, such as demand deposits, savings accounts, money market deposits, and time deposits. The company's loan products include commercial real estate, commercial and industrial, agricultural and agricultural real estate, residential real estate, and consumer loans; and other loans comprising loans to municipalities to support community projects, such as infrastructure improvements or equipment purchases. It also offers wealth management services, which include estate planning, investment, and farm management and brokerage services for individuals; and employee benefit services for business enterprises. In addition, the company provides property and casualty, senior insurance products, and group medical insurance for businesses; and personal lines insurance to individuals. The company was formerly known as First Mid-Illinois Bancshares, Inc. and changed its name to First Mid Bancshares, Inc. in April 2019. First Mid Bancshares, Inc. was founded in 1865 and is headquartered in Mattoon, Illinois.",995,"{'maxAge': 1, 'name': 'Mr. Eric S. McRae', 'age': 57, 'title': 'Exec. VP & Chief Lending Officer', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 567149, 'exercisedValue': 0, 'unexercisedValue': 0}",5,5,2,6,5,1693526400,1672444800,86400,2,27.35,27.35,26.97,27.485,27.35,27.35,26.97,27.485,0.92,0.0336,1691712000,0.2541,2.5,0.86065,7.4806633,8.181269,183548,183548,61566,65780,65780,10.86,43.37,3100,800,646399616,21.77,37.22,2.5263603,28.3026,28.4072,0.92,0.033638027,USD,1176923904,0.29049,18960715,23870000,175437,412281,1690761600,1693440000,0.0073,0.14714,0.38262,3.93,0.007900001,32.184,0.84141195,1672444800,1703980800,1688083200,-0.067,74325000,3.62,3.31,0.97,1:1,1183334400,4.6,NGM,EQUITY,FMBH,FMBH,"First Mid Bancshares, Inc.","First Mid Bancshares, Inc.",921594600,America/New_York,EDT,-14400000,27.08,36.0,34.0,34.75,34.75,1.7,buy,6,179880992,8.758,795041024,255862000,12.489,0.01112,0.1155,254153000,83871000,-0.07,-0.048,0.0,0.0,0.3996,USD,
5,1421 Charleston Avenue,Mattoon,IL,61938,United States,217 234 7454,https://www.firstmid.com,Banks—Regional,Financial Services,"First Mid Bancshares, Inc., a financial holding company, provides community banking products and services to commercial, retail, and agricultural customers in the United States. It accepts various deposit products, such as demand deposits, savings accounts, money market deposits, and time deposits. The company's loan products include commercial real estate, commercial and industrial, agricultural and agricultural real estate, residential real estate, and consumer loans; and other loans comprising loans to municipalities to support community projects, such as infrastructure improvements or equipment purchases. It also offers wealth management services, which include estate planning, investment, and farm management and brokerage services for individuals; and employee benefit services for business enterprises. In addition, the company provides property and casualty, senior insurance products, and group medical insurance for businesses; and personal lines insurance to individuals. The company was formerly known as First Mid-Illinois Bancshares, Inc. and changed its name to First Mid Bancshares, Inc. in April 2019. First Mid Bancshares, Inc. was founded in 1865 and is headquartered in Mattoon, Illinois.",995,"{'maxAge': 1, 'name': 'Ms. Amanda D. Lewis', 'age': 42, 'title': 'Exec. VP & COO', 'yearBorn': 1980, 'exercisedValue': 0, 'unexercisedValue': 0}",5,5,2,6,5,1693526400,1672444800,86400,2,27.35,27.35,26.97,27.485,27.35,27.35,26.97,27.485,0.92,0.0336,1691712000,0.2541,2.5,0.86065,7.4806633,8.181269,183548,183548,61566,65780,65780,10.86,43.37,3100,800,646399616,21.77,37.22,2.5263603,28.3026,28.4072,0.92,0.033638027,USD,1176923904,0.29049,18960715,23870000,175437,412281,1690761600,1693440000,0.0073,0.14714,0.38262,3.93,0.007900001,32.184,0.84141195,1672444800,1703980800,1688083200,-0.067,74325000,3.62,3.31,0.97,1:1,1183334400,4.6,NGM,EQUITY,FMBH,FMBH,"First Mid Bancshares, Inc.","First Mid Bancshares, Inc.",921594600,America/New_York,EDT,-14400000,27.08,36.0,34.0,34.75,34.75,1.7,buy,6,179880992,8.758,795041024,255862000,12.489,0.01112,0.1155,254153000,83871000,-0.07,-0.048,0.0,0.0,0.3996,USD,
6,1421 Charleston Avenue,Mattoon,IL,61938,United States,217 234 7454,https://www.firstmid.com,Banks—Regional,Financial Services,"First Mid Bancshares, Inc., a financial holding company, provides community banking products and services to commercial, retail, and agricultural customers in the United States. It accepts various deposit products, such as demand deposits, savings accounts, money market deposits, and time deposits. The company's loan products include commercial real estate, commercial and industrial, agricultural and agricultural real estate, residential real estate, and consumer loans; and other loans comprising loans to municipalities to support community projects, such as infrastructure improvements or equipment purchases. It also offers wealth management services, which include estate planning, investment, and farm management and brokerage services for individuals; and employee benefit services for business enterprises. In addition, the company provides property and casualty, senior insurance products, and group medical insurance for businesses; and personal lines insurance to individuals. The company was formerly known as First Mid-Illinois Bancshares, Inc. and changed its name to First Mid Bancshares, Inc. in April 2019. First Mid Bancshares, Inc. was founded in 1865 and is headquartered in Mattoon, Illinois.",995,"{'maxAge': 1, 'name': 'Mr. David R. Hiden', 'age': 59, 'title': 'Sr. VP & Chief Information Officer', 'yearBorn': 1963, 'exercisedValue': 0, 'unexercisedValue': 0}",5,5,2,6,5,1693526400,1672444800,86400,2,27.35,27.35,26.97,27.485,27.35,27.35,26.97,27.485,0.92,0.0336,1691712000,0.2541,2.5,0.86065,7.4806633,8.181269,183548,183548,61566,65780,65780,10.86,43.37,3100,800,646399616,21.77,37.22,2.5263603,28.3026,28.4072,0.92,0.033638027,USD,1176923904,0.29049,18960715,23870000,175437,412281,1690761600,1693440000,0.0073,0.14714,0.38262,3.93,0.007900001,32.184,0.84141195,1672444800,1703980800,1688083200,-0.067,74325000,3.62,3.31,0.97,1:1,1183334400,4.6,NGM,EQUITY,FMBH,FMBH,"First Mid Bancshares, Inc.","First Mid Bancshares, Inc.",921594600,America/New_York,EDT,-14400000,27.08,36.0,34.0,34.75,34.75,1.7,buy,6,179880992,8.758,795041024,255862000,12.489,0.01112,0.1155,254153000,83871000,-0.07,-0.048,0.0,0.0,0.3996,USD,
7,1421 Charleston Avenue,Mattoon,IL,61938,United States,217 234 7454,https://www.firstmid.com,Banks—Regional,Financial Services,"First Mid Bancshares, Inc., a financial holding company, provides community banking products and services to commercial, retail, and agricultural customers in the United States. It accepts various deposit products, such as demand deposits, savings accounts, money market deposits, and time deposits. The company's loan products include commercial real estate, commercial and industrial, agricultural and agricultural real estate, residential real estate, and consumer loans; and other loans comprising loans to municipalities to support community projects, such as infrastructure improvements or equipment purchases. It also offers wealth management services, which include estate planning, investment, and farm management and brokerage services for individuals; and employee benefit services for business enterprises. In addition, the company provides property and casualty, senior insurance products, and group medical insurance for businesses; and personal lines insurance to individuals. The company was formerly known as First Mid-Illinois Bancshares, Inc. and changed its name to First Mid Bancshares, Inc. in April 2019. First Mid Bancshares, Inc. was founded in 1865 and is headquartered in Mattoon, Illinois.",995,"{'maxAge': 1, 'name': 'Mr. Jason M. Crowder', 'age': 51, 'title': 'SVP & Gen. Counsel', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",5,5,2,6,5,1693526400,1672444800,86400,2,27.35,27.35,26.97,27.485,27.35,27.35,26.97,27.485,0.92,0.0336,1691712000,0.2541,2.5,0.86065,7.4806633,8.181269,183548,183548,61566,65780,65780,10.86,43.37,3100,800,646399616,21.77,37.22,2.5263603,28.3026,28.4072,0.92,0.033638027,USD,1176923904,0.29049,18960715,23870000,175437,412281,1690761600,1693440000,0.0073,0.14714,0.38262,3.93,0.007900001,32.184,0.84141195,1672444800,1703980800,1688083200,-0.067,74325000,3.62,3.31,0.97,1:1,1183334400,4.6,NGM,EQUITY,FMBH,FMBH,"First Mid Bancshares, Inc.","First Mid Bancshares, Inc.",921594600,America/New_York,EDT,-14400000,27.08,36.0,34.0,34.75,34.75,1.7,buy,6,179880992,8.758,795041024,255862000,12.489,0.01112,0.1155,254153000,83871000,-0.07,-0.048,0.0,0.0,0.3996,USD,
8,1421 Charleston Avenue,Mattoon,IL,61938,United States,217 234 7454,https://www.firstmid.com,Banks—Regional,Financial Services,"First Mid Bancshares, Inc., a financial holding company, provides community banking products and services to commercial, retail, and agricultural customers in the United States. It accepts various deposit products, such as demand deposits, savings accounts, money market deposits, and time deposits. The company's loan products include commercial real estate, commercial and industrial, agricultural and agricultural real estate, residential real estate, and consumer loans; and other loans comprising loans to municipalities to support community projects, such as infrastructure improvements or equipment purchases. It also offers wealth management services, which include estate planning, investment, and farm management and brokerage services for individuals; and employee benefit services for business enterprises. In addition, the company provides property and casualty, senior insurance products, and group medical insurance for businesses; and personal lines insurance to individuals. The company was formerly known as First Mid-Illinois Bancshares, Inc. and changed its name to First Mid Bancshares, Inc. in April 2019. First Mid Bancshares, Inc. was founded in 1865 and is headquartered in Mattoon, Illinois.",995,"{'maxAge': 1, 'name': 'Ms. Laura J. Hughes', 'title': 'Exec. VP & Chief Marketing and Deposit Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",5,5,2,6,5,1693526400,1672444800,86400,2,27.35,27.35,26.97,27.485,27.35,27.35,26.97,27.485,0.92,0.0336,1691712000,0.2541,2.5,0.86065,7.4806633,8.181269,183548,183548,61566,65780,65780,10.86,43.37,3100,800,646399616,21.77,37.22,2.5263603,28.3026,28.4072,0.92,0.033638027,USD,1176923904,0.29049,18960715,23870000,175437,412281,1690761600,1693440000,0.0073,0.14714,0.38262,3.93,0.007900001,32.184,0.84141195,1672444800,1703980800,1688083200,-0.067,74325000,3.62,3.31,0.97,1:1,1183334400,4.6,NGM,EQUITY,FMBH,FMBH,"First Mid Bancshares, Inc.","First Mid Bancshares, Inc.",921594600,America/New_York,EDT,-14400000,27.08,36.0,34.0,34.75,34.75,1.7,buy,6,179880992,8.758,795041024,255862000,12.489,0.01112,0.1155,254153000,83871000,-0.07,-0.048,0.0,0.0,0.3996,USD,
9,1421 Charleston Avenue,Mattoon,IL,61938,United States,217 234 7454,https://www.firstmid.com,Banks—Regional,Financial Services,"First Mid Bancshares, Inc., a financial holding company, provides community banking products and services to commercial, retail, and agricultural customers in the United States. It accepts various deposit products, such as demand deposits, savings accounts, money market deposits, and time deposits. The company's loan products include commercial real estate, commercial and industrial, agricultural and agricultural real estate, residential real estate, and consumer loans; and other loans comprising loans to municipalities to support community projects, such as infrastructure improvements or equipment purchases. It also offers wealth management services, which include estate planning, investment, and farm management and brokerage services for individuals; and employee benefit services for business enterprises. In addition, the company provides property and casualty, senior insurance products, and group medical insurance for businesses; and personal lines insurance to individuals. The company was formerly known as First Mid-Illinois Bancshares, Inc. and changed its name to First Mid Bancshares, Inc. in April 2019. First Mid Bancshares, Inc. was founded in 1865 and is headquartered in Mattoon, Illinois.",995,"{'maxAge': 1, 'name': 'Ms. Rhonda R. Gatons', 'age': 50, 'title': 'Exec. VP & Chief HR Officer', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",5,5,2,6,5,1693526400,1672444800,86400,2,27.35,27.35,26.97,27.485,27.35,27.35,26.97,27.485,0.92,0.0336,1691712000,0.2541,2.5,0.86065,7.4806633,8.181269,183548,183548,61566,65780,65780,10.86,43.37,3100,800,646399616,21.77,37.22,2.5263603,28.3026,28.4072,0.92,0.033638027,USD,1176923904,0.29049,18960715,23870000,175437,412281,1690761600,1693440000,0.0073,0.14714,0.38262,3.93,0.007900001,32.184,0.84141195,1672444800,1703980800,1688083200,-0.067,74325000,3.62,3.31,0.97,1:1,1183334400,4.6,NGM,EQUITY,FMBH,FMBH,"First Mid Bancshares, Inc.","First Mid Bancshares, Inc.",921594600,America/New_York,EDT,-14400000,27.08,36.0,34.0,34.75,34.75,1.7,buy,6,179880992,8.758,795041024,255862000,12.489,0.01112,0.1155,254153000,83871000,-0.07,-0.048,0.0,0.0,0.3996,USD,
