,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,19100 94 Avenue,South Surrey,BC,V4N 5C3,Canada,604 691 6444,https://www.finning.com,Industrial Distribution,Industrials,"Finning International Inc. sells, services, and rents heavy equipment, engines, and related products in Canada, Chile, Bolivia, the United Kingdom, Argentina, Ireland, and internationally. The company offers articulated trucks, asphalt pavers, backhoe loaders, cold planers, compactors, dozers, draglines, electric rope shovels, excavators, hydraulic mining shovels, material handlers, motor graders, off-highway trucks, pipelayers, road reclaimers, skid steer and compact track loaders, track loaders, underground-hard rock, wheel loaders, and wheel tractor-scrapers. It also provides augers, backhoes, bale grabs, bale spears, blades, brooms, brush cutters, buckets-backhoe rear, buckets-compact wheel loaders, buckets-mining shovels, buckets-skid steer loaders, buckets-telehandlers, couplers-excavators, couplers-loaders, flail mowers, forks, generator set enclosures, grapples, hammers, mulchers, multi-processors, pulverizers, rakes, rippers, shears, snow products, stump grinders, tillers, trenchers, and winches. In addition, it offers power systems for electric power generation, oil and gas, industrial, and marine, as well as aftermarket services. Further, the company provides aftercare, fluid analysis, finning managed, financing, warranty, customer training solutions, as well as rebuilds, rentals, and repair services. It serves agriculture, construction, forestry, mining, pipeline, and power generation industries, as well as private enterprise and government. The company was formerly known as Finning Ltd. and changed its name to Finning International Inc. in April 1997. Finning International Inc. was incorporated in 1933 and is headquartered in Surrey, Canada.","{'maxAge': 1, 'name': 'Mr. Kevin  Parkes', 'title': 'Non-Independent Director, CEO & Pres', 'fiscalYear': 2022, 'totalPay': 1521844, 'exercisedValue': 147269, 'unexercisedValue': 0}",4,4,3,7,3,1693526400,1672444800,86400,2,43.53,43.54,42.2,43.97,43.53,43.54,42.2,43.97,1.0,0.023699999,1692748800,0.2561,3.13,1.680495,11.299465,10.698733,466374,466374,365325,308010,308010,42.24,42.25,6169621504,23.46,46.3,0.6051022,42.9236,37.5827,0.958,0.022007812,CAD,8730602496,0.055609997,145668892,145992000,1070221,1215899,1690761600,1693440000,0.0073,0.0027,0.39801,2.65,16.339,2.5864494,1672444800,1703980800,1688083200,0.175,567000000,3.74,3.95,0.59,2:1,1180310400,0.856,7.767,TOR,EQUITY,FTT.TO,FTT.TO,FINNING INTL,Finning International Inc.,789921000,America/Toronto,EDT,-14400000,42.26,54.0,40.0,48.22,48.0,2.0,buy,9,74000000,0.507,1124000000,2617999872,0.492,1.397,10195999744,108.451,67.389,0.079679996,0.23784,2223000000,205875008,286000000,0.234,0.214,0.24333,0.110240005,0.087390006,CAD,
1,19100 94 Avenue,South Surrey,BC,V4N 5C3,Canada,604 691 6444,https://www.finning.com,Industrial Distribution,Industrials,"Finning International Inc. sells, services, and rents heavy equipment, engines, and related products in Canada, Chile, Bolivia, the United Kingdom, Argentina, Ireland, and internationally. The company offers articulated trucks, asphalt pavers, backhoe loaders, cold planers, compactors, dozers, draglines, electric rope shovels, excavators, hydraulic mining shovels, material handlers, motor graders, off-highway trucks, pipelayers, road reclaimers, skid steer and compact track loaders, track loaders, underground-hard rock, wheel loaders, and wheel tractor-scrapers. It also provides augers, backhoes, bale grabs, bale spears, blades, brooms, brush cutters, buckets-backhoe rear, buckets-compact wheel loaders, buckets-mining shovels, buckets-skid steer loaders, buckets-telehandlers, couplers-excavators, couplers-loaders, flail mowers, forks, generator set enclosures, grapples, hammers, mulchers, multi-processors, pulverizers, rakes, rippers, shears, snow products, stump grinders, tillers, trenchers, and winches. In addition, it offers power systems for electric power generation, oil and gas, industrial, and marine, as well as aftermarket services. Further, the company provides aftercare, fluid analysis, finning managed, financing, warranty, customer training solutions, as well as rebuilds, rentals, and repair services. It serves agriculture, construction, forestry, mining, pipeline, and power generation industries, as well as private enterprise and government. The company was formerly known as Finning Ltd. and changed its name to Finning International Inc. in April 1997. Finning International Inc. was incorporated in 1933 and is headquartered in Surrey, Canada.","{'maxAge': 1, 'name': 'Mr. Greg  Palaschuk', 'title': 'Exec. VP & CFO', 'fiscalYear': 2022, 'totalPay': 1154054, 'exercisedValue': 130717, 'unexercisedValue': 0}",4,4,3,7,3,1693526400,1672444800,86400,2,43.53,43.54,42.2,43.97,43.53,43.54,42.2,43.97,1.0,0.023699999,1692748800,0.2561,3.13,1.680495,11.299465,10.698733,466374,466374,365325,308010,308010,42.24,42.25,6169621504,23.46,46.3,0.6051022,42.9236,37.5827,0.958,0.022007812,CAD,8730602496,0.055609997,145668892,145992000,1070221,1215899,1690761600,1693440000,0.0073,0.0027,0.39801,2.65,16.339,2.5864494,1672444800,1703980800,1688083200,0.175,567000000,3.74,3.95,0.59,2:1,1180310400,0.856,7.767,TOR,EQUITY,FTT.TO,FTT.TO,FINNING INTL,Finning International Inc.,789921000,America/Toronto,EDT,-14400000,42.26,54.0,40.0,48.22,48.0,2.0,buy,9,74000000,0.507,1124000000,2617999872,0.492,1.397,10195999744,108.451,67.389,0.079679996,0.23784,2223000000,205875008,286000000,0.234,0.214,0.24333,0.110240005,0.087390006,CAD,
2,19100 94 Avenue,South Surrey,BC,V4N 5C3,Canada,604 691 6444,https://www.finning.com,Industrial Distribution,Industrials,"Finning International Inc. sells, services, and rents heavy equipment, engines, and related products in Canada, Chile, Bolivia, the United Kingdom, Argentina, Ireland, and internationally. The company offers articulated trucks, asphalt pavers, backhoe loaders, cold planers, compactors, dozers, draglines, electric rope shovels, excavators, hydraulic mining shovels, material handlers, motor graders, off-highway trucks, pipelayers, road reclaimers, skid steer and compact track loaders, track loaders, underground-hard rock, wheel loaders, and wheel tractor-scrapers. It also provides augers, backhoes, bale grabs, bale spears, blades, brooms, brush cutters, buckets-backhoe rear, buckets-compact wheel loaders, buckets-mining shovels, buckets-skid steer loaders, buckets-telehandlers, couplers-excavators, couplers-loaders, flail mowers, forks, generator set enclosures, grapples, hammers, mulchers, multi-processors, pulverizers, rakes, rippers, shears, snow products, stump grinders, tillers, trenchers, and winches. In addition, it offers power systems for electric power generation, oil and gas, industrial, and marine, as well as aftermarket services. Further, the company provides aftercare, fluid analysis, finning managed, financing, warranty, customer training solutions, as well as rebuilds, rentals, and repair services. It serves agriculture, construction, forestry, mining, pipeline, and power generation industries, as well as private enterprise and government. The company was formerly known as Finning Ltd. and changed its name to Finning International Inc. in April 1997. Finning International Inc. was incorporated in 1933 and is headquartered in Surrey, Canada.","{'maxAge': 1, 'name': 'Mr. David F. N. Primrose', 'title': 'Pres of Finning Canada', 'fiscalYear': 2022, 'totalPay': 938712, 'exercisedValue': 187434, 'unexercisedValue': 0}",4,4,3,7,3,1693526400,1672444800,86400,2,43.53,43.54,42.2,43.97,43.53,43.54,42.2,43.97,1.0,0.023699999,1692748800,0.2561,3.13,1.680495,11.299465,10.698733,466374,466374,365325,308010,308010,42.24,42.25,6169621504,23.46,46.3,0.6051022,42.9236,37.5827,0.958,0.022007812,CAD,8730602496,0.055609997,145668892,145992000,1070221,1215899,1690761600,1693440000,0.0073,0.0027,0.39801,2.65,16.339,2.5864494,1672444800,1703980800,1688083200,0.175,567000000,3.74,3.95,0.59,2:1,1180310400,0.856,7.767,TOR,EQUITY,FTT.TO,FTT.TO,FINNING INTL,Finning International Inc.,789921000,America/Toronto,EDT,-14400000,42.26,54.0,40.0,48.22,48.0,2.0,buy,9,74000000,0.507,1124000000,2617999872,0.492,1.397,10195999744,108.451,67.389,0.079679996,0.23784,2223000000,205875008,286000000,0.234,0.214,0.24333,0.110240005,0.087390006,CAD,
3,19100 94 Avenue,South Surrey,BC,V4N 5C3,Canada,604 691 6444,https://www.finning.com,Industrial Distribution,Industrials,"Finning International Inc. sells, services, and rents heavy equipment, engines, and related products in Canada, Chile, Bolivia, the United Kingdom, Argentina, Ireland, and internationally. The company offers articulated trucks, asphalt pavers, backhoe loaders, cold planers, compactors, dozers, draglines, electric rope shovels, excavators, hydraulic mining shovels, material handlers, motor graders, off-highway trucks, pipelayers, road reclaimers, skid steer and compact track loaders, track loaders, underground-hard rock, wheel loaders, and wheel tractor-scrapers. It also provides augers, backhoes, bale grabs, bale spears, blades, brooms, brush cutters, buckets-backhoe rear, buckets-compact wheel loaders, buckets-mining shovels, buckets-skid steer loaders, buckets-telehandlers, couplers-excavators, couplers-loaders, flail mowers, forks, generator set enclosures, grapples, hammers, mulchers, multi-processors, pulverizers, rakes, rippers, shears, snow products, stump grinders, tillers, trenchers, and winches. In addition, it offers power systems for electric power generation, oil and gas, industrial, and marine, as well as aftermarket services. Further, the company provides aftercare, fluid analysis, finning managed, financing, warranty, customer training solutions, as well as rebuilds, rentals, and repair services. It serves agriculture, construction, forestry, mining, pipeline, and power generation industries, as well as private enterprise and government. The company was formerly known as Finning Ltd. and changed its name to Finning International Inc. in April 1997. Finning International Inc. was incorporated in 1933 and is headquartered in Surrey, Canada.","{'maxAge': 1, 'name': 'Mr. Juan Pablo Amar', 'title': 'Pres of Finning South America', 'fiscalYear': 2022, 'totalPay': 967989, 'exercisedValue': 165427, 'unexercisedValue': 0}",4,4,3,7,3,1693526400,1672444800,86400,2,43.53,43.54,42.2,43.97,43.53,43.54,42.2,43.97,1.0,0.023699999,1692748800,0.2561,3.13,1.680495,11.299465,10.698733,466374,466374,365325,308010,308010,42.24,42.25,6169621504,23.46,46.3,0.6051022,42.9236,37.5827,0.958,0.022007812,CAD,8730602496,0.055609997,145668892,145992000,1070221,1215899,1690761600,1693440000,0.0073,0.0027,0.39801,2.65,16.339,2.5864494,1672444800,1703980800,1688083200,0.175,567000000,3.74,3.95,0.59,2:1,1180310400,0.856,7.767,TOR,EQUITY,FTT.TO,FTT.TO,FINNING INTL,Finning International Inc.,789921000,America/Toronto,EDT,-14400000,42.26,54.0,40.0,48.22,48.0,2.0,buy,9,74000000,0.507,1124000000,2617999872,0.492,1.397,10195999744,108.451,67.389,0.079679996,0.23784,2223000000,205875008,286000000,0.234,0.214,0.24333,0.110240005,0.087390006,CAD,
4,19100 94 Avenue,South Surrey,BC,V4N 5C3,Canada,604 691 6444,https://www.finning.com,Industrial Distribution,Industrials,"Finning International Inc. sells, services, and rents heavy equipment, engines, and related products in Canada, Chile, Bolivia, the United Kingdom, Argentina, Ireland, and internationally. The company offers articulated trucks, asphalt pavers, backhoe loaders, cold planers, compactors, dozers, draglines, electric rope shovels, excavators, hydraulic mining shovels, material handlers, motor graders, off-highway trucks, pipelayers, road reclaimers, skid steer and compact track loaders, track loaders, underground-hard rock, wheel loaders, and wheel tractor-scrapers. It also provides augers, backhoes, bale grabs, bale spears, blades, brooms, brush cutters, buckets-backhoe rear, buckets-compact wheel loaders, buckets-mining shovels, buckets-skid steer loaders, buckets-telehandlers, couplers-excavators, couplers-loaders, flail mowers, forks, generator set enclosures, grapples, hammers, mulchers, multi-processors, pulverizers, rakes, rippers, shears, snow products, stump grinders, tillers, trenchers, and winches. In addition, it offers power systems for electric power generation, oil and gas, industrial, and marine, as well as aftermarket services. Further, the company provides aftercare, fluid analysis, finning managed, financing, warranty, customer training solutions, as well as rebuilds, rentals, and repair services. It serves agriculture, construction, forestry, mining, pipeline, and power generation industries, as well as private enterprise and government. The company was formerly known as Finning Ltd. and changed its name to Finning International Inc. in April 1997. Finning International Inc. was incorporated in 1933 and is headquartered in Surrey, Canada.","{'maxAge': 1, 'name': 'Ms. Amanda Fern Hobson C.A., CPA, CDIR', 'title': 'Sr. VP of Investor Relations & Treasury', 'exercisedValue': 0, 'unexercisedValue': 0}",4,4,3,7,3,1693526400,1672444800,86400,2,43.53,43.54,42.2,43.97,43.53,43.54,42.2,43.97,1.0,0.023699999,1692748800,0.2561,3.13,1.680495,11.299465,10.698733,466374,466374,365325,308010,308010,42.24,42.25,6169621504,23.46,46.3,0.6051022,42.9236,37.5827,0.958,0.022007812,CAD,8730602496,0.055609997,145668892,145992000,1070221,1215899,1690761600,1693440000,0.0073,0.0027,0.39801,2.65,16.339,2.5864494,1672444800,1703980800,1688083200,0.175,567000000,3.74,3.95,0.59,2:1,1180310400,0.856,7.767,TOR,EQUITY,FTT.TO,FTT.TO,FINNING INTL,Finning International Inc.,789921000,America/Toronto,EDT,-14400000,42.26,54.0,40.0,48.22,48.0,2.0,buy,9,74000000,0.507,1124000000,2617999872,0.492,1.397,10195999744,108.451,67.389,0.079679996,0.23784,2223000000,205875008,286000000,0.234,0.214,0.24333,0.110240005,0.087390006,CAD,
5,19100 94 Avenue,South Surrey,BC,V4N 5C3,Canada,604 691 6444,https://www.finning.com,Industrial Distribution,Industrials,"Finning International Inc. sells, services, and rents heavy equipment, engines, and related products in Canada, Chile, Bolivia, the United Kingdom, Argentina, Ireland, and internationally. The company offers articulated trucks, asphalt pavers, backhoe loaders, cold planers, compactors, dozers, draglines, electric rope shovels, excavators, hydraulic mining shovels, material handlers, motor graders, off-highway trucks, pipelayers, road reclaimers, skid steer and compact track loaders, track loaders, underground-hard rock, wheel loaders, and wheel tractor-scrapers. It also provides augers, backhoes, bale grabs, bale spears, blades, brooms, brush cutters, buckets-backhoe rear, buckets-compact wheel loaders, buckets-mining shovels, buckets-skid steer loaders, buckets-telehandlers, couplers-excavators, couplers-loaders, flail mowers, forks, generator set enclosures, grapples, hammers, mulchers, multi-processors, pulverizers, rakes, rippers, shears, snow products, stump grinders, tillers, trenchers, and winches. In addition, it offers power systems for electric power generation, oil and gas, industrial, and marine, as well as aftermarket services. Further, the company provides aftercare, fluid analysis, finning managed, financing, warranty, customer training solutions, as well as rebuilds, rentals, and repair services. It serves agriculture, construction, forestry, mining, pipeline, and power generation industries, as well as private enterprise and government. The company was formerly known as Finning Ltd. and changed its name to Finning International Inc. in April 1997. Finning International Inc. was incorporated in 1933 and is headquartered in Surrey, Canada.","{'maxAge': 1, 'name': 'Ms. H. Jane Murdoch', 'title': 'Gen. Counsel & Interim Chief HR Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",4,4,3,7,3,1693526400,1672444800,86400,2,43.53,43.54,42.2,43.97,43.53,43.54,42.2,43.97,1.0,0.023699999,1692748800,0.2561,3.13,1.680495,11.299465,10.698733,466374,466374,365325,308010,308010,42.24,42.25,6169621504,23.46,46.3,0.6051022,42.9236,37.5827,0.958,0.022007812,CAD,8730602496,0.055609997,145668892,145992000,1070221,1215899,1690761600,1693440000,0.0073,0.0027,0.39801,2.65,16.339,2.5864494,1672444800,1703980800,1688083200,0.175,567000000,3.74,3.95,0.59,2:1,1180310400,0.856,7.767,TOR,EQUITY,FTT.TO,FTT.TO,FINNING INTL,Finning International Inc.,789921000,America/Toronto,EDT,-14400000,42.26,54.0,40.0,48.22,48.0,2.0,buy,9,74000000,0.507,1124000000,2617999872,0.492,1.397,10195999744,108.451,67.389,0.079679996,0.23784,2223000000,205875008,286000000,0.234,0.214,0.24333,0.110240005,0.087390006,CAD,
6,19100 94 Avenue,South Surrey,BC,V4N 5C3,Canada,604 691 6444,https://www.finning.com,Industrial Distribution,Industrials,"Finning International Inc. sells, services, and rents heavy equipment, engines, and related products in Canada, Chile, Bolivia, the United Kingdom, Argentina, Ireland, and internationally. The company offers articulated trucks, asphalt pavers, backhoe loaders, cold planers, compactors, dozers, draglines, electric rope shovels, excavators, hydraulic mining shovels, material handlers, motor graders, off-highway trucks, pipelayers, road reclaimers, skid steer and compact track loaders, track loaders, underground-hard rock, wheel loaders, and wheel tractor-scrapers. It also provides augers, backhoes, bale grabs, bale spears, blades, brooms, brush cutters, buckets-backhoe rear, buckets-compact wheel loaders, buckets-mining shovels, buckets-skid steer loaders, buckets-telehandlers, couplers-excavators, couplers-loaders, flail mowers, forks, generator set enclosures, grapples, hammers, mulchers, multi-processors, pulverizers, rakes, rippers, shears, snow products, stump grinders, tillers, trenchers, and winches. In addition, it offers power systems for electric power generation, oil and gas, industrial, and marine, as well as aftermarket services. Further, the company provides aftercare, fluid analysis, finning managed, financing, warranty, customer training solutions, as well as rebuilds, rentals, and repair services. It serves agriculture, construction, forestry, mining, pipeline, and power generation industries, as well as private enterprise and government. The company was formerly known as Finning Ltd. and changed its name to Finning International Inc. in April 1997. Finning International Inc. was incorporated in 1933 and is headquartered in Surrey, Canada.","{'maxAge': 1, 'name': 'Elisha  McCallum', 'title': 'Director of Global Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",4,4,3,7,3,1693526400,1672444800,86400,2,43.53,43.54,42.2,43.97,43.53,43.54,42.2,43.97,1.0,0.023699999,1692748800,0.2561,3.13,1.680495,11.299465,10.698733,466374,466374,365325,308010,308010,42.24,42.25,6169621504,23.46,46.3,0.6051022,42.9236,37.5827,0.958,0.022007812,CAD,8730602496,0.055609997,145668892,145992000,1070221,1215899,1690761600,1693440000,0.0073,0.0027,0.39801,2.65,16.339,2.5864494,1672444800,1703980800,1688083200,0.175,567000000,3.74,3.95,0.59,2:1,1180310400,0.856,7.767,TOR,EQUITY,FTT.TO,FTT.TO,FINNING INTL,Finning International Inc.,789921000,America/Toronto,EDT,-14400000,42.26,54.0,40.0,48.22,48.0,2.0,buy,9,74000000,0.507,1124000000,2617999872,0.492,1.397,10195999744,108.451,67.389,0.079679996,0.23784,2223000000,205875008,286000000,0.234,0.214,0.24333,0.110240005,0.087390006,CAD,
7,19100 94 Avenue,South Surrey,BC,V4N 5C3,Canada,604 691 6444,https://www.finning.com,Industrial Distribution,Industrials,"Finning International Inc. sells, services, and rents heavy equipment, engines, and related products in Canada, Chile, Bolivia, the United Kingdom, Argentina, Ireland, and internationally. The company offers articulated trucks, asphalt pavers, backhoe loaders, cold planers, compactors, dozers, draglines, electric rope shovels, excavators, hydraulic mining shovels, material handlers, motor graders, off-highway trucks, pipelayers, road reclaimers, skid steer and compact track loaders, track loaders, underground-hard rock, wheel loaders, and wheel tractor-scrapers. It also provides augers, backhoes, bale grabs, bale spears, blades, brooms, brush cutters, buckets-backhoe rear, buckets-compact wheel loaders, buckets-mining shovels, buckets-skid steer loaders, buckets-telehandlers, couplers-excavators, couplers-loaders, flail mowers, forks, generator set enclosures, grapples, hammers, mulchers, multi-processors, pulverizers, rakes, rippers, shears, snow products, stump grinders, tillers, trenchers, and winches. In addition, it offers power systems for electric power generation, oil and gas, industrial, and marine, as well as aftermarket services. Further, the company provides aftercare, fluid analysis, finning managed, financing, warranty, customer training solutions, as well as rebuilds, rentals, and repair services. It serves agriculture, construction, forestry, mining, pipeline, and power generation industries, as well as private enterprise and government. The company was formerly known as Finning Ltd. and changed its name to Finning International Inc. in April 1997. Finning International Inc. was incorporated in 1933 and is headquartered in Surrey, Canada.","{'maxAge': 1, 'name': 'Mr. John Joseph Pollesel CPA, CMA, CPA, M.B.A.', 'age': 58, 'title': 'Sr. VP of Mining - Finning Canada', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",4,4,3,7,3,1693526400,1672444800,86400,2,43.53,43.54,42.2,43.97,43.53,43.54,42.2,43.97,1.0,0.023699999,1692748800,0.2561,3.13,1.680495,11.299465,10.698733,466374,466374,365325,308010,308010,42.24,42.25,6169621504,23.46,46.3,0.6051022,42.9236,37.5827,0.958,0.022007812,CAD,8730602496,0.055609997,145668892,145992000,1070221,1215899,1690761600,1693440000,0.0073,0.0027,0.39801,2.65,16.339,2.5864494,1672444800,1703980800,1688083200,0.175,567000000,3.74,3.95,0.59,2:1,1180310400,0.856,7.767,TOR,EQUITY,FTT.TO,FTT.TO,FINNING INTL,Finning International Inc.,789921000,America/Toronto,EDT,-14400000,42.26,54.0,40.0,48.22,48.0,2.0,buy,9,74000000,0.507,1124000000,2617999872,0.492,1.397,10195999744,108.451,67.389,0.079679996,0.23784,2223000000,205875008,286000000,0.234,0.214,0.24333,0.110240005,0.087390006,CAD,
8,19100 94 Avenue,South Surrey,BC,V4N 5C3,Canada,604 691 6444,https://www.finning.com,Industrial Distribution,Industrials,"Finning International Inc. sells, services, and rents heavy equipment, engines, and related products in Canada, Chile, Bolivia, the United Kingdom, Argentina, Ireland, and internationally. The company offers articulated trucks, asphalt pavers, backhoe loaders, cold planers, compactors, dozers, draglines, electric rope shovels, excavators, hydraulic mining shovels, material handlers, motor graders, off-highway trucks, pipelayers, road reclaimers, skid steer and compact track loaders, track loaders, underground-hard rock, wheel loaders, and wheel tractor-scrapers. It also provides augers, backhoes, bale grabs, bale spears, blades, brooms, brush cutters, buckets-backhoe rear, buckets-compact wheel loaders, buckets-mining shovels, buckets-skid steer loaders, buckets-telehandlers, couplers-excavators, couplers-loaders, flail mowers, forks, generator set enclosures, grapples, hammers, mulchers, multi-processors, pulverizers, rakes, rippers, shears, snow products, stump grinders, tillers, trenchers, and winches. In addition, it offers power systems for electric power generation, oil and gas, industrial, and marine, as well as aftermarket services. Further, the company provides aftercare, fluid analysis, finning managed, financing, warranty, customer training solutions, as well as rebuilds, rentals, and repair services. It serves agriculture, construction, forestry, mining, pipeline, and power generation industries, as well as private enterprise and government. The company was formerly known as Finning Ltd. and changed its name to Finning International Inc. in April 1997. Finning International Inc. was incorporated in 1933 and is headquartered in Surrey, Canada.","{'maxAge': 1, 'name': 'Mr. Russell Willard Day', 'title': 'Sr. VP of Strategic Planning & Bus. Devel.', 'exercisedValue': 0, 'unexercisedValue': 0}",4,4,3,7,3,1693526400,1672444800,86400,2,43.53,43.54,42.2,43.97,43.53,43.54,42.2,43.97,1.0,0.023699999,1692748800,0.2561,3.13,1.680495,11.299465,10.698733,466374,466374,365325,308010,308010,42.24,42.25,6169621504,23.46,46.3,0.6051022,42.9236,37.5827,0.958,0.022007812,CAD,8730602496,0.055609997,145668892,145992000,1070221,1215899,1690761600,1693440000,0.0073,0.0027,0.39801,2.65,16.339,2.5864494,1672444800,1703980800,1688083200,0.175,567000000,3.74,3.95,0.59,2:1,1180310400,0.856,7.767,TOR,EQUITY,FTT.TO,FTT.TO,FINNING INTL,Finning International Inc.,789921000,America/Toronto,EDT,-14400000,42.26,54.0,40.0,48.22,48.0,2.0,buy,9,74000000,0.507,1124000000,2617999872,0.492,1.397,10195999744,108.451,67.389,0.079679996,0.23784,2223000000,205875008,286000000,0.234,0.214,0.24333,0.110240005,0.087390006,CAD,
9,19100 94 Avenue,South Surrey,BC,V4N 5C3,Canada,604 691 6444,https://www.finning.com,Industrial Distribution,Industrials,"Finning International Inc. sells, services, and rents heavy equipment, engines, and related products in Canada, Chile, Bolivia, the United Kingdom, Argentina, Ireland, and internationally. The company offers articulated trucks, asphalt pavers, backhoe loaders, cold planers, compactors, dozers, draglines, electric rope shovels, excavators, hydraulic mining shovels, material handlers, motor graders, off-highway trucks, pipelayers, road reclaimers, skid steer and compact track loaders, track loaders, underground-hard rock, wheel loaders, and wheel tractor-scrapers. It also provides augers, backhoes, bale grabs, bale spears, blades, brooms, brush cutters, buckets-backhoe rear, buckets-compact wheel loaders, buckets-mining shovels, buckets-skid steer loaders, buckets-telehandlers, couplers-excavators, couplers-loaders, flail mowers, forks, generator set enclosures, grapples, hammers, mulchers, multi-processors, pulverizers, rakes, rippers, shears, snow products, stump grinders, tillers, trenchers, and winches. In addition, it offers power systems for electric power generation, oil and gas, industrial, and marine, as well as aftermarket services. Further, the company provides aftercare, fluid analysis, finning managed, financing, warranty, customer training solutions, as well as rebuilds, rentals, and repair services. It serves agriculture, construction, forestry, mining, pipeline, and power generation industries, as well as private enterprise and government. The company was formerly known as Finning Ltd. and changed its name to Finning International Inc. in April 1997. Finning International Inc. was incorporated in 1933 and is headquartered in Surrey, Canada.","{'maxAge': 1, 'name': 'Mr. Alexandre de Moraes Zanelatto', 'title': 'Exec. VP of Global Supply Chain', 'exercisedValue': 0, 'unexercisedValue': 0}",4,4,3,7,3,1693526400,1672444800,86400,2,43.53,43.54,42.2,43.97,43.53,43.54,42.2,43.97,1.0,0.023699999,1692748800,0.2561,3.13,1.680495,11.299465,10.698733,466374,466374,365325,308010,308010,42.24,42.25,6169621504,23.46,46.3,0.6051022,42.9236,37.5827,0.958,0.022007812,CAD,8730602496,0.055609997,145668892,145992000,1070221,1215899,1690761600,1693440000,0.0073,0.0027,0.39801,2.65,16.339,2.5864494,1672444800,1703980800,1688083200,0.175,567000000,3.74,3.95,0.59,2:1,1180310400,0.856,7.767,TOR,EQUITY,FTT.TO,FTT.TO,FINNING INTL,Finning International Inc.,789921000,America/Toronto,EDT,-14400000,42.26,54.0,40.0,48.22,48.0,2.0,buy,9,74000000,0.507,1124000000,2617999872,0.492,1.397,10195999744,108.451,67.389,0.079679996,0.23784,2223000000,205875008,286000000,0.234,0.214,0.24333,0.110240005,0.087390006,CAD,
