,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"Av. Dra. Ruth Cardoso, 8501",8th floor,São Paulo,SP,05425-070,Brazil,55 11 3094 6300,https://www2.gerdau.com,Steel,Basic Materials,"Gerdau S.A., together with its subsidiaries, operates as a steel producer company. It operates through Brazil Business, North America Business, South America Business, and Special Steel Business divisions. The company provides semi-finished products, including billets, blooms, and slabs; common long rolled products, such as rebars, wire rods, merchant bars, light shapes, and profiles to the construction and manufacturing industries; drawn products comprising barbed and barbless fence wires, galvanized wires, fences, concrete reinforcing wire mesh, nails, and clamps for manufacturing, construction, and agricultural industries; and special steel products used in auto parts, light and heavy vehicles, and agricultural machinery, as well as in the oil and gas, wind energy, machinery and equipment, mining and rail, and other markets. It also offers flat products, such as hot-rolled steel coils and heavy plates; and resells flat steel products. In addition, the company operates three mines that produce iron ore located in the Brazilian state of Minas Gerais. It sells its products through independent distributors, direct sales from the mills, and its retail network. The company was founded in 1901 and is based in São Paulo, Brazil.",30000,"{'maxAge': 1, 'name': 'Mr. Gustavo Werneck Da Cunha', 'age': 49, 'title': 'Member of Board Of Exec. Officers CEO & Director', 'yearBorn': 1973, 'fiscalYear': 2017, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",5,7,5,5,7,1693526400,1514678400,86400,2,5.27,5.28,5.23,5.29,5.27,5.28,5.23,5.29,0.61,0.1155,1692576000,0.649,5.68,1.270611,4.943396,7.485714,4882551,4882551,6709306,6426670,6426670,5.23,5.25,41800,45900,9166017536,4.085714,6.342857,0.12020857,5.4182,5.2919927,3.178,0.60303605,USD,17144375296,0.12538,1162374248,1749240064,11594573,5628604,1690761600,1693440000,0.0066000004,0.0,0.27762,1.4,28.001,0.18713617,1672444800,1703980800,1688083200,-0.501,9560298496,1.06,0.7,-7.34,2:1,1213920000,0.225,1.083,NYQ,EQUITY,GGB,GGB,Gerdau S.A.,Gerdau S.A.,921076200,America/New_York,EDT,-14400000,5.24,6.96,6.56,6.76,6.76,2.0,buy,2,4184642048,2.392,15826123776,11930976256,1.215,2.94,76250947584,24.271,43.481,0.11005,0.19858,18751054000,4937876992,10153186304,-0.49,-0.205,0.19112,0.20754999,0.17487,BRL,
1,"Av. Dra. Ruth Cardoso, 8501",8th floor,São Paulo,SP,05425-070,Brazil,55 11 3094 6300,https://www2.gerdau.com,Steel,Basic Materials,"Gerdau S.A., together with its subsidiaries, operates as a steel producer company. It operates through Brazil Business, North America Business, South America Business, and Special Steel Business divisions. The company provides semi-finished products, including billets, blooms, and slabs; common long rolled products, such as rebars, wire rods, merchant bars, light shapes, and profiles to the construction and manufacturing industries; drawn products comprising barbed and barbless fence wires, galvanized wires, fences, concrete reinforcing wire mesh, nails, and clamps for manufacturing, construction, and agricultural industries; and special steel products used in auto parts, light and heavy vehicles, and agricultural machinery, as well as in the oil and gas, wind energy, machinery and equipment, mining and rail, and other markets. It also offers flat products, such as hot-rolled steel coils and heavy plates; and resells flat steel products. In addition, the company operates three mines that produce iron ore located in the Brazilian state of Minas Gerais. It sells its products through independent distributors, direct sales from the mills, and its retail network. The company was founded in 1901 and is based in São Paulo, Brazil.",30000,"{'maxAge': 1, 'name': 'Mr. Claudio  Gerdau Johannpeter', 'age': 59, 'title': 'Vice Chairman', 'yearBorn': 1963, 'fiscalYear': 2017, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",5,7,5,5,7,1693526400,1514678400,86400,2,5.27,5.28,5.23,5.29,5.27,5.28,5.23,5.29,0.61,0.1155,1692576000,0.649,5.68,1.270611,4.943396,7.485714,4882551,4882551,6709306,6426670,6426670,5.23,5.25,41800,45900,9166017536,4.085714,6.342857,0.12020857,5.4182,5.2919927,3.178,0.60303605,USD,17144375296,0.12538,1162374248,1749240064,11594573,5628604,1690761600,1693440000,0.0066000004,0.0,0.27762,1.4,28.001,0.18713617,1672444800,1703980800,1688083200,-0.501,9560298496,1.06,0.7,-7.34,2:1,1213920000,0.225,1.083,NYQ,EQUITY,GGB,GGB,Gerdau S.A.,Gerdau S.A.,921076200,America/New_York,EDT,-14400000,5.24,6.96,6.56,6.76,6.76,2.0,buy,2,4184642048,2.392,15826123776,11930976256,1.215,2.94,76250947584,24.271,43.481,0.11005,0.19858,18751054000,4937876992,10153186304,-0.49,-0.205,0.19112,0.20754999,0.17487,BRL,
2,"Av. Dra. Ruth Cardoso, 8501",8th floor,São Paulo,SP,05425-070,Brazil,55 11 3094 6300,https://www2.gerdau.com,Steel,Basic Materials,"Gerdau S.A., together with its subsidiaries, operates as a steel producer company. It operates through Brazil Business, North America Business, South America Business, and Special Steel Business divisions. The company provides semi-finished products, including billets, blooms, and slabs; common long rolled products, such as rebars, wire rods, merchant bars, light shapes, and profiles to the construction and manufacturing industries; drawn products comprising barbed and barbless fence wires, galvanized wires, fences, concrete reinforcing wire mesh, nails, and clamps for manufacturing, construction, and agricultural industries; and special steel products used in auto parts, light and heavy vehicles, and agricultural machinery, as well as in the oil and gas, wind energy, machinery and equipment, mining and rail, and other markets. It also offers flat products, such as hot-rolled steel coils and heavy plates; and resells flat steel products. In addition, the company operates three mines that produce iron ore located in the Brazilian state of Minas Gerais. It sells its products through independent distributors, direct sales from the mills, and its retail network. The company was founded in 1901 and is based in São Paulo, Brazil.",30000,"{'maxAge': 1, 'name': 'Mr. Marcos Eduardo Faraco Wahrhaftig', 'age': 50, 'title': 'Exec. VP of Strategy & Member of Board of Exec. Officers', 'yearBorn': 1972, 'fiscalYear': 2017, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",5,7,5,5,7,1693526400,1514678400,86400,2,5.27,5.28,5.23,5.29,5.27,5.28,5.23,5.29,0.61,0.1155,1692576000,0.649,5.68,1.270611,4.943396,7.485714,4882551,4882551,6709306,6426670,6426670,5.23,5.25,41800,45900,9166017536,4.085714,6.342857,0.12020857,5.4182,5.2919927,3.178,0.60303605,USD,17144375296,0.12538,1162374248,1749240064,11594573,5628604,1690761600,1693440000,0.0066000004,0.0,0.27762,1.4,28.001,0.18713617,1672444800,1703980800,1688083200,-0.501,9560298496,1.06,0.7,-7.34,2:1,1213920000,0.225,1.083,NYQ,EQUITY,GGB,GGB,Gerdau S.A.,Gerdau S.A.,921076200,America/New_York,EDT,-14400000,5.24,6.96,6.56,6.76,6.76,2.0,buy,2,4184642048,2.392,15826123776,11930976256,1.215,2.94,76250947584,24.271,43.481,0.11005,0.19858,18751054000,4937876992,10153186304,-0.49,-0.205,0.19112,0.20754999,0.17487,BRL,
3,"Av. Dra. Ruth Cardoso, 8501",8th floor,São Paulo,SP,05425-070,Brazil,55 11 3094 6300,https://www2.gerdau.com,Steel,Basic Materials,"Gerdau S.A., together with its subsidiaries, operates as a steel producer company. It operates through Brazil Business, North America Business, South America Business, and Special Steel Business divisions. The company provides semi-finished products, including billets, blooms, and slabs; common long rolled products, such as rebars, wire rods, merchant bars, light shapes, and profiles to the construction and manufacturing industries; drawn products comprising barbed and barbless fence wires, galvanized wires, fences, concrete reinforcing wire mesh, nails, and clamps for manufacturing, construction, and agricultural industries; and special steel products used in auto parts, light and heavy vehicles, and agricultural machinery, as well as in the oil and gas, wind energy, machinery and equipment, mining and rail, and other markets. It also offers flat products, such as hot-rolled steel coils and heavy plates; and resells flat steel products. In addition, the company operates three mines that produce iron ore located in the Brazilian state of Minas Gerais. It sells its products through independent distributors, direct sales from the mills, and its retail network. The company was founded in 1901 and is based in São Paulo, Brazil.",30000,"{'maxAge': 1, 'name': 'Mr. Rafael Dorneles Japur', 'age': 40, 'title': 'Member of Board of Exec. Officers, Exec. VP, CFO & Investor Relations Officer', 'yearBorn': 1982, 'exercisedValue': 0, 'unexercisedValue': 0}",5,7,5,5,7,1693526400,1514678400,86400,2,5.27,5.28,5.23,5.29,5.27,5.28,5.23,5.29,0.61,0.1155,1692576000,0.649,5.68,1.270611,4.943396,7.485714,4882551,4882551,6709306,6426670,6426670,5.23,5.25,41800,45900,9166017536,4.085714,6.342857,0.12020857,5.4182,5.2919927,3.178,0.60303605,USD,17144375296,0.12538,1162374248,1749240064,11594573,5628604,1690761600,1693440000,0.0066000004,0.0,0.27762,1.4,28.001,0.18713617,1672444800,1703980800,1688083200,-0.501,9560298496,1.06,0.7,-7.34,2:1,1213920000,0.225,1.083,NYQ,EQUITY,GGB,GGB,Gerdau S.A.,Gerdau S.A.,921076200,America/New_York,EDT,-14400000,5.24,6.96,6.56,6.76,6.76,2.0,buy,2,4184642048,2.392,15826123776,11930976256,1.215,2.94,76250947584,24.271,43.481,0.11005,0.19858,18751054000,4937876992,10153186304,-0.49,-0.205,0.19112,0.20754999,0.17487,BRL,
4,"Av. Dra. Ruth Cardoso, 8501",8th floor,São Paulo,SP,05425-070,Brazil,55 11 3094 6300,https://www2.gerdau.com,Steel,Basic Materials,"Gerdau S.A., together with its subsidiaries, operates as a steel producer company. It operates through Brazil Business, North America Business, South America Business, and Special Steel Business divisions. The company provides semi-finished products, including billets, blooms, and slabs; common long rolled products, such as rebars, wire rods, merchant bars, light shapes, and profiles to the construction and manufacturing industries; drawn products comprising barbed and barbless fence wires, galvanized wires, fences, concrete reinforcing wire mesh, nails, and clamps for manufacturing, construction, and agricultural industries; and special steel products used in auto parts, light and heavy vehicles, and agricultural machinery, as well as in the oil and gas, wind energy, machinery and equipment, mining and rail, and other markets. It also offers flat products, such as hot-rolled steel coils and heavy plates; and resells flat steel products. In addition, the company operates three mines that produce iron ore located in the Brazilian state of Minas Gerais. It sells its products through independent distributors, direct sales from the mills, and its retail network. The company was founded in 1901 and is based in São Paulo, Brazil.",30000,"{'maxAge': 1, 'name': 'Mr. Fabio Eduardo de Pieri Spina', 'age': 50, 'title': 'Legal Director, Gen. Counsel & Corp. Affairs Offi. and Member of Board of Exec. Officers', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",5,7,5,5,7,1693526400,1514678400,86400,2,5.27,5.28,5.23,5.29,5.27,5.28,5.23,5.29,0.61,0.1155,1692576000,0.649,5.68,1.270611,4.943396,7.485714,4882551,4882551,6709306,6426670,6426670,5.23,5.25,41800,45900,9166017536,4.085714,6.342857,0.12020857,5.4182,5.2919927,3.178,0.60303605,USD,17144375296,0.12538,1162374248,1749240064,11594573,5628604,1690761600,1693440000,0.0066000004,0.0,0.27762,1.4,28.001,0.18713617,1672444800,1703980800,1688083200,-0.501,9560298496,1.06,0.7,-7.34,2:1,1213920000,0.225,1.083,NYQ,EQUITY,GGB,GGB,Gerdau S.A.,Gerdau S.A.,921076200,America/New_York,EDT,-14400000,5.24,6.96,6.56,6.76,6.76,2.0,buy,2,4184642048,2.392,15826123776,11930976256,1.215,2.94,76250947584,24.271,43.481,0.11005,0.19858,18751054000,4937876992,10153186304,-0.49,-0.205,0.19112,0.20754999,0.17487,BRL,
5,"Av. Dra. Ruth Cardoso, 8501",8th floor,São Paulo,SP,05425-070,Brazil,55 11 3094 6300,https://www2.gerdau.com,Steel,Basic Materials,"Gerdau S.A., together with its subsidiaries, operates as a steel producer company. It operates through Brazil Business, North America Business, South America Business, and Special Steel Business divisions. The company provides semi-finished products, including billets, blooms, and slabs; common long rolled products, such as rebars, wire rods, merchant bars, light shapes, and profiles to the construction and manufacturing industries; drawn products comprising barbed and barbless fence wires, galvanized wires, fences, concrete reinforcing wire mesh, nails, and clamps for manufacturing, construction, and agricultural industries; and special steel products used in auto parts, light and heavy vehicles, and agricultural machinery, as well as in the oil and gas, wind energy, machinery and equipment, mining and rail, and other markets. It also offers flat products, such as hot-rolled steel coils and heavy plates; and resells flat steel products. In addition, the company operates three mines that produce iron ore located in the Brazilian state of Minas Gerais. It sells its products through independent distributors, direct sales from the mills, and its retail network. The company was founded in 1901 and is based in São Paulo, Brazil.",30000,"{'maxAge': 1, 'name': 'Mr. Mauro  De Paula', 'age': 60, 'title': 'Member of Board of Exec. Officers & Commercial Exec. Officer', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}",5,7,5,5,7,1693526400,1514678400,86400,2,5.27,5.28,5.23,5.29,5.27,5.28,5.23,5.29,0.61,0.1155,1692576000,0.649,5.68,1.270611,4.943396,7.485714,4882551,4882551,6709306,6426670,6426670,5.23,5.25,41800,45900,9166017536,4.085714,6.342857,0.12020857,5.4182,5.2919927,3.178,0.60303605,USD,17144375296,0.12538,1162374248,1749240064,11594573,5628604,1690761600,1693440000,0.0066000004,0.0,0.27762,1.4,28.001,0.18713617,1672444800,1703980800,1688083200,-0.501,9560298496,1.06,0.7,-7.34,2:1,1213920000,0.225,1.083,NYQ,EQUITY,GGB,GGB,Gerdau S.A.,Gerdau S.A.,921076200,America/New_York,EDT,-14400000,5.24,6.96,6.56,6.76,6.76,2.0,buy,2,4184642048,2.392,15826123776,11930976256,1.215,2.94,76250947584,24.271,43.481,0.11005,0.19858,18751054000,4937876992,10153186304,-0.49,-0.205,0.19112,0.20754999,0.17487,BRL,
6,"Av. Dra. Ruth Cardoso, 8501",8th floor,São Paulo,SP,05425-070,Brazil,55 11 3094 6300,https://www2.gerdau.com,Steel,Basic Materials,"Gerdau S.A., together with its subsidiaries, operates as a steel producer company. It operates through Brazil Business, North America Business, South America Business, and Special Steel Business divisions. The company provides semi-finished products, including billets, blooms, and slabs; common long rolled products, such as rebars, wire rods, merchant bars, light shapes, and profiles to the construction and manufacturing industries; drawn products comprising barbed and barbless fence wires, galvanized wires, fences, concrete reinforcing wire mesh, nails, and clamps for manufacturing, construction, and agricultural industries; and special steel products used in auto parts, light and heavy vehicles, and agricultural machinery, as well as in the oil and gas, wind energy, machinery and equipment, mining and rail, and other markets. It also offers flat products, such as hot-rolled steel coils and heavy plates; and resells flat steel products. In addition, the company operates three mines that produce iron ore located in the Brazilian state of Minas Gerais. It sells its products through independent distributors, direct sales from the mills, and its retail network. The company was founded in 1901 and is based in São Paulo, Brazil.",30000,"{'maxAge': 1, 'name': 'Mr. Cesar Obino Da Rosa Peres', 'age': 60, 'title': 'Member of Board of Exec. Officers & Commercial Officer of Gerdau Steel Brasil', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}",5,7,5,5,7,1693526400,1514678400,86400,2,5.27,5.28,5.23,5.29,5.27,5.28,5.23,5.29,0.61,0.1155,1692576000,0.649,5.68,1.270611,4.943396,7.485714,4882551,4882551,6709306,6426670,6426670,5.23,5.25,41800,45900,9166017536,4.085714,6.342857,0.12020857,5.4182,5.2919927,3.178,0.60303605,USD,17144375296,0.12538,1162374248,1749240064,11594573,5628604,1690761600,1693440000,0.0066000004,0.0,0.27762,1.4,28.001,0.18713617,1672444800,1703980800,1688083200,-0.501,9560298496,1.06,0.7,-7.34,2:1,1213920000,0.225,1.083,NYQ,EQUITY,GGB,GGB,Gerdau S.A.,Gerdau S.A.,921076200,America/New_York,EDT,-14400000,5.24,6.96,6.56,6.76,6.76,2.0,buy,2,4184642048,2.392,15826123776,11930976256,1.215,2.94,76250947584,24.271,43.481,0.11005,0.19858,18751054000,4937876992,10153186304,-0.49,-0.205,0.19112,0.20754999,0.17487,BRL,
7,"Av. Dra. Ruth Cardoso, 8501",8th floor,São Paulo,SP,05425-070,Brazil,55 11 3094 6300,https://www2.gerdau.com,Steel,Basic Materials,"Gerdau S.A., together with its subsidiaries, operates as a steel producer company. It operates through Brazil Business, North America Business, South America Business, and Special Steel Business divisions. The company provides semi-finished products, including billets, blooms, and slabs; common long rolled products, such as rebars, wire rods, merchant bars, light shapes, and profiles to the construction and manufacturing industries; drawn products comprising barbed and barbless fence wires, galvanized wires, fences, concrete reinforcing wire mesh, nails, and clamps for manufacturing, construction, and agricultural industries; and special steel products used in auto parts, light and heavy vehicles, and agricultural machinery, as well as in the oil and gas, wind energy, machinery and equipment, mining and rail, and other markets. It also offers flat products, such as hot-rolled steel coils and heavy plates; and resells flat steel products. In addition, the company operates three mines that produce iron ore located in the Brazilian state of Minas Gerais. It sells its products through independent distributors, direct sales from the mills, and its retail network. The company was founded in 1901 and is based in São Paulo, Brazil.",30000,"{'maxAge': 1, 'name': 'Mr. Rubens Fernandes Pereira', 'age': 50, 'title': 'Member of Board of Exec. Officers and VP of operations in Brazil, Argentina & Uruguay', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",5,7,5,5,7,1693526400,1514678400,86400,2,5.27,5.28,5.23,5.29,5.27,5.28,5.23,5.29,0.61,0.1155,1692576000,0.649,5.68,1.270611,4.943396,7.485714,4882551,4882551,6709306,6426670,6426670,5.23,5.25,41800,45900,9166017536,4.085714,6.342857,0.12020857,5.4182,5.2919927,3.178,0.60303605,USD,17144375296,0.12538,1162374248,1749240064,11594573,5628604,1690761600,1693440000,0.0066000004,0.0,0.27762,1.4,28.001,0.18713617,1672444800,1703980800,1688083200,-0.501,9560298496,1.06,0.7,-7.34,2:1,1213920000,0.225,1.083,NYQ,EQUITY,GGB,GGB,Gerdau S.A.,Gerdau S.A.,921076200,America/New_York,EDT,-14400000,5.24,6.96,6.56,6.76,6.76,2.0,buy,2,4184642048,2.392,15826123776,11930976256,1.215,2.94,76250947584,24.271,43.481,0.11005,0.19858,18751054000,4937876992,10153186304,-0.49,-0.205,0.19112,0.20754999,0.17487,BRL,
8,"Av. Dra. Ruth Cardoso, 8501",8th floor,São Paulo,SP,05425-070,Brazil,55 11 3094 6300,https://www2.gerdau.com,Steel,Basic Materials,"Gerdau S.A., together with its subsidiaries, operates as a steel producer company. It operates through Brazil Business, North America Business, South America Business, and Special Steel Business divisions. The company provides semi-finished products, including billets, blooms, and slabs; common long rolled products, such as rebars, wire rods, merchant bars, light shapes, and profiles to the construction and manufacturing industries; drawn products comprising barbed and barbless fence wires, galvanized wires, fences, concrete reinforcing wire mesh, nails, and clamps for manufacturing, construction, and agricultural industries; and special steel products used in auto parts, light and heavy vehicles, and agricultural machinery, as well as in the oil and gas, wind energy, machinery and equipment, mining and rail, and other markets. It also offers flat products, such as hot-rolled steel coils and heavy plates; and resells flat steel products. In addition, the company operates three mines that produce iron ore located in the Brazilian state of Minas Gerais. It sells its products through independent distributors, direct sales from the mills, and its retail network. The company was founded in 1901 and is based in São Paulo, Brazil.",30000,"{'maxAge': 1, 'name': 'Mr. Hermenio Pinto Goncalves', 'age': 61, 'title': 'Member of Board of Exec. Officers & Global Industrial Corp. Director', 'yearBorn': 1961, 'exercisedValue': 0, 'unexercisedValue': 0}",5,7,5,5,7,1693526400,1514678400,86400,2,5.27,5.28,5.23,5.29,5.27,5.28,5.23,5.29,0.61,0.1155,1692576000,0.649,5.68,1.270611,4.943396,7.485714,4882551,4882551,6709306,6426670,6426670,5.23,5.25,41800,45900,9166017536,4.085714,6.342857,0.12020857,5.4182,5.2919927,3.178,0.60303605,USD,17144375296,0.12538,1162374248,1749240064,11594573,5628604,1690761600,1693440000,0.0066000004,0.0,0.27762,1.4,28.001,0.18713617,1672444800,1703980800,1688083200,-0.501,9560298496,1.06,0.7,-7.34,2:1,1213920000,0.225,1.083,NYQ,EQUITY,GGB,GGB,Gerdau S.A.,Gerdau S.A.,921076200,America/New_York,EDT,-14400000,5.24,6.96,6.56,6.76,6.76,2.0,buy,2,4184642048,2.392,15826123776,11930976256,1.215,2.94,76250947584,24.271,43.481,0.11005,0.19858,18751054000,4937876992,10153186304,-0.49,-0.205,0.19112,0.20754999,0.17487,BRL,
9,"Av. Dra. Ruth Cardoso, 8501",8th floor,São Paulo,SP,05425-070,Brazil,55 11 3094 6300,https://www2.gerdau.com,Steel,Basic Materials,"Gerdau S.A., together with its subsidiaries, operates as a steel producer company. It operates through Brazil Business, North America Business, South America Business, and Special Steel Business divisions. The company provides semi-finished products, including billets, blooms, and slabs; common long rolled products, such as rebars, wire rods, merchant bars, light shapes, and profiles to the construction and manufacturing industries; drawn products comprising barbed and barbless fence wires, galvanized wires, fences, concrete reinforcing wire mesh, nails, and clamps for manufacturing, construction, and agricultural industries; and special steel products used in auto parts, light and heavy vehicles, and agricultural machinery, as well as in the oil and gas, wind energy, machinery and equipment, mining and rail, and other markets. It also offers flat products, such as hot-rolled steel coils and heavy plates; and resells flat steel products. In addition, the company operates three mines that produce iron ore located in the Brazilian state of Minas Gerais. It sells its products through independent distributors, direct sales from the mills, and its retail network. The company was founded in 1901 and is based in São Paulo, Brazil.",30000,"{'maxAge': 1, 'name': 'Mr. Wendel Gomes Da Silva', 'age': 48, 'title': 'Member of Board of Exec. Officers and Director of Mining & Raw Materials', 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}",5,7,5,5,7,1693526400,1514678400,86400,2,5.27,5.28,5.23,5.29,5.27,5.28,5.23,5.29,0.61,0.1155,1692576000,0.649,5.68,1.270611,4.943396,7.485714,4882551,4882551,6709306,6426670,6426670,5.23,5.25,41800,45900,9166017536,4.085714,6.342857,0.12020857,5.4182,5.2919927,3.178,0.60303605,USD,17144375296,0.12538,1162374248,1749240064,11594573,5628604,1690761600,1693440000,0.0066000004,0.0,0.27762,1.4,28.001,0.18713617,1672444800,1703980800,1688083200,-0.501,9560298496,1.06,0.7,-7.34,2:1,1213920000,0.225,1.083,NYQ,EQUITY,GGB,GGB,Gerdau S.A.,Gerdau S.A.,921076200,America/New_York,EDT,-14400000,5.24,6.96,6.56,6.76,6.76,2.0,buy,2,4184642048,2.392,15826123776,11930976256,1.215,2.94,76250947584,24.271,43.481,0.11005,0.19858,18751054000,4937876992,10153186304,-0.49,-0.205,0.19112,0.20754999,0.17487,BRL,
