,address1,address2,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Gilat House,21 Yegia Kapayim Street Kiryat Arye,Petah Tikva,4913020,Israel,972 3 925 2000,https://www.gilat.com,Communication Equipment,Technology,"Gilat Satellite Networks Ltd., together with its subsidiaries, provides satellite-based broadband communication solutions in Israel, the United States, Peru, and internationally. It operates in three segments: Satellite Networks, Integrated Solutions, and Network Infrastructure and Services. The company designs and manufactures ground-based satellite communications equipment; and provides solutions and end-to-end services. Its portfolio consists of cloud-based satellite network platform, very small aperture terminals, amplifiers, modems, on-the-move antennas, solid state power amplifiers, block upconverters, transceivers. The company also offers turnkey integrated solutions, including managed satellite network services, network planning and optimization, remote network operation, call center support, hub and field operations, and communication networks construction and installation services. In addition, it provides connectivity services, internet access, and telephony services to enterprise, government, and residential customers; and builds telecommunication infrastructure using fiber-optic and wireless technologies for broadband connectivity. The company sells its products and solutions to satellite operators, governments, system integrators, telecommunication companies and mobile network operators, satellite communication providers, ISPs, and homeland security and defense agencies, as well as directly to end-users. Gilat Satellite Networks Ltd. was incorporated in 1987 and is headquartered in Petah Tikva, Israel.",987,"{'maxAge': 1, 'name': 'Mr. Adi  Sfadia', 'age': 52, 'title': 'Chief Exec. Officer', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 747661, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,6.53,6.49,6.4,6.55,6.53,6.49,6.4,6.55,1610064000,0.0,0.522821,58.409092,18.897058,46895,46895,120211,78850,78850,6.42,6.7,800,800,363794432,4.51,7.16,1.401754,6.5168,5.7946,0.0,0.0,USD,285462496,0.023139998,56621668,56621700,102927,67080,1690761600,1693440000,0.0018000001,0.04967,0.40055,0.77,0.0022,4.504,1.4265097,1672444800,1703980800,1688083200,7.547,6005000,0.11,0.34,2.33,1:20,1050451200,1.1,8.292,NMS,EQUITY,GILT,GILT,Gilat Satellite Networks Ltd.,Gilat Satellite Networks Ltd.,733156200,America/New_York,EDT,-14400000,6.425,8.5,8.5,8.5,8.5,2.0,buy,1,87408000,1.544,34427000,3131000,1.367,1.956,259528000,1.228,4.584,0.03726,0.02398,86908000,18318000,29712000,0.219,0.38906,0.13265,0.08585,USD,
1,Gilat House,21 Yegia Kapayim Street Kiryat Arye,Petah Tikva,4913020,Israel,972 3 925 2000,https://www.gilat.com,Communication Equipment,Technology,"Gilat Satellite Networks Ltd., together with its subsidiaries, provides satellite-based broadband communication solutions in Israel, the United States, Peru, and internationally. It operates in three segments: Satellite Networks, Integrated Solutions, and Network Infrastructure and Services. The company designs and manufactures ground-based satellite communications equipment; and provides solutions and end-to-end services. Its portfolio consists of cloud-based satellite network platform, very small aperture terminals, amplifiers, modems, on-the-move antennas, solid state power amplifiers, block upconverters, transceivers. The company also offers turnkey integrated solutions, including managed satellite network services, network planning and optimization, remote network operation, call center support, hub and field operations, and communication networks construction and installation services. In addition, it provides connectivity services, internet access, and telephony services to enterprise, government, and residential customers; and builds telecommunication infrastructure using fiber-optic and wireless technologies for broadband connectivity. The company sells its products and solutions to satellite operators, governments, system integrators, telecommunication companies and mobile network operators, satellite communication providers, ISPs, and homeland security and defense agencies, as well as directly to end-users. Gilat Satellite Networks Ltd. was incorporated in 1987 and is headquartered in Petah Tikva, Israel.",987,"{'maxAge': 1, 'name': 'Mr. Hagay  Katz', 'age': 62, 'title': 'Chief Product & Marketing Officer', 'yearBorn': 1960, 'fiscalYear': 2022, 'totalPay': 404330, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,6.53,6.49,6.4,6.55,6.53,6.49,6.4,6.55,1610064000,0.0,0.522821,58.409092,18.897058,46895,46895,120211,78850,78850,6.42,6.7,800,800,363794432,4.51,7.16,1.401754,6.5168,5.7946,0.0,0.0,USD,285462496,0.023139998,56621668,56621700,102927,67080,1690761600,1693440000,0.0018000001,0.04967,0.40055,0.77,0.0022,4.504,1.4265097,1672444800,1703980800,1688083200,7.547,6005000,0.11,0.34,2.33,1:20,1050451200,1.1,8.292,NMS,EQUITY,GILT,GILT,Gilat Satellite Networks Ltd.,Gilat Satellite Networks Ltd.,733156200,America/New_York,EDT,-14400000,6.425,8.5,8.5,8.5,8.5,2.0,buy,1,87408000,1.544,34427000,3131000,1.367,1.956,259528000,1.228,4.584,0.03726,0.02398,86908000,18318000,29712000,0.219,0.38906,0.13265,0.08585,USD,
2,Gilat House,21 Yegia Kapayim Street Kiryat Arye,Petah Tikva,4913020,Israel,972 3 925 2000,https://www.gilat.com,Communication Equipment,Technology,"Gilat Satellite Networks Ltd., together with its subsidiaries, provides satellite-based broadband communication solutions in Israel, the United States, Peru, and internationally. It operates in three segments: Satellite Networks, Integrated Solutions, and Network Infrastructure and Services. The company designs and manufactures ground-based satellite communications equipment; and provides solutions and end-to-end services. Its portfolio consists of cloud-based satellite network platform, very small aperture terminals, amplifiers, modems, on-the-move antennas, solid state power amplifiers, block upconverters, transceivers. The company also offers turnkey integrated solutions, including managed satellite network services, network planning and optimization, remote network operation, call center support, hub and field operations, and communication networks construction and installation services. In addition, it provides connectivity services, internet access, and telephony services to enterprise, government, and residential customers; and builds telecommunication infrastructure using fiber-optic and wireless technologies for broadband connectivity. The company sells its products and solutions to satellite operators, governments, system integrators, telecommunication companies and mobile network operators, satellite communication providers, ISPs, and homeland security and defense agencies, as well as directly to end-users. Gilat Satellite Networks Ltd. was incorporated in 1987 and is headquartered in Petah Tikva, Israel.",987,"{'maxAge': 1, 'name': 'Mr. Ron  Levin', 'age': 47, 'title': 'Chief Commercial Officer', 'yearBorn': 1975, 'fiscalYear': 2022, 'totalPay': 411119, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,6.53,6.49,6.4,6.55,6.53,6.49,6.4,6.55,1610064000,0.0,0.522821,58.409092,18.897058,46895,46895,120211,78850,78850,6.42,6.7,800,800,363794432,4.51,7.16,1.401754,6.5168,5.7946,0.0,0.0,USD,285462496,0.023139998,56621668,56621700,102927,67080,1690761600,1693440000,0.0018000001,0.04967,0.40055,0.77,0.0022,4.504,1.4265097,1672444800,1703980800,1688083200,7.547,6005000,0.11,0.34,2.33,1:20,1050451200,1.1,8.292,NMS,EQUITY,GILT,GILT,Gilat Satellite Networks Ltd.,Gilat Satellite Networks Ltd.,733156200,America/New_York,EDT,-14400000,6.425,8.5,8.5,8.5,8.5,2.0,buy,1,87408000,1.544,34427000,3131000,1.367,1.956,259528000,1.228,4.584,0.03726,0.02398,86908000,18318000,29712000,0.219,0.38906,0.13265,0.08585,USD,
3,Gilat House,21 Yegia Kapayim Street Kiryat Arye,Petah Tikva,4913020,Israel,972 3 925 2000,https://www.gilat.com,Communication Equipment,Technology,"Gilat Satellite Networks Ltd., together with its subsidiaries, provides satellite-based broadband communication solutions in Israel, the United States, Peru, and internationally. It operates in three segments: Satellite Networks, Integrated Solutions, and Network Infrastructure and Services. The company designs and manufactures ground-based satellite communications equipment; and provides solutions and end-to-end services. Its portfolio consists of cloud-based satellite network platform, very small aperture terminals, amplifiers, modems, on-the-move antennas, solid state power amplifiers, block upconverters, transceivers. The company also offers turnkey integrated solutions, including managed satellite network services, network planning and optimization, remote network operation, call center support, hub and field operations, and communication networks construction and installation services. In addition, it provides connectivity services, internet access, and telephony services to enterprise, government, and residential customers; and builds telecommunication infrastructure using fiber-optic and wireless technologies for broadband connectivity. The company sells its products and solutions to satellite operators, governments, system integrators, telecommunication companies and mobile network operators, satellite communication providers, ISPs, and homeland security and defense agencies, as well as directly to end-users. Gilat Satellite Networks Ltd. was incorporated in 1987 and is headquartered in Petah Tikva, Israel.",987,"{'maxAge': 1, 'name': 'Mr. Gil  Benyamini', 'age': 48, 'title': 'Chief Financial Officer', 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,6.53,6.49,6.4,6.55,6.53,6.49,6.4,6.55,1610064000,0.0,0.522821,58.409092,18.897058,46895,46895,120211,78850,78850,6.42,6.7,800,800,363794432,4.51,7.16,1.401754,6.5168,5.7946,0.0,0.0,USD,285462496,0.023139998,56621668,56621700,102927,67080,1690761600,1693440000,0.0018000001,0.04967,0.40055,0.77,0.0022,4.504,1.4265097,1672444800,1703980800,1688083200,7.547,6005000,0.11,0.34,2.33,1:20,1050451200,1.1,8.292,NMS,EQUITY,GILT,GILT,Gilat Satellite Networks Ltd.,Gilat Satellite Networks Ltd.,733156200,America/New_York,EDT,-14400000,6.425,8.5,8.5,8.5,8.5,2.0,buy,1,87408000,1.544,34427000,3131000,1.367,1.956,259528000,1.228,4.584,0.03726,0.02398,86908000,18318000,29712000,0.219,0.38906,0.13265,0.08585,USD,
4,Gilat House,21 Yegia Kapayim Street Kiryat Arye,Petah Tikva,4913020,Israel,972 3 925 2000,https://www.gilat.com,Communication Equipment,Technology,"Gilat Satellite Networks Ltd., together with its subsidiaries, provides satellite-based broadband communication solutions in Israel, the United States, Peru, and internationally. It operates in three segments: Satellite Networks, Integrated Solutions, and Network Infrastructure and Services. The company designs and manufactures ground-based satellite communications equipment; and provides solutions and end-to-end services. Its portfolio consists of cloud-based satellite network platform, very small aperture terminals, amplifiers, modems, on-the-move antennas, solid state power amplifiers, block upconverters, transceivers. The company also offers turnkey integrated solutions, including managed satellite network services, network planning and optimization, remote network operation, call center support, hub and field operations, and communication networks construction and installation services. In addition, it provides connectivity services, internet access, and telephony services to enterprise, government, and residential customers; and builds telecommunication infrastructure using fiber-optic and wireless technologies for broadband connectivity. The company sells its products and solutions to satellite operators, governments, system integrators, telecommunication companies and mobile network operators, satellite communication providers, ISPs, and homeland security and defense agencies, as well as directly to end-users. Gilat Satellite Networks Ltd. was incorporated in 1987 and is headquartered in Petah Tikva, Israel.",987,"{'maxAge': 1, 'name': 'Mr. Gilad  Landsberg', 'title': 'Chief Operations Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,6.53,6.49,6.4,6.55,6.53,6.49,6.4,6.55,1610064000,0.0,0.522821,58.409092,18.897058,46895,46895,120211,78850,78850,6.42,6.7,800,800,363794432,4.51,7.16,1.401754,6.5168,5.7946,0.0,0.0,USD,285462496,0.023139998,56621668,56621700,102927,67080,1690761600,1693440000,0.0018000001,0.04967,0.40055,0.77,0.0022,4.504,1.4265097,1672444800,1703980800,1688083200,7.547,6005000,0.11,0.34,2.33,1:20,1050451200,1.1,8.292,NMS,EQUITY,GILT,GILT,Gilat Satellite Networks Ltd.,Gilat Satellite Networks Ltd.,733156200,America/New_York,EDT,-14400000,6.425,8.5,8.5,8.5,8.5,2.0,buy,1,87408000,1.544,34427000,3131000,1.367,1.956,259528000,1.228,4.584,0.03726,0.02398,86908000,18318000,29712000,0.219,0.38906,0.13265,0.08585,USD,
5,Gilat House,21 Yegia Kapayim Street Kiryat Arye,Petah Tikva,4913020,Israel,972 3 925 2000,https://www.gilat.com,Communication Equipment,Technology,"Gilat Satellite Networks Ltd., together with its subsidiaries, provides satellite-based broadband communication solutions in Israel, the United States, Peru, and internationally. It operates in three segments: Satellite Networks, Integrated Solutions, and Network Infrastructure and Services. The company designs and manufactures ground-based satellite communications equipment; and provides solutions and end-to-end services. Its portfolio consists of cloud-based satellite network platform, very small aperture terminals, amplifiers, modems, on-the-move antennas, solid state power amplifiers, block upconverters, transceivers. The company also offers turnkey integrated solutions, including managed satellite network services, network planning and optimization, remote network operation, call center support, hub and field operations, and communication networks construction and installation services. In addition, it provides connectivity services, internet access, and telephony services to enterprise, government, and residential customers; and builds telecommunication infrastructure using fiber-optic and wireless technologies for broadband connectivity. The company sells its products and solutions to satellite operators, governments, system integrators, telecommunication companies and mobile network operators, satellite communication providers, ISPs, and homeland security and defense agencies, as well as directly to end-users. Gilat Satellite Networks Ltd. was incorporated in 1987 and is headquartered in Petah Tikva, Israel.",987,"{'maxAge': 1, 'name': 'Mayrav  Sher', 'title': 'Head of Fin. & Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,6.53,6.49,6.4,6.55,6.53,6.49,6.4,6.55,1610064000,0.0,0.522821,58.409092,18.897058,46895,46895,120211,78850,78850,6.42,6.7,800,800,363794432,4.51,7.16,1.401754,6.5168,5.7946,0.0,0.0,USD,285462496,0.023139998,56621668,56621700,102927,67080,1690761600,1693440000,0.0018000001,0.04967,0.40055,0.77,0.0022,4.504,1.4265097,1672444800,1703980800,1688083200,7.547,6005000,0.11,0.34,2.33,1:20,1050451200,1.1,8.292,NMS,EQUITY,GILT,GILT,Gilat Satellite Networks Ltd.,Gilat Satellite Networks Ltd.,733156200,America/New_York,EDT,-14400000,6.425,8.5,8.5,8.5,8.5,2.0,buy,1,87408000,1.544,34427000,3131000,1.367,1.956,259528000,1.228,4.584,0.03726,0.02398,86908000,18318000,29712000,0.219,0.38906,0.13265,0.08585,USD,
6,Gilat House,21 Yegia Kapayim Street Kiryat Arye,Petah Tikva,4913020,Israel,972 3 925 2000,https://www.gilat.com,Communication Equipment,Technology,"Gilat Satellite Networks Ltd., together with its subsidiaries, provides satellite-based broadband communication solutions in Israel, the United States, Peru, and internationally. It operates in three segments: Satellite Networks, Integrated Solutions, and Network Infrastructure and Services. The company designs and manufactures ground-based satellite communications equipment; and provides solutions and end-to-end services. Its portfolio consists of cloud-based satellite network platform, very small aperture terminals, amplifiers, modems, on-the-move antennas, solid state power amplifiers, block upconverters, transceivers. The company also offers turnkey integrated solutions, including managed satellite network services, network planning and optimization, remote network operation, call center support, hub and field operations, and communication networks construction and installation services. In addition, it provides connectivity services, internet access, and telephony services to enterprise, government, and residential customers; and builds telecommunication infrastructure using fiber-optic and wireless technologies for broadband connectivity. The company sells its products and solutions to satellite operators, governments, system integrators, telecommunication companies and mobile network operators, satellite communication providers, ISPs, and homeland security and defense agencies, as well as directly to end-users. Gilat Satellite Networks Ltd. was incorporated in 1987 and is headquartered in Petah Tikva, Israel.",987,"{'maxAge': 1, 'name': 'Mr. Doron  Kerbel', 'age': 50, 'title': 'Gen. Counsel & Company Sec.', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,6.53,6.49,6.4,6.55,6.53,6.49,6.4,6.55,1610064000,0.0,0.522821,58.409092,18.897058,46895,46895,120211,78850,78850,6.42,6.7,800,800,363794432,4.51,7.16,1.401754,6.5168,5.7946,0.0,0.0,USD,285462496,0.023139998,56621668,56621700,102927,67080,1690761600,1693440000,0.0018000001,0.04967,0.40055,0.77,0.0022,4.504,1.4265097,1672444800,1703980800,1688083200,7.547,6005000,0.11,0.34,2.33,1:20,1050451200,1.1,8.292,NMS,EQUITY,GILT,GILT,Gilat Satellite Networks Ltd.,Gilat Satellite Networks Ltd.,733156200,America/New_York,EDT,-14400000,6.425,8.5,8.5,8.5,8.5,2.0,buy,1,87408000,1.544,34427000,3131000,1.367,1.956,259528000,1.228,4.584,0.03726,0.02398,86908000,18318000,29712000,0.219,0.38906,0.13265,0.08585,USD,
7,Gilat House,21 Yegia Kapayim Street Kiryat Arye,Petah Tikva,4913020,Israel,972 3 925 2000,https://www.gilat.com,Communication Equipment,Technology,"Gilat Satellite Networks Ltd., together with its subsidiaries, provides satellite-based broadband communication solutions in Israel, the United States, Peru, and internationally. It operates in three segments: Satellite Networks, Integrated Solutions, and Network Infrastructure and Services. The company designs and manufactures ground-based satellite communications equipment; and provides solutions and end-to-end services. Its portfolio consists of cloud-based satellite network platform, very small aperture terminals, amplifiers, modems, on-the-move antennas, solid state power amplifiers, block upconverters, transceivers. The company also offers turnkey integrated solutions, including managed satellite network services, network planning and optimization, remote network operation, call center support, hub and field operations, and communication networks construction and installation services. In addition, it provides connectivity services, internet access, and telephony services to enterprise, government, and residential customers; and builds telecommunication infrastructure using fiber-optic and wireless technologies for broadband connectivity. The company sells its products and solutions to satellite operators, governments, system integrators, telecommunication companies and mobile network operators, satellite communication providers, ISPs, and homeland security and defense agencies, as well as directly to end-users. Gilat Satellite Networks Ltd. was incorporated in 1987 and is headquartered in Petah Tikva, Israel.",987,"{'maxAge': 1, 'name': 'Doreet  Oren', 'title': 'Sr. Director of Corp. Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,6.53,6.49,6.4,6.55,6.53,6.49,6.4,6.55,1610064000,0.0,0.522821,58.409092,18.897058,46895,46895,120211,78850,78850,6.42,6.7,800,800,363794432,4.51,7.16,1.401754,6.5168,5.7946,0.0,0.0,USD,285462496,0.023139998,56621668,56621700,102927,67080,1690761600,1693440000,0.0018000001,0.04967,0.40055,0.77,0.0022,4.504,1.4265097,1672444800,1703980800,1688083200,7.547,6005000,0.11,0.34,2.33,1:20,1050451200,1.1,8.292,NMS,EQUITY,GILT,GILT,Gilat Satellite Networks Ltd.,Gilat Satellite Networks Ltd.,733156200,America/New_York,EDT,-14400000,6.425,8.5,8.5,8.5,8.5,2.0,buy,1,87408000,1.544,34427000,3131000,1.367,1.956,259528000,1.228,4.584,0.03726,0.02398,86908000,18318000,29712000,0.219,0.38906,0.13265,0.08585,USD,
8,Gilat House,21 Yegia Kapayim Street Kiryat Arye,Petah Tikva,4913020,Israel,972 3 925 2000,https://www.gilat.com,Communication Equipment,Technology,"Gilat Satellite Networks Ltd., together with its subsidiaries, provides satellite-based broadband communication solutions in Israel, the United States, Peru, and internationally. It operates in three segments: Satellite Networks, Integrated Solutions, and Network Infrastructure and Services. The company designs and manufactures ground-based satellite communications equipment; and provides solutions and end-to-end services. Its portfolio consists of cloud-based satellite network platform, very small aperture terminals, amplifiers, modems, on-the-move antennas, solid state power amplifiers, block upconverters, transceivers. The company also offers turnkey integrated solutions, including managed satellite network services, network planning and optimization, remote network operation, call center support, hub and field operations, and communication networks construction and installation services. In addition, it provides connectivity services, internet access, and telephony services to enterprise, government, and residential customers; and builds telecommunication infrastructure using fiber-optic and wireless technologies for broadband connectivity. The company sells its products and solutions to satellite operators, governments, system integrators, telecommunication companies and mobile network operators, satellite communication providers, ISPs, and homeland security and defense agencies, as well as directly to end-users. Gilat Satellite Networks Ltd. was incorporated in 1987 and is headquartered in Petah Tikva, Israel.",987,"{'maxAge': 1, 'name': 'Mr. Yossi  Gal', 'age': 61, 'title': 'VP of Sales Operations & Information Technologies', 'yearBorn': 1961, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,6.53,6.49,6.4,6.55,6.53,6.49,6.4,6.55,1610064000,0.0,0.522821,58.409092,18.897058,46895,46895,120211,78850,78850,6.42,6.7,800,800,363794432,4.51,7.16,1.401754,6.5168,5.7946,0.0,0.0,USD,285462496,0.023139998,56621668,56621700,102927,67080,1690761600,1693440000,0.0018000001,0.04967,0.40055,0.77,0.0022,4.504,1.4265097,1672444800,1703980800,1688083200,7.547,6005000,0.11,0.34,2.33,1:20,1050451200,1.1,8.292,NMS,EQUITY,GILT,GILT,Gilat Satellite Networks Ltd.,Gilat Satellite Networks Ltd.,733156200,America/New_York,EDT,-14400000,6.425,8.5,8.5,8.5,8.5,2.0,buy,1,87408000,1.544,34427000,3131000,1.367,1.956,259528000,1.228,4.584,0.03726,0.02398,86908000,18318000,29712000,0.219,0.38906,0.13265,0.08585,USD,
9,Gilat House,21 Yegia Kapayim Street Kiryat Arye,Petah Tikva,4913020,Israel,972 3 925 2000,https://www.gilat.com,Communication Equipment,Technology,"Gilat Satellite Networks Ltd., together with its subsidiaries, provides satellite-based broadband communication solutions in Israel, the United States, Peru, and internationally. It operates in three segments: Satellite Networks, Integrated Solutions, and Network Infrastructure and Services. The company designs and manufactures ground-based satellite communications equipment; and provides solutions and end-to-end services. Its portfolio consists of cloud-based satellite network platform, very small aperture terminals, amplifiers, modems, on-the-move antennas, solid state power amplifiers, block upconverters, transceivers. The company also offers turnkey integrated solutions, including managed satellite network services, network planning and optimization, remote network operation, call center support, hub and field operations, and communication networks construction and installation services. In addition, it provides connectivity services, internet access, and telephony services to enterprise, government, and residential customers; and builds telecommunication infrastructure using fiber-optic and wireless technologies for broadband connectivity. The company sells its products and solutions to satellite operators, governments, system integrators, telecommunication companies and mobile network operators, satellite communication providers, ISPs, and homeland security and defense agencies, as well as directly to end-users. Gilat Satellite Networks Ltd. was incorporated in 1987 and is headquartered in Petah Tikva, Israel.",987,"{'maxAge': 1, 'name': 'Ms. Lior  Moyal', 'age': 44, 'title': 'Chief People Officer', 'yearBorn': 1978, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,6.53,6.49,6.4,6.55,6.53,6.49,6.4,6.55,1610064000,0.0,0.522821,58.409092,18.897058,46895,46895,120211,78850,78850,6.42,6.7,800,800,363794432,4.51,7.16,1.401754,6.5168,5.7946,0.0,0.0,USD,285462496,0.023139998,56621668,56621700,102927,67080,1690761600,1693440000,0.0018000001,0.04967,0.40055,0.77,0.0022,4.504,1.4265097,1672444800,1703980800,1688083200,7.547,6005000,0.11,0.34,2.33,1:20,1050451200,1.1,8.292,NMS,EQUITY,GILT,GILT,Gilat Satellite Networks Ltd.,Gilat Satellite Networks Ltd.,733156200,America/New_York,EDT,-14400000,6.425,8.5,8.5,8.5,8.5,2.0,buy,1,87408000,1.544,34427000,3131000,1.367,1.956,259528000,1.228,4.584,0.03726,0.02398,86908000,18318000,29712000,0.219,0.38906,0.13265,0.08585,USD,
