,address1,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Grafenauweg 10,Zug,6300,Switzerland,41 58 858 58 58,https://www.holcim.com,Building Materials,Basic Materials,"Holcim Ltd, together with its subsidiaries, operates as a building materials and solutions company worldwide. It offers cement, clinker, and other cementitious materials; aggregates, such as crushed stone, gravel, and sand; and ready-mix concrete, precast, concrete products, asphalts, mortars, roofing systems, and contracting and services. The company also engages in the retail activities, as well as waste management services. Its products are used in infrastructure projects, such as tunnels, railways and train stations, airports and ports, and bridges; housing projects, including individual and collective housing; commercial projects comprising offices, retails, and public buildings; and industrial projects consisting of renewable energy, oil and gas, and mining. The company was formerly known as LafargeHolcim Ltd and changed its name to Holcim Ltd in May 2021. Holcim Ltd was founded in 1833 and is headquartered in Zug, Switzerland.",60422,"{'maxAge': 1, 'name': 'Mr. Jan Philipp Jenisch', 'age': 56, 'title': 'CEO & Chairman', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 6716424, 'exercisedValue': 0, 'unexercisedValue': 0}",8,4,1,1,2,1693526400,1672444800,86400,2,13.0,13.08,13.01,13.08,13.0,13.08,13.01,13.08,0.56,0.0427,1683590400,0.4388,4.27,1.074699,10.096899,4.1746798,73677,73677,50664,95760,95760,0.0,0.0,0,0,37199790080,7.81,14.33,1.3490405,13.3898,12.432,2.5,0.1923077,USD,49292832768,0.123730004,2531292307,2856029952,0.0,0.00022,9.2328,1.4107313,1672444800,1703980800,1688083200,0.09,3395000064,1.29,3.12,105:100,1441843200,1.788,9.738,PNK,EQUITY,HCMLY,HCMLY,HOLCIM LTD SPON ADS EACH REPR 0,Holcim Ltd,1262701800,America/New_York,EDT,-14400000,13.025,17.4,17.4,17.4,17.4,1.0,strong_buy,1,3654000128,1.276,5062000128,14853000192,0.952,1.478,27574999040,54.391,9.4344,0.03645,0.12369,12194000000,2281874944,4341000192,0.153,-0.11,0.42118,0.18357,0.12323,CHF,1.2199
1,Grafenauweg 10,Zug,6300,Switzerland,41 58 858 58 58,https://www.holcim.com,Building Materials,Basic Materials,"Holcim Ltd, together with its subsidiaries, operates as a building materials and solutions company worldwide. It offers cement, clinker, and other cementitious materials; aggregates, such as crushed stone, gravel, and sand; and ready-mix concrete, precast, concrete products, asphalts, mortars, roofing systems, and contracting and services. The company also engages in the retail activities, as well as waste management services. Its products are used in infrastructure projects, such as tunnels, railways and train stations, airports and ports, and bridges; housing projects, including individual and collective housing; commercial projects comprising offices, retails, and public buildings; and industrial projects consisting of renewable energy, oil and gas, and mining. The company was formerly known as LafargeHolcim Ltd and changed its name to Holcim Ltd in May 2021. Holcim Ltd was founded in 1833 and is headquartered in Zug, Switzerland.",60422,"{'maxAge': 1, 'name': 'Mr. Steffen  Kindler', 'age': 51, 'title': 'Chief Financial Officer', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",8,4,1,1,2,1693526400,1672444800,86400,2,13.0,13.08,13.01,13.08,13.0,13.08,13.01,13.08,0.56,0.0427,1683590400,0.4388,4.27,1.074699,10.096899,4.1746798,73677,73677,50664,95760,95760,0.0,0.0,0,0,37199790080,7.81,14.33,1.3490405,13.3898,12.432,2.5,0.1923077,USD,49292832768,0.123730004,2531292307,2856029952,0.0,0.00022,9.2328,1.4107313,1672444800,1703980800,1688083200,0.09,3395000064,1.29,3.12,105:100,1441843200,1.788,9.738,PNK,EQUITY,HCMLY,HCMLY,HOLCIM LTD SPON ADS EACH REPR 0,Holcim Ltd,1262701800,America/New_York,EDT,-14400000,13.025,17.4,17.4,17.4,17.4,1.0,strong_buy,1,3654000128,1.276,5062000128,14853000192,0.952,1.478,27574999040,54.391,9.4344,0.03645,0.12369,12194000000,2281874944,4341000192,0.153,-0.11,0.42118,0.18357,0.12323,CHF,1.2199
2,Grafenauweg 10,Zug,6300,Switzerland,41 58 858 58 58,https://www.holcim.com,Building Materials,Basic Materials,"Holcim Ltd, together with its subsidiaries, operates as a building materials and solutions company worldwide. It offers cement, clinker, and other cementitious materials; aggregates, such as crushed stone, gravel, and sand; and ready-mix concrete, precast, concrete products, asphalts, mortars, roofing systems, and contracting and services. The company also engages in the retail activities, as well as waste management services. Its products are used in infrastructure projects, such as tunnels, railways and train stations, airports and ports, and bridges; housing projects, including individual and collective housing; commercial projects comprising offices, retails, and public buildings; and industrial projects consisting of renewable energy, oil and gas, and mining. The company was formerly known as LafargeHolcim Ltd and changed its name to Holcim Ltd in May 2021. Holcim Ltd was founded in 1833 and is headquartered in Zug, Switzerland.",60422,"{'maxAge': 1, 'name': 'Mr. Markus L. Unternahrer', 'title': 'Head of Group Treasury & Head of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",8,4,1,1,2,1693526400,1672444800,86400,2,13.0,13.08,13.01,13.08,13.0,13.08,13.01,13.08,0.56,0.0427,1683590400,0.4388,4.27,1.074699,10.096899,4.1746798,73677,73677,50664,95760,95760,0.0,0.0,0,0,37199790080,7.81,14.33,1.3490405,13.3898,12.432,2.5,0.1923077,USD,49292832768,0.123730004,2531292307,2856029952,0.0,0.00022,9.2328,1.4107313,1672444800,1703980800,1688083200,0.09,3395000064,1.29,3.12,105:100,1441843200,1.788,9.738,PNK,EQUITY,HCMLY,HCMLY,HOLCIM LTD SPON ADS EACH REPR 0,Holcim Ltd,1262701800,America/New_York,EDT,-14400000,13.025,17.4,17.4,17.4,17.4,1.0,strong_buy,1,3654000128,1.276,5062000128,14853000192,0.952,1.478,27574999040,54.391,9.4344,0.03645,0.12369,12194000000,2281874944,4341000192,0.153,-0.11,0.42118,0.18357,0.12323,CHF,1.2199
3,Grafenauweg 10,Zug,6300,Switzerland,41 58 858 58 58,https://www.holcim.com,Building Materials,Basic Materials,"Holcim Ltd, together with its subsidiaries, operates as a building materials and solutions company worldwide. It offers cement, clinker, and other cementitious materials; aggregates, such as crushed stone, gravel, and sand; and ready-mix concrete, precast, concrete products, asphalts, mortars, roofing systems, and contracting and services. The company also engages in the retail activities, as well as waste management services. Its products are used in infrastructure projects, such as tunnels, railways and train stations, airports and ports, and bridges; housing projects, including individual and collective housing; commercial projects comprising offices, retails, and public buildings; and industrial projects consisting of renewable energy, oil and gas, and mining. The company was formerly known as LafargeHolcim Ltd and changed its name to Holcim Ltd in May 2021. Holcim Ltd was founded in 1833 and is headquartered in Zug, Switzerland.",60422,"{'maxAge': 1, 'name': 'Mr. Mathias  Gaertner', 'age': 49, 'title': 'Head of Legal & Compliance', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}",8,4,1,1,2,1693526400,1672444800,86400,2,13.0,13.08,13.01,13.08,13.0,13.08,13.01,13.08,0.56,0.0427,1683590400,0.4388,4.27,1.074699,10.096899,4.1746798,73677,73677,50664,95760,95760,0.0,0.0,0,0,37199790080,7.81,14.33,1.3490405,13.3898,12.432,2.5,0.1923077,USD,49292832768,0.123730004,2531292307,2856029952,0.0,0.00022,9.2328,1.4107313,1672444800,1703980800,1688083200,0.09,3395000064,1.29,3.12,105:100,1441843200,1.788,9.738,PNK,EQUITY,HCMLY,HCMLY,HOLCIM LTD SPON ADS EACH REPR 0,Holcim Ltd,1262701800,America/New_York,EDT,-14400000,13.025,17.4,17.4,17.4,17.4,1.0,strong_buy,1,3654000128,1.276,5062000128,14853000192,0.952,1.478,27574999040,54.391,9.4344,0.03645,0.12369,12194000000,2281874944,4341000192,0.153,-0.11,0.42118,0.18357,0.12323,CHF,1.2199
4,Grafenauweg 10,Zug,6300,Switzerland,41 58 858 58 58,https://www.holcim.com,Building Materials,Basic Materials,"Holcim Ltd, together with its subsidiaries, operates as a building materials and solutions company worldwide. It offers cement, clinker, and other cementitious materials; aggregates, such as crushed stone, gravel, and sand; and ready-mix concrete, precast, concrete products, asphalts, mortars, roofing systems, and contracting and services. The company also engages in the retail activities, as well as waste management services. Its products are used in infrastructure projects, such as tunnels, railways and train stations, airports and ports, and bridges; housing projects, including individual and collective housing; commercial projects comprising offices, retails, and public buildings; and industrial projects consisting of renewable energy, oil and gas, and mining. The company was formerly known as LafargeHolcim Ltd and changed its name to Holcim Ltd in May 2021. Holcim Ltd was founded in 1833 and is headquartered in Zug, Switzerland.",60422,"{'maxAge': 1, 'name': 'Mr. Feliciano Gonzalez Munoz', 'age': 59, 'title': 'Group Head of HR', 'yearBorn': 1963, 'exercisedValue': 0, 'unexercisedValue': 0}",8,4,1,1,2,1693526400,1672444800,86400,2,13.0,13.08,13.01,13.08,13.0,13.08,13.01,13.08,0.56,0.0427,1683590400,0.4388,4.27,1.074699,10.096899,4.1746798,73677,73677,50664,95760,95760,0.0,0.0,0,0,37199790080,7.81,14.33,1.3490405,13.3898,12.432,2.5,0.1923077,USD,49292832768,0.123730004,2531292307,2856029952,0.0,0.00022,9.2328,1.4107313,1672444800,1703980800,1688083200,0.09,3395000064,1.29,3.12,105:100,1441843200,1.788,9.738,PNK,EQUITY,HCMLY,HCMLY,HOLCIM LTD SPON ADS EACH REPR 0,Holcim Ltd,1262701800,America/New_York,EDT,-14400000,13.025,17.4,17.4,17.4,17.4,1.0,strong_buy,1,3654000128,1.276,5062000128,14853000192,0.952,1.478,27574999040,54.391,9.4344,0.03645,0.12369,12194000000,2281874944,4341000192,0.153,-0.11,0.42118,0.18357,0.12323,CHF,1.2199
5,Grafenauweg 10,Zug,6300,Switzerland,41 58 858 58 58,https://www.holcim.com,Building Materials,Basic Materials,"Holcim Ltd, together with its subsidiaries, operates as a building materials and solutions company worldwide. It offers cement, clinker, and other cementitious materials; aggregates, such as crushed stone, gravel, and sand; and ready-mix concrete, precast, concrete products, asphalts, mortars, roofing systems, and contracting and services. The company also engages in the retail activities, as well as waste management services. Its products are used in infrastructure projects, such as tunnels, railways and train stations, airports and ports, and bridges; housing projects, including individual and collective housing; commercial projects comprising offices, retails, and public buildings; and industrial projects consisting of renewable energy, oil and gas, and mining. The company was formerly known as LafargeHolcim Ltd and changed its name to Holcim Ltd in May 2021. Holcim Ltd was founded in 1833 and is headquartered in Zug, Switzerland.",60422,"{'maxAge': 1, 'name': 'Mr. Martin  Kriegner', 'age': 61, 'title': 'Region Head of Asia, Middle East & Africa', 'yearBorn': 1961, 'exercisedValue': 0, 'unexercisedValue': 0}",8,4,1,1,2,1693526400,1672444800,86400,2,13.0,13.08,13.01,13.08,13.0,13.08,13.01,13.08,0.56,0.0427,1683590400,0.4388,4.27,1.074699,10.096899,4.1746798,73677,73677,50664,95760,95760,0.0,0.0,0,0,37199790080,7.81,14.33,1.3490405,13.3898,12.432,2.5,0.1923077,USD,49292832768,0.123730004,2531292307,2856029952,0.0,0.00022,9.2328,1.4107313,1672444800,1703980800,1688083200,0.09,3395000064,1.29,3.12,105:100,1441843200,1.788,9.738,PNK,EQUITY,HCMLY,HCMLY,HOLCIM LTD SPON ADS EACH REPR 0,Holcim Ltd,1262701800,America/New_York,EDT,-14400000,13.025,17.4,17.4,17.4,17.4,1.0,strong_buy,1,3654000128,1.276,5062000128,14853000192,0.952,1.478,27574999040,54.391,9.4344,0.03645,0.12369,12194000000,2281874944,4341000192,0.153,-0.11,0.42118,0.18357,0.12323,CHF,1.2199
6,Grafenauweg 10,Zug,6300,Switzerland,41 58 858 58 58,https://www.holcim.com,Building Materials,Basic Materials,"Holcim Ltd, together with its subsidiaries, operates as a building materials and solutions company worldwide. It offers cement, clinker, and other cementitious materials; aggregates, such as crushed stone, gravel, and sand; and ready-mix concrete, precast, concrete products, asphalts, mortars, roofing systems, and contracting and services. The company also engages in the retail activities, as well as waste management services. Its products are used in infrastructure projects, such as tunnels, railways and train stations, airports and ports, and bridges; housing projects, including individual and collective housing; commercial projects comprising offices, retails, and public buildings; and industrial projects consisting of renewable energy, oil and gas, and mining. The company was formerly known as LafargeHolcim Ltd and changed its name to Holcim Ltd in May 2021. Holcim Ltd was founded in 1833 and is headquartered in Zug, Switzerland.",60422,"{'maxAge': 1, 'name': 'Mr. Oliver  Osswald', 'age': 51, 'title': 'Region Head of Latin America', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",8,4,1,1,2,1693526400,1672444800,86400,2,13.0,13.08,13.01,13.08,13.0,13.08,13.01,13.08,0.56,0.0427,1683590400,0.4388,4.27,1.074699,10.096899,4.1746798,73677,73677,50664,95760,95760,0.0,0.0,0,0,37199790080,7.81,14.33,1.3490405,13.3898,12.432,2.5,0.1923077,USD,49292832768,0.123730004,2531292307,2856029952,0.0,0.00022,9.2328,1.4107313,1672444800,1703980800,1688083200,0.09,3395000064,1.29,3.12,105:100,1441843200,1.788,9.738,PNK,EQUITY,HCMLY,HCMLY,HOLCIM LTD SPON ADS EACH REPR 0,Holcim Ltd,1262701800,America/New_York,EDT,-14400000,13.025,17.4,17.4,17.4,17.4,1.0,strong_buy,1,3654000128,1.276,5062000128,14853000192,0.952,1.478,27574999040,54.391,9.4344,0.03645,0.12369,12194000000,2281874944,4341000192,0.153,-0.11,0.42118,0.18357,0.12323,CHF,1.2199
7,Grafenauweg 10,Zug,6300,Switzerland,41 58 858 58 58,https://www.holcim.com,Building Materials,Basic Materials,"Holcim Ltd, together with its subsidiaries, operates as a building materials and solutions company worldwide. It offers cement, clinker, and other cementitious materials; aggregates, such as crushed stone, gravel, and sand; and ready-mix concrete, precast, concrete products, asphalts, mortars, roofing systems, and contracting and services. The company also engages in the retail activities, as well as waste management services. Its products are used in infrastructure projects, such as tunnels, railways and train stations, airports and ports, and bridges; housing projects, including individual and collective housing; commercial projects comprising offices, retails, and public buildings; and industrial projects consisting of renewable energy, oil and gas, and mining. The company was formerly known as LafargeHolcim Ltd and changed its name to Holcim Ltd in May 2021. Holcim Ltd was founded in 1833 and is headquartered in Zug, Switzerland.",60422,"{'maxAge': 1, 'name': 'Ms. Jamie M. Gentoso P.E.', 'age': 45, 'title': 'Global Head of Solutions & Products Bus. Unit', 'yearBorn': 1977, 'exercisedValue': 0, 'unexercisedValue': 0}",8,4,1,1,2,1693526400,1672444800,86400,2,13.0,13.08,13.01,13.08,13.0,13.08,13.01,13.08,0.56,0.0427,1683590400,0.4388,4.27,1.074699,10.096899,4.1746798,73677,73677,50664,95760,95760,0.0,0.0,0,0,37199790080,7.81,14.33,1.3490405,13.3898,12.432,2.5,0.1923077,USD,49292832768,0.123730004,2531292307,2856029952,0.0,0.00022,9.2328,1.4107313,1672444800,1703980800,1688083200,0.09,3395000064,1.29,3.12,105:100,1441843200,1.788,9.738,PNK,EQUITY,HCMLY,HCMLY,HOLCIM LTD SPON ADS EACH REPR 0,Holcim Ltd,1262701800,America/New_York,EDT,-14400000,13.025,17.4,17.4,17.4,17.4,1.0,strong_buy,1,3654000128,1.276,5062000128,14853000192,0.952,1.478,27574999040,54.391,9.4344,0.03645,0.12369,12194000000,2281874944,4341000192,0.153,-0.11,0.42118,0.18357,0.12323,CHF,1.2199
8,Grafenauweg 10,Zug,6300,Switzerland,41 58 858 58 58,https://www.holcim.com,Building Materials,Basic Materials,"Holcim Ltd, together with its subsidiaries, operates as a building materials and solutions company worldwide. It offers cement, clinker, and other cementitious materials; aggregates, such as crushed stone, gravel, and sand; and ready-mix concrete, precast, concrete products, asphalts, mortars, roofing systems, and contracting and services. The company also engages in the retail activities, as well as waste management services. Its products are used in infrastructure projects, such as tunnels, railways and train stations, airports and ports, and bridges; housing projects, including individual and collective housing; commercial projects comprising offices, retails, and public buildings; and industrial projects consisting of renewable energy, oil and gas, and mining. The company was formerly known as LafargeHolcim Ltd and changed its name to Holcim Ltd in May 2021. Holcim Ltd was founded in 1833 and is headquartered in Zug, Switzerland.",60422,"{'maxAge': 1, 'name': 'Mr. Miljan  Gutovic', 'age': 43, 'title': 'Head of Region Europe', 'yearBorn': 1979, 'exercisedValue': 0, 'unexercisedValue': 0}",8,4,1,1,2,1693526400,1672444800,86400,2,13.0,13.08,13.01,13.08,13.0,13.08,13.01,13.08,0.56,0.0427,1683590400,0.4388,4.27,1.074699,10.096899,4.1746798,73677,73677,50664,95760,95760,0.0,0.0,0,0,37199790080,7.81,14.33,1.3490405,13.3898,12.432,2.5,0.1923077,USD,49292832768,0.123730004,2531292307,2856029952,0.0,0.00022,9.2328,1.4107313,1672444800,1703980800,1688083200,0.09,3395000064,1.29,3.12,105:100,1441843200,1.788,9.738,PNK,EQUITY,HCMLY,HCMLY,HOLCIM LTD SPON ADS EACH REPR 0,Holcim Ltd,1262701800,America/New_York,EDT,-14400000,13.025,17.4,17.4,17.4,17.4,1.0,strong_buy,1,3654000128,1.276,5062000128,14853000192,0.952,1.478,27574999040,54.391,9.4344,0.03645,0.12369,12194000000,2281874944,4341000192,0.153,-0.11,0.42118,0.18357,0.12323,CHF,1.2199
9,Grafenauweg 10,Zug,6300,Switzerland,41 58 858 58 58,https://www.holcim.com,Building Materials,Basic Materials,"Holcim Ltd, together with its subsidiaries, operates as a building materials and solutions company worldwide. It offers cement, clinker, and other cementitious materials; aggregates, such as crushed stone, gravel, and sand; and ready-mix concrete, precast, concrete products, asphalts, mortars, roofing systems, and contracting and services. The company also engages in the retail activities, as well as waste management services. Its products are used in infrastructure projects, such as tunnels, railways and train stations, airports and ports, and bridges; housing projects, including individual and collective housing; commercial projects comprising offices, retails, and public buildings; and industrial projects consisting of renewable energy, oil and gas, and mining. The company was formerly known as LafargeHolcim Ltd and changed its name to Holcim Ltd in May 2021. Holcim Ltd was founded in 1833 and is headquartered in Zug, Switzerland.",60422,"{'maxAge': 1, 'name': 'Mr. Keith  Carr', 'age': 56, 'title': 'Exec. Officer', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",8,4,1,1,2,1693526400,1672444800,86400,2,13.0,13.08,13.01,13.08,13.0,13.08,13.01,13.08,0.56,0.0427,1683590400,0.4388,4.27,1.074699,10.096899,4.1746798,73677,73677,50664,95760,95760,0.0,0.0,0,0,37199790080,7.81,14.33,1.3490405,13.3898,12.432,2.5,0.1923077,USD,49292832768,0.123730004,2531292307,2856029952,0.0,0.00022,9.2328,1.4107313,1672444800,1703980800,1688083200,0.09,3395000064,1.29,3.12,105:100,1441843200,1.788,9.738,PNK,EQUITY,HCMLY,HCMLY,HOLCIM LTD SPON ADS EACH REPR 0,Holcim Ltd,1262701800,America/New_York,EDT,-14400000,13.025,17.4,17.4,17.4,17.4,1.0,strong_buy,1,3654000128,1.276,5062000128,14853000192,0.952,1.478,27574999040,54.391,9.4344,0.03645,0.12369,12194000000,2281874944,4341000192,0.153,-0.11,0.42118,0.18357,0.12323,CHF,1.2199
