,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,25 Farringdon Street,5th Floor,London,EC4A 4AB,United Kingdom,44 20 7269 8000,44 20 7269 8433,https://matthey.com,Specialty Chemicals,Basic Materials,"Johnson Matthey Plc engages in the clean air, catalyst and hydrogen technology, and platinum group metals (PGM) service businesses in the United Kingdom, Germany, rest of Europe, the United States, rest of North America, China, rest of Asia, and internationally. It operates through five segments: Clean Air, PGM Services, Catalyst Technologies, Hydrogen Technologies, and Value Businesses. The Clean Air segment provides catalysts for emission control after-treatment systems to reduce harmful emissions from cars, other light duty vehicles, trucks, buses, and non-road equipment powered by internal combustion engines. The PGM Services segment enables the energy transition through providing circular solutions as demand for critical materials. This segment also offers PGM refining and recycling, and trading services; other precious metal products; and PGM chemicals, industrial products, and catalysts. The Catalyst Technologies segment is involved in decarbonization of chemical and fuel value chains. This segment also provides speciality catalysts and additives; process technology licenses; and engineering design services. The Hydrogen Technologies segment offers catalyst coated membranes that are a critical component for fuel cells and electrolysers. The Value Businesses segment business portfolio includes precious metal pastes and enamels, and battery systems and products for devices used in medical procedures; and detection and measurement solutions. The company was formerly known as Johnson & Cock and changed its name to Johnson Matthey Plc in 1851. Johnson Matthey Plc was founded in 1817 and is based in London, the United Kingdom.",12638,"{'maxAge': 1, 'name': 'Mr. Liam  Condon', 'age': 54, 'title': 'Chief Exec. Officer', 'yearBorn': 1968, 'fiscalYear': 2023, 'totalPay': 3305705, 'exercisedValue': 0, 'unexercisedValue': 0}",4,3,1,1,2,1693526400,1703980800,86400,2,20.835,21.65125,21.65125,21.65125,20.835,21.65125,21.65125,21.65125,0.98,0.0469,1686182400,0.5362,3.12,1.022897,12.095671,1271,1271,156,130,130,0.0,0.0,0,0,4056210432,19.35,28.49,0.2716273,21.738,24.3619,0.77,0.036957044,USD,4622991872,0.018480001,167107353,183452992,0.006,0.74141,14.735,1.4693757,1680220800,1711843200,1680220800,264000000,1.79,17:18,1452470400,0.31,7.468,PNK,EQUITY,JMPLF,JMPLF,JOHNSON MATTHEY,Johnson Matthey Plc,1276090200,America/New_York,EDT,-14400000,21.65125,none,650000000,3.772,619000000,1683000064,0.85,1.509,14933000192,66.286,81.596,0.04354,0.10602,1002000000,81875000,291000000,0.011,0.0671,0.04145,0.03194,GBP,
1,25 Farringdon Street,5th Floor,London,EC4A 4AB,United Kingdom,44 20 7269 8000,44 20 7269 8433,https://matthey.com,Specialty Chemicals,Basic Materials,"Johnson Matthey Plc engages in the clean air, catalyst and hydrogen technology, and platinum group metals (PGM) service businesses in the United Kingdom, Germany, rest of Europe, the United States, rest of North America, China, rest of Asia, and internationally. It operates through five segments: Clean Air, PGM Services, Catalyst Technologies, Hydrogen Technologies, and Value Businesses. The Clean Air segment provides catalysts for emission control after-treatment systems to reduce harmful emissions from cars, other light duty vehicles, trucks, buses, and non-road equipment powered by internal combustion engines. The PGM Services segment enables the energy transition through providing circular solutions as demand for critical materials. This segment also offers PGM refining and recycling, and trading services; other precious metal products; and PGM chemicals, industrial products, and catalysts. The Catalyst Technologies segment is involved in decarbonization of chemical and fuel value chains. This segment also provides speciality catalysts and additives; process technology licenses; and engineering design services. The Hydrogen Technologies segment offers catalyst coated membranes that are a critical component for fuel cells and electrolysers. The Value Businesses segment business portfolio includes precious metal pastes and enamels, and battery systems and products for devices used in medical procedures; and detection and measurement solutions. The company was formerly known as Johnson & Cock and changed its name to Johnson Matthey Plc in 1851. Johnson Matthey Plc was founded in 1817 and is based in London, the United Kingdom.",12638,"{'maxAge': 1, 'name': 'Mr. Stephen Richard Oxley', 'age': 51, 'title': 'CFO & Director', 'yearBorn': 1971, 'fiscalYear': 2023, 'totalPay': 1672210, 'exercisedValue': 0, 'unexercisedValue': 0}",4,3,1,1,2,1693526400,1703980800,86400,2,20.835,21.65125,21.65125,21.65125,20.835,21.65125,21.65125,21.65125,0.98,0.0469,1686182400,0.5362,3.12,1.022897,12.095671,1271,1271,156,130,130,0.0,0.0,0,0,4056210432,19.35,28.49,0.2716273,21.738,24.3619,0.77,0.036957044,USD,4622991872,0.018480001,167107353,183452992,0.006,0.74141,14.735,1.4693757,1680220800,1711843200,1680220800,264000000,1.79,17:18,1452470400,0.31,7.468,PNK,EQUITY,JMPLF,JMPLF,JOHNSON MATTHEY,Johnson Matthey Plc,1276090200,America/New_York,EDT,-14400000,21.65125,none,650000000,3.772,619000000,1683000064,0.85,1.509,14933000192,66.286,81.596,0.04354,0.10602,1002000000,81875000,291000000,0.011,0.0671,0.04145,0.03194,GBP,
2,25 Farringdon Street,5th Floor,London,EC4A 4AB,United Kingdom,44 20 7269 8000,44 20 7269 8433,https://matthey.com,Specialty Chemicals,Basic Materials,"Johnson Matthey Plc engages in the clean air, catalyst and hydrogen technology, and platinum group metals (PGM) service businesses in the United Kingdom, Germany, rest of Europe, the United States, rest of North America, China, rest of Asia, and internationally. It operates through five segments: Clean Air, PGM Services, Catalyst Technologies, Hydrogen Technologies, and Value Businesses. The Clean Air segment provides catalysts for emission control after-treatment systems to reduce harmful emissions from cars, other light duty vehicles, trucks, buses, and non-road equipment powered by internal combustion engines. The PGM Services segment enables the energy transition through providing circular solutions as demand for critical materials. This segment also offers PGM refining and recycling, and trading services; other precious metal products; and PGM chemicals, industrial products, and catalysts. The Catalyst Technologies segment is involved in decarbonization of chemical and fuel value chains. This segment also provides speciality catalysts and additives; process technology licenses; and engineering design services. The Hydrogen Technologies segment offers catalyst coated membranes that are a critical component for fuel cells and electrolysers. The Value Businesses segment business portfolio includes precious metal pastes and enamels, and battery systems and products for devices used in medical procedures; and detection and measurement solutions. The company was formerly known as Johnson & Cock and changed its name to Johnson Matthey Plc in 1851. Johnson Matthey Plc was founded in 1817 and is based in London, the United Kingdom.",12638,"{'maxAge': 1, 'name': 'Mr. Maurits  van Tol', 'title': 'Chief Technology Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",4,3,1,1,2,1693526400,1703980800,86400,2,20.835,21.65125,21.65125,21.65125,20.835,21.65125,21.65125,21.65125,0.98,0.0469,1686182400,0.5362,3.12,1.022897,12.095671,1271,1271,156,130,130,0.0,0.0,0,0,4056210432,19.35,28.49,0.2716273,21.738,24.3619,0.77,0.036957044,USD,4622991872,0.018480001,167107353,183452992,0.006,0.74141,14.735,1.4693757,1680220800,1711843200,1680220800,264000000,1.79,17:18,1452470400,0.31,7.468,PNK,EQUITY,JMPLF,JMPLF,JOHNSON MATTHEY,Johnson Matthey Plc,1276090200,America/New_York,EDT,-14400000,21.65125,none,650000000,3.772,619000000,1683000064,0.85,1.509,14933000192,66.286,81.596,0.04354,0.10602,1002000000,81875000,291000000,0.011,0.0671,0.04145,0.03194,GBP,
3,25 Farringdon Street,5th Floor,London,EC4A 4AB,United Kingdom,44 20 7269 8000,44 20 7269 8433,https://matthey.com,Specialty Chemicals,Basic Materials,"Johnson Matthey Plc engages in the clean air, catalyst and hydrogen technology, and platinum group metals (PGM) service businesses in the United Kingdom, Germany, rest of Europe, the United States, rest of North America, China, rest of Asia, and internationally. It operates through five segments: Clean Air, PGM Services, Catalyst Technologies, Hydrogen Technologies, and Value Businesses. The Clean Air segment provides catalysts for emission control after-treatment systems to reduce harmful emissions from cars, other light duty vehicles, trucks, buses, and non-road equipment powered by internal combustion engines. The PGM Services segment enables the energy transition through providing circular solutions as demand for critical materials. This segment also offers PGM refining and recycling, and trading services; other precious metal products; and PGM chemicals, industrial products, and catalysts. The Catalyst Technologies segment is involved in decarbonization of chemical and fuel value chains. This segment also provides speciality catalysts and additives; process technology licenses; and engineering design services. The Hydrogen Technologies segment offers catalyst coated membranes that are a critical component for fuel cells and electrolysers. The Value Businesses segment business portfolio includes precious metal pastes and enamels, and battery systems and products for devices used in medical procedures; and detection and measurement solutions. The company was formerly known as Johnson & Cock and changed its name to Johnson Matthey Plc in 1851. Johnson Matthey Plc was founded in 1817 and is based in London, the United Kingdom.",12638,"{'maxAge': 1, 'name': 'Mr. Martin Christopher Dunwoodie', 'title': 'Director of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",4,3,1,1,2,1693526400,1703980800,86400,2,20.835,21.65125,21.65125,21.65125,20.835,21.65125,21.65125,21.65125,0.98,0.0469,1686182400,0.5362,3.12,1.022897,12.095671,1271,1271,156,130,130,0.0,0.0,0,0,4056210432,19.35,28.49,0.2716273,21.738,24.3619,0.77,0.036957044,USD,4622991872,0.018480001,167107353,183452992,0.006,0.74141,14.735,1.4693757,1680220800,1711843200,1680220800,264000000,1.79,17:18,1452470400,0.31,7.468,PNK,EQUITY,JMPLF,JMPLF,JOHNSON MATTHEY,Johnson Matthey Plc,1276090200,America/New_York,EDT,-14400000,21.65125,none,650000000,3.772,619000000,1683000064,0.85,1.509,14933000192,66.286,81.596,0.04354,0.10602,1002000000,81875000,291000000,0.011,0.0671,0.04145,0.03194,GBP,
4,25 Farringdon Street,5th Floor,London,EC4A 4AB,United Kingdom,44 20 7269 8000,44 20 7269 8433,https://matthey.com,Specialty Chemicals,Basic Materials,"Johnson Matthey Plc engages in the clean air, catalyst and hydrogen technology, and platinum group metals (PGM) service businesses in the United Kingdom, Germany, rest of Europe, the United States, rest of North America, China, rest of Asia, and internationally. It operates through five segments: Clean Air, PGM Services, Catalyst Technologies, Hydrogen Technologies, and Value Businesses. The Clean Air segment provides catalysts for emission control after-treatment systems to reduce harmful emissions from cars, other light duty vehicles, trucks, buses, and non-road equipment powered by internal combustion engines. The PGM Services segment enables the energy transition through providing circular solutions as demand for critical materials. This segment also offers PGM refining and recycling, and trading services; other precious metal products; and PGM chemicals, industrial products, and catalysts. The Catalyst Technologies segment is involved in decarbonization of chemical and fuel value chains. This segment also provides speciality catalysts and additives; process technology licenses; and engineering design services. The Hydrogen Technologies segment offers catalyst coated membranes that are a critical component for fuel cells and electrolysers. The Value Businesses segment business portfolio includes precious metal pastes and enamels, and battery systems and products for devices used in medical procedures; and detection and measurement solutions. The company was formerly known as Johnson & Cock and changed its name to Johnson Matthey Plc in 1851. Johnson Matthey Plc was founded in 1817 and is based in London, the United Kingdom.",12638,"{'maxAge': 1, 'name': 'Mr. Simon  Price', 'title': 'Company Sec. & Gen. Counsel', 'exercisedValue': 0, 'unexercisedValue': 0}",4,3,1,1,2,1693526400,1703980800,86400,2,20.835,21.65125,21.65125,21.65125,20.835,21.65125,21.65125,21.65125,0.98,0.0469,1686182400,0.5362,3.12,1.022897,12.095671,1271,1271,156,130,130,0.0,0.0,0,0,4056210432,19.35,28.49,0.2716273,21.738,24.3619,0.77,0.036957044,USD,4622991872,0.018480001,167107353,183452992,0.006,0.74141,14.735,1.4693757,1680220800,1711843200,1680220800,264000000,1.79,17:18,1452470400,0.31,7.468,PNK,EQUITY,JMPLF,JMPLF,JOHNSON MATTHEY,Johnson Matthey Plc,1276090200,America/New_York,EDT,-14400000,21.65125,none,650000000,3.772,619000000,1683000064,0.85,1.509,14933000192,66.286,81.596,0.04354,0.10602,1002000000,81875000,291000000,0.011,0.0671,0.04145,0.03194,GBP,
5,25 Farringdon Street,5th Floor,London,EC4A 4AB,United Kingdom,44 20 7269 8000,44 20 7269 8433,https://matthey.com,Specialty Chemicals,Basic Materials,"Johnson Matthey Plc engages in the clean air, catalyst and hydrogen technology, and platinum group metals (PGM) service businesses in the United Kingdom, Germany, rest of Europe, the United States, rest of North America, China, rest of Asia, and internationally. It operates through five segments: Clean Air, PGM Services, Catalyst Technologies, Hydrogen Technologies, and Value Businesses. The Clean Air segment provides catalysts for emission control after-treatment systems to reduce harmful emissions from cars, other light duty vehicles, trucks, buses, and non-road equipment powered by internal combustion engines. The PGM Services segment enables the energy transition through providing circular solutions as demand for critical materials. This segment also offers PGM refining and recycling, and trading services; other precious metal products; and PGM chemicals, industrial products, and catalysts. The Catalyst Technologies segment is involved in decarbonization of chemical and fuel value chains. This segment also provides speciality catalysts and additives; process technology licenses; and engineering design services. The Hydrogen Technologies segment offers catalyst coated membranes that are a critical component for fuel cells and electrolysers. The Value Businesses segment business portfolio includes precious metal pastes and enamels, and battery systems and products for devices used in medical procedures; and detection and measurement solutions. The company was formerly known as Johnson & Cock and changed its name to Johnson Matthey Plc in 1851. Johnson Matthey Plc was founded in 1817 and is based in London, the United Kingdom.",12638,"{'maxAge': 1, 'name': 'Ms. Sally  Jones', 'title': 'Director of Corp. Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",4,3,1,1,2,1693526400,1703980800,86400,2,20.835,21.65125,21.65125,21.65125,20.835,21.65125,21.65125,21.65125,0.98,0.0469,1686182400,0.5362,3.12,1.022897,12.095671,1271,1271,156,130,130,0.0,0.0,0,0,4056210432,19.35,28.49,0.2716273,21.738,24.3619,0.77,0.036957044,USD,4622991872,0.018480001,167107353,183452992,0.006,0.74141,14.735,1.4693757,1680220800,1711843200,1680220800,264000000,1.79,17:18,1452470400,0.31,7.468,PNK,EQUITY,JMPLF,JMPLF,JOHNSON MATTHEY,Johnson Matthey Plc,1276090200,America/New_York,EDT,-14400000,21.65125,none,650000000,3.772,619000000,1683000064,0.85,1.509,14933000192,66.286,81.596,0.04354,0.10602,1002000000,81875000,291000000,0.011,0.0671,0.04145,0.03194,GBP,
6,25 Farringdon Street,5th Floor,London,EC4A 4AB,United Kingdom,44 20 7269 8000,44 20 7269 8433,https://matthey.com,Specialty Chemicals,Basic Materials,"Johnson Matthey Plc engages in the clean air, catalyst and hydrogen technology, and platinum group metals (PGM) service businesses in the United Kingdom, Germany, rest of Europe, the United States, rest of North America, China, rest of Asia, and internationally. It operates through five segments: Clean Air, PGM Services, Catalyst Technologies, Hydrogen Technologies, and Value Businesses. The Clean Air segment provides catalysts for emission control after-treatment systems to reduce harmful emissions from cars, other light duty vehicles, trucks, buses, and non-road equipment powered by internal combustion engines. The PGM Services segment enables the energy transition through providing circular solutions as demand for critical materials. This segment also offers PGM refining and recycling, and trading services; other precious metal products; and PGM chemicals, industrial products, and catalysts. The Catalyst Technologies segment is involved in decarbonization of chemical and fuel value chains. This segment also provides speciality catalysts and additives; process technology licenses; and engineering design services. The Hydrogen Technologies segment offers catalyst coated membranes that are a critical component for fuel cells and electrolysers. The Value Businesses segment business portfolio includes precious metal pastes and enamels, and battery systems and products for devices used in medical procedures; and detection and measurement solutions. The company was formerly known as Johnson & Cock and changed its name to Johnson Matthey Plc in 1851. Johnson Matthey Plc was founded in 1817 and is based in London, the United Kingdom.",12638,"{'maxAge': 1, 'name': 'Ms. Alexandra C. French', 'title': 'Sales and Marketing Director', 'exercisedValue': 0, 'unexercisedValue': 0}",4,3,1,1,2,1693526400,1703980800,86400,2,20.835,21.65125,21.65125,21.65125,20.835,21.65125,21.65125,21.65125,0.98,0.0469,1686182400,0.5362,3.12,1.022897,12.095671,1271,1271,156,130,130,0.0,0.0,0,0,4056210432,19.35,28.49,0.2716273,21.738,24.3619,0.77,0.036957044,USD,4622991872,0.018480001,167107353,183452992,0.006,0.74141,14.735,1.4693757,1680220800,1711843200,1680220800,264000000,1.79,17:18,1452470400,0.31,7.468,PNK,EQUITY,JMPLF,JMPLF,JOHNSON MATTHEY,Johnson Matthey Plc,1276090200,America/New_York,EDT,-14400000,21.65125,none,650000000,3.772,619000000,1683000064,0.85,1.509,14933000192,66.286,81.596,0.04354,0.10602,1002000000,81875000,291000000,0.011,0.0671,0.04145,0.03194,GBP,
7,25 Farringdon Street,5th Floor,London,EC4A 4AB,United Kingdom,44 20 7269 8000,44 20 7269 8433,https://matthey.com,Specialty Chemicals,Basic Materials,"Johnson Matthey Plc engages in the clean air, catalyst and hydrogen technology, and platinum group metals (PGM) service businesses in the United Kingdom, Germany, rest of Europe, the United States, rest of North America, China, rest of Asia, and internationally. It operates through five segments: Clean Air, PGM Services, Catalyst Technologies, Hydrogen Technologies, and Value Businesses. The Clean Air segment provides catalysts for emission control after-treatment systems to reduce harmful emissions from cars, other light duty vehicles, trucks, buses, and non-road equipment powered by internal combustion engines. The PGM Services segment enables the energy transition through providing circular solutions as demand for critical materials. This segment also offers PGM refining and recycling, and trading services; other precious metal products; and PGM chemicals, industrial products, and catalysts. The Catalyst Technologies segment is involved in decarbonization of chemical and fuel value chains. This segment also provides speciality catalysts and additives; process technology licenses; and engineering design services. The Hydrogen Technologies segment offers catalyst coated membranes that are a critical component for fuel cells and electrolysers. The Value Businesses segment business portfolio includes precious metal pastes and enamels, and battery systems and products for devices used in medical procedures; and detection and measurement solutions. The company was formerly known as Johnson & Cock and changed its name to Johnson Matthey Plc in 1851. Johnson Matthey Plc was founded in 1817 and is based in London, the United Kingdom.",12638,"{'maxAge': 1, 'name': 'Ms. Annette M. Kelleher BA, MSc', 'age': 55, 'title': 'Chief Human Resource Officer', 'yearBorn': 1967, 'exercisedValue': 0, 'unexercisedValue': 0}",4,3,1,1,2,1693526400,1703980800,86400,2,20.835,21.65125,21.65125,21.65125,20.835,21.65125,21.65125,21.65125,0.98,0.0469,1686182400,0.5362,3.12,1.022897,12.095671,1271,1271,156,130,130,0.0,0.0,0,0,4056210432,19.35,28.49,0.2716273,21.738,24.3619,0.77,0.036957044,USD,4622991872,0.018480001,167107353,183452992,0.006,0.74141,14.735,1.4693757,1680220800,1711843200,1680220800,264000000,1.79,17:18,1452470400,0.31,7.468,PNK,EQUITY,JMPLF,JMPLF,JOHNSON MATTHEY,Johnson Matthey Plc,1276090200,America/New_York,EDT,-14400000,21.65125,none,650000000,3.772,619000000,1683000064,0.85,1.509,14933000192,66.286,81.596,0.04354,0.10602,1002000000,81875000,291000000,0.011,0.0671,0.04145,0.03194,GBP,
8,25 Farringdon Street,5th Floor,London,EC4A 4AB,United Kingdom,44 20 7269 8000,44 20 7269 8433,https://matthey.com,Specialty Chemicals,Basic Materials,"Johnson Matthey Plc engages in the clean air, catalyst and hydrogen technology, and platinum group metals (PGM) service businesses in the United Kingdom, Germany, rest of Europe, the United States, rest of North America, China, rest of Asia, and internationally. It operates through five segments: Clean Air, PGM Services, Catalyst Technologies, Hydrogen Technologies, and Value Businesses. The Clean Air segment provides catalysts for emission control after-treatment systems to reduce harmful emissions from cars, other light duty vehicles, trucks, buses, and non-road equipment powered by internal combustion engines. The PGM Services segment enables the energy transition through providing circular solutions as demand for critical materials. This segment also offers PGM refining and recycling, and trading services; other precious metal products; and PGM chemicals, industrial products, and catalysts. The Catalyst Technologies segment is involved in decarbonization of chemical and fuel value chains. This segment also provides speciality catalysts and additives; process technology licenses; and engineering design services. The Hydrogen Technologies segment offers catalyst coated membranes that are a critical component for fuel cells and electrolysers. The Value Businesses segment business portfolio includes precious metal pastes and enamels, and battery systems and products for devices used in medical procedures; and detection and measurement solutions. The company was formerly known as Johnson & Cock and changed its name to Johnson Matthey Plc in 1851. Johnson Matthey Plc was founded in 1817 and is based in London, the United Kingdom.",12638,"{'maxAge': 1, 'name': 'A. C. Hurst', 'title': 'Managing Director of Tracerco - Environmental Technologies', 'exercisedValue': 0, 'unexercisedValue': 0}",4,3,1,1,2,1693526400,1703980800,86400,2,20.835,21.65125,21.65125,21.65125,20.835,21.65125,21.65125,21.65125,0.98,0.0469,1686182400,0.5362,3.12,1.022897,12.095671,1271,1271,156,130,130,0.0,0.0,0,0,4056210432,19.35,28.49,0.2716273,21.738,24.3619,0.77,0.036957044,USD,4622991872,0.018480001,167107353,183452992,0.006,0.74141,14.735,1.4693757,1680220800,1711843200,1680220800,264000000,1.79,17:18,1452470400,0.31,7.468,PNK,EQUITY,JMPLF,JMPLF,JOHNSON MATTHEY,Johnson Matthey Plc,1276090200,America/New_York,EDT,-14400000,21.65125,none,650000000,3.772,619000000,1683000064,0.85,1.509,14933000192,66.286,81.596,0.04354,0.10602,1002000000,81875000,291000000,0.011,0.0671,0.04145,0.03194,GBP,
9,25 Farringdon Street,5th Floor,London,EC4A 4AB,United Kingdom,44 20 7269 8000,44 20 7269 8433,https://matthey.com,Specialty Chemicals,Basic Materials,"Johnson Matthey Plc engages in the clean air, catalyst and hydrogen technology, and platinum group metals (PGM) service businesses in the United Kingdom, Germany, rest of Europe, the United States, rest of North America, China, rest of Asia, and internationally. It operates through five segments: Clean Air, PGM Services, Catalyst Technologies, Hydrogen Technologies, and Value Businesses. The Clean Air segment provides catalysts for emission control after-treatment systems to reduce harmful emissions from cars, other light duty vehicles, trucks, buses, and non-road equipment powered by internal combustion engines. The PGM Services segment enables the energy transition through providing circular solutions as demand for critical materials. This segment also offers PGM refining and recycling, and trading services; other precious metal products; and PGM chemicals, industrial products, and catalysts. The Catalyst Technologies segment is involved in decarbonization of chemical and fuel value chains. This segment also provides speciality catalysts and additives; process technology licenses; and engineering design services. The Hydrogen Technologies segment offers catalyst coated membranes that are a critical component for fuel cells and electrolysers. The Value Businesses segment business portfolio includes precious metal pastes and enamels, and battery systems and products for devices used in medical procedures; and detection and measurement solutions. The company was formerly known as Johnson & Cock and changed its name to Johnson Matthey Plc in 1851. Johnson Matthey Plc was founded in 1817 and is based in London, the United Kingdom.",12638,"{'maxAge': 1, 'name': 'R.  Mannion', 'title': 'Managing Director of Ammonia, Menthol & Gas - Environmental Technologies', 'exercisedValue': 0, 'unexercisedValue': 0}",4,3,1,1,2,1693526400,1703980800,86400,2,20.835,21.65125,21.65125,21.65125,20.835,21.65125,21.65125,21.65125,0.98,0.0469,1686182400,0.5362,3.12,1.022897,12.095671,1271,1271,156,130,130,0.0,0.0,0,0,4056210432,19.35,28.49,0.2716273,21.738,24.3619,0.77,0.036957044,USD,4622991872,0.018480001,167107353,183452992,0.006,0.74141,14.735,1.4693757,1680220800,1711843200,1680220800,264000000,1.79,17:18,1452470400,0.31,7.468,PNK,EQUITY,JMPLF,JMPLF,JOHNSON MATTHEY,Johnson Matthey Plc,1276090200,America/New_York,EDT,-14400000,21.65125,none,650000000,3.772,619000000,1683000064,0.85,1.509,14933000192,66.286,81.596,0.04354,0.10602,1002000000,81875000,291000000,0.011,0.0671,0.04145,0.03194,GBP,
