,address1,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"Moskovsky prospect, b. 130",Yaroslavl,150023,Russia,7 4852 49 81 00,7 4852 40 76 76,https://www.refinery.yaroslavl.su,Oil & Gas Refining & Marketing,Energy,"Public Joint Stock Company Slavneft-Yaroslavnefteorgsintez produces and sells oil products in Russia. It offers motor gasoline, diesel fuel, and jet fuel products; compressor and hydrostatic, industrial, turbine, and base oils; road, roof, and construction bitumen products; paraffin and wax products; and aromatic hydrocarbons, as well as liquefied gases and fuel oils. The company was founded in 1961 and is based in Yaroslavl, Russia.","{'maxAge': 1, 'name': 'Mr. Nikolay Vladimirovich Karpov', 'age': 49, 'title': 'Gen. Director', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,14.3,15.65,14.1,15.65,14.3,15.65,14.1,15.65,1530835200,0.0,0.414228,3.0277185,9000,9000,0,0,0,14.2,14.35,10000,10000,16451409920,13.9,15.65,0.5606014,13.9,13.9,0.0,0.0,RUB,52684259328,0.08614001,59640145,932654976,0.98219,0.0,62.312,0.22788547,1609372800,1640908800,1625011200,-0.59,2524999936,4.69,1.795,4.155,MCX,EQUITY,JNOS.ME,JNOS.ME,SLAVNEFT YAROSLAVN,Public Joint Stock Company Slavneft-Yaroslavnefteorgsintez,1267597800,Europe/Moscow,MSK,10800000,14.2,none,195000000,0.157,12679999488,35221000192,0.749,0.91,29346000896,45.453,31.334,0.02254,0.033180002,15539000000,2435749888,12730000384,-0.593,0.016,0.50375,0.43208998,0.15675001,RUB,
1,"Moskovsky prospect, b. 130",Yaroslavl,150023,Russia,7 4852 49 81 00,7 4852 40 76 76,https://www.refinery.yaroslavl.su,Oil & Gas Refining & Marketing,Energy,"Public Joint Stock Company Slavneft-Yaroslavnefteorgsintez produces and sells oil products in Russia. It offers motor gasoline, diesel fuel, and jet fuel products; compressor and hydrostatic, industrial, turbine, and base oils; road, roof, and construction bitumen products; paraffin and wax products; and aromatic hydrocarbons, as well as liquefied gases and fuel oils. The company was founded in 1961 and is based in Yaroslavl, Russia.","{'maxAge': 1, 'name': 'Mr. Alexander Anatolievich Nikitin', 'title': 'Chairman of the Management Board', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,14.3,15.65,14.1,15.65,14.3,15.65,14.1,15.65,1530835200,0.0,0.414228,3.0277185,9000,9000,0,0,0,14.2,14.35,10000,10000,16451409920,13.9,15.65,0.5606014,13.9,13.9,0.0,0.0,RUB,52684259328,0.08614001,59640145,932654976,0.98219,0.0,62.312,0.22788547,1609372800,1640908800,1625011200,-0.59,2524999936,4.69,1.795,4.155,MCX,EQUITY,JNOS.ME,JNOS.ME,SLAVNEFT YAROSLAVN,Public Joint Stock Company Slavneft-Yaroslavnefteorgsintez,1267597800,Europe/Moscow,MSK,10800000,14.2,none,195000000,0.157,12679999488,35221000192,0.749,0.91,29346000896,45.453,31.334,0.02254,0.033180002,15539000000,2435749888,12730000384,-0.593,0.016,0.50375,0.43208998,0.15675001,RUB,
2,"Moskovsky prospect, b. 130",Yaroslavl,150023,Russia,7 4852 49 81 00,7 4852 40 76 76,https://www.refinery.yaroslavl.su,Oil & Gas Refining & Marketing,Energy,"Public Joint Stock Company Slavneft-Yaroslavnefteorgsintez produces and sells oil products in Russia. It offers motor gasoline, diesel fuel, and jet fuel products; compressor and hydrostatic, industrial, turbine, and base oils; road, roof, and construction bitumen products; paraffin and wax products; and aromatic hydrocarbons, as well as liquefied gases and fuel oils. The company was founded in 1961 and is based in Yaroslavl, Russia.","{'maxAge': 1, 'name': 'Mr. Chubarov Gleb Borisovich', 'title': 'Acting Director for Fin. & Economics and Member of Management Board', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,14.3,15.65,14.1,15.65,14.3,15.65,14.1,15.65,1530835200,0.0,0.414228,3.0277185,9000,9000,0,0,0,14.2,14.35,10000,10000,16451409920,13.9,15.65,0.5606014,13.9,13.9,0.0,0.0,RUB,52684259328,0.08614001,59640145,932654976,0.98219,0.0,62.312,0.22788547,1609372800,1640908800,1625011200,-0.59,2524999936,4.69,1.795,4.155,MCX,EQUITY,JNOS.ME,JNOS.ME,SLAVNEFT YAROSLAVN,Public Joint Stock Company Slavneft-Yaroslavnefteorgsintez,1267597800,Europe/Moscow,MSK,10800000,14.2,none,195000000,0.157,12679999488,35221000192,0.749,0.91,29346000896,45.453,31.334,0.02254,0.033180002,15539000000,2435749888,12730000384,-0.593,0.016,0.50375,0.43208998,0.15675001,RUB,
3,"Moskovsky prospect, b. 130",Yaroslavl,150023,Russia,7 4852 49 81 00,7 4852 40 76 76,https://www.refinery.yaroslavl.su,Oil & Gas Refining & Marketing,Energy,"Public Joint Stock Company Slavneft-Yaroslavnefteorgsintez produces and sells oil products in Russia. It offers motor gasoline, diesel fuel, and jet fuel products; compressor and hydrostatic, industrial, turbine, and base oils; road, roof, and construction bitumen products; paraffin and wax products; and aromatic hydrocarbons, as well as liquefied gases and fuel oils. The company was founded in 1961 and is based in Yaroslavl, Russia.","{'maxAge': 1, 'name': 'Mr. Oleg Evgenievich Nenilin', 'title': 'Chief Legal Advisor & Member of The Management Board', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,14.3,15.65,14.1,15.65,14.3,15.65,14.1,15.65,1530835200,0.0,0.414228,3.0277185,9000,9000,0,0,0,14.2,14.35,10000,10000,16451409920,13.9,15.65,0.5606014,13.9,13.9,0.0,0.0,RUB,52684259328,0.08614001,59640145,932654976,0.98219,0.0,62.312,0.22788547,1609372800,1640908800,1625011200,-0.59,2524999936,4.69,1.795,4.155,MCX,EQUITY,JNOS.ME,JNOS.ME,SLAVNEFT YAROSLAVN,Public Joint Stock Company Slavneft-Yaroslavnefteorgsintez,1267597800,Europe/Moscow,MSK,10800000,14.2,none,195000000,0.157,12679999488,35221000192,0.749,0.91,29346000896,45.453,31.334,0.02254,0.033180002,15539000000,2435749888,12730000384,-0.593,0.016,0.50375,0.43208998,0.15675001,RUB,
4,"Moskovsky prospect, b. 130",Yaroslavl,150023,Russia,7 4852 49 81 00,7 4852 40 76 76,https://www.refinery.yaroslavl.su,Oil & Gas Refining & Marketing,Energy,"Public Joint Stock Company Slavneft-Yaroslavnefteorgsintez produces and sells oil products in Russia. It offers motor gasoline, diesel fuel, and jet fuel products; compressor and hydrostatic, industrial, turbine, and base oils; road, roof, and construction bitumen products; paraffin and wax products; and aromatic hydrocarbons, as well as liquefied gases and fuel oils. The company was founded in 1961 and is based in Yaroslavl, Russia.","{'maxAge': 1, 'name': 'Mr. Vakhromov Nikolai Nikolaevich', 'title': 'Chief Engineer & Member of Management Board', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,14.3,15.65,14.1,15.65,14.3,15.65,14.1,15.65,1530835200,0.0,0.414228,3.0277185,9000,9000,0,0,0,14.2,14.35,10000,10000,16451409920,13.9,15.65,0.5606014,13.9,13.9,0.0,0.0,RUB,52684259328,0.08614001,59640145,932654976,0.98219,0.0,62.312,0.22788547,1609372800,1640908800,1625011200,-0.59,2524999936,4.69,1.795,4.155,MCX,EQUITY,JNOS.ME,JNOS.ME,SLAVNEFT YAROSLAVN,Public Joint Stock Company Slavneft-Yaroslavnefteorgsintez,1267597800,Europe/Moscow,MSK,10800000,14.2,none,195000000,0.157,12679999488,35221000192,0.749,0.91,29346000896,45.453,31.334,0.02254,0.033180002,15539000000,2435749888,12730000384,-0.593,0.016,0.50375,0.43208998,0.15675001,RUB,
5,"Moskovsky prospect, b. 130",Yaroslavl,150023,Russia,7 4852 49 81 00,7 4852 40 76 76,https://www.refinery.yaroslavl.su,Oil & Gas Refining & Marketing,Energy,"Public Joint Stock Company Slavneft-Yaroslavnefteorgsintez produces and sells oil products in Russia. It offers motor gasoline, diesel fuel, and jet fuel products; compressor and hydrostatic, industrial, turbine, and base oils; road, roof, and construction bitumen products; paraffin and wax products; and aromatic hydrocarbons, as well as liquefied gases and fuel oils. The company was founded in 1961 and is based in Yaroslavl, Russia.","{'maxAge': 1, 'name': 'Mr. Goldobin Andrey Fedorovich', 'title': 'Acting Director for Capital Construction & Member of Management Board', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,14.3,15.65,14.1,15.65,14.3,15.65,14.1,15.65,1530835200,0.0,0.414228,3.0277185,9000,9000,0,0,0,14.2,14.35,10000,10000,16451409920,13.9,15.65,0.5606014,13.9,13.9,0.0,0.0,RUB,52684259328,0.08614001,59640145,932654976,0.98219,0.0,62.312,0.22788547,1609372800,1640908800,1625011200,-0.59,2524999936,4.69,1.795,4.155,MCX,EQUITY,JNOS.ME,JNOS.ME,SLAVNEFT YAROSLAVN,Public Joint Stock Company Slavneft-Yaroslavnefteorgsintez,1267597800,Europe/Moscow,MSK,10800000,14.2,none,195000000,0.157,12679999488,35221000192,0.749,0.91,29346000896,45.453,31.334,0.02254,0.033180002,15539000000,2435749888,12730000384,-0.593,0.016,0.50375,0.43208998,0.15675001,RUB,
6,"Moskovsky prospect, b. 130",Yaroslavl,150023,Russia,7 4852 49 81 00,7 4852 40 76 76,https://www.refinery.yaroslavl.su,Oil & Gas Refining & Marketing,Energy,"Public Joint Stock Company Slavneft-Yaroslavnefteorgsintez produces and sells oil products in Russia. It offers motor gasoline, diesel fuel, and jet fuel products; compressor and hydrostatic, industrial, turbine, and base oils; road, roof, and construction bitumen products; paraffin and wax products; and aromatic hydrocarbons, as well as liquefied gases and fuel oils. The company was founded in 1961 and is based in Yaroslavl, Russia.","{'maxAge': 1, 'name': 'Mr. Urzhumov Dmitriy Yurievich', 'title': 'Director for Procurement and Supply & Member of Management Board', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,14.3,15.65,14.1,15.65,14.3,15.65,14.1,15.65,1530835200,0.0,0.414228,3.0277185,9000,9000,0,0,0,14.2,14.35,10000,10000,16451409920,13.9,15.65,0.5606014,13.9,13.9,0.0,0.0,RUB,52684259328,0.08614001,59640145,932654976,0.98219,0.0,62.312,0.22788547,1609372800,1640908800,1625011200,-0.59,2524999936,4.69,1.795,4.155,MCX,EQUITY,JNOS.ME,JNOS.ME,SLAVNEFT YAROSLAVN,Public Joint Stock Company Slavneft-Yaroslavnefteorgsintez,1267597800,Europe/Moscow,MSK,10800000,14.2,none,195000000,0.157,12679999488,35221000192,0.749,0.91,29346000896,45.453,31.334,0.02254,0.033180002,15539000000,2435749888,12730000384,-0.593,0.016,0.50375,0.43208998,0.15675001,RUB,
7,"Moskovsky prospect, b. 130",Yaroslavl,150023,Russia,7 4852 49 81 00,7 4852 40 76 76,https://www.refinery.yaroslavl.su,Oil & Gas Refining & Marketing,Energy,"Public Joint Stock Company Slavneft-Yaroslavnefteorgsintez produces and sells oil products in Russia. It offers motor gasoline, diesel fuel, and jet fuel products; compressor and hydrostatic, industrial, turbine, and base oils; road, roof, and construction bitumen products; paraffin and wax products; and aromatic hydrocarbons, as well as liquefied gases and fuel oils. The company was founded in 1961 and is based in Yaroslavl, Russia.","{'maxAge': 1, 'name': 'Skibitsky Oleg Ivanovich', 'title': 'Chief Accountant & Member of the Management Board', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,14.3,15.65,14.1,15.65,14.3,15.65,14.1,15.65,1530835200,0.0,0.414228,3.0277185,9000,9000,0,0,0,14.2,14.35,10000,10000,16451409920,13.9,15.65,0.5606014,13.9,13.9,0.0,0.0,RUB,52684259328,0.08614001,59640145,932654976,0.98219,0.0,62.312,0.22788547,1609372800,1640908800,1625011200,-0.59,2524999936,4.69,1.795,4.155,MCX,EQUITY,JNOS.ME,JNOS.ME,SLAVNEFT YAROSLAVN,Public Joint Stock Company Slavneft-Yaroslavnefteorgsintez,1267597800,Europe/Moscow,MSK,10800000,14.2,none,195000000,0.157,12679999488,35221000192,0.749,0.91,29346000896,45.453,31.334,0.02254,0.033180002,15539000000,2435749888,12730000384,-0.593,0.016,0.50375,0.43208998,0.15675001,RUB,
8,"Moskovsky prospect, b. 130",Yaroslavl,150023,Russia,7 4852 49 81 00,7 4852 40 76 76,https://www.refinery.yaroslavl.su,Oil & Gas Refining & Marketing,Energy,"Public Joint Stock Company Slavneft-Yaroslavnefteorgsintez produces and sells oil products in Russia. It offers motor gasoline, diesel fuel, and jet fuel products; compressor and hydrostatic, industrial, turbine, and base oils; road, roof, and construction bitumen products; paraffin and wax products; and aromatic hydrocarbons, as well as liquefied gases and fuel oils. The company was founded in 1961 and is based in Yaroslavl, Russia.","{'maxAge': 1, 'name': 'Mr. Didier  Casimiro', 'title': 'VP & Director', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,14.3,15.65,14.1,15.65,14.3,15.65,14.1,15.65,1530835200,0.0,0.414228,3.0277185,9000,9000,0,0,0,14.2,14.35,10000,10000,16451409920,13.9,15.65,0.5606014,13.9,13.9,0.0,0.0,RUB,52684259328,0.08614001,59640145,932654976,0.98219,0.0,62.312,0.22788547,1609372800,1640908800,1625011200,-0.59,2524999936,4.69,1.795,4.155,MCX,EQUITY,JNOS.ME,JNOS.ME,SLAVNEFT YAROSLAVN,Public Joint Stock Company Slavneft-Yaroslavnefteorgsintez,1267597800,Europe/Moscow,MSK,10800000,14.2,none,195000000,0.157,12679999488,35221000192,0.749,0.91,29346000896,45.453,31.334,0.02254,0.033180002,15539000000,2435749888,12730000384,-0.593,0.016,0.50375,0.43208998,0.15675001,RUB,
9,"Moskovsky prospect, b. 130",Yaroslavl,150023,Russia,7 4852 49 81 00,7 4852 40 76 76,https://www.refinery.yaroslavl.su,Oil & Gas Refining & Marketing,Energy,"Public Joint Stock Company Slavneft-Yaroslavnefteorgsintez produces and sells oil products in Russia. It offers motor gasoline, diesel fuel, and jet fuel products; compressor and hydrostatic, industrial, turbine, and base oils; road, roof, and construction bitumen products; paraffin and wax products; and aromatic hydrocarbons, as well as liquefied gases and fuel oils. The company was founded in 1961 and is based in Yaroslavl, Russia.","{'maxAge': 1, 'name': 'Ekaterina Aleksandrovna Lupanova', 'title': 'Head of the Corp. Governance Group & Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,14.3,15.65,14.1,15.65,14.3,15.65,14.1,15.65,1530835200,0.0,0.414228,3.0277185,9000,9000,0,0,0,14.2,14.35,10000,10000,16451409920,13.9,15.65,0.5606014,13.9,13.9,0.0,0.0,RUB,52684259328,0.08614001,59640145,932654976,0.98219,0.0,62.312,0.22788547,1609372800,1640908800,1625011200,-0.59,2524999936,4.69,1.795,4.155,MCX,EQUITY,JNOS.ME,JNOS.ME,SLAVNEFT YAROSLAVN,Public Joint Stock Company Slavneft-Yaroslavnefteorgsintez,1267597800,Europe/Moscow,MSK,10800000,14.2,none,195000000,0.157,12679999488,35221000192,0.749,0.91,29346000896,45.453,31.334,0.02254,0.033180002,15539000000,2435749888,12730000384,-0.593,0.016,0.50375,0.43208998,0.15675001,RUB,
