,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,One Technology Park Drive,Westford,MA,01886,United States,978 776 2000,https://www.kadant.com,Specialty Industrial Machinery,Industrials,"Kadant Inc. supplies technologies and engineered systems worldwide. It operates through three segments: Flow Control, Industrial Processing, and Material Handling. The Flow Control segment develops, manufactures, and markets fluid-handling systems and equipment, such as rotary joints, syphons, turbulator bars, expansion joints, and engineered steam and condensate systems; and doctoring, cleaning, and filtration systems and related consumables, consisting of doctor systems and holders, doctor blades, shower and fabric-conditioning systems, formation systems, and water-filtration systems. The Industrial Processing segment develops, manufactures, and markets ring and rotary debarkers, stranders, chippers, logging machinery, industrial automation and control systems, recycling and approach flow systems, and virgin pulping process equipment for use in the packaging, tissue, wood products, and alternative fuel industries. The Material Handling segment offers conveying and vibratory equipment, and balers and related equipment; and manufactures and sells biodegradable absorbent granules for carriers in as carriers in agricultural, home lawn and garden, professional lawn, turf, and ornamental applications, as well as for oil and grease absorption. The company was formerly known as Thermo Fibertek Inc. and changed its name to Kadant Inc. in July 2001. Kadant Inc. was incorporated in 1991 and is headquartered in Westford, Massachusetts.",3100,"{'maxAge': 1, 'name': 'Mr. Jeffrey L. Powell', 'age': 63, 'title': 'Pres, CEO & Director', 'yearBorn': 1959, 'fiscalYear': 2022, 'totalPay': 2913130, 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,3,5,3,1693526400,1672444800,86400,2,222.05,223.33,220.12,223.33,222.05,223.33,220.12,223.33,1.16,0.0052,1696982400,0.112399995,0.72,1.217842,23.177336,22.492872,77043,77043,47958,55870,55870,220.67,220.97,1000,800,2585599232,154.19,229.9,2.7759726,215.505,203.08665,1.1,0.0049538394,USD,2691596544,0.119569995,11526447,11705900,584175,516564,1690761600,1693440000,0.0499,0.013990001,0.97871,13.64,0.0584,60.728,3.637202,1672444800,1703980800,1688169600,0.136,111375000,9.53,9.82,2.98,1:5,994896000,2.89,13.76,NYQ,EQUITY,KAI,KAI,Kadant Inc,Kadant Inc.,720801000,America/New_York,EDT,-14400000,220.88,243.0,205.0,217.67,205.0,2.2,buy,3,66725000,5.7,195604000,156872992,1.005,2.043,931420992,22.001,79.759,0.08856,0.16993,388437000,56733376,119404000,0.134,0.106,0.43267,0.21000999,0.17384,USD,
1,One Technology Park Drive,Westford,MA,01886,United States,978 776 2000,https://www.kadant.com,Specialty Industrial Machinery,Industrials,"Kadant Inc. supplies technologies and engineered systems worldwide. It operates through three segments: Flow Control, Industrial Processing, and Material Handling. The Flow Control segment develops, manufactures, and markets fluid-handling systems and equipment, such as rotary joints, syphons, turbulator bars, expansion joints, and engineered steam and condensate systems; and doctoring, cleaning, and filtration systems and related consumables, consisting of doctor systems and holders, doctor blades, shower and fabric-conditioning systems, formation systems, and water-filtration systems. The Industrial Processing segment develops, manufactures, and markets ring and rotary debarkers, stranders, chippers, logging machinery, industrial automation and control systems, recycling and approach flow systems, and virgin pulping process equipment for use in the packaging, tissue, wood products, and alternative fuel industries. The Material Handling segment offers conveying and vibratory equipment, and balers and related equipment; and manufactures and sells biodegradable absorbent granules for carriers in as carriers in agricultural, home lawn and garden, professional lawn, turf, and ornamental applications, as well as for oil and grease absorption. The company was formerly known as Thermo Fibertek Inc. and changed its name to Kadant Inc. in July 2001. Kadant Inc. was incorporated in 1991 and is headquartered in Westford, Massachusetts.",3100,"{'maxAge': 1, 'name': 'Mr. Michael J. McKenney', 'age': 60, 'title': 'Exec. VP & CFO', 'yearBorn': 1962, 'fiscalYear': 2022, 'totalPay': 1177078, 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,3,5,3,1693526400,1672444800,86400,2,222.05,223.33,220.12,223.33,222.05,223.33,220.12,223.33,1.16,0.0052,1696982400,0.112399995,0.72,1.217842,23.177336,22.492872,77043,77043,47958,55870,55870,220.67,220.97,1000,800,2585599232,154.19,229.9,2.7759726,215.505,203.08665,1.1,0.0049538394,USD,2691596544,0.119569995,11526447,11705900,584175,516564,1690761600,1693440000,0.0499,0.013990001,0.97871,13.64,0.0584,60.728,3.637202,1672444800,1703980800,1688169600,0.136,111375000,9.53,9.82,2.98,1:5,994896000,2.89,13.76,NYQ,EQUITY,KAI,KAI,Kadant Inc,Kadant Inc.,720801000,America/New_York,EDT,-14400000,220.88,243.0,205.0,217.67,205.0,2.2,buy,3,66725000,5.7,195604000,156872992,1.005,2.043,931420992,22.001,79.759,0.08856,0.16993,388437000,56733376,119404000,0.134,0.106,0.43267,0.21000999,0.17384,USD,
2,One Technology Park Drive,Westford,MA,01886,United States,978 776 2000,https://www.kadant.com,Specialty Industrial Machinery,Industrials,"Kadant Inc. supplies technologies and engineered systems worldwide. It operates through three segments: Flow Control, Industrial Processing, and Material Handling. The Flow Control segment develops, manufactures, and markets fluid-handling systems and equipment, such as rotary joints, syphons, turbulator bars, expansion joints, and engineered steam and condensate systems; and doctoring, cleaning, and filtration systems and related consumables, consisting of doctor systems and holders, doctor blades, shower and fabric-conditioning systems, formation systems, and water-filtration systems. The Industrial Processing segment develops, manufactures, and markets ring and rotary debarkers, stranders, chippers, logging machinery, industrial automation and control systems, recycling and approach flow systems, and virgin pulping process equipment for use in the packaging, tissue, wood products, and alternative fuel industries. The Material Handling segment offers conveying and vibratory equipment, and balers and related equipment; and manufactures and sells biodegradable absorbent granules for carriers in as carriers in agricultural, home lawn and garden, professional lawn, turf, and ornamental applications, as well as for oil and grease absorption. The company was formerly known as Thermo Fibertek Inc. and changed its name to Kadant Inc. in July 2001. Kadant Inc. was incorporated in 1991 and is headquartered in Westford, Massachusetts.",3100,"{'maxAge': 1, 'name': 'Ms. Stacy D. Krause', 'age': 45, 'title': 'Sr. VP, Gen. Counsel & Sec.', 'yearBorn': 1977, 'fiscalYear': 2022, 'totalPay': 867417, 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,3,5,3,1693526400,1672444800,86400,2,222.05,223.33,220.12,223.33,222.05,223.33,220.12,223.33,1.16,0.0052,1696982400,0.112399995,0.72,1.217842,23.177336,22.492872,77043,77043,47958,55870,55870,220.67,220.97,1000,800,2585599232,154.19,229.9,2.7759726,215.505,203.08665,1.1,0.0049538394,USD,2691596544,0.119569995,11526447,11705900,584175,516564,1690761600,1693440000,0.0499,0.013990001,0.97871,13.64,0.0584,60.728,3.637202,1672444800,1703980800,1688169600,0.136,111375000,9.53,9.82,2.98,1:5,994896000,2.89,13.76,NYQ,EQUITY,KAI,KAI,Kadant Inc,Kadant Inc.,720801000,America/New_York,EDT,-14400000,220.88,243.0,205.0,217.67,205.0,2.2,buy,3,66725000,5.7,195604000,156872992,1.005,2.043,931420992,22.001,79.759,0.08856,0.16993,388437000,56733376,119404000,0.134,0.106,0.43267,0.21000999,0.17384,USD,
3,One Technology Park Drive,Westford,MA,01886,United States,978 776 2000,https://www.kadant.com,Specialty Industrial Machinery,Industrials,"Kadant Inc. supplies technologies and engineered systems worldwide. It operates through three segments: Flow Control, Industrial Processing, and Material Handling. The Flow Control segment develops, manufactures, and markets fluid-handling systems and equipment, such as rotary joints, syphons, turbulator bars, expansion joints, and engineered steam and condensate systems; and doctoring, cleaning, and filtration systems and related consumables, consisting of doctor systems and holders, doctor blades, shower and fabric-conditioning systems, formation systems, and water-filtration systems. The Industrial Processing segment develops, manufactures, and markets ring and rotary debarkers, stranders, chippers, logging machinery, industrial automation and control systems, recycling and approach flow systems, and virgin pulping process equipment for use in the packaging, tissue, wood products, and alternative fuel industries. The Material Handling segment offers conveying and vibratory equipment, and balers and related equipment; and manufactures and sells biodegradable absorbent granules for carriers in as carriers in agricultural, home lawn and garden, professional lawn, turf, and ornamental applications, as well as for oil and grease absorption. The company was formerly known as Thermo Fibertek Inc. and changed its name to Kadant Inc. in July 2001. Kadant Inc. was incorporated in 1991 and is headquartered in Westford, Massachusetts.",3100,"{'maxAge': 1, 'name': 'Mr. Michael C. Colwell', 'title': 'VP', 'fiscalYear': 2022, 'totalPay': 897968, 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,3,5,3,1693526400,1672444800,86400,2,222.05,223.33,220.12,223.33,222.05,223.33,220.12,223.33,1.16,0.0052,1696982400,0.112399995,0.72,1.217842,23.177336,22.492872,77043,77043,47958,55870,55870,220.67,220.97,1000,800,2585599232,154.19,229.9,2.7759726,215.505,203.08665,1.1,0.0049538394,USD,2691596544,0.119569995,11526447,11705900,584175,516564,1690761600,1693440000,0.0499,0.013990001,0.97871,13.64,0.0584,60.728,3.637202,1672444800,1703980800,1688169600,0.136,111375000,9.53,9.82,2.98,1:5,994896000,2.89,13.76,NYQ,EQUITY,KAI,KAI,Kadant Inc,Kadant Inc.,720801000,America/New_York,EDT,-14400000,220.88,243.0,205.0,217.67,205.0,2.2,buy,3,66725000,5.7,195604000,156872992,1.005,2.043,931420992,22.001,79.759,0.08856,0.16993,388437000,56733376,119404000,0.134,0.106,0.43267,0.21000999,0.17384,USD,
4,One Technology Park Drive,Westford,MA,01886,United States,978 776 2000,https://www.kadant.com,Specialty Industrial Machinery,Industrials,"Kadant Inc. supplies technologies and engineered systems worldwide. It operates through three segments: Flow Control, Industrial Processing, and Material Handling. The Flow Control segment develops, manufactures, and markets fluid-handling systems and equipment, such as rotary joints, syphons, turbulator bars, expansion joints, and engineered steam and condensate systems; and doctoring, cleaning, and filtration systems and related consumables, consisting of doctor systems and holders, doctor blades, shower and fabric-conditioning systems, formation systems, and water-filtration systems. The Industrial Processing segment develops, manufactures, and markets ring and rotary debarkers, stranders, chippers, logging machinery, industrial automation and control systems, recycling and approach flow systems, and virgin pulping process equipment for use in the packaging, tissue, wood products, and alternative fuel industries. The Material Handling segment offers conveying and vibratory equipment, and balers and related equipment; and manufactures and sells biodegradable absorbent granules for carriers in as carriers in agricultural, home lawn and garden, professional lawn, turf, and ornamental applications, as well as for oil and grease absorption. The company was formerly known as Thermo Fibertek Inc. and changed its name to Kadant Inc. in July 2001. Kadant Inc. was incorporated in 1991 and is headquartered in Westford, Massachusetts.",3100,"{'maxAge': 1, 'name': 'Mr. Fredrik H. Westerhout', 'title': 'VP', 'fiscalYear': 2022, 'totalPay': 833464, 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,3,5,3,1693526400,1672444800,86400,2,222.05,223.33,220.12,223.33,222.05,223.33,220.12,223.33,1.16,0.0052,1696982400,0.112399995,0.72,1.217842,23.177336,22.492872,77043,77043,47958,55870,55870,220.67,220.97,1000,800,2585599232,154.19,229.9,2.7759726,215.505,203.08665,1.1,0.0049538394,USD,2691596544,0.119569995,11526447,11705900,584175,516564,1690761600,1693440000,0.0499,0.013990001,0.97871,13.64,0.0584,60.728,3.637202,1672444800,1703980800,1688169600,0.136,111375000,9.53,9.82,2.98,1:5,994896000,2.89,13.76,NYQ,EQUITY,KAI,KAI,Kadant Inc,Kadant Inc.,720801000,America/New_York,EDT,-14400000,220.88,243.0,205.0,217.67,205.0,2.2,buy,3,66725000,5.7,195604000,156872992,1.005,2.043,931420992,22.001,79.759,0.08856,0.16993,388437000,56733376,119404000,0.134,0.106,0.43267,0.21000999,0.17384,USD,
5,One Technology Park Drive,Westford,MA,01886,United States,978 776 2000,https://www.kadant.com,Specialty Industrial Machinery,Industrials,"Kadant Inc. supplies technologies and engineered systems worldwide. It operates through three segments: Flow Control, Industrial Processing, and Material Handling. The Flow Control segment develops, manufactures, and markets fluid-handling systems and equipment, such as rotary joints, syphons, turbulator bars, expansion joints, and engineered steam and condensate systems; and doctoring, cleaning, and filtration systems and related consumables, consisting of doctor systems and holders, doctor blades, shower and fabric-conditioning systems, formation systems, and water-filtration systems. The Industrial Processing segment develops, manufactures, and markets ring and rotary debarkers, stranders, chippers, logging machinery, industrial automation and control systems, recycling and approach flow systems, and virgin pulping process equipment for use in the packaging, tissue, wood products, and alternative fuel industries. The Material Handling segment offers conveying and vibratory equipment, and balers and related equipment; and manufactures and sells biodegradable absorbent granules for carriers in as carriers in agricultural, home lawn and garden, professional lawn, turf, and ornamental applications, as well as for oil and grease absorption. The company was formerly known as Thermo Fibertek Inc. and changed its name to Kadant Inc. in July 2001. Kadant Inc. was incorporated in 1991 and is headquartered in Westford, Massachusetts.",3100,"{'maxAge': 1, 'name': 'Ms. Deborah S. Selwood', 'age': 53, 'title': 'Sr. VP & Chief Accounting Officer', 'yearBorn': 1969, 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,3,5,3,1693526400,1672444800,86400,2,222.05,223.33,220.12,223.33,222.05,223.33,220.12,223.33,1.16,0.0052,1696982400,0.112399995,0.72,1.217842,23.177336,22.492872,77043,77043,47958,55870,55870,220.67,220.97,1000,800,2585599232,154.19,229.9,2.7759726,215.505,203.08665,1.1,0.0049538394,USD,2691596544,0.119569995,11526447,11705900,584175,516564,1690761600,1693440000,0.0499,0.013990001,0.97871,13.64,0.0584,60.728,3.637202,1672444800,1703980800,1688169600,0.136,111375000,9.53,9.82,2.98,1:5,994896000,2.89,13.76,NYQ,EQUITY,KAI,KAI,Kadant Inc,Kadant Inc.,720801000,America/New_York,EDT,-14400000,220.88,243.0,205.0,217.67,205.0,2.2,buy,3,66725000,5.7,195604000,156872992,1.005,2.043,931420992,22.001,79.759,0.08856,0.16993,388437000,56733376,119404000,0.134,0.106,0.43267,0.21000999,0.17384,USD,
6,One Technology Park Drive,Westford,MA,01886,United States,978 776 2000,https://www.kadant.com,Specialty Industrial Machinery,Industrials,"Kadant Inc. supplies technologies and engineered systems worldwide. It operates through three segments: Flow Control, Industrial Processing, and Material Handling. The Flow Control segment develops, manufactures, and markets fluid-handling systems and equipment, such as rotary joints, syphons, turbulator bars, expansion joints, and engineered steam and condensate systems; and doctoring, cleaning, and filtration systems and related consumables, consisting of doctor systems and holders, doctor blades, shower and fabric-conditioning systems, formation systems, and water-filtration systems. The Industrial Processing segment develops, manufactures, and markets ring and rotary debarkers, stranders, chippers, logging machinery, industrial automation and control systems, recycling and approach flow systems, and virgin pulping process equipment for use in the packaging, tissue, wood products, and alternative fuel industries. The Material Handling segment offers conveying and vibratory equipment, and balers and related equipment; and manufactures and sells biodegradable absorbent granules for carriers in as carriers in agricultural, home lawn and garden, professional lawn, turf, and ornamental applications, as well as for oil and grease absorption. The company was formerly known as Thermo Fibertek Inc. and changed its name to Kadant Inc. in July 2001. Kadant Inc. was incorporated in 1991 and is headquartered in Westford, Massachusetts.",3100,"{'maxAge': 1, 'name': 'Ms. Dara F. Mitchell', 'age': 53, 'title': 'Sr. VP of Corp. Devel.', 'yearBorn': 1969, 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,3,5,3,1693526400,1672444800,86400,2,222.05,223.33,220.12,223.33,222.05,223.33,220.12,223.33,1.16,0.0052,1696982400,0.112399995,0.72,1.217842,23.177336,22.492872,77043,77043,47958,55870,55870,220.67,220.97,1000,800,2585599232,154.19,229.9,2.7759726,215.505,203.08665,1.1,0.0049538394,USD,2691596544,0.119569995,11526447,11705900,584175,516564,1690761600,1693440000,0.0499,0.013990001,0.97871,13.64,0.0584,60.728,3.637202,1672444800,1703980800,1688169600,0.136,111375000,9.53,9.82,2.98,1:5,994896000,2.89,13.76,NYQ,EQUITY,KAI,KAI,Kadant Inc,Kadant Inc.,720801000,America/New_York,EDT,-14400000,220.88,243.0,205.0,217.67,205.0,2.2,buy,3,66725000,5.7,195604000,156872992,1.005,2.043,931420992,22.001,79.759,0.08856,0.16993,388437000,56733376,119404000,0.134,0.106,0.43267,0.21000999,0.17384,USD,
7,One Technology Park Drive,Westford,MA,01886,United States,978 776 2000,https://www.kadant.com,Specialty Industrial Machinery,Industrials,"Kadant Inc. supplies technologies and engineered systems worldwide. It operates through three segments: Flow Control, Industrial Processing, and Material Handling. The Flow Control segment develops, manufactures, and markets fluid-handling systems and equipment, such as rotary joints, syphons, turbulator bars, expansion joints, and engineered steam and condensate systems; and doctoring, cleaning, and filtration systems and related consumables, consisting of doctor systems and holders, doctor blades, shower and fabric-conditioning systems, formation systems, and water-filtration systems. The Industrial Processing segment develops, manufactures, and markets ring and rotary debarkers, stranders, chippers, logging machinery, industrial automation and control systems, recycling and approach flow systems, and virgin pulping process equipment for use in the packaging, tissue, wood products, and alternative fuel industries. The Material Handling segment offers conveying and vibratory equipment, and balers and related equipment; and manufactures and sells biodegradable absorbent granules for carriers in as carriers in agricultural, home lawn and garden, professional lawn, turf, and ornamental applications, as well as for oil and grease absorption. The company was formerly known as Thermo Fibertek Inc. and changed its name to Kadant Inc. in July 2001. Kadant Inc. was incorporated in 1991 and is headquartered in Westford, Massachusetts.",3100,"{'maxAge': 1, 'name': 'Mr. Wesley A. Martz', 'title': 'VP of Marketing', 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,3,5,3,1693526400,1672444800,86400,2,222.05,223.33,220.12,223.33,222.05,223.33,220.12,223.33,1.16,0.0052,1696982400,0.112399995,0.72,1.217842,23.177336,22.492872,77043,77043,47958,55870,55870,220.67,220.97,1000,800,2585599232,154.19,229.9,2.7759726,215.505,203.08665,1.1,0.0049538394,USD,2691596544,0.119569995,11526447,11705900,584175,516564,1690761600,1693440000,0.0499,0.013990001,0.97871,13.64,0.0584,60.728,3.637202,1672444800,1703980800,1688169600,0.136,111375000,9.53,9.82,2.98,1:5,994896000,2.89,13.76,NYQ,EQUITY,KAI,KAI,Kadant Inc,Kadant Inc.,720801000,America/New_York,EDT,-14400000,220.88,243.0,205.0,217.67,205.0,2.2,buy,3,66725000,5.7,195604000,156872992,1.005,2.043,931420992,22.001,79.759,0.08856,0.16993,388437000,56733376,119404000,0.134,0.106,0.43267,0.21000999,0.17384,USD,
8,One Technology Park Drive,Westford,MA,01886,United States,978 776 2000,https://www.kadant.com,Specialty Industrial Machinery,Industrials,"Kadant Inc. supplies technologies and engineered systems worldwide. It operates through three segments: Flow Control, Industrial Processing, and Material Handling. The Flow Control segment develops, manufactures, and markets fluid-handling systems and equipment, such as rotary joints, syphons, turbulator bars, expansion joints, and engineered steam and condensate systems; and doctoring, cleaning, and filtration systems and related consumables, consisting of doctor systems and holders, doctor blades, shower and fabric-conditioning systems, formation systems, and water-filtration systems. The Industrial Processing segment develops, manufactures, and markets ring and rotary debarkers, stranders, chippers, logging machinery, industrial automation and control systems, recycling and approach flow systems, and virgin pulping process equipment for use in the packaging, tissue, wood products, and alternative fuel industries. The Material Handling segment offers conveying and vibratory equipment, and balers and related equipment; and manufactures and sells biodegradable absorbent granules for carriers in as carriers in agricultural, home lawn and garden, professional lawn, turf, and ornamental applications, as well as for oil and grease absorption. The company was formerly known as Thermo Fibertek Inc. and changed its name to Kadant Inc. in July 2001. Kadant Inc. was incorporated in 1991 and is headquartered in Westford, Massachusetts.",3100,"{'maxAge': 1, 'name': 'Mr. Peter J. Flynn', 'age': 71, 'title': 'Sr. VP', 'yearBorn': 1951, 'fiscalYear': 2021, 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,3,5,3,1693526400,1672444800,86400,2,222.05,223.33,220.12,223.33,222.05,223.33,220.12,223.33,1.16,0.0052,1696982400,0.112399995,0.72,1.217842,23.177336,22.492872,77043,77043,47958,55870,55870,220.67,220.97,1000,800,2585599232,154.19,229.9,2.7759726,215.505,203.08665,1.1,0.0049538394,USD,2691596544,0.119569995,11526447,11705900,584175,516564,1690761600,1693440000,0.0499,0.013990001,0.97871,13.64,0.0584,60.728,3.637202,1672444800,1703980800,1688169600,0.136,111375000,9.53,9.82,2.98,1:5,994896000,2.89,13.76,NYQ,EQUITY,KAI,KAI,Kadant Inc,Kadant Inc.,720801000,America/New_York,EDT,-14400000,220.88,243.0,205.0,217.67,205.0,2.2,buy,3,66725000,5.7,195604000,156872992,1.005,2.043,931420992,22.001,79.759,0.08856,0.16993,388437000,56733376,119404000,0.134,0.106,0.43267,0.21000999,0.17384,USD,
9,One Technology Park Drive,Westford,MA,01886,United States,978 776 2000,https://www.kadant.com,Specialty Industrial Machinery,Industrials,"Kadant Inc. supplies technologies and engineered systems worldwide. It operates through three segments: Flow Control, Industrial Processing, and Material Handling. The Flow Control segment develops, manufactures, and markets fluid-handling systems and equipment, such as rotary joints, syphons, turbulator bars, expansion joints, and engineered steam and condensate systems; and doctoring, cleaning, and filtration systems and related consumables, consisting of doctor systems and holders, doctor blades, shower and fabric-conditioning systems, formation systems, and water-filtration systems. The Industrial Processing segment develops, manufactures, and markets ring and rotary debarkers, stranders, chippers, logging machinery, industrial automation and control systems, recycling and approach flow systems, and virgin pulping process equipment for use in the packaging, tissue, wood products, and alternative fuel industries. The Material Handling segment offers conveying and vibratory equipment, and balers and related equipment; and manufactures and sells biodegradable absorbent granules for carriers in as carriers in agricultural, home lawn and garden, professional lawn, turf, and ornamental applications, as well as for oil and grease absorption. The company was formerly known as Thermo Fibertek Inc. and changed its name to Kadant Inc. in July 2001. Kadant Inc. was incorporated in 1991 and is headquartered in Westford, Massachusetts.",3100,"{'maxAge': 1, 'name': 'Mr. Orrin H. Bean', 'title': 'Treasurer', 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,3,5,3,1693526400,1672444800,86400,2,222.05,223.33,220.12,223.33,222.05,223.33,220.12,223.33,1.16,0.0052,1696982400,0.112399995,0.72,1.217842,23.177336,22.492872,77043,77043,47958,55870,55870,220.67,220.97,1000,800,2585599232,154.19,229.9,2.7759726,215.505,203.08665,1.1,0.0049538394,USD,2691596544,0.119569995,11526447,11705900,584175,516564,1690761600,1693440000,0.0499,0.013990001,0.97871,13.64,0.0584,60.728,3.637202,1672444800,1703980800,1688169600,0.136,111375000,9.53,9.82,2.98,1:5,994896000,2.89,13.76,NYQ,EQUITY,KAI,KAI,Kadant Inc,Kadant Inc.,720801000,America/New_York,EDT,-14400000,220.88,243.0,205.0,217.67,205.0,2.2,buy,3,66725000,5.7,195604000,156872992,1.005,2.043,931420992,22.001,79.759,0.08856,0.16993,388437000,56733376,119404000,0.134,0.106,0.43267,0.21000999,0.17384,USD,
