,address1,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,debtToEquity,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,45 Ventnor Avenue,West Perth,WA,6005,Australia,61 8 9389 4494,61 8 9389 4494,https://www.kingsrosemining.com.au,Gold,Basic Materials,"Kingsrose Mining Limited operates as an exploration company in Norway, Finland, and Indonesia. It explores for PGE-nickel-copper, gold, and silver properties. The company holds a 100% interest in the Penikat Project located in western Finland and the Porsanger project in Norway. It also holds 85% interest in the Way Linggo project located in South Sumatra, Indonesia. The company was incorporated in 2005 and is based in West Perth, Australia.","{'maxAge': 1, 'name': 'Mr. Fabian Nikolaus Baker B.Sc.', 'age': 35, 'title': 'MD & Director', 'yearBorn': 1987, 'fiscalYear': 2022, 'totalPay': 306565, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.057,0.057,0.056,0.057,0.057,0.057,0.056,0.057,1339545600,0.0,0.447072,487166,487166,680464,538968,538968,0.057,0.063,42894036,0.047,0.079,0.06592,0.0643325,0.0,0.0,AUD,6421775,0.0,423077934,752526976,0.3477,0.010629999,0.054,1.0555556,1656547200,1688083200,1672444800,-11917964,-0.01,-0.446,ASX,EQUITY,KRM.AX,KRM.AX,KINGSROSE FPO,Kingsrose Mining Limited,1196982000,Australia/Sydney,AEST,36000000,0.057,none,36714684,0.049,-14408476,242447,48.886,49.002,0.593,-0.24654,-0.27521,-5905641,-2926185,0.0,0.0,0.0,AUD,
1,45 Ventnor Avenue,West Perth,WA,6005,Australia,61 8 9389 4494,61 8 9389 4494,https://www.kingsrosemining.com.au,Gold,Basic Materials,"Kingsrose Mining Limited operates as an exploration company in Norway, Finland, and Indonesia. It explores for PGE-nickel-copper, gold, and silver properties. The company holds a 100% interest in the Penikat Project located in western Finland and the Porsanger project in Norway. It also holds 85% interest in the Way Linggo project located in South Sumatra, Indonesia. The company was incorporated in 2005 and is based in West Perth, Australia.","{'maxAge': 1, 'name': 'Mr. Mark  Smith ; Maicd', 'title': 'Chief Financial Officer', 'fiscalYear': 2022, 'totalPay': 250000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.057,0.057,0.056,0.057,0.057,0.057,0.056,0.057,1339545600,0.0,0.447072,487166,487166,680464,538968,538968,0.057,0.063,42894036,0.047,0.079,0.06592,0.0643325,0.0,0.0,AUD,6421775,0.0,423077934,752526976,0.3477,0.010629999,0.054,1.0555556,1656547200,1688083200,1672444800,-11917964,-0.01,-0.446,ASX,EQUITY,KRM.AX,KRM.AX,KINGSROSE FPO,Kingsrose Mining Limited,1196982000,Australia/Sydney,AEST,36000000,0.057,none,36714684,0.049,-14408476,242447,48.886,49.002,0.593,-0.24654,-0.27521,-5905641,-2926185,0.0,0.0,0.0,AUD,
2,45 Ventnor Avenue,West Perth,WA,6005,Australia,61 8 9389 4494,61 8 9389 4494,https://www.kingsrosemining.com.au,Gold,Basic Materials,"Kingsrose Mining Limited operates as an exploration company in Norway, Finland, and Indonesia. It explores for PGE-nickel-copper, gold, and silver properties. The company holds a 100% interest in the Penikat Project located in western Finland and the Porsanger project in Norway. It also holds 85% interest in the Way Linggo project located in South Sumatra, Indonesia. The company was incorporated in 2005 and is based in West Perth, Australia.","{'maxAge': 1, 'name': 'Mr. Ivan  Kusnadi', 'title': 'Pres Director PTNM', 'fiscalYear': 2022, 'totalPay': 881133, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.057,0.057,0.056,0.057,0.057,0.057,0.056,0.057,1339545600,0.0,0.447072,487166,487166,680464,538968,538968,0.057,0.063,42894036,0.047,0.079,0.06592,0.0643325,0.0,0.0,AUD,6421775,0.0,423077934,752526976,0.3477,0.010629999,0.054,1.0555556,1656547200,1688083200,1672444800,-11917964,-0.01,-0.446,ASX,EQUITY,KRM.AX,KRM.AX,KINGSROSE FPO,Kingsrose Mining Limited,1196982000,Australia/Sydney,AEST,36000000,0.057,none,36714684,0.049,-14408476,242447,48.886,49.002,0.593,-0.24654,-0.27521,-5905641,-2926185,0.0,0.0,0.0,AUD,
3,45 Ventnor Avenue,West Perth,WA,6005,Australia,61 8 9389 4494,61 8 9389 4494,https://www.kingsrosemining.com.au,Gold,Basic Materials,"Kingsrose Mining Limited operates as an exploration company in Norway, Finland, and Indonesia. It explores for PGE-nickel-copper, gold, and silver properties. The company holds a 100% interest in the Penikat Project located in western Finland and the Porsanger project in Norway. It also holds 85% interest in the Way Linggo project located in South Sumatra, Indonesia. The company was incorporated in 2005 and is based in West Perth, Australia.","{'maxAge': 1, 'name': 'Ms. Martine  Osmand', 'title': 'People, Culture & Investor Relations Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.057,0.057,0.056,0.057,0.057,0.057,0.056,0.057,1339545600,0.0,0.447072,487166,487166,680464,538968,538968,0.057,0.063,42894036,0.047,0.079,0.06592,0.0643325,0.0,0.0,AUD,6421775,0.0,423077934,752526976,0.3477,0.010629999,0.054,1.0555556,1656547200,1688083200,1672444800,-11917964,-0.01,-0.446,ASX,EQUITY,KRM.AX,KRM.AX,KINGSROSE FPO,Kingsrose Mining Limited,1196982000,Australia/Sydney,AEST,36000000,0.057,none,36714684,0.049,-14408476,242447,48.886,49.002,0.593,-0.24654,-0.27521,-5905641,-2926185,0.0,0.0,0.0,AUD,
4,45 Ventnor Avenue,West Perth,WA,6005,Australia,61 8 9389 4494,61 8 9389 4494,https://www.kingsrosemining.com.au,Gold,Basic Materials,"Kingsrose Mining Limited operates as an exploration company in Norway, Finland, and Indonesia. It explores for PGE-nickel-copper, gold, and silver properties. The company holds a 100% interest in the Penikat Project located in western Finland and the Porsanger project in Norway. It also holds 85% interest in the Way Linggo project located in South Sumatra, Indonesia. The company was incorporated in 2005 and is based in West Perth, Australia.","{'maxAge': 1, 'name': 'Mr. Stuart  Bodey', 'title': 'Consultant', 'fiscalYear': 2020, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.057,0.057,0.056,0.057,0.057,0.057,0.056,0.057,1339545600,0.0,0.447072,487166,487166,680464,538968,538968,0.057,0.063,42894036,0.047,0.079,0.06592,0.0643325,0.0,0.0,AUD,6421775,0.0,423077934,752526976,0.3477,0.010629999,0.054,1.0555556,1656547200,1688083200,1672444800,-11917964,-0.01,-0.446,ASX,EQUITY,KRM.AX,KRM.AX,KINGSROSE FPO,Kingsrose Mining Limited,1196982000,Australia/Sydney,AEST,36000000,0.057,none,36714684,0.049,-14408476,242447,48.886,49.002,0.593,-0.24654,-0.27521,-5905641,-2926185,0.0,0.0,0.0,AUD,
5,45 Ventnor Avenue,West Perth,WA,6005,Australia,61 8 9389 4494,61 8 9389 4494,https://www.kingsrosemining.com.au,Gold,Basic Materials,"Kingsrose Mining Limited operates as an exploration company in Norway, Finland, and Indonesia. It explores for PGE-nickel-copper, gold, and silver properties. The company holds a 100% interest in the Penikat Project located in western Finland and the Porsanger project in Norway. It also holds 85% interest in the Way Linggo project located in South Sumatra, Indonesia. The company was incorporated in 2005 and is based in West Perth, Australia.","{'maxAge': 1, 'name': 'Mr. Andrew J. Tunningley MAuslMM(CP), MGeol (Hons), MSEG', 'age': 40, 'title': 'Head of Exploration', 'yearBorn': 1982, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.057,0.057,0.056,0.057,0.057,0.057,0.056,0.057,1339545600,0.0,0.447072,487166,487166,680464,538968,538968,0.057,0.063,42894036,0.047,0.079,0.06592,0.0643325,0.0,0.0,AUD,6421775,0.0,423077934,752526976,0.3477,0.010629999,0.054,1.0555556,1656547200,1688083200,1672444800,-11917964,-0.01,-0.446,ASX,EQUITY,KRM.AX,KRM.AX,KINGSROSE FPO,Kingsrose Mining Limited,1196982000,Australia/Sydney,AEST,36000000,0.057,none,36714684,0.049,-14408476,242447,48.886,49.002,0.593,-0.24654,-0.27521,-5905641,-2926185,0.0,0.0,0.0,AUD,
6,45 Ventnor Avenue,West Perth,WA,6005,Australia,61 8 9389 4494,61 8 9389 4494,https://www.kingsrosemining.com.au,Gold,Basic Materials,"Kingsrose Mining Limited operates as an exploration company in Norway, Finland, and Indonesia. It explores for PGE-nickel-copper, gold, and silver properties. The company holds a 100% interest in the Penikat Project located in western Finland and the Porsanger project in Norway. It also holds 85% interest in the Way Linggo project located in South Sumatra, Indonesia. The company was incorporated in 2005 and is based in West Perth, Australia.","{'maxAge': 1, 'name': 'Mr. Vesa  Tuhkanen', 'title': 'Head of Finnish Exploration', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.057,0.057,0.056,0.057,0.057,0.057,0.056,0.057,1339545600,0.0,0.447072,487166,487166,680464,538968,538968,0.057,0.063,42894036,0.047,0.079,0.06592,0.0643325,0.0,0.0,AUD,6421775,0.0,423077934,752526976,0.3477,0.010629999,0.054,1.0555556,1656547200,1688083200,1672444800,-11917964,-0.01,-0.446,ASX,EQUITY,KRM.AX,KRM.AX,KINGSROSE FPO,Kingsrose Mining Limited,1196982000,Australia/Sydney,AEST,36000000,0.057,none,36714684,0.049,-14408476,242447,48.886,49.002,0.593,-0.24654,-0.27521,-5905641,-2926185,0.0,0.0,0.0,AUD,
7,45 Ventnor Avenue,West Perth,WA,6005,Australia,61 8 9389 4494,61 8 9389 4494,https://www.kingsrosemining.com.au,Gold,Basic Materials,"Kingsrose Mining Limited operates as an exploration company in Norway, Finland, and Indonesia. It explores for PGE-nickel-copper, gold, and silver properties. The company holds a 100% interest in the Penikat Project located in western Finland and the Porsanger project in Norway. It also holds 85% interest in the Way Linggo project located in South Sumatra, Indonesia. The company was incorporated in 2005 and is based in West Perth, Australia.","{'maxAge': 1, 'name': 'Mr. Scott  Spurrier', 'title': 'Sr. Geologist', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.057,0.057,0.056,0.057,0.057,0.057,0.056,0.057,1339545600,0.0,0.447072,487166,487166,680464,538968,538968,0.057,0.063,42894036,0.047,0.079,0.06592,0.0643325,0.0,0.0,AUD,6421775,0.0,423077934,752526976,0.3477,0.010629999,0.054,1.0555556,1656547200,1688083200,1672444800,-11917964,-0.01,-0.446,ASX,EQUITY,KRM.AX,KRM.AX,KINGSROSE FPO,Kingsrose Mining Limited,1196982000,Australia/Sydney,AEST,36000000,0.057,none,36714684,0.049,-14408476,242447,48.886,49.002,0.593,-0.24654,-0.27521,-5905641,-2926185,0.0,0.0,0.0,AUD,
8,45 Ventnor Avenue,West Perth,WA,6005,Australia,61 8 9389 4494,61 8 9389 4494,https://www.kingsrosemining.com.au,Gold,Basic Materials,"Kingsrose Mining Limited operates as an exploration company in Norway, Finland, and Indonesia. It explores for PGE-nickel-copper, gold, and silver properties. The company holds a 100% interest in the Penikat Project located in western Finland and the Porsanger project in Norway. It also holds 85% interest in the Way Linggo project located in South Sumatra, Indonesia. The company was incorporated in 2005 and is based in West Perth, Australia.","{'maxAge': 1, 'name': 'Mr. Graham  Farrer', 'title': 'Head of Sustainability', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.057,0.057,0.056,0.057,0.057,0.057,0.056,0.057,1339545600,0.0,0.447072,487166,487166,680464,538968,538968,0.057,0.063,42894036,0.047,0.079,0.06592,0.0643325,0.0,0.0,AUD,6421775,0.0,423077934,752526976,0.3477,0.010629999,0.054,1.0555556,1656547200,1688083200,1672444800,-11917964,-0.01,-0.446,ASX,EQUITY,KRM.AX,KRM.AX,KINGSROSE FPO,Kingsrose Mining Limited,1196982000,Australia/Sydney,AEST,36000000,0.057,none,36714684,0.049,-14408476,242447,48.886,49.002,0.593,-0.24654,-0.27521,-5905641,-2926185,0.0,0.0,0.0,AUD,
9,45 Ventnor Avenue,West Perth,WA,6005,Australia,61 8 9389 4494,61 8 9389 4494,https://www.kingsrosemining.com.au,Gold,Basic Materials,"Kingsrose Mining Limited operates as an exploration company in Norway, Finland, and Indonesia. It explores for PGE-nickel-copper, gold, and silver properties. The company holds a 100% interest in the Penikat Project located in western Finland and the Porsanger project in Norway. It also holds 85% interest in the Way Linggo project located in South Sumatra, Indonesia. The company was incorporated in 2005 and is based in West Perth, Australia.","{'maxAge': 1, 'name': 'Ms. Erlyn  Dawson', 'title': 'Joint Company Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.057,0.057,0.056,0.057,0.057,0.057,0.056,0.057,1339545600,0.0,0.447072,487166,487166,680464,538968,538968,0.057,0.063,42894036,0.047,0.079,0.06592,0.0643325,0.0,0.0,AUD,6421775,0.0,423077934,752526976,0.3477,0.010629999,0.054,1.0555556,1656547200,1688083200,1672444800,-11917964,-0.01,-0.446,ASX,EQUITY,KRM.AX,KRM.AX,KINGSROSE FPO,Kingsrose Mining Limited,1196982000,Australia/Sydney,AEST,36000000,0.057,none,36714684,0.049,-14408476,242447,48.886,49.002,0.593,-0.24654,-0.27521,-5905641,-2926185,0.0,0.0,0.0,AUD,
