,address1,address2,city,state,zip,country,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Mario Pani 200,"Santa Fe, Cuajimalpa",Mexico City,DF,05348,Mexico,https://www.liverpool.com.mx,Department Stores,Consumer Cyclical,"El Puerto de Liverpool, S. A. B. de C. V., together with its subsidiaries, operates a chain of department stores in Mexico. The company operates through Liverpool Commercial, Suburbia Commercial, Real Estate, and Credit segments. Its stores offer various products, such as clothes and accessories for men, women, and children; household goods; furniture; cosmetics; and other consumer products. The company is also involved in the operation of liverpool.com.mx and suburbia.com.mx websites. In addition, it owns and leases shopping malls under the Galerías name; and provides credit cards under the Liverpool and Liverpool Premium Card name, as well as Suburbia and Suburbia VISA credit cards. Further, the company operates boutiques under the Banana Republic, GAP, Pottery Barn, West Elm, and Williams-Sonoma names. The company was founded in 1847 and is headquartered in Mexico City, Mexico.",79181,"{'maxAge': 1, 'name': 'Graciano F. Guichard G.', 'title': 'Gen. Director, Director & Member of Patrimony Board', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,110.0,100.0,100.0,100.0,110.0,100.0,100.0,100.0,4.31,0.0392,1684886400,0.2956,1.92,0.722074,8.984726,11.086473,2057,2057,285,202,202,100.2,109.0,300000,317100,134220005376,97.1,122.0,0.71921325,110.7108,114.45935,0.0,0.0,MXN,173444235264,0.0939,1342196100,1342200064,0.13614,0.019609999,100.837,0.9916995,1672444800,1703980800,1688083200,0.051,17524326400,11.13,9.02,1.58,0.929,5.826,MEX,EQUITY,LIVEPOL1.MX,LIVEPOL1.MX,EL PUERTO DE LIVERPOOL SAB DE C,"El Puerto de Liverpool, S.A.B. de C.V.",947251800,America/Mexico_City,CDT,-18000000,100.0,116.0,107.0,111.5,111.5,2.0,buy,2,16074865664,11.977,29770917888,41600188416,1.242,1.945,186620592128,30.674,138.986,0.07422,0.13551,65335804000,5636760576,17357971456,0.048,0.118,0.37233,0.15953,0.14368,MXN,
1,Mario Pani 200,"Santa Fe, Cuajimalpa",Mexico City,DF,05348,Mexico,https://www.liverpool.com.mx,Department Stores,Consumer Cyclical,"El Puerto de Liverpool, S. A. B. de C. V., together with its subsidiaries, operates a chain of department stores in Mexico. The company operates through Liverpool Commercial, Suburbia Commercial, Real Estate, and Credit segments. Its stores offer various products, such as clothes and accessories for men, women, and children; household goods; furniture; cosmetics; and other consumer products. The company is also involved in the operation of liverpool.com.mx and suburbia.com.mx websites. In addition, it owns and leases shopping malls under the Galerías name; and provides credit cards under the Liverpool and Liverpool Premium Card name, as well as Suburbia and Suburbia VISA credit cards. Further, the company operates boutiques under the Banana Republic, GAP, Pottery Barn, West Elm, and Williams-Sonoma names. The company was founded in 1847 and is headquartered in Mexico City, Mexico.",79181,"{'maxAge': 1, 'name': 'Mr. Enrique  Guijosa', 'title': 'CFO & Admin. Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,110.0,100.0,100.0,100.0,110.0,100.0,100.0,100.0,4.31,0.0392,1684886400,0.2956,1.92,0.722074,8.984726,11.086473,2057,2057,285,202,202,100.2,109.0,300000,317100,134220005376,97.1,122.0,0.71921325,110.7108,114.45935,0.0,0.0,MXN,173444235264,0.0939,1342196100,1342200064,0.13614,0.019609999,100.837,0.9916995,1672444800,1703980800,1688083200,0.051,17524326400,11.13,9.02,1.58,0.929,5.826,MEX,EQUITY,LIVEPOL1.MX,LIVEPOL1.MX,EL PUERTO DE LIVERPOOL SAB DE C,"El Puerto de Liverpool, S.A.B. de C.V.",947251800,America/Mexico_City,CDT,-18000000,100.0,116.0,107.0,111.5,111.5,2.0,buy,2,16074865664,11.977,29770917888,41600188416,1.242,1.945,186620592128,30.674,138.986,0.07422,0.13551,65335804000,5636760576,17357971456,0.048,0.118,0.37233,0.15953,0.14368,MXN,
2,Mario Pani 200,"Santa Fe, Cuajimalpa",Mexico City,DF,05348,Mexico,https://www.liverpool.com.mx,Department Stores,Consumer Cyclical,"El Puerto de Liverpool, S. A. B. de C. V., together with its subsidiaries, operates a chain of department stores in Mexico. The company operates through Liverpool Commercial, Suburbia Commercial, Real Estate, and Credit segments. Its stores offer various products, such as clothes and accessories for men, women, and children; household goods; furniture; cosmetics; and other consumer products. The company is also involved in the operation of liverpool.com.mx and suburbia.com.mx websites. In addition, it owns and leases shopping malls under the Galerías name; and provides credit cards under the Liverpool and Liverpool Premium Card name, as well as Suburbia and Suburbia VISA credit cards. Further, the company operates boutiques under the Banana Republic, GAP, Pottery Barn, West Elm, and Williams-Sonoma names. The company was founded in 1847 and is headquartered in Mexico City, Mexico.",79181,"{'maxAge': 1, 'name': 'Mr. Gerardo  Muñoz', 'title': 'Chief Information & Technology Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,110.0,100.0,100.0,100.0,110.0,100.0,100.0,100.0,4.31,0.0392,1684886400,0.2956,1.92,0.722074,8.984726,11.086473,2057,2057,285,202,202,100.2,109.0,300000,317100,134220005376,97.1,122.0,0.71921325,110.7108,114.45935,0.0,0.0,MXN,173444235264,0.0939,1342196100,1342200064,0.13614,0.019609999,100.837,0.9916995,1672444800,1703980800,1688083200,0.051,17524326400,11.13,9.02,1.58,0.929,5.826,MEX,EQUITY,LIVEPOL1.MX,LIVEPOL1.MX,EL PUERTO DE LIVERPOOL SAB DE C,"El Puerto de Liverpool, S.A.B. de C.V.",947251800,America/Mexico_City,CDT,-18000000,100.0,116.0,107.0,111.5,111.5,2.0,buy,2,16074865664,11.977,29770917888,41600188416,1.242,1.945,186620592128,30.674,138.986,0.07422,0.13551,65335804000,5636760576,17357971456,0.048,0.118,0.37233,0.15953,0.14368,MXN,
3,Mario Pani 200,"Santa Fe, Cuajimalpa",Mexico City,DF,05348,Mexico,https://www.liverpool.com.mx,Department Stores,Consumer Cyclical,"El Puerto de Liverpool, S. A. B. de C. V., together with its subsidiaries, operates a chain of department stores in Mexico. The company operates through Liverpool Commercial, Suburbia Commercial, Real Estate, and Credit segments. Its stores offer various products, such as clothes and accessories for men, women, and children; household goods; furniture; cosmetics; and other consumer products. The company is also involved in the operation of liverpool.com.mx and suburbia.com.mx websites. In addition, it owns and leases shopping malls under the Galerías name; and provides credit cards under the Liverpool and Liverpool Premium Card name, as well as Suburbia and Suburbia VISA credit cards. Further, the company operates boutiques under the Banana Republic, GAP, Pottery Barn, West Elm, and Williams-Sonoma names. The company was founded in 1847 and is headquartered in Mexico City, Mexico.",79181,"{'maxAge': 1, 'name': 'Mr. Jose Antonio  Diego', 'title': 'Investor Relations Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,110.0,100.0,100.0,100.0,110.0,100.0,100.0,100.0,4.31,0.0392,1684886400,0.2956,1.92,0.722074,8.984726,11.086473,2057,2057,285,202,202,100.2,109.0,300000,317100,134220005376,97.1,122.0,0.71921325,110.7108,114.45935,0.0,0.0,MXN,173444235264,0.0939,1342196100,1342200064,0.13614,0.019609999,100.837,0.9916995,1672444800,1703980800,1688083200,0.051,17524326400,11.13,9.02,1.58,0.929,5.826,MEX,EQUITY,LIVEPOL1.MX,LIVEPOL1.MX,EL PUERTO DE LIVERPOOL SAB DE C,"El Puerto de Liverpool, S.A.B. de C.V.",947251800,America/Mexico_City,CDT,-18000000,100.0,116.0,107.0,111.5,111.5,2.0,buy,2,16074865664,11.977,29770917888,41600188416,1.242,1.945,186620592128,30.674,138.986,0.07422,0.13551,65335804000,5636760576,17357971456,0.048,0.118,0.37233,0.15953,0.14368,MXN,
4,Mario Pani 200,"Santa Fe, Cuajimalpa",Mexico City,DF,05348,Mexico,https://www.liverpool.com.mx,Department Stores,Consumer Cyclical,"El Puerto de Liverpool, S. A. B. de C. V., together with its subsidiaries, operates a chain of department stores in Mexico. The company operates through Liverpool Commercial, Suburbia Commercial, Real Estate, and Credit segments. Its stores offer various products, such as clothes and accessories for men, women, and children; household goods; furniture; cosmetics; and other consumer products. The company is also involved in the operation of liverpool.com.mx and suburbia.com.mx websites. In addition, it owns and leases shopping malls under the Galerías name; and provides credit cards under the Liverpool and Liverpool Premium Card name, as well as Suburbia and Suburbia VISA credit cards. Further, the company operates boutiques under the Banana Republic, GAP, Pottery Barn, West Elm, and Williams-Sonoma names. The company was founded in 1847 and is headquartered in Mexico City, Mexico.",79181,"{'maxAge': 1, 'name': 'Jacobo  Apichoto', 'title': 'Legal & Compliance Director', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,110.0,100.0,100.0,100.0,110.0,100.0,100.0,100.0,4.31,0.0392,1684886400,0.2956,1.92,0.722074,8.984726,11.086473,2057,2057,285,202,202,100.2,109.0,300000,317100,134220005376,97.1,122.0,0.71921325,110.7108,114.45935,0.0,0.0,MXN,173444235264,0.0939,1342196100,1342200064,0.13614,0.019609999,100.837,0.9916995,1672444800,1703980800,1688083200,0.051,17524326400,11.13,9.02,1.58,0.929,5.826,MEX,EQUITY,LIVEPOL1.MX,LIVEPOL1.MX,EL PUERTO DE LIVERPOOL SAB DE C,"El Puerto de Liverpool, S.A.B. de C.V.",947251800,America/Mexico_City,CDT,-18000000,100.0,116.0,107.0,111.5,111.5,2.0,buy,2,16074865664,11.977,29770917888,41600188416,1.242,1.945,186620592128,30.674,138.986,0.07422,0.13551,65335804000,5636760576,17357971456,0.048,0.118,0.37233,0.15953,0.14368,MXN,
5,Mario Pani 200,"Santa Fe, Cuajimalpa",Mexico City,DF,05348,Mexico,https://www.liverpool.com.mx,Department Stores,Consumer Cyclical,"El Puerto de Liverpool, S. A. B. de C. V., together with its subsidiaries, operates a chain of department stores in Mexico. The company operates through Liverpool Commercial, Suburbia Commercial, Real Estate, and Credit segments. Its stores offer various products, such as clothes and accessories for men, women, and children; household goods; furniture; cosmetics; and other consumer products. The company is also involved in the operation of liverpool.com.mx and suburbia.com.mx websites. In addition, it owns and leases shopping malls under the Galerías name; and provides credit cards under the Liverpool and Liverpool Premium Card name, as well as Suburbia and Suburbia VISA credit cards. Further, the company operates boutiques under the Banana Republic, GAP, Pottery Barn, West Elm, and Williams-Sonoma names. The company was founded in 1847 and is headquartered in Mexico City, Mexico.",79181,"{'maxAge': 1, 'name': 'Zahie  Edid', 'title': 'Director of Human Capital', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,110.0,100.0,100.0,100.0,110.0,100.0,100.0,100.0,4.31,0.0392,1684886400,0.2956,1.92,0.722074,8.984726,11.086473,2057,2057,285,202,202,100.2,109.0,300000,317100,134220005376,97.1,122.0,0.71921325,110.7108,114.45935,0.0,0.0,MXN,173444235264,0.0939,1342196100,1342200064,0.13614,0.019609999,100.837,0.9916995,1672444800,1703980800,1688083200,0.051,17524326400,11.13,9.02,1.58,0.929,5.826,MEX,EQUITY,LIVEPOL1.MX,LIVEPOL1.MX,EL PUERTO DE LIVERPOOL SAB DE C,"El Puerto de Liverpool, S.A.B. de C.V.",947251800,America/Mexico_City,CDT,-18000000,100.0,116.0,107.0,111.5,111.5,2.0,buy,2,16074865664,11.977,29770917888,41600188416,1.242,1.945,186620592128,30.674,138.986,0.07422,0.13551,65335804000,5636760576,17357971456,0.048,0.118,0.37233,0.15953,0.14368,MXN,
6,Mario Pani 200,"Santa Fe, Cuajimalpa",Mexico City,DF,05348,Mexico,https://www.liverpool.com.mx,Department Stores,Consumer Cyclical,"El Puerto de Liverpool, S. A. B. de C. V., together with its subsidiaries, operates a chain of department stores in Mexico. The company operates through Liverpool Commercial, Suburbia Commercial, Real Estate, and Credit segments. Its stores offer various products, such as clothes and accessories for men, women, and children; household goods; furniture; cosmetics; and other consumer products. The company is also involved in the operation of liverpool.com.mx and suburbia.com.mx websites. In addition, it owns and leases shopping malls under the Galerías name; and provides credit cards under the Liverpool and Liverpool Premium Card name, as well as Suburbia and Suburbia VISA credit cards. Further, the company operates boutiques under the Banana Republic, GAP, Pottery Barn, West Elm, and Williams-Sonoma names. The company was founded in 1847 and is headquartered in Mexico City, Mexico.",79181,"{'maxAge': 1, 'name': 'Mr. Santiago  de Abiega', 'title': 'Director Gen. of Credit', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,110.0,100.0,100.0,100.0,110.0,100.0,100.0,100.0,4.31,0.0392,1684886400,0.2956,1.92,0.722074,8.984726,11.086473,2057,2057,285,202,202,100.2,109.0,300000,317100,134220005376,97.1,122.0,0.71921325,110.7108,114.45935,0.0,0.0,MXN,173444235264,0.0939,1342196100,1342200064,0.13614,0.019609999,100.837,0.9916995,1672444800,1703980800,1688083200,0.051,17524326400,11.13,9.02,1.58,0.929,5.826,MEX,EQUITY,LIVEPOL1.MX,LIVEPOL1.MX,EL PUERTO DE LIVERPOOL SAB DE C,"El Puerto de Liverpool, S.A.B. de C.V.",947251800,America/Mexico_City,CDT,-18000000,100.0,116.0,107.0,111.5,111.5,2.0,buy,2,16074865664,11.977,29770917888,41600188416,1.242,1.945,186620592128,30.674,138.986,0.07422,0.13551,65335804000,5636760576,17357971456,0.048,0.118,0.37233,0.15953,0.14368,MXN,
7,Mario Pani 200,"Santa Fe, Cuajimalpa",Mexico City,DF,05348,Mexico,https://www.liverpool.com.mx,Department Stores,Consumer Cyclical,"El Puerto de Liverpool, S. A. B. de C. V., together with its subsidiaries, operates a chain of department stores in Mexico. The company operates through Liverpool Commercial, Suburbia Commercial, Real Estate, and Credit segments. Its stores offer various products, such as clothes and accessories for men, women, and children; household goods; furniture; cosmetics; and other consumer products. The company is also involved in the operation of liverpool.com.mx and suburbia.com.mx websites. In addition, it owns and leases shopping malls under the Galerías name; and provides credit cards under the Liverpool and Liverpool Premium Card name, as well as Suburbia and Suburbia VISA credit cards. Further, the company operates boutiques under the Banana Republic, GAP, Pottery Barn, West Elm, and Williams-Sonoma names. The company was founded in 1847 and is headquartered in Mexico City, Mexico.",79181,"{'maxAge': 1, 'name': 'Mr. Antonino  Guichard G.', 'title': 'Chief Digital Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,110.0,100.0,100.0,100.0,110.0,100.0,100.0,100.0,4.31,0.0392,1684886400,0.2956,1.92,0.722074,8.984726,11.086473,2057,2057,285,202,202,100.2,109.0,300000,317100,134220005376,97.1,122.0,0.71921325,110.7108,114.45935,0.0,0.0,MXN,173444235264,0.0939,1342196100,1342200064,0.13614,0.019609999,100.837,0.9916995,1672444800,1703980800,1688083200,0.051,17524326400,11.13,9.02,1.58,0.929,5.826,MEX,EQUITY,LIVEPOL1.MX,LIVEPOL1.MX,EL PUERTO DE LIVERPOOL SAB DE C,"El Puerto de Liverpool, S.A.B. de C.V.",947251800,America/Mexico_City,CDT,-18000000,100.0,116.0,107.0,111.5,111.5,2.0,buy,2,16074865664,11.977,29770917888,41600188416,1.242,1.945,186620592128,30.674,138.986,0.07422,0.13551,65335804000,5636760576,17357971456,0.048,0.118,0.37233,0.15953,0.14368,MXN,
8,Mario Pani 200,"Santa Fe, Cuajimalpa",Mexico City,DF,05348,Mexico,https://www.liverpool.com.mx,Department Stores,Consumer Cyclical,"El Puerto de Liverpool, S. A. B. de C. V., together with its subsidiaries, operates a chain of department stores in Mexico. The company operates through Liverpool Commercial, Suburbia Commercial, Real Estate, and Credit segments. Its stores offer various products, such as clothes and accessories for men, women, and children; household goods; furniture; cosmetics; and other consumer products. The company is also involved in the operation of liverpool.com.mx and suburbia.com.mx websites. In addition, it owns and leases shopping malls under the Galerías name; and provides credit cards under the Liverpool and Liverpool Premium Card name, as well as Suburbia and Suburbia VISA credit cards. Further, the company operates boutiques under the Banana Republic, GAP, Pottery Barn, West Elm, and Williams-Sonoma names. The company was founded in 1847 and is headquartered in Mexico City, Mexico.",79181,"{'maxAge': 1, 'name': 'Mr. Mauricio  Braverman', 'title': 'Chief Transformation & Innovation Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,110.0,100.0,100.0,100.0,110.0,100.0,100.0,100.0,4.31,0.0392,1684886400,0.2956,1.92,0.722074,8.984726,11.086473,2057,2057,285,202,202,100.2,109.0,300000,317100,134220005376,97.1,122.0,0.71921325,110.7108,114.45935,0.0,0.0,MXN,173444235264,0.0939,1342196100,1342200064,0.13614,0.019609999,100.837,0.9916995,1672444800,1703980800,1688083200,0.051,17524326400,11.13,9.02,1.58,0.929,5.826,MEX,EQUITY,LIVEPOL1.MX,LIVEPOL1.MX,EL PUERTO DE LIVERPOOL SAB DE C,"El Puerto de Liverpool, S.A.B. de C.V.",947251800,America/Mexico_City,CDT,-18000000,100.0,116.0,107.0,111.5,111.5,2.0,buy,2,16074865664,11.977,29770917888,41600188416,1.242,1.945,186620592128,30.674,138.986,0.07422,0.13551,65335804000,5636760576,17357971456,0.048,0.118,0.37233,0.15953,0.14368,MXN,
9,Mario Pani 200,"Santa Fe, Cuajimalpa",Mexico City,DF,05348,Mexico,https://www.liverpool.com.mx,Department Stores,Consumer Cyclical,"El Puerto de Liverpool, S. A. B. de C. V., together with its subsidiaries, operates a chain of department stores in Mexico. The company operates through Liverpool Commercial, Suburbia Commercial, Real Estate, and Credit segments. Its stores offer various products, such as clothes and accessories for men, women, and children; household goods; furniture; cosmetics; and other consumer products. The company is also involved in the operation of liverpool.com.mx and suburbia.com.mx websites. In addition, it owns and leases shopping malls under the Galerías name; and provides credit cards under the Liverpool and Liverpool Premium Card name, as well as Suburbia and Suburbia VISA credit cards. Further, the company operates boutiques under the Banana Republic, GAP, Pottery Barn, West Elm, and Williams-Sonoma names. The company was founded in 1847 and is headquartered in Mexico City, Mexico.",79181,"{'maxAge': 1, 'name': 'Alejandro  Melgar', 'title': 'Director Gen. of Suburbia', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,110.0,100.0,100.0,100.0,110.0,100.0,100.0,100.0,4.31,0.0392,1684886400,0.2956,1.92,0.722074,8.984726,11.086473,2057,2057,285,202,202,100.2,109.0,300000,317100,134220005376,97.1,122.0,0.71921325,110.7108,114.45935,0.0,0.0,MXN,173444235264,0.0939,1342196100,1342200064,0.13614,0.019609999,100.837,0.9916995,1672444800,1703980800,1688083200,0.051,17524326400,11.13,9.02,1.58,0.929,5.826,MEX,EQUITY,LIVEPOL1.MX,LIVEPOL1.MX,EL PUERTO DE LIVERPOOL SAB DE C,"El Puerto de Liverpool, S.A.B. de C.V.",947251800,America/Mexico_City,CDT,-18000000,100.0,116.0,107.0,111.5,111.5,2.0,buy,2,16074865664,11.977,29770917888,41600188416,1.242,1.945,186620592128,30.674,138.986,0.07422,0.13551,65335804000,5636760576,17357971456,0.048,0.118,0.37233,0.15953,0.14368,MXN,
