,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,totalDebt,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,202 East Center Street,P.O. Box 1387,Warsaw,IN,46581-1387,United States,574 267 6144,https://www.lakecitybank.com,Banks—Regional,Financial Services,"Lakeland Financial Corporation operates as the bank holding company for Lake City Bank that provides various banking products and services in the United States. The company accepts various deposit products, such as noninterest bearing, interest-bearing checking, savings, money market, NOW, and demand deposits. Its loan products include commercial and industrial, commercial real estate and multi-family residential, construction, agri-business and agricultural, consumer 1-4 family mortgage, and other consumer loans. The company also offers retail and merchant credit card services; corporate treasury management, wealth advisory, and trust services; retail brokerage services, including various financial and investment products, such as annuities and life insurance; and mobile business banking and on-line treasury management services. It serves commercial real estate, manufacturing, agriculture, construction, retail, wholesale, finance and insurance, accommodation and food services, and health care industries. The company was founded in 1872 and is headquartered in Warsaw, Indiana.",632,"{'maxAge': 1, 'name': 'Mr. David M. Findlay', 'age': 60, 'title': 'CEO & Director', 'yearBorn': 1962, 'fiscalYear': 2022, 'totalPay': 1038113, 'exercisedValue': 0, 'unexercisedValue': 0}",6,6,3,2,4,1693526400,1672444800,86400,2,49.61,49.61,48.64,49.87,49.61,49.61,48.64,49.87,1.84,0.037100002,1690156800,0.4738,2.36,0.705739,13.515151,14.514792,367396,367396,131940,127920,127920,19.91,78.57,800,900,1247752832,43.05,83.57,5.2479067,52.9742,60.35385,1.78,0.03587986,USD,1493692800,0.39279,24506429,25433200,2137592,2057995,1690761600,1693440000,0.084,0.03469,0.83264,21.34,0.1025,23.277,2.10766,1672444800,1703980800,1688083200,-0.431,93391000,3.63,3.38,1.51,3:2,1470614400,6.282,NMS,EQUITY,LKFN,LKFN,Lakeland Financial Corporation,Lakeland Financial Corporation,871565400,America/New_York,EDT,-14400000,49.06,64.0,52.0,56.25,54.5,2.7,hold,4,173136992,6.808,404999008,237762000,9.3,0.0146200005,0.16184999,235374000,115088000,-0.43,0.001,0.0,0.0,0.56512,USD,
1,202 East Center Street,P.O. Box 1387,Warsaw,IN,46581-1387,United States,574 267 6144,https://www.lakecitybank.com,Banks—Regional,Financial Services,"Lakeland Financial Corporation operates as the bank holding company for Lake City Bank that provides various banking products and services in the United States. The company accepts various deposit products, such as noninterest bearing, interest-bearing checking, savings, money market, NOW, and demand deposits. Its loan products include commercial and industrial, commercial real estate and multi-family residential, construction, agri-business and agricultural, consumer 1-4 family mortgage, and other consumer loans. The company also offers retail and merchant credit card services; corporate treasury management, wealth advisory, and trust services; retail brokerage services, including various financial and investment products, such as annuities and life insurance; and mobile business banking and on-line treasury management services. It serves commercial real estate, manufacturing, agriculture, construction, retail, wholesale, finance and insurance, accommodation and food services, and health care industries. The company was founded in 1872 and is headquartered in Warsaw, Indiana.",632,"{'maxAge': 1, 'name': 'Ms. Kristin L. Pruitt', 'age': 50, 'title': 'Pres & Director', 'yearBorn': 1972, 'fiscalYear': 2022, 'totalPay': 509113, 'exercisedValue': 0, 'unexercisedValue': 0}",6,6,3,2,4,1693526400,1672444800,86400,2,49.61,49.61,48.64,49.87,49.61,49.61,48.64,49.87,1.84,0.037100002,1690156800,0.4738,2.36,0.705739,13.515151,14.514792,367396,367396,131940,127920,127920,19.91,78.57,800,900,1247752832,43.05,83.57,5.2479067,52.9742,60.35385,1.78,0.03587986,USD,1493692800,0.39279,24506429,25433200,2137592,2057995,1690761600,1693440000,0.084,0.03469,0.83264,21.34,0.1025,23.277,2.10766,1672444800,1703980800,1688083200,-0.431,93391000,3.63,3.38,1.51,3:2,1470614400,6.282,NMS,EQUITY,LKFN,LKFN,Lakeland Financial Corporation,Lakeland Financial Corporation,871565400,America/New_York,EDT,-14400000,49.06,64.0,52.0,56.25,54.5,2.7,hold,4,173136992,6.808,404999008,237762000,9.3,0.0146200005,0.16184999,235374000,115088000,-0.43,0.001,0.0,0.0,0.56512,USD,
2,202 East Center Street,P.O. Box 1387,Warsaw,IN,46581-1387,United States,574 267 6144,https://www.lakecitybank.com,Banks—Regional,Financial Services,"Lakeland Financial Corporation operates as the bank holding company for Lake City Bank that provides various banking products and services in the United States. The company accepts various deposit products, such as noninterest bearing, interest-bearing checking, savings, money market, NOW, and demand deposits. Its loan products include commercial and industrial, commercial real estate and multi-family residential, construction, agri-business and agricultural, consumer 1-4 family mortgage, and other consumer loans. The company also offers retail and merchant credit card services; corporate treasury management, wealth advisory, and trust services; retail brokerage services, including various financial and investment products, such as annuities and life insurance; and mobile business banking and on-line treasury management services. It serves commercial real estate, manufacturing, agriculture, construction, retail, wholesale, finance and insurance, accommodation and food services, and health care industries. The company was founded in 1872 and is headquartered in Warsaw, Indiana.",632,"{'maxAge': 1, 'name': ""Ms. Lisa M. O'Neill"", 'age': 54, 'title': 'Exec. VP & CFO', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 433390, 'exercisedValue': 0, 'unexercisedValue': 0}",6,6,3,2,4,1693526400,1672444800,86400,2,49.61,49.61,48.64,49.87,49.61,49.61,48.64,49.87,1.84,0.037100002,1690156800,0.4738,2.36,0.705739,13.515151,14.514792,367396,367396,131940,127920,127920,19.91,78.57,800,900,1247752832,43.05,83.57,5.2479067,52.9742,60.35385,1.78,0.03587986,USD,1493692800,0.39279,24506429,25433200,2137592,2057995,1690761600,1693440000,0.084,0.03469,0.83264,21.34,0.1025,23.277,2.10766,1672444800,1703980800,1688083200,-0.431,93391000,3.63,3.38,1.51,3:2,1470614400,6.282,NMS,EQUITY,LKFN,LKFN,Lakeland Financial Corporation,Lakeland Financial Corporation,871565400,America/New_York,EDT,-14400000,49.06,64.0,52.0,56.25,54.5,2.7,hold,4,173136992,6.808,404999008,237762000,9.3,0.0146200005,0.16184999,235374000,115088000,-0.43,0.001,0.0,0.0,0.56512,USD,
3,202 East Center Street,P.O. Box 1387,Warsaw,IN,46581-1387,United States,574 267 6144,https://www.lakecitybank.com,Banks—Regional,Financial Services,"Lakeland Financial Corporation operates as the bank holding company for Lake City Bank that provides various banking products and services in the United States. The company accepts various deposit products, such as noninterest bearing, interest-bearing checking, savings, money market, NOW, and demand deposits. Its loan products include commercial and industrial, commercial real estate and multi-family residential, construction, agri-business and agricultural, consumer 1-4 family mortgage, and other consumer loans. The company also offers retail and merchant credit card services; corporate treasury management, wealth advisory, and trust services; retail brokerage services, including various financial and investment products, such as annuities and life insurance; and mobile business banking and on-line treasury management services. It serves commercial real estate, manufacturing, agriculture, construction, retail, wholesale, finance and insurance, accommodation and food services, and health care industries. The company was founded in 1872 and is headquartered in Warsaw, Indiana.",632,"{'maxAge': 1, 'name': 'Mr. Eric H. Ottinger', 'age': 52, 'title': 'Exec. VP & Chief Commercial Banking Officer', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 515317, 'exercisedValue': 0, 'unexercisedValue': 0}",6,6,3,2,4,1693526400,1672444800,86400,2,49.61,49.61,48.64,49.87,49.61,49.61,48.64,49.87,1.84,0.037100002,1690156800,0.4738,2.36,0.705739,13.515151,14.514792,367396,367396,131940,127920,127920,19.91,78.57,800,900,1247752832,43.05,83.57,5.2479067,52.9742,60.35385,1.78,0.03587986,USD,1493692800,0.39279,24506429,25433200,2137592,2057995,1690761600,1693440000,0.084,0.03469,0.83264,21.34,0.1025,23.277,2.10766,1672444800,1703980800,1688083200,-0.431,93391000,3.63,3.38,1.51,3:2,1470614400,6.282,NMS,EQUITY,LKFN,LKFN,Lakeland Financial Corporation,Lakeland Financial Corporation,871565400,America/New_York,EDT,-14400000,49.06,64.0,52.0,56.25,54.5,2.7,hold,4,173136992,6.808,404999008,237762000,9.3,0.0146200005,0.16184999,235374000,115088000,-0.43,0.001,0.0,0.0,0.56512,USD,
4,202 East Center Street,P.O. Box 1387,Warsaw,IN,46581-1387,United States,574 267 6144,https://www.lakecitybank.com,Banks—Regional,Financial Services,"Lakeland Financial Corporation operates as the bank holding company for Lake City Bank that provides various banking products and services in the United States. The company accepts various deposit products, such as noninterest bearing, interest-bearing checking, savings, money market, NOW, and demand deposits. Its loan products include commercial and industrial, commercial real estate and multi-family residential, construction, agri-business and agricultural, consumer 1-4 family mortgage, and other consumer loans. The company also offers retail and merchant credit card services; corporate treasury management, wealth advisory, and trust services; retail brokerage services, including various financial and investment products, such as annuities and life insurance; and mobile business banking and on-line treasury management services. It serves commercial real estate, manufacturing, agriculture, construction, retail, wholesale, finance and insurance, accommodation and food services, and health care industries. The company was founded in 1872 and is headquartered in Warsaw, Indiana.",632,"{'maxAge': 1, 'name': 'Mr. Michael E. Gavin', 'age': 66, 'title': 'Exec. VP & Chief Credit Officer', 'yearBorn': 1956, 'fiscalYear': 2022, 'totalPay': 401154, 'exercisedValue': 0, 'unexercisedValue': 0}",6,6,3,2,4,1693526400,1672444800,86400,2,49.61,49.61,48.64,49.87,49.61,49.61,48.64,49.87,1.84,0.037100002,1690156800,0.4738,2.36,0.705739,13.515151,14.514792,367396,367396,131940,127920,127920,19.91,78.57,800,900,1247752832,43.05,83.57,5.2479067,52.9742,60.35385,1.78,0.03587986,USD,1493692800,0.39279,24506429,25433200,2137592,2057995,1690761600,1693440000,0.084,0.03469,0.83264,21.34,0.1025,23.277,2.10766,1672444800,1703980800,1688083200,-0.431,93391000,3.63,3.38,1.51,3:2,1470614400,6.282,NMS,EQUITY,LKFN,LKFN,Lakeland Financial Corporation,Lakeland Financial Corporation,871565400,America/New_York,EDT,-14400000,49.06,64.0,52.0,56.25,54.5,2.7,hold,4,173136992,6.808,404999008,237762000,9.3,0.0146200005,0.16184999,235374000,115088000,-0.43,0.001,0.0,0.0,0.56512,USD,
5,202 East Center Street,P.O. Box 1387,Warsaw,IN,46581-1387,United States,574 267 6144,https://www.lakecitybank.com,Banks—Regional,Financial Services,"Lakeland Financial Corporation operates as the bank holding company for Lake City Bank that provides various banking products and services in the United States. The company accepts various deposit products, such as noninterest bearing, interest-bearing checking, savings, money market, NOW, and demand deposits. Its loan products include commercial and industrial, commercial real estate and multi-family residential, construction, agri-business and agricultural, consumer 1-4 family mortgage, and other consumer loans. The company also offers retail and merchant credit card services; corporate treasury management, wealth advisory, and trust services; retail brokerage services, including various financial and investment products, such as annuities and life insurance; and mobile business banking and on-line treasury management services. It serves commercial real estate, manufacturing, agriculture, construction, retail, wholesale, finance and insurance, accommodation and food services, and health care industries. The company was founded in 1872 and is headquartered in Warsaw, Indiana.",632,"{'maxAge': 1, 'name': 'Mr. Brok A. Lahrman', 'age': 36, 'title': 'Chief Accounting Officer & Sr. VP of Fin.', 'yearBorn': 1986, 'exercisedValue': 0, 'unexercisedValue': 0}",6,6,3,2,4,1693526400,1672444800,86400,2,49.61,49.61,48.64,49.87,49.61,49.61,48.64,49.87,1.84,0.037100002,1690156800,0.4738,2.36,0.705739,13.515151,14.514792,367396,367396,131940,127920,127920,19.91,78.57,800,900,1247752832,43.05,83.57,5.2479067,52.9742,60.35385,1.78,0.03587986,USD,1493692800,0.39279,24506429,25433200,2137592,2057995,1690761600,1693440000,0.084,0.03469,0.83264,21.34,0.1025,23.277,2.10766,1672444800,1703980800,1688083200,-0.431,93391000,3.63,3.38,1.51,3:2,1470614400,6.282,NMS,EQUITY,LKFN,LKFN,Lakeland Financial Corporation,Lakeland Financial Corporation,871565400,America/New_York,EDT,-14400000,49.06,64.0,52.0,56.25,54.5,2.7,hold,4,173136992,6.808,404999008,237762000,9.3,0.0146200005,0.16184999,235374000,115088000,-0.43,0.001,0.0,0.0,0.56512,USD,
6,202 East Center Street,P.O. Box 1387,Warsaw,IN,46581-1387,United States,574 267 6144,https://www.lakecitybank.com,Banks—Regional,Financial Services,"Lakeland Financial Corporation operates as the bank holding company for Lake City Bank that provides various banking products and services in the United States. The company accepts various deposit products, such as noninterest bearing, interest-bearing checking, savings, money market, NOW, and demand deposits. Its loan products include commercial and industrial, commercial real estate and multi-family residential, construction, agri-business and agricultural, consumer 1-4 family mortgage, and other consumer loans. The company also offers retail and merchant credit card services; corporate treasury management, wealth advisory, and trust services; retail brokerage services, including various financial and investment products, such as annuities and life insurance; and mobile business banking and on-line treasury management services. It serves commercial real estate, manufacturing, agriculture, construction, retail, wholesale, finance and insurance, accommodation and food services, and health care industries. The company was founded in 1872 and is headquartered in Warsaw, Indiana.",632,"{'maxAge': 1, 'name': 'Mr. Rickard James Donovan', 'title': 'Sr. VP, Gen. Counsel & Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",6,6,3,2,4,1693526400,1672444800,86400,2,49.61,49.61,48.64,49.87,49.61,49.61,48.64,49.87,1.84,0.037100002,1690156800,0.4738,2.36,0.705739,13.515151,14.514792,367396,367396,131940,127920,127920,19.91,78.57,800,900,1247752832,43.05,83.57,5.2479067,52.9742,60.35385,1.78,0.03587986,USD,1493692800,0.39279,24506429,25433200,2137592,2057995,1690761600,1693440000,0.084,0.03469,0.83264,21.34,0.1025,23.277,2.10766,1672444800,1703980800,1688083200,-0.431,93391000,3.63,3.38,1.51,3:2,1470614400,6.282,NMS,EQUITY,LKFN,LKFN,Lakeland Financial Corporation,Lakeland Financial Corporation,871565400,America/New_York,EDT,-14400000,49.06,64.0,52.0,56.25,54.5,2.7,hold,4,173136992,6.808,404999008,237762000,9.3,0.0146200005,0.16184999,235374000,115088000,-0.43,0.001,0.0,0.0,0.56512,USD,
7,202 East Center Street,P.O. Box 1387,Warsaw,IN,46581-1387,United States,574 267 6144,https://www.lakecitybank.com,Banks—Regional,Financial Services,"Lakeland Financial Corporation operates as the bank holding company for Lake City Bank that provides various banking products and services in the United States. The company accepts various deposit products, such as noninterest bearing, interest-bearing checking, savings, money market, NOW, and demand deposits. Its loan products include commercial and industrial, commercial real estate and multi-family residential, construction, agri-business and agricultural, consumer 1-4 family mortgage, and other consumer loans. The company also offers retail and merchant credit card services; corporate treasury management, wealth advisory, and trust services; retail brokerage services, including various financial and investment products, such as annuities and life insurance; and mobile business banking and on-line treasury management services. It serves commercial real estate, manufacturing, agriculture, construction, retail, wholesale, finance and insurance, accommodation and food services, and health care industries. The company was founded in 1872 and is headquartered in Warsaw, Indiana.",632,"{'maxAge': 1, 'name': 'Ms. Kyra E. Clark', 'title': 'Sr. VP & Chief Human Resource Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",6,6,3,2,4,1693526400,1672444800,86400,2,49.61,49.61,48.64,49.87,49.61,49.61,48.64,49.87,1.84,0.037100002,1690156800,0.4738,2.36,0.705739,13.515151,14.514792,367396,367396,131940,127920,127920,19.91,78.57,800,900,1247752832,43.05,83.57,5.2479067,52.9742,60.35385,1.78,0.03587986,USD,1493692800,0.39279,24506429,25433200,2137592,2057995,1690761600,1693440000,0.084,0.03469,0.83264,21.34,0.1025,23.277,2.10766,1672444800,1703980800,1688083200,-0.431,93391000,3.63,3.38,1.51,3:2,1470614400,6.282,NMS,EQUITY,LKFN,LKFN,Lakeland Financial Corporation,Lakeland Financial Corporation,871565400,America/New_York,EDT,-14400000,49.06,64.0,52.0,56.25,54.5,2.7,hold,4,173136992,6.808,404999008,237762000,9.3,0.0146200005,0.16184999,235374000,115088000,-0.43,0.001,0.0,0.0,0.56512,USD,
8,202 East Center Street,P.O. Box 1387,Warsaw,IN,46581-1387,United States,574 267 6144,https://www.lakecitybank.com,Banks—Regional,Financial Services,"Lakeland Financial Corporation operates as the bank holding company for Lake City Bank that provides various banking products and services in the United States. The company accepts various deposit products, such as noninterest bearing, interest-bearing checking, savings, money market, NOW, and demand deposits. Its loan products include commercial and industrial, commercial real estate and multi-family residential, construction, agri-business and agricultural, consumer 1-4 family mortgage, and other consumer loans. The company also offers retail and merchant credit card services; corporate treasury management, wealth advisory, and trust services; retail brokerage services, including various financial and investment products, such as annuities and life insurance; and mobile business banking and on-line treasury management services. It serves commercial real estate, manufacturing, agriculture, construction, retail, wholesale, finance and insurance, accommodation and food services, and health care industries. The company was founded in 1872 and is headquartered in Warsaw, Indiana.",632,"{'maxAge': 1, 'name': 'Mr. Jonathan P. Steiner', 'age': 60, 'title': 'Sr. VP & Chief Wealth Advisory Officer', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}",6,6,3,2,4,1693526400,1672444800,86400,2,49.61,49.61,48.64,49.87,49.61,49.61,48.64,49.87,1.84,0.037100002,1690156800,0.4738,2.36,0.705739,13.515151,14.514792,367396,367396,131940,127920,127920,19.91,78.57,800,900,1247752832,43.05,83.57,5.2479067,52.9742,60.35385,1.78,0.03587986,USD,1493692800,0.39279,24506429,25433200,2137592,2057995,1690761600,1693440000,0.084,0.03469,0.83264,21.34,0.1025,23.277,2.10766,1672444800,1703980800,1688083200,-0.431,93391000,3.63,3.38,1.51,3:2,1470614400,6.282,NMS,EQUITY,LKFN,LKFN,Lakeland Financial Corporation,Lakeland Financial Corporation,871565400,America/New_York,EDT,-14400000,49.06,64.0,52.0,56.25,54.5,2.7,hold,4,173136992,6.808,404999008,237762000,9.3,0.0146200005,0.16184999,235374000,115088000,-0.43,0.001,0.0,0.0,0.56512,USD,
9,202 East Center Street,P.O. Box 1387,Warsaw,IN,46581-1387,United States,574 267 6144,https://www.lakecitybank.com,Banks—Regional,Financial Services,"Lakeland Financial Corporation operates as the bank holding company for Lake City Bank that provides various banking products and services in the United States. The company accepts various deposit products, such as noninterest bearing, interest-bearing checking, savings, money market, NOW, and demand deposits. Its loan products include commercial and industrial, commercial real estate and multi-family residential, construction, agri-business and agricultural, consumer 1-4 family mortgage, and other consumer loans. The company also offers retail and merchant credit card services; corporate treasury management, wealth advisory, and trust services; retail brokerage services, including various financial and investment products, such as annuities and life insurance; and mobile business banking and on-line treasury management services. It serves commercial real estate, manufacturing, agriculture, construction, retail, wholesale, finance and insurance, accommodation and food services, and health care industries. The company was founded in 1872 and is headquartered in Warsaw, Indiana.",632,"{'maxAge': 1, 'name': 'Ms. Stephanie R. Leniski', 'title': 'Sr. VP & Chief Retail Banking Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",6,6,3,2,4,1693526400,1672444800,86400,2,49.61,49.61,48.64,49.87,49.61,49.61,48.64,49.87,1.84,0.037100002,1690156800,0.4738,2.36,0.705739,13.515151,14.514792,367396,367396,131940,127920,127920,19.91,78.57,800,900,1247752832,43.05,83.57,5.2479067,52.9742,60.35385,1.78,0.03587986,USD,1493692800,0.39279,24506429,25433200,2137592,2057995,1690761600,1693440000,0.084,0.03469,0.83264,21.34,0.1025,23.277,2.10766,1672444800,1703980800,1688083200,-0.431,93391000,3.63,3.38,1.51,3:2,1470614400,6.282,NMS,EQUITY,LKFN,LKFN,Lakeland Financial Corporation,Lakeland Financial Corporation,871565400,America/New_York,EDT,-14400000,49.06,64.0,52.0,56.25,54.5,2.7,hold,4,173136992,6.808,404999008,237762000,9.3,0.0146200005,0.16184999,235374000,115088000,-0.43,0.001,0.0,0.0,0.56512,USD,
