,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,9348 Civic Center Drive,Beverly Hills,CA,90210,United States,310 867 7000,https://www.livenationentertainment.com,Entertainment,Communication Services,"Live Nation Entertainment, Inc. operates as a live entertainment company. It operates through Concerts, Ticketing, and Sponsorship & Advertising segments. The Concerts segment promotes live music events in its owned or operated venues, and in rented third-party venues; operates and manages music venues; produces music festivals; creates and streams associated content; and offers management and other services to artists. The Ticketing segment manages the ticketing operations, including the provision of ticketing software and services to clients for tickets and event information through its primary websites livenation.com and ticketmaster.com, as well as through other websites, mobile apps, retail outlets, and call centers; and provides ticket resale services. This segment sells tickets for its events and third-party clients in various live event categories; offers ticketing services for arenas, stadiums, amphitheaters, music clubs, concert promoters, professional sports franchises and leagues, college sports teams, performing arts venues, museums, and theaters. The Sponsorship & Advertising segment sells international, national, and local sponsorships and placement of advertising, including signage and promotional programs; rich media offering that comprise advertising related with live streaming and music-related content; and ads across its distribution network of venues, events, and websites. This segment also manages the development of strategic sponsorship programs, as well as develops, books, and produces custom events or programs for specific brands. It owns, operates, or leases entertainment venues in North America and internationally. The company was formerly known as Live Nation, Inc. and changed its name to Live Nation Entertainment, Inc. in January 2010. Live Nation Entertainment, Inc. was incorporated in 2005 and is headquartered in Beverly Hills, California.",12800,"{'maxAge': 1, 'name': 'Mr. Michael  Rapino', 'age': 56, 'title': 'Pres, CEO & Director', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 22263807, 'exercisedValue': 358788896, 'unexercisedValue': 28831850}",8,10,10,9,10,1693526400,1672444800,86400,2,85.01,84.98,83.69,85.27,85.01,84.98,83.69,85.27,0.0,1.301867,72.25862,49.89286,2127562,2127562,2072167,2272910,2272910,82.45,84.19,800,900,19291256832,64.25,101.74,1.0046281,87.9872,78.49,0.0,0.0,USD,21986271232,0.02338,157061743,230151008,12163057,13261403,1690761600,1693440000,0.052800003,0.32263002,0.71612,6.8,0.078,-0.822,1672444800,1703980800,1688083200,0.564,258831008,1.16,1.68,0.94,1.145,15.514,NYQ,EQUITY,LYV,LYV,"Live Nation Entertainment, Inc.","Live Nation Entertainment, Inc.",1135175400,America/New_York,EDT,-14400000,83.82,124.0,85.0,108.76,112.0,2.0,buy,17,7128872960,31.255,1417168000,8413015040,0.9,1.075,19202385920,747.858,84.466,0.03205,0.70181,4343730000,1613273472,1931474048,0.534,0.27,0.25635,0.0738,0.04853,USD,1.0325
1,9348 Civic Center Drive,Beverly Hills,CA,90210,United States,310 867 7000,https://www.livenationentertainment.com,Entertainment,Communication Services,"Live Nation Entertainment, Inc. operates as a live entertainment company. It operates through Concerts, Ticketing, and Sponsorship & Advertising segments. The Concerts segment promotes live music events in its owned or operated venues, and in rented third-party venues; operates and manages music venues; produces music festivals; creates and streams associated content; and offers management and other services to artists. The Ticketing segment manages the ticketing operations, including the provision of ticketing software and services to clients for tickets and event information through its primary websites livenation.com and ticketmaster.com, as well as through other websites, mobile apps, retail outlets, and call centers; and provides ticket resale services. This segment sells tickets for its events and third-party clients in various live event categories; offers ticketing services for arenas, stadiums, amphitheaters, music clubs, concert promoters, professional sports franchises and leagues, college sports teams, performing arts venues, museums, and theaters. The Sponsorship & Advertising segment sells international, national, and local sponsorships and placement of advertising, including signage and promotional programs; rich media offering that comprise advertising related with live streaming and music-related content; and ads across its distribution network of venues, events, and websites. This segment also manages the development of strategic sponsorship programs, as well as develops, books, and produces custom events or programs for specific brands. It owns, operates, or leases entertainment venues in North America and internationally. The company was formerly known as Live Nation, Inc. and changed its name to Live Nation Entertainment, Inc. in January 2010. Live Nation Entertainment, Inc. was incorporated in 2005 and is headquartered in Beverly Hills, California.",12800,"{'maxAge': 1, 'name': 'Mr. Joe  Berchtold', 'age': 57, 'title': 'Pres & CFO', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 9954591, 'exercisedValue': 0, 'unexercisedValue': 30025664}",8,10,10,9,10,1693526400,1672444800,86400,2,85.01,84.98,83.69,85.27,85.01,84.98,83.69,85.27,0.0,1.301867,72.25862,49.89286,2127562,2127562,2072167,2272910,2272910,82.45,84.19,800,900,19291256832,64.25,101.74,1.0046281,87.9872,78.49,0.0,0.0,USD,21986271232,0.02338,157061743,230151008,12163057,13261403,1690761600,1693440000,0.052800003,0.32263002,0.71612,6.8,0.078,-0.822,1672444800,1703980800,1688083200,0.564,258831008,1.16,1.68,0.94,1.145,15.514,NYQ,EQUITY,LYV,LYV,"Live Nation Entertainment, Inc.","Live Nation Entertainment, Inc.",1135175400,America/New_York,EDT,-14400000,83.82,124.0,85.0,108.76,112.0,2.0,buy,17,7128872960,31.255,1417168000,8413015040,0.9,1.075,19202385920,747.858,84.466,0.03205,0.70181,4343730000,1613273472,1931474048,0.534,0.27,0.25635,0.0738,0.04853,USD,1.0325
2,9348 Civic Center Drive,Beverly Hills,CA,90210,United States,310 867 7000,https://www.livenationentertainment.com,Entertainment,Communication Services,"Live Nation Entertainment, Inc. operates as a live entertainment company. It operates through Concerts, Ticketing, and Sponsorship & Advertising segments. The Concerts segment promotes live music events in its owned or operated venues, and in rented third-party venues; operates and manages music venues; produces music festivals; creates and streams associated content; and offers management and other services to artists. The Ticketing segment manages the ticketing operations, including the provision of ticketing software and services to clients for tickets and event information through its primary websites livenation.com and ticketmaster.com, as well as through other websites, mobile apps, retail outlets, and call centers; and provides ticket resale services. This segment sells tickets for its events and third-party clients in various live event categories; offers ticketing services for arenas, stadiums, amphitheaters, music clubs, concert promoters, professional sports franchises and leagues, college sports teams, performing arts venues, museums, and theaters. The Sponsorship & Advertising segment sells international, national, and local sponsorships and placement of advertising, including signage and promotional programs; rich media offering that comprise advertising related with live streaming and music-related content; and ads across its distribution network of venues, events, and websites. This segment also manages the development of strategic sponsorship programs, as well as develops, books, and produces custom events or programs for specific brands. It owns, operates, or leases entertainment venues in North America and internationally. The company was formerly known as Live Nation, Inc. and changed its name to Live Nation Entertainment, Inc. in January 2010. Live Nation Entertainment, Inc. was incorporated in 2005 and is headquartered in Beverly Hills, California.",12800,"{'maxAge': 1, 'name': 'Mr. Brian J. Capo', 'age': 55, 'title': 'Chief Accounting Officer & Sr. VP', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 562500, 'exercisedValue': 0, 'unexercisedValue': 222050}",8,10,10,9,10,1693526400,1672444800,86400,2,85.01,84.98,83.69,85.27,85.01,84.98,83.69,85.27,0.0,1.301867,72.25862,49.89286,2127562,2127562,2072167,2272910,2272910,82.45,84.19,800,900,19291256832,64.25,101.74,1.0046281,87.9872,78.49,0.0,0.0,USD,21986271232,0.02338,157061743,230151008,12163057,13261403,1690761600,1693440000,0.052800003,0.32263002,0.71612,6.8,0.078,-0.822,1672444800,1703980800,1688083200,0.564,258831008,1.16,1.68,0.94,1.145,15.514,NYQ,EQUITY,LYV,LYV,"Live Nation Entertainment, Inc.","Live Nation Entertainment, Inc.",1135175400,America/New_York,EDT,-14400000,83.82,124.0,85.0,108.76,112.0,2.0,buy,17,7128872960,31.255,1417168000,8413015040,0.9,1.075,19202385920,747.858,84.466,0.03205,0.70181,4343730000,1613273472,1931474048,0.534,0.27,0.25635,0.0738,0.04853,USD,1.0325
3,9348 Civic Center Drive,Beverly Hills,CA,90210,United States,310 867 7000,https://www.livenationentertainment.com,Entertainment,Communication Services,"Live Nation Entertainment, Inc. operates as a live entertainment company. It operates through Concerts, Ticketing, and Sponsorship & Advertising segments. The Concerts segment promotes live music events in its owned or operated venues, and in rented third-party venues; operates and manages music venues; produces music festivals; creates and streams associated content; and offers management and other services to artists. The Ticketing segment manages the ticketing operations, including the provision of ticketing software and services to clients for tickets and event information through its primary websites livenation.com and ticketmaster.com, as well as through other websites, mobile apps, retail outlets, and call centers; and provides ticket resale services. This segment sells tickets for its events and third-party clients in various live event categories; offers ticketing services for arenas, stadiums, amphitheaters, music clubs, concert promoters, professional sports franchises and leagues, college sports teams, performing arts venues, museums, and theaters. The Sponsorship & Advertising segment sells international, national, and local sponsorships and placement of advertising, including signage and promotional programs; rich media offering that comprise advertising related with live streaming and music-related content; and ads across its distribution network of venues, events, and websites. This segment also manages the development of strategic sponsorship programs, as well as develops, books, and produces custom events or programs for specific brands. It owns, operates, or leases entertainment venues in North America and internationally. The company was formerly known as Live Nation, Inc. and changed its name to Live Nation Entertainment, Inc. in January 2010. Live Nation Entertainment, Inc. was incorporated in 2005 and is headquartered in Beverly Hills, California.",12800,"{'maxAge': 1, 'name': 'Mr. Michael G. Rowles', 'age': 56, 'title': 'Exec. VP, Gen. Counsel & Sec.', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 1652489, 'exercisedValue': 5269848, 'unexercisedValue': 14157064}",8,10,10,9,10,1693526400,1672444800,86400,2,85.01,84.98,83.69,85.27,85.01,84.98,83.69,85.27,0.0,1.301867,72.25862,49.89286,2127562,2127562,2072167,2272910,2272910,82.45,84.19,800,900,19291256832,64.25,101.74,1.0046281,87.9872,78.49,0.0,0.0,USD,21986271232,0.02338,157061743,230151008,12163057,13261403,1690761600,1693440000,0.052800003,0.32263002,0.71612,6.8,0.078,-0.822,1672444800,1703980800,1688083200,0.564,258831008,1.16,1.68,0.94,1.145,15.514,NYQ,EQUITY,LYV,LYV,"Live Nation Entertainment, Inc.","Live Nation Entertainment, Inc.",1135175400,America/New_York,EDT,-14400000,83.82,124.0,85.0,108.76,112.0,2.0,buy,17,7128872960,31.255,1417168000,8413015040,0.9,1.075,19202385920,747.858,84.466,0.03205,0.70181,4343730000,1613273472,1931474048,0.534,0.27,0.25635,0.0738,0.04853,USD,1.0325
4,9348 Civic Center Drive,Beverly Hills,CA,90210,United States,310 867 7000,https://www.livenationentertainment.com,Entertainment,Communication Services,"Live Nation Entertainment, Inc. operates as a live entertainment company. It operates through Concerts, Ticketing, and Sponsorship & Advertising segments. The Concerts segment promotes live music events in its owned or operated venues, and in rented third-party venues; operates and manages music venues; produces music festivals; creates and streams associated content; and offers management and other services to artists. The Ticketing segment manages the ticketing operations, including the provision of ticketing software and services to clients for tickets and event information through its primary websites livenation.com and ticketmaster.com, as well as through other websites, mobile apps, retail outlets, and call centers; and provides ticket resale services. This segment sells tickets for its events and third-party clients in various live event categories; offers ticketing services for arenas, stadiums, amphitheaters, music clubs, concert promoters, professional sports franchises and leagues, college sports teams, performing arts venues, museums, and theaters. The Sponsorship & Advertising segment sells international, national, and local sponsorships and placement of advertising, including signage and promotional programs; rich media offering that comprise advertising related with live streaming and music-related content; and ads across its distribution network of venues, events, and websites. This segment also manages the development of strategic sponsorship programs, as well as develops, books, and produces custom events or programs for specific brands. It owns, operates, or leases entertainment venues in North America and internationally. The company was formerly known as Live Nation, Inc. and changed its name to Live Nation Entertainment, Inc. in January 2010. Live Nation Entertainment, Inc. was incorporated in 2005 and is headquartered in Beverly Hills, California.",12800,"{'maxAge': 1, 'name': 'Mr. John  Hopmans', 'age': 63, 'title': 'Exec. VP of Mergers & Acquisitions and Strategic Fin.', 'yearBorn': 1959, 'fiscalYear': 2022, 'totalPay': 1963450, 'exercisedValue': 11028984, 'unexercisedValue': 7223064}",8,10,10,9,10,1693526400,1672444800,86400,2,85.01,84.98,83.69,85.27,85.01,84.98,83.69,85.27,0.0,1.301867,72.25862,49.89286,2127562,2127562,2072167,2272910,2272910,82.45,84.19,800,900,19291256832,64.25,101.74,1.0046281,87.9872,78.49,0.0,0.0,USD,21986271232,0.02338,157061743,230151008,12163057,13261403,1690761600,1693440000,0.052800003,0.32263002,0.71612,6.8,0.078,-0.822,1672444800,1703980800,1688083200,0.564,258831008,1.16,1.68,0.94,1.145,15.514,NYQ,EQUITY,LYV,LYV,"Live Nation Entertainment, Inc.","Live Nation Entertainment, Inc.",1135175400,America/New_York,EDT,-14400000,83.82,124.0,85.0,108.76,112.0,2.0,buy,17,7128872960,31.255,1417168000,8413015040,0.9,1.075,19202385920,747.858,84.466,0.03205,0.70181,4343730000,1613273472,1931474048,0.534,0.27,0.25635,0.0738,0.04853,USD,1.0325
5,9348 Civic Center Drive,Beverly Hills,CA,90210,United States,310 867 7000,https://www.livenationentertainment.com,Entertainment,Communication Services,"Live Nation Entertainment, Inc. operates as a live entertainment company. It operates through Concerts, Ticketing, and Sponsorship & Advertising segments. The Concerts segment promotes live music events in its owned or operated venues, and in rented third-party venues; operates and manages music venues; produces music festivals; creates and streams associated content; and offers management and other services to artists. The Ticketing segment manages the ticketing operations, including the provision of ticketing software and services to clients for tickets and event information through its primary websites livenation.com and ticketmaster.com, as well as through other websites, mobile apps, retail outlets, and call centers; and provides ticket resale services. This segment sells tickets for its events and third-party clients in various live event categories; offers ticketing services for arenas, stadiums, amphitheaters, music clubs, concert promoters, professional sports franchises and leagues, college sports teams, performing arts venues, museums, and theaters. The Sponsorship & Advertising segment sells international, national, and local sponsorships and placement of advertising, including signage and promotional programs; rich media offering that comprise advertising related with live streaming and music-related content; and ads across its distribution network of venues, events, and websites. This segment also manages the development of strategic sponsorship programs, as well as develops, books, and produces custom events or programs for specific brands. It owns, operates, or leases entertainment venues in North America and internationally. The company was formerly known as Live Nation, Inc. and changed its name to Live Nation Entertainment, Inc. in January 2010. Live Nation Entertainment, Inc. was incorporated in 2005 and is headquartered in Beverly Hills, California.",12800,"{'maxAge': 1, 'name': 'Ms. Jacqueline  Beato', 'age': 38, 'title': 'Chief Operating Officer of US Concerts', 'yearBorn': 1984, 'exercisedValue': 0, 'unexercisedValue': 0}",8,10,10,9,10,1693526400,1672444800,86400,2,85.01,84.98,83.69,85.27,85.01,84.98,83.69,85.27,0.0,1.301867,72.25862,49.89286,2127562,2127562,2072167,2272910,2272910,82.45,84.19,800,900,19291256832,64.25,101.74,1.0046281,87.9872,78.49,0.0,0.0,USD,21986271232,0.02338,157061743,230151008,12163057,13261403,1690761600,1693440000,0.052800003,0.32263002,0.71612,6.8,0.078,-0.822,1672444800,1703980800,1688083200,0.564,258831008,1.16,1.68,0.94,1.145,15.514,NYQ,EQUITY,LYV,LYV,"Live Nation Entertainment, Inc.","Live Nation Entertainment, Inc.",1135175400,America/New_York,EDT,-14400000,83.82,124.0,85.0,108.76,112.0,2.0,buy,17,7128872960,31.255,1417168000,8413015040,0.9,1.075,19202385920,747.858,84.466,0.03205,0.70181,4343730000,1613273472,1931474048,0.534,0.27,0.25635,0.0738,0.04853,USD,1.0325
6,9348 Civic Center Drive,Beverly Hills,CA,90210,United States,310 867 7000,https://www.livenationentertainment.com,Entertainment,Communication Services,"Live Nation Entertainment, Inc. operates as a live entertainment company. It operates through Concerts, Ticketing, and Sponsorship & Advertising segments. The Concerts segment promotes live music events in its owned or operated venues, and in rented third-party venues; operates and manages music venues; produces music festivals; creates and streams associated content; and offers management and other services to artists. The Ticketing segment manages the ticketing operations, including the provision of ticketing software and services to clients for tickets and event information through its primary websites livenation.com and ticketmaster.com, as well as through other websites, mobile apps, retail outlets, and call centers; and provides ticket resale services. This segment sells tickets for its events and third-party clients in various live event categories; offers ticketing services for arenas, stadiums, amphitheaters, music clubs, concert promoters, professional sports franchises and leagues, college sports teams, performing arts venues, museums, and theaters. The Sponsorship & Advertising segment sells international, national, and local sponsorships and placement of advertising, including signage and promotional programs; rich media offering that comprise advertising related with live streaming and music-related content; and ads across its distribution network of venues, events, and websites. This segment also manages the development of strategic sponsorship programs, as well as develops, books, and produces custom events or programs for specific brands. It owns, operates, or leases entertainment venues in North America and internationally. The company was formerly known as Live Nation, Inc. and changed its name to Live Nation Entertainment, Inc. in January 2010. Live Nation Entertainment, Inc. was incorporated in 2005 and is headquartered in Beverly Hills, California.",12800,"{'maxAge': 1, 'name': 'Ms. Maili  Bergman', 'title': 'Sr. VP of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",8,10,10,9,10,1693526400,1672444800,86400,2,85.01,84.98,83.69,85.27,85.01,84.98,83.69,85.27,0.0,1.301867,72.25862,49.89286,2127562,2127562,2072167,2272910,2272910,82.45,84.19,800,900,19291256832,64.25,101.74,1.0046281,87.9872,78.49,0.0,0.0,USD,21986271232,0.02338,157061743,230151008,12163057,13261403,1690761600,1693440000,0.052800003,0.32263002,0.71612,6.8,0.078,-0.822,1672444800,1703980800,1688083200,0.564,258831008,1.16,1.68,0.94,1.145,15.514,NYQ,EQUITY,LYV,LYV,"Live Nation Entertainment, Inc.","Live Nation Entertainment, Inc.",1135175400,America/New_York,EDT,-14400000,83.82,124.0,85.0,108.76,112.0,2.0,buy,17,7128872960,31.255,1417168000,8413015040,0.9,1.075,19202385920,747.858,84.466,0.03205,0.70181,4343730000,1613273472,1931474048,0.534,0.27,0.25635,0.0738,0.04853,USD,1.0325
7,9348 Civic Center Drive,Beverly Hills,CA,90210,United States,310 867 7000,https://www.livenationentertainment.com,Entertainment,Communication Services,"Live Nation Entertainment, Inc. operates as a live entertainment company. It operates through Concerts, Ticketing, and Sponsorship & Advertising segments. The Concerts segment promotes live music events in its owned or operated venues, and in rented third-party venues; operates and manages music venues; produces music festivals; creates and streams associated content; and offers management and other services to artists. The Ticketing segment manages the ticketing operations, including the provision of ticketing software and services to clients for tickets and event information through its primary websites livenation.com and ticketmaster.com, as well as through other websites, mobile apps, retail outlets, and call centers; and provides ticket resale services. This segment sells tickets for its events and third-party clients in various live event categories; offers ticketing services for arenas, stadiums, amphitheaters, music clubs, concert promoters, professional sports franchises and leagues, college sports teams, performing arts venues, museums, and theaters. The Sponsorship & Advertising segment sells international, national, and local sponsorships and placement of advertising, including signage and promotional programs; rich media offering that comprise advertising related with live streaming and music-related content; and ads across its distribution network of venues, events, and websites. This segment also manages the development of strategic sponsorship programs, as well as develops, books, and produces custom events or programs for specific brands. It owns, operates, or leases entertainment venues in North America and internationally. The company was formerly known as Live Nation, Inc. and changed its name to Live Nation Entertainment, Inc. in January 2010. Live Nation Entertainment, Inc. was incorporated in 2005 and is headquartered in Beverly Hills, California.",12800,"{'maxAge': 1, 'name': 'Ms. Kaitlyn  Henrich', 'age': 31, 'title': 'Sr. VP Corp. Communications & Social Impact', 'yearBorn': 1991, 'exercisedValue': 0, 'unexercisedValue': 0}",8,10,10,9,10,1693526400,1672444800,86400,2,85.01,84.98,83.69,85.27,85.01,84.98,83.69,85.27,0.0,1.301867,72.25862,49.89286,2127562,2127562,2072167,2272910,2272910,82.45,84.19,800,900,19291256832,64.25,101.74,1.0046281,87.9872,78.49,0.0,0.0,USD,21986271232,0.02338,157061743,230151008,12163057,13261403,1690761600,1693440000,0.052800003,0.32263002,0.71612,6.8,0.078,-0.822,1672444800,1703980800,1688083200,0.564,258831008,1.16,1.68,0.94,1.145,15.514,NYQ,EQUITY,LYV,LYV,"Live Nation Entertainment, Inc.","Live Nation Entertainment, Inc.",1135175400,America/New_York,EDT,-14400000,83.82,124.0,85.0,108.76,112.0,2.0,buy,17,7128872960,31.255,1417168000,8413015040,0.9,1.075,19202385920,747.858,84.466,0.03205,0.70181,4343730000,1613273472,1931474048,0.534,0.27,0.25635,0.0738,0.04853,USD,1.0325
8,9348 Civic Center Drive,Beverly Hills,CA,90210,United States,310 867 7000,https://www.livenationentertainment.com,Entertainment,Communication Services,"Live Nation Entertainment, Inc. operates as a live entertainment company. It operates through Concerts, Ticketing, and Sponsorship & Advertising segments. The Concerts segment promotes live music events in its owned or operated venues, and in rented third-party venues; operates and manages music venues; produces music festivals; creates and streams associated content; and offers management and other services to artists. The Ticketing segment manages the ticketing operations, including the provision of ticketing software and services to clients for tickets and event information through its primary websites livenation.com and ticketmaster.com, as well as through other websites, mobile apps, retail outlets, and call centers; and provides ticket resale services. This segment sells tickets for its events and third-party clients in various live event categories; offers ticketing services for arenas, stadiums, amphitheaters, music clubs, concert promoters, professional sports franchises and leagues, college sports teams, performing arts venues, museums, and theaters. The Sponsorship & Advertising segment sells international, national, and local sponsorships and placement of advertising, including signage and promotional programs; rich media offering that comprise advertising related with live streaming and music-related content; and ads across its distribution network of venues, events, and websites. This segment also manages the development of strategic sponsorship programs, as well as develops, books, and produces custom events or programs for specific brands. It owns, operates, or leases entertainment venues in North America and internationally. The company was formerly known as Live Nation, Inc. and changed its name to Live Nation Entertainment, Inc. in January 2010. Live Nation Entertainment, Inc. was incorporated in 2005 and is headquartered in Beverly Hills, California.",12800,"{'maxAge': 1, 'name': 'Ms. Amy  Marks', 'title': 'Exec. VP & Head of Integrated Marketing', 'exercisedValue': 0, 'unexercisedValue': 0}",8,10,10,9,10,1693526400,1672444800,86400,2,85.01,84.98,83.69,85.27,85.01,84.98,83.69,85.27,0.0,1.301867,72.25862,49.89286,2127562,2127562,2072167,2272910,2272910,82.45,84.19,800,900,19291256832,64.25,101.74,1.0046281,87.9872,78.49,0.0,0.0,USD,21986271232,0.02338,157061743,230151008,12163057,13261403,1690761600,1693440000,0.052800003,0.32263002,0.71612,6.8,0.078,-0.822,1672444800,1703980800,1688083200,0.564,258831008,1.16,1.68,0.94,1.145,15.514,NYQ,EQUITY,LYV,LYV,"Live Nation Entertainment, Inc.","Live Nation Entertainment, Inc.",1135175400,America/New_York,EDT,-14400000,83.82,124.0,85.0,108.76,112.0,2.0,buy,17,7128872960,31.255,1417168000,8413015040,0.9,1.075,19202385920,747.858,84.466,0.03205,0.70181,4343730000,1613273472,1931474048,0.534,0.27,0.25635,0.0738,0.04853,USD,1.0325
9,9348 Civic Center Drive,Beverly Hills,CA,90210,United States,310 867 7000,https://www.livenationentertainment.com,Entertainment,Communication Services,"Live Nation Entertainment, Inc. operates as a live entertainment company. It operates through Concerts, Ticketing, and Sponsorship & Advertising segments. The Concerts segment promotes live music events in its owned or operated venues, and in rented third-party venues; operates and manages music venues; produces music festivals; creates and streams associated content; and offers management and other services to artists. The Ticketing segment manages the ticketing operations, including the provision of ticketing software and services to clients for tickets and event information through its primary websites livenation.com and ticketmaster.com, as well as through other websites, mobile apps, retail outlets, and call centers; and provides ticket resale services. This segment sells tickets for its events and third-party clients in various live event categories; offers ticketing services for arenas, stadiums, amphitheaters, music clubs, concert promoters, professional sports franchises and leagues, college sports teams, performing arts venues, museums, and theaters. The Sponsorship & Advertising segment sells international, national, and local sponsorships and placement of advertising, including signage and promotional programs; rich media offering that comprise advertising related with live streaming and music-related content; and ads across its distribution network of venues, events, and websites. This segment also manages the development of strategic sponsorship programs, as well as develops, books, and produces custom events or programs for specific brands. It owns, operates, or leases entertainment venues in North America and internationally. The company was formerly known as Live Nation, Inc. and changed its name to Live Nation Entertainment, Inc. in January 2010. Live Nation Entertainment, Inc. was incorporated in 2005 and is headquartered in Beverly Hills, California.",12800,"{'maxAge': 1, 'name': 'Ms. Liz  Dyer', 'age': 36, 'title': 'Sr. VP of HR', 'yearBorn': 1986, 'exercisedValue': 0, 'unexercisedValue': 0}",8,10,10,9,10,1693526400,1672444800,86400,2,85.01,84.98,83.69,85.27,85.01,84.98,83.69,85.27,0.0,1.301867,72.25862,49.89286,2127562,2127562,2072167,2272910,2272910,82.45,84.19,800,900,19291256832,64.25,101.74,1.0046281,87.9872,78.49,0.0,0.0,USD,21986271232,0.02338,157061743,230151008,12163057,13261403,1690761600,1693440000,0.052800003,0.32263002,0.71612,6.8,0.078,-0.822,1672444800,1703980800,1688083200,0.564,258831008,1.16,1.68,0.94,1.145,15.514,NYQ,EQUITY,LYV,LYV,"Live Nation Entertainment, Inc.","Live Nation Entertainment, Inc.",1135175400,America/New_York,EDT,-14400000,83.82,124.0,85.0,108.76,112.0,2.0,buy,17,7128872960,31.255,1417168000,8413015040,0.9,1.075,19202385920,747.858,84.466,0.03205,0.70181,4343730000,1613273472,1931474048,0.534,0.27,0.25635,0.0738,0.04853,USD,1.0325
