,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,100 East Wisconsin Avenue,Suite 1900,Milwaukee,WI,53202-4125,United States,414 905 1000,https://www.marcuscorp.com,Entertainment,Communication Services,"The Marcus Corporation, together with its subsidiaries, owns and operates movie theatres, and hotels and resorts in the United States. The company's Theatres segment operates multiscreen motion picture theatres, as well as Funset Boulevard, a family entertainment center under the Big Screen Bistro, Big Screen Bistro Express, BistroPlex, and Movie Tavern by Marcus brand names. Its Hotels and Resorts segment owns and operates full-service hotels and resorts, as well as manages full-service hotels, resorts, and other properties. The company also provides hospitality management services, including check-in, housekeeping, and maintenance for a vacation ownership development. The Marcus Corporation was founded in 1935 and is headquartered in Milwaukee, Wisconsin.",3140,"{'maxAge': 1, 'name': 'Mr. Gregory S. Marcus', 'age': 57, 'title': 'Pres, CEO & Chairman', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 1731395, 'exercisedValue': 123760, 'unexercisedValue': 131175}",8,8,6,9,8,1693526400,1672444800,86400,2,14.9,14.9,14.77,15.0,14.9,14.9,14.77,15.0,0.28,0.0188,1692835200,1.552213,45.121212,357470,357470,216854,219240,219240,14.82,14.83,800,900,471870080,13.62,18.05,0.70542604,15.4278,15.60865,0.2,0.01342282,USD,820629376,-0.00303,23553539,24611900,3507441,3562837,1690761600,1693440000,0.1107,0.03871,1.10531,15.97,0.17889999,14.566,1.0222436,1672272000,1703808000,1687996800,0.503,-2030000,-0.07,0.33,3.82,3:2,881539200,1.227,9.952,NYQ,EQUITY,MCS,MCS,Marcus Corporation (The),The Marcus Corporation,322151400,America/New_York,EDT,-14400000,14.89,23.0,20.0,21.0,20.0,1.7,buy,3,49474000,1.561,82459000,398233984,0.427,0.559,668915008,86.302,21.192,0.00975,0.00183,257393000,47844752,85307000,0.491,0.037,0.40182,0.12327,0.02616,USD,7.6359
1,100 East Wisconsin Avenue,Suite 1900,Milwaukee,WI,53202-4125,United States,414 905 1000,https://www.marcuscorp.com,Entertainment,Communication Services,"The Marcus Corporation, together with its subsidiaries, owns and operates movie theatres, and hotels and resorts in the United States. The company's Theatres segment operates multiscreen motion picture theatres, as well as Funset Boulevard, a family entertainment center under the Big Screen Bistro, Big Screen Bistro Express, BistroPlex, and Movie Tavern by Marcus brand names. Its Hotels and Resorts segment owns and operates full-service hotels and resorts, as well as manages full-service hotels, resorts, and other properties. The company also provides hospitality management services, including check-in, housekeeping, and maintenance for a vacation ownership development. The Marcus Corporation was founded in 1935 and is headquartered in Milwaukee, Wisconsin.",3140,"{'maxAge': 1, 'name': 'Mr. Chad M. Paris', 'age': 40, 'title': 'CFO & Treasurer', 'yearBorn': 1982, 'fiscalYear': 2022, 'totalPay': 453184, 'exercisedValue': 0, 'unexercisedValue': 0}",8,8,6,9,8,1693526400,1672444800,86400,2,14.9,14.9,14.77,15.0,14.9,14.9,14.77,15.0,0.28,0.0188,1692835200,1.552213,45.121212,357470,357470,216854,219240,219240,14.82,14.83,800,900,471870080,13.62,18.05,0.70542604,15.4278,15.60865,0.2,0.01342282,USD,820629376,-0.00303,23553539,24611900,3507441,3562837,1690761600,1693440000,0.1107,0.03871,1.10531,15.97,0.17889999,14.566,1.0222436,1672272000,1703808000,1687996800,0.503,-2030000,-0.07,0.33,3.82,3:2,881539200,1.227,9.952,NYQ,EQUITY,MCS,MCS,Marcus Corporation (The),The Marcus Corporation,322151400,America/New_York,EDT,-14400000,14.89,23.0,20.0,21.0,20.0,1.7,buy,3,49474000,1.561,82459000,398233984,0.427,0.559,668915008,86.302,21.192,0.00975,0.00183,257393000,47844752,85307000,0.491,0.037,0.40182,0.12327,0.02616,USD,7.6359
2,100 East Wisconsin Avenue,Suite 1900,Milwaukee,WI,53202-4125,United States,414 905 1000,https://www.marcuscorp.com,Entertainment,Communication Services,"The Marcus Corporation, together with its subsidiaries, owns and operates movie theatres, and hotels and resorts in the United States. The company's Theatres segment operates multiscreen motion picture theatres, as well as Funset Boulevard, a family entertainment center under the Big Screen Bistro, Big Screen Bistro Express, BistroPlex, and Movie Tavern by Marcus brand names. Its Hotels and Resorts segment owns and operates full-service hotels and resorts, as well as manages full-service hotels, resorts, and other properties. The company also provides hospitality management services, including check-in, housekeeping, and maintenance for a vacation ownership development. The Marcus Corporation was founded in 1935 and is headquartered in Milwaukee, Wisconsin.",3140,"{'maxAge': 1, 'name': 'Mr. Thomas F. Kissinger', 'age': 62, 'title': 'Sr. EVP, Gen. Counsel, Sec. & Director', 'yearBorn': 1960, 'fiscalYear': 2022, 'totalPay': 846855, 'exercisedValue': 0, 'unexercisedValue': 15400}",8,8,6,9,8,1693526400,1672444800,86400,2,14.9,14.9,14.77,15.0,14.9,14.9,14.77,15.0,0.28,0.0188,1692835200,1.552213,45.121212,357470,357470,216854,219240,219240,14.82,14.83,800,900,471870080,13.62,18.05,0.70542604,15.4278,15.60865,0.2,0.01342282,USD,820629376,-0.00303,23553539,24611900,3507441,3562837,1690761600,1693440000,0.1107,0.03871,1.10531,15.97,0.17889999,14.566,1.0222436,1672272000,1703808000,1687996800,0.503,-2030000,-0.07,0.33,3.82,3:2,881539200,1.227,9.952,NYQ,EQUITY,MCS,MCS,Marcus Corporation (The),The Marcus Corporation,322151400,America/New_York,EDT,-14400000,14.89,23.0,20.0,21.0,20.0,1.7,buy,3,49474000,1.561,82459000,398233984,0.427,0.559,668915008,86.302,21.192,0.00975,0.00183,257393000,47844752,85307000,0.491,0.037,0.40182,0.12327,0.02616,USD,7.6359
3,100 East Wisconsin Avenue,Suite 1900,Milwaukee,WI,53202-4125,United States,414 905 1000,https://www.marcuscorp.com,Entertainment,Communication Services,"The Marcus Corporation, together with its subsidiaries, owns and operates movie theatres, and hotels and resorts in the United States. The company's Theatres segment operates multiscreen motion picture theatres, as well as Funset Boulevard, a family entertainment center under the Big Screen Bistro, Big Screen Bistro Express, BistroPlex, and Movie Tavern by Marcus brand names. Its Hotels and Resorts segment owns and operates full-service hotels and resorts, as well as manages full-service hotels, resorts, and other properties. The company also provides hospitality management services, including check-in, housekeeping, and maintenance for a vacation ownership development. The Marcus Corporation was founded in 1935 and is headquartered in Milwaukee, Wisconsin.",3140,"{'maxAge': 1, 'name': 'Mr. Rolando B. Rodriguez', 'age': 62, 'title': 'Sr. Advisor', 'yearBorn': 1960, 'fiscalYear': 2022, 'totalPay': 1129190, 'exercisedValue': 0, 'unexercisedValue': 15400}",8,8,6,9,8,1693526400,1672444800,86400,2,14.9,14.9,14.77,15.0,14.9,14.9,14.77,15.0,0.28,0.0188,1692835200,1.552213,45.121212,357470,357470,216854,219240,219240,14.82,14.83,800,900,471870080,13.62,18.05,0.70542604,15.4278,15.60865,0.2,0.01342282,USD,820629376,-0.00303,23553539,24611900,3507441,3562837,1690761600,1693440000,0.1107,0.03871,1.10531,15.97,0.17889999,14.566,1.0222436,1672272000,1703808000,1687996800,0.503,-2030000,-0.07,0.33,3.82,3:2,881539200,1.227,9.952,NYQ,EQUITY,MCS,MCS,Marcus Corporation (The),The Marcus Corporation,322151400,America/New_York,EDT,-14400000,14.89,23.0,20.0,21.0,20.0,1.7,buy,3,49474000,1.561,82459000,398233984,0.427,0.559,668915008,86.302,21.192,0.00975,0.00183,257393000,47844752,85307000,0.491,0.037,0.40182,0.12327,0.02616,USD,7.6359
4,100 East Wisconsin Avenue,Suite 1900,Milwaukee,WI,53202-4125,United States,414 905 1000,https://www.marcuscorp.com,Entertainment,Communication Services,"The Marcus Corporation, together with its subsidiaries, owns and operates movie theatres, and hotels and resorts in the United States. The company's Theatres segment operates multiscreen motion picture theatres, as well as Funset Boulevard, a family entertainment center under the Big Screen Bistro, Big Screen Bistro Express, BistroPlex, and Movie Tavern by Marcus brand names. Its Hotels and Resorts segment owns and operates full-service hotels and resorts, as well as manages full-service hotels, resorts, and other properties. The company also provides hospitality management services, including check-in, housekeeping, and maintenance for a vacation ownership development. The Marcus Corporation was founded in 1935 and is headquartered in Milwaukee, Wisconsin.",3140,"{'maxAge': 1, 'name': 'Mrs. Kim M. Lueck', 'title': 'Chief Information Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",8,8,6,9,8,1693526400,1672444800,86400,2,14.9,14.9,14.77,15.0,14.9,14.9,14.77,15.0,0.28,0.0188,1692835200,1.552213,45.121212,357470,357470,216854,219240,219240,14.82,14.83,800,900,471870080,13.62,18.05,0.70542604,15.4278,15.60865,0.2,0.01342282,USD,820629376,-0.00303,23553539,24611900,3507441,3562837,1690761600,1693440000,0.1107,0.03871,1.10531,15.97,0.17889999,14.566,1.0222436,1672272000,1703808000,1687996800,0.503,-2030000,-0.07,0.33,3.82,3:2,881539200,1.227,9.952,NYQ,EQUITY,MCS,MCS,Marcus Corporation (The),The Marcus Corporation,322151400,America/New_York,EDT,-14400000,14.89,23.0,20.0,21.0,20.0,1.7,buy,3,49474000,1.561,82459000,398233984,0.427,0.559,668915008,86.302,21.192,0.00975,0.00183,257393000,47844752,85307000,0.491,0.037,0.40182,0.12327,0.02616,USD,7.6359
5,100 East Wisconsin Avenue,Suite 1900,Milwaukee,WI,53202-4125,United States,414 905 1000,https://www.marcuscorp.com,Entertainment,Communication Services,"The Marcus Corporation, together with its subsidiaries, owns and operates movie theatres, and hotels and resorts in the United States. The company's Theatres segment operates multiscreen motion picture theatres, as well as Funset Boulevard, a family entertainment center under the Big Screen Bistro, Big Screen Bistro Express, BistroPlex, and Movie Tavern by Marcus brand names. Its Hotels and Resorts segment owns and operates full-service hotels and resorts, as well as manages full-service hotels, resorts, and other properties. The company also provides hospitality management services, including check-in, housekeeping, and maintenance for a vacation ownership development. The Marcus Corporation was founded in 1935 and is headquartered in Milwaukee, Wisconsin.",3140,"{'maxAge': 1, 'name': 'Mr. Steven V. Martin', 'title': 'Chief HR Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",8,8,6,9,8,1693526400,1672444800,86400,2,14.9,14.9,14.77,15.0,14.9,14.9,14.77,15.0,0.28,0.0188,1692835200,1.552213,45.121212,357470,357470,216854,219240,219240,14.82,14.83,800,900,471870080,13.62,18.05,0.70542604,15.4278,15.60865,0.2,0.01342282,USD,820629376,-0.00303,23553539,24611900,3507441,3562837,1690761600,1693440000,0.1107,0.03871,1.10531,15.97,0.17889999,14.566,1.0222436,1672272000,1703808000,1687996800,0.503,-2030000,-0.07,0.33,3.82,3:2,881539200,1.227,9.952,NYQ,EQUITY,MCS,MCS,Marcus Corporation (The),The Marcus Corporation,322151400,America/New_York,EDT,-14400000,14.89,23.0,20.0,21.0,20.0,1.7,buy,3,49474000,1.561,82459000,398233984,0.427,0.559,668915008,86.302,21.192,0.00975,0.00183,257393000,47844752,85307000,0.491,0.037,0.40182,0.12327,0.02616,USD,7.6359
6,100 East Wisconsin Avenue,Suite 1900,Milwaukee,WI,53202-4125,United States,414 905 1000,https://www.marcuscorp.com,Entertainment,Communication Services,"The Marcus Corporation, together with its subsidiaries, owns and operates movie theatres, and hotels and resorts in the United States. The company's Theatres segment operates multiscreen motion picture theatres, as well as Funset Boulevard, a family entertainment center under the Big Screen Bistro, Big Screen Bistro Express, BistroPlex, and Movie Tavern by Marcus brand names. Its Hotels and Resorts segment owns and operates full-service hotels and resorts, as well as manages full-service hotels, resorts, and other properties. The company also provides hospitality management services, including check-in, housekeeping, and maintenance for a vacation ownership development. The Marcus Corporation was founded in 1935 and is headquartered in Milwaukee, Wisconsin.",3140,"{'maxAge': 1, 'name': 'Mr. Michael R. Evans', 'title': 'Pres of Marcus Hotels & Resorts division', 'exercisedValue': 0, 'unexercisedValue': 0}",8,8,6,9,8,1693526400,1672444800,86400,2,14.9,14.9,14.77,15.0,14.9,14.9,14.77,15.0,0.28,0.0188,1692835200,1.552213,45.121212,357470,357470,216854,219240,219240,14.82,14.83,800,900,471870080,13.62,18.05,0.70542604,15.4278,15.60865,0.2,0.01342282,USD,820629376,-0.00303,23553539,24611900,3507441,3562837,1690761600,1693440000,0.1107,0.03871,1.10531,15.97,0.17889999,14.566,1.0222436,1672272000,1703808000,1687996800,0.503,-2030000,-0.07,0.33,3.82,3:2,881539200,1.227,9.952,NYQ,EQUITY,MCS,MCS,Marcus Corporation (The),The Marcus Corporation,322151400,America/New_York,EDT,-14400000,14.89,23.0,20.0,21.0,20.0,1.7,buy,3,49474000,1.561,82459000,398233984,0.427,0.559,668915008,86.302,21.192,0.00975,0.00183,257393000,47844752,85307000,0.491,0.037,0.40182,0.12327,0.02616,USD,7.6359
7,100 East Wisconsin Avenue,Suite 1900,Milwaukee,WI,53202-4125,United States,414 905 1000,https://www.marcuscorp.com,Entertainment,Communication Services,"The Marcus Corporation, together with its subsidiaries, owns and operates movie theatres, and hotels and resorts in the United States. The company's Theatres segment operates multiscreen motion picture theatres, as well as Funset Boulevard, a family entertainment center under the Big Screen Bistro, Big Screen Bistro Express, BistroPlex, and Movie Tavern by Marcus brand names. Its Hotels and Resorts segment owns and operates full-service hotels and resorts, as well as manages full-service hotels, resorts, and other properties. The company also provides hospitality management services, including check-in, housekeeping, and maintenance for a vacation ownership development. The Marcus Corporation was founded in 1935 and is headquartered in Milwaukee, Wisconsin.",3140,"{'maxAge': 1, 'name': 'Mr. Skip  Harless', 'title': 'Managing Director of Marcus Hotels & Resorts', 'exercisedValue': 0, 'unexercisedValue': 0}",8,8,6,9,8,1693526400,1672444800,86400,2,14.9,14.9,14.77,15.0,14.9,14.9,14.77,15.0,0.28,0.0188,1692835200,1.552213,45.121212,357470,357470,216854,219240,219240,14.82,14.83,800,900,471870080,13.62,18.05,0.70542604,15.4278,15.60865,0.2,0.01342282,USD,820629376,-0.00303,23553539,24611900,3507441,3562837,1690761600,1693440000,0.1107,0.03871,1.10531,15.97,0.17889999,14.566,1.0222436,1672272000,1703808000,1687996800,0.503,-2030000,-0.07,0.33,3.82,3:2,881539200,1.227,9.952,NYQ,EQUITY,MCS,MCS,Marcus Corporation (The),The Marcus Corporation,322151400,America/New_York,EDT,-14400000,14.89,23.0,20.0,21.0,20.0,1.7,buy,3,49474000,1.561,82459000,398233984,0.427,0.559,668915008,86.302,21.192,0.00975,0.00183,257393000,47844752,85307000,0.491,0.037,0.40182,0.12327,0.02616,USD,7.6359
8,100 East Wisconsin Avenue,Suite 1900,Milwaukee,WI,53202-4125,United States,414 905 1000,https://www.marcuscorp.com,Entertainment,Communication Services,"The Marcus Corporation, together with its subsidiaries, owns and operates movie theatres, and hotels and resorts in the United States. The company's Theatres segment operates multiscreen motion picture theatres, as well as Funset Boulevard, a family entertainment center under the Big Screen Bistro, Big Screen Bistro Express, BistroPlex, and Movie Tavern by Marcus brand names. Its Hotels and Resorts segment owns and operates full-service hotels and resorts, as well as manages full-service hotels, resorts, and other properties. The company also provides hospitality management services, including check-in, housekeeping, and maintenance for a vacation ownership development. The Marcus Corporation was founded in 1935 and is headquartered in Milwaukee, Wisconsin.",3140,"{'maxAge': 1, 'name': 'Mr. Mark A. Gramz', 'title': 'Pres of Marcus Theatres Corp.', 'exercisedValue': 0, 'unexercisedValue': 0}",8,8,6,9,8,1693526400,1672444800,86400,2,14.9,14.9,14.77,15.0,14.9,14.9,14.77,15.0,0.28,0.0188,1692835200,1.552213,45.121212,357470,357470,216854,219240,219240,14.82,14.83,800,900,471870080,13.62,18.05,0.70542604,15.4278,15.60865,0.2,0.01342282,USD,820629376,-0.00303,23553539,24611900,3507441,3562837,1690761600,1693440000,0.1107,0.03871,1.10531,15.97,0.17889999,14.566,1.0222436,1672272000,1703808000,1687996800,0.503,-2030000,-0.07,0.33,3.82,3:2,881539200,1.227,9.952,NYQ,EQUITY,MCS,MCS,Marcus Corporation (The),The Marcus Corporation,322151400,America/New_York,EDT,-14400000,14.89,23.0,20.0,21.0,20.0,1.7,buy,3,49474000,1.561,82459000,398233984,0.427,0.559,668915008,86.302,21.192,0.00975,0.00183,257393000,47844752,85307000,0.491,0.037,0.40182,0.12327,0.02616,USD,7.6359
9,100 East Wisconsin Avenue,Suite 1900,Milwaukee,WI,53202-4125,United States,414 905 1000,https://www.marcuscorp.com,Entertainment,Communication Services,"The Marcus Corporation, together with its subsidiaries, owns and operates movie theatres, and hotels and resorts in the United States. The company's Theatres segment operates multiscreen motion picture theatres, as well as Funset Boulevard, a family entertainment center under the Big Screen Bistro, Big Screen Bistro Express, BistroPlex, and Movie Tavern by Marcus brand names. Its Hotels and Resorts segment owns and operates full-service hotels and resorts, as well as manages full-service hotels, resorts, and other properties. The company also provides hospitality management services, including check-in, housekeeping, and maintenance for a vacation ownership development. The Marcus Corporation was founded in 1935 and is headquartered in Milwaukee, Wisconsin.",3140,"{'maxAge': 1, 'name': 'Mr. Steven S. Bartelt', 'title': 'Director of Legal Affairs & Assistant Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",8,8,6,9,8,1693526400,1672444800,86400,2,14.9,14.9,14.77,15.0,14.9,14.9,14.77,15.0,0.28,0.0188,1692835200,1.552213,45.121212,357470,357470,216854,219240,219240,14.82,14.83,800,900,471870080,13.62,18.05,0.70542604,15.4278,15.60865,0.2,0.01342282,USD,820629376,-0.00303,23553539,24611900,3507441,3562837,1690761600,1693440000,0.1107,0.03871,1.10531,15.97,0.17889999,14.566,1.0222436,1672272000,1703808000,1687996800,0.503,-2030000,-0.07,0.33,3.82,3:2,881539200,1.227,9.952,NYQ,EQUITY,MCS,MCS,Marcus Corporation (The),The Marcus Corporation,322151400,America/New_York,EDT,-14400000,14.89,23.0,20.0,21.0,20.0,1.7,buy,3,49474000,1.561,82459000,398233984,0.427,0.559,668915008,86.302,21.192,0.00975,0.00183,257393000,47844752,85307000,0.491,0.037,0.40182,0.12327,0.02616,USD,7.6359
