,address1,address2,city,state,zip,country,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,fiveYearAvgDividendYield,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,700 West Pender Street,Suite 1120,Vancouver,BC,V6C 1G8,Canada,604 684 1094,https://www.mercerint.com,Paper & Paper Products,Basic Materials,"Mercer International Inc., together with its subsidiaries, manufactures and sells northern bleached softwood kraft (NBSK) pulp in Europe, the United States, Asia, and internationally. The company operates through two segments, Pulp and Wood Products. It also generates and sells green energy produced from biomass cogeneration power plant to third party utilities. In addition, the company manufactures, distributes, and sells lumber and other wood residuals. Further, it produces NBSK pulp primarily from wood chips, pulp logs, and sawlogs; carbon neutral or green energy using carbon-neutral bio-fuels, such as black liquor and wood waste; and tall oil for use as a chemical additive and green energy source. The company sells its pulp to tissue, specialty paper, and printing and writing paper, and other manufacturers; and lumber products to distributors, construction firms, secondary manufacturers, retail yards, and home centers. Mercer International Inc. was founded in 1968 and is headquartered in Vancouver, Canada.",3320,"{'maxAge': 1, 'name': 'Mr. Jimmy S. H. Lee B.Sc.', 'age': 65, 'title': 'Exec. Chairman', 'yearBorn': 1957, 'fiscalYear': 2022, 'totalPay': 1322844, 'exercisedValue': 0, 'unexercisedValue': 0}",2,4,1,3,1,1693526400,1672444800,86400,2,8.73,8.73,8.71,9.055,8.73,8.73,8.71,9.055,0.3,0.0334,1695686400,3.44,1.46473,4.2918663,764859,764859,594450,397090,397090,8.98,8.97,800,800,596728384,7.37,14.97,0.27519307,8.6636,10.03625,0.3,0.034364264,USD,1811638656,-0.01942,54698689,66524900,2477916,2501050,1690761600,1693440000,0.0372,0.38195,0.54495,4.21,0.060399998,11.034,0.8129418,1672444800,1703980800,1688083200,-42114000,-0.64,2.09,1.1,10249:10000,641520000,0.835,9.189,NMS,EQUITY,MERC,MERC,Mercer International Inc.,Mercer International Inc.,585408600,America/New_York,EDT,-14400000,8.97,21.5,13.0,15.8,15.5,2.4,buy,5,213338000,3.21,197144000,1428734976,1.481,2.698,2168399104,194.791,32.737,0.00703,-0.056700002,642265000,-44478624,102357000,-0.074,0.14848,0.09092,0.0130900005,USD,
1,700 West Pender Street,Suite 1120,Vancouver,BC,V6C 1G8,Canada,604 684 1094,https://www.mercerint.com,Paper & Paper Products,Basic Materials,"Mercer International Inc., together with its subsidiaries, manufactures and sells northern bleached softwood kraft (NBSK) pulp in Europe, the United States, Asia, and internationally. The company operates through two segments, Pulp and Wood Products. It also generates and sells green energy produced from biomass cogeneration power plant to third party utilities. In addition, the company manufactures, distributes, and sells lumber and other wood residuals. Further, it produces NBSK pulp primarily from wood chips, pulp logs, and sawlogs; carbon neutral or green energy using carbon-neutral bio-fuels, such as black liquor and wood waste; and tall oil for use as a chemical additive and green energy source. The company sells its pulp to tissue, specialty paper, and printing and writing paper, and other manufacturers; and lumber products to distributors, construction firms, secondary manufacturers, retail yards, and home centers. Mercer International Inc. was founded in 1968 and is headquartered in Vancouver, Canada.",3320,"{'maxAge': 1, 'name': 'Mr. Juan Carlos Bueno', 'age': 54, 'title': 'CEO, Pres & Director', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 1357768, 'exercisedValue': 0, 'unexercisedValue': 0}",2,4,1,3,1,1693526400,1672444800,86400,2,8.73,8.73,8.71,9.055,8.73,8.73,8.71,9.055,0.3,0.0334,1695686400,3.44,1.46473,4.2918663,764859,764859,594450,397090,397090,8.98,8.97,800,800,596728384,7.37,14.97,0.27519307,8.6636,10.03625,0.3,0.034364264,USD,1811638656,-0.01942,54698689,66524900,2477916,2501050,1690761600,1693440000,0.0372,0.38195,0.54495,4.21,0.060399998,11.034,0.8129418,1672444800,1703980800,1688083200,-42114000,-0.64,2.09,1.1,10249:10000,641520000,0.835,9.189,NMS,EQUITY,MERC,MERC,Mercer International Inc.,Mercer International Inc.,585408600,America/New_York,EDT,-14400000,8.97,21.5,13.0,15.8,15.5,2.4,buy,5,213338000,3.21,197144000,1428734976,1.481,2.698,2168399104,194.791,32.737,0.00703,-0.056700002,642265000,-44478624,102357000,-0.074,0.14848,0.09092,0.0130900005,USD,
2,700 West Pender Street,Suite 1120,Vancouver,BC,V6C 1G8,Canada,604 684 1094,https://www.mercerint.com,Paper & Paper Products,Basic Materials,"Mercer International Inc., together with its subsidiaries, manufactures and sells northern bleached softwood kraft (NBSK) pulp in Europe, the United States, Asia, and internationally. The company operates through two segments, Pulp and Wood Products. It also generates and sells green energy produced from biomass cogeneration power plant to third party utilities. In addition, the company manufactures, distributes, and sells lumber and other wood residuals. Further, it produces NBSK pulp primarily from wood chips, pulp logs, and sawlogs; carbon neutral or green energy using carbon-neutral bio-fuels, such as black liquor and wood waste; and tall oil for use as a chemical additive and green energy source. The company sells its pulp to tissue, specialty paper, and printing and writing paper, and other manufacturers; and lumber products to distributors, construction firms, secondary manufacturers, retail yards, and home centers. Mercer International Inc. was founded in 1968 and is headquartered in Vancouver, Canada.",3320,"{'maxAge': 1, 'name': 'Mr. Adolf  Koppensteiner', 'age': 60, 'title': 'Chief Operating Officer', 'yearBorn': 1962, 'fiscalYear': 2022, 'totalPay': 928957, 'exercisedValue': 0, 'unexercisedValue': 0}",2,4,1,3,1,1693526400,1672444800,86400,2,8.73,8.73,8.71,9.055,8.73,8.73,8.71,9.055,0.3,0.0334,1695686400,3.44,1.46473,4.2918663,764859,764859,594450,397090,397090,8.98,8.97,800,800,596728384,7.37,14.97,0.27519307,8.6636,10.03625,0.3,0.034364264,USD,1811638656,-0.01942,54698689,66524900,2477916,2501050,1690761600,1693440000,0.0372,0.38195,0.54495,4.21,0.060399998,11.034,0.8129418,1672444800,1703980800,1688083200,-42114000,-0.64,2.09,1.1,10249:10000,641520000,0.835,9.189,NMS,EQUITY,MERC,MERC,Mercer International Inc.,Mercer International Inc.,585408600,America/New_York,EDT,-14400000,8.97,21.5,13.0,15.8,15.5,2.4,buy,5,213338000,3.21,197144000,1428734976,1.481,2.698,2168399104,194.791,32.737,0.00703,-0.056700002,642265000,-44478624,102357000,-0.074,0.14848,0.09092,0.0130900005,USD,
3,700 West Pender Street,Suite 1120,Vancouver,BC,V6C 1G8,Canada,604 684 1094,https://www.mercerint.com,Paper & Paper Products,Basic Materials,"Mercer International Inc., together with its subsidiaries, manufactures and sells northern bleached softwood kraft (NBSK) pulp in Europe, the United States, Asia, and internationally. The company operates through two segments, Pulp and Wood Products. It also generates and sells green energy produced from biomass cogeneration power plant to third party utilities. In addition, the company manufactures, distributes, and sells lumber and other wood residuals. Further, it produces NBSK pulp primarily from wood chips, pulp logs, and sawlogs; carbon neutral or green energy using carbon-neutral bio-fuels, such as black liquor and wood waste; and tall oil for use as a chemical additive and green energy source. The company sells its pulp to tissue, specialty paper, and printing and writing paper, and other manufacturers; and lumber products to distributors, construction firms, secondary manufacturers, retail yards, and home centers. Mercer International Inc. was founded in 1968 and is headquartered in Vancouver, Canada.",3320,"{'maxAge': 1, 'name': 'Mr. Guy  Arguin', 'age': 57, 'title': 'Chief HR Officer', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 846357, 'exercisedValue': 0, 'unexercisedValue': 0}",2,4,1,3,1,1693526400,1672444800,86400,2,8.73,8.73,8.71,9.055,8.73,8.73,8.71,9.055,0.3,0.0334,1695686400,3.44,1.46473,4.2918663,764859,764859,594450,397090,397090,8.98,8.97,800,800,596728384,7.37,14.97,0.27519307,8.6636,10.03625,0.3,0.034364264,USD,1811638656,-0.01942,54698689,66524900,2477916,2501050,1690761600,1693440000,0.0372,0.38195,0.54495,4.21,0.060399998,11.034,0.8129418,1672444800,1703980800,1688083200,-42114000,-0.64,2.09,1.1,10249:10000,641520000,0.835,9.189,NMS,EQUITY,MERC,MERC,Mercer International Inc.,Mercer International Inc.,585408600,America/New_York,EDT,-14400000,8.97,21.5,13.0,15.8,15.5,2.4,buy,5,213338000,3.21,197144000,1428734976,1.481,2.698,2168399104,194.791,32.737,0.00703,-0.056700002,642265000,-44478624,102357000,-0.074,0.14848,0.09092,0.0130900005,USD,
4,700 West Pender Street,Suite 1120,Vancouver,BC,V6C 1G8,Canada,604 684 1094,https://www.mercerint.com,Paper & Paper Products,Basic Materials,"Mercer International Inc., together with its subsidiaries, manufactures and sells northern bleached softwood kraft (NBSK) pulp in Europe, the United States, Asia, and internationally. The company operates through two segments, Pulp and Wood Products. It also generates and sells green energy produced from biomass cogeneration power plant to third party utilities. In addition, the company manufactures, distributes, and sells lumber and other wood residuals. Further, it produces NBSK pulp primarily from wood chips, pulp logs, and sawlogs; carbon neutral or green energy using carbon-neutral bio-fuels, such as black liquor and wood waste; and tall oil for use as a chemical additive and green energy source. The company sells its pulp to tissue, specialty paper, and printing and writing paper, and other manufacturers; and lumber products to distributors, construction firms, secondary manufacturers, retail yards, and home centers. Mercer International Inc. was founded in 1968 and is headquartered in Vancouver, Canada.",3320,"{'maxAge': 1, 'name': 'Mr. Richard George Short', 'age': 54, 'title': 'CFO & Sec.', 'yearBorn': 1968, 'exercisedValue': 0, 'unexercisedValue': 0}",2,4,1,3,1,1693526400,1672444800,86400,2,8.73,8.73,8.71,9.055,8.73,8.73,8.71,9.055,0.3,0.0334,1695686400,3.44,1.46473,4.2918663,764859,764859,594450,397090,397090,8.98,8.97,800,800,596728384,7.37,14.97,0.27519307,8.6636,10.03625,0.3,0.034364264,USD,1811638656,-0.01942,54698689,66524900,2477916,2501050,1690761600,1693440000,0.0372,0.38195,0.54495,4.21,0.060399998,11.034,0.8129418,1672444800,1703980800,1688083200,-42114000,-0.64,2.09,1.1,10249:10000,641520000,0.835,9.189,NMS,EQUITY,MERC,MERC,Mercer International Inc.,Mercer International Inc.,585408600,America/New_York,EDT,-14400000,8.97,21.5,13.0,15.8,15.5,2.4,buy,5,213338000,3.21,197144000,1428734976,1.481,2.698,2168399104,194.791,32.737,0.00703,-0.056700002,642265000,-44478624,102357000,-0.074,0.14848,0.09092,0.0130900005,USD,
5,700 West Pender Street,Suite 1120,Vancouver,BC,V6C 1G8,Canada,604 684 1094,https://www.mercerint.com,Paper & Paper Products,Basic Materials,"Mercer International Inc., together with its subsidiaries, manufactures and sells northern bleached softwood kraft (NBSK) pulp in Europe, the United States, Asia, and internationally. The company operates through two segments, Pulp and Wood Products. It also generates and sells green energy produced from biomass cogeneration power plant to third party utilities. In addition, the company manufactures, distributes, and sells lumber and other wood residuals. Further, it produces NBSK pulp primarily from wood chips, pulp logs, and sawlogs; carbon neutral or green energy using carbon-neutral bio-fuels, such as black liquor and wood waste; and tall oil for use as a chemical additive and green energy source. The company sells its pulp to tissue, specialty paper, and printing and writing paper, and other manufacturers; and lumber products to distributors, construction firms, secondary manufacturers, retail yards, and home centers. Mercer International Inc. was founded in 1968 and is headquartered in Vancouver, Canada.",3320,"{'maxAge': 1, 'name': 'Mr. Alistair  Skey', 'title': 'Chief Information Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",2,4,1,3,1,1693526400,1672444800,86400,2,8.73,8.73,8.71,9.055,8.73,8.73,8.71,9.055,0.3,0.0334,1695686400,3.44,1.46473,4.2918663,764859,764859,594450,397090,397090,8.98,8.97,800,800,596728384,7.37,14.97,0.27519307,8.6636,10.03625,0.3,0.034364264,USD,1811638656,-0.01942,54698689,66524900,2477916,2501050,1690761600,1693440000,0.0372,0.38195,0.54495,4.21,0.060399998,11.034,0.8129418,1672444800,1703980800,1688083200,-42114000,-0.64,2.09,1.1,10249:10000,641520000,0.835,9.189,NMS,EQUITY,MERC,MERC,Mercer International Inc.,Mercer International Inc.,585408600,America/New_York,EDT,-14400000,8.97,21.5,13.0,15.8,15.5,2.4,buy,5,213338000,3.21,197144000,1428734976,1.481,2.698,2168399104,194.791,32.737,0.00703,-0.056700002,642265000,-44478624,102357000,-0.074,0.14848,0.09092,0.0130900005,USD,
6,700 West Pender Street,Suite 1120,Vancouver,BC,V6C 1G8,Canada,604 684 1094,https://www.mercerint.com,Paper & Paper Products,Basic Materials,"Mercer International Inc., together with its subsidiaries, manufactures and sells northern bleached softwood kraft (NBSK) pulp in Europe, the United States, Asia, and internationally. The company operates through two segments, Pulp and Wood Products. It also generates and sells green energy produced from biomass cogeneration power plant to third party utilities. In addition, the company manufactures, distributes, and sells lumber and other wood residuals. Further, it produces NBSK pulp primarily from wood chips, pulp logs, and sawlogs; carbon neutral or green energy using carbon-neutral bio-fuels, such as black liquor and wood waste; and tall oil for use as a chemical additive and green energy source. The company sells its pulp to tissue, specialty paper, and printing and writing paper, and other manufacturers; and lumber products to distributors, construction firms, secondary manufacturers, retail yards, and home centers. Mercer International Inc. was founded in 1968 and is headquartered in Vancouver, Canada.",3320,"{'maxAge': 1, 'name': 'Ms. Shahed  Tootoonian', 'title': 'VP of Corp. Devel.', 'exercisedValue': 0, 'unexercisedValue': 0}",2,4,1,3,1,1693526400,1672444800,86400,2,8.73,8.73,8.71,9.055,8.73,8.73,8.71,9.055,0.3,0.0334,1695686400,3.44,1.46473,4.2918663,764859,764859,594450,397090,397090,8.98,8.97,800,800,596728384,7.37,14.97,0.27519307,8.6636,10.03625,0.3,0.034364264,USD,1811638656,-0.01942,54698689,66524900,2477916,2501050,1690761600,1693440000,0.0372,0.38195,0.54495,4.21,0.060399998,11.034,0.8129418,1672444800,1703980800,1688083200,-42114000,-0.64,2.09,1.1,10249:10000,641520000,0.835,9.189,NMS,EQUITY,MERC,MERC,Mercer International Inc.,Mercer International Inc.,585408600,America/New_York,EDT,-14400000,8.97,21.5,13.0,15.8,15.5,2.4,buy,5,213338000,3.21,197144000,1428734976,1.481,2.698,2168399104,194.791,32.737,0.00703,-0.056700002,642265000,-44478624,102357000,-0.074,0.14848,0.09092,0.0130900005,USD,
7,700 West Pender Street,Suite 1120,Vancouver,BC,V6C 1G8,Canada,604 684 1094,https://www.mercerint.com,Paper & Paper Products,Basic Materials,"Mercer International Inc., together with its subsidiaries, manufactures and sells northern bleached softwood kraft (NBSK) pulp in Europe, the United States, Asia, and internationally. The company operates through two segments, Pulp and Wood Products. It also generates and sells green energy produced from biomass cogeneration power plant to third party utilities. In addition, the company manufactures, distributes, and sells lumber and other wood residuals. Further, it produces NBSK pulp primarily from wood chips, pulp logs, and sawlogs; carbon neutral or green energy using carbon-neutral bio-fuels, such as black liquor and wood waste; and tall oil for use as a chemical additive and green energy source. The company sells its pulp to tissue, specialty paper, and printing and writing paper, and other manufacturers; and lumber products to distributors, construction firms, secondary manufacturers, retail yards, and home centers. Mercer International Inc. was founded in 1968 and is headquartered in Vancouver, Canada.",3320,"{'maxAge': 1, 'name': 'Mr. Wolfram  Ridder', 'age': 60, 'title': 'Sr. VP of Innovation & Gov. Relations', 'yearBorn': 1962, 'fiscalYear': 2021, 'exercisedValue': 0, 'unexercisedValue': 0}",2,4,1,3,1,1693526400,1672444800,86400,2,8.73,8.73,8.71,9.055,8.73,8.73,8.71,9.055,0.3,0.0334,1695686400,3.44,1.46473,4.2918663,764859,764859,594450,397090,397090,8.98,8.97,800,800,596728384,7.37,14.97,0.27519307,8.6636,10.03625,0.3,0.034364264,USD,1811638656,-0.01942,54698689,66524900,2477916,2501050,1690761600,1693440000,0.0372,0.38195,0.54495,4.21,0.060399998,11.034,0.8129418,1672444800,1703980800,1688083200,-42114000,-0.64,2.09,1.1,10249:10000,641520000,0.835,9.189,NMS,EQUITY,MERC,MERC,Mercer International Inc.,Mercer International Inc.,585408600,America/New_York,EDT,-14400000,8.97,21.5,13.0,15.8,15.5,2.4,buy,5,213338000,3.21,197144000,1428734976,1.481,2.698,2168399104,194.791,32.737,0.00703,-0.056700002,642265000,-44478624,102357000,-0.074,0.14848,0.09092,0.0130900005,USD,
8,700 West Pender Street,Suite 1120,Vancouver,BC,V6C 1G8,Canada,604 684 1094,https://www.mercerint.com,Paper & Paper Products,Basic Materials,"Mercer International Inc., together with its subsidiaries, manufactures and sells northern bleached softwood kraft (NBSK) pulp in Europe, the United States, Asia, and internationally. The company operates through two segments, Pulp and Wood Products. It also generates and sells green energy produced from biomass cogeneration power plant to third party utilities. In addition, the company manufactures, distributes, and sells lumber and other wood residuals. Further, it produces NBSK pulp primarily from wood chips, pulp logs, and sawlogs; carbon neutral or green energy using carbon-neutral bio-fuels, such as black liquor and wood waste; and tall oil for use as a chemical additive and green energy source. The company sells its pulp to tissue, specialty paper, and printing and writing paper, and other manufacturers; and lumber products to distributors, construction firms, secondary manufacturers, retail yards, and home centers. Mercer International Inc. was founded in 1968 and is headquartered in Vancouver, Canada.",3320,"{'maxAge': 1, 'name': 'Mr. Brian  Merwin', 'age': 48, 'title': 'Sr. VP of Mass Timber', 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}",2,4,1,3,1,1693526400,1672444800,86400,2,8.73,8.73,8.71,9.055,8.73,8.73,8.71,9.055,0.3,0.0334,1695686400,3.44,1.46473,4.2918663,764859,764859,594450,397090,397090,8.98,8.97,800,800,596728384,7.37,14.97,0.27519307,8.6636,10.03625,0.3,0.034364264,USD,1811638656,-0.01942,54698689,66524900,2477916,2501050,1690761600,1693440000,0.0372,0.38195,0.54495,4.21,0.060399998,11.034,0.8129418,1672444800,1703980800,1688083200,-42114000,-0.64,2.09,1.1,10249:10000,641520000,0.835,9.189,NMS,EQUITY,MERC,MERC,Mercer International Inc.,Mercer International Inc.,585408600,America/New_York,EDT,-14400000,8.97,21.5,13.0,15.8,15.5,2.4,buy,5,213338000,3.21,197144000,1428734976,1.481,2.698,2168399104,194.791,32.737,0.00703,-0.056700002,642265000,-44478624,102357000,-0.074,0.14848,0.09092,0.0130900005,USD,
9,700 West Pender Street,Suite 1120,Vancouver,BC,V6C 1G8,Canada,604 684 1094,https://www.mercerint.com,Paper & Paper Products,Basic Materials,"Mercer International Inc., together with its subsidiaries, manufactures and sells northern bleached softwood kraft (NBSK) pulp in Europe, the United States, Asia, and internationally. The company operates through two segments, Pulp and Wood Products. It also generates and sells green energy produced from biomass cogeneration power plant to third party utilities. In addition, the company manufactures, distributes, and sells lumber and other wood residuals. Further, it produces NBSK pulp primarily from wood chips, pulp logs, and sawlogs; carbon neutral or green energy using carbon-neutral bio-fuels, such as black liquor and wood waste; and tall oil for use as a chemical additive and green energy source. The company sells its pulp to tissue, specialty paper, and printing and writing paper, and other manufacturers; and lumber products to distributors, construction firms, secondary manufacturers, retail yards, and home centers. Mercer International Inc. was founded in 1968 and is headquartered in Vancouver, Canada.",3320,"{'maxAge': 1, 'name': 'Dr. Carsten  Merforth', 'age': 55, 'title': 'Chief Operating Officer of Wood Products', 'yearBorn': 1967, 'exercisedValue': 0, 'unexercisedValue': 0}",2,4,1,3,1,1693526400,1672444800,86400,2,8.73,8.73,8.71,9.055,8.73,8.73,8.71,9.055,0.3,0.0334,1695686400,3.44,1.46473,4.2918663,764859,764859,594450,397090,397090,8.98,8.97,800,800,596728384,7.37,14.97,0.27519307,8.6636,10.03625,0.3,0.034364264,USD,1811638656,-0.01942,54698689,66524900,2477916,2501050,1690761600,1693440000,0.0372,0.38195,0.54495,4.21,0.060399998,11.034,0.8129418,1672444800,1703980800,1688083200,-42114000,-0.64,2.09,1.1,10249:10000,641520000,0.835,9.189,NMS,EQUITY,MERC,MERC,Mercer International Inc.,Mercer International Inc.,585408600,America/New_York,EDT,-14400000,8.97,21.5,13.0,15.8,15.5,2.4,buy,5,213338000,3.21,197144000,1428734976,1.481,2.698,2168399104,194.791,32.737,0.00703,-0.056700002,642265000,-44478624,102357000,-0.074,0.14848,0.09092,0.0130900005,USD,
