,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,515 Broadhollow Road,Suite 1000,Melville,NY,11747,United States,516 812 2000,https://www.mscdirect.com,Industrial Distribution,Industrials,"MSC Industrial Direct Co., Inc., together with its subsidiaries, distributes metalworking and maintenance, repair, and operations (MRO) products and services in the United States, Canada, Mexico, and the United Kingdom. Its MRO products include cutting tools, measuring instruments, tooling components, metalworking products, fasteners, flat stock products, raw materials, abrasives, machinery hand and power tools, safety and janitorial supplies, plumbing supplies, materials handling products, power transmission components, and electrical supplies. The company offers approximately 2.1 million stock-keeping units through its catalogs and brochures; e-commerce channels, including its Website, mscdirect.com; inventory management solutions; and customer care centers, customer fulfillment centers, regional inventory centers, and warehouses. It operates through a distribution network of 6 customer fulfilment centers, 10 regional inventory centers, and 38 warehouses. The company serves individual machine shops, Fortune 1000 manufacturing companies, and government agencies, as well as manufacturers of various sizes. MSC Industrial Direct Co., Inc. was founded in 1941 and is headquartered in Melville, New York.",6765,"{'maxAge': 1, 'name': 'Mr. Erik David Gershwind', 'age': 51, 'title': 'Pres, CEO & Director', 'yearBorn': 1971, 'fiscalYear': 2022, 'totalPay': 3203353, 'exercisedValue': 2253622, 'unexercisedValue': 526778}",8,4,3,10,7,1693526400,1672444800,86400,2,95.91,95.55,94.97,96.42,95.91,95.55,94.97,96.42,3.16,0.0328,1688947200,0.48669997,3.65,0.97372,15.026522,15.097178,577297,577297,427654,546610,546610,96.05,96.13,800,900,5369127424,71.33,103.95,1.3435966,99.409,89.9841,3.16,0.032947555,USD,5879564800,0.09003,46206545,47088500,1336644,1352482,1690761600,1693440000,0.024,0.02928,0.94358003,3.86,0.033099998,26.569,3.6252775,1662163200,1693699200,1685750400,-0.045,359764992,6.41,6.38,1.67,2:1,896140800,1.471,10.062,NYQ,EQUITY,MSM,MSM,"MSC Industrial Direct Company, ","MSC Industrial Direct Co., Inc.",819037800,America/New_York,EDT,-14400000,96.32,110.0,96.0,104.6,105.0,2.4,buy,5,58428000,1.042,584313984,525768992,0.727,1.926,3996086016,34.992,71.487,0.12394,0.25619,1558248000,520337984,677958016,-0.051,0.1,0.41332,0.14622,0.12769,USD,1.9232
1,515 Broadhollow Road,Suite 1000,Melville,NY,11747,United States,516 812 2000,https://www.mscdirect.com,Industrial Distribution,Industrials,"MSC Industrial Direct Co., Inc., together with its subsidiaries, distributes metalworking and maintenance, repair, and operations (MRO) products and services in the United States, Canada, Mexico, and the United Kingdom. Its MRO products include cutting tools, measuring instruments, tooling components, metalworking products, fasteners, flat stock products, raw materials, abrasives, machinery hand and power tools, safety and janitorial supplies, plumbing supplies, materials handling products, power transmission components, and electrical supplies. The company offers approximately 2.1 million stock-keeping units through its catalogs and brochures; e-commerce channels, including its Website, mscdirect.com; inventory management solutions; and customer care centers, customer fulfillment centers, regional inventory centers, and warehouses. It operates through a distribution network of 6 customer fulfilment centers, 10 regional inventory centers, and 38 warehouses. The company serves individual machine shops, Fortune 1000 manufacturing companies, and government agencies, as well as manufacturers of various sizes. MSC Industrial Direct Co., Inc. was founded in 1941 and is headquartered in Melville, New York.",6765,"{'maxAge': 1, 'name': 'Ms. Kristen  Actis-Grande', 'age': 41, 'title': 'Exec. VP & CFO', 'yearBorn': 1981, 'fiscalYear': 2022, 'totalPay': 1049683, 'exercisedValue': 0, 'unexercisedValue': 0}",8,4,3,10,7,1693526400,1672444800,86400,2,95.91,95.55,94.97,96.42,95.91,95.55,94.97,96.42,3.16,0.0328,1688947200,0.48669997,3.65,0.97372,15.026522,15.097178,577297,577297,427654,546610,546610,96.05,96.13,800,900,5369127424,71.33,103.95,1.3435966,99.409,89.9841,3.16,0.032947555,USD,5879564800,0.09003,46206545,47088500,1336644,1352482,1690761600,1693440000,0.024,0.02928,0.94358003,3.86,0.033099998,26.569,3.6252775,1662163200,1693699200,1685750400,-0.045,359764992,6.41,6.38,1.67,2:1,896140800,1.471,10.062,NYQ,EQUITY,MSM,MSM,"MSC Industrial Direct Company, ","MSC Industrial Direct Co., Inc.",819037800,America/New_York,EDT,-14400000,96.32,110.0,96.0,104.6,105.0,2.4,buy,5,58428000,1.042,584313984,525768992,0.727,1.926,3996086016,34.992,71.487,0.12394,0.25619,1558248000,520337984,677958016,-0.051,0.1,0.41332,0.14622,0.12769,USD,1.9232
2,515 Broadhollow Road,Suite 1000,Melville,NY,11747,United States,516 812 2000,https://www.mscdirect.com,Industrial Distribution,Industrials,"MSC Industrial Direct Co., Inc., together with its subsidiaries, distributes metalworking and maintenance, repair, and operations (MRO) products and services in the United States, Canada, Mexico, and the United Kingdom. Its MRO products include cutting tools, measuring instruments, tooling components, metalworking products, fasteners, flat stock products, raw materials, abrasives, machinery hand and power tools, safety and janitorial supplies, plumbing supplies, materials handling products, power transmission components, and electrical supplies. The company offers approximately 2.1 million stock-keeping units through its catalogs and brochures; e-commerce channels, including its Website, mscdirect.com; inventory management solutions; and customer care centers, customer fulfillment centers, regional inventory centers, and warehouses. It operates through a distribution network of 6 customer fulfilment centers, 10 regional inventory centers, and 38 warehouses. The company serves individual machine shops, Fortune 1000 manufacturing companies, and government agencies, as well as manufacturers of various sizes. MSC Industrial Direct Co., Inc. was founded in 1941 and is headquartered in Melville, New York.",6765,"{'maxAge': 1, 'name': 'Ms. Elizabeth  Bledsoe', 'age': 50, 'title': 'Sr. VP & Chief People Officer', 'yearBorn': 1972, 'fiscalYear': 2022, 'totalPay': 670796, 'exercisedValue': 46389, 'unexercisedValue': 0}",8,4,3,10,7,1693526400,1672444800,86400,2,95.91,95.55,94.97,96.42,95.91,95.55,94.97,96.42,3.16,0.0328,1688947200,0.48669997,3.65,0.97372,15.026522,15.097178,577297,577297,427654,546610,546610,96.05,96.13,800,900,5369127424,71.33,103.95,1.3435966,99.409,89.9841,3.16,0.032947555,USD,5879564800,0.09003,46206545,47088500,1336644,1352482,1690761600,1693440000,0.024,0.02928,0.94358003,3.86,0.033099998,26.569,3.6252775,1662163200,1693699200,1685750400,-0.045,359764992,6.41,6.38,1.67,2:1,896140800,1.471,10.062,NYQ,EQUITY,MSM,MSM,"MSC Industrial Direct Company, ","MSC Industrial Direct Co., Inc.",819037800,America/New_York,EDT,-14400000,96.32,110.0,96.0,104.6,105.0,2.4,buy,5,58428000,1.042,584313984,525768992,0.727,1.926,3996086016,34.992,71.487,0.12394,0.25619,1558248000,520337984,677958016,-0.051,0.1,0.41332,0.14622,0.12769,USD,1.9232
3,515 Broadhollow Road,Suite 1000,Melville,NY,11747,United States,516 812 2000,https://www.mscdirect.com,Industrial Distribution,Industrials,"MSC Industrial Direct Co., Inc., together with its subsidiaries, distributes metalworking and maintenance, repair, and operations (MRO) products and services in the United States, Canada, Mexico, and the United Kingdom. Its MRO products include cutting tools, measuring instruments, tooling components, metalworking products, fasteners, flat stock products, raw materials, abrasives, machinery hand and power tools, safety and janitorial supplies, plumbing supplies, materials handling products, power transmission components, and electrical supplies. The company offers approximately 2.1 million stock-keeping units through its catalogs and brochures; e-commerce channels, including its Website, mscdirect.com; inventory management solutions; and customer care centers, customer fulfillment centers, regional inventory centers, and warehouses. It operates through a distribution network of 6 customer fulfilment centers, 10 regional inventory centers, and 38 warehouses. The company serves individual machine shops, Fortune 1000 manufacturing companies, and government agencies, as well as manufacturers of various sizes. MSC Industrial Direct Co., Inc. was founded in 1941 and is headquartered in Melville, New York.",6765,"{'maxAge': 1, 'name': 'Mr. Douglas E. Jones', 'age': 58, 'title': 'Exec. Advisor of Supply Chain', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 848087, 'exercisedValue': 1355660, 'unexercisedValue': 0}",8,4,3,10,7,1693526400,1672444800,86400,2,95.91,95.55,94.97,96.42,95.91,95.55,94.97,96.42,3.16,0.0328,1688947200,0.48669997,3.65,0.97372,15.026522,15.097178,577297,577297,427654,546610,546610,96.05,96.13,800,900,5369127424,71.33,103.95,1.3435966,99.409,89.9841,3.16,0.032947555,USD,5879564800,0.09003,46206545,47088500,1336644,1352482,1690761600,1693440000,0.024,0.02928,0.94358003,3.86,0.033099998,26.569,3.6252775,1662163200,1693699200,1685750400,-0.045,359764992,6.41,6.38,1.67,2:1,896140800,1.471,10.062,NYQ,EQUITY,MSM,MSM,"MSC Industrial Direct Company, ","MSC Industrial Direct Co., Inc.",819037800,America/New_York,EDT,-14400000,96.32,110.0,96.0,104.6,105.0,2.4,buy,5,58428000,1.042,584313984,525768992,0.727,1.926,3996086016,34.992,71.487,0.12394,0.25619,1558248000,520337984,677958016,-0.051,0.1,0.41332,0.14622,0.12769,USD,1.9232
4,515 Broadhollow Road,Suite 1000,Melville,NY,11747,United States,516 812 2000,https://www.mscdirect.com,Industrial Distribution,Industrials,"MSC Industrial Direct Co., Inc., together with its subsidiaries, distributes metalworking and maintenance, repair, and operations (MRO) products and services in the United States, Canada, Mexico, and the United Kingdom. Its MRO products include cutting tools, measuring instruments, tooling components, metalworking products, fasteners, flat stock products, raw materials, abrasives, machinery hand and power tools, safety and janitorial supplies, plumbing supplies, materials handling products, power transmission components, and electrical supplies. The company offers approximately 2.1 million stock-keeping units through its catalogs and brochures; e-commerce channels, including its Website, mscdirect.com; inventory management solutions; and customer care centers, customer fulfillment centers, regional inventory centers, and warehouses. It operates through a distribution network of 6 customer fulfilment centers, 10 regional inventory centers, and 38 warehouses. The company serves individual machine shops, Fortune 1000 manufacturing companies, and government agencies, as well as manufacturers of various sizes. MSC Industrial Direct Co., Inc. was founded in 1941 and is headquartered in Melville, New York.",6765,"{'maxAge': 1, 'name': 'Ms. Martina  McIsaac', 'age': 52, 'title': 'Exec. VP & COO', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",8,4,3,10,7,1693526400,1672444800,86400,2,95.91,95.55,94.97,96.42,95.91,95.55,94.97,96.42,3.16,0.0328,1688947200,0.48669997,3.65,0.97372,15.026522,15.097178,577297,577297,427654,546610,546610,96.05,96.13,800,900,5369127424,71.33,103.95,1.3435966,99.409,89.9841,3.16,0.032947555,USD,5879564800,0.09003,46206545,47088500,1336644,1352482,1690761600,1693440000,0.024,0.02928,0.94358003,3.86,0.033099998,26.569,3.6252775,1662163200,1693699200,1685750400,-0.045,359764992,6.41,6.38,1.67,2:1,896140800,1.471,10.062,NYQ,EQUITY,MSM,MSM,"MSC Industrial Direct Company, ","MSC Industrial Direct Co., Inc.",819037800,America/New_York,EDT,-14400000,96.32,110.0,96.0,104.6,105.0,2.4,buy,5,58428000,1.042,584313984,525768992,0.727,1.926,3996086016,34.992,71.487,0.12394,0.25619,1558248000,520337984,677958016,-0.051,0.1,0.41332,0.14622,0.12769,USD,1.9232
5,515 Broadhollow Road,Suite 1000,Melville,NY,11747,United States,516 812 2000,https://www.mscdirect.com,Industrial Distribution,Industrials,"MSC Industrial Direct Co., Inc., together with its subsidiaries, distributes metalworking and maintenance, repair, and operations (MRO) products and services in the United States, Canada, Mexico, and the United Kingdom. Its MRO products include cutting tools, measuring instruments, tooling components, metalworking products, fasteners, flat stock products, raw materials, abrasives, machinery hand and power tools, safety and janitorial supplies, plumbing supplies, materials handling products, power transmission components, and electrical supplies. The company offers approximately 2.1 million stock-keeping units through its catalogs and brochures; e-commerce channels, including its Website, mscdirect.com; inventory management solutions; and customer care centers, customer fulfillment centers, regional inventory centers, and warehouses. It operates through a distribution network of 6 customer fulfilment centers, 10 regional inventory centers, and 38 warehouses. The company serves individual machine shops, Fortune 1000 manufacturing companies, and government agencies, as well as manufacturers of various sizes. MSC Industrial Direct Co., Inc. was founded in 1941 and is headquartered in Melville, New York.",6765,"{'maxAge': 1, 'name': 'Mr. John  Hill', 'age': 53, 'title': 'Sr. VP and Chief Digital & Information Officer', 'yearBorn': 1969, 'exercisedValue': 0, 'unexercisedValue': 0}",8,4,3,10,7,1693526400,1672444800,86400,2,95.91,95.55,94.97,96.42,95.91,95.55,94.97,96.42,3.16,0.0328,1688947200,0.48669997,3.65,0.97372,15.026522,15.097178,577297,577297,427654,546610,546610,96.05,96.13,800,900,5369127424,71.33,103.95,1.3435966,99.409,89.9841,3.16,0.032947555,USD,5879564800,0.09003,46206545,47088500,1336644,1352482,1690761600,1693440000,0.024,0.02928,0.94358003,3.86,0.033099998,26.569,3.6252775,1662163200,1693699200,1685750400,-0.045,359764992,6.41,6.38,1.67,2:1,896140800,1.471,10.062,NYQ,EQUITY,MSM,MSM,"MSC Industrial Direct Company, ","MSC Industrial Direct Co., Inc.",819037800,America/New_York,EDT,-14400000,96.32,110.0,96.0,104.6,105.0,2.4,buy,5,58428000,1.042,584313984,525768992,0.727,1.926,3996086016,34.992,71.487,0.12394,0.25619,1558248000,520337984,677958016,-0.051,0.1,0.41332,0.14622,0.12769,USD,1.9232
6,515 Broadhollow Road,Suite 1000,Melville,NY,11747,United States,516 812 2000,https://www.mscdirect.com,Industrial Distribution,Industrials,"MSC Industrial Direct Co., Inc., together with its subsidiaries, distributes metalworking and maintenance, repair, and operations (MRO) products and services in the United States, Canada, Mexico, and the United Kingdom. Its MRO products include cutting tools, measuring instruments, tooling components, metalworking products, fasteners, flat stock products, raw materials, abrasives, machinery hand and power tools, safety and janitorial supplies, plumbing supplies, materials handling products, power transmission components, and electrical supplies. The company offers approximately 2.1 million stock-keeping units through its catalogs and brochures; e-commerce channels, including its Website, mscdirect.com; inventory management solutions; and customer care centers, customer fulfillment centers, regional inventory centers, and warehouses. It operates through a distribution network of 6 customer fulfilment centers, 10 regional inventory centers, and 38 warehouses. The company serves individual machine shops, Fortune 1000 manufacturing companies, and government agencies, as well as manufacturers of various sizes. MSC Industrial Direct Co., Inc. was founded in 1941 and is headquartered in Melville, New York.",6765,"{'maxAge': 1, 'name': 'Mr. Ryan Thomas Mills C.F.A.', 'title': 'Head of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",8,4,3,10,7,1693526400,1672444800,86400,2,95.91,95.55,94.97,96.42,95.91,95.55,94.97,96.42,3.16,0.0328,1688947200,0.48669997,3.65,0.97372,15.026522,15.097178,577297,577297,427654,546610,546610,96.05,96.13,800,900,5369127424,71.33,103.95,1.3435966,99.409,89.9841,3.16,0.032947555,USD,5879564800,0.09003,46206545,47088500,1336644,1352482,1690761600,1693440000,0.024,0.02928,0.94358003,3.86,0.033099998,26.569,3.6252775,1662163200,1693699200,1685750400,-0.045,359764992,6.41,6.38,1.67,2:1,896140800,1.471,10.062,NYQ,EQUITY,MSM,MSM,"MSC Industrial Direct Company, ","MSC Industrial Direct Co., Inc.",819037800,America/New_York,EDT,-14400000,96.32,110.0,96.0,104.6,105.0,2.4,buy,5,58428000,1.042,584313984,525768992,0.727,1.926,3996086016,34.992,71.487,0.12394,0.25619,1558248000,520337984,677958016,-0.051,0.1,0.41332,0.14622,0.12769,USD,1.9232
7,515 Broadhollow Road,Suite 1000,Melville,NY,11747,United States,516 812 2000,https://www.mscdirect.com,Industrial Distribution,Industrials,"MSC Industrial Direct Co., Inc., together with its subsidiaries, distributes metalworking and maintenance, repair, and operations (MRO) products and services in the United States, Canada, Mexico, and the United Kingdom. Its MRO products include cutting tools, measuring instruments, tooling components, metalworking products, fasteners, flat stock products, raw materials, abrasives, machinery hand and power tools, safety and janitorial supplies, plumbing supplies, materials handling products, power transmission components, and electrical supplies. The company offers approximately 2.1 million stock-keeping units through its catalogs and brochures; e-commerce channels, including its Website, mscdirect.com; inventory management solutions; and customer care centers, customer fulfillment centers, regional inventory centers, and warehouses. It operates through a distribution network of 6 customer fulfilment centers, 10 regional inventory centers, and 38 warehouses. The company serves individual machine shops, Fortune 1000 manufacturing companies, and government agencies, as well as manufacturers of various sizes. MSC Industrial Direct Co., Inc. was founded in 1941 and is headquartered in Melville, New York.",6765,"{'maxAge': 1, 'name': 'Mr. Neal  Dongre', 'age': 43, 'title': 'VP, Gen. Counsel & Corp. Sec.', 'yearBorn': 1979, 'exercisedValue': 0, 'unexercisedValue': 0}",8,4,3,10,7,1693526400,1672444800,86400,2,95.91,95.55,94.97,96.42,95.91,95.55,94.97,96.42,3.16,0.0328,1688947200,0.48669997,3.65,0.97372,15.026522,15.097178,577297,577297,427654,546610,546610,96.05,96.13,800,900,5369127424,71.33,103.95,1.3435966,99.409,89.9841,3.16,0.032947555,USD,5879564800,0.09003,46206545,47088500,1336644,1352482,1690761600,1693440000,0.024,0.02928,0.94358003,3.86,0.033099998,26.569,3.6252775,1662163200,1693699200,1685750400,-0.045,359764992,6.41,6.38,1.67,2:1,896140800,1.471,10.062,NYQ,EQUITY,MSM,MSM,"MSC Industrial Direct Company, ","MSC Industrial Direct Co., Inc.",819037800,America/New_York,EDT,-14400000,96.32,110.0,96.0,104.6,105.0,2.4,buy,5,58428000,1.042,584313984,525768992,0.727,1.926,3996086016,34.992,71.487,0.12394,0.25619,1558248000,520337984,677958016,-0.051,0.1,0.41332,0.14622,0.12769,USD,1.9232
8,515 Broadhollow Road,Suite 1000,Melville,NY,11747,United States,516 812 2000,https://www.mscdirect.com,Industrial Distribution,Industrials,"MSC Industrial Direct Co., Inc., together with its subsidiaries, distributes metalworking and maintenance, repair, and operations (MRO) products and services in the United States, Canada, Mexico, and the United Kingdom. Its MRO products include cutting tools, measuring instruments, tooling components, metalworking products, fasteners, flat stock products, raw materials, abrasives, machinery hand and power tools, safety and janitorial supplies, plumbing supplies, materials handling products, power transmission components, and electrical supplies. The company offers approximately 2.1 million stock-keeping units through its catalogs and brochures; e-commerce channels, including its Website, mscdirect.com; inventory management solutions; and customer care centers, customer fulfillment centers, regional inventory centers, and warehouses. It operates through a distribution network of 6 customer fulfilment centers, 10 regional inventory centers, and 38 warehouses. The company serves individual machine shops, Fortune 1000 manufacturing companies, and government agencies, as well as manufacturers of various sizes. MSC Industrial Direct Co., Inc. was founded in 1941 and is headquartered in Melville, New York.",6765,"{'maxAge': 1, 'name': 'Mr. Paul  Mason', 'title': 'Director of Corp. Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",8,4,3,10,7,1693526400,1672444800,86400,2,95.91,95.55,94.97,96.42,95.91,95.55,94.97,96.42,3.16,0.0328,1688947200,0.48669997,3.65,0.97372,15.026522,15.097178,577297,577297,427654,546610,546610,96.05,96.13,800,900,5369127424,71.33,103.95,1.3435966,99.409,89.9841,3.16,0.032947555,USD,5879564800,0.09003,46206545,47088500,1336644,1352482,1690761600,1693440000,0.024,0.02928,0.94358003,3.86,0.033099998,26.569,3.6252775,1662163200,1693699200,1685750400,-0.045,359764992,6.41,6.38,1.67,2:1,896140800,1.471,10.062,NYQ,EQUITY,MSM,MSM,"MSC Industrial Direct Company, ","MSC Industrial Direct Co., Inc.",819037800,America/New_York,EDT,-14400000,96.32,110.0,96.0,104.6,105.0,2.4,buy,5,58428000,1.042,584313984,525768992,0.727,1.926,3996086016,34.992,71.487,0.12394,0.25619,1558248000,520337984,677958016,-0.051,0.1,0.41332,0.14622,0.12769,USD,1.9232
9,515 Broadhollow Road,Suite 1000,Melville,NY,11747,United States,516 812 2000,https://www.mscdirect.com,Industrial Distribution,Industrials,"MSC Industrial Direct Co., Inc., together with its subsidiaries, distributes metalworking and maintenance, repair, and operations (MRO) products and services in the United States, Canada, Mexico, and the United Kingdom. Its MRO products include cutting tools, measuring instruments, tooling components, metalworking products, fasteners, flat stock products, raw materials, abrasives, machinery hand and power tools, safety and janitorial supplies, plumbing supplies, materials handling products, power transmission components, and electrical supplies. The company offers approximately 2.1 million stock-keeping units through its catalogs and brochures; e-commerce channels, including its Website, mscdirect.com; inventory management solutions; and customer care centers, customer fulfillment centers, regional inventory centers, and warehouses. It operates through a distribution network of 6 customer fulfilment centers, 10 regional inventory centers, and 38 warehouses. The company serves individual machine shops, Fortune 1000 manufacturing companies, and government agencies, as well as manufacturers of various sizes. MSC Industrial Direct Co., Inc. was founded in 1941 and is headquartered in Melville, New York.",6765,"{'maxAge': 1, 'name': 'Ms. Kimberly  Shacklett', 'age': 54, 'title': 'Sr. VP of Sales & Customer Success', 'yearBorn': 1968, 'exercisedValue': 0, 'unexercisedValue': 0}",8,4,3,10,7,1693526400,1672444800,86400,2,95.91,95.55,94.97,96.42,95.91,95.55,94.97,96.42,3.16,0.0328,1688947200,0.48669997,3.65,0.97372,15.026522,15.097178,577297,577297,427654,546610,546610,96.05,96.13,800,900,5369127424,71.33,103.95,1.3435966,99.409,89.9841,3.16,0.032947555,USD,5879564800,0.09003,46206545,47088500,1336644,1352482,1690761600,1693440000,0.024,0.02928,0.94358003,3.86,0.033099998,26.569,3.6252775,1662163200,1693699200,1685750400,-0.045,359764992,6.41,6.38,1.67,2:1,896140800,1.471,10.062,NYQ,EQUITY,MSM,MSM,"MSC Industrial Direct Company, ","MSC Industrial Direct Co., Inc.",819037800,America/New_York,EDT,-14400000,96.32,110.0,96.0,104.6,105.0,2.4,buy,5,58428000,1.042,584313984,525768992,0.727,1.926,3996086016,34.992,71.487,0.12394,0.25619,1558248000,520337984,677958016,-0.051,0.1,0.41332,0.14622,0.12769,USD,1.9232
