,address1,address2,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,XYZ Building,2 Hardman Boulevard Spinningfields,Manchester,M3 3AQ,United Kingdom,44 16 1209 5200,https://www.nccgroup.com/uk,Software—Application,Technology,"NCC Group plc engages in the cyber and software resilience business in the United Kingdom, the Asian-Pacific, North America, and Europe. It operates in two segments, Assurance and Software Resilience. The company offers assessment and advisory services, which include risk management, supply chain risk, cloud and infrastructure, application and security software, mobile, managed vulnerability scanning, hardware and embedded systems, and cryptography, as well as calibrator and cyber security review solutions. It also provides detection and response services, including managed detection and response, incident response, and threat intelligence; compliance services, such as data privacy, government security, and payments; and remediation and big bounty services. In addition, the company provides software resilience services, such as cloud software escrow solutions, on-premises software escrow agreements, on-premises software escrow verification, virtual and physical escrow vaults, software security testing, and software risk assessment tools, as well as offers training services to developers and other security teams. The company serves customers in various industries that include finance and professional, transport and manufacturing, public, retail, and energy and utilities, as well as technology, media, telecommunications sectors. NCC Group plc was founded in 1999 and is headquartered in Manchester, the United Kingdom.",2500,"{'maxAge': 1, 'name': 'Mr. Mike  Maddison', 'age': 53, 'title': 'CEO & Director', 'yearBorn': 1969, 'exercisedValue': 0, 'unexercisedValue': 0}",2,9,6,1,7,1693526400,86400,2,96.4,95.1,95.1,100.0,96.4,95.1,95.1,100.0,0.05,0.0465,1676505600,0.5886,2.61,0.657282,1250.0,7.022472,13846166,13846166,1110723,3215079,3215079,95.0,100.0,0,0,312752992,75.8,238.0,0.916358,97.58,132.1895,0.046,0.00047717843,GBp,393500000,0.07266,307654984,312128992,0.020130001,0.80864996,0.979,102.14505,1653955200,1685491200,1669766400,0.31,24800000,0.08,14.24,6:1,1355875200,1.153,8.113,LSE,EQUITY,NCC.L,NCC.L,NCC GROUP PLC ORD 1P,NCC Group plc,1089356400,Europe/London,BST,3600000,100.0,363.0,245.0,274.17,260.0,1.4,strong_buy,6,44000000,0.142,48500000,128100000,0.877,0.9,341300000,42.291,1.102,0.04289,0.0862,132600000,44362500,56100000,0.279,0.177,0.41371,0.1421,0.10987,GBP,
1,XYZ Building,2 Hardman Boulevard Spinningfields,Manchester,M3 3AQ,United Kingdom,44 16 1209 5200,https://www.nccgroup.com/uk,Software—Application,Technology,"NCC Group plc engages in the cyber and software resilience business in the United Kingdom, the Asian-Pacific, North America, and Europe. It operates in two segments, Assurance and Software Resilience. The company offers assessment and advisory services, which include risk management, supply chain risk, cloud and infrastructure, application and security software, mobile, managed vulnerability scanning, hardware and embedded systems, and cryptography, as well as calibrator and cyber security review solutions. It also provides detection and response services, including managed detection and response, incident response, and threat intelligence; compliance services, such as data privacy, government security, and payments; and remediation and big bounty services. In addition, the company provides software resilience services, such as cloud software escrow solutions, on-premises software escrow agreements, on-premises software escrow verification, virtual and physical escrow vaults, software security testing, and software risk assessment tools, as well as offers training services to developers and other security teams. The company serves customers in various industries that include finance and professional, transport and manufacturing, public, retail, and energy and utilities, as well as technology, media, telecommunications sectors. NCC Group plc was founded in 1999 and is headquartered in Manchester, the United Kingdom.",2500,"{'maxAge': 1, 'name': 'Mr. Guy  Ellis', 'age': 48, 'title': 'CFO & Company Sec.', 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}",2,9,6,1,7,1693526400,86400,2,96.4,95.1,95.1,100.0,96.4,95.1,95.1,100.0,0.05,0.0465,1676505600,0.5886,2.61,0.657282,1250.0,7.022472,13846166,13846166,1110723,3215079,3215079,95.0,100.0,0,0,312752992,75.8,238.0,0.916358,97.58,132.1895,0.046,0.00047717843,GBp,393500000,0.07266,307654984,312128992,0.020130001,0.80864996,0.979,102.14505,1653955200,1685491200,1669766400,0.31,24800000,0.08,14.24,6:1,1355875200,1.153,8.113,LSE,EQUITY,NCC.L,NCC.L,NCC GROUP PLC ORD 1P,NCC Group plc,1089356400,Europe/London,BST,3600000,100.0,363.0,245.0,274.17,260.0,1.4,strong_buy,6,44000000,0.142,48500000,128100000,0.877,0.9,341300000,42.291,1.102,0.04289,0.0862,132600000,44362500,56100000,0.279,0.177,0.41371,0.1421,0.10987,GBP,
2,XYZ Building,2 Hardman Boulevard Spinningfields,Manchester,M3 3AQ,United Kingdom,44 16 1209 5200,https://www.nccgroup.com/uk,Software—Application,Technology,"NCC Group plc engages in the cyber and software resilience business in the United Kingdom, the Asian-Pacific, North America, and Europe. It operates in two segments, Assurance and Software Resilience. The company offers assessment and advisory services, which include risk management, supply chain risk, cloud and infrastructure, application and security software, mobile, managed vulnerability scanning, hardware and embedded systems, and cryptography, as well as calibrator and cyber security review solutions. It also provides detection and response services, including managed detection and response, incident response, and threat intelligence; compliance services, such as data privacy, government security, and payments; and remediation and big bounty services. In addition, the company provides software resilience services, such as cloud software escrow solutions, on-premises software escrow agreements, on-premises software escrow verification, virtual and physical escrow vaults, software security testing, and software risk assessment tools, as well as offers training services to developers and other security teams. The company serves customers in various industries that include finance and professional, transport and manufacturing, public, retail, and energy and utilities, as well as technology, media, telecommunications sectors. NCC Group plc was founded in 1999 and is headquartered in Manchester, the United Kingdom.",2500,"{'maxAge': 1, 'name': 'Mr. Kevin F. Brown', 'title': 'Chief Operating Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",2,9,6,1,7,1693526400,86400,2,96.4,95.1,95.1,100.0,96.4,95.1,95.1,100.0,0.05,0.0465,1676505600,0.5886,2.61,0.657282,1250.0,7.022472,13846166,13846166,1110723,3215079,3215079,95.0,100.0,0,0,312752992,75.8,238.0,0.916358,97.58,132.1895,0.046,0.00047717843,GBp,393500000,0.07266,307654984,312128992,0.020130001,0.80864996,0.979,102.14505,1653955200,1685491200,1669766400,0.31,24800000,0.08,14.24,6:1,1355875200,1.153,8.113,LSE,EQUITY,NCC.L,NCC.L,NCC GROUP PLC ORD 1P,NCC Group plc,1089356400,Europe/London,BST,3600000,100.0,363.0,245.0,274.17,260.0,1.4,strong_buy,6,44000000,0.142,48500000,128100000,0.877,0.9,341300000,42.291,1.102,0.04289,0.0862,132600000,44362500,56100000,0.279,0.177,0.41371,0.1421,0.10987,GBP,
3,XYZ Building,2 Hardman Boulevard Spinningfields,Manchester,M3 3AQ,United Kingdom,44 16 1209 5200,https://www.nccgroup.com/uk,Software—Application,Technology,"NCC Group plc engages in the cyber and software resilience business in the United Kingdom, the Asian-Pacific, North America, and Europe. It operates in two segments, Assurance and Software Resilience. The company offers assessment and advisory services, which include risk management, supply chain risk, cloud and infrastructure, application and security software, mobile, managed vulnerability scanning, hardware and embedded systems, and cryptography, as well as calibrator and cyber security review solutions. It also provides detection and response services, including managed detection and response, incident response, and threat intelligence; compliance services, such as data privacy, government security, and payments; and remediation and big bounty services. In addition, the company provides software resilience services, such as cloud software escrow solutions, on-premises software escrow agreements, on-premises software escrow verification, virtual and physical escrow vaults, software security testing, and software risk assessment tools, as well as offers training services to developers and other security teams. The company serves customers in various industries that include finance and professional, transport and manufacturing, public, retail, and energy and utilities, as well as technology, media, telecommunications sectors. NCC Group plc was founded in 1999 and is headquartered in Manchester, the United Kingdom.",2500,"{'maxAge': 1, 'name': 'Sian  John', 'title': 'Chief Technology Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",2,9,6,1,7,1693526400,86400,2,96.4,95.1,95.1,100.0,96.4,95.1,95.1,100.0,0.05,0.0465,1676505600,0.5886,2.61,0.657282,1250.0,7.022472,13846166,13846166,1110723,3215079,3215079,95.0,100.0,0,0,312752992,75.8,238.0,0.916358,97.58,132.1895,0.046,0.00047717843,GBp,393500000,0.07266,307654984,312128992,0.020130001,0.80864996,0.979,102.14505,1653955200,1685491200,1669766400,0.31,24800000,0.08,14.24,6:1,1355875200,1.153,8.113,LSE,EQUITY,NCC.L,NCC.L,NCC GROUP PLC ORD 1P,NCC Group plc,1089356400,Europe/London,BST,3600000,100.0,363.0,245.0,274.17,260.0,1.4,strong_buy,6,44000000,0.142,48500000,128100000,0.877,0.9,341300000,42.291,1.102,0.04289,0.0862,132600000,44362500,56100000,0.279,0.177,0.41371,0.1421,0.10987,GBP,
4,XYZ Building,2 Hardman Boulevard Spinningfields,Manchester,M3 3AQ,United Kingdom,44 16 1209 5200,https://www.nccgroup.com/uk,Software—Application,Technology,"NCC Group plc engages in the cyber and software resilience business in the United Kingdom, the Asian-Pacific, North America, and Europe. It operates in two segments, Assurance and Software Resilience. The company offers assessment and advisory services, which include risk management, supply chain risk, cloud and infrastructure, application and security software, mobile, managed vulnerability scanning, hardware and embedded systems, and cryptography, as well as calibrator and cyber security review solutions. It also provides detection and response services, including managed detection and response, incident response, and threat intelligence; compliance services, such as data privacy, government security, and payments; and remediation and big bounty services. In addition, the company provides software resilience services, such as cloud software escrow solutions, on-premises software escrow agreements, on-premises software escrow verification, virtual and physical escrow vaults, software security testing, and software risk assessment tools, as well as offers training services to developers and other security teams. The company serves customers in various industries that include finance and professional, transport and manufacturing, public, retail, and energy and utilities, as well as technology, media, telecommunications sectors. NCC Group plc was founded in 1999 and is headquartered in Manchester, the United Kingdom.",2500,"{'maxAge': 1, 'name': 'Ms. Rebecca  Fox', 'title': 'Chief Information Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",2,9,6,1,7,1693526400,86400,2,96.4,95.1,95.1,100.0,96.4,95.1,95.1,100.0,0.05,0.0465,1676505600,0.5886,2.61,0.657282,1250.0,7.022472,13846166,13846166,1110723,3215079,3215079,95.0,100.0,0,0,312752992,75.8,238.0,0.916358,97.58,132.1895,0.046,0.00047717843,GBp,393500000,0.07266,307654984,312128992,0.020130001,0.80864996,0.979,102.14505,1653955200,1685491200,1669766400,0.31,24800000,0.08,14.24,6:1,1355875200,1.153,8.113,LSE,EQUITY,NCC.L,NCC.L,NCC GROUP PLC ORD 1P,NCC Group plc,1089356400,Europe/London,BST,3600000,100.0,363.0,245.0,274.17,260.0,1.4,strong_buy,6,44000000,0.142,48500000,128100000,0.877,0.9,341300000,42.291,1.102,0.04289,0.0862,132600000,44362500,56100000,0.279,0.177,0.41371,0.1421,0.10987,GBP,
5,XYZ Building,2 Hardman Boulevard Spinningfields,Manchester,M3 3AQ,United Kingdom,44 16 1209 5200,https://www.nccgroup.com/uk,Software—Application,Technology,"NCC Group plc engages in the cyber and software resilience business in the United Kingdom, the Asian-Pacific, North America, and Europe. It operates in two segments, Assurance and Software Resilience. The company offers assessment and advisory services, which include risk management, supply chain risk, cloud and infrastructure, application and security software, mobile, managed vulnerability scanning, hardware and embedded systems, and cryptography, as well as calibrator and cyber security review solutions. It also provides detection and response services, including managed detection and response, incident response, and threat intelligence; compliance services, such as data privacy, government security, and payments; and remediation and big bounty services. In addition, the company provides software resilience services, such as cloud software escrow solutions, on-premises software escrow agreements, on-premises software escrow verification, virtual and physical escrow vaults, software security testing, and software risk assessment tools, as well as offers training services to developers and other security teams. The company serves customers in various industries that include finance and professional, transport and manufacturing, public, retail, and energy and utilities, as well as technology, media, telecommunications sectors. NCC Group plc was founded in 1999 and is headquartered in Manchester, the United Kingdom.",2500,"{'maxAge': 1, 'name': 'Ms. Angela  Brown', 'title': 'Chief Marketing Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",2,9,6,1,7,1693526400,86400,2,96.4,95.1,95.1,100.0,96.4,95.1,95.1,100.0,0.05,0.0465,1676505600,0.5886,2.61,0.657282,1250.0,7.022472,13846166,13846166,1110723,3215079,3215079,95.0,100.0,0,0,312752992,75.8,238.0,0.916358,97.58,132.1895,0.046,0.00047717843,GBp,393500000,0.07266,307654984,312128992,0.020130001,0.80864996,0.979,102.14505,1653955200,1685491200,1669766400,0.31,24800000,0.08,14.24,6:1,1355875200,1.153,8.113,LSE,EQUITY,NCC.L,NCC.L,NCC GROUP PLC ORD 1P,NCC Group plc,1089356400,Europe/London,BST,3600000,100.0,363.0,245.0,274.17,260.0,1.4,strong_buy,6,44000000,0.142,48500000,128100000,0.877,0.9,341300000,42.291,1.102,0.04289,0.0862,132600000,44362500,56100000,0.279,0.177,0.41371,0.1421,0.10987,GBP,
6,XYZ Building,2 Hardman Boulevard Spinningfields,Manchester,M3 3AQ,United Kingdom,44 16 1209 5200,https://www.nccgroup.com/uk,Software—Application,Technology,"NCC Group plc engages in the cyber and software resilience business in the United Kingdom, the Asian-Pacific, North America, and Europe. It operates in two segments, Assurance and Software Resilience. The company offers assessment and advisory services, which include risk management, supply chain risk, cloud and infrastructure, application and security software, mobile, managed vulnerability scanning, hardware and embedded systems, and cryptography, as well as calibrator and cyber security review solutions. It also provides detection and response services, including managed detection and response, incident response, and threat intelligence; compliance services, such as data privacy, government security, and payments; and remediation and big bounty services. In addition, the company provides software resilience services, such as cloud software escrow solutions, on-premises software escrow agreements, on-premises software escrow verification, virtual and physical escrow vaults, software security testing, and software risk assessment tools, as well as offers training services to developers and other security teams. The company serves customers in various industries that include finance and professional, transport and manufacturing, public, retail, and energy and utilities, as well as technology, media, telecommunications sectors. NCC Group plc was founded in 1999 and is headquartered in Manchester, the United Kingdom.",2500,"{'maxAge': 1, 'name': 'Ms. Michelle  Porteus', 'title': 'Chief People Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",2,9,6,1,7,1693526400,86400,2,96.4,95.1,95.1,100.0,96.4,95.1,95.1,100.0,0.05,0.0465,1676505600,0.5886,2.61,0.657282,1250.0,7.022472,13846166,13846166,1110723,3215079,3215079,95.0,100.0,0,0,312752992,75.8,238.0,0.916358,97.58,132.1895,0.046,0.00047717843,GBp,393500000,0.07266,307654984,312128992,0.020130001,0.80864996,0.979,102.14505,1653955200,1685491200,1669766400,0.31,24800000,0.08,14.24,6:1,1355875200,1.153,8.113,LSE,EQUITY,NCC.L,NCC.L,NCC GROUP PLC ORD 1P,NCC Group plc,1089356400,Europe/London,BST,3600000,100.0,363.0,245.0,274.17,260.0,1.4,strong_buy,6,44000000,0.142,48500000,128100000,0.877,0.9,341300000,42.291,1.102,0.04289,0.0862,132600000,44362500,56100000,0.279,0.177,0.41371,0.1421,0.10987,GBP,
7,XYZ Building,2 Hardman Boulevard Spinningfields,Manchester,M3 3AQ,United Kingdom,44 16 1209 5200,https://www.nccgroup.com/uk,Software—Application,Technology,"NCC Group plc engages in the cyber and software resilience business in the United Kingdom, the Asian-Pacific, North America, and Europe. It operates in two segments, Assurance and Software Resilience. The company offers assessment and advisory services, which include risk management, supply chain risk, cloud and infrastructure, application and security software, mobile, managed vulnerability scanning, hardware and embedded systems, and cryptography, as well as calibrator and cyber security review solutions. It also provides detection and response services, including managed detection and response, incident response, and threat intelligence; compliance services, such as data privacy, government security, and payments; and remediation and big bounty services. In addition, the company provides software resilience services, such as cloud software escrow solutions, on-premises software escrow agreements, on-premises software escrow verification, virtual and physical escrow vaults, software security testing, and software risk assessment tools, as well as offers training services to developers and other security teams. The company serves customers in various industries that include finance and professional, transport and manufacturing, public, retail, and energy and utilities, as well as technology, media, telecommunications sectors. NCC Group plc was founded in 1999 and is headquartered in Manchester, the United Kingdom.",2500,"{'maxAge': 1, 'name': 'Mr. Sean  Preece', 'title': 'Head of Specialist Testing', 'exercisedValue': 0, 'unexercisedValue': 0}",2,9,6,1,7,1693526400,86400,2,96.4,95.1,95.1,100.0,96.4,95.1,95.1,100.0,0.05,0.0465,1676505600,0.5886,2.61,0.657282,1250.0,7.022472,13846166,13846166,1110723,3215079,3215079,95.0,100.0,0,0,312752992,75.8,238.0,0.916358,97.58,132.1895,0.046,0.00047717843,GBp,393500000,0.07266,307654984,312128992,0.020130001,0.80864996,0.979,102.14505,1653955200,1685491200,1669766400,0.31,24800000,0.08,14.24,6:1,1355875200,1.153,8.113,LSE,EQUITY,NCC.L,NCC.L,NCC GROUP PLC ORD 1P,NCC Group plc,1089356400,Europe/London,BST,3600000,100.0,363.0,245.0,274.17,260.0,1.4,strong_buy,6,44000000,0.142,48500000,128100000,0.877,0.9,341300000,42.291,1.102,0.04289,0.0862,132600000,44362500,56100000,0.279,0.177,0.41371,0.1421,0.10987,GBP,
8,XYZ Building,2 Hardman Boulevard Spinningfields,Manchester,M3 3AQ,United Kingdom,44 16 1209 5200,https://www.nccgroup.com/uk,Software—Application,Technology,"NCC Group plc engages in the cyber and software resilience business in the United Kingdom, the Asian-Pacific, North America, and Europe. It operates in two segments, Assurance and Software Resilience. The company offers assessment and advisory services, which include risk management, supply chain risk, cloud and infrastructure, application and security software, mobile, managed vulnerability scanning, hardware and embedded systems, and cryptography, as well as calibrator and cyber security review solutions. It also provides detection and response services, including managed detection and response, incident response, and threat intelligence; compliance services, such as data privacy, government security, and payments; and remediation and big bounty services. In addition, the company provides software resilience services, such as cloud software escrow solutions, on-premises software escrow agreements, on-premises software escrow verification, virtual and physical escrow vaults, software security testing, and software risk assessment tools, as well as offers training services to developers and other security teams. The company serves customers in various industries that include finance and professional, transport and manufacturing, public, retail, and energy and utilities, as well as technology, media, telecommunications sectors. NCC Group plc was founded in 1999 and is headquartered in Manchester, the United Kingdom.",2500,"{'maxAge': 1, 'name': 'Mr. Ian  Robertson', 'title': 'Sr. VP & COO of Canada', 'exercisedValue': 0, 'unexercisedValue': 0}",2,9,6,1,7,1693526400,86400,2,96.4,95.1,95.1,100.0,96.4,95.1,95.1,100.0,0.05,0.0465,1676505600,0.5886,2.61,0.657282,1250.0,7.022472,13846166,13846166,1110723,3215079,3215079,95.0,100.0,0,0,312752992,75.8,238.0,0.916358,97.58,132.1895,0.046,0.00047717843,GBp,393500000,0.07266,307654984,312128992,0.020130001,0.80864996,0.979,102.14505,1653955200,1685491200,1669766400,0.31,24800000,0.08,14.24,6:1,1355875200,1.153,8.113,LSE,EQUITY,NCC.L,NCC.L,NCC GROUP PLC ORD 1P,NCC Group plc,1089356400,Europe/London,BST,3600000,100.0,363.0,245.0,274.17,260.0,1.4,strong_buy,6,44000000,0.142,48500000,128100000,0.877,0.9,341300000,42.291,1.102,0.04289,0.0862,132600000,44362500,56100000,0.279,0.177,0.41371,0.1421,0.10987,GBP,
9,XYZ Building,2 Hardman Boulevard Spinningfields,Manchester,M3 3AQ,United Kingdom,44 16 1209 5200,https://www.nccgroup.com/uk,Software—Application,Technology,"NCC Group plc engages in the cyber and software resilience business in the United Kingdom, the Asian-Pacific, North America, and Europe. It operates in two segments, Assurance and Software Resilience. The company offers assessment and advisory services, which include risk management, supply chain risk, cloud and infrastructure, application and security software, mobile, managed vulnerability scanning, hardware and embedded systems, and cryptography, as well as calibrator and cyber security review solutions. It also provides detection and response services, including managed detection and response, incident response, and threat intelligence; compliance services, such as data privacy, government security, and payments; and remediation and big bounty services. In addition, the company provides software resilience services, such as cloud software escrow solutions, on-premises software escrow agreements, on-premises software escrow verification, virtual and physical escrow vaults, software security testing, and software risk assessment tools, as well as offers training services to developers and other security teams. The company serves customers in various industries that include finance and professional, transport and manufacturing, public, retail, and energy and utilities, as well as technology, media, telecommunications sectors. NCC Group plc was founded in 1999 and is headquartered in Manchester, the United Kingdom.",2500,"{'maxAge': 1, 'name': 'Mr. Nick  Rowe', 'title': 'Managing Director of Assurance - North America', 'exercisedValue': 0, 'unexercisedValue': 0}",2,9,6,1,7,1693526400,86400,2,96.4,95.1,95.1,100.0,96.4,95.1,95.1,100.0,0.05,0.0465,1676505600,0.5886,2.61,0.657282,1250.0,7.022472,13846166,13846166,1110723,3215079,3215079,95.0,100.0,0,0,312752992,75.8,238.0,0.916358,97.58,132.1895,0.046,0.00047717843,GBp,393500000,0.07266,307654984,312128992,0.020130001,0.80864996,0.979,102.14505,1653955200,1685491200,1669766400,0.31,24800000,0.08,14.24,6:1,1355875200,1.153,8.113,LSE,EQUITY,NCC.L,NCC.L,NCC GROUP PLC ORD 1P,NCC Group plc,1089356400,Europe/London,BST,3600000,100.0,363.0,245.0,274.17,260.0,1.4,strong_buy,6,44000000,0.142,48500000,128100000,0.877,0.9,341300000,42.291,1.102,0.04289,0.0862,132600000,44362500,56100000,0.279,0.177,0.41371,0.1421,0.10987,GBP,
