,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,13135 Dairy Ashford,Suite 800,Sugar Land,TX,77478,United States,281 276 6100,281 491 2092,https://noblecorp.com,Oil & Gas Drilling,Energy,"Noble Corporation plc operates as an offshore drilling contractor for the oil and gas industry worldwide. The company provides contract drilling services to the oil and gas industry through its fleet of mobile offshore drilling units. It operates drilling rigs consisting of floaters and jackups. Noble Corporation plc was founded in 1921 and is headquartered in Sugar Land, Texas.",3800,"{'maxAge': 1, 'name': 'Mr. Robert W. Eifler', 'age': 42, 'title': 'Pres, CEO & Director', 'yearBorn': 1980, 'fiscalYear': 2022, 'totalPay': 1522552, 'exercisedValue': 0, 'unexercisedValue': 0}",7,3,1,3,3,1693526400,1672444800,86400,2,53.52,53.42,52.47,53.75,53.52,53.42,52.47,53.75,1.2,0.0224,1692144000,0.0,1.210132,21.203999,10.394117,1927022,1927022,1451769,1439190,1439190,53.15,53.06,900,1200,7476530176,27.04,55.34,3.6350071,51.3746,41.98795,0.3,0.0056053814,USD,7666758656,0.16648,135837720,141040000,4504644,4810748,1690761600,1693440000,0.0319,0.00937,0.83862996,4.09,0.04,27.132,1.9537815,1672444800,1703980800,1688083200,0.776,342425984,2.5,5.1,0.27,2:1,1188345600,3.727,13.156,NYQ,EQUITY,NE,NE,Noble Corporation plc A,Noble Corporation Plc,1623245400,America/New_York,EDT,-14400000,53.01,72.0,52.0,62.11,60.0,1.6,buy,9,255356000,1.863,582777024,585388992,1.625,1.814,2056813056,15.739,17.292,0.079730004,0.13099,435745000,57760500,392766016,0.0,1.31,0.37904,0.28334,0.22623,USD,
1,13135 Dairy Ashford,Suite 800,Sugar Land,TX,77478,United States,281 276 6100,281 491 2092,https://noblecorp.com,Oil & Gas Drilling,Energy,"Noble Corporation plc operates as an offshore drilling contractor for the oil and gas industry worldwide. The company provides contract drilling services to the oil and gas industry through its fleet of mobile offshore drilling units. It operates drilling rigs consisting of floaters and jackups. Noble Corporation plc was founded in 1921 and is headquartered in Sugar Land, Texas.",3800,"{'maxAge': 1, 'name': 'Mr. Richard B. Barker', 'age': 41, 'title': 'Sr. VP & CFO', 'yearBorn': 1981, 'fiscalYear': 2022, 'totalPay': 838957, 'exercisedValue': 0, 'unexercisedValue': 0}",7,3,1,3,3,1693526400,1672444800,86400,2,53.52,53.42,52.47,53.75,53.52,53.42,52.47,53.75,1.2,0.0224,1692144000,0.0,1.210132,21.203999,10.394117,1927022,1927022,1451769,1439190,1439190,53.15,53.06,900,1200,7476530176,27.04,55.34,3.6350071,51.3746,41.98795,0.3,0.0056053814,USD,7666758656,0.16648,135837720,141040000,4504644,4810748,1690761600,1693440000,0.0319,0.00937,0.83862996,4.09,0.04,27.132,1.9537815,1672444800,1703980800,1688083200,0.776,342425984,2.5,5.1,0.27,2:1,1188345600,3.727,13.156,NYQ,EQUITY,NE,NE,Noble Corporation plc A,Noble Corporation Plc,1623245400,America/New_York,EDT,-14400000,53.01,72.0,52.0,62.11,60.0,1.6,buy,9,255356000,1.863,582777024,585388992,1.625,1.814,2056813056,15.739,17.292,0.079730004,0.13099,435745000,57760500,392766016,0.0,1.31,0.37904,0.28334,0.22623,USD,
2,13135 Dairy Ashford,Suite 800,Sugar Land,TX,77478,United States,281 276 6100,281 491 2092,https://noblecorp.com,Oil & Gas Drilling,Energy,"Noble Corporation plc operates as an offshore drilling contractor for the oil and gas industry worldwide. The company provides contract drilling services to the oil and gas industry through its fleet of mobile offshore drilling units. It operates drilling rigs consisting of floaters and jackups. Noble Corporation plc was founded in 1921 and is headquartered in Sugar Land, Texas.",3800,"{'maxAge': 1, 'name': 'Mr. Joey M. Kawaja', 'age': 48, 'title': 'Sr. VP of Operations', 'yearBorn': 1974, 'fiscalYear': 2022, 'totalPay': 546610, 'exercisedValue': 0, 'unexercisedValue': 0}",7,3,1,3,3,1693526400,1672444800,86400,2,53.52,53.42,52.47,53.75,53.52,53.42,52.47,53.75,1.2,0.0224,1692144000,0.0,1.210132,21.203999,10.394117,1927022,1927022,1451769,1439190,1439190,53.15,53.06,900,1200,7476530176,27.04,55.34,3.6350071,51.3746,41.98795,0.3,0.0056053814,USD,7666758656,0.16648,135837720,141040000,4504644,4810748,1690761600,1693440000,0.0319,0.00937,0.83862996,4.09,0.04,27.132,1.9537815,1672444800,1703980800,1688083200,0.776,342425984,2.5,5.1,0.27,2:1,1188345600,3.727,13.156,NYQ,EQUITY,NE,NE,Noble Corporation plc A,Noble Corporation Plc,1623245400,America/New_York,EDT,-14400000,53.01,72.0,52.0,62.11,60.0,1.6,buy,9,255356000,1.863,582777024,585388992,1.625,1.814,2056813056,15.739,17.292,0.079730004,0.13099,435745000,57760500,392766016,0.0,1.31,0.37904,0.28334,0.22623,USD,
3,13135 Dairy Ashford,Suite 800,Sugar Land,TX,77478,United States,281 276 6100,281 491 2092,https://noblecorp.com,Oil & Gas Drilling,Energy,"Noble Corporation plc operates as an offshore drilling contractor for the oil and gas industry worldwide. The company provides contract drilling services to the oil and gas industry through its fleet of mobile offshore drilling units. It operates drilling rigs consisting of floaters and jackups. Noble Corporation plc was founded in 1921 and is headquartered in Sugar Land, Texas.",3800,"{'maxAge': 1, 'name': 'Mr. Blake A. Denton', 'age': 43, 'title': 'Sr. VP of Marketing & Contracts', 'yearBorn': 1979, 'fiscalYear': 2022, 'totalPay': 499441, 'exercisedValue': 0, 'unexercisedValue': 0}",7,3,1,3,3,1693526400,1672444800,86400,2,53.52,53.42,52.47,53.75,53.52,53.42,52.47,53.75,1.2,0.0224,1692144000,0.0,1.210132,21.203999,10.394117,1927022,1927022,1451769,1439190,1439190,53.15,53.06,900,1200,7476530176,27.04,55.34,3.6350071,51.3746,41.98795,0.3,0.0056053814,USD,7666758656,0.16648,135837720,141040000,4504644,4810748,1690761600,1693440000,0.0319,0.00937,0.83862996,4.09,0.04,27.132,1.9537815,1672444800,1703980800,1688083200,0.776,342425984,2.5,5.1,0.27,2:1,1188345600,3.727,13.156,NYQ,EQUITY,NE,NE,Noble Corporation plc A,Noble Corporation Plc,1623245400,America/New_York,EDT,-14400000,53.01,72.0,52.0,62.11,60.0,1.6,buy,9,255356000,1.863,582777024,585388992,1.625,1.814,2056813056,15.739,17.292,0.079730004,0.13099,435745000,57760500,392766016,0.0,1.31,0.37904,0.28334,0.22623,USD,
4,13135 Dairy Ashford,Suite 800,Sugar Land,TX,77478,United States,281 276 6100,281 491 2092,https://noblecorp.com,Oil & Gas Drilling,Energy,"Noble Corporation plc operates as an offshore drilling contractor for the oil and gas industry worldwide. The company provides contract drilling services to the oil and gas industry through its fleet of mobile offshore drilling units. It operates drilling rigs consisting of floaters and jackups. Noble Corporation plc was founded in 1921 and is headquartered in Sugar Land, Texas.",3800,"{'maxAge': 1, 'name': 'Mr. William Edgar Turcotte', 'age': 58, 'title': 'Sr. Advisor', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 738043, 'exercisedValue': 0, 'unexercisedValue': 0}",7,3,1,3,3,1693526400,1672444800,86400,2,53.52,53.42,52.47,53.75,53.52,53.42,52.47,53.75,1.2,0.0224,1692144000,0.0,1.210132,21.203999,10.394117,1927022,1927022,1451769,1439190,1439190,53.15,53.06,900,1200,7476530176,27.04,55.34,3.6350071,51.3746,41.98795,0.3,0.0056053814,USD,7666758656,0.16648,135837720,141040000,4504644,4810748,1690761600,1693440000,0.0319,0.00937,0.83862996,4.09,0.04,27.132,1.9537815,1672444800,1703980800,1688083200,0.776,342425984,2.5,5.1,0.27,2:1,1188345600,3.727,13.156,NYQ,EQUITY,NE,NE,Noble Corporation plc A,Noble Corporation Plc,1623245400,America/New_York,EDT,-14400000,53.01,72.0,52.0,62.11,60.0,1.6,buy,9,255356000,1.863,582777024,585388992,1.625,1.814,2056813056,15.739,17.292,0.079730004,0.13099,435745000,57760500,392766016,0.0,1.31,0.37904,0.28334,0.22623,USD,
5,13135 Dairy Ashford,Suite 800,Sugar Land,TX,77478,United States,281 276 6100,281 491 2092,https://noblecorp.com,Oil & Gas Drilling,Energy,"Noble Corporation plc operates as an offshore drilling contractor for the oil and gas industry worldwide. The company provides contract drilling services to the oil and gas industry through its fleet of mobile offshore drilling units. It operates drilling rigs consisting of floaters and jackups. Noble Corporation plc was founded in 1921 and is headquartered in Sugar Land, Texas.",3800,"{'maxAge': 1, 'name': 'Ms. Laura D. Campbell', 'age': 50, 'title': 'Chief Accounting Officer', 'yearBorn': 1972, 'fiscalYear': 2020, 'exercisedValue': 0, 'unexercisedValue': 0}",7,3,1,3,3,1693526400,1672444800,86400,2,53.52,53.42,52.47,53.75,53.52,53.42,52.47,53.75,1.2,0.0224,1692144000,0.0,1.210132,21.203999,10.394117,1927022,1927022,1451769,1439190,1439190,53.15,53.06,900,1200,7476530176,27.04,55.34,3.6350071,51.3746,41.98795,0.3,0.0056053814,USD,7666758656,0.16648,135837720,141040000,4504644,4810748,1690761600,1693440000,0.0319,0.00937,0.83862996,4.09,0.04,27.132,1.9537815,1672444800,1703980800,1688083200,0.776,342425984,2.5,5.1,0.27,2:1,1188345600,3.727,13.156,NYQ,EQUITY,NE,NE,Noble Corporation plc A,Noble Corporation Plc,1623245400,America/New_York,EDT,-14400000,53.01,72.0,52.0,62.11,60.0,1.6,buy,9,255356000,1.863,582777024,585388992,1.625,1.814,2056813056,15.739,17.292,0.079730004,0.13099,435745000,57760500,392766016,0.0,1.31,0.37904,0.28334,0.22623,USD,
6,13135 Dairy Ashford,Suite 800,Sugar Land,TX,77478,United States,281 276 6100,281 491 2092,https://noblecorp.com,Oil & Gas Drilling,Energy,"Noble Corporation plc operates as an offshore drilling contractor for the oil and gas industry worldwide. The company provides contract drilling services to the oil and gas industry through its fleet of mobile offshore drilling units. It operates drilling rigs consisting of floaters and jackups. Noble Corporation plc was founded in 1921 and is headquartered in Sugar Land, Texas.",3800,"{'maxAge': 1, 'name': 'Tom  Madden', 'title': 'VP & GM of Admin.', 'exercisedValue': 0, 'unexercisedValue': 0}",7,3,1,3,3,1693526400,1672444800,86400,2,53.52,53.42,52.47,53.75,53.52,53.42,52.47,53.75,1.2,0.0224,1692144000,0.0,1.210132,21.203999,10.394117,1927022,1927022,1451769,1439190,1439190,53.15,53.06,900,1200,7476530176,27.04,55.34,3.6350071,51.3746,41.98795,0.3,0.0056053814,USD,7666758656,0.16648,135837720,141040000,4504644,4810748,1690761600,1693440000,0.0319,0.00937,0.83862996,4.09,0.04,27.132,1.9537815,1672444800,1703980800,1688083200,0.776,342425984,2.5,5.1,0.27,2:1,1188345600,3.727,13.156,NYQ,EQUITY,NE,NE,Noble Corporation plc A,Noble Corporation Plc,1623245400,America/New_York,EDT,-14400000,53.01,72.0,52.0,62.11,60.0,1.6,buy,9,255356000,1.863,582777024,585388992,1.625,1.814,2056813056,15.739,17.292,0.079730004,0.13099,435745000,57760500,392766016,0.0,1.31,0.37904,0.28334,0.22623,USD,
7,13135 Dairy Ashford,Suite 800,Sugar Land,TX,77478,United States,281 276 6100,281 491 2092,https://noblecorp.com,Oil & Gas Drilling,Energy,"Noble Corporation plc operates as an offshore drilling contractor for the oil and gas industry worldwide. The company provides contract drilling services to the oil and gas industry through its fleet of mobile offshore drilling units. It operates drilling rigs consisting of floaters and jackups. Noble Corporation plc was founded in 1921 and is headquartered in Sugar Land, Texas.",3800,"{'maxAge': 1, 'name': 'Mr. Ian  MacPherson', 'title': 'VP of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",7,3,1,3,3,1693526400,1672444800,86400,2,53.52,53.42,52.47,53.75,53.52,53.42,52.47,53.75,1.2,0.0224,1692144000,0.0,1.210132,21.203999,10.394117,1927022,1927022,1451769,1439190,1439190,53.15,53.06,900,1200,7476530176,27.04,55.34,3.6350071,51.3746,41.98795,0.3,0.0056053814,USD,7666758656,0.16648,135837720,141040000,4504644,4810748,1690761600,1693440000,0.0319,0.00937,0.83862996,4.09,0.04,27.132,1.9537815,1672444800,1703980800,1688083200,0.776,342425984,2.5,5.1,0.27,2:1,1188345600,3.727,13.156,NYQ,EQUITY,NE,NE,Noble Corporation plc A,Noble Corporation Plc,1623245400,America/New_York,EDT,-14400000,53.01,72.0,52.0,62.11,60.0,1.6,buy,9,255356000,1.863,582777024,585388992,1.625,1.814,2056813056,15.739,17.292,0.079730004,0.13099,435745000,57760500,392766016,0.0,1.31,0.37904,0.28334,0.22623,USD,
8,13135 Dairy Ashford,Suite 800,Sugar Land,TX,77478,United States,281 276 6100,281 491 2092,https://noblecorp.com,Oil & Gas Drilling,Energy,"Noble Corporation plc operates as an offshore drilling contractor for the oil and gas industry worldwide. The company provides contract drilling services to the oil and gas industry through its fleet of mobile offshore drilling units. It operates drilling rigs consisting of floaters and jackups. Noble Corporation plc was founded in 1921 and is headquartered in Sugar Land, Texas.",3800,"{'maxAge': 1, 'name': 'Ms. Jennie P. Howard', 'age': 36, 'title': 'Sr. VP, Gen. Counsel & Corp. Sec.', 'yearBorn': 1986, 'exercisedValue': 0, 'unexercisedValue': 0}",7,3,1,3,3,1693526400,1672444800,86400,2,53.52,53.42,52.47,53.75,53.52,53.42,52.47,53.75,1.2,0.0224,1692144000,0.0,1.210132,21.203999,10.394117,1927022,1927022,1451769,1439190,1439190,53.15,53.06,900,1200,7476530176,27.04,55.34,3.6350071,51.3746,41.98795,0.3,0.0056053814,USD,7666758656,0.16648,135837720,141040000,4504644,4810748,1690761600,1693440000,0.0319,0.00937,0.83862996,4.09,0.04,27.132,1.9537815,1672444800,1703980800,1688083200,0.776,342425984,2.5,5.1,0.27,2:1,1188345600,3.727,13.156,NYQ,EQUITY,NE,NE,Noble Corporation plc A,Noble Corporation Plc,1623245400,America/New_York,EDT,-14400000,53.01,72.0,52.0,62.11,60.0,1.6,buy,9,255356000,1.863,582777024,585388992,1.625,1.814,2056813056,15.739,17.292,0.079730004,0.13099,435745000,57760500,392766016,0.0,1.31,0.37904,0.28334,0.22623,USD,
9,13135 Dairy Ashford,Suite 800,Sugar Land,TX,77478,United States,281 276 6100,281 491 2092,https://noblecorp.com,Oil & Gas Drilling,Energy,"Noble Corporation plc operates as an offshore drilling contractor for the oil and gas industry worldwide. The company provides contract drilling services to the oil and gas industry through its fleet of mobile offshore drilling units. It operates drilling rigs consisting of floaters and jackups. Noble Corporation plc was founded in 1921 and is headquartered in Sugar Land, Texas.",3800,"{'maxAge': 1, 'name': 'Ms. Tine Ostergaard Hansen', 'title': 'VP of Communication & Sustainability', 'exercisedValue': 0, 'unexercisedValue': 0}",7,3,1,3,3,1693526400,1672444800,86400,2,53.52,53.42,52.47,53.75,53.52,53.42,52.47,53.75,1.2,0.0224,1692144000,0.0,1.210132,21.203999,10.394117,1927022,1927022,1451769,1439190,1439190,53.15,53.06,900,1200,7476530176,27.04,55.34,3.6350071,51.3746,41.98795,0.3,0.0056053814,USD,7666758656,0.16648,135837720,141040000,4504644,4810748,1690761600,1693440000,0.0319,0.00937,0.83862996,4.09,0.04,27.132,1.9537815,1672444800,1703980800,1688083200,0.776,342425984,2.5,5.1,0.27,2:1,1188345600,3.727,13.156,NYQ,EQUITY,NE,NE,Noble Corporation plc A,Noble Corporation Plc,1623245400,America/New_York,EDT,-14400000,53.01,72.0,52.0,62.11,60.0,1.6,buy,9,255356000,1.863,582777024,585388992,1.625,1.814,2056813056,15.739,17.292,0.079730004,0.13099,435745000,57760500,392766016,0.0,1.31,0.37904,0.28334,0.22623,USD,
