,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,6120 South Yale Avenue,Suite 805,Tulsa,OK,74136,United States,918 481 1119,https://www.nglenergypartners.com,Oil & Gas Midstream,Energy,"NGL Energy Partners LP engages in the transportation, storage, blending, and marketing of crude oil, natural gas liquids, refined products / renewables, and water solutions. The company operates in three segments: Water Solutions, Crude Oil Logistics, and Liquids Logistics. The Water Solutions segment transports, treats, recycles, and disposes produced and flowback water generated from oil and natural gas production; aggregates and sells recovered crude oil; disposes solids, such as tank bottoms, and drilling fluid and muds, as well as performs truck and frac tank washouts; and sells produced water for reuse and recycle, and brackish non-potable water. The Crude Oil Logistics segment purchases crude oil from producers and marketers, and transports it to refineries for resale at pipeline injection stations, storage terminals, barge loading facilities, rail facilities, refineries, and other trade hubs; and provides storage, terminaling, and transportation services through pipelines. The Liquids Logistics segment supplies natural gas liquids, refined petroleum products, and biodiesel to commercial, retail, and industrial customers in the United States and Canada through its 24 terminals, third-party storage and terminal facilities, and nine common carrier pipelines, as well as through fleet of leased railcars. This segment is also involved in the marine export of butane through its facility located in Chesapeake, Virginia. NGL Energy Holdings LLC serves as the general partner of the company. The company was founded in 1940 and is headquartered in Tulsa, Oklahoma.",638,"{'maxAge': 1, 'name': 'Mr. H. Michael Krimbill', 'age': 68, 'title': 'Pres, CEO, & Director of NGL Energy Holdings LLC', 'yearBorn': 1954, 'fiscalYear': 2023, 'totalPay': 666960, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,3.84,3.81,3.81,3.87,3.84,3.81,3.81,3.87,1604534400,0.0,1.686376,-5.6617646,422469,422469,408979,255870,255870,3.81,3.85,800,800,507918944,1.0,4.62,0.06500427,3.932,2.9097,0.0,0.0,USD,4266824192,0.00612,122561821,131927000,2225919,2275444,1690761600,1693440000,0.016900001,0.069749996,0.29451,4.64,0.0256,3.6,1.0694444,1680220800,1711843200,1688083200,-0.156,-83035000,-0.63,-0.68,3.76,0.546,6.606,NYQ,EQUITY,NGL,NGL,NGL ENERGY PARTNERS LP,NGL Energy Partners LP,1305552600,America/New_York,EDT,-14400000,3.85,4.0,4.0,4.0,4.0,3.0,hold,1,7786000,0.059,645902976,2903407104,0.929,1.199,7813624832,216.963,59.503,0.040009998,0.03728,391183136,497811008,-0.353,0.13301,0.08266,0.047280002,USD,
1,6120 South Yale Avenue,Suite 805,Tulsa,OK,74136,United States,918 481 1119,https://www.nglenergypartners.com,Oil & Gas Midstream,Energy,"NGL Energy Partners LP engages in the transportation, storage, blending, and marketing of crude oil, natural gas liquids, refined products / renewables, and water solutions. The company operates in three segments: Water Solutions, Crude Oil Logistics, and Liquids Logistics. The Water Solutions segment transports, treats, recycles, and disposes produced and flowback water generated from oil and natural gas production; aggregates and sells recovered crude oil; disposes solids, such as tank bottoms, and drilling fluid and muds, as well as performs truck and frac tank washouts; and sells produced water for reuse and recycle, and brackish non-potable water. The Crude Oil Logistics segment purchases crude oil from producers and marketers, and transports it to refineries for resale at pipeline injection stations, storage terminals, barge loading facilities, rail facilities, refineries, and other trade hubs; and provides storage, terminaling, and transportation services through pipelines. The Liquids Logistics segment supplies natural gas liquids, refined petroleum products, and biodiesel to commercial, retail, and industrial customers in the United States and Canada through its 24 terminals, third-party storage and terminal facilities, and nine common carrier pipelines, as well as through fleet of leased railcars. This segment is also involved in the marine export of butane through its facility located in Chesapeake, Virginia. NGL Energy Holdings LLC serves as the general partner of the company. The company was founded in 1940 and is headquartered in Tulsa, Oklahoma.",638,"{'maxAge': 1, 'name': 'Mr. Bradley P. Cooper', 'age': 46, 'title': 'Exec. VP & CFO of NGL Energy Holdings LLC', 'yearBorn': 1976, 'fiscalYear': 2023, 'totalPay': 806515, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,3.84,3.81,3.81,3.87,3.84,3.81,3.81,3.87,1604534400,0.0,1.686376,-5.6617646,422469,422469,408979,255870,255870,3.81,3.85,800,800,507918944,1.0,4.62,0.06500427,3.932,2.9097,0.0,0.0,USD,4266824192,0.00612,122561821,131927000,2225919,2275444,1690761600,1693440000,0.016900001,0.069749996,0.29451,4.64,0.0256,3.6,1.0694444,1680220800,1711843200,1688083200,-0.156,-83035000,-0.63,-0.68,3.76,0.546,6.606,NYQ,EQUITY,NGL,NGL,NGL ENERGY PARTNERS LP,NGL Energy Partners LP,1305552600,America/New_York,EDT,-14400000,3.85,4.0,4.0,4.0,4.0,3.0,hold,1,7786000,0.059,645902976,2903407104,0.929,1.199,7813624832,216.963,59.503,0.040009998,0.03728,391183136,497811008,-0.353,0.13301,0.08266,0.047280002,USD,
2,6120 South Yale Avenue,Suite 805,Tulsa,OK,74136,United States,918 481 1119,https://www.nglenergypartners.com,Oil & Gas Midstream,Energy,"NGL Energy Partners LP engages in the transportation, storage, blending, and marketing of crude oil, natural gas liquids, refined products / renewables, and water solutions. The company operates in three segments: Water Solutions, Crude Oil Logistics, and Liquids Logistics. The Water Solutions segment transports, treats, recycles, and disposes produced and flowback water generated from oil and natural gas production; aggregates and sells recovered crude oil; disposes solids, such as tank bottoms, and drilling fluid and muds, as well as performs truck and frac tank washouts; and sells produced water for reuse and recycle, and brackish non-potable water. The Crude Oil Logistics segment purchases crude oil from producers and marketers, and transports it to refineries for resale at pipeline injection stations, storage terminals, barge loading facilities, rail facilities, refineries, and other trade hubs; and provides storage, terminaling, and transportation services through pipelines. The Liquids Logistics segment supplies natural gas liquids, refined petroleum products, and biodiesel to commercial, retail, and industrial customers in the United States and Canada through its 24 terminals, third-party storage and terminal facilities, and nine common carrier pipelines, as well as through fleet of leased railcars. This segment is also involved in the marine export of butane through its facility located in Chesapeake, Virginia. NGL Energy Holdings LLC serves as the general partner of the company. The company was founded in 1940 and is headquartered in Tulsa, Oklahoma.",638,"{'maxAge': 1, 'name': 'Mr. Lawrence J. Thuillier', 'age': 51, 'title': 'Chief Accounting Officer of NGL Energy Holdings LLC', 'yearBorn': 1971, 'fiscalYear': 2023, 'totalPay': 565325, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,3.84,3.81,3.81,3.87,3.84,3.81,3.81,3.87,1604534400,0.0,1.686376,-5.6617646,422469,422469,408979,255870,255870,3.81,3.85,800,800,507918944,1.0,4.62,0.06500427,3.932,2.9097,0.0,0.0,USD,4266824192,0.00612,122561821,131927000,2225919,2275444,1690761600,1693440000,0.016900001,0.069749996,0.29451,4.64,0.0256,3.6,1.0694444,1680220800,1711843200,1688083200,-0.156,-83035000,-0.63,-0.68,3.76,0.546,6.606,NYQ,EQUITY,NGL,NGL,NGL ENERGY PARTNERS LP,NGL Energy Partners LP,1305552600,America/New_York,EDT,-14400000,3.85,4.0,4.0,4.0,4.0,3.0,hold,1,7786000,0.059,645902976,2903407104,0.929,1.199,7813624832,216.963,59.503,0.040009998,0.03728,391183136,497811008,-0.353,0.13301,0.08266,0.047280002,USD,
3,6120 South Yale Avenue,Suite 805,Tulsa,OK,74136,United States,918 481 1119,https://www.nglenergypartners.com,Oil & Gas Midstream,Energy,"NGL Energy Partners LP engages in the transportation, storage, blending, and marketing of crude oil, natural gas liquids, refined products / renewables, and water solutions. The company operates in three segments: Water Solutions, Crude Oil Logistics, and Liquids Logistics. The Water Solutions segment transports, treats, recycles, and disposes produced and flowback water generated from oil and natural gas production; aggregates and sells recovered crude oil; disposes solids, such as tank bottoms, and drilling fluid and muds, as well as performs truck and frac tank washouts; and sells produced water for reuse and recycle, and brackish non-potable water. The Crude Oil Logistics segment purchases crude oil from producers and marketers, and transports it to refineries for resale at pipeline injection stations, storage terminals, barge loading facilities, rail facilities, refineries, and other trade hubs; and provides storage, terminaling, and transportation services through pipelines. The Liquids Logistics segment supplies natural gas liquids, refined petroleum products, and biodiesel to commercial, retail, and industrial customers in the United States and Canada through its 24 terminals, third-party storage and terminal facilities, and nine common carrier pipelines, as well as through fleet of leased railcars. This segment is also involved in the marine export of butane through its facility located in Chesapeake, Virginia. NGL Energy Holdings LLC serves as the general partner of the company. The company was founded in 1940 and is headquartered in Tulsa, Oklahoma.",638,"{'maxAge': 1, 'name': 'Mr. Kurston P. McMurray', 'age': 50, 'title': 'Exec. VP, Gen. Counsel & Corp. Sec. of NGL Energy Holdings LLC', 'yearBorn': 1972, 'fiscalYear': 2023, 'totalPay': 1026802, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,3.84,3.81,3.81,3.87,3.84,3.81,3.81,3.87,1604534400,0.0,1.686376,-5.6617646,422469,422469,408979,255870,255870,3.81,3.85,800,800,507918944,1.0,4.62,0.06500427,3.932,2.9097,0.0,0.0,USD,4266824192,0.00612,122561821,131927000,2225919,2275444,1690761600,1693440000,0.016900001,0.069749996,0.29451,4.64,0.0256,3.6,1.0694444,1680220800,1711843200,1688083200,-0.156,-83035000,-0.63,-0.68,3.76,0.546,6.606,NYQ,EQUITY,NGL,NGL,NGL ENERGY PARTNERS LP,NGL Energy Partners LP,1305552600,America/New_York,EDT,-14400000,3.85,4.0,4.0,4.0,4.0,3.0,hold,1,7786000,0.059,645902976,2903407104,0.929,1.199,7813624832,216.963,59.503,0.040009998,0.03728,391183136,497811008,-0.353,0.13301,0.08266,0.047280002,USD,
4,6120 South Yale Avenue,Suite 805,Tulsa,OK,74136,United States,918 481 1119,https://www.nglenergypartners.com,Oil & Gas Midstream,Energy,"NGL Energy Partners LP engages in the transportation, storage, blending, and marketing of crude oil, natural gas liquids, refined products / renewables, and water solutions. The company operates in three segments: Water Solutions, Crude Oil Logistics, and Liquids Logistics. The Water Solutions segment transports, treats, recycles, and disposes produced and flowback water generated from oil and natural gas production; aggregates and sells recovered crude oil; disposes solids, such as tank bottoms, and drilling fluid and muds, as well as performs truck and frac tank washouts; and sells produced water for reuse and recycle, and brackish non-potable water. The Crude Oil Logistics segment purchases crude oil from producers and marketers, and transports it to refineries for resale at pipeline injection stations, storage terminals, barge loading facilities, rail facilities, refineries, and other trade hubs; and provides storage, terminaling, and transportation services through pipelines. The Liquids Logistics segment supplies natural gas liquids, refined petroleum products, and biodiesel to commercial, retail, and industrial customers in the United States and Canada through its 24 terminals, third-party storage and terminal facilities, and nine common carrier pipelines, as well as through fleet of leased railcars. This segment is also involved in the marine export of butane through its facility located in Chesapeake, Virginia. NGL Energy Holdings LLC serves as the general partner of the company. The company was founded in 1940 and is headquartered in Tulsa, Oklahoma.",638,"{'maxAge': 1, 'name': 'Ms. Jennifer  Kingham', 'title': 'Sr. VP & Chief Information Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,3.84,3.81,3.81,3.87,3.84,3.81,3.81,3.87,1604534400,0.0,1.686376,-5.6617646,422469,422469,408979,255870,255870,3.81,3.85,800,800,507918944,1.0,4.62,0.06500427,3.932,2.9097,0.0,0.0,USD,4266824192,0.00612,122561821,131927000,2225919,2275444,1690761600,1693440000,0.016900001,0.069749996,0.29451,4.64,0.0256,3.6,1.0694444,1680220800,1711843200,1688083200,-0.156,-83035000,-0.63,-0.68,3.76,0.546,6.606,NYQ,EQUITY,NGL,NGL,NGL ENERGY PARTNERS LP,NGL Energy Partners LP,1305552600,America/New_York,EDT,-14400000,3.85,4.0,4.0,4.0,4.0,3.0,hold,1,7786000,0.059,645902976,2903407104,0.929,1.199,7813624832,216.963,59.503,0.040009998,0.03728,391183136,497811008,-0.353,0.13301,0.08266,0.047280002,USD,
5,6120 South Yale Avenue,Suite 805,Tulsa,OK,74136,United States,918 481 1119,https://www.nglenergypartners.com,Oil & Gas Midstream,Energy,"NGL Energy Partners LP engages in the transportation, storage, blending, and marketing of crude oil, natural gas liquids, refined products / renewables, and water solutions. The company operates in three segments: Water Solutions, Crude Oil Logistics, and Liquids Logistics. The Water Solutions segment transports, treats, recycles, and disposes produced and flowback water generated from oil and natural gas production; aggregates and sells recovered crude oil; disposes solids, such as tank bottoms, and drilling fluid and muds, as well as performs truck and frac tank washouts; and sells produced water for reuse and recycle, and brackish non-potable water. The Crude Oil Logistics segment purchases crude oil from producers and marketers, and transports it to refineries for resale at pipeline injection stations, storage terminals, barge loading facilities, rail facilities, refineries, and other trade hubs; and provides storage, terminaling, and transportation services through pipelines. The Liquids Logistics segment supplies natural gas liquids, refined petroleum products, and biodiesel to commercial, retail, and industrial customers in the United States and Canada through its 24 terminals, third-party storage and terminal facilities, and nine common carrier pipelines, as well as through fleet of leased railcars. This segment is also involved in the marine export of butane through its facility located in Chesapeake, Virginia. NGL Energy Holdings LLC serves as the general partner of the company. The company was founded in 1940 and is headquartered in Tulsa, Oklahoma.",638,"{'maxAge': 1, 'name': 'Mr. Brian  Cannon', 'age': 45, 'title': 'Sr. VP of Marketing (Refined Products) - NGL Energy Holdings LLC', 'yearBorn': 1977, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,3.84,3.81,3.81,3.87,3.84,3.81,3.81,3.87,1604534400,0.0,1.686376,-5.6617646,422469,422469,408979,255870,255870,3.81,3.85,800,800,507918944,1.0,4.62,0.06500427,3.932,2.9097,0.0,0.0,USD,4266824192,0.00612,122561821,131927000,2225919,2275444,1690761600,1693440000,0.016900001,0.069749996,0.29451,4.64,0.0256,3.6,1.0694444,1680220800,1711843200,1688083200,-0.156,-83035000,-0.63,-0.68,3.76,0.546,6.606,NYQ,EQUITY,NGL,NGL,NGL ENERGY PARTNERS LP,NGL Energy Partners LP,1305552600,America/New_York,EDT,-14400000,3.85,4.0,4.0,4.0,4.0,3.0,hold,1,7786000,0.059,645902976,2903407104,0.929,1.199,7813624832,216.963,59.503,0.040009998,0.03728,391183136,497811008,-0.353,0.13301,0.08266,0.047280002,USD,
6,6120 South Yale Avenue,Suite 805,Tulsa,OK,74136,United States,918 481 1119,https://www.nglenergypartners.com,Oil & Gas Midstream,Energy,"NGL Energy Partners LP engages in the transportation, storage, blending, and marketing of crude oil, natural gas liquids, refined products / renewables, and water solutions. The company operates in three segments: Water Solutions, Crude Oil Logistics, and Liquids Logistics. The Water Solutions segment transports, treats, recycles, and disposes produced and flowback water generated from oil and natural gas production; aggregates and sells recovered crude oil; disposes solids, such as tank bottoms, and drilling fluid and muds, as well as performs truck and frac tank washouts; and sells produced water for reuse and recycle, and brackish non-potable water. The Crude Oil Logistics segment purchases crude oil from producers and marketers, and transports it to refineries for resale at pipeline injection stations, storage terminals, barge loading facilities, rail facilities, refineries, and other trade hubs; and provides storage, terminaling, and transportation services through pipelines. The Liquids Logistics segment supplies natural gas liquids, refined petroleum products, and biodiesel to commercial, retail, and industrial customers in the United States and Canada through its 24 terminals, third-party storage and terminal facilities, and nine common carrier pipelines, as well as through fleet of leased railcars. This segment is also involved in the marine export of butane through its facility located in Chesapeake, Virginia. NGL Energy Holdings LLC serves as the general partner of the company. The company was founded in 1940 and is headquartered in Tulsa, Oklahoma.",638,"{'maxAge': 1, 'name': 'Mr. Vincent J. Osterman', 'age': 65, 'title': 'Pres of Eastern Retail Operations', 'yearBorn': 1957, 'fiscalYear': 2019, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,3.84,3.81,3.81,3.87,3.84,3.81,3.81,3.87,1604534400,0.0,1.686376,-5.6617646,422469,422469,408979,255870,255870,3.81,3.85,800,800,507918944,1.0,4.62,0.06500427,3.932,2.9097,0.0,0.0,USD,4266824192,0.00612,122561821,131927000,2225919,2275444,1690761600,1693440000,0.016900001,0.069749996,0.29451,4.64,0.0256,3.6,1.0694444,1680220800,1711843200,1688083200,-0.156,-83035000,-0.63,-0.68,3.76,0.546,6.606,NYQ,EQUITY,NGL,NGL,NGL ENERGY PARTNERS LP,NGL Energy Partners LP,1305552600,America/New_York,EDT,-14400000,3.85,4.0,4.0,4.0,4.0,3.0,hold,1,7786000,0.059,645902976,2903407104,0.929,1.199,7813624832,216.963,59.503,0.040009998,0.03728,391183136,497811008,-0.353,0.13301,0.08266,0.047280002,USD,
7,6120 South Yale Avenue,Suite 805,Tulsa,OK,74136,United States,918 481 1119,https://www.nglenergypartners.com,Oil & Gas Midstream,Energy,"NGL Energy Partners LP engages in the transportation, storage, blending, and marketing of crude oil, natural gas liquids, refined products / renewables, and water solutions. The company operates in three segments: Water Solutions, Crude Oil Logistics, and Liquids Logistics. The Water Solutions segment transports, treats, recycles, and disposes produced and flowback water generated from oil and natural gas production; aggregates and sells recovered crude oil; disposes solids, such as tank bottoms, and drilling fluid and muds, as well as performs truck and frac tank washouts; and sells produced water for reuse and recycle, and brackish non-potable water. The Crude Oil Logistics segment purchases crude oil from producers and marketers, and transports it to refineries for resale at pipeline injection stations, storage terminals, barge loading facilities, rail facilities, refineries, and other trade hubs; and provides storage, terminaling, and transportation services through pipelines. The Liquids Logistics segment supplies natural gas liquids, refined petroleum products, and biodiesel to commercial, retail, and industrial customers in the United States and Canada through its 24 terminals, third-party storage and terminal facilities, and nine common carrier pipelines, as well as through fleet of leased railcars. This segment is also involved in the marine export of butane through its facility located in Chesapeake, Virginia. NGL Energy Holdings LLC serves as the general partner of the company. The company was founded in 1940 and is headquartered in Tulsa, Oklahoma.",638,"{'maxAge': 1, 'name': 'Mr. James F. Winter', 'title': 'Sr. VP of NGL Water Solutions - NGL Energy Holdings LLC', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,3.84,3.81,3.81,3.87,3.84,3.81,3.81,3.87,1604534400,0.0,1.686376,-5.6617646,422469,422469,408979,255870,255870,3.81,3.85,800,800,507918944,1.0,4.62,0.06500427,3.932,2.9097,0.0,0.0,USD,4266824192,0.00612,122561821,131927000,2225919,2275444,1690761600,1693440000,0.016900001,0.069749996,0.29451,4.64,0.0256,3.6,1.0694444,1680220800,1711843200,1688083200,-0.156,-83035000,-0.63,-0.68,3.76,0.546,6.606,NYQ,EQUITY,NGL,NGL,NGL ENERGY PARTNERS LP,NGL Energy Partners LP,1305552600,America/New_York,EDT,-14400000,3.85,4.0,4.0,4.0,4.0,3.0,hold,1,7786000,0.059,645902976,2903407104,0.929,1.199,7813624832,216.963,59.503,0.040009998,0.03728,391183136,497811008,-0.353,0.13301,0.08266,0.047280002,USD,
8,6120 South Yale Avenue,Suite 805,Tulsa,OK,74136,United States,918 481 1119,https://www.nglenergypartners.com,Oil & Gas Midstream,Energy,"NGL Energy Partners LP engages in the transportation, storage, blending, and marketing of crude oil, natural gas liquids, refined products / renewables, and water solutions. The company operates in three segments: Water Solutions, Crude Oil Logistics, and Liquids Logistics. The Water Solutions segment transports, treats, recycles, and disposes produced and flowback water generated from oil and natural gas production; aggregates and sells recovered crude oil; disposes solids, such as tank bottoms, and drilling fluid and muds, as well as performs truck and frac tank washouts; and sells produced water for reuse and recycle, and brackish non-potable water. The Crude Oil Logistics segment purchases crude oil from producers and marketers, and transports it to refineries for resale at pipeline injection stations, storage terminals, barge loading facilities, rail facilities, refineries, and other trade hubs; and provides storage, terminaling, and transportation services through pipelines. The Liquids Logistics segment supplies natural gas liquids, refined petroleum products, and biodiesel to commercial, retail, and industrial customers in the United States and Canada through its 24 terminals, third-party storage and terminal facilities, and nine common carrier pipelines, as well as through fleet of leased railcars. This segment is also involved in the marine export of butane through its facility located in Chesapeake, Virginia. NGL Energy Holdings LLC serves as the general partner of the company. The company was founded in 1940 and is headquartered in Tulsa, Oklahoma.",638,"{'maxAge': 1, 'name': 'Mr. Don  Robinson', 'title': 'Exec. VP of Crude Oil Logistics', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,3.84,3.81,3.81,3.87,3.84,3.81,3.81,3.87,1604534400,0.0,1.686376,-5.6617646,422469,422469,408979,255870,255870,3.81,3.85,800,800,507918944,1.0,4.62,0.06500427,3.932,2.9097,0.0,0.0,USD,4266824192,0.00612,122561821,131927000,2225919,2275444,1690761600,1693440000,0.016900001,0.069749996,0.29451,4.64,0.0256,3.6,1.0694444,1680220800,1711843200,1688083200,-0.156,-83035000,-0.63,-0.68,3.76,0.546,6.606,NYQ,EQUITY,NGL,NGL,NGL ENERGY PARTNERS LP,NGL Energy Partners LP,1305552600,America/New_York,EDT,-14400000,3.85,4.0,4.0,4.0,4.0,3.0,hold,1,7786000,0.059,645902976,2903407104,0.929,1.199,7813624832,216.963,59.503,0.040009998,0.03728,391183136,497811008,-0.353,0.13301,0.08266,0.047280002,USD,
9,6120 South Yale Avenue,Suite 805,Tulsa,OK,74136,United States,918 481 1119,https://www.nglenergypartners.com,Oil & Gas Midstream,Energy,"NGL Energy Partners LP engages in the transportation, storage, blending, and marketing of crude oil, natural gas liquids, refined products / renewables, and water solutions. The company operates in three segments: Water Solutions, Crude Oil Logistics, and Liquids Logistics. The Water Solutions segment transports, treats, recycles, and disposes produced and flowback water generated from oil and natural gas production; aggregates and sells recovered crude oil; disposes solids, such as tank bottoms, and drilling fluid and muds, as well as performs truck and frac tank washouts; and sells produced water for reuse and recycle, and brackish non-potable water. The Crude Oil Logistics segment purchases crude oil from producers and marketers, and transports it to refineries for resale at pipeline injection stations, storage terminals, barge loading facilities, rail facilities, refineries, and other trade hubs; and provides storage, terminaling, and transportation services through pipelines. The Liquids Logistics segment supplies natural gas liquids, refined petroleum products, and biodiesel to commercial, retail, and industrial customers in the United States and Canada through its 24 terminals, third-party storage and terminal facilities, and nine common carrier pipelines, as well as through fleet of leased railcars. This segment is also involved in the marine export of butane through its facility located in Chesapeake, Virginia. NGL Energy Holdings LLC serves as the general partner of the company. The company was founded in 1940 and is headquartered in Tulsa, Oklahoma.",638,"{'maxAge': 1, 'name': 'Mr. Douglas W. White', 'title': 'Exec. VP of NGL Water Solutions - NGL Energy Holdings LLC', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,3.84,3.81,3.81,3.87,3.84,3.81,3.81,3.87,1604534400,0.0,1.686376,-5.6617646,422469,422469,408979,255870,255870,3.81,3.85,800,800,507918944,1.0,4.62,0.06500427,3.932,2.9097,0.0,0.0,USD,4266824192,0.00612,122561821,131927000,2225919,2275444,1690761600,1693440000,0.016900001,0.069749996,0.29451,4.64,0.0256,3.6,1.0694444,1680220800,1711843200,1688083200,-0.156,-83035000,-0.63,-0.68,3.76,0.546,6.606,NYQ,EQUITY,NGL,NGL,NGL ENERGY PARTNERS LP,NGL Energy Partners LP,1305552600,America/New_York,EDT,-14400000,3.85,4.0,4.0,4.0,4.0,3.0,hold,1,7786000,0.059,645902976,2903407104,0.929,1.199,7813624832,216.963,59.503,0.040009998,0.03728,391183136,497811008,-0.353,0.13301,0.08266,0.047280002,USD,
