,address1,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,42-46 Avenue Aristide Briand,Bagneux,92220,France,33 1 45 36 30 00,33 1 45 36 30 30,https://www.quadient.com,Software—Application,Technology,"Quadient S.A. provides intelligent communication automation, mail-related, and parcel locker solutions for customers through digital and physical channels in North America, France, Benelux, the United Kingdom, Ireland and Germany, Austria, Italy, Switzerland, and internationally. It provides Quadient Inspire, a software solution that facilitates the creation and management of transactional and marketing communication documents, as well as manages omnichannel delivery for the communications; Quadient Impress, a cloud-based software that facilitates outbound document automation; YayPay, account receivable process automation solutions; and Beanworks, an accounts payable automation software solution. The company also offers Quadient Inspire Flex, which enables organizations to create and deliver personalized, compliant customer communications across various channels from one centralized platform; Quadient DigitalBOOST, a suite of pre-packaged solutions that digitalizes customer processes and contracts; and Quadient Inspire Journey, a cloud-based journey mapping solution that integrates customer journey mapping, data, and communications technologies. In addition, it supplies software, equipment, and services for managing incoming and outgoing mails; and provides hardware and software platform that facilitates invoicing and customer communications, multi-channel mail processing, last-mile parcel delivery, and the consolidation of their return. Further, the company operates a pick-up, drop-off solution that offers businesses and people who need to manage their deliveries and returns. It serves financial services, healthcare, higher education, insurance, and retail industries, as well as service providers industries. The company was formerly known as Neopost S.A. and changed its name to Quadient S.A. in September 2019. Quadient S.A. was founded in 1924 and is headquartered in Bagneux, France.",4733,"{'maxAge': 1, 'name': 'Mr. Geoffrey  Godet', 'age': 44, 'title': 'CEO & Director', 'yearBorn': 1978, 'fiscalYear': 2022, 'totalPay': 1179625, 'exercisedValue': 0, 'unexercisedValue': 0}",3,2,2,1,1,1693526400,1672444800,86400,2,19.07,19.07,19.07,19.07,19.07,19.07,19.07,19.07,0.66,0.0346,1691020800,0.3051,1.024024,9.729591,65,65,0,0,0,0.0,0.0,0,0,730689920,13.19,19.07,0.67581385,19.07,17.5808,0.6,0.031463034,USD,1386320896,0.0123000005,27453057,34384800,0.01051,0.64966005,31.187,0.6114727,1675123200,1706659200,1675123200,9900000,1.96,1.282,7.019,PNK,EQUITY,NPACF,NPACF,QUADIENT,Quadient S.A.,1346160600,America/New_York,EDT,-14400000,19.07,none,172200000,5.006,197500000,893800000,1.076,1.291,1081200000,82.644,31.868,0.032560002,0.012949999,790000000,76137504,158100000,0.071,0.73095,0.18267,0.13716,EUR,
1,42-46 Avenue Aristide Briand,Bagneux,92220,France,33 1 45 36 30 00,33 1 45 36 30 30,https://www.quadient.com,Software—Application,Technology,"Quadient S.A. provides intelligent communication automation, mail-related, and parcel locker solutions for customers through digital and physical channels in North America, France, Benelux, the United Kingdom, Ireland and Germany, Austria, Italy, Switzerland, and internationally. It provides Quadient Inspire, a software solution that facilitates the creation and management of transactional and marketing communication documents, as well as manages omnichannel delivery for the communications; Quadient Impress, a cloud-based software that facilitates outbound document automation; YayPay, account receivable process automation solutions; and Beanworks, an accounts payable automation software solution. The company also offers Quadient Inspire Flex, which enables organizations to create and deliver personalized, compliant customer communications across various channels from one centralized platform; Quadient DigitalBOOST, a suite of pre-packaged solutions that digitalizes customer processes and contracts; and Quadient Inspire Journey, a cloud-based journey mapping solution that integrates customer journey mapping, data, and communications technologies. In addition, it supplies software, equipment, and services for managing incoming and outgoing mails; and provides hardware and software platform that facilitates invoicing and customer communications, multi-channel mail processing, last-mile parcel delivery, and the consolidation of their return. Further, the company operates a pick-up, drop-off solution that offers businesses and people who need to manage their deliveries and returns. It serves financial services, healthcare, higher education, insurance, and retail industries, as well as service providers industries. The company was formerly known as Neopost S.A. and changed its name to Quadient S.A. in September 2019. Quadient S.A. was founded in 1924 and is headquartered in Bagneux, France.",4733,"{'maxAge': 1, 'name': 'Mr. Laurent  Du Passage', 'title': 'Chief Financial Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",3,2,2,1,1,1693526400,1672444800,86400,2,19.07,19.07,19.07,19.07,19.07,19.07,19.07,19.07,0.66,0.0346,1691020800,0.3051,1.024024,9.729591,65,65,0,0,0,0.0,0.0,0,0,730689920,13.19,19.07,0.67581385,19.07,17.5808,0.6,0.031463034,USD,1386320896,0.0123000005,27453057,34384800,0.01051,0.64966005,31.187,0.6114727,1675123200,1706659200,1675123200,9900000,1.96,1.282,7.019,PNK,EQUITY,NPACF,NPACF,QUADIENT,Quadient S.A.,1346160600,America/New_York,EDT,-14400000,19.07,none,172200000,5.006,197500000,893800000,1.076,1.291,1081200000,82.644,31.868,0.032560002,0.012949999,790000000,76137504,158100000,0.071,0.73095,0.18267,0.13716,EUR,
2,42-46 Avenue Aristide Briand,Bagneux,92220,France,33 1 45 36 30 00,33 1 45 36 30 30,https://www.quadient.com,Software—Application,Technology,"Quadient S.A. provides intelligent communication automation, mail-related, and parcel locker solutions for customers through digital and physical channels in North America, France, Benelux, the United Kingdom, Ireland and Germany, Austria, Italy, Switzerland, and internationally. It provides Quadient Inspire, a software solution that facilitates the creation and management of transactional and marketing communication documents, as well as manages omnichannel delivery for the communications; Quadient Impress, a cloud-based software that facilitates outbound document automation; YayPay, account receivable process automation solutions; and Beanworks, an accounts payable automation software solution. The company also offers Quadient Inspire Flex, which enables organizations to create and deliver personalized, compliant customer communications across various channels from one centralized platform; Quadient DigitalBOOST, a suite of pre-packaged solutions that digitalizes customer processes and contracts; and Quadient Inspire Journey, a cloud-based journey mapping solution that integrates customer journey mapping, data, and communications technologies. In addition, it supplies software, equipment, and services for managing incoming and outgoing mails; and provides hardware and software platform that facilitates invoicing and customer communications, multi-channel mail processing, last-mile parcel delivery, and the consolidation of their return. Further, the company operates a pick-up, drop-off solution that offers businesses and people who need to manage their deliveries and returns. It serves financial services, healthcare, higher education, insurance, and retail industries, as well as service providers industries. The company was formerly known as Neopost S.A. and changed its name to Quadient S.A. in September 2019. Quadient S.A. was founded in 1924 and is headquartered in Bagneux, France.",4733,"{'maxAge': 1, 'name': 'Catherine  Hubert-Dorel', 'title': 'VP of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",3,2,2,1,1,1693526400,1672444800,86400,2,19.07,19.07,19.07,19.07,19.07,19.07,19.07,19.07,0.66,0.0346,1691020800,0.3051,1.024024,9.729591,65,65,0,0,0,0.0,0.0,0,0,730689920,13.19,19.07,0.67581385,19.07,17.5808,0.6,0.031463034,USD,1386320896,0.0123000005,27453057,34384800,0.01051,0.64966005,31.187,0.6114727,1675123200,1706659200,1675123200,9900000,1.96,1.282,7.019,PNK,EQUITY,NPACF,NPACF,QUADIENT,Quadient S.A.,1346160600,America/New_York,EDT,-14400000,19.07,none,172200000,5.006,197500000,893800000,1.076,1.291,1081200000,82.644,31.868,0.032560002,0.012949999,790000000,76137504,158100000,0.071,0.73095,0.18267,0.13716,EUR,
3,42-46 Avenue Aristide Briand,Bagneux,92220,France,33 1 45 36 30 00,33 1 45 36 30 30,https://www.quadient.com,Software—Application,Technology,"Quadient S.A. provides intelligent communication automation, mail-related, and parcel locker solutions for customers through digital and physical channels in North America, France, Benelux, the United Kingdom, Ireland and Germany, Austria, Italy, Switzerland, and internationally. It provides Quadient Inspire, a software solution that facilitates the creation and management of transactional and marketing communication documents, as well as manages omnichannel delivery for the communications; Quadient Impress, a cloud-based software that facilitates outbound document automation; YayPay, account receivable process automation solutions; and Beanworks, an accounts payable automation software solution. The company also offers Quadient Inspire Flex, which enables organizations to create and deliver personalized, compliant customer communications across various channels from one centralized platform; Quadient DigitalBOOST, a suite of pre-packaged solutions that digitalizes customer processes and contracts; and Quadient Inspire Journey, a cloud-based journey mapping solution that integrates customer journey mapping, data, and communications technologies. In addition, it supplies software, equipment, and services for managing incoming and outgoing mails; and provides hardware and software platform that facilitates invoicing and customer communications, multi-channel mail processing, last-mile parcel delivery, and the consolidation of their return. Further, the company operates a pick-up, drop-off solution that offers businesses and people who need to manage their deliveries and returns. It serves financial services, healthcare, higher education, insurance, and retail industries, as well as service providers industries. The company was formerly known as Neopost S.A. and changed its name to Quadient S.A. in September 2019. Quadient S.A. was founded in 1924 and is headquartered in Bagneux, France.",4733,"{'maxAge': 1, 'name': 'Ms. Gaële  Le Men', 'title': 'Corp. & Financial Communication Director', 'exercisedValue': 0, 'unexercisedValue': 0}",3,2,2,1,1,1693526400,1672444800,86400,2,19.07,19.07,19.07,19.07,19.07,19.07,19.07,19.07,0.66,0.0346,1691020800,0.3051,1.024024,9.729591,65,65,0,0,0,0.0,0.0,0,0,730689920,13.19,19.07,0.67581385,19.07,17.5808,0.6,0.031463034,USD,1386320896,0.0123000005,27453057,34384800,0.01051,0.64966005,31.187,0.6114727,1675123200,1706659200,1675123200,9900000,1.96,1.282,7.019,PNK,EQUITY,NPACF,NPACF,QUADIENT,Quadient S.A.,1346160600,America/New_York,EDT,-14400000,19.07,none,172200000,5.006,197500000,893800000,1.076,1.291,1081200000,82.644,31.868,0.032560002,0.012949999,790000000,76137504,158100000,0.071,0.73095,0.18267,0.13716,EUR,
4,42-46 Avenue Aristide Briand,Bagneux,92220,France,33 1 45 36 30 00,33 1 45 36 30 30,https://www.quadient.com,Software—Application,Technology,"Quadient S.A. provides intelligent communication automation, mail-related, and parcel locker solutions for customers through digital and physical channels in North America, France, Benelux, the United Kingdom, Ireland and Germany, Austria, Italy, Switzerland, and internationally. It provides Quadient Inspire, a software solution that facilitates the creation and management of transactional and marketing communication documents, as well as manages omnichannel delivery for the communications; Quadient Impress, a cloud-based software that facilitates outbound document automation; YayPay, account receivable process automation solutions; and Beanworks, an accounts payable automation software solution. The company also offers Quadient Inspire Flex, which enables organizations to create and deliver personalized, compliant customer communications across various channels from one centralized platform; Quadient DigitalBOOST, a suite of pre-packaged solutions that digitalizes customer processes and contracts; and Quadient Inspire Journey, a cloud-based journey mapping solution that integrates customer journey mapping, data, and communications technologies. In addition, it supplies software, equipment, and services for managing incoming and outgoing mails; and provides hardware and software platform that facilitates invoicing and customer communications, multi-channel mail processing, last-mile parcel delivery, and the consolidation of their return. Further, the company operates a pick-up, drop-off solution that offers businesses and people who need to manage their deliveries and returns. It serves financial services, healthcare, higher education, insurance, and retail industries, as well as service providers industries. The company was formerly known as Neopost S.A. and changed its name to Quadient S.A. in September 2019. Quadient S.A. was founded in 1924 and is headquartered in Bagneux, France.",4733,"{'maxAge': 1, 'name': 'Mr. Tamir  Sigal', 'title': 'Chief Marketing Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",3,2,2,1,1,1693526400,1672444800,86400,2,19.07,19.07,19.07,19.07,19.07,19.07,19.07,19.07,0.66,0.0346,1691020800,0.3051,1.024024,9.729591,65,65,0,0,0,0.0,0.0,0,0,730689920,13.19,19.07,0.67581385,19.07,17.5808,0.6,0.031463034,USD,1386320896,0.0123000005,27453057,34384800,0.01051,0.64966005,31.187,0.6114727,1675123200,1706659200,1675123200,9900000,1.96,1.282,7.019,PNK,EQUITY,NPACF,NPACF,QUADIENT,Quadient S.A.,1346160600,America/New_York,EDT,-14400000,19.07,none,172200000,5.006,197500000,893800000,1.076,1.291,1081200000,82.644,31.868,0.032560002,0.012949999,790000000,76137504,158100000,0.071,0.73095,0.18267,0.13716,EUR,
5,42-46 Avenue Aristide Briand,Bagneux,92220,France,33 1 45 36 30 00,33 1 45 36 30 30,https://www.quadient.com,Software—Application,Technology,"Quadient S.A. provides intelligent communication automation, mail-related, and parcel locker solutions for customers through digital and physical channels in North America, France, Benelux, the United Kingdom, Ireland and Germany, Austria, Italy, Switzerland, and internationally. It provides Quadient Inspire, a software solution that facilitates the creation and management of transactional and marketing communication documents, as well as manages omnichannel delivery for the communications; Quadient Impress, a cloud-based software that facilitates outbound document automation; YayPay, account receivable process automation solutions; and Beanworks, an accounts payable automation software solution. The company also offers Quadient Inspire Flex, which enables organizations to create and deliver personalized, compliant customer communications across various channels from one centralized platform; Quadient DigitalBOOST, a suite of pre-packaged solutions that digitalizes customer processes and contracts; and Quadient Inspire Journey, a cloud-based journey mapping solution that integrates customer journey mapping, data, and communications technologies. In addition, it supplies software, equipment, and services for managing incoming and outgoing mails; and provides hardware and software platform that facilitates invoicing and customer communications, multi-channel mail processing, last-mile parcel delivery, and the consolidation of their return. Further, the company operates a pick-up, drop-off solution that offers businesses and people who need to manage their deliveries and returns. It serves financial services, healthcare, higher education, insurance, and retail industries, as well as service providers industries. The company was formerly known as Neopost S.A. and changed its name to Quadient S.A. in September 2019. Quadient S.A. was founded in 1924 and is headquartered in Bagneux, France.",4733,"{'maxAge': 1, 'name': 'Mr. Brandon  Batt', 'age': 38, 'title': 'Chief Transformation Officer & Acting Chief People Officer', 'yearBorn': 1984, 'exercisedValue': 0, 'unexercisedValue': 0}",3,2,2,1,1,1693526400,1672444800,86400,2,19.07,19.07,19.07,19.07,19.07,19.07,19.07,19.07,0.66,0.0346,1691020800,0.3051,1.024024,9.729591,65,65,0,0,0,0.0,0.0,0,0,730689920,13.19,19.07,0.67581385,19.07,17.5808,0.6,0.031463034,USD,1386320896,0.0123000005,27453057,34384800,0.01051,0.64966005,31.187,0.6114727,1675123200,1706659200,1675123200,9900000,1.96,1.282,7.019,PNK,EQUITY,NPACF,NPACF,QUADIENT,Quadient S.A.,1346160600,America/New_York,EDT,-14400000,19.07,none,172200000,5.006,197500000,893800000,1.076,1.291,1081200000,82.644,31.868,0.032560002,0.012949999,790000000,76137504,158100000,0.071,0.73095,0.18267,0.13716,EUR,
6,42-46 Avenue Aristide Briand,Bagneux,92220,France,33 1 45 36 30 00,33 1 45 36 30 30,https://www.quadient.com,Software—Application,Technology,"Quadient S.A. provides intelligent communication automation, mail-related, and parcel locker solutions for customers through digital and physical channels in North America, France, Benelux, the United Kingdom, Ireland and Germany, Austria, Italy, Switzerland, and internationally. It provides Quadient Inspire, a software solution that facilitates the creation and management of transactional and marketing communication documents, as well as manages omnichannel delivery for the communications; Quadient Impress, a cloud-based software that facilitates outbound document automation; YayPay, account receivable process automation solutions; and Beanworks, an accounts payable automation software solution. The company also offers Quadient Inspire Flex, which enables organizations to create and deliver personalized, compliant customer communications across various channels from one centralized platform; Quadient DigitalBOOST, a suite of pre-packaged solutions that digitalizes customer processes and contracts; and Quadient Inspire Journey, a cloud-based journey mapping solution that integrates customer journey mapping, data, and communications technologies. In addition, it supplies software, equipment, and services for managing incoming and outgoing mails; and provides hardware and software platform that facilitates invoicing and customer communications, multi-channel mail processing, last-mile parcel delivery, and the consolidation of their return. Further, the company operates a pick-up, drop-off solution that offers businesses and people who need to manage their deliveries and returns. It serves financial services, healthcare, higher education, insurance, and retail industries, as well as service providers industries. The company was formerly known as Neopost S.A. and changed its name to Quadient S.A. in September 2019. Quadient S.A. was founded in 1924 and is headquartered in Bagneux, France.",4733,"{'maxAge': 1, 'name': 'Mr. Thierry Le Jaoudour', 'title': 'Chief Technology & Supply Chain Officer of Parcel Locker Solutions', 'exercisedValue': 0, 'unexercisedValue': 0}",3,2,2,1,1,1693526400,1672444800,86400,2,19.07,19.07,19.07,19.07,19.07,19.07,19.07,19.07,0.66,0.0346,1691020800,0.3051,1.024024,9.729591,65,65,0,0,0,0.0,0.0,0,0,730689920,13.19,19.07,0.67581385,19.07,17.5808,0.6,0.031463034,USD,1386320896,0.0123000005,27453057,34384800,0.01051,0.64966005,31.187,0.6114727,1675123200,1706659200,1675123200,9900000,1.96,1.282,7.019,PNK,EQUITY,NPACF,NPACF,QUADIENT,Quadient S.A.,1346160600,America/New_York,EDT,-14400000,19.07,none,172200000,5.006,197500000,893800000,1.076,1.291,1081200000,82.644,31.868,0.032560002,0.012949999,790000000,76137504,158100000,0.071,0.73095,0.18267,0.13716,EUR,
7,42-46 Avenue Aristide Briand,Bagneux,92220,France,33 1 45 36 30 00,33 1 45 36 30 30,https://www.quadient.com,Software—Application,Technology,"Quadient S.A. provides intelligent communication automation, mail-related, and parcel locker solutions for customers through digital and physical channels in North America, France, Benelux, the United Kingdom, Ireland and Germany, Austria, Italy, Switzerland, and internationally. It provides Quadient Inspire, a software solution that facilitates the creation and management of transactional and marketing communication documents, as well as manages omnichannel delivery for the communications; Quadient Impress, a cloud-based software that facilitates outbound document automation; YayPay, account receivable process automation solutions; and Beanworks, an accounts payable automation software solution. The company also offers Quadient Inspire Flex, which enables organizations to create and deliver personalized, compliant customer communications across various channels from one centralized platform; Quadient DigitalBOOST, a suite of pre-packaged solutions that digitalizes customer processes and contracts; and Quadient Inspire Journey, a cloud-based journey mapping solution that integrates customer journey mapping, data, and communications technologies. In addition, it supplies software, equipment, and services for managing incoming and outgoing mails; and provides hardware and software platform that facilitates invoicing and customer communications, multi-channel mail processing, last-mile parcel delivery, and the consolidation of their return. Further, the company operates a pick-up, drop-off solution that offers businesses and people who need to manage their deliveries and returns. It serves financial services, healthcare, higher education, insurance, and retail industries, as well as service providers industries. The company was formerly known as Neopost S.A. and changed its name to Quadient S.A. in September 2019. Quadient S.A. was founded in 1924 and is headquartered in Bagneux, France.",4733,"{'maxAge': 1, 'name': 'Ms. Stephanie  Auchabie', 'title': 'Chief Operating Officer for France & Benelux', 'exercisedValue': 0, 'unexercisedValue': 0}",3,2,2,1,1,1693526400,1672444800,86400,2,19.07,19.07,19.07,19.07,19.07,19.07,19.07,19.07,0.66,0.0346,1691020800,0.3051,1.024024,9.729591,65,65,0,0,0,0.0,0.0,0,0,730689920,13.19,19.07,0.67581385,19.07,17.5808,0.6,0.031463034,USD,1386320896,0.0123000005,27453057,34384800,0.01051,0.64966005,31.187,0.6114727,1675123200,1706659200,1675123200,9900000,1.96,1.282,7.019,PNK,EQUITY,NPACF,NPACF,QUADIENT,Quadient S.A.,1346160600,America/New_York,EDT,-14400000,19.07,none,172200000,5.006,197500000,893800000,1.076,1.291,1081200000,82.644,31.868,0.032560002,0.012949999,790000000,76137504,158100000,0.071,0.73095,0.18267,0.13716,EUR,
8,42-46 Avenue Aristide Briand,Bagneux,92220,France,33 1 45 36 30 00,33 1 45 36 30 30,https://www.quadient.com,Software—Application,Technology,"Quadient S.A. provides intelligent communication automation, mail-related, and parcel locker solutions for customers through digital and physical channels in North America, France, Benelux, the United Kingdom, Ireland and Germany, Austria, Italy, Switzerland, and internationally. It provides Quadient Inspire, a software solution that facilitates the creation and management of transactional and marketing communication documents, as well as manages omnichannel delivery for the communications; Quadient Impress, a cloud-based software that facilitates outbound document automation; YayPay, account receivable process automation solutions; and Beanworks, an accounts payable automation software solution. The company also offers Quadient Inspire Flex, which enables organizations to create and deliver personalized, compliant customer communications across various channels from one centralized platform; Quadient DigitalBOOST, a suite of pre-packaged solutions that digitalizes customer processes and contracts; and Quadient Inspire Journey, a cloud-based journey mapping solution that integrates customer journey mapping, data, and communications technologies. In addition, it supplies software, equipment, and services for managing incoming and outgoing mails; and provides hardware and software platform that facilitates invoicing and customer communications, multi-channel mail processing, last-mile parcel delivery, and the consolidation of their return. Further, the company operates a pick-up, drop-off solution that offers businesses and people who need to manage their deliveries and returns. It serves financial services, healthcare, higher education, insurance, and retail industries, as well as service providers industries. The company was formerly known as Neopost S.A. and changed its name to Quadient S.A. in September 2019. Quadient S.A. was founded in 1924 and is headquartered in Bagneux, France.",4733,"{'maxAge': 1, 'name': 'Mr. Zbynek  Hodic', 'title': 'Chief Technology Officer of Intelligent Communication Automation', 'exercisedValue': 0, 'unexercisedValue': 0}",3,2,2,1,1,1693526400,1672444800,86400,2,19.07,19.07,19.07,19.07,19.07,19.07,19.07,19.07,0.66,0.0346,1691020800,0.3051,1.024024,9.729591,65,65,0,0,0,0.0,0.0,0,0,730689920,13.19,19.07,0.67581385,19.07,17.5808,0.6,0.031463034,USD,1386320896,0.0123000005,27453057,34384800,0.01051,0.64966005,31.187,0.6114727,1675123200,1706659200,1675123200,9900000,1.96,1.282,7.019,PNK,EQUITY,NPACF,NPACF,QUADIENT,Quadient S.A.,1346160600,America/New_York,EDT,-14400000,19.07,none,172200000,5.006,197500000,893800000,1.076,1.291,1081200000,82.644,31.868,0.032560002,0.012949999,790000000,76137504,158100000,0.071,0.73095,0.18267,0.13716,EUR,
9,42-46 Avenue Aristide Briand,Bagneux,92220,France,33 1 45 36 30 00,33 1 45 36 30 30,https://www.quadient.com,Software—Application,Technology,"Quadient S.A. provides intelligent communication automation, mail-related, and parcel locker solutions for customers through digital and physical channels in North America, France, Benelux, the United Kingdom, Ireland and Germany, Austria, Italy, Switzerland, and internationally. It provides Quadient Inspire, a software solution that facilitates the creation and management of transactional and marketing communication documents, as well as manages omnichannel delivery for the communications; Quadient Impress, a cloud-based software that facilitates outbound document automation; YayPay, account receivable process automation solutions; and Beanworks, an accounts payable automation software solution. The company also offers Quadient Inspire Flex, which enables organizations to create and deliver personalized, compliant customer communications across various channels from one centralized platform; Quadient DigitalBOOST, a suite of pre-packaged solutions that digitalizes customer processes and contracts; and Quadient Inspire Journey, a cloud-based journey mapping solution that integrates customer journey mapping, data, and communications technologies. In addition, it supplies software, equipment, and services for managing incoming and outgoing mails; and provides hardware and software platform that facilitates invoicing and customer communications, multi-channel mail processing, last-mile parcel delivery, and the consolidation of their return. Further, the company operates a pick-up, drop-off solution that offers businesses and people who need to manage their deliveries and returns. It serves financial services, healthcare, higher education, insurance, and retail industries, as well as service providers industries. The company was formerly known as Neopost S.A. and changed its name to Quadient S.A. in September 2019. Quadient S.A. was founded in 1924 and is headquartered in Bagneux, France.",4733,"{'maxAge': 1, 'name': 'Mr. Steve  Rakoczy', 'title': 'Chief Digital Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",3,2,2,1,1,1693526400,1672444800,86400,2,19.07,19.07,19.07,19.07,19.07,19.07,19.07,19.07,0.66,0.0346,1691020800,0.3051,1.024024,9.729591,65,65,0,0,0,0.0,0.0,0,0,730689920,13.19,19.07,0.67581385,19.07,17.5808,0.6,0.031463034,USD,1386320896,0.0123000005,27453057,34384800,0.01051,0.64966005,31.187,0.6114727,1675123200,1706659200,1675123200,9900000,1.96,1.282,7.019,PNK,EQUITY,NPACF,NPACF,QUADIENT,Quadient S.A.,1346160600,America/New_York,EDT,-14400000,19.07,none,172200000,5.006,197500000,893800000,1.076,1.291,1081200000,82.644,31.868,0.032560002,0.012949999,790000000,76137504,158100000,0.071,0.73095,0.18267,0.13716,EUR,
