,address1,city,state,zip,country,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,1272 Doris Road,Auburn Hills,MI,48326-2617,United States,https://www.nexteer.com,Auto Parts,Consumer Cyclical,"Nexteer Automotive Group Limited, a motion control technology company, develop, manufacture, and supply advanced steering and driveline systems to original equipment manufacturer worldwide. It offers electric power steering (EPS) products, which includes column assist electric power steering, intermediate shafts, EPS rack and pinion gears, single and dual pinion assist, and rack-assisted EPS, modular power pack, steer-by-wire, EPS remanufacturing, and automated steering actuator, as well as availability, output, and modular EPS. The company also provides steering column technologies, such as power tilt, power and manual rake and telescope, one-touch adjustable, non-adjustable, and stowable steering columns, intermediate shafts, and transmission shifter, as well as safety and crashworthiness, and electronic, modules and sub-assemblies; and driveline products including half shaft technology and solutions. In addition, it offers hydraulic power steering products, which includes magnetic torque overlay, smart flow, power steering pump and reservoirs, and rack and pinion, and recirculation ball steering gears, as well as aftermarket solution; and software solutions including software for advance steering, road surface detection, vehicle health management, brake-to-steer, and safety and cybersecurity. Further, the company provides megatrend alignment solutions, which includes electrification, software and connectivity, shared mobility, and ADAS & automated driving. The company was founded in 1906 and is headquartered in Auburn Hills, Michigan. Nexteer Automotive Group Limited is a subsidiary of Nexteer Automotive (Hong Kong) Holdings Limited.",13000,"{'maxAge': 1, 'name': 'Mr. Zili  Lei', 'age': 50, 'title': 'CEO & Chairman', 'yearBorn': 1972, 'fiscalYear': 2022, 'totalPay': 343908, 'exercisedValue': 0, 'unexercisedValue': 180118}",2,7,10,7,10,1693526400,1672444800,86400,4,0.67345,0.5982,0.5982,0.5982,0.67345,0.5982,0.5982,0.5982,0.0,0.0078,1687478400,0.1229,2.35,1.486111,14.955001,800,800,203,80,80,0.0,0.0,0,0,1501374336,0.473,0.805,0.36173633,0.66204,0.61974,0.005,0.007424456,USD,1361687936,0.02485,879818906,2509819904,0.64945,0.15055001,0.776,0.7708763,1672444800,1703980800,1688083200,103144000,0.04,0.328,5.363,PNK,EQUITY,NTXVF,NTXVF,NEXTEER AUTOMOTIVE GROUP LIMITE,Nexteer Automotive Group Limited,1420727400,America/New_York,EDT,-14400000,0.5982,2.27,1.4,1.9,1.91,2.1,buy,16,290087008,0.116,253883008,105475000,1.185,1.465,4150466048,5.292,1.654,0.022939999,0.056999996,367151000,21125250,402448992,0.174,0.09834,0.06117,0.029059999,USD,
1,1272 Doris Road,Auburn Hills,MI,48326-2617,United States,https://www.nexteer.com,Auto Parts,Consumer Cyclical,"Nexteer Automotive Group Limited, a motion control technology company, develop, manufacture, and supply advanced steering and driveline systems to original equipment manufacturer worldwide. It offers electric power steering (EPS) products, which includes column assist electric power steering, intermediate shafts, EPS rack and pinion gears, single and dual pinion assist, and rack-assisted EPS, modular power pack, steer-by-wire, EPS remanufacturing, and automated steering actuator, as well as availability, output, and modular EPS. The company also provides steering column technologies, such as power tilt, power and manual rake and telescope, one-touch adjustable, non-adjustable, and stowable steering columns, intermediate shafts, and transmission shifter, as well as safety and crashworthiness, and electronic, modules and sub-assemblies; and driveline products including half shaft technology and solutions. In addition, it offers hydraulic power steering products, which includes magnetic torque overlay, smart flow, power steering pump and reservoirs, and rack and pinion, and recirculation ball steering gears, as well as aftermarket solution; and software solutions including software for advance steering, road surface detection, vehicle health management, brake-to-steer, and safety and cybersecurity. Further, the company provides megatrend alignment solutions, which includes electrification, software and connectivity, shared mobility, and ADAS & automated driving. The company was founded in 1906 and is headquartered in Auburn Hills, Michigan. Nexteer Automotive Group Limited is a subsidiary of Nexteer Automotive (Hong Kong) Holdings Limited.",13000,"{'maxAge': 1, 'name': 'Mr. Robin Zane  Milavec', 'age': 54, 'title': 'Pres, CTO, Chief Strategy Officer & Exec. Director', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 1310000, 'exercisedValue': 0, 'unexercisedValue': 284398}",2,7,10,7,10,1693526400,1672444800,86400,4,0.67345,0.5982,0.5982,0.5982,0.67345,0.5982,0.5982,0.5982,0.0,0.0078,1687478400,0.1229,2.35,1.486111,14.955001,800,800,203,80,80,0.0,0.0,0,0,1501374336,0.473,0.805,0.36173633,0.66204,0.61974,0.005,0.007424456,USD,1361687936,0.02485,879818906,2509819904,0.64945,0.15055001,0.776,0.7708763,1672444800,1703980800,1688083200,103144000,0.04,0.328,5.363,PNK,EQUITY,NTXVF,NTXVF,NEXTEER AUTOMOTIVE GROUP LIMITE,Nexteer Automotive Group Limited,1420727400,America/New_York,EDT,-14400000,0.5982,2.27,1.4,1.9,1.91,2.1,buy,16,290087008,0.116,253883008,105475000,1.185,1.465,4150466048,5.292,1.654,0.022939999,0.056999996,367151000,21125250,402448992,0.174,0.09834,0.06117,0.029059999,USD,
2,1272 Doris Road,Auburn Hills,MI,48326-2617,United States,https://www.nexteer.com,Auto Parts,Consumer Cyclical,"Nexteer Automotive Group Limited, a motion control technology company, develop, manufacture, and supply advanced steering and driveline systems to original equipment manufacturer worldwide. It offers electric power steering (EPS) products, which includes column assist electric power steering, intermediate shafts, EPS rack and pinion gears, single and dual pinion assist, and rack-assisted EPS, modular power pack, steer-by-wire, EPS remanufacturing, and automated steering actuator, as well as availability, output, and modular EPS. The company also provides steering column technologies, such as power tilt, power and manual rake and telescope, one-touch adjustable, non-adjustable, and stowable steering columns, intermediate shafts, and transmission shifter, as well as safety and crashworthiness, and electronic, modules and sub-assemblies; and driveline products including half shaft technology and solutions. In addition, it offers hydraulic power steering products, which includes magnetic torque overlay, smart flow, power steering pump and reservoirs, and rack and pinion, and recirculation ball steering gears, as well as aftermarket solution; and software solutions including software for advance steering, road surface detection, vehicle health management, brake-to-steer, and safety and cybersecurity. Further, the company provides megatrend alignment solutions, which includes electrification, software and connectivity, shared mobility, and ADAS & automated driving. The company was founded in 1906 and is headquartered in Auburn Hills, Michigan. Nexteer Automotive Group Limited is a subsidiary of Nexteer Automotive (Hong Kong) Holdings Limited.",13000,"{'maxAge': 1, 'name': 'Mr. Michael John Bierlein', 'age': 45, 'title': 'Sr. VP & Global CFO', 'yearBorn': 1977, 'exercisedValue': 0, 'unexercisedValue': 0}",2,7,10,7,10,1693526400,1672444800,86400,4,0.67345,0.5982,0.5982,0.5982,0.67345,0.5982,0.5982,0.5982,0.0,0.0078,1687478400,0.1229,2.35,1.486111,14.955001,800,800,203,80,80,0.0,0.0,0,0,1501374336,0.473,0.805,0.36173633,0.66204,0.61974,0.005,0.007424456,USD,1361687936,0.02485,879818906,2509819904,0.64945,0.15055001,0.776,0.7708763,1672444800,1703980800,1688083200,103144000,0.04,0.328,5.363,PNK,EQUITY,NTXVF,NTXVF,NEXTEER AUTOMOTIVE GROUP LIMITE,Nexteer Automotive Group Limited,1420727400,America/New_York,EDT,-14400000,0.5982,2.27,1.4,1.9,1.91,2.1,buy,16,290087008,0.116,253883008,105475000,1.185,1.465,4150466048,5.292,1.654,0.022939999,0.056999996,367151000,21125250,402448992,0.174,0.09834,0.06117,0.029059999,USD,
3,1272 Doris Road,Auburn Hills,MI,48326-2617,United States,https://www.nexteer.com,Auto Parts,Consumer Cyclical,"Nexteer Automotive Group Limited, a motion control technology company, develop, manufacture, and supply advanced steering and driveline systems to original equipment manufacturer worldwide. It offers electric power steering (EPS) products, which includes column assist electric power steering, intermediate shafts, EPS rack and pinion gears, single and dual pinion assist, and rack-assisted EPS, modular power pack, steer-by-wire, EPS remanufacturing, and automated steering actuator, as well as availability, output, and modular EPS. The company also provides steering column technologies, such as power tilt, power and manual rake and telescope, one-touch adjustable, non-adjustable, and stowable steering columns, intermediate shafts, and transmission shifter, as well as safety and crashworthiness, and electronic, modules and sub-assemblies; and driveline products including half shaft technology and solutions. In addition, it offers hydraulic power steering products, which includes magnetic torque overlay, smart flow, power steering pump and reservoirs, and rack and pinion, and recirculation ball steering gears, as well as aftermarket solution; and software solutions including software for advance steering, road surface detection, vehicle health management, brake-to-steer, and safety and cybersecurity. Further, the company provides megatrend alignment solutions, which includes electrification, software and connectivity, shared mobility, and ADAS & automated driving. The company was founded in 1906 and is headquartered in Auburn Hills, Michigan. Nexteer Automotive Group Limited is a subsidiary of Nexteer Automotive (Hong Kong) Holdings Limited.",13000,"{'maxAge': 1, 'name': 'Mr. Herve Paul Gino Boyer', 'age': 51, 'title': 'Sr. VP, Global COO & North America Division Pres', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",2,7,10,7,10,1693526400,1672444800,86400,4,0.67345,0.5982,0.5982,0.5982,0.67345,0.5982,0.5982,0.5982,0.0,0.0078,1687478400,0.1229,2.35,1.486111,14.955001,800,800,203,80,80,0.0,0.0,0,0,1501374336,0.473,0.805,0.36173633,0.66204,0.61974,0.005,0.007424456,USD,1361687936,0.02485,879818906,2509819904,0.64945,0.15055001,0.776,0.7708763,1672444800,1703980800,1688083200,103144000,0.04,0.328,5.363,PNK,EQUITY,NTXVF,NTXVF,NEXTEER AUTOMOTIVE GROUP LIMITE,Nexteer Automotive Group Limited,1420727400,America/New_York,EDT,-14400000,0.5982,2.27,1.4,1.9,1.91,2.1,buy,16,290087008,0.116,253883008,105475000,1.185,1.465,4150466048,5.292,1.654,0.022939999,0.056999996,367151000,21125250,402448992,0.174,0.09834,0.06117,0.029059999,USD,
4,1272 Doris Road,Auburn Hills,MI,48326-2617,United States,https://www.nexteer.com,Auto Parts,Consumer Cyclical,"Nexteer Automotive Group Limited, a motion control technology company, develop, manufacture, and supply advanced steering and driveline systems to original equipment manufacturer worldwide. It offers electric power steering (EPS) products, which includes column assist electric power steering, intermediate shafts, EPS rack and pinion gears, single and dual pinion assist, and rack-assisted EPS, modular power pack, steer-by-wire, EPS remanufacturing, and automated steering actuator, as well as availability, output, and modular EPS. The company also provides steering column technologies, such as power tilt, power and manual rake and telescope, one-touch adjustable, non-adjustable, and stowable steering columns, intermediate shafts, and transmission shifter, as well as safety and crashworthiness, and electronic, modules and sub-assemblies; and driveline products including half shaft technology and solutions. In addition, it offers hydraulic power steering products, which includes magnetic torque overlay, smart flow, power steering pump and reservoirs, and rack and pinion, and recirculation ball steering gears, as well as aftermarket solution; and software solutions including software for advance steering, road surface detection, vehicle health management, brake-to-steer, and safety and cybersecurity. Further, the company provides megatrend alignment solutions, which includes electrification, software and connectivity, shared mobility, and ADAS & automated driving. The company was founded in 1906 and is headquartered in Auburn Hills, Michigan. Nexteer Automotive Group Limited is a subsidiary of Nexteer Automotive (Hong Kong) Holdings Limited.",13000,"{'maxAge': 1, 'name': 'Mr. Crist  Wu', 'title': 'Exec. Director of Board Affairs & Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",2,7,10,7,10,1693526400,1672444800,86400,4,0.67345,0.5982,0.5982,0.5982,0.67345,0.5982,0.5982,0.5982,0.0,0.0078,1687478400,0.1229,2.35,1.486111,14.955001,800,800,203,80,80,0.0,0.0,0,0,1501374336,0.473,0.805,0.36173633,0.66204,0.61974,0.005,0.007424456,USD,1361687936,0.02485,879818906,2509819904,0.64945,0.15055001,0.776,0.7708763,1672444800,1703980800,1688083200,103144000,0.04,0.328,5.363,PNK,EQUITY,NTXVF,NTXVF,NEXTEER AUTOMOTIVE GROUP LIMITE,Nexteer Automotive Group Limited,1420727400,America/New_York,EDT,-14400000,0.5982,2.27,1.4,1.9,1.91,2.1,buy,16,290087008,0.116,253883008,105475000,1.185,1.465,4150466048,5.292,1.654,0.022939999,0.056999996,367151000,21125250,402448992,0.174,0.09834,0.06117,0.029059999,USD,
5,1272 Doris Road,Auburn Hills,MI,48326-2617,United States,https://www.nexteer.com,Auto Parts,Consumer Cyclical,"Nexteer Automotive Group Limited, a motion control technology company, develop, manufacture, and supply advanced steering and driveline systems to original equipment manufacturer worldwide. It offers electric power steering (EPS) products, which includes column assist electric power steering, intermediate shafts, EPS rack and pinion gears, single and dual pinion assist, and rack-assisted EPS, modular power pack, steer-by-wire, EPS remanufacturing, and automated steering actuator, as well as availability, output, and modular EPS. The company also provides steering column technologies, such as power tilt, power and manual rake and telescope, one-touch adjustable, non-adjustable, and stowable steering columns, intermediate shafts, and transmission shifter, as well as safety and crashworthiness, and electronic, modules and sub-assemblies; and driveline products including half shaft technology and solutions. In addition, it offers hydraulic power steering products, which includes magnetic torque overlay, smart flow, power steering pump and reservoirs, and rack and pinion, and recirculation ball steering gears, as well as aftermarket solution; and software solutions including software for advance steering, road surface detection, vehicle health management, brake-to-steer, and safety and cybersecurity. Further, the company provides megatrend alignment solutions, which includes electrification, software and connectivity, shared mobility, and ADAS & automated driving. The company was founded in 1906 and is headquartered in Auburn Hills, Michigan. Nexteer Automotive Group Limited is a subsidiary of Nexteer Automotive (Hong Kong) Holdings Limited.",13000,"{'maxAge': 1, 'name': 'Mr. Robert William Spencer Jr.', 'age': 48, 'title': 'VP & Gen. Counsel', 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}",2,7,10,7,10,1693526400,1672444800,86400,4,0.67345,0.5982,0.5982,0.5982,0.67345,0.5982,0.5982,0.5982,0.0,0.0078,1687478400,0.1229,2.35,1.486111,14.955001,800,800,203,80,80,0.0,0.0,0,0,1501374336,0.473,0.805,0.36173633,0.66204,0.61974,0.005,0.007424456,USD,1361687936,0.02485,879818906,2509819904,0.64945,0.15055001,0.776,0.7708763,1672444800,1703980800,1688083200,103144000,0.04,0.328,5.363,PNK,EQUITY,NTXVF,NTXVF,NEXTEER AUTOMOTIVE GROUP LIMITE,Nexteer Automotive Group Limited,1420727400,America/New_York,EDT,-14400000,0.5982,2.27,1.4,1.9,1.91,2.1,buy,16,290087008,0.116,253883008,105475000,1.185,1.465,4150466048,5.292,1.654,0.022939999,0.056999996,367151000,21125250,402448992,0.174,0.09834,0.06117,0.029059999,USD,
6,1272 Doris Road,Auburn Hills,MI,48326-2617,United States,https://www.nexteer.com,Auto Parts,Consumer Cyclical,"Nexteer Automotive Group Limited, a motion control technology company, develop, manufacture, and supply advanced steering and driveline systems to original equipment manufacturer worldwide. It offers electric power steering (EPS) products, which includes column assist electric power steering, intermediate shafts, EPS rack and pinion gears, single and dual pinion assist, and rack-assisted EPS, modular power pack, steer-by-wire, EPS remanufacturing, and automated steering actuator, as well as availability, output, and modular EPS. The company also provides steering column technologies, such as power tilt, power and manual rake and telescope, one-touch adjustable, non-adjustable, and stowable steering columns, intermediate shafts, and transmission shifter, as well as safety and crashworthiness, and electronic, modules and sub-assemblies; and driveline products including half shaft technology and solutions. In addition, it offers hydraulic power steering products, which includes magnetic torque overlay, smart flow, power steering pump and reservoirs, and rack and pinion, and recirculation ball steering gears, as well as aftermarket solution; and software solutions including software for advance steering, road surface detection, vehicle health management, brake-to-steer, and safety and cybersecurity. Further, the company provides megatrend alignment solutions, which includes electrification, software and connectivity, shared mobility, and ADAS & automated driving. The company was founded in 1906 and is headquartered in Auburn Hills, Michigan. Nexteer Automotive Group Limited is a subsidiary of Nexteer Automotive (Hong Kong) Holdings Limited.",13000,"{'maxAge': 1, 'name': 'Mr. David Michael Byers', 'age': 56, 'title': 'VP of Global Sales', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",2,7,10,7,10,1693526400,1672444800,86400,4,0.67345,0.5982,0.5982,0.5982,0.67345,0.5982,0.5982,0.5982,0.0,0.0078,1687478400,0.1229,2.35,1.486111,14.955001,800,800,203,80,80,0.0,0.0,0,0,1501374336,0.473,0.805,0.36173633,0.66204,0.61974,0.005,0.007424456,USD,1361687936,0.02485,879818906,2509819904,0.64945,0.15055001,0.776,0.7708763,1672444800,1703980800,1688083200,103144000,0.04,0.328,5.363,PNK,EQUITY,NTXVF,NTXVF,NEXTEER AUTOMOTIVE GROUP LIMITE,Nexteer Automotive Group Limited,1420727400,America/New_York,EDT,-14400000,0.5982,2.27,1.4,1.9,1.91,2.1,buy,16,290087008,0.116,253883008,105475000,1.185,1.465,4150466048,5.292,1.654,0.022939999,0.056999996,367151000,21125250,402448992,0.174,0.09834,0.06117,0.029059999,USD,
7,1272 Doris Road,Auburn Hills,MI,48326-2617,United States,https://www.nexteer.com,Auto Parts,Consumer Cyclical,"Nexteer Automotive Group Limited, a motion control technology company, develop, manufacture, and supply advanced steering and driveline systems to original equipment manufacturer worldwide. It offers electric power steering (EPS) products, which includes column assist electric power steering, intermediate shafts, EPS rack and pinion gears, single and dual pinion assist, and rack-assisted EPS, modular power pack, steer-by-wire, EPS remanufacturing, and automated steering actuator, as well as availability, output, and modular EPS. The company also provides steering column technologies, such as power tilt, power and manual rake and telescope, one-touch adjustable, non-adjustable, and stowable steering columns, intermediate shafts, and transmission shifter, as well as safety and crashworthiness, and electronic, modules and sub-assemblies; and driveline products including half shaft technology and solutions. In addition, it offers hydraulic power steering products, which includes magnetic torque overlay, smart flow, power steering pump and reservoirs, and rack and pinion, and recirculation ball steering gears, as well as aftermarket solution; and software solutions including software for advance steering, road surface detection, vehicle health management, brake-to-steer, and safety and cybersecurity. Further, the company provides megatrend alignment solutions, which includes electrification, software and connectivity, shared mobility, and ADAS & automated driving. The company was founded in 1906 and is headquartered in Auburn Hills, Michigan. Nexteer Automotive Group Limited is a subsidiary of Nexteer Automotive (Hong Kong) Holdings Limited.",13000,"{'maxAge': 1, 'name': 'Mr. Jun  Li', 'age': 50, 'title': 'VP & Asia Pacific Division Pres', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",2,7,10,7,10,1693526400,1672444800,86400,4,0.67345,0.5982,0.5982,0.5982,0.67345,0.5982,0.5982,0.5982,0.0,0.0078,1687478400,0.1229,2.35,1.486111,14.955001,800,800,203,80,80,0.0,0.0,0,0,1501374336,0.473,0.805,0.36173633,0.66204,0.61974,0.005,0.007424456,USD,1361687936,0.02485,879818906,2509819904,0.64945,0.15055001,0.776,0.7708763,1672444800,1703980800,1688083200,103144000,0.04,0.328,5.363,PNK,EQUITY,NTXVF,NTXVF,NEXTEER AUTOMOTIVE GROUP LIMITE,Nexteer Automotive Group Limited,1420727400,America/New_York,EDT,-14400000,0.5982,2.27,1.4,1.9,1.91,2.1,buy,16,290087008,0.116,253883008,105475000,1.185,1.465,4150466048,5.292,1.654,0.022939999,0.056999996,367151000,21125250,402448992,0.174,0.09834,0.06117,0.029059999,USD,
8,1272 Doris Road,Auburn Hills,MI,48326-2617,United States,https://www.nexteer.com,Auto Parts,Consumer Cyclical,"Nexteer Automotive Group Limited, a motion control technology company, develop, manufacture, and supply advanced steering and driveline systems to original equipment manufacturer worldwide. It offers electric power steering (EPS) products, which includes column assist electric power steering, intermediate shafts, EPS rack and pinion gears, single and dual pinion assist, and rack-assisted EPS, modular power pack, steer-by-wire, EPS remanufacturing, and automated steering actuator, as well as availability, output, and modular EPS. The company also provides steering column technologies, such as power tilt, power and manual rake and telescope, one-touch adjustable, non-adjustable, and stowable steering columns, intermediate shafts, and transmission shifter, as well as safety and crashworthiness, and electronic, modules and sub-assemblies; and driveline products including half shaft technology and solutions. In addition, it offers hydraulic power steering products, which includes magnetic torque overlay, smart flow, power steering pump and reservoirs, and rack and pinion, and recirculation ball steering gears, as well as aftermarket solution; and software solutions including software for advance steering, road surface detection, vehicle health management, brake-to-steer, and safety and cybersecurity. Further, the company provides megatrend alignment solutions, which includes electrification, software and connectivity, shared mobility, and ADAS & automated driving. The company was founded in 1906 and is headquartered in Auburn Hills, Michigan. Nexteer Automotive Group Limited is a subsidiary of Nexteer Automotive (Hong Kong) Holdings Limited.",13000,"{'maxAge': 1, 'name': 'Ms. Jill Annette Dralle', 'age': 49, 'title': 'VP & COO of USA', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}",2,7,10,7,10,1693526400,1672444800,86400,4,0.67345,0.5982,0.5982,0.5982,0.67345,0.5982,0.5982,0.5982,0.0,0.0078,1687478400,0.1229,2.35,1.486111,14.955001,800,800,203,80,80,0.0,0.0,0,0,1501374336,0.473,0.805,0.36173633,0.66204,0.61974,0.005,0.007424456,USD,1361687936,0.02485,879818906,2509819904,0.64945,0.15055001,0.776,0.7708763,1672444800,1703980800,1688083200,103144000,0.04,0.328,5.363,PNK,EQUITY,NTXVF,NTXVF,NEXTEER AUTOMOTIVE GROUP LIMITE,Nexteer Automotive Group Limited,1420727400,America/New_York,EDT,-14400000,0.5982,2.27,1.4,1.9,1.91,2.1,buy,16,290087008,0.116,253883008,105475000,1.185,1.465,4150466048,5.292,1.654,0.022939999,0.056999996,367151000,21125250,402448992,0.174,0.09834,0.06117,0.029059999,USD,
9,1272 Doris Road,Auburn Hills,MI,48326-2617,United States,https://www.nexteer.com,Auto Parts,Consumer Cyclical,"Nexteer Automotive Group Limited, a motion control technology company, develop, manufacture, and supply advanced steering and driveline systems to original equipment manufacturer worldwide. It offers electric power steering (EPS) products, which includes column assist electric power steering, intermediate shafts, EPS rack and pinion gears, single and dual pinion assist, and rack-assisted EPS, modular power pack, steer-by-wire, EPS remanufacturing, and automated steering actuator, as well as availability, output, and modular EPS. The company also provides steering column technologies, such as power tilt, power and manual rake and telescope, one-touch adjustable, non-adjustable, and stowable steering columns, intermediate shafts, and transmission shifter, as well as safety and crashworthiness, and electronic, modules and sub-assemblies; and driveline products including half shaft technology and solutions. In addition, it offers hydraulic power steering products, which includes magnetic torque overlay, smart flow, power steering pump and reservoirs, and rack and pinion, and recirculation ball steering gears, as well as aftermarket solution; and software solutions including software for advance steering, road surface detection, vehicle health management, brake-to-steer, and safety and cybersecurity. Further, the company provides megatrend alignment solutions, which includes electrification, software and connectivity, shared mobility, and ADAS & automated driving. The company was founded in 1906 and is headquartered in Auburn Hills, Michigan. Nexteer Automotive Group Limited is a subsidiary of Nexteer Automotive (Hong Kong) Holdings Limited.",13000,"{'maxAge': 1, 'name': 'Abiel  Villarreal', 'title': 'VP & COO of Mexico', 'exercisedValue': 0, 'unexercisedValue': 0}",2,7,10,7,10,1693526400,1672444800,86400,4,0.67345,0.5982,0.5982,0.5982,0.67345,0.5982,0.5982,0.5982,0.0,0.0078,1687478400,0.1229,2.35,1.486111,14.955001,800,800,203,80,80,0.0,0.0,0,0,1501374336,0.473,0.805,0.36173633,0.66204,0.61974,0.005,0.007424456,USD,1361687936,0.02485,879818906,2509819904,0.64945,0.15055001,0.776,0.7708763,1672444800,1703980800,1688083200,103144000,0.04,0.328,5.363,PNK,EQUITY,NTXVF,NTXVF,NEXTEER AUTOMOTIVE GROUP LIMITE,Nexteer Automotive Group Limited,1420727400,America/New_York,EDT,-14400000,0.5982,2.27,1.4,1.9,1.91,2.1,buy,16,290087008,0.116,253883008,105475000,1.185,1.465,4150466048,5.292,1.654,0.022939999,0.056999996,367151000,21125250,402448992,0.174,0.09834,0.06117,0.029059999,USD,
