,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationMean,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,9250 North Royal Lane,Suite 100,Irving,TX,75063,United States,972 881 2900,https://www.pfscommerce.com,Specialty Business Services,Industrials,"PFSweb, Inc., together with its subsidiaries, provides omni-channel commerce solutions in the United States, Belgium, the United Kingdom, Canada, and India. The company offers order to cash service, which provides distributed order orchestration and payment processing; order fulfillment services; contact center services that are focused on providing essential services, such as order entry, returns authorization, product inquiry, and order tracking, as well as iCommerce Agent, an application where agents provides customer service functions, such as placing orders, checking order status, facilitating returns, initiating upsell and cross sell, managing escalations, and gathering voice of the customer information. It serves clients in various industries, such as health, skincare, fragrance and beauty products, cosmetics, fashion apparel and accessories, footwear, luxury goods, consumer packaged goods, coins and collectibles, jewelry, housewares, computer and office products, and other industries. The company was incorporated in 1999 and is headquartered in Irving, Texas.",1352,"{'maxAge': 1, 'name': 'Mr. Michael C. Willoughby', 'age': 58, 'title': 'Pres, CEO & Exec. Director', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 1596596, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,7.41,7.43,7.42,7.46,7.41,7.43,7.42,7.46,1671148800,0.0,1.582987,13.285714,631909,631909,260482,1084250,1084250,7.43,7.46,3200,1400,169338128,3.8,11.45,0.8256329,4.8108,5.47045,0.0,0.0,USD,167697888,-0.03111,10976288,22760500,331499,377242,1690761600,1693440000,0.0146,0.2641,0.80156,4.78,0.0218,3.758,1.9797765,1672444800,1703980800,1688083200,-9847000,-0.43,0.56,10:47,1212364800,0.818,-97.104,NCM,EQUITY,PFSW,PFSW,"PFSweb, Inc.","PFSweb, Inc.",944145000,America/New_York,EDT,-14400000,7.44,2.0,buy,39022000,1.716,-1727000,37497000,1.641,1.765,205100992,43.935,8.973,-0.026519999,-0.07007,43943000,2298000,7965000,0.063,0.23674999,-0.00842,-0.04735,USD,
1,9250 North Royal Lane,Suite 100,Irving,TX,75063,United States,972 881 2900,https://www.pfscommerce.com,Specialty Business Services,Industrials,"PFSweb, Inc., together with its subsidiaries, provides omni-channel commerce solutions in the United States, Belgium, the United Kingdom, Canada, and India. The company offers order to cash service, which provides distributed order orchestration and payment processing; order fulfillment services; contact center services that are focused on providing essential services, such as order entry, returns authorization, product inquiry, and order tracking, as well as iCommerce Agent, an application where agents provides customer service functions, such as placing orders, checking order status, facilitating returns, initiating upsell and cross sell, managing escalations, and gathering voice of the customer information. It serves clients in various industries, such as health, skincare, fragrance and beauty products, cosmetics, fashion apparel and accessories, footwear, luxury goods, consumer packaged goods, coins and collectibles, jewelry, housewares, computer and office products, and other industries. The company was incorporated in 1999 and is headquartered in Irving, Texas.",1352,"{'maxAge': 1, 'name': 'Mr. Thomas J. Madden', 'age': 60, 'title': 'Exec. VP & CFO', 'yearBorn': 1962, 'fiscalYear': 2022, 'totalPay': 482751, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,7.41,7.43,7.42,7.46,7.41,7.43,7.42,7.46,1671148800,0.0,1.582987,13.285714,631909,631909,260482,1084250,1084250,7.43,7.46,3200,1400,169338128,3.8,11.45,0.8256329,4.8108,5.47045,0.0,0.0,USD,167697888,-0.03111,10976288,22760500,331499,377242,1690761600,1693440000,0.0146,0.2641,0.80156,4.78,0.0218,3.758,1.9797765,1672444800,1703980800,1688083200,-9847000,-0.43,0.56,10:47,1212364800,0.818,-97.104,NCM,EQUITY,PFSW,PFSW,"PFSweb, Inc.","PFSweb, Inc.",944145000,America/New_York,EDT,-14400000,7.44,2.0,buy,39022000,1.716,-1727000,37497000,1.641,1.765,205100992,43.935,8.973,-0.026519999,-0.07007,43943000,2298000,7965000,0.063,0.23674999,-0.00842,-0.04735,USD,
2,9250 North Royal Lane,Suite 100,Irving,TX,75063,United States,972 881 2900,https://www.pfscommerce.com,Specialty Business Services,Industrials,"PFSweb, Inc., together with its subsidiaries, provides omni-channel commerce solutions in the United States, Belgium, the United Kingdom, Canada, and India. The company offers order to cash service, which provides distributed order orchestration and payment processing; order fulfillment services; contact center services that are focused on providing essential services, such as order entry, returns authorization, product inquiry, and order tracking, as well as iCommerce Agent, an application where agents provides customer service functions, such as placing orders, checking order status, facilitating returns, initiating upsell and cross sell, managing escalations, and gathering voice of the customer information. It serves clients in various industries, such as health, skincare, fragrance and beauty products, cosmetics, fashion apparel and accessories, footwear, luxury goods, consumer packaged goods, coins and collectibles, jewelry, housewares, computer and office products, and other industries. The company was incorporated in 1999 and is headquartered in Irving, Texas.",1352,"{'maxAge': 1, 'name': 'Mr. R. Zach Thomann', 'age': 40, 'title': 'Exec. VP & COO', 'yearBorn': 1982, 'fiscalYear': 2022, 'totalPay': 885647, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,7.41,7.43,7.42,7.46,7.41,7.43,7.42,7.46,1671148800,0.0,1.582987,13.285714,631909,631909,260482,1084250,1084250,7.43,7.46,3200,1400,169338128,3.8,11.45,0.8256329,4.8108,5.47045,0.0,0.0,USD,167697888,-0.03111,10976288,22760500,331499,377242,1690761600,1693440000,0.0146,0.2641,0.80156,4.78,0.0218,3.758,1.9797765,1672444800,1703980800,1688083200,-9847000,-0.43,0.56,10:47,1212364800,0.818,-97.104,NCM,EQUITY,PFSW,PFSW,"PFSweb, Inc.","PFSweb, Inc.",944145000,America/New_York,EDT,-14400000,7.44,2.0,buy,39022000,1.716,-1727000,37497000,1.641,1.765,205100992,43.935,8.973,-0.026519999,-0.07007,43943000,2298000,7965000,0.063,0.23674999,-0.00842,-0.04735,USD,
3,9250 North Royal Lane,Suite 100,Irving,TX,75063,United States,972 881 2900,https://www.pfscommerce.com,Specialty Business Services,Industrials,"PFSweb, Inc., together with its subsidiaries, provides omni-channel commerce solutions in the United States, Belgium, the United Kingdom, Canada, and India. The company offers order to cash service, which provides distributed order orchestration and payment processing; order fulfillment services; contact center services that are focused on providing essential services, such as order entry, returns authorization, product inquiry, and order tracking, as well as iCommerce Agent, an application where agents provides customer service functions, such as placing orders, checking order status, facilitating returns, initiating upsell and cross sell, managing escalations, and gathering voice of the customer information. It serves clients in various industries, such as health, skincare, fragrance and beauty products, cosmetics, fashion apparel and accessories, footwear, luxury goods, consumer packaged goods, coins and collectibles, jewelry, housewares, computer and office products, and other industries. The company was incorporated in 1999 and is headquartered in Irving, Texas.",1352,"{'maxAge': 1, 'name': 'Ms. Laura L. Bracken', 'age': 48, 'title': 'Sr. VP & Chief Accounting Officer', 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,7.41,7.43,7.42,7.46,7.41,7.43,7.42,7.46,1671148800,0.0,1.582987,13.285714,631909,631909,260482,1084250,1084250,7.43,7.46,3200,1400,169338128,3.8,11.45,0.8256329,4.8108,5.47045,0.0,0.0,USD,167697888,-0.03111,10976288,22760500,331499,377242,1690761600,1693440000,0.0146,0.2641,0.80156,4.78,0.0218,3.758,1.9797765,1672444800,1703980800,1688083200,-9847000,-0.43,0.56,10:47,1212364800,0.818,-97.104,NCM,EQUITY,PFSW,PFSW,"PFSweb, Inc.","PFSweb, Inc.",944145000,America/New_York,EDT,-14400000,7.44,2.0,buy,39022000,1.716,-1727000,37497000,1.641,1.765,205100992,43.935,8.973,-0.026519999,-0.07007,43943000,2298000,7965000,0.063,0.23674999,-0.00842,-0.04735,USD,
4,9250 North Royal Lane,Suite 100,Irving,TX,75063,United States,972 881 2900,https://www.pfscommerce.com,Specialty Business Services,Industrials,"PFSweb, Inc., together with its subsidiaries, provides omni-channel commerce solutions in the United States, Belgium, the United Kingdom, Canada, and India. The company offers order to cash service, which provides distributed order orchestration and payment processing; order fulfillment services; contact center services that are focused on providing essential services, such as order entry, returns authorization, product inquiry, and order tracking, as well as iCommerce Agent, an application where agents provides customer service functions, such as placing orders, checking order status, facilitating returns, initiating upsell and cross sell, managing escalations, and gathering voice of the customer information. It serves clients in various industries, such as health, skincare, fragrance and beauty products, cosmetics, fashion apparel and accessories, footwear, luxury goods, consumer packaged goods, coins and collectibles, jewelry, housewares, computer and office products, and other industries. The company was incorporated in 1999 and is headquartered in Irving, Texas.",1352,"{'maxAge': 1, 'name': 'Mr. Mark  Fuentes', 'age': 54, 'title': 'Sr. VP & Chief Information Officer', 'yearBorn': 1968, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,7.41,7.43,7.42,7.46,7.41,7.43,7.42,7.46,1671148800,0.0,1.582987,13.285714,631909,631909,260482,1084250,1084250,7.43,7.46,3200,1400,169338128,3.8,11.45,0.8256329,4.8108,5.47045,0.0,0.0,USD,167697888,-0.03111,10976288,22760500,331499,377242,1690761600,1693440000,0.0146,0.2641,0.80156,4.78,0.0218,3.758,1.9797765,1672444800,1703980800,1688083200,-9847000,-0.43,0.56,10:47,1212364800,0.818,-97.104,NCM,EQUITY,PFSW,PFSW,"PFSweb, Inc.","PFSweb, Inc.",944145000,America/New_York,EDT,-14400000,7.44,2.0,buy,39022000,1.716,-1727000,37497000,1.641,1.765,205100992,43.935,8.973,-0.026519999,-0.07007,43943000,2298000,7965000,0.063,0.23674999,-0.00842,-0.04735,USD,
5,9250 North Royal Lane,Suite 100,Irving,TX,75063,United States,972 881 2900,https://www.pfscommerce.com,Specialty Business Services,Industrials,"PFSweb, Inc., together with its subsidiaries, provides omni-channel commerce solutions in the United States, Belgium, the United Kingdom, Canada, and India. The company offers order to cash service, which provides distributed order orchestration and payment processing; order fulfillment services; contact center services that are focused on providing essential services, such as order entry, returns authorization, product inquiry, and order tracking, as well as iCommerce Agent, an application where agents provides customer service functions, such as placing orders, checking order status, facilitating returns, initiating upsell and cross sell, managing escalations, and gathering voice of the customer information. It serves clients in various industries, such as health, skincare, fragrance and beauty products, cosmetics, fashion apparel and accessories, footwear, luxury goods, consumer packaged goods, coins and collectibles, jewelry, housewares, computer and office products, and other industries. The company was incorporated in 1999 and is headquartered in Irving, Texas.",1352,"{'maxAge': 1, 'name': 'Ms. Melanie  Klint', 'title': 'VP, Gen. Counsel & Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,7.41,7.43,7.42,7.46,7.41,7.43,7.42,7.46,1671148800,0.0,1.582987,13.285714,631909,631909,260482,1084250,1084250,7.43,7.46,3200,1400,169338128,3.8,11.45,0.8256329,4.8108,5.47045,0.0,0.0,USD,167697888,-0.03111,10976288,22760500,331499,377242,1690761600,1693440000,0.0146,0.2641,0.80156,4.78,0.0218,3.758,1.9797765,1672444800,1703980800,1688083200,-9847000,-0.43,0.56,10:47,1212364800,0.818,-97.104,NCM,EQUITY,PFSW,PFSW,"PFSweb, Inc.","PFSweb, Inc.",944145000,America/New_York,EDT,-14400000,7.44,2.0,buy,39022000,1.716,-1727000,37497000,1.641,1.765,205100992,43.935,8.973,-0.026519999,-0.07007,43943000,2298000,7965000,0.063,0.23674999,-0.00842,-0.04735,USD,
6,9250 North Royal Lane,Suite 100,Irving,TX,75063,United States,972 881 2900,https://www.pfscommerce.com,Specialty Business Services,Industrials,"PFSweb, Inc., together with its subsidiaries, provides omni-channel commerce solutions in the United States, Belgium, the United Kingdom, Canada, and India. The company offers order to cash service, which provides distributed order orchestration and payment processing; order fulfillment services; contact center services that are focused on providing essential services, such as order entry, returns authorization, product inquiry, and order tracking, as well as iCommerce Agent, an application where agents provides customer service functions, such as placing orders, checking order status, facilitating returns, initiating upsell and cross sell, managing escalations, and gathering voice of the customer information. It serves clients in various industries, such as health, skincare, fragrance and beauty products, cosmetics, fashion apparel and accessories, footwear, luxury goods, consumer packaged goods, coins and collectibles, jewelry, housewares, computer and office products, and other industries. The company was incorporated in 1999 and is headquartered in Irving, Texas.",1352,"{'maxAge': 1, 'name': 'Ms. Laura  Osborne', 'title': 'Corp. Communications Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,7.41,7.43,7.42,7.46,7.41,7.43,7.42,7.46,1671148800,0.0,1.582987,13.285714,631909,631909,260482,1084250,1084250,7.43,7.46,3200,1400,169338128,3.8,11.45,0.8256329,4.8108,5.47045,0.0,0.0,USD,167697888,-0.03111,10976288,22760500,331499,377242,1690761600,1693440000,0.0146,0.2641,0.80156,4.78,0.0218,3.758,1.9797765,1672444800,1703980800,1688083200,-9847000,-0.43,0.56,10:47,1212364800,0.818,-97.104,NCM,EQUITY,PFSW,PFSW,"PFSweb, Inc.","PFSweb, Inc.",944145000,America/New_York,EDT,-14400000,7.44,2.0,buy,39022000,1.716,-1727000,37497000,1.641,1.765,205100992,43.935,8.973,-0.026519999,-0.07007,43943000,2298000,7965000,0.063,0.23674999,-0.00842,-0.04735,USD,
7,9250 North Royal Lane,Suite 100,Irving,TX,75063,United States,972 881 2900,https://www.pfscommerce.com,Specialty Business Services,Industrials,"PFSweb, Inc., together with its subsidiaries, provides omni-channel commerce solutions in the United States, Belgium, the United Kingdom, Canada, and India. The company offers order to cash service, which provides distributed order orchestration and payment processing; order fulfillment services; contact center services that are focused on providing essential services, such as order entry, returns authorization, product inquiry, and order tracking, as well as iCommerce Agent, an application where agents provides customer service functions, such as placing orders, checking order status, facilitating returns, initiating upsell and cross sell, managing escalations, and gathering voice of the customer information. It serves clients in various industries, such as health, skincare, fragrance and beauty products, cosmetics, fashion apparel and accessories, footwear, luxury goods, consumer packaged goods, coins and collectibles, jewelry, housewares, computer and office products, and other industries. The company was incorporated in 1999 and is headquartered in Irving, Texas.",1352,"{'maxAge': 1, 'name': 'Mr. Michael  Wright', 'title': 'VP of Marketing & Solutions', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,7.41,7.43,7.42,7.46,7.41,7.43,7.42,7.46,1671148800,0.0,1.582987,13.285714,631909,631909,260482,1084250,1084250,7.43,7.46,3200,1400,169338128,3.8,11.45,0.8256329,4.8108,5.47045,0.0,0.0,USD,167697888,-0.03111,10976288,22760500,331499,377242,1690761600,1693440000,0.0146,0.2641,0.80156,4.78,0.0218,3.758,1.9797765,1672444800,1703980800,1688083200,-9847000,-0.43,0.56,10:47,1212364800,0.818,-97.104,NCM,EQUITY,PFSW,PFSW,"PFSweb, Inc.","PFSweb, Inc.",944145000,America/New_York,EDT,-14400000,7.44,2.0,buy,39022000,1.716,-1727000,37497000,1.641,1.765,205100992,43.935,8.973,-0.026519999,-0.07007,43943000,2298000,7965000,0.063,0.23674999,-0.00842,-0.04735,USD,
8,9250 North Royal Lane,Suite 100,Irving,TX,75063,United States,972 881 2900,https://www.pfscommerce.com,Specialty Business Services,Industrials,"PFSweb, Inc., together with its subsidiaries, provides omni-channel commerce solutions in the United States, Belgium, the United Kingdom, Canada, and India. The company offers order to cash service, which provides distributed order orchestration and payment processing; order fulfillment services; contact center services that are focused on providing essential services, such as order entry, returns authorization, product inquiry, and order tracking, as well as iCommerce Agent, an application where agents provides customer service functions, such as placing orders, checking order status, facilitating returns, initiating upsell and cross sell, managing escalations, and gathering voice of the customer information. It serves clients in various industries, such as health, skincare, fragrance and beauty products, cosmetics, fashion apparel and accessories, footwear, luxury goods, consumer packaged goods, coins and collectibles, jewelry, housewares, computer and office products, and other industries. The company was incorporated in 1999 and is headquartered in Irving, Texas.",1352,"{'maxAge': 1, 'name': 'Ms. Latrice  Bryant-Robinson', 'title': 'VP of HR', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,7.41,7.43,7.42,7.46,7.41,7.43,7.42,7.46,1671148800,0.0,1.582987,13.285714,631909,631909,260482,1084250,1084250,7.43,7.46,3200,1400,169338128,3.8,11.45,0.8256329,4.8108,5.47045,0.0,0.0,USD,167697888,-0.03111,10976288,22760500,331499,377242,1690761600,1693440000,0.0146,0.2641,0.80156,4.78,0.0218,3.758,1.9797765,1672444800,1703980800,1688083200,-9847000,-0.43,0.56,10:47,1212364800,0.818,-97.104,NCM,EQUITY,PFSW,PFSW,"PFSweb, Inc.","PFSweb, Inc.",944145000,America/New_York,EDT,-14400000,7.44,2.0,buy,39022000,1.716,-1727000,37497000,1.641,1.765,205100992,43.935,8.973,-0.026519999,-0.07007,43943000,2298000,7965000,0.063,0.23674999,-0.00842,-0.04735,USD,
9,9250 North Royal Lane,Suite 100,Irving,TX,75063,United States,972 881 2900,https://www.pfscommerce.com,Specialty Business Services,Industrials,"PFSweb, Inc., together with its subsidiaries, provides omni-channel commerce solutions in the United States, Belgium, the United Kingdom, Canada, and India. The company offers order to cash service, which provides distributed order orchestration and payment processing; order fulfillment services; contact center services that are focused on providing essential services, such as order entry, returns authorization, product inquiry, and order tracking, as well as iCommerce Agent, an application where agents provides customer service functions, such as placing orders, checking order status, facilitating returns, initiating upsell and cross sell, managing escalations, and gathering voice of the customer information. It serves clients in various industries, such as health, skincare, fragrance and beauty products, cosmetics, fashion apparel and accessories, footwear, luxury goods, consumer packaged goods, coins and collectibles, jewelry, housewares, computer and office products, and other industries. The company was incorporated in 1999 and is headquartered in Irving, Texas.",1352,"{'maxAge': 1, 'name': 'Mr. Barry  Fiske', 'title': 'Sr. VP of Global Experience & Innovation of LiveArea', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,7.41,7.43,7.42,7.46,7.41,7.43,7.42,7.46,1671148800,0.0,1.582987,13.285714,631909,631909,260482,1084250,1084250,7.43,7.46,3200,1400,169338128,3.8,11.45,0.8256329,4.8108,5.47045,0.0,0.0,USD,167697888,-0.03111,10976288,22760500,331499,377242,1690761600,1693440000,0.0146,0.2641,0.80156,4.78,0.0218,3.758,1.9797765,1672444800,1703980800,1688083200,-9847000,-0.43,0.56,10:47,1212364800,0.818,-97.104,NCM,EQUITY,PFSW,PFSW,"PFSweb, Inc.","PFSweb, Inc.",944145000,America/New_York,EDT,-14400000,7.44,2.0,buy,39022000,1.716,-1727000,37497000,1.641,1.765,205100992,43.935,8.973,-0.026519999,-0.07007,43943000,2298000,7965000,0.063,0.23674999,-0.00842,-0.04735,USD,
