,address1,address2,city,state,zip,country,phone,fax,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"Angel Place, Level 18",123 Pitt Street,Sydney,NSW,2000,Australia,61 2 9229 9000,61 2 8256 1461,https://www.perpetual.com.au,Asset Management,Asset Management,Financial Services,Financial Services,"Perpetual Limited is a publicly owned investment manager. The firm offers a range of financial products and services in Australia. The company provides funds management, portfolio management, financial planning, trustee, responsible entity and compliance services, executor services, investment administration and custody services, and mortgage processing services. It offers investment capabilities across a range of asset classes, including Australian and global equities, mortgages, cash and fixed interest, and Australian listed property. The company also provides specialist direct-to-client financial services for high net worth individuals that include fiduciary services, such as trust advice and services, custodial solutions, estate planning, estate administration, and executorial services; independent financial advice services with specialist and do-it-yourself' superannuation offerings; and philanthropic services. In addition, it offers corporate trustee and transaction support services, including trustee services for mortgage backed and other securitisation programs for major banks and non-bank financial institutions; mortgage services, including mortgage preparations, variations and discharges; post settlement servicing; regulatory compliance services for fund managers; custody, unit registry, and accounting services for property and mortgage funds; and trusteeships for corporate debt issues and infrastructure projects. The company is based in Sydney, Australia.",1870,"{'maxAge': 1, 'name': 'Mr. Robert William Adams', 'age': 55, 'title': 'MD, CEO, Chief Exec. of Asset Management & Director', 'yearBorn': 1967, 'fiscalYear': 2023, 'totalPay': 3217710, 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,1,10,3,1693526400,1703980800,86400,2,20.51,20.8,20.6,20.98,20.51,20.8,20.6,20.98,2.17,0.1043,1694044800,2.1378,6.39,1.3506,29.295774,9.08297,823874,823874,487875,915529,915529,20.77,20.81,2340374272,19.97,34.8,2.2631993,23.9344,24.5025,1.2,0.058508046,AUD,2868438528,0.05705,104504854,112518000,0.029879998,0.27403998,112518000,21.392,0.97232604,1688083200,1719705600,1688083200,-0.232,59000000,0.71,2.29,-4.23,1:1,626313600,2.774,13.524,-0.17263323,0.14113986,0.65,1694044800,ASX,EQUITY,PPT.AX,PPT.AX,PERPETUAL FPO,Perpetual Limited,628470000,Australia/Sydney,AEST,4efe379e-8b0b-3c32-84c1-15c681ee4be6,finmb_875239,36000000,20.8,40.84,23.5,28.2,27.42,2.2,buy,10,263200000,2.374,212100000,825299968,1.095,1.519,1034099968,34.793,12.836,0.03052,0.03578,470100000,148312496,134800000,-0.591,0.751,0.45459998,0.20511,0.13432,AUD,
1,"Angel Place, Level 18",123 Pitt Street,Sydney,NSW,2000,Australia,61 2 9229 9000,61 2 8256 1461,https://www.perpetual.com.au,Asset Management,Asset Management,Financial Services,Financial Services,"Perpetual Limited is a publicly owned investment manager. The firm offers a range of financial products and services in Australia. The company provides funds management, portfolio management, financial planning, trustee, responsible entity and compliance services, executor services, investment administration and custody services, and mortgage processing services. It offers investment capabilities across a range of asset classes, including Australian and global equities, mortgages, cash and fixed interest, and Australian listed property. The company also provides specialist direct-to-client financial services for high net worth individuals that include fiduciary services, such as trust advice and services, custodial solutions, estate planning, estate administration, and executorial services; independent financial advice services with specialist and do-it-yourself' superannuation offerings; and philanthropic services. In addition, it offers corporate trustee and transaction support services, including trustee services for mortgage backed and other securitisation programs for major banks and non-bank financial institutions; mortgage services, including mortgage preparations, variations and discharges; post settlement servicing; regulatory compliance services for fund managers; custody, unit registry, and accounting services for property and mortgage funds; and trusteeships for corporate debt issues and infrastructure projects. The company is based in Sydney, Australia.",1870,"{'maxAge': 1, 'name': 'Mr. Christopher  Green BComm, LLB, MBA', 'title': 'Chief Financial Officer', 'fiscalYear': 2023, 'totalPay': 1300609, 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,1,10,3,1693526400,1703980800,86400,2,20.51,20.8,20.6,20.98,20.51,20.8,20.6,20.98,2.17,0.1043,1694044800,2.1378,6.39,1.3506,29.295774,9.08297,823874,823874,487875,915529,915529,20.77,20.81,2340374272,19.97,34.8,2.2631993,23.9344,24.5025,1.2,0.058508046,AUD,2868438528,0.05705,104504854,112518000,0.029879998,0.27403998,112518000,21.392,0.97232604,1688083200,1719705600,1688083200,-0.232,59000000,0.71,2.29,-4.23,1:1,626313600,2.774,13.524,-0.17263323,0.14113986,0.65,1694044800,ASX,EQUITY,PPT.AX,PPT.AX,PERPETUAL FPO,Perpetual Limited,628470000,Australia/Sydney,AEST,4efe379e-8b0b-3c32-84c1-15c681ee4be6,finmb_875239,36000000,20.8,40.84,23.5,28.2,27.42,2.2,buy,10,263200000,2.374,212100000,825299968,1.095,1.519,1034099968,34.793,12.836,0.03052,0.03578,470100000,148312496,134800000,-0.591,0.751,0.45459998,0.20511,0.13432,AUD,
2,"Angel Place, Level 18",123 Pitt Street,Sydney,NSW,2000,Australia,61 2 9229 9000,61 2 8256 1461,https://www.perpetual.com.au,Asset Management,Asset Management,Financial Services,Financial Services,"Perpetual Limited is a publicly owned investment manager. The firm offers a range of financial products and services in Australia. The company provides funds management, portfolio management, financial planning, trustee, responsible entity and compliance services, executor services, investment administration and custody services, and mortgage processing services. It offers investment capabilities across a range of asset classes, including Australian and global equities, mortgages, cash and fixed interest, and Australian listed property. The company also provides specialist direct-to-client financial services for high net worth individuals that include fiduciary services, such as trust advice and services, custodial solutions, estate planning, estate administration, and executorial services; independent financial advice services with specialist and do-it-yourself' superannuation offerings; and philanthropic services. In addition, it offers corporate trustee and transaction support services, including trustee services for mortgage backed and other securitisation programs for major banks and non-bank financial institutions; mortgage services, including mortgage preparations, variations and discharges; post settlement servicing; regulatory compliance services for fund managers; custody, unit registry, and accounting services for property and mortgage funds; and trusteeships for corporate debt issues and infrastructure projects. The company is based in Sydney, Australia.",1870,"{'maxAge': 1, 'name': 'Ms. Amanda  Gazal B.Com., C.A.', 'title': 'COO & Chief Integration Officer', 'fiscalYear': 2023, 'totalPay': 912727, 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,1,10,3,1693526400,1703980800,86400,2,20.51,20.8,20.6,20.98,20.51,20.8,20.6,20.98,2.17,0.1043,1694044800,2.1378,6.39,1.3506,29.295774,9.08297,823874,823874,487875,915529,915529,20.77,20.81,2340374272,19.97,34.8,2.2631993,23.9344,24.5025,1.2,0.058508046,AUD,2868438528,0.05705,104504854,112518000,0.029879998,0.27403998,112518000,21.392,0.97232604,1688083200,1719705600,1688083200,-0.232,59000000,0.71,2.29,-4.23,1:1,626313600,2.774,13.524,-0.17263323,0.14113986,0.65,1694044800,ASX,EQUITY,PPT.AX,PPT.AX,PERPETUAL FPO,Perpetual Limited,628470000,Australia/Sydney,AEST,4efe379e-8b0b-3c32-84c1-15c681ee4be6,finmb_875239,36000000,20.8,40.84,23.5,28.2,27.42,2.2,buy,10,263200000,2.374,212100000,825299968,1.095,1.519,1034099968,34.793,12.836,0.03052,0.03578,470100000,148312496,134800000,-0.591,0.751,0.45459998,0.20511,0.13432,AUD,
3,"Angel Place, Level 18",123 Pitt Street,Sydney,NSW,2000,Australia,61 2 9229 9000,61 2 8256 1461,https://www.perpetual.com.au,Asset Management,Asset Management,Financial Services,Financial Services,"Perpetual Limited is a publicly owned investment manager. The firm offers a range of financial products and services in Australia. The company provides funds management, portfolio management, financial planning, trustee, responsible entity and compliance services, executor services, investment administration and custody services, and mortgage processing services. It offers investment capabilities across a range of asset classes, including Australian and global equities, mortgages, cash and fixed interest, and Australian listed property. The company also provides specialist direct-to-client financial services for high net worth individuals that include fiduciary services, such as trust advice and services, custodial solutions, estate planning, estate administration, and executorial services; independent financial advice services with specialist and do-it-yourself' superannuation offerings; and philanthropic services. In addition, it offers corporate trustee and transaction support services, including trustee services for mortgage backed and other securitisation programs for major banks and non-bank financial institutions; mortgage services, including mortgage preparations, variations and discharges; post settlement servicing; regulatory compliance services for fund managers; custody, unit registry, and accounting services for property and mortgage funds; and trusteeships for corporate debt issues and infrastructure projects. The company is based in Sydney, Australia.",1870,"{'maxAge': 1, 'name': 'Mr. Mark  Smith', 'title': 'Chief Exec. of Perpetual Private', 'fiscalYear': 2023, 'totalPay': 1118462, 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,1,10,3,1693526400,1703980800,86400,2,20.51,20.8,20.6,20.98,20.51,20.8,20.6,20.98,2.17,0.1043,1694044800,2.1378,6.39,1.3506,29.295774,9.08297,823874,823874,487875,915529,915529,20.77,20.81,2340374272,19.97,34.8,2.2631993,23.9344,24.5025,1.2,0.058508046,AUD,2868438528,0.05705,104504854,112518000,0.029879998,0.27403998,112518000,21.392,0.97232604,1688083200,1719705600,1688083200,-0.232,59000000,0.71,2.29,-4.23,1:1,626313600,2.774,13.524,-0.17263323,0.14113986,0.65,1694044800,ASX,EQUITY,PPT.AX,PPT.AX,PERPETUAL FPO,Perpetual Limited,628470000,Australia/Sydney,AEST,4efe379e-8b0b-3c32-84c1-15c681ee4be6,finmb_875239,36000000,20.8,40.84,23.5,28.2,27.42,2.2,buy,10,263200000,2.374,212100000,825299968,1.095,1.519,1034099968,34.793,12.836,0.03052,0.03578,470100000,148312496,134800000,-0.591,0.751,0.45459998,0.20511,0.13432,AUD,
4,"Angel Place, Level 18",123 Pitt Street,Sydney,NSW,2000,Australia,61 2 9229 9000,61 2 8256 1461,https://www.perpetual.com.au,Asset Management,Asset Management,Financial Services,Financial Services,"Perpetual Limited is a publicly owned investment manager. The firm offers a range of financial products and services in Australia. The company provides funds management, portfolio management, financial planning, trustee, responsible entity and compliance services, executor services, investment administration and custody services, and mortgage processing services. It offers investment capabilities across a range of asset classes, including Australian and global equities, mortgages, cash and fixed interest, and Australian listed property. The company also provides specialist direct-to-client financial services for high net worth individuals that include fiduciary services, such as trust advice and services, custodial solutions, estate planning, estate administration, and executorial services; independent financial advice services with specialist and do-it-yourself' superannuation offerings; and philanthropic services. In addition, it offers corporate trustee and transaction support services, including trustee services for mortgage backed and other securitisation programs for major banks and non-bank financial institutions; mortgage services, including mortgage preparations, variations and discharges; post settlement servicing; regulatory compliance services for fund managers; custody, unit registry, and accounting services for property and mortgage funds; and trusteeships for corporate debt issues and infrastructure projects. The company is based in Sydney, Australia.",1870,"{'maxAge': 1, 'name': 'Mr. David  Lane BEC', 'title': 'Chief Exec. of Perpetual Asset Management - Americas', 'fiscalYear': 2023, 'totalPay': 1684222, 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,1,10,3,1693526400,1703980800,86400,2,20.51,20.8,20.6,20.98,20.51,20.8,20.6,20.98,2.17,0.1043,1694044800,2.1378,6.39,1.3506,29.295774,9.08297,823874,823874,487875,915529,915529,20.77,20.81,2340374272,19.97,34.8,2.2631993,23.9344,24.5025,1.2,0.058508046,AUD,2868438528,0.05705,104504854,112518000,0.029879998,0.27403998,112518000,21.392,0.97232604,1688083200,1719705600,1688083200,-0.232,59000000,0.71,2.29,-4.23,1:1,626313600,2.774,13.524,-0.17263323,0.14113986,0.65,1694044800,ASX,EQUITY,PPT.AX,PPT.AX,PERPETUAL FPO,Perpetual Limited,628470000,Australia/Sydney,AEST,4efe379e-8b0b-3c32-84c1-15c681ee4be6,finmb_875239,36000000,20.8,40.84,23.5,28.2,27.42,2.2,buy,10,263200000,2.374,212100000,825299968,1.095,1.519,1034099968,34.793,12.836,0.03052,0.03578,470100000,148312496,134800000,-0.591,0.751,0.45459998,0.20511,0.13432,AUD,
5,"Angel Place, Level 18",123 Pitt Street,Sydney,NSW,2000,Australia,61 2 9229 9000,61 2 8256 1461,https://www.perpetual.com.au,Asset Management,Asset Management,Financial Services,Financial Services,"Perpetual Limited is a publicly owned investment manager. The firm offers a range of financial products and services in Australia. The company provides funds management, portfolio management, financial planning, trustee, responsible entity and compliance services, executor services, investment administration and custody services, and mortgage processing services. It offers investment capabilities across a range of asset classes, including Australian and global equities, mortgages, cash and fixed interest, and Australian listed property. The company also provides specialist direct-to-client financial services for high net worth individuals that include fiduciary services, such as trust advice and services, custodial solutions, estate planning, estate administration, and executorial services; independent financial advice services with specialist and do-it-yourself' superannuation offerings; and philanthropic services. In addition, it offers corporate trustee and transaction support services, including trustee services for mortgage backed and other securitisation programs for major banks and non-bank financial institutions; mortgage services, including mortgage preparations, variations and discharges; post settlement servicing; regulatory compliance services for fund managers; custody, unit registry, and accounting services for property and mortgage funds; and trusteeships for corporate debt issues and infrastructure projects. The company is based in Sydney, Australia.",1870,"{'maxAge': 1, 'name': 'Ms. Sam  Mosse', 'title': 'Chief Risk & Sustainability Officer', 'fiscalYear': 2023, 'totalPay': 1140882, 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,1,10,3,1693526400,1703980800,86400,2,20.51,20.8,20.6,20.98,20.51,20.8,20.6,20.98,2.17,0.1043,1694044800,2.1378,6.39,1.3506,29.295774,9.08297,823874,823874,487875,915529,915529,20.77,20.81,2340374272,19.97,34.8,2.2631993,23.9344,24.5025,1.2,0.058508046,AUD,2868438528,0.05705,104504854,112518000,0.029879998,0.27403998,112518000,21.392,0.97232604,1688083200,1719705600,1688083200,-0.232,59000000,0.71,2.29,-4.23,1:1,626313600,2.774,13.524,-0.17263323,0.14113986,0.65,1694044800,ASX,EQUITY,PPT.AX,PPT.AX,PERPETUAL FPO,Perpetual Limited,628470000,Australia/Sydney,AEST,4efe379e-8b0b-3c32-84c1-15c681ee4be6,finmb_875239,36000000,20.8,40.84,23.5,28.2,27.42,2.2,buy,10,263200000,2.374,212100000,825299968,1.095,1.519,1034099968,34.793,12.836,0.03052,0.03578,470100000,148312496,134800000,-0.591,0.751,0.45459998,0.20511,0.13432,AUD,
6,"Angel Place, Level 18",123 Pitt Street,Sydney,NSW,2000,Australia,61 2 9229 9000,61 2 8256 1461,https://www.perpetual.com.au,Asset Management,Asset Management,Financial Services,Financial Services,"Perpetual Limited is a publicly owned investment manager. The firm offers a range of financial products and services in Australia. The company provides funds management, portfolio management, financial planning, trustee, responsible entity and compliance services, executor services, investment administration and custody services, and mortgage processing services. It offers investment capabilities across a range of asset classes, including Australian and global equities, mortgages, cash and fixed interest, and Australian listed property. The company also provides specialist direct-to-client financial services for high net worth individuals that include fiduciary services, such as trust advice and services, custodial solutions, estate planning, estate administration, and executorial services; independent financial advice services with specialist and do-it-yourself' superannuation offerings; and philanthropic services. In addition, it offers corporate trustee and transaction support services, including trustee services for mortgage backed and other securitisation programs for major banks and non-bank financial institutions; mortgage services, including mortgage preparations, variations and discharges; post settlement servicing; regulatory compliance services for fund managers; custody, unit registry, and accounting services for property and mortgage funds; and trusteeships for corporate debt issues and infrastructure projects. The company is based in Sydney, Australia.",1870,"{'maxAge': 1, 'name': 'Ms. Alexandra Maria Altinger B.A., C.F.A., M.A.', 'title': 'Chief Exec. of Perpetual Asset Management - UK, Europe & Asia', 'fiscalYear': 2023, 'totalPay': 636956, 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,1,10,3,1693526400,1703980800,86400,2,20.51,20.8,20.6,20.98,20.51,20.8,20.6,20.98,2.17,0.1043,1694044800,2.1378,6.39,1.3506,29.295774,9.08297,823874,823874,487875,915529,915529,20.77,20.81,2340374272,19.97,34.8,2.2631993,23.9344,24.5025,1.2,0.058508046,AUD,2868438528,0.05705,104504854,112518000,0.029879998,0.27403998,112518000,21.392,0.97232604,1688083200,1719705600,1688083200,-0.232,59000000,0.71,2.29,-4.23,1:1,626313600,2.774,13.524,-0.17263323,0.14113986,0.65,1694044800,ASX,EQUITY,PPT.AX,PPT.AX,PERPETUAL FPO,Perpetual Limited,628470000,Australia/Sydney,AEST,4efe379e-8b0b-3c32-84c1-15c681ee4be6,finmb_875239,36000000,20.8,40.84,23.5,28.2,27.42,2.2,buy,10,263200000,2.374,212100000,825299968,1.095,1.519,1034099968,34.793,12.836,0.03052,0.03578,470100000,148312496,134800000,-0.591,0.751,0.45459998,0.20511,0.13432,AUD,
7,"Angel Place, Level 18",123 Pitt Street,Sydney,NSW,2000,Australia,61 2 9229 9000,61 2 8256 1461,https://www.perpetual.com.au,Asset Management,Asset Management,Financial Services,Financial Services,"Perpetual Limited is a publicly owned investment manager. The firm offers a range of financial products and services in Australia. The company provides funds management, portfolio management, financial planning, trustee, responsible entity and compliance services, executor services, investment administration and custody services, and mortgage processing services. It offers investment capabilities across a range of asset classes, including Australian and global equities, mortgages, cash and fixed interest, and Australian listed property. The company also provides specialist direct-to-client financial services for high net worth individuals that include fiduciary services, such as trust advice and services, custodial solutions, estate planning, estate administration, and executorial services; independent financial advice services with specialist and do-it-yourself' superannuation offerings; and philanthropic services. In addition, it offers corporate trustee and transaction support services, including trustee services for mortgage backed and other securitisation programs for major banks and non-bank financial institutions; mortgage services, including mortgage preparations, variations and discharges; post settlement servicing; regulatory compliance services for fund managers; custody, unit registry, and accounting services for property and mortgage funds; and trusteeships for corporate debt issues and infrastructure projects. The company is based in Sydney, Australia.",1870,"{'maxAge': 1, 'name': 'Ms. Susie  Reinhardt', 'title': 'Head of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,1,10,3,1693526400,1703980800,86400,2,20.51,20.8,20.6,20.98,20.51,20.8,20.6,20.98,2.17,0.1043,1694044800,2.1378,6.39,1.3506,29.295774,9.08297,823874,823874,487875,915529,915529,20.77,20.81,2340374272,19.97,34.8,2.2631993,23.9344,24.5025,1.2,0.058508046,AUD,2868438528,0.05705,104504854,112518000,0.029879998,0.27403998,112518000,21.392,0.97232604,1688083200,1719705600,1688083200,-0.232,59000000,0.71,2.29,-4.23,1:1,626313600,2.774,13.524,-0.17263323,0.14113986,0.65,1694044800,ASX,EQUITY,PPT.AX,PPT.AX,PERPETUAL FPO,Perpetual Limited,628470000,Australia/Sydney,AEST,4efe379e-8b0b-3c32-84c1-15c681ee4be6,finmb_875239,36000000,20.8,40.84,23.5,28.2,27.42,2.2,buy,10,263200000,2.374,212100000,825299968,1.095,1.519,1034099968,34.793,12.836,0.03052,0.03578,470100000,148312496,134800000,-0.591,0.751,0.45459998,0.20511,0.13432,AUD,
8,"Angel Place, Level 18",123 Pitt Street,Sydney,NSW,2000,Australia,61 2 9229 9000,61 2 8256 1461,https://www.perpetual.com.au,Asset Management,Asset Management,Financial Services,Financial Services,"Perpetual Limited is a publicly owned investment manager. The firm offers a range of financial products and services in Australia. The company provides funds management, portfolio management, financial planning, trustee, responsible entity and compliance services, executor services, investment administration and custody services, and mortgage processing services. It offers investment capabilities across a range of asset classes, including Australian and global equities, mortgages, cash and fixed interest, and Australian listed property. The company also provides specialist direct-to-client financial services for high net worth individuals that include fiduciary services, such as trust advice and services, custodial solutions, estate planning, estate administration, and executorial services; independent financial advice services with specialist and do-it-yourself' superannuation offerings; and philanthropic services. In addition, it offers corporate trustee and transaction support services, including trustee services for mortgage backed and other securitisation programs for major banks and non-bank financial institutions; mortgage services, including mortgage preparations, variations and discharges; post settlement servicing; regulatory compliance services for fund managers; custody, unit registry, and accounting services for property and mortgage funds; and trusteeships for corporate debt issues and infrastructure projects. The company is based in Sydney, Australia.",1870,"{'maxAge': 1, 'name': 'Ms. Kristen  Allen', 'title': 'Gen. Mang. of Corp. Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,1,10,3,1693526400,1703980800,86400,2,20.51,20.8,20.6,20.98,20.51,20.8,20.6,20.98,2.17,0.1043,1694044800,2.1378,6.39,1.3506,29.295774,9.08297,823874,823874,487875,915529,915529,20.77,20.81,2340374272,19.97,34.8,2.2631993,23.9344,24.5025,1.2,0.058508046,AUD,2868438528,0.05705,104504854,112518000,0.029879998,0.27403998,112518000,21.392,0.97232604,1688083200,1719705600,1688083200,-0.232,59000000,0.71,2.29,-4.23,1:1,626313600,2.774,13.524,-0.17263323,0.14113986,0.65,1694044800,ASX,EQUITY,PPT.AX,PPT.AX,PERPETUAL FPO,Perpetual Limited,628470000,Australia/Sydney,AEST,4efe379e-8b0b-3c32-84c1-15c681ee4be6,finmb_875239,36000000,20.8,40.84,23.5,28.2,27.42,2.2,buy,10,263200000,2.374,212100000,825299968,1.095,1.519,1034099968,34.793,12.836,0.03052,0.03578,470100000,148312496,134800000,-0.591,0.751,0.45459998,0.20511,0.13432,AUD,
9,"Angel Place, Level 18",123 Pitt Street,Sydney,NSW,2000,Australia,61 2 9229 9000,61 2 8256 1461,https://www.perpetual.com.au,Asset Management,Asset Management,Financial Services,Financial Services,"Perpetual Limited is a publicly owned investment manager. The firm offers a range of financial products and services in Australia. The company provides funds management, portfolio management, financial planning, trustee, responsible entity and compliance services, executor services, investment administration and custody services, and mortgage processing services. It offers investment capabilities across a range of asset classes, including Australian and global equities, mortgages, cash and fixed interest, and Australian listed property. The company also provides specialist direct-to-client financial services for high net worth individuals that include fiduciary services, such as trust advice and services, custodial solutions, estate planning, estate administration, and executorial services; independent financial advice services with specialist and do-it-yourself' superannuation offerings; and philanthropic services. In addition, it offers corporate trustee and transaction support services, including trustee services for mortgage backed and other securitisation programs for major banks and non-bank financial institutions; mortgage services, including mortgage preparations, variations and discharges; post settlement servicing; regulatory compliance services for fund managers; custody, unit registry, and accounting services for property and mortgage funds; and trusteeships for corporate debt issues and infrastructure projects. The company is based in Sydney, Australia.",1870,"{'maxAge': 1, 'name': 'Mr. Paul  Chasemore', 'title': 'Chief People Officer', 'fiscalYear': 2012, 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,1,10,3,1693526400,1703980800,86400,2,20.51,20.8,20.6,20.98,20.51,20.8,20.6,20.98,2.17,0.1043,1694044800,2.1378,6.39,1.3506,29.295774,9.08297,823874,823874,487875,915529,915529,20.77,20.81,2340374272,19.97,34.8,2.2631993,23.9344,24.5025,1.2,0.058508046,AUD,2868438528,0.05705,104504854,112518000,0.029879998,0.27403998,112518000,21.392,0.97232604,1688083200,1719705600,1688083200,-0.232,59000000,0.71,2.29,-4.23,1:1,626313600,2.774,13.524,-0.17263323,0.14113986,0.65,1694044800,ASX,EQUITY,PPT.AX,PPT.AX,PERPETUAL FPO,Perpetual Limited,628470000,Australia/Sydney,AEST,4efe379e-8b0b-3c32-84c1-15c681ee4be6,finmb_875239,36000000,20.8,40.84,23.5,28.2,27.42,2.2,buy,10,263200000,2.374,212100000,825299968,1.095,1.519,1034099968,34.793,12.836,0.03052,0.03578,470100000,148312496,134800000,-0.591,0.751,0.45459998,0.20511,0.13432,AUD,
