,address1,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,21 Ha’arba’a Street,Tel Aviv,6473921,Israel,972 3 541 3131,972 3 541 3144,https://www.redhillbio.com,Drug Manufacturers—Specialty & Generic,Healthcare,"RedHill Biopharma Ltd., a specialty biopharmaceutical company, primarily focuses on gastrointestinal and infectious diseases. The company promotes gastrointestinal drugs, including Movantik for opioid-induced constipation in adults with chronic non-cancer pain; Talicia for the treatment of Helicobacter pylori infection in adults; and Aemcolo for the treatment of travelers' diarrhea in adults. Its clinical late-stage investigational development programs include RHB-204, which is in Phase 3 study for pulmonary nontuberculous mycobacteria infections; opaganib (Yeliva), an SK2 selective inhibitor, which has completed Phase 2 study to treat patients with SARS-CoV-2 severe COVID-19 pneumonia, in Phase 2 study to treat advanced unresectable cholangiocarcinoma, and in investigator-sponsored Phase 2 study to treat prostate cancer; RHB-107, which is in Phase 2/3 study to treat outpatients infected with COVID-19 disease, and preclinical evaluation study to treat advanced unresectable cholangiocarcinoma, as well as has completed Phase 2 study to treat gastrointestinal and other solid tumors; and RHB-104, which is in Phase 3 studies for Crohn's disease; RHB-102 (Bekinda) that is in Phase 3 studies for acute gastroenteritis and gastritis. RedHill Biopharma Ltd. was incorporated in 2009 and is headquartered in Tel Aviv, Israel.",113,"{'maxAge': 1, 'name': 'Mr. Dror  Ben-Asher', 'age': 56, 'title': 'Co-Founder, CEO & Director', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 734594, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.83,0.84,0.8005,0.8597,0.83,0.84,0.8005,0.8597,0.0,2.001383,28.333334,52197,52197,225341,43130,43130,0.8,0.85,2200,1000,4976350,0.79,38.4,0.13921808,1.10614,4.32223,0.0,0.0,USD,-2014396,0.32374,2873077,5854530,7699,26628,1690761600,1693440000,0.0013,0.0437,0.111140005,0.05,0.0013,1.086,0.7826888,1672444800,1703980800,1688083200,11572000,-8.4,0.03,-0.056,0.084,NGM,EQUITY,RDHL,RDHL,Redhill Biopharma Ltd.,RedHill Biopharma Ltd.,1357569000,America/New_York,EDT,-14400000,0.85,40.0,40.0,40.0,40.0,2.0,buy,1,7014000,2.195,-24068000,2284000,0.352,0.96,35745000,65.802,14.516,-0.1717,-38703624,-26224000,-0.902,0.42742002,-0.67332,-0.78008,USD,
1,21 Ha’arba’a Street,Tel Aviv,6473921,Israel,972 3 541 3131,972 3 541 3144,https://www.redhillbio.com,Drug Manufacturers—Specialty & Generic,Healthcare,"RedHill Biopharma Ltd., a specialty biopharmaceutical company, primarily focuses on gastrointestinal and infectious diseases. The company promotes gastrointestinal drugs, including Movantik for opioid-induced constipation in adults with chronic non-cancer pain; Talicia for the treatment of Helicobacter pylori infection in adults; and Aemcolo for the treatment of travelers' diarrhea in adults. Its clinical late-stage investigational development programs include RHB-204, which is in Phase 3 study for pulmonary nontuberculous mycobacteria infections; opaganib (Yeliva), an SK2 selective inhibitor, which has completed Phase 2 study to treat patients with SARS-CoV-2 severe COVID-19 pneumonia, in Phase 2 study to treat advanced unresectable cholangiocarcinoma, and in investigator-sponsored Phase 2 study to treat prostate cancer; RHB-107, which is in Phase 2/3 study to treat outpatients infected with COVID-19 disease, and preclinical evaluation study to treat advanced unresectable cholangiocarcinoma, as well as has completed Phase 2 study to treat gastrointestinal and other solid tumors; and RHB-104, which is in Phase 3 studies for Crohn's disease; RHB-102 (Bekinda) that is in Phase 3 studies for acute gastroenteritis and gastritis. RedHill Biopharma Ltd. was incorporated in 2009 and is headquartered in Tel Aviv, Israel.",113,"{'maxAge': 1, 'name': 'Mr. Gilead  Raday MPhil, MSc', 'age': 47, 'title': 'Chief Operating Officer', 'yearBorn': 1975, 'fiscalYear': 2022, 'totalPay': 445385, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.83,0.84,0.8005,0.8597,0.83,0.84,0.8005,0.8597,0.0,2.001383,28.333334,52197,52197,225341,43130,43130,0.8,0.85,2200,1000,4976350,0.79,38.4,0.13921808,1.10614,4.32223,0.0,0.0,USD,-2014396,0.32374,2873077,5854530,7699,26628,1690761600,1693440000,0.0013,0.0437,0.111140005,0.05,0.0013,1.086,0.7826888,1672444800,1703980800,1688083200,11572000,-8.4,0.03,-0.056,0.084,NGM,EQUITY,RDHL,RDHL,Redhill Biopharma Ltd.,RedHill Biopharma Ltd.,1357569000,America/New_York,EDT,-14400000,0.85,40.0,40.0,40.0,40.0,2.0,buy,1,7014000,2.195,-24068000,2284000,0.352,0.96,35745000,65.802,14.516,-0.1717,-38703624,-26224000,-0.902,0.42742002,-0.67332,-0.78008,USD,
2,21 Ha’arba’a Street,Tel Aviv,6473921,Israel,972 3 541 3131,972 3 541 3144,https://www.redhillbio.com,Drug Manufacturers—Specialty & Generic,Healthcare,"RedHill Biopharma Ltd., a specialty biopharmaceutical company, primarily focuses on gastrointestinal and infectious diseases. The company promotes gastrointestinal drugs, including Movantik for opioid-induced constipation in adults with chronic non-cancer pain; Talicia for the treatment of Helicobacter pylori infection in adults; and Aemcolo for the treatment of travelers' diarrhea in adults. Its clinical late-stage investigational development programs include RHB-204, which is in Phase 3 study for pulmonary nontuberculous mycobacteria infections; opaganib (Yeliva), an SK2 selective inhibitor, which has completed Phase 2 study to treat patients with SARS-CoV-2 severe COVID-19 pneumonia, in Phase 2 study to treat advanced unresectable cholangiocarcinoma, and in investigator-sponsored Phase 2 study to treat prostate cancer; RHB-107, which is in Phase 2/3 study to treat outpatients infected with COVID-19 disease, and preclinical evaluation study to treat advanced unresectable cholangiocarcinoma, as well as has completed Phase 2 study to treat gastrointestinal and other solid tumors; and RHB-104, which is in Phase 3 studies for Crohn's disease; RHB-102 (Bekinda) that is in Phase 3 studies for acute gastroenteritis and gastritis. RedHill Biopharma Ltd. was incorporated in 2009 and is headquartered in Tel Aviv, Israel.",113,"{'maxAge': 1, 'name': 'Mr. Adi  Frish', 'age': 52, 'title': 'Chief Corp. & Bus. Devel. Officer', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 419502, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.83,0.84,0.8005,0.8597,0.83,0.84,0.8005,0.8597,0.0,2.001383,28.333334,52197,52197,225341,43130,43130,0.8,0.85,2200,1000,4976350,0.79,38.4,0.13921808,1.10614,4.32223,0.0,0.0,USD,-2014396,0.32374,2873077,5854530,7699,26628,1690761600,1693440000,0.0013,0.0437,0.111140005,0.05,0.0013,1.086,0.7826888,1672444800,1703980800,1688083200,11572000,-8.4,0.03,-0.056,0.084,NGM,EQUITY,RDHL,RDHL,Redhill Biopharma Ltd.,RedHill Biopharma Ltd.,1357569000,America/New_York,EDT,-14400000,0.85,40.0,40.0,40.0,40.0,2.0,buy,1,7014000,2.195,-24068000,2284000,0.352,0.96,35745000,65.802,14.516,-0.1717,-38703624,-26224000,-0.902,0.42742002,-0.67332,-0.78008,USD,
3,21 Ha’arba’a Street,Tel Aviv,6473921,Israel,972 3 541 3131,972 3 541 3144,https://www.redhillbio.com,Drug Manufacturers—Specialty & Generic,Healthcare,"RedHill Biopharma Ltd., a specialty biopharmaceutical company, primarily focuses on gastrointestinal and infectious diseases. The company promotes gastrointestinal drugs, including Movantik for opioid-induced constipation in adults with chronic non-cancer pain; Talicia for the treatment of Helicobacter pylori infection in adults; and Aemcolo for the treatment of travelers' diarrhea in adults. Its clinical late-stage investigational development programs include RHB-204, which is in Phase 3 study for pulmonary nontuberculous mycobacteria infections; opaganib (Yeliva), an SK2 selective inhibitor, which has completed Phase 2 study to treat patients with SARS-CoV-2 severe COVID-19 pneumonia, in Phase 2 study to treat advanced unresectable cholangiocarcinoma, and in investigator-sponsored Phase 2 study to treat prostate cancer; RHB-107, which is in Phase 2/3 study to treat outpatients infected with COVID-19 disease, and preclinical evaluation study to treat advanced unresectable cholangiocarcinoma, as well as has completed Phase 2 study to treat gastrointestinal and other solid tumors; and RHB-104, which is in Phase 3 studies for Crohn's disease; RHB-102 (Bekinda) that is in Phase 3 studies for acute gastroenteritis and gastritis. RedHill Biopharma Ltd. was incorporated in 2009 and is headquartered in Tel Aviv, Israel.",113,"{'maxAge': 1, 'name': 'Mr. Rick D. Scruggs', 'age': 62, 'title': 'Chief Commercial Officer, Pres of RedHill Biopharma Inc. & Director', 'yearBorn': 1960, 'fiscalYear': 2022, 'totalPay': 607046, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.83,0.84,0.8005,0.8597,0.83,0.84,0.8005,0.8597,0.0,2.001383,28.333334,52197,52197,225341,43130,43130,0.8,0.85,2200,1000,4976350,0.79,38.4,0.13921808,1.10614,4.32223,0.0,0.0,USD,-2014396,0.32374,2873077,5854530,7699,26628,1690761600,1693440000,0.0013,0.0437,0.111140005,0.05,0.0013,1.086,0.7826888,1672444800,1703980800,1688083200,11572000,-8.4,0.03,-0.056,0.084,NGM,EQUITY,RDHL,RDHL,Redhill Biopharma Ltd.,RedHill Biopharma Ltd.,1357569000,America/New_York,EDT,-14400000,0.85,40.0,40.0,40.0,40.0,2.0,buy,1,7014000,2.195,-24068000,2284000,0.352,0.96,35745000,65.802,14.516,-0.1717,-38703624,-26224000,-0.902,0.42742002,-0.67332,-0.78008,USD,
4,21 Ha’arba’a Street,Tel Aviv,6473921,Israel,972 3 541 3131,972 3 541 3144,https://www.redhillbio.com,Drug Manufacturers—Specialty & Generic,Healthcare,"RedHill Biopharma Ltd., a specialty biopharmaceutical company, primarily focuses on gastrointestinal and infectious diseases. The company promotes gastrointestinal drugs, including Movantik for opioid-induced constipation in adults with chronic non-cancer pain; Talicia for the treatment of Helicobacter pylori infection in adults; and Aemcolo for the treatment of travelers' diarrhea in adults. Its clinical late-stage investigational development programs include RHB-204, which is in Phase 3 study for pulmonary nontuberculous mycobacteria infections; opaganib (Yeliva), an SK2 selective inhibitor, which has completed Phase 2 study to treat patients with SARS-CoV-2 severe COVID-19 pneumonia, in Phase 2 study to treat advanced unresectable cholangiocarcinoma, and in investigator-sponsored Phase 2 study to treat prostate cancer; RHB-107, which is in Phase 2/3 study to treat outpatients infected with COVID-19 disease, and preclinical evaluation study to treat advanced unresectable cholangiocarcinoma, as well as has completed Phase 2 study to treat gastrointestinal and other solid tumors; and RHB-104, which is in Phase 3 studies for Crohn's disease; RHB-102 (Bekinda) that is in Phase 3 studies for acute gastroenteritis and gastritis. RedHill Biopharma Ltd. was incorporated in 2009 and is headquartered in Tel Aviv, Israel.",113,"{'maxAge': 1, 'name': 'Mr. Razi  Ingber', 'age': 38, 'title': 'Chief Financial Officer', 'yearBorn': 1984, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.83,0.84,0.8005,0.8597,0.83,0.84,0.8005,0.8597,0.0,2.001383,28.333334,52197,52197,225341,43130,43130,0.8,0.85,2200,1000,4976350,0.79,38.4,0.13921808,1.10614,4.32223,0.0,0.0,USD,-2014396,0.32374,2873077,5854530,7699,26628,1690761600,1693440000,0.0013,0.0437,0.111140005,0.05,0.0013,1.086,0.7826888,1672444800,1703980800,1688083200,11572000,-8.4,0.03,-0.056,0.084,NGM,EQUITY,RDHL,RDHL,Redhill Biopharma Ltd.,RedHill Biopharma Ltd.,1357569000,America/New_York,EDT,-14400000,0.85,40.0,40.0,40.0,40.0,2.0,buy,1,7014000,2.195,-24068000,2284000,0.352,0.96,35745000,65.802,14.516,-0.1717,-38703624,-26224000,-0.902,0.42742002,-0.67332,-0.78008,USD,
5,21 Ha’arba’a Street,Tel Aviv,6473921,Israel,972 3 541 3131,972 3 541 3144,https://www.redhillbio.com,Drug Manufacturers—Specialty & Generic,Healthcare,"RedHill Biopharma Ltd., a specialty biopharmaceutical company, primarily focuses on gastrointestinal and infectious diseases. The company promotes gastrointestinal drugs, including Movantik for opioid-induced constipation in adults with chronic non-cancer pain; Talicia for the treatment of Helicobacter pylori infection in adults; and Aemcolo for the treatment of travelers' diarrhea in adults. Its clinical late-stage investigational development programs include RHB-204, which is in Phase 3 study for pulmonary nontuberculous mycobacteria infections; opaganib (Yeliva), an SK2 selective inhibitor, which has completed Phase 2 study to treat patients with SARS-CoV-2 severe COVID-19 pneumonia, in Phase 2 study to treat advanced unresectable cholangiocarcinoma, and in investigator-sponsored Phase 2 study to treat prostate cancer; RHB-107, which is in Phase 2/3 study to treat outpatients infected with COVID-19 disease, and preclinical evaluation study to treat advanced unresectable cholangiocarcinoma, as well as has completed Phase 2 study to treat gastrointestinal and other solid tumors; and RHB-104, which is in Phase 3 studies for Crohn's disease; RHB-102 (Bekinda) that is in Phase 3 studies for acute gastroenteritis and gastritis. RedHill Biopharma Ltd. was incorporated in 2009 and is headquartered in Tel Aviv, Israel.",113,"{'maxAge': 1, 'name': 'Ms. Alexandra  Okmian', 'title': 'Sr. Bus. Devel. & Investor Relations Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.83,0.84,0.8005,0.8597,0.83,0.84,0.8005,0.8597,0.0,2.001383,28.333334,52197,52197,225341,43130,43130,0.8,0.85,2200,1000,4976350,0.79,38.4,0.13921808,1.10614,4.32223,0.0,0.0,USD,-2014396,0.32374,2873077,5854530,7699,26628,1690761600,1693440000,0.0013,0.0437,0.111140005,0.05,0.0013,1.086,0.7826888,1672444800,1703980800,1688083200,11572000,-8.4,0.03,-0.056,0.084,NGM,EQUITY,RDHL,RDHL,Redhill Biopharma Ltd.,RedHill Biopharma Ltd.,1357569000,America/New_York,EDT,-14400000,0.85,40.0,40.0,40.0,40.0,2.0,buy,1,7014000,2.195,-24068000,2284000,0.352,0.96,35745000,65.802,14.516,-0.1717,-38703624,-26224000,-0.902,0.42742002,-0.67332,-0.78008,USD,
6,21 Ha’arba’a Street,Tel Aviv,6473921,Israel,972 3 541 3131,972 3 541 3144,https://www.redhillbio.com,Drug Manufacturers—Specialty & Generic,Healthcare,"RedHill Biopharma Ltd., a specialty biopharmaceutical company, primarily focuses on gastrointestinal and infectious diseases. The company promotes gastrointestinal drugs, including Movantik for opioid-induced constipation in adults with chronic non-cancer pain; Talicia for the treatment of Helicobacter pylori infection in adults; and Aemcolo for the treatment of travelers' diarrhea in adults. Its clinical late-stage investigational development programs include RHB-204, which is in Phase 3 study for pulmonary nontuberculous mycobacteria infections; opaganib (Yeliva), an SK2 selective inhibitor, which has completed Phase 2 study to treat patients with SARS-CoV-2 severe COVID-19 pneumonia, in Phase 2 study to treat advanced unresectable cholangiocarcinoma, and in investigator-sponsored Phase 2 study to treat prostate cancer; RHB-107, which is in Phase 2/3 study to treat outpatients infected with COVID-19 disease, and preclinical evaluation study to treat advanced unresectable cholangiocarcinoma, as well as has completed Phase 2 study to treat gastrointestinal and other solid tumors; and RHB-104, which is in Phase 3 studies for Crohn's disease; RHB-102 (Bekinda) that is in Phase 3 studies for acute gastroenteritis and gastritis. RedHill Biopharma Ltd. was incorporated in 2009 and is headquartered in Tel Aviv, Israel.",113,"{'maxAge': 1, 'name': 'Dr. Reza  Fathi Ph.D.', 'age': 67, 'title': 'Sr. VP of R&D', 'yearBorn': 1955, 'fiscalYear': 2017, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.83,0.84,0.8005,0.8597,0.83,0.84,0.8005,0.8597,0.0,2.001383,28.333334,52197,52197,225341,43130,43130,0.8,0.85,2200,1000,4976350,0.79,38.4,0.13921808,1.10614,4.32223,0.0,0.0,USD,-2014396,0.32374,2873077,5854530,7699,26628,1690761600,1693440000,0.0013,0.0437,0.111140005,0.05,0.0013,1.086,0.7826888,1672444800,1703980800,1688083200,11572000,-8.4,0.03,-0.056,0.084,NGM,EQUITY,RDHL,RDHL,Redhill Biopharma Ltd.,RedHill Biopharma Ltd.,1357569000,America/New_York,EDT,-14400000,0.85,40.0,40.0,40.0,40.0,2.0,buy,1,7014000,2.195,-24068000,2284000,0.352,0.96,35745000,65.802,14.516,-0.1717,-38703624,-26224000,-0.902,0.42742002,-0.67332,-0.78008,USD,
7,21 Ha’arba’a Street,Tel Aviv,6473921,Israel,972 3 541 3131,972 3 541 3144,https://www.redhillbio.com,Drug Manufacturers—Specialty & Generic,Healthcare,"RedHill Biopharma Ltd., a specialty biopharmaceutical company, primarily focuses on gastrointestinal and infectious diseases. The company promotes gastrointestinal drugs, including Movantik for opioid-induced constipation in adults with chronic non-cancer pain; Talicia for the treatment of Helicobacter pylori infection in adults; and Aemcolo for the treatment of travelers' diarrhea in adults. Its clinical late-stage investigational development programs include RHB-204, which is in Phase 3 study for pulmonary nontuberculous mycobacteria infections; opaganib (Yeliva), an SK2 selective inhibitor, which has completed Phase 2 study to treat patients with SARS-CoV-2 severe COVID-19 pneumonia, in Phase 2 study to treat advanced unresectable cholangiocarcinoma, and in investigator-sponsored Phase 2 study to treat prostate cancer; RHB-107, which is in Phase 2/3 study to treat outpatients infected with COVID-19 disease, and preclinical evaluation study to treat advanced unresectable cholangiocarcinoma, as well as has completed Phase 2 study to treat gastrointestinal and other solid tumors; and RHB-104, which is in Phase 3 studies for Crohn's disease; RHB-102 (Bekinda) that is in Phase 3 studies for acute gastroenteritis and gastritis. RedHill Biopharma Ltd. was incorporated in 2009 and is headquartered in Tel Aviv, Israel.",113,"{'maxAge': 1, 'name': 'Mr. Guy  Goldberg', 'age': 46, 'title': 'Chief Bus. Officer', 'yearBorn': 1976, 'fiscalYear': 2019, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.83,0.84,0.8005,0.8597,0.83,0.84,0.8005,0.8597,0.0,2.001383,28.333334,52197,52197,225341,43130,43130,0.8,0.85,2200,1000,4976350,0.79,38.4,0.13921808,1.10614,4.32223,0.0,0.0,USD,-2014396,0.32374,2873077,5854530,7699,26628,1690761600,1693440000,0.0013,0.0437,0.111140005,0.05,0.0013,1.086,0.7826888,1672444800,1703980800,1688083200,11572000,-8.4,0.03,-0.056,0.084,NGM,EQUITY,RDHL,RDHL,Redhill Biopharma Ltd.,RedHill Biopharma Ltd.,1357569000,America/New_York,EDT,-14400000,0.85,40.0,40.0,40.0,40.0,2.0,buy,1,7014000,2.195,-24068000,2284000,0.352,0.96,35745000,65.802,14.516,-0.1717,-38703624,-26224000,-0.902,0.42742002,-0.67332,-0.78008,USD,
8,21 Ha’arba’a Street,Tel Aviv,6473921,Israel,972 3 541 3131,972 3 541 3144,https://www.redhillbio.com,Drug Manufacturers—Specialty & Generic,Healthcare,"RedHill Biopharma Ltd., a specialty biopharmaceutical company, primarily focuses on gastrointestinal and infectious diseases. The company promotes gastrointestinal drugs, including Movantik for opioid-induced constipation in adults with chronic non-cancer pain; Talicia for the treatment of Helicobacter pylori infection in adults; and Aemcolo for the treatment of travelers' diarrhea in adults. Its clinical late-stage investigational development programs include RHB-204, which is in Phase 3 study for pulmonary nontuberculous mycobacteria infections; opaganib (Yeliva), an SK2 selective inhibitor, which has completed Phase 2 study to treat patients with SARS-CoV-2 severe COVID-19 pneumonia, in Phase 2 study to treat advanced unresectable cholangiocarcinoma, and in investigator-sponsored Phase 2 study to treat prostate cancer; RHB-107, which is in Phase 2/3 study to treat outpatients infected with COVID-19 disease, and preclinical evaluation study to treat advanced unresectable cholangiocarcinoma, as well as has completed Phase 2 study to treat gastrointestinal and other solid tumors; and RHB-104, which is in Phase 3 studies for Crohn's disease; RHB-102 (Bekinda) that is in Phase 3 studies for acute gastroenteritis and gastritis. RedHill Biopharma Ltd. was incorporated in 2009 and is headquartered in Tel Aviv, Israel.",113,"{'maxAge': 1, 'name': 'Dr. June S. Almenoff F.A.C.P., M.D., Ph.D.', 'age': 65, 'title': 'Chief Medical Officer', 'yearBorn': 1957, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.83,0.84,0.8005,0.8597,0.83,0.84,0.8005,0.8597,0.0,2.001383,28.333334,52197,52197,225341,43130,43130,0.8,0.85,2200,1000,4976350,0.79,38.4,0.13921808,1.10614,4.32223,0.0,0.0,USD,-2014396,0.32374,2873077,5854530,7699,26628,1690761600,1693440000,0.0013,0.0437,0.111140005,0.05,0.0013,1.086,0.7826888,1672444800,1703980800,1688083200,11572000,-8.4,0.03,-0.056,0.084,NGM,EQUITY,RDHL,RDHL,Redhill Biopharma Ltd.,RedHill Biopharma Ltd.,1357569000,America/New_York,EDT,-14400000,0.85,40.0,40.0,40.0,40.0,2.0,buy,1,7014000,2.195,-24068000,2284000,0.352,0.96,35745000,65.802,14.516,-0.1717,-38703624,-26224000,-0.902,0.42742002,-0.67332,-0.78008,USD,
9,21 Ha’arba’a Street,Tel Aviv,6473921,Israel,972 3 541 3131,972 3 541 3144,https://www.redhillbio.com,Drug Manufacturers—Specialty & Generic,Healthcare,"RedHill Biopharma Ltd., a specialty biopharmaceutical company, primarily focuses on gastrointestinal and infectious diseases. The company promotes gastrointestinal drugs, including Movantik for opioid-induced constipation in adults with chronic non-cancer pain; Talicia for the treatment of Helicobacter pylori infection in adults; and Aemcolo for the treatment of travelers' diarrhea in adults. Its clinical late-stage investigational development programs include RHB-204, which is in Phase 3 study for pulmonary nontuberculous mycobacteria infections; opaganib (Yeliva), an SK2 selective inhibitor, which has completed Phase 2 study to treat patients with SARS-CoV-2 severe COVID-19 pneumonia, in Phase 2 study to treat advanced unresectable cholangiocarcinoma, and in investigator-sponsored Phase 2 study to treat prostate cancer; RHB-107, which is in Phase 2/3 study to treat outpatients infected with COVID-19 disease, and preclinical evaluation study to treat advanced unresectable cholangiocarcinoma, as well as has completed Phase 2 study to treat gastrointestinal and other solid tumors; and RHB-104, which is in Phase 3 studies for Crohn's disease; RHB-102 (Bekinda) that is in Phase 3 studies for acute gastroenteritis and gastritis. RedHill Biopharma Ltd. was incorporated in 2009 and is headquartered in Tel Aviv, Israel.",113,"{'maxAge': 1, 'name': 'Ms. Patricia  Anderson B.Sc. RAC', 'title': 'Sr. VP of Regulatory Affairs', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.83,0.84,0.8005,0.8597,0.83,0.84,0.8005,0.8597,0.0,2.001383,28.333334,52197,52197,225341,43130,43130,0.8,0.85,2200,1000,4976350,0.79,38.4,0.13921808,1.10614,4.32223,0.0,0.0,USD,-2014396,0.32374,2873077,5854530,7699,26628,1690761600,1693440000,0.0013,0.0437,0.111140005,0.05,0.0013,1.086,0.7826888,1672444800,1703980800,1688083200,11572000,-8.4,0.03,-0.056,0.084,NGM,EQUITY,RDHL,RDHL,Redhill Biopharma Ltd.,RedHill Biopharma Ltd.,1357569000,America/New_York,EDT,-14400000,0.85,40.0,40.0,40.0,40.0,2.0,buy,1,7014000,2.195,-24068000,2284000,0.352,0.96,35745000,65.802,14.516,-0.1717,-38703624,-26224000,-0.902,0.42742002,-0.67332,-0.78008,USD,
