,address1,address2,city,zip,country,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Par-la-Ville Place,14 Par-la-Ville Road,Hamilton,HM 08,Bermuda,https://www.seadrill.com,Oil & Gas Drilling,Energy,"Seadrill Limited provides offshore contract drilling services to the oil and gas industry worldwide. It operates in three segments: Harsh Environment, Floaters, and Jack-ups Rigs. The company owns and operates drill ships, semi-submersible rigs, and jack-up rigs for operations in shallow and ultra-deep-water in benign and harsh environments. It serves oil super-majors, state-owned national oil companies, and independent oil and gas companies. Seadrill Limited was formerly known as Seadrill 2021 Limited. The company was incorporated in 2005 and is headquartered in Hamilton, Bermuda.",2576,"{'maxAge': 1, 'name': 'Mr. Simon William Johnson', 'age': 51, 'title': 'Pres & CEO', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",1451520000,86400,2,47.29,47.35,47.3,48.25,47.29,47.35,47.3,48.25,0.0,0.7778502,11.746305,846239,846239,1073072,845220,845220,46.35,49.8,1200,800,3808833024,24.51,50.725,3.332312,47.0568,39.52705,0.0,0.0,USD,3758833408,0.32371,63943518,79866496,3088957,3203506,1690761600,1693440000,0.0387,0.13909,0.65709996,3.9,0.041500002,38.552,1.2370305,1672444800,1703980800,1688083200,96000000,61.31,4.06,3.289,11.055,NYQ,EQUITY,SDRL,SDRL,Seadrill Limited,Seadrill Limited,1665754200,America/New_York,EDT,-14400000,47.69,60.0,50.0,55.0,55.0,2.0,buy,2,412000000,5.159,340000000,362000000,1.797,3.11,1143000064,11.757,19.899,0.03304,0.04221,277000000,-15375000,131000000,0.672,0.34296,0.29746,0.16098,USD,
1,Par-la-Ville Place,14 Par-la-Ville Road,Hamilton,HM 08,Bermuda,https://www.seadrill.com,Oil & Gas Drilling,Energy,"Seadrill Limited provides offshore contract drilling services to the oil and gas industry worldwide. It operates in three segments: Harsh Environment, Floaters, and Jack-ups Rigs. The company owns and operates drill ships, semi-submersible rigs, and jack-up rigs for operations in shallow and ultra-deep-water in benign and harsh environments. It serves oil super-majors, state-owned national oil companies, and independent oil and gas companies. Seadrill Limited was formerly known as Seadrill 2021 Limited. The company was incorporated in 2005 and is headquartered in Hamilton, Bermuda.",2576,"{'maxAge': 1, 'name': 'Mr. Grant Russe Creed', 'age': 41, 'title': 'Exec. VP & CFO', 'yearBorn': 1981, 'exercisedValue': 0, 'unexercisedValue': 0}",1451520000,86400,2,47.29,47.35,47.3,48.25,47.29,47.35,47.3,48.25,0.0,0.7778502,11.746305,846239,846239,1073072,845220,845220,46.35,49.8,1200,800,3808833024,24.51,50.725,3.332312,47.0568,39.52705,0.0,0.0,USD,3758833408,0.32371,63943518,79866496,3088957,3203506,1690761600,1693440000,0.0387,0.13909,0.65709996,3.9,0.041500002,38.552,1.2370305,1672444800,1703980800,1688083200,96000000,61.31,4.06,3.289,11.055,NYQ,EQUITY,SDRL,SDRL,Seadrill Limited,Seadrill Limited,1665754200,America/New_York,EDT,-14400000,47.69,60.0,50.0,55.0,55.0,2.0,buy,2,412000000,5.159,340000000,362000000,1.797,3.11,1143000064,11.757,19.899,0.03304,0.04221,277000000,-15375000,131000000,0.672,0.34296,0.29746,0.16098,USD,
2,Par-la-Ville Place,14 Par-la-Ville Road,Hamilton,HM 08,Bermuda,https://www.seadrill.com,Oil & Gas Drilling,Energy,"Seadrill Limited provides offshore contract drilling services to the oil and gas industry worldwide. It operates in three segments: Harsh Environment, Floaters, and Jack-ups Rigs. The company owns and operates drill ships, semi-submersible rigs, and jack-up rigs for operations in shallow and ultra-deep-water in benign and harsh environments. It serves oil super-majors, state-owned national oil companies, and independent oil and gas companies. Seadrill Limited was formerly known as Seadrill 2021 Limited. The company was incorporated in 2005 and is headquartered in Hamilton, Bermuda.",2576,"{'maxAge': 1, 'name': 'Mr. Leif Olaf Nelson', 'age': 47, 'title': 'Exec. VP, Chief Operating & Technology Officer', 'yearBorn': 1975, 'fiscalYear': 2015, 'exercisedValue': 0, 'unexercisedValue': 0}",1451520000,86400,2,47.29,47.35,47.3,48.25,47.29,47.35,47.3,48.25,0.0,0.7778502,11.746305,846239,846239,1073072,845220,845220,46.35,49.8,1200,800,3808833024,24.51,50.725,3.332312,47.0568,39.52705,0.0,0.0,USD,3758833408,0.32371,63943518,79866496,3088957,3203506,1690761600,1693440000,0.0387,0.13909,0.65709996,3.9,0.041500002,38.552,1.2370305,1672444800,1703980800,1688083200,96000000,61.31,4.06,3.289,11.055,NYQ,EQUITY,SDRL,SDRL,Seadrill Limited,Seadrill Limited,1665754200,America/New_York,EDT,-14400000,47.69,60.0,50.0,55.0,55.0,2.0,buy,2,412000000,5.159,340000000,362000000,1.797,3.11,1143000064,11.757,19.899,0.03304,0.04221,277000000,-15375000,131000000,0.672,0.34296,0.29746,0.16098,USD,
3,Par-la-Ville Place,14 Par-la-Ville Road,Hamilton,HM 08,Bermuda,https://www.seadrill.com,Oil & Gas Drilling,Energy,"Seadrill Limited provides offshore contract drilling services to the oil and gas industry worldwide. It operates in three segments: Harsh Environment, Floaters, and Jack-ups Rigs. The company owns and operates drill ships, semi-submersible rigs, and jack-up rigs for operations in shallow and ultra-deep-water in benign and harsh environments. It serves oil super-majors, state-owned national oil companies, and independent oil and gas companies. Seadrill Limited was formerly known as Seadrill 2021 Limited. The company was incorporated in 2005 and is headquartered in Hamilton, Bermuda.",2576,"{'maxAge': 1, 'name': 'Ms. Emily  Li', 'title': 'Head of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",1451520000,86400,2,47.29,47.35,47.3,48.25,47.29,47.35,47.3,48.25,0.0,0.7778502,11.746305,846239,846239,1073072,845220,845220,46.35,49.8,1200,800,3808833024,24.51,50.725,3.332312,47.0568,39.52705,0.0,0.0,USD,3758833408,0.32371,63943518,79866496,3088957,3203506,1690761600,1693440000,0.0387,0.13909,0.65709996,3.9,0.041500002,38.552,1.2370305,1672444800,1703980800,1688083200,96000000,61.31,4.06,3.289,11.055,NYQ,EQUITY,SDRL,SDRL,Seadrill Limited,Seadrill Limited,1665754200,America/New_York,EDT,-14400000,47.69,60.0,50.0,55.0,55.0,2.0,buy,2,412000000,5.159,340000000,362000000,1.797,3.11,1143000064,11.757,19.899,0.03304,0.04221,277000000,-15375000,131000000,0.672,0.34296,0.29746,0.16098,USD,
4,Par-la-Ville Place,14 Par-la-Ville Road,Hamilton,HM 08,Bermuda,https://www.seadrill.com,Oil & Gas Drilling,Energy,"Seadrill Limited provides offshore contract drilling services to the oil and gas industry worldwide. It operates in three segments: Harsh Environment, Floaters, and Jack-ups Rigs. The company owns and operates drill ships, semi-submersible rigs, and jack-up rigs for operations in shallow and ultra-deep-water in benign and harsh environments. It serves oil super-majors, state-owned national oil companies, and independent oil and gas companies. Seadrill Limited was formerly known as Seadrill 2021 Limited. The company was incorporated in 2005 and is headquartered in Hamilton, Bermuda.",2576,"{'maxAge': 1, 'name': 'Mr. Todd D. Strickler J.D.', 'age': 44, 'title': 'Sr. VP & Gen. Counsel', 'yearBorn': 1978, 'exercisedValue': 0, 'unexercisedValue': 0}",1451520000,86400,2,47.29,47.35,47.3,48.25,47.29,47.35,47.3,48.25,0.0,0.7778502,11.746305,846239,846239,1073072,845220,845220,46.35,49.8,1200,800,3808833024,24.51,50.725,3.332312,47.0568,39.52705,0.0,0.0,USD,3758833408,0.32371,63943518,79866496,3088957,3203506,1690761600,1693440000,0.0387,0.13909,0.65709996,3.9,0.041500002,38.552,1.2370305,1672444800,1703980800,1688083200,96000000,61.31,4.06,3.289,11.055,NYQ,EQUITY,SDRL,SDRL,Seadrill Limited,Seadrill Limited,1665754200,America/New_York,EDT,-14400000,47.69,60.0,50.0,55.0,55.0,2.0,buy,2,412000000,5.159,340000000,362000000,1.797,3.11,1143000064,11.757,19.899,0.03304,0.04221,277000000,-15375000,131000000,0.672,0.34296,0.29746,0.16098,USD,
5,Par-la-Ville Place,14 Par-la-Ville Road,Hamilton,HM 08,Bermuda,https://www.seadrill.com,Oil & Gas Drilling,Energy,"Seadrill Limited provides offshore contract drilling services to the oil and gas industry worldwide. It operates in three segments: Harsh Environment, Floaters, and Jack-ups Rigs. The company owns and operates drill ships, semi-submersible rigs, and jack-up rigs for operations in shallow and ultra-deep-water in benign and harsh environments. It serves oil super-majors, state-owned national oil companies, and independent oil and gas companies. Seadrill Limited was formerly known as Seadrill 2021 Limited. The company was incorporated in 2005 and is headquartered in Hamilton, Bermuda.",2576,"{'maxAge': 1, 'name': 'Sara  Dunne', 'title': 'Director of Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",1451520000,86400,2,47.29,47.35,47.3,48.25,47.29,47.35,47.3,48.25,0.0,0.7778502,11.746305,846239,846239,1073072,845220,845220,46.35,49.8,1200,800,3808833024,24.51,50.725,3.332312,47.0568,39.52705,0.0,0.0,USD,3758833408,0.32371,63943518,79866496,3088957,3203506,1690761600,1693440000,0.0387,0.13909,0.65709996,3.9,0.041500002,38.552,1.2370305,1672444800,1703980800,1688083200,96000000,61.31,4.06,3.289,11.055,NYQ,EQUITY,SDRL,SDRL,Seadrill Limited,Seadrill Limited,1665754200,America/New_York,EDT,-14400000,47.69,60.0,50.0,55.0,55.0,2.0,buy,2,412000000,5.159,340000000,362000000,1.797,3.11,1143000064,11.757,19.899,0.03304,0.04221,277000000,-15375000,131000000,0.672,0.34296,0.29746,0.16098,USD,
6,Par-la-Ville Place,14 Par-la-Ville Road,Hamilton,HM 08,Bermuda,https://www.seadrill.com,Oil & Gas Drilling,Energy,"Seadrill Limited provides offshore contract drilling services to the oil and gas industry worldwide. It operates in three segments: Harsh Environment, Floaters, and Jack-ups Rigs. The company owns and operates drill ships, semi-submersible rigs, and jack-up rigs for operations in shallow and ultra-deep-water in benign and harsh environments. It serves oil super-majors, state-owned national oil companies, and independent oil and gas companies. Seadrill Limited was formerly known as Seadrill 2021 Limited. The company was incorporated in 2005 and is headquartered in Hamilton, Bermuda.",2576,"{'maxAge': 1, 'name': 'Mr. Torsten  Sauer-Petersen', 'age': 49, 'title': 'Exec. VP of HR', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}",1451520000,86400,2,47.29,47.35,47.3,48.25,47.29,47.35,47.3,48.25,0.0,0.7778502,11.746305,846239,846239,1073072,845220,845220,46.35,49.8,1200,800,3808833024,24.51,50.725,3.332312,47.0568,39.52705,0.0,0.0,USD,3758833408,0.32371,63943518,79866496,3088957,3203506,1690761600,1693440000,0.0387,0.13909,0.65709996,3.9,0.041500002,38.552,1.2370305,1672444800,1703980800,1688083200,96000000,61.31,4.06,3.289,11.055,NYQ,EQUITY,SDRL,SDRL,Seadrill Limited,Seadrill Limited,1665754200,America/New_York,EDT,-14400000,47.69,60.0,50.0,55.0,55.0,2.0,buy,2,412000000,5.159,340000000,362000000,1.797,3.11,1143000064,11.757,19.899,0.03304,0.04221,277000000,-15375000,131000000,0.672,0.34296,0.29746,0.16098,USD,
7,Par-la-Ville Place,14 Par-la-Ville Road,Hamilton,HM 08,Bermuda,https://www.seadrill.com,Oil & Gas Drilling,Energy,"Seadrill Limited provides offshore contract drilling services to the oil and gas industry worldwide. It operates in three segments: Harsh Environment, Floaters, and Jack-ups Rigs. The company owns and operates drill ships, semi-submersible rigs, and jack-up rigs for operations in shallow and ultra-deep-water in benign and harsh environments. It serves oil super-majors, state-owned national oil companies, and independent oil and gas companies. Seadrill Limited was formerly known as Seadrill 2021 Limited. The company was incorporated in 2005 and is headquartered in Hamilton, Bermuda.",2576,"{'maxAge': 1, 'name': 'Mr. Samir  Ali', 'age': 36, 'title': 'Exec. VP & Chief Commercial Officer', 'yearBorn': 1986, 'exercisedValue': 0, 'unexercisedValue': 0}",1451520000,86400,2,47.29,47.35,47.3,48.25,47.29,47.35,47.3,48.25,0.0,0.7778502,11.746305,846239,846239,1073072,845220,845220,46.35,49.8,1200,800,3808833024,24.51,50.725,3.332312,47.0568,39.52705,0.0,0.0,USD,3758833408,0.32371,63943518,79866496,3088957,3203506,1690761600,1693440000,0.0387,0.13909,0.65709996,3.9,0.041500002,38.552,1.2370305,1672444800,1703980800,1688083200,96000000,61.31,4.06,3.289,11.055,NYQ,EQUITY,SDRL,SDRL,Seadrill Limited,Seadrill Limited,1665754200,America/New_York,EDT,-14400000,47.69,60.0,50.0,55.0,55.0,2.0,buy,2,412000000,5.159,340000000,362000000,1.797,3.11,1143000064,11.757,19.899,0.03304,0.04221,277000000,-15375000,131000000,0.672,0.34296,0.29746,0.16098,USD,
8,Par-la-Ville Place,14 Par-la-Ville Road,Hamilton,HM 08,Bermuda,https://www.seadrill.com,Oil & Gas Drilling,Energy,"Seadrill Limited provides offshore contract drilling services to the oil and gas industry worldwide. It operates in three segments: Harsh Environment, Floaters, and Jack-ups Rigs. The company owns and operates drill ships, semi-submersible rigs, and jack-up rigs for operations in shallow and ultra-deep-water in benign and harsh environments. It serves oil super-majors, state-owned national oil companies, and independent oil and gas companies. Seadrill Limited was formerly known as Seadrill 2021 Limited. The company was incorporated in 2005 and is headquartered in Hamilton, Bermuda.",2576,"{'maxAge': 1, 'name': 'Mr. John T. Roche', 'age': 42, 'title': 'VP of Investor Relations', 'yearBorn': 1980, 'exercisedValue': 0, 'unexercisedValue': 0}",1451520000,86400,2,47.29,47.35,47.3,48.25,47.29,47.35,47.3,48.25,0.0,0.7778502,11.746305,846239,846239,1073072,845220,845220,46.35,49.8,1200,800,3808833024,24.51,50.725,3.332312,47.0568,39.52705,0.0,0.0,USD,3758833408,0.32371,63943518,79866496,3088957,3203506,1690761600,1693440000,0.0387,0.13909,0.65709996,3.9,0.041500002,38.552,1.2370305,1672444800,1703980800,1688083200,96000000,61.31,4.06,3.289,11.055,NYQ,EQUITY,SDRL,SDRL,Seadrill Limited,Seadrill Limited,1665754200,America/New_York,EDT,-14400000,47.69,60.0,50.0,55.0,55.0,2.0,buy,2,412000000,5.159,340000000,362000000,1.797,3.11,1143000064,11.757,19.899,0.03304,0.04221,277000000,-15375000,131000000,0.672,0.34296,0.29746,0.16098,USD,
9,Par-la-Ville Place,14 Par-la-Ville Road,Hamilton,HM 08,Bermuda,https://www.seadrill.com,Oil & Gas Drilling,Energy,"Seadrill Limited provides offshore contract drilling services to the oil and gas industry worldwide. It operates in three segments: Harsh Environment, Floaters, and Jack-ups Rigs. The company owns and operates drill ships, semi-submersible rigs, and jack-up rigs for operations in shallow and ultra-deep-water in benign and harsh environments. It serves oil super-majors, state-owned national oil companies, and independent oil and gas companies. Seadrill Limited was formerly known as Seadrill 2021 Limited. The company was incorporated in 2005 and is headquartered in Hamilton, Bermuda.",2576,"{'maxAge': 1, 'name': 'David  Warwick', 'title': 'Director of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",1451520000,86400,2,47.29,47.35,47.3,48.25,47.29,47.35,47.3,48.25,0.0,0.7778502,11.746305,846239,846239,1073072,845220,845220,46.35,49.8,1200,800,3808833024,24.51,50.725,3.332312,47.0568,39.52705,0.0,0.0,USD,3758833408,0.32371,63943518,79866496,3088957,3203506,1690761600,1693440000,0.0387,0.13909,0.65709996,3.9,0.041500002,38.552,1.2370305,1672444800,1703980800,1688083200,96000000,61.31,4.06,3.289,11.055,NYQ,EQUITY,SDRL,SDRL,Seadrill Limited,Seadrill Limited,1665754200,America/New_York,EDT,-14400000,47.69,60.0,50.0,55.0,55.0,2.0,buy,2,412000000,5.159,340000000,362000000,1.797,3.11,1143000064,11.757,19.899,0.03304,0.04221,277000000,-15375000,131000000,0.672,0.34296,0.29746,0.16098,USD,
