,address1,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,1-1 Toyoda-cho,Kariya,448-8651,Japan,81 566 23 6611,https://www.toyota-boshoku.com/jp,Auto Parts,Consumer Cyclical,"Toyota Boshoku Corporation develops, manufactures, and sells automotive interior systems in Japan, the United States, China, and internationally. It also engages in manufacturing and sale of automotive filters and powertrain components, and other automotive components, as well as fabric products. The company provides automobile, aircraft, and railway seats, such as executive lounge and sports seats including seat frames, round recliners, and long slide rails. In addition, it offers interior and exterior products, which includes door trims, headliners, floor carpets, and luggage and exterior components comprising bumpers, fender liners, and engine undercovers. The company also provides filter products including air, oil, and cabin air filters; air induction systems and cleaners, intake manifolds, cylinder headcovers, oil mist separator, and timing chain covers; and electric powertrain related products, such as motor core constitute and fuel cell parts, separators, and ion exchangers, as well as anti-droplet partitions and weets. Further, it offers curtain-shield airbags, straps and seatbelt webbings, and seat fabrics. Additionally, the company provides transportation services; and contracting of design work. Toyota Boshoku Corporation was founded in 1918 and is headquartered in Kariya, Japan.",44581,"{'maxAge': 1, 'name': 'Masayoshi  Shirayanagi', 'age': 60, 'title': 'Pres, CEO & Director', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}",1,8,9,6,8,1693526400,86400,2,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.55,0.038900003,1695859200,0.46150002,0.647147,12.727272,10,10,0,0,0,2616376064,14.0,15.36,0.0015130654,14.0,14.0,70.0,5.0,USD,-88466620416,0.01652,70038541,186884000,0.59619,0.08644,2252.209,0.0062161195,1680220800,1711843200,1688083200,28561999872,1.1,-0.051,-0.794,PNK,EQUITY,TDBOF,TDBOF,TOYOTA BOSHOKU CORP,Toyota Boshoku Corporation,1379338200,America/New_York,EDT,-14400000,14.0,none,278193995776,1488.591,111469002752,152986992640,1.337,1.575,1729188986880,33.621,9254.807,0.03887,0.07913,31472375808,123764998144,0.357,0.100030005,0.06446,0.03664,JPY,
1,1-1 Toyoda-cho,Kariya,448-8651,Japan,81 566 23 6611,https://www.toyota-boshoku.com/jp,Auto Parts,Consumer Cyclical,"Toyota Boshoku Corporation develops, manufactures, and sells automotive interior systems in Japan, the United States, China, and internationally. It also engages in manufacturing and sale of automotive filters and powertrain components, and other automotive components, as well as fabric products. The company provides automobile, aircraft, and railway seats, such as executive lounge and sports seats including seat frames, round recliners, and long slide rails. In addition, it offers interior and exterior products, which includes door trims, headliners, floor carpets, and luggage and exterior components comprising bumpers, fender liners, and engine undercovers. The company also provides filter products including air, oil, and cabin air filters; air induction systems and cleaners, intake manifolds, cylinder headcovers, oil mist separator, and timing chain covers; and electric powertrain related products, such as motor core constitute and fuel cell parts, separators, and ion exchangers, as well as anti-droplet partitions and weets. Further, it offers curtain-shield airbags, straps and seatbelt webbings, and seat fabrics. Additionally, the company provides transportation services; and contracting of design work. Toyota Boshoku Corporation was founded in 1918 and is headquartered in Kariya, Japan.",44581,"{'maxAge': 1, 'name': 'Mr. Naoki  Miyazaki', 'age': 65, 'title': 'Vice Chairman & Chief Risk Officer', 'yearBorn': 1957, 'exercisedValue': 0, 'unexercisedValue': 0}",1,8,9,6,8,1693526400,86400,2,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.55,0.038900003,1695859200,0.46150002,0.647147,12.727272,10,10,0,0,0,2616376064,14.0,15.36,0.0015130654,14.0,14.0,70.0,5.0,USD,-88466620416,0.01652,70038541,186884000,0.59619,0.08644,2252.209,0.0062161195,1680220800,1711843200,1688083200,28561999872,1.1,-0.051,-0.794,PNK,EQUITY,TDBOF,TDBOF,TOYOTA BOSHOKU CORP,Toyota Boshoku Corporation,1379338200,America/New_York,EDT,-14400000,14.0,none,278193995776,1488.591,111469002752,152986992640,1.337,1.575,1729188986880,33.621,9254.807,0.03887,0.07913,31472375808,123764998144,0.357,0.100030005,0.06446,0.03664,JPY,
2,1-1 Toyoda-cho,Kariya,448-8651,Japan,81 566 23 6611,https://www.toyota-boshoku.com/jp,Auto Parts,Consumer Cyclical,"Toyota Boshoku Corporation develops, manufactures, and sells automotive interior systems in Japan, the United States, China, and internationally. It also engages in manufacturing and sale of automotive filters and powertrain components, and other automotive components, as well as fabric products. The company provides automobile, aircraft, and railway seats, such as executive lounge and sports seats including seat frames, round recliners, and long slide rails. In addition, it offers interior and exterior products, which includes door trims, headliners, floor carpets, and luggage and exterior components comprising bumpers, fender liners, and engine undercovers. The company also provides filter products including air, oil, and cabin air filters; air induction systems and cleaners, intake manifolds, cylinder headcovers, oil mist separator, and timing chain covers; and electric powertrain related products, such as motor core constitute and fuel cell parts, separators, and ion exchangers, as well as anti-droplet partitions and weets. Further, it offers curtain-shield airbags, straps and seatbelt webbings, and seat fabrics. Additionally, the company provides transportation services; and contracting of design work. Toyota Boshoku Corporation was founded in 1918 and is headquartered in Kariya, Japan.",44581,"{'maxAge': 1, 'name': 'Shunichi  Iwamori', 'age': 57, 'title': 'Operating Officer, CFO, Chief Purchasing Officer & Director', 'yearBorn': 1965, 'exercisedValue': 0, 'unexercisedValue': 0}",1,8,9,6,8,1693526400,86400,2,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.55,0.038900003,1695859200,0.46150002,0.647147,12.727272,10,10,0,0,0,2616376064,14.0,15.36,0.0015130654,14.0,14.0,70.0,5.0,USD,-88466620416,0.01652,70038541,186884000,0.59619,0.08644,2252.209,0.0062161195,1680220800,1711843200,1688083200,28561999872,1.1,-0.051,-0.794,PNK,EQUITY,TDBOF,TDBOF,TOYOTA BOSHOKU CORP,Toyota Boshoku Corporation,1379338200,America/New_York,EDT,-14400000,14.0,none,278193995776,1488.591,111469002752,152986992640,1.337,1.575,1729188986880,33.621,9254.807,0.03887,0.07913,31472375808,123764998144,0.357,0.100030005,0.06446,0.03664,JPY,
3,1-1 Toyoda-cho,Kariya,448-8651,Japan,81 566 23 6611,https://www.toyota-boshoku.com/jp,Auto Parts,Consumer Cyclical,"Toyota Boshoku Corporation develops, manufactures, and sells automotive interior systems in Japan, the United States, China, and internationally. It also engages in manufacturing and sale of automotive filters and powertrain components, and other automotive components, as well as fabric products. The company provides automobile, aircraft, and railway seats, such as executive lounge and sports seats including seat frames, round recliners, and long slide rails. In addition, it offers interior and exterior products, which includes door trims, headliners, floor carpets, and luggage and exterior components comprising bumpers, fender liners, and engine undercovers. The company also provides filter products including air, oil, and cabin air filters; air induction systems and cleaners, intake manifolds, cylinder headcovers, oil mist separator, and timing chain covers; and electric powertrain related products, such as motor core constitute and fuel cell parts, separators, and ion exchangers, as well as anti-droplet partitions and weets. Further, it offers curtain-shield airbags, straps and seatbelt webbings, and seat fabrics. Additionally, the company provides transportation services; and contracting of design work. Toyota Boshoku Corporation was founded in 1918 and is headquartered in Kariya, Japan.",44581,"{'maxAge': 1, 'name': 'Takeshi  Ogiso', 'title': 'Accounting Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",1,8,9,6,8,1693526400,86400,2,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.55,0.038900003,1695859200,0.46150002,0.647147,12.727272,10,10,0,0,0,2616376064,14.0,15.36,0.0015130654,14.0,14.0,70.0,5.0,USD,-88466620416,0.01652,70038541,186884000,0.59619,0.08644,2252.209,0.0062161195,1680220800,1711843200,1688083200,28561999872,1.1,-0.051,-0.794,PNK,EQUITY,TDBOF,TDBOF,TOYOTA BOSHOKU CORP,Toyota Boshoku Corporation,1379338200,America/New_York,EDT,-14400000,14.0,none,278193995776,1488.591,111469002752,152986992640,1.337,1.575,1729188986880,33.621,9254.807,0.03887,0.07913,31472375808,123764998144,0.357,0.100030005,0.06446,0.03664,JPY,
4,1-1 Toyoda-cho,Kariya,448-8651,Japan,81 566 23 6611,https://www.toyota-boshoku.com/jp,Auto Parts,Consumer Cyclical,"Toyota Boshoku Corporation develops, manufactures, and sells automotive interior systems in Japan, the United States, China, and internationally. It also engages in manufacturing and sale of automotive filters and powertrain components, and other automotive components, as well as fabric products. The company provides automobile, aircraft, and railway seats, such as executive lounge and sports seats including seat frames, round recliners, and long slide rails. In addition, it offers interior and exterior products, which includes door trims, headliners, floor carpets, and luggage and exterior components comprising bumpers, fender liners, and engine undercovers. The company also provides filter products including air, oil, and cabin air filters; air induction systems and cleaners, intake manifolds, cylinder headcovers, oil mist separator, and timing chain covers; and electric powertrain related products, such as motor core constitute and fuel cell parts, separators, and ion exchangers, as well as anti-droplet partitions and weets. Further, it offers curtain-shield airbags, straps and seatbelt webbings, and seat fabrics. Additionally, the company provides transportation services; and contracting of design work. Toyota Boshoku Corporation was founded in 1918 and is headquartered in Kariya, Japan.",44581,"{'maxAge': 1, 'name': 'Mr. Hiroki  Tsunoda', 'title': 'Operating Officer, Chief Technology Officer & Seat Bus. Segment Chief', 'exercisedValue': 0, 'unexercisedValue': 0}",1,8,9,6,8,1693526400,86400,2,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.55,0.038900003,1695859200,0.46150002,0.647147,12.727272,10,10,0,0,0,2616376064,14.0,15.36,0.0015130654,14.0,14.0,70.0,5.0,USD,-88466620416,0.01652,70038541,186884000,0.59619,0.08644,2252.209,0.0062161195,1680220800,1711843200,1688083200,28561999872,1.1,-0.051,-0.794,PNK,EQUITY,TDBOF,TDBOF,TOYOTA BOSHOKU CORP,Toyota Boshoku Corporation,1379338200,America/New_York,EDT,-14400000,14.0,none,278193995776,1488.591,111469002752,152986992640,1.337,1.575,1729188986880,33.621,9254.807,0.03887,0.07913,31472375808,123764998144,0.357,0.100030005,0.06446,0.03664,JPY,
5,1-1 Toyoda-cho,Kariya,448-8651,Japan,81 566 23 6611,https://www.toyota-boshoku.com/jp,Auto Parts,Consumer Cyclical,"Toyota Boshoku Corporation develops, manufactures, and sells automotive interior systems in Japan, the United States, China, and internationally. It also engages in manufacturing and sale of automotive filters and powertrain components, and other automotive components, as well as fabric products. The company provides automobile, aircraft, and railway seats, such as executive lounge and sports seats including seat frames, round recliners, and long slide rails. In addition, it offers interior and exterior products, which includes door trims, headliners, floor carpets, and luggage and exterior components comprising bumpers, fender liners, and engine undercovers. The company also provides filter products including air, oil, and cabin air filters; air induction systems and cleaners, intake manifolds, cylinder headcovers, oil mist separator, and timing chain covers; and electric powertrain related products, such as motor core constitute and fuel cell parts, separators, and ion exchangers, as well as anti-droplet partitions and weets. Further, it offers curtain-shield airbags, straps and seatbelt webbings, and seat fabrics. Additionally, the company provides transportation services; and contracting of design work. Toyota Boshoku Corporation was founded in 1918 and is headquartered in Kariya, Japan.",44581,"{'maxAge': 1, 'name': 'Mr. Yasuhiro  Fueta', 'title': 'Chief Human Resource & Operating Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1,8,9,6,8,1693526400,86400,2,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.55,0.038900003,1695859200,0.46150002,0.647147,12.727272,10,10,0,0,0,2616376064,14.0,15.36,0.0015130654,14.0,14.0,70.0,5.0,USD,-88466620416,0.01652,70038541,186884000,0.59619,0.08644,2252.209,0.0062161195,1680220800,1711843200,1688083200,28561999872,1.1,-0.051,-0.794,PNK,EQUITY,TDBOF,TDBOF,TOYOTA BOSHOKU CORP,Toyota Boshoku Corporation,1379338200,America/New_York,EDT,-14400000,14.0,none,278193995776,1488.591,111469002752,152986992640,1.337,1.575,1729188986880,33.621,9254.807,0.03887,0.07913,31472375808,123764998144,0.357,0.100030005,0.06446,0.03664,JPY,
6,1-1 Toyoda-cho,Kariya,448-8651,Japan,81 566 23 6611,https://www.toyota-boshoku.com/jp,Auto Parts,Consumer Cyclical,"Toyota Boshoku Corporation develops, manufactures, and sells automotive interior systems in Japan, the United States, China, and internationally. It also engages in manufacturing and sale of automotive filters and powertrain components, and other automotive components, as well as fabric products. The company provides automobile, aircraft, and railway seats, such as executive lounge and sports seats including seat frames, round recliners, and long slide rails. In addition, it offers interior and exterior products, which includes door trims, headliners, floor carpets, and luggage and exterior components comprising bumpers, fender liners, and engine undercovers. The company also provides filter products including air, oil, and cabin air filters; air induction systems and cleaners, intake manifolds, cylinder headcovers, oil mist separator, and timing chain covers; and electric powertrain related products, such as motor core constitute and fuel cell parts, separators, and ion exchangers, as well as anti-droplet partitions and weets. Further, it offers curtain-shield airbags, straps and seatbelt webbings, and seat fabrics. Additionally, the company provides transportation services; and contracting of design work. Toyota Boshoku Corporation was founded in 1918 and is headquartered in Kariya, Japan.",44581,"{'maxAge': 1, 'name': 'Mr. Hiroshi  Ioki', 'age': 64, 'title': 'Operating Officer, Chief Manufacturing Officer, GM of Top Plant & Director', 'yearBorn': 1958, 'exercisedValue': 0, 'unexercisedValue': 0}",1,8,9,6,8,1693526400,86400,2,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.55,0.038900003,1695859200,0.46150002,0.647147,12.727272,10,10,0,0,0,2616376064,14.0,15.36,0.0015130654,14.0,14.0,70.0,5.0,USD,-88466620416,0.01652,70038541,186884000,0.59619,0.08644,2252.209,0.0062161195,1680220800,1711843200,1688083200,28561999872,1.1,-0.051,-0.794,PNK,EQUITY,TDBOF,TDBOF,TOYOTA BOSHOKU CORP,Toyota Boshoku Corporation,1379338200,America/New_York,EDT,-14400000,14.0,none,278193995776,1488.591,111469002752,152986992640,1.337,1.575,1729188986880,33.621,9254.807,0.03887,0.07913,31472375808,123764998144,0.357,0.100030005,0.06446,0.03664,JPY,
7,1-1 Toyoda-cho,Kariya,448-8651,Japan,81 566 23 6611,https://www.toyota-boshoku.com/jp,Auto Parts,Consumer Cyclical,"Toyota Boshoku Corporation develops, manufactures, and sells automotive interior systems in Japan, the United States, China, and internationally. It also engages in manufacturing and sale of automotive filters and powertrain components, and other automotive components, as well as fabric products. The company provides automobile, aircraft, and railway seats, such as executive lounge and sports seats including seat frames, round recliners, and long slide rails. In addition, it offers interior and exterior products, which includes door trims, headliners, floor carpets, and luggage and exterior components comprising bumpers, fender liners, and engine undercovers. The company also provides filter products including air, oil, and cabin air filters; air induction systems and cleaners, intake manifolds, cylinder headcovers, oil mist separator, and timing chain covers; and electric powertrain related products, such as motor core constitute and fuel cell parts, separators, and ion exchangers, as well as anti-droplet partitions and weets. Further, it offers curtain-shield airbags, straps and seatbelt webbings, and seat fabrics. Additionally, the company provides transportation services; and contracting of design work. Toyota Boshoku Corporation was founded in 1918 and is headquartered in Kariya, Japan.",44581,"{'maxAge': 1, 'name': 'Mr. Shoji  Adachi', 'title': 'Operating Officer and Europe & Africa Region Segment Regional CEO', 'exercisedValue': 0, 'unexercisedValue': 0}",1,8,9,6,8,1693526400,86400,2,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.55,0.038900003,1695859200,0.46150002,0.647147,12.727272,10,10,0,0,0,2616376064,14.0,15.36,0.0015130654,14.0,14.0,70.0,5.0,USD,-88466620416,0.01652,70038541,186884000,0.59619,0.08644,2252.209,0.0062161195,1680220800,1711843200,1688083200,28561999872,1.1,-0.051,-0.794,PNK,EQUITY,TDBOF,TDBOF,TOYOTA BOSHOKU CORP,Toyota Boshoku Corporation,1379338200,America/New_York,EDT,-14400000,14.0,none,278193995776,1488.591,111469002752,152986992640,1.337,1.575,1729188986880,33.621,9254.807,0.03887,0.07913,31472375808,123764998144,0.357,0.100030005,0.06446,0.03664,JPY,
8,1-1 Toyoda-cho,Kariya,448-8651,Japan,81 566 23 6611,https://www.toyota-boshoku.com/jp,Auto Parts,Consumer Cyclical,"Toyota Boshoku Corporation develops, manufactures, and sells automotive interior systems in Japan, the United States, China, and internationally. It also engages in manufacturing and sale of automotive filters and powertrain components, and other automotive components, as well as fabric products. The company provides automobile, aircraft, and railway seats, such as executive lounge and sports seats including seat frames, round recliners, and long slide rails. In addition, it offers interior and exterior products, which includes door trims, headliners, floor carpets, and luggage and exterior components comprising bumpers, fender liners, and engine undercovers. The company also provides filter products including air, oil, and cabin air filters; air induction systems and cleaners, intake manifolds, cylinder headcovers, oil mist separator, and timing chain covers; and electric powertrain related products, such as motor core constitute and fuel cell parts, separators, and ion exchangers, as well as anti-droplet partitions and weets. Further, it offers curtain-shield airbags, straps and seatbelt webbings, and seat fabrics. Additionally, the company provides transportation services; and contracting of design work. Toyota Boshoku Corporation was founded in 1918 and is headquartered in Kariya, Japan.",44581,"{'maxAge': 1, 'name': 'Mr. Seiji  Teraji', 'title': 'Operating Officer and Segment Chief of Interior & Exterior Bus. Segment', 'exercisedValue': 0, 'unexercisedValue': 0}",1,8,9,6,8,1693526400,86400,2,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.55,0.038900003,1695859200,0.46150002,0.647147,12.727272,10,10,0,0,0,2616376064,14.0,15.36,0.0015130654,14.0,14.0,70.0,5.0,USD,-88466620416,0.01652,70038541,186884000,0.59619,0.08644,2252.209,0.0062161195,1680220800,1711843200,1688083200,28561999872,1.1,-0.051,-0.794,PNK,EQUITY,TDBOF,TDBOF,TOYOTA BOSHOKU CORP,Toyota Boshoku Corporation,1379338200,America/New_York,EDT,-14400000,14.0,none,278193995776,1488.591,111469002752,152986992640,1.337,1.575,1729188986880,33.621,9254.807,0.03887,0.07913,31472375808,123764998144,0.357,0.100030005,0.06446,0.03664,JPY,
9,1-1 Toyoda-cho,Kariya,448-8651,Japan,81 566 23 6611,https://www.toyota-boshoku.com/jp,Auto Parts,Consumer Cyclical,"Toyota Boshoku Corporation develops, manufactures, and sells automotive interior systems in Japan, the United States, China, and internationally. It also engages in manufacturing and sale of automotive filters and powertrain components, and other automotive components, as well as fabric products. The company provides automobile, aircraft, and railway seats, such as executive lounge and sports seats including seat frames, round recliners, and long slide rails. In addition, it offers interior and exterior products, which includes door trims, headliners, floor carpets, and luggage and exterior components comprising bumpers, fender liners, and engine undercovers. The company also provides filter products including air, oil, and cabin air filters; air induction systems and cleaners, intake manifolds, cylinder headcovers, oil mist separator, and timing chain covers; and electric powertrain related products, such as motor core constitute and fuel cell parts, separators, and ion exchangers, as well as anti-droplet partitions and weets. Further, it offers curtain-shield airbags, straps and seatbelt webbings, and seat fabrics. Additionally, the company provides transportation services; and contracting of design work. Toyota Boshoku Corporation was founded in 1918 and is headquartered in Kariya, Japan.",44581,"{'maxAge': 1, 'name': 'Masaki  Kuroyanagi', 'title': 'Asia & Oceania Region Segment Regional Chief Exec. Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1,8,9,6,8,1693526400,86400,2,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.55,0.038900003,1695859200,0.46150002,0.647147,12.727272,10,10,0,0,0,2616376064,14.0,15.36,0.0015130654,14.0,14.0,70.0,5.0,USD,-88466620416,0.01652,70038541,186884000,0.59619,0.08644,2252.209,0.0062161195,1680220800,1711843200,1688083200,28561999872,1.1,-0.051,-0.794,PNK,EQUITY,TDBOF,TDBOF,TOYOTA BOSHOKU CORP,Toyota Boshoku Corporation,1379338200,America/New_York,EDT,-14400000,14.0,none,278193995776,1488.591,111469002752,152986992640,1.337,1.575,1729188986880,33.621,9254.807,0.03887,0.07913,31472375808,123764998144,0.357,0.100030005,0.06446,0.03664,JPY,
