,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,totalDebt,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,420 Montgomery Street,San Francisco,CA,94104,United States,866 249 3302,https://www.wellsfargo.com,Banks—Diversified,Financial Services,"Wells Fargo & Company, a diversified financial services company, provides banking, investment, mortgage, and consumer and commercial finance products and services in the United States and internationally. It operates through four segments: Consumer Banking and Lending; Commercial Banking; Corporate and Investment Banking; and Wealth and Investment Management. The Consumer Banking and Lending segment offers diversified financial products and services for consumers and small businesses. Its financial products and services include checking and savings accounts, and credit and debit cards, as well as home, auto, personal, and small business lending services. The Commercial Banking segment provides financial solutions to private, family owned, and certain public companies. Its products and services include banking and credit products across various industry sectors and municipalities, secured lending and lease products, and treasury management services. The Corporate and Investment Banking segment offers a suite of capital markets, banking, and financial products and services to corporate, commercial real estate, government, and institutional clients. Its products and services comprise corporate banking, investment banking, treasury management, commercial real estate lending and servicing, equity, and fixed income solutions, as well as sales, trading, and research capabilities services. The Wealth and Investment Management segment provides personalized wealth management, brokerage, financial planning, lending, private banking, and trust and fiduciary products and services to affluent, high-net worth, and ultra-high-net worth clients. It also operates through financial advisors. Its serves to independent offices and consumer banks. The company was founded in 1852 and is headquartered in San Francisco, California.",233834,"{'maxAge': 1, 'name': 'Mr. Charles W. Scharf', 'age': 57, 'title': 'Pres, CEO & Director', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 8008351, 'exercisedValue': 0, 'unexercisedValue': 0}",10,3,3,6,6,1693526400,1672444800,86400,2,43.05,42.67,42.61,43.305,43.05,42.67,42.61,43.305,1.4,0.0326,1691020800,0.303,3.29,1.145573,10.84596,8.89234,44877486,44877486,15445738,19047870,19047870,42.99,43.02,3100,3100,157144596480,35.25,48.84,2.0782473,43.4464,42.4174,1.2,0.027874567,USD,92798246912,0.21399,3663117968,3658779904,31464312,30263493,1690761600,1693440000,0.0086,0.00093000004,0.76403,2.55,0.0086,43.944,0.97738034,1672444800,1703980800,1688083200,0.572,15066999808,3.96,4.83,1.33,2:1,1155513600,1.227,NYQ,EQUITY,WFC,WFC,Wells Fargo & Company,Wells Fargo & Company,76253400,America/New_York,EDT,-14400000,42.95,65.0,43.75,51.01,52.0,2.1,buy,23,366087995392,99.815,280579997696,75614003200,20.055,0.00839,0.08719,72247000000,25912000512,0.667,0.143,0.0,0.0,0.24309999,USD,0.63
1,420 Montgomery Street,San Francisco,CA,94104,United States,866 249 3302,https://www.wellsfargo.com,Banks—Diversified,Financial Services,"Wells Fargo & Company, a diversified financial services company, provides banking, investment, mortgage, and consumer and commercial finance products and services in the United States and internationally. It operates through four segments: Consumer Banking and Lending; Commercial Banking; Corporate and Investment Banking; and Wealth and Investment Management. The Consumer Banking and Lending segment offers diversified financial products and services for consumers and small businesses. Its financial products and services include checking and savings accounts, and credit and debit cards, as well as home, auto, personal, and small business lending services. The Commercial Banking segment provides financial solutions to private, family owned, and certain public companies. Its products and services include banking and credit products across various industry sectors and municipalities, secured lending and lease products, and treasury management services. The Corporate and Investment Banking segment offers a suite of capital markets, banking, and financial products and services to corporate, commercial real estate, government, and institutional clients. Its products and services comprise corporate banking, investment banking, treasury management, commercial real estate lending and servicing, equity, and fixed income solutions, as well as sales, trading, and research capabilities services. The Wealth and Investment Management segment provides personalized wealth management, brokerage, financial planning, lending, private banking, and trust and fiduciary products and services to affluent, high-net worth, and ultra-high-net worth clients. It also operates through financial advisors. Its serves to independent offices and consumer banks. The company was founded in 1852 and is headquartered in San Francisco, California.",233834,"{'maxAge': 1, 'name': 'Mr. Michael P. Santomassimo', 'age': 47, 'title': 'Sr. EVP & CFO', 'yearBorn': 1975, 'fiscalYear': 2022, 'totalPay': 4933117, 'exercisedValue': 0, 'unexercisedValue': 0}",10,3,3,6,6,1693526400,1672444800,86400,2,43.05,42.67,42.61,43.305,43.05,42.67,42.61,43.305,1.4,0.0326,1691020800,0.303,3.29,1.145573,10.84596,8.89234,44877486,44877486,15445738,19047870,19047870,42.99,43.02,3100,3100,157144596480,35.25,48.84,2.0782473,43.4464,42.4174,1.2,0.027874567,USD,92798246912,0.21399,3663117968,3658779904,31464312,30263493,1690761600,1693440000,0.0086,0.00093000004,0.76403,2.55,0.0086,43.944,0.97738034,1672444800,1703980800,1688083200,0.572,15066999808,3.96,4.83,1.33,2:1,1155513600,1.227,NYQ,EQUITY,WFC,WFC,Wells Fargo & Company,Wells Fargo & Company,76253400,America/New_York,EDT,-14400000,42.95,65.0,43.75,51.01,52.0,2.1,buy,23,366087995392,99.815,280579997696,75614003200,20.055,0.00839,0.08719,72247000000,25912000512,0.667,0.143,0.0,0.0,0.24309999,USD,0.63
2,420 Montgomery Street,San Francisco,CA,94104,United States,866 249 3302,https://www.wellsfargo.com,Banks—Diversified,Financial Services,"Wells Fargo & Company, a diversified financial services company, provides banking, investment, mortgage, and consumer and commercial finance products and services in the United States and internationally. It operates through four segments: Consumer Banking and Lending; Commercial Banking; Corporate and Investment Banking; and Wealth and Investment Management. The Consumer Banking and Lending segment offers diversified financial products and services for consumers and small businesses. Its financial products and services include checking and savings accounts, and credit and debit cards, as well as home, auto, personal, and small business lending services. The Commercial Banking segment provides financial solutions to private, family owned, and certain public companies. Its products and services include banking and credit products across various industry sectors and municipalities, secured lending and lease products, and treasury management services. The Corporate and Investment Banking segment offers a suite of capital markets, banking, and financial products and services to corporate, commercial real estate, government, and institutional clients. Its products and services comprise corporate banking, investment banking, treasury management, commercial real estate lending and servicing, equity, and fixed income solutions, as well as sales, trading, and research capabilities services. The Wealth and Investment Management segment provides personalized wealth management, brokerage, financial planning, lending, private banking, and trust and fiduciary products and services to affluent, high-net worth, and ultra-high-net worth clients. It also operates through financial advisors. Its serves to independent offices and consumer banks. The company was founded in 1852 and is headquartered in San Francisco, California.",233834,"{'maxAge': 1, 'name': 'Mr. Scott E. Powell', 'age': 60, 'title': 'Sr. EVP & COO', 'yearBorn': 1962, 'fiscalYear': 2022, 'totalPay': 4258159, 'exercisedValue': 0, 'unexercisedValue': 0}",10,3,3,6,6,1693526400,1672444800,86400,2,43.05,42.67,42.61,43.305,43.05,42.67,42.61,43.305,1.4,0.0326,1691020800,0.303,3.29,1.145573,10.84596,8.89234,44877486,44877486,15445738,19047870,19047870,42.99,43.02,3100,3100,157144596480,35.25,48.84,2.0782473,43.4464,42.4174,1.2,0.027874567,USD,92798246912,0.21399,3663117968,3658779904,31464312,30263493,1690761600,1693440000,0.0086,0.00093000004,0.76403,2.55,0.0086,43.944,0.97738034,1672444800,1703980800,1688083200,0.572,15066999808,3.96,4.83,1.33,2:1,1155513600,1.227,NYQ,EQUITY,WFC,WFC,Wells Fargo & Company,Wells Fargo & Company,76253400,America/New_York,EDT,-14400000,42.95,65.0,43.75,51.01,52.0,2.1,buy,23,366087995392,99.815,280579997696,75614003200,20.055,0.00839,0.08719,72247000000,25912000512,0.667,0.143,0.0,0.0,0.24309999,USD,0.63
3,420 Montgomery Street,San Francisco,CA,94104,United States,866 249 3302,https://www.wellsfargo.com,Banks—Diversified,Financial Services,"Wells Fargo & Company, a diversified financial services company, provides banking, investment, mortgage, and consumer and commercial finance products and services in the United States and internationally. It operates through four segments: Consumer Banking and Lending; Commercial Banking; Corporate and Investment Banking; and Wealth and Investment Management. The Consumer Banking and Lending segment offers diversified financial products and services for consumers and small businesses. Its financial products and services include checking and savings accounts, and credit and debit cards, as well as home, auto, personal, and small business lending services. The Commercial Banking segment provides financial solutions to private, family owned, and certain public companies. Its products and services include banking and credit products across various industry sectors and municipalities, secured lending and lease products, and treasury management services. The Corporate and Investment Banking segment offers a suite of capital markets, banking, and financial products and services to corporate, commercial real estate, government, and institutional clients. Its products and services comprise corporate banking, investment banking, treasury management, commercial real estate lending and servicing, equity, and fixed income solutions, as well as sales, trading, and research capabilities services. The Wealth and Investment Management segment provides personalized wealth management, brokerage, financial planning, lending, private banking, and trust and fiduciary products and services to affluent, high-net worth, and ultra-high-net worth clients. It also operates through financial advisors. Its serves to independent offices and consumer banks. The company was founded in 1852 and is headquartered in San Francisco, California.",233834,"{'maxAge': 1, 'name': 'Mr. Jonathan Geoffrey Weiss', 'age': 64, 'title': 'Sr. EVP and CEO of Corp. & Investment Banking', 'yearBorn': 1958, 'fiscalYear': 2022, 'totalPay': 5593975, 'exercisedValue': 0, 'unexercisedValue': 0}",10,3,3,6,6,1693526400,1672444800,86400,2,43.05,42.67,42.61,43.305,43.05,42.67,42.61,43.305,1.4,0.0326,1691020800,0.303,3.29,1.145573,10.84596,8.89234,44877486,44877486,15445738,19047870,19047870,42.99,43.02,3100,3100,157144596480,35.25,48.84,2.0782473,43.4464,42.4174,1.2,0.027874567,USD,92798246912,0.21399,3663117968,3658779904,31464312,30263493,1690761600,1693440000,0.0086,0.00093000004,0.76403,2.55,0.0086,43.944,0.97738034,1672444800,1703980800,1688083200,0.572,15066999808,3.96,4.83,1.33,2:1,1155513600,1.227,NYQ,EQUITY,WFC,WFC,Wells Fargo & Company,Wells Fargo & Company,76253400,America/New_York,EDT,-14400000,42.95,65.0,43.75,51.01,52.0,2.1,buy,23,366087995392,99.815,280579997696,75614003200,20.055,0.00839,0.08719,72247000000,25912000512,0.667,0.143,0.0,0.0,0.24309999,USD,0.63
4,420 Montgomery Street,San Francisco,CA,94104,United States,866 249 3302,https://www.wellsfargo.com,Banks—Diversified,Financial Services,"Wells Fargo & Company, a diversified financial services company, provides banking, investment, mortgage, and consumer and commercial finance products and services in the United States and internationally. It operates through four segments: Consumer Banking and Lending; Commercial Banking; Corporate and Investment Banking; and Wealth and Investment Management. The Consumer Banking and Lending segment offers diversified financial products and services for consumers and small businesses. Its financial products and services include checking and savings accounts, and credit and debit cards, as well as home, auto, personal, and small business lending services. The Commercial Banking segment provides financial solutions to private, family owned, and certain public companies. Its products and services include banking and credit products across various industry sectors and municipalities, secured lending and lease products, and treasury management services. The Corporate and Investment Banking segment offers a suite of capital markets, banking, and financial products and services to corporate, commercial real estate, government, and institutional clients. Its products and services comprise corporate banking, investment banking, treasury management, commercial real estate lending and servicing, equity, and fixed income solutions, as well as sales, trading, and research capabilities services. The Wealth and Investment Management segment provides personalized wealth management, brokerage, financial planning, lending, private banking, and trust and fiduciary products and services to affluent, high-net worth, and ultra-high-net worth clients. It also operates through financial advisors. Its serves to independent offices and consumer banks. The company was founded in 1852 and is headquartered in San Francisco, California.",233834,"{'maxAge': 1, 'name': 'Ms. Tracy  Kerrins', 'title': 'Sr. EVP & Head of Technology', 'exercisedValue': 0, 'unexercisedValue': 0}",10,3,3,6,6,1693526400,1672444800,86400,2,43.05,42.67,42.61,43.305,43.05,42.67,42.61,43.305,1.4,0.0326,1691020800,0.303,3.29,1.145573,10.84596,8.89234,44877486,44877486,15445738,19047870,19047870,42.99,43.02,3100,3100,157144596480,35.25,48.84,2.0782473,43.4464,42.4174,1.2,0.027874567,USD,92798246912,0.21399,3663117968,3658779904,31464312,30263493,1690761600,1693440000,0.0086,0.00093000004,0.76403,2.55,0.0086,43.944,0.97738034,1672444800,1703980800,1688083200,0.572,15066999808,3.96,4.83,1.33,2:1,1155513600,1.227,NYQ,EQUITY,WFC,WFC,Wells Fargo & Company,Wells Fargo & Company,76253400,America/New_York,EDT,-14400000,42.95,65.0,43.75,51.01,52.0,2.1,buy,23,366087995392,99.815,280579997696,75614003200,20.055,0.00839,0.08719,72247000000,25912000512,0.667,0.143,0.0,0.0,0.24309999,USD,0.63
5,420 Montgomery Street,San Francisco,CA,94104,United States,866 249 3302,https://www.wellsfargo.com,Banks—Diversified,Financial Services,"Wells Fargo & Company, a diversified financial services company, provides banking, investment, mortgage, and consumer and commercial finance products and services in the United States and internationally. It operates through four segments: Consumer Banking and Lending; Commercial Banking; Corporate and Investment Banking; and Wealth and Investment Management. The Consumer Banking and Lending segment offers diversified financial products and services for consumers and small businesses. Its financial products and services include checking and savings accounts, and credit and debit cards, as well as home, auto, personal, and small business lending services. The Commercial Banking segment provides financial solutions to private, family owned, and certain public companies. Its products and services include banking and credit products across various industry sectors and municipalities, secured lending and lease products, and treasury management services. The Corporate and Investment Banking segment offers a suite of capital markets, banking, and financial products and services to corporate, commercial real estate, government, and institutional clients. Its products and services comprise corporate banking, investment banking, treasury management, commercial real estate lending and servicing, equity, and fixed income solutions, as well as sales, trading, and research capabilities services. The Wealth and Investment Management segment provides personalized wealth management, brokerage, financial planning, lending, private banking, and trust and fiduciary products and services to affluent, high-net worth, and ultra-high-net worth clients. It also operates through financial advisors. Its serves to independent offices and consumer banks. The company was founded in 1852 and is headquartered in San Francisco, California.",233834,"{'maxAge': 1, 'name': 'Mr. David  Owen', 'title': 'Chief Admin. Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",10,3,3,6,6,1693526400,1672444800,86400,2,43.05,42.67,42.61,43.305,43.05,42.67,42.61,43.305,1.4,0.0326,1691020800,0.303,3.29,1.145573,10.84596,8.89234,44877486,44877486,15445738,19047870,19047870,42.99,43.02,3100,3100,157144596480,35.25,48.84,2.0782473,43.4464,42.4174,1.2,0.027874567,USD,92798246912,0.21399,3663117968,3658779904,31464312,30263493,1690761600,1693440000,0.0086,0.00093000004,0.76403,2.55,0.0086,43.944,0.97738034,1672444800,1703980800,1688083200,0.572,15066999808,3.96,4.83,1.33,2:1,1155513600,1.227,NYQ,EQUITY,WFC,WFC,Wells Fargo & Company,Wells Fargo & Company,76253400,America/New_York,EDT,-14400000,42.95,65.0,43.75,51.01,52.0,2.1,buy,23,366087995392,99.815,280579997696,75614003200,20.055,0.00839,0.08719,72247000000,25912000512,0.667,0.143,0.0,0.0,0.24309999,USD,0.63
6,420 Montgomery Street,San Francisco,CA,94104,United States,866 249 3302,https://www.wellsfargo.com,Banks—Diversified,Financial Services,"Wells Fargo & Company, a diversified financial services company, provides banking, investment, mortgage, and consumer and commercial finance products and services in the United States and internationally. It operates through four segments: Consumer Banking and Lending; Commercial Banking; Corporate and Investment Banking; and Wealth and Investment Management. The Consumer Banking and Lending segment offers diversified financial products and services for consumers and small businesses. Its financial products and services include checking and savings accounts, and credit and debit cards, as well as home, auto, personal, and small business lending services. The Commercial Banking segment provides financial solutions to private, family owned, and certain public companies. Its products and services include banking and credit products across various industry sectors and municipalities, secured lending and lease products, and treasury management services. The Corporate and Investment Banking segment offers a suite of capital markets, banking, and financial products and services to corporate, commercial real estate, government, and institutional clients. Its products and services comprise corporate banking, investment banking, treasury management, commercial real estate lending and servicing, equity, and fixed income solutions, as well as sales, trading, and research capabilities services. The Wealth and Investment Management segment provides personalized wealth management, brokerage, financial planning, lending, private banking, and trust and fiduciary products and services to affluent, high-net worth, and ultra-high-net worth clients. It also operates through financial advisors. Its serves to independent offices and consumer banks. The company was founded in 1852 and is headquartered in San Francisco, California.",233834,"{'maxAge': 1, 'name': 'Mr. John M. Campbell', 'title': 'Director of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",10,3,3,6,6,1693526400,1672444800,86400,2,43.05,42.67,42.61,43.305,43.05,42.67,42.61,43.305,1.4,0.0326,1691020800,0.303,3.29,1.145573,10.84596,8.89234,44877486,44877486,15445738,19047870,19047870,42.99,43.02,3100,3100,157144596480,35.25,48.84,2.0782473,43.4464,42.4174,1.2,0.027874567,USD,92798246912,0.21399,3663117968,3658779904,31464312,30263493,1690761600,1693440000,0.0086,0.00093000004,0.76403,2.55,0.0086,43.944,0.97738034,1672444800,1703980800,1688083200,0.572,15066999808,3.96,4.83,1.33,2:1,1155513600,1.227,NYQ,EQUITY,WFC,WFC,Wells Fargo & Company,Wells Fargo & Company,76253400,America/New_York,EDT,-14400000,42.95,65.0,43.75,51.01,52.0,2.1,buy,23,366087995392,99.815,280579997696,75614003200,20.055,0.00839,0.08719,72247000000,25912000512,0.667,0.143,0.0,0.0,0.24309999,USD,0.63
7,420 Montgomery Street,San Francisco,CA,94104,United States,866 249 3302,https://www.wellsfargo.com,Banks—Diversified,Financial Services,"Wells Fargo & Company, a diversified financial services company, provides banking, investment, mortgage, and consumer and commercial finance products and services in the United States and internationally. It operates through four segments: Consumer Banking and Lending; Commercial Banking; Corporate and Investment Banking; and Wealth and Investment Management. The Consumer Banking and Lending segment offers diversified financial products and services for consumers and small businesses. Its financial products and services include checking and savings accounts, and credit and debit cards, as well as home, auto, personal, and small business lending services. The Commercial Banking segment provides financial solutions to private, family owned, and certain public companies. Its products and services include banking and credit products across various industry sectors and municipalities, secured lending and lease products, and treasury management services. The Corporate and Investment Banking segment offers a suite of capital markets, banking, and financial products and services to corporate, commercial real estate, government, and institutional clients. Its products and services comprise corporate banking, investment banking, treasury management, commercial real estate lending and servicing, equity, and fixed income solutions, as well as sales, trading, and research capabilities services. The Wealth and Investment Management segment provides personalized wealth management, brokerage, financial planning, lending, private banking, and trust and fiduciary products and services to affluent, high-net worth, and ultra-high-net worth clients. It also operates through financial advisors. Its serves to independent offices and consumer banks. The company was founded in 1852 and is headquartered in San Francisco, California.",233834,"{'maxAge': 1, 'name': 'Ms. Ellen Reilly Patterson Esq., J.D.', 'age': 48, 'title': 'Sr. EVP & Gen. Counsel', 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}",10,3,3,6,6,1693526400,1672444800,86400,2,43.05,42.67,42.61,43.305,43.05,42.67,42.61,43.305,1.4,0.0326,1691020800,0.303,3.29,1.145573,10.84596,8.89234,44877486,44877486,15445738,19047870,19047870,42.99,43.02,3100,3100,157144596480,35.25,48.84,2.0782473,43.4464,42.4174,1.2,0.027874567,USD,92798246912,0.21399,3663117968,3658779904,31464312,30263493,1690761600,1693440000,0.0086,0.00093000004,0.76403,2.55,0.0086,43.944,0.97738034,1672444800,1703980800,1688083200,0.572,15066999808,3.96,4.83,1.33,2:1,1155513600,1.227,NYQ,EQUITY,WFC,WFC,Wells Fargo & Company,Wells Fargo & Company,76253400,America/New_York,EDT,-14400000,42.95,65.0,43.75,51.01,52.0,2.1,buy,23,366087995392,99.815,280579997696,75614003200,20.055,0.00839,0.08719,72247000000,25912000512,0.667,0.143,0.0,0.0,0.24309999,USD,0.63
8,420 Montgomery Street,San Francisco,CA,94104,United States,866 249 3302,https://www.wellsfargo.com,Banks—Diversified,Financial Services,"Wells Fargo & Company, a diversified financial services company, provides banking, investment, mortgage, and consumer and commercial finance products and services in the United States and internationally. It operates through four segments: Consumer Banking and Lending; Commercial Banking; Corporate and Investment Banking; and Wealth and Investment Management. The Consumer Banking and Lending segment offers diversified financial products and services for consumers and small businesses. Its financial products and services include checking and savings accounts, and credit and debit cards, as well as home, auto, personal, and small business lending services. The Commercial Banking segment provides financial solutions to private, family owned, and certain public companies. Its products and services include banking and credit products across various industry sectors and municipalities, secured lending and lease products, and treasury management services. The Corporate and Investment Banking segment offers a suite of capital markets, banking, and financial products and services to corporate, commercial real estate, government, and institutional clients. Its products and services comprise corporate banking, investment banking, treasury management, commercial real estate lending and servicing, equity, and fixed income solutions, as well as sales, trading, and research capabilities services. The Wealth and Investment Management segment provides personalized wealth management, brokerage, financial planning, lending, private banking, and trust and fiduciary products and services to affluent, high-net worth, and ultra-high-net worth clients. It also operates through financial advisors. Its serves to independent offices and consumer banks. The company was founded in 1852 and is headquartered in San Francisco, California.",233834,"{'maxAge': 1, 'name': 'Ms. Paula Ann Dominick', 'age': 62, 'title': 'Chief Compliance Officer', 'yearBorn': 1960, 'exercisedValue': 0, 'unexercisedValue': 0}",10,3,3,6,6,1693526400,1672444800,86400,2,43.05,42.67,42.61,43.305,43.05,42.67,42.61,43.305,1.4,0.0326,1691020800,0.303,3.29,1.145573,10.84596,8.89234,44877486,44877486,15445738,19047870,19047870,42.99,43.02,3100,3100,157144596480,35.25,48.84,2.0782473,43.4464,42.4174,1.2,0.027874567,USD,92798246912,0.21399,3663117968,3658779904,31464312,30263493,1690761600,1693440000,0.0086,0.00093000004,0.76403,2.55,0.0086,43.944,0.97738034,1672444800,1703980800,1688083200,0.572,15066999808,3.96,4.83,1.33,2:1,1155513600,1.227,NYQ,EQUITY,WFC,WFC,Wells Fargo & Company,Wells Fargo & Company,76253400,America/New_York,EDT,-14400000,42.95,65.0,43.75,51.01,52.0,2.1,buy,23,366087995392,99.815,280579997696,75614003200,20.055,0.00839,0.08719,72247000000,25912000512,0.667,0.143,0.0,0.0,0.24309999,USD,0.63
9,420 Montgomery Street,San Francisco,CA,94104,United States,866 249 3302,https://www.wellsfargo.com,Banks—Diversified,Financial Services,"Wells Fargo & Company, a diversified financial services company, provides banking, investment, mortgage, and consumer and commercial finance products and services in the United States and internationally. It operates through four segments: Consumer Banking and Lending; Commercial Banking; Corporate and Investment Banking; and Wealth and Investment Management. The Consumer Banking and Lending segment offers diversified financial products and services for consumers and small businesses. Its financial products and services include checking and savings accounts, and credit and debit cards, as well as home, auto, personal, and small business lending services. The Commercial Banking segment provides financial solutions to private, family owned, and certain public companies. Its products and services include banking and credit products across various industry sectors and municipalities, secured lending and lease products, and treasury management services. The Corporate and Investment Banking segment offers a suite of capital markets, banking, and financial products and services to corporate, commercial real estate, government, and institutional clients. Its products and services comprise corporate banking, investment banking, treasury management, commercial real estate lending and servicing, equity, and fixed income solutions, as well as sales, trading, and research capabilities services. The Wealth and Investment Management segment provides personalized wealth management, brokerage, financial planning, lending, private banking, and trust and fiduciary products and services to affluent, high-net worth, and ultra-high-net worth clients. It also operates through financial advisors. Its serves to independent offices and consumer banks. The company was founded in 1852 and is headquartered in San Francisco, California.",233834,"{'maxAge': 1, 'name': 'Ms. Amy  Bonitatibus', 'title': 'Chief Communications & Brand Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",10,3,3,6,6,1693526400,1672444800,86400,2,43.05,42.67,42.61,43.305,43.05,42.67,42.61,43.305,1.4,0.0326,1691020800,0.303,3.29,1.145573,10.84596,8.89234,44877486,44877486,15445738,19047870,19047870,42.99,43.02,3100,3100,157144596480,35.25,48.84,2.0782473,43.4464,42.4174,1.2,0.027874567,USD,92798246912,0.21399,3663117968,3658779904,31464312,30263493,1690761600,1693440000,0.0086,0.00093000004,0.76403,2.55,0.0086,43.944,0.97738034,1672444800,1703980800,1688083200,0.572,15066999808,3.96,4.83,1.33,2:1,1155513600,1.227,NYQ,EQUITY,WFC,WFC,Wells Fargo & Company,Wells Fargo & Company,76253400,America/New_York,EDT,-14400000,42.95,65.0,43.75,51.01,52.0,2.1,buy,23,366087995392,99.815,280579997696,75614003200,20.055,0.00839,0.08719,72247000000,25912000512,0.667,0.143,0.0,0.0,0.24309999,USD,0.63
