,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"Harborside 3, 210 Hudson Street",Suite 400,Jersey City,NJ,07311-1206,United States,732 590 1010,732 205 8237,https://www.verisresidential.com,REIT—Residential,Real Estate,"Veris Residential, Inc. is a forward-thinking, environmentally- and socially-conscious real estate investment trust (REIT) that primarily owns, operates, acquires, and develops holistically-inspired, Class A multifamily properties that meet the sustainability-conscious lifestyle needs of today's residents while seeking to positively impact the communities it serves and the planet at large. The company is guided by an experienced management team and Board of Directors and is underpinned by leading corporate governance principles, a best-in-class and sustainable approach to operations, and an inclusive culture based on equality and meritocratic empowerment.",215,"{'maxAge': 1, 'name': 'Mr. Mahbod  Nia', 'age': 46, 'title': 'CEO & Director', 'yearBorn': 1976, 'fiscalYear': 2022, 'totalPay': 2878986, 'exercisedValue': 0, 'unexercisedValue': 44333}",1,1,2,2,1,1693526400,1672444800,86400,2,16.7,16.5,16.4,16.6,16.7,16.5,16.4,16.6,1695859200,0.0,1.144882,-35.869564,80,80,0,0,0,16.4,16.6,13400,13000,1680953984,10.5,17.3,4.3186874,16.18,15.1235,0.0,0.0,EUR,3638068736,-0.29996002,81647383,92064704,0.09064,0.98583,13.012,1.2680602,1672444800,1703980800,1688083200,-98018000,-0.99,-0.46,3.88,9.347,20.176,FRA,EQUITY,WY4.F,WY4.F,"VERIS RESIDENTIAL  DL-,01","Veris Residential, Inc.",1157436000,Europe/Berlin,CEST,7200000,16.5,26.0,16.0,18.07,17.0,3.0,hold,7,396940000,4.314,180319008,2316337920,3.648,5.324,389228000,166.853,4.262,0.00945,-0.05155,195039000,474715744,45108000,0.265,0.57316,0.46327,0.15708,USD,
1,"Harborside 3, 210 Hudson Street",Suite 400,Jersey City,NJ,07311-1206,United States,732 590 1010,732 205 8237,https://www.verisresidential.com,REIT—Residential,Real Estate,"Veris Residential, Inc. is a forward-thinking, environmentally- and socially-conscious real estate investment trust (REIT) that primarily owns, operates, acquires, and develops holistically-inspired, Class A multifamily properties that meet the sustainability-conscious lifestyle needs of today's residents while seeking to positively impact the communities it serves and the planet at large. The company is guided by an experienced management team and Board of Directors and is underpinned by leading corporate governance principles, a best-in-class and sustainable approach to operations, and an inclusive culture based on equality and meritocratic empowerment.",215,"{'maxAge': 1, 'name': 'Ms. Amanda E. Lombard CPA', 'age': 38, 'title': 'Chief Financial Officer', 'yearBorn': 1984, 'fiscalYear': 2022, 'totalPay': 1248783, 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,2,2,1,1693526400,1672444800,86400,2,16.7,16.5,16.4,16.6,16.7,16.5,16.4,16.6,1695859200,0.0,1.144882,-35.869564,80,80,0,0,0,16.4,16.6,13400,13000,1680953984,10.5,17.3,4.3186874,16.18,15.1235,0.0,0.0,EUR,3638068736,-0.29996002,81647383,92064704,0.09064,0.98583,13.012,1.2680602,1672444800,1703980800,1688083200,-98018000,-0.99,-0.46,3.88,9.347,20.176,FRA,EQUITY,WY4.F,WY4.F,"VERIS RESIDENTIAL  DL-,01","Veris Residential, Inc.",1157436000,Europe/Berlin,CEST,7200000,16.5,26.0,16.0,18.07,17.0,3.0,hold,7,396940000,4.314,180319008,2316337920,3.648,5.324,389228000,166.853,4.262,0.00945,-0.05155,195039000,474715744,45108000,0.265,0.57316,0.46327,0.15708,USD,
2,"Harborside 3, 210 Hudson Street",Suite 400,Jersey City,NJ,07311-1206,United States,732 590 1010,732 205 8237,https://www.verisresidential.com,REIT—Residential,Real Estate,"Veris Residential, Inc. is a forward-thinking, environmentally- and socially-conscious real estate investment trust (REIT) that primarily owns, operates, acquires, and develops holistically-inspired, Class A multifamily properties that meet the sustainability-conscious lifestyle needs of today's residents while seeking to positively impact the communities it serves and the planet at large. The company is guided by an experienced management team and Board of Directors and is underpinned by leading corporate governance principles, a best-in-class and sustainable approach to operations, and an inclusive culture based on equality and meritocratic empowerment.",215,"{'maxAge': 1, 'name': 'Ms. Anna  Malhari', 'age': 36, 'title': 'Exec. VP & COO', 'yearBorn': 1986, 'fiscalYear': 2022, 'totalPay': 954688, 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,2,2,1,1693526400,1672444800,86400,2,16.7,16.5,16.4,16.6,16.7,16.5,16.4,16.6,1695859200,0.0,1.144882,-35.869564,80,80,0,0,0,16.4,16.6,13400,13000,1680953984,10.5,17.3,4.3186874,16.18,15.1235,0.0,0.0,EUR,3638068736,-0.29996002,81647383,92064704,0.09064,0.98583,13.012,1.2680602,1672444800,1703980800,1688083200,-98018000,-0.99,-0.46,3.88,9.347,20.176,FRA,EQUITY,WY4.F,WY4.F,"VERIS RESIDENTIAL  DL-,01","Veris Residential, Inc.",1157436000,Europe/Berlin,CEST,7200000,16.5,26.0,16.0,18.07,17.0,3.0,hold,7,396940000,4.314,180319008,2316337920,3.648,5.324,389228000,166.853,4.262,0.00945,-0.05155,195039000,474715744,45108000,0.265,0.57316,0.46327,0.15708,USD,
3,"Harborside 3, 210 Hudson Street",Suite 400,Jersey City,NJ,07311-1206,United States,732 590 1010,732 205 8237,https://www.verisresidential.com,REIT—Residential,Real Estate,"Veris Residential, Inc. is a forward-thinking, environmentally- and socially-conscious real estate investment trust (REIT) that primarily owns, operates, acquires, and develops holistically-inspired, Class A multifamily properties that meet the sustainability-conscious lifestyle needs of today's residents while seeking to positively impact the communities it serves and the planet at large. The company is guided by an experienced management team and Board of Directors and is underpinned by leading corporate governance principles, a best-in-class and sustainable approach to operations, and an inclusive culture based on equality and meritocratic empowerment.",215,"{'maxAge': 1, 'name': 'Mr. Jeffrey S. Turkanis', 'age': 40, 'title': 'Exec. VP & Chief Investment Officer', 'yearBorn': 1982, 'fiscalYear': 2022, 'totalPay': 1149925, 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,2,2,1,1693526400,1672444800,86400,2,16.7,16.5,16.4,16.6,16.7,16.5,16.4,16.6,1695859200,0.0,1.144882,-35.869564,80,80,0,0,0,16.4,16.6,13400,13000,1680953984,10.5,17.3,4.3186874,16.18,15.1235,0.0,0.0,EUR,3638068736,-0.29996002,81647383,92064704,0.09064,0.98583,13.012,1.2680602,1672444800,1703980800,1688083200,-98018000,-0.99,-0.46,3.88,9.347,20.176,FRA,EQUITY,WY4.F,WY4.F,"VERIS RESIDENTIAL  DL-,01","Veris Residential, Inc.",1157436000,Europe/Berlin,CEST,7200000,16.5,26.0,16.0,18.07,17.0,3.0,hold,7,396940000,4.314,180319008,2316337920,3.648,5.324,389228000,166.853,4.262,0.00945,-0.05155,195039000,474715744,45108000,0.265,0.57316,0.46327,0.15708,USD,
4,"Harborside 3, 210 Hudson Street",Suite 400,Jersey City,NJ,07311-1206,United States,732 590 1010,732 205 8237,https://www.verisresidential.com,REIT—Residential,Real Estate,"Veris Residential, Inc. is a forward-thinking, environmentally- and socially-conscious real estate investment trust (REIT) that primarily owns, operates, acquires, and develops holistically-inspired, Class A multifamily properties that meet the sustainability-conscious lifestyle needs of today's residents while seeking to positively impact the communities it serves and the planet at large. The company is guided by an experienced management team and Board of Directors and is underpinned by leading corporate governance principles, a best-in-class and sustainable approach to operations, and an inclusive culture based on equality and meritocratic empowerment.",215,"{'maxAge': 1, 'name': 'Ms. Taryn D. Fielder', 'age': 44, 'title': 'Gen. Counsel & Sec.', 'yearBorn': 1978, 'fiscalYear': 2022, 'totalPay': 973692, 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,2,2,1,1693526400,1672444800,86400,2,16.7,16.5,16.4,16.6,16.7,16.5,16.4,16.6,1695859200,0.0,1.144882,-35.869564,80,80,0,0,0,16.4,16.6,13400,13000,1680953984,10.5,17.3,4.3186874,16.18,15.1235,0.0,0.0,EUR,3638068736,-0.29996002,81647383,92064704,0.09064,0.98583,13.012,1.2680602,1672444800,1703980800,1688083200,-98018000,-0.99,-0.46,3.88,9.347,20.176,FRA,EQUITY,WY4.F,WY4.F,"VERIS RESIDENTIAL  DL-,01","Veris Residential, Inc.",1157436000,Europe/Berlin,CEST,7200000,16.5,26.0,16.0,18.07,17.0,3.0,hold,7,396940000,4.314,180319008,2316337920,3.648,5.324,389228000,166.853,4.262,0.00945,-0.05155,195039000,474715744,45108000,0.265,0.57316,0.46327,0.15708,USD,
5,"Harborside 3, 210 Hudson Street",Suite 400,Jersey City,NJ,07311-1206,United States,732 590 1010,732 205 8237,https://www.verisresidential.com,REIT—Residential,Real Estate,"Veris Residential, Inc. is a forward-thinking, environmentally- and socially-conscious real estate investment trust (REIT) that primarily owns, operates, acquires, and develops holistically-inspired, Class A multifamily properties that meet the sustainability-conscious lifestyle needs of today's residents while seeking to positively impact the communities it serves and the planet at large. The company is guided by an experienced management team and Board of Directors and is underpinned by leading corporate governance principles, a best-in-class and sustainable approach to operations, and an inclusive culture based on equality and meritocratic empowerment.",215,"{'maxAge': 1, 'name': 'Ms. Cindy  Mai', 'title': 'SVP & Chief Accounting Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,2,2,1,1693526400,1672444800,86400,2,16.7,16.5,16.4,16.6,16.7,16.5,16.4,16.6,1695859200,0.0,1.144882,-35.869564,80,80,0,0,0,16.4,16.6,13400,13000,1680953984,10.5,17.3,4.3186874,16.18,15.1235,0.0,0.0,EUR,3638068736,-0.29996002,81647383,92064704,0.09064,0.98583,13.012,1.2680602,1672444800,1703980800,1688083200,-98018000,-0.99,-0.46,3.88,9.347,20.176,FRA,EQUITY,WY4.F,WY4.F,"VERIS RESIDENTIAL  DL-,01","Veris Residential, Inc.",1157436000,Europe/Berlin,CEST,7200000,16.5,26.0,16.0,18.07,17.0,3.0,hold,7,396940000,4.314,180319008,2316337920,3.648,5.324,389228000,166.853,4.262,0.00945,-0.05155,195039000,474715744,45108000,0.265,0.57316,0.46327,0.15708,USD,
6,"Harborside 3, 210 Hudson Street",Suite 400,Jersey City,NJ,07311-1206,United States,732 590 1010,732 205 8237,https://www.verisresidential.com,REIT—Residential,Real Estate,"Veris Residential, Inc. is a forward-thinking, environmentally- and socially-conscious real estate investment trust (REIT) that primarily owns, operates, acquires, and develops holistically-inspired, Class A multifamily properties that meet the sustainability-conscious lifestyle needs of today's residents while seeking to positively impact the communities it serves and the planet at large. The company is guided by an experienced management team and Board of Directors and is underpinned by leading corporate governance principles, a best-in-class and sustainable approach to operations, and an inclusive culture based on equality and meritocratic empowerment.",215,"{'maxAge': 1, 'name': 'Giacomo  Mascillaro', 'title': 'Sr. VP, Chief Information Officer & CTO', 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,2,2,1,1693526400,1672444800,86400,2,16.7,16.5,16.4,16.6,16.7,16.5,16.4,16.6,1695859200,0.0,1.144882,-35.869564,80,80,0,0,0,16.4,16.6,13400,13000,1680953984,10.5,17.3,4.3186874,16.18,15.1235,0.0,0.0,EUR,3638068736,-0.29996002,81647383,92064704,0.09064,0.98583,13.012,1.2680602,1672444800,1703980800,1688083200,-98018000,-0.99,-0.46,3.88,9.347,20.176,FRA,EQUITY,WY4.F,WY4.F,"VERIS RESIDENTIAL  DL-,01","Veris Residential, Inc.",1157436000,Europe/Berlin,CEST,7200000,16.5,26.0,16.0,18.07,17.0,3.0,hold,7,396940000,4.314,180319008,2316337920,3.648,5.324,389228000,166.853,4.262,0.00945,-0.05155,195039000,474715744,45108000,0.265,0.57316,0.46327,0.15708,USD,
7,"Harborside 3, 210 Hudson Street",Suite 400,Jersey City,NJ,07311-1206,United States,732 590 1010,732 205 8237,https://www.verisresidential.com,REIT—Residential,Real Estate,"Veris Residential, Inc. is a forward-thinking, environmentally- and socially-conscious real estate investment trust (REIT) that primarily owns, operates, acquires, and develops holistically-inspired, Class A multifamily properties that meet the sustainability-conscious lifestyle needs of today's residents while seeking to positively impact the communities it serves and the planet at large. The company is guided by an experienced management team and Board of Directors and is underpinned by leading corporate governance principles, a best-in-class and sustainable approach to operations, and an inclusive culture based on equality and meritocratic empowerment.",215,"{'maxAge': 1, 'name': 'Ms. Nicole  Jones', 'title': 'Sr. VP of Marketing & Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,2,2,1,1693526400,1672444800,86400,2,16.7,16.5,16.4,16.6,16.7,16.5,16.4,16.6,1695859200,0.0,1.144882,-35.869564,80,80,0,0,0,16.4,16.6,13400,13000,1680953984,10.5,17.3,4.3186874,16.18,15.1235,0.0,0.0,EUR,3638068736,-0.29996002,81647383,92064704,0.09064,0.98583,13.012,1.2680602,1672444800,1703980800,1688083200,-98018000,-0.99,-0.46,3.88,9.347,20.176,FRA,EQUITY,WY4.F,WY4.F,"VERIS RESIDENTIAL  DL-,01","Veris Residential, Inc.",1157436000,Europe/Berlin,CEST,7200000,16.5,26.0,16.0,18.07,17.0,3.0,hold,7,396940000,4.314,180319008,2316337920,3.648,5.324,389228000,166.853,4.262,0.00945,-0.05155,195039000,474715744,45108000,0.265,0.57316,0.46327,0.15708,USD,
8,"Harborside 3, 210 Hudson Street",Suite 400,Jersey City,NJ,07311-1206,United States,732 590 1010,732 205 8237,https://www.verisresidential.com,REIT—Residential,Real Estate,"Veris Residential, Inc. is a forward-thinking, environmentally- and socially-conscious real estate investment trust (REIT) that primarily owns, operates, acquires, and develops holistically-inspired, Class A multifamily properties that meet the sustainability-conscious lifestyle needs of today's residents while seeking to positively impact the communities it serves and the planet at large. The company is guided by an experienced management team and Board of Directors and is underpinned by leading corporate governance principles, a best-in-class and sustainable approach to operations, and an inclusive culture based on equality and meritocratic empowerment.",215,"{'maxAge': 1, 'name': 'Ms. Lori  Jean Milo', 'title': 'Sr. VP of Human Resource', 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,2,2,1,1693526400,1672444800,86400,2,16.7,16.5,16.4,16.6,16.7,16.5,16.4,16.6,1695859200,0.0,1.144882,-35.869564,80,80,0,0,0,16.4,16.6,13400,13000,1680953984,10.5,17.3,4.3186874,16.18,15.1235,0.0,0.0,EUR,3638068736,-0.29996002,81647383,92064704,0.09064,0.98583,13.012,1.2680602,1672444800,1703980800,1688083200,-98018000,-0.99,-0.46,3.88,9.347,20.176,FRA,EQUITY,WY4.F,WY4.F,"VERIS RESIDENTIAL  DL-,01","Veris Residential, Inc.",1157436000,Europe/Berlin,CEST,7200000,16.5,26.0,16.0,18.07,17.0,3.0,hold,7,396940000,4.314,180319008,2316337920,3.648,5.324,389228000,166.853,4.262,0.00945,-0.05155,195039000,474715744,45108000,0.265,0.57316,0.46327,0.15708,USD,
9,"Harborside 3, 210 Hudson Street",Suite 400,Jersey City,NJ,07311-1206,United States,732 590 1010,732 205 8237,https://www.verisresidential.com,REIT—Residential,Real Estate,"Veris Residential, Inc. is a forward-thinking, environmentally- and socially-conscious real estate investment trust (REIT) that primarily owns, operates, acquires, and develops holistically-inspired, Class A multifamily properties that meet the sustainability-conscious lifestyle needs of today's residents while seeking to positively impact the communities it serves and the planet at large. The company is guided by an experienced management team and Board of Directors and is underpinned by leading corporate governance principles, a best-in-class and sustainable approach to operations, and an inclusive culture based on equality and meritocratic empowerment.",215,"{'maxAge': 1, 'name': 'Ms. Susan  Epstein', 'title': 'Sr. VP of Legal', 'exercisedValue': 0, 'unexercisedValue': 0}",1,1,2,2,1,1693526400,1672444800,86400,2,16.7,16.5,16.4,16.6,16.7,16.5,16.4,16.6,1695859200,0.0,1.144882,-35.869564,80,80,0,0,0,16.4,16.6,13400,13000,1680953984,10.5,17.3,4.3186874,16.18,15.1235,0.0,0.0,EUR,3638068736,-0.29996002,81647383,92064704,0.09064,0.98583,13.012,1.2680602,1672444800,1703980800,1688083200,-98018000,-0.99,-0.46,3.88,9.347,20.176,FRA,EQUITY,WY4.F,WY4.F,"VERIS RESIDENTIAL  DL-,01","Veris Residential, Inc.",1157436000,Europe/Berlin,CEST,7200000,16.5,26.0,16.0,18.07,17.0,3.0,hold,7,396940000,4.314,180319008,2316337920,3.648,5.324,389228000,166.853,4.262,0.00945,-0.05155,195039000,474715744,45108000,0.265,0.57316,0.46327,0.15708,USD,
