,address1,address2,city,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Standard Chartered Bank Building,28th Floor 4 Des Voeux Road,Central,Hong Kong,852 2879 0111,852 2868 6086,https://www.hanglung.com,Real Estate Services,Real Estate,"Hang Lung Properties Limited, an investment holding company, engages in the property investment, development, and management activities in Hong Kong and Mainland China. It operates through Property Leasing and Property Sales segments. The company is involved in the development, sale, and leasing of properties. Its investment properties portfolio includes shopping malls, office towers, residential, serviced apartment, hotel, and car parking properties, as well as industrial premises. The company also engages in the apartment operating and management, project management, car park management, and property agency activities. In addition, it provides management and financial services. The company was incorporated in 1949 and is headquartered in Central, Hong Kong. Hang Lung Properties Limited operates as a subsidiary of Hang Lung Group Limited.",4115,"{'maxAge': 1, 'name': 'Mr. Chichung  Chan', 'age': 72, 'title': 'Exec. Chairman', 'yearBorn': 1950, 'fiscalYear': 2022, 'totalPay': 45000000, 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,10,8,9,1693526400,1672444800,86400,3,10.4,10.28,10.28,10.6,10.4,10.28,10.28,10.6,0.78,0.0743,1694476800,0.8211,4.73,0.780405,11.052631,8.823529,10404166,10404166,5791726,5788787,5788787,10.48,10.5,0,0,47242227712,9.28,16.28,4.579954,10.9366,13.48505,0.78,0.075,HKD,100347240448,0.41512,1715028182,4499259904,0.6134,0.18389,28.91,0.36319613,1672444800,1703980800,1688083200,0.229,4281999872,0.95,1.19,-1.4,9.728,14.724,HKG,EQUITY,0101.HK,0101.HK,HANG LUNG PPT,Hang Lung Properties Limited,946949400,Asia/Hong_Kong,HKT,28800000,10.5,26.7,11.5,16.58,15.95,1.8,buy,14,4712000000,1.047,6815000064,48042000384,0.593,1.451,10314999808,34.353,2.293,0.01978,0.03396,7277000000,0.233,-0.011,0.71760005,0.66069,0.65410006,HKD,0.8243
1,Standard Chartered Bank Building,28th Floor 4 Des Voeux Road,Central,Hong Kong,852 2879 0111,852 2868 6086,https://www.hanglung.com,Real Estate Services,Real Estate,"Hang Lung Properties Limited, an investment holding company, engages in the property investment, development, and management activities in Hong Kong and Mainland China. It operates through Property Leasing and Property Sales segments. The company is involved in the development, sale, and leasing of properties. Its investment properties portfolio includes shopping malls, office towers, residential, serviced apartment, hotel, and car parking properties, as well as industrial premises. The company also engages in the apartment operating and management, project management, car park management, and property agency activities. In addition, it provides management and financial services. The company was incorporated in 1949 and is headquartered in Central, Hong Kong. Hang Lung Properties Limited operates as a subsidiary of Hang Lung Group Limited.",4115,"{'maxAge': 1, 'name': 'Mr. Wai Pak  Lo', 'age': 51, 'title': 'CEO & Exec. Director', 'yearBorn': 1971, 'fiscalYear': 2022, 'totalPay': 32000000, 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,10,8,9,1693526400,1672444800,86400,3,10.4,10.28,10.28,10.6,10.4,10.28,10.28,10.6,0.78,0.0743,1694476800,0.8211,4.73,0.780405,11.052631,8.823529,10404166,10404166,5791726,5788787,5788787,10.48,10.5,0,0,47242227712,9.28,16.28,4.579954,10.9366,13.48505,0.78,0.075,HKD,100347240448,0.41512,1715028182,4499259904,0.6134,0.18389,28.91,0.36319613,1672444800,1703980800,1688083200,0.229,4281999872,0.95,1.19,-1.4,9.728,14.724,HKG,EQUITY,0101.HK,0101.HK,HANG LUNG PPT,Hang Lung Properties Limited,946949400,Asia/Hong_Kong,HKT,28800000,10.5,26.7,11.5,16.58,15.95,1.8,buy,14,4712000000,1.047,6815000064,48042000384,0.593,1.451,10314999808,34.353,2.293,0.01978,0.03396,7277000000,0.233,-0.011,0.71760005,0.66069,0.65410006,HKD,0.8243
2,Standard Chartered Bank Building,28th Floor 4 Des Voeux Road,Central,Hong Kong,852 2879 0111,852 2868 6086,https://www.hanglung.com,Real Estate Services,Real Estate,"Hang Lung Properties Limited, an investment holding company, engages in the property investment, development, and management activities in Hong Kong and Mainland China. It operates through Property Leasing and Property Sales segments. The company is involved in the development, sale, and leasing of properties. Its investment properties portfolio includes shopping malls, office towers, residential, serviced apartment, hotel, and car parking properties, as well as industrial premises. The company also engages in the apartment operating and management, project management, car park management, and property agency activities. In addition, it provides management and financial services. The company was incorporated in 1949 and is headquartered in Central, Hong Kong. Hang Lung Properties Limited operates as a subsidiary of Hang Lung Group Limited.",4115,"{'maxAge': 1, 'name': 'Mr. Wenbwo  Chan', 'age': 40, 'title': 'Exec. Vice Chair of the Board', 'yearBorn': 1982, 'fiscalYear': 2022, 'totalPay': 21100000, 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,10,8,9,1693526400,1672444800,86400,3,10.4,10.28,10.28,10.6,10.4,10.28,10.28,10.6,0.78,0.0743,1694476800,0.8211,4.73,0.780405,11.052631,8.823529,10404166,10404166,5791726,5788787,5788787,10.48,10.5,0,0,47242227712,9.28,16.28,4.579954,10.9366,13.48505,0.78,0.075,HKD,100347240448,0.41512,1715028182,4499259904,0.6134,0.18389,28.91,0.36319613,1672444800,1703980800,1688083200,0.229,4281999872,0.95,1.19,-1.4,9.728,14.724,HKG,EQUITY,0101.HK,0101.HK,HANG LUNG PPT,Hang Lung Properties Limited,946949400,Asia/Hong_Kong,HKT,28800000,10.5,26.7,11.5,16.58,15.95,1.8,buy,14,4712000000,1.047,6815000064,48042000384,0.593,1.451,10314999808,34.353,2.293,0.01978,0.03396,7277000000,0.233,-0.011,0.71760005,0.66069,0.65410006,HKD,0.8243
3,Standard Chartered Bank Building,28th Floor 4 Des Voeux Road,Central,Hong Kong,852 2879 0111,852 2868 6086,https://www.hanglung.com,Real Estate Services,Real Estate,"Hang Lung Properties Limited, an investment holding company, engages in the property investment, development, and management activities in Hong Kong and Mainland China. It operates through Property Leasing and Property Sales segments. The company is involved in the development, sale, and leasing of properties. Its investment properties portfolio includes shopping malls, office towers, residential, serviced apartment, hotel, and car parking properties, as well as industrial premises. The company also engages in the apartment operating and management, project management, car park management, and property agency activities. In addition, it provides management and financial services. The company was incorporated in 1949 and is headquartered in Central, Hong Kong. Hang Lung Properties Limited operates as a subsidiary of Hang Lung Group Limited.",4115,"{'maxAge': 1, 'name': 'Mr. Ka Kui  Chiu', 'age': 46, 'title': 'CFO & Exec. Director', 'yearBorn': 1976, 'fiscalYear': 2022, 'totalPay': 9000000, 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,10,8,9,1693526400,1672444800,86400,3,10.4,10.28,10.28,10.6,10.4,10.28,10.28,10.6,0.78,0.0743,1694476800,0.8211,4.73,0.780405,11.052631,8.823529,10404166,10404166,5791726,5788787,5788787,10.48,10.5,0,0,47242227712,9.28,16.28,4.579954,10.9366,13.48505,0.78,0.075,HKD,100347240448,0.41512,1715028182,4499259904,0.6134,0.18389,28.91,0.36319613,1672444800,1703980800,1688083200,0.229,4281999872,0.95,1.19,-1.4,9.728,14.724,HKG,EQUITY,0101.HK,0101.HK,HANG LUNG PPT,Hang Lung Properties Limited,946949400,Asia/Hong_Kong,HKT,28800000,10.5,26.7,11.5,16.58,15.95,1.8,buy,14,4712000000,1.047,6815000064,48042000384,0.593,1.451,10314999808,34.353,2.293,0.01978,0.03396,7277000000,0.233,-0.011,0.71760005,0.66069,0.65410006,HKD,0.8243
4,Standard Chartered Bank Building,28th Floor 4 Des Voeux Road,Central,Hong Kong,852 2879 0111,852 2868 6086,https://www.hanglung.com,Real Estate Services,Real Estate,"Hang Lung Properties Limited, an investment holding company, engages in the property investment, development, and management activities in Hong Kong and Mainland China. It operates through Property Leasing and Property Sales segments. The company is involved in the development, sale, and leasing of properties. Its investment properties portfolio includes shopping malls, office towers, residential, serviced apartment, hotel, and car parking properties, as well as industrial premises. The company also engages in the apartment operating and management, project management, car park management, and property agency activities. In addition, it provides management and financial services. The company was incorporated in 1949 and is headquartered in Central, Hong Kong. Hang Lung Properties Limited operates as a subsidiary of Hang Lung Group Limited.",4115,"{'maxAge': 1, 'name': 'Ms. Shun Ngar  Poon', 'title': 'Director of HR & Admin.', 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,10,8,9,1693526400,1672444800,86400,3,10.4,10.28,10.28,10.6,10.4,10.28,10.28,10.6,0.78,0.0743,1694476800,0.8211,4.73,0.780405,11.052631,8.823529,10404166,10404166,5791726,5788787,5788787,10.48,10.5,0,0,47242227712,9.28,16.28,4.579954,10.9366,13.48505,0.78,0.075,HKD,100347240448,0.41512,1715028182,4499259904,0.6134,0.18389,28.91,0.36319613,1672444800,1703980800,1688083200,0.229,4281999872,0.95,1.19,-1.4,9.728,14.724,HKG,EQUITY,0101.HK,0101.HK,HANG LUNG PPT,Hang Lung Properties Limited,946949400,Asia/Hong_Kong,HKT,28800000,10.5,26.7,11.5,16.58,15.95,1.8,buy,14,4712000000,1.047,6815000064,48042000384,0.593,1.451,10314999808,34.353,2.293,0.01978,0.03396,7277000000,0.233,-0.011,0.71760005,0.66069,0.65410006,HKD,0.8243
5,Standard Chartered Bank Building,28th Floor 4 Des Voeux Road,Central,Hong Kong,852 2879 0111,852 2868 6086,https://www.hanglung.com,Real Estate Services,Real Estate,"Hang Lung Properties Limited, an investment holding company, engages in the property investment, development, and management activities in Hong Kong and Mainland China. It operates through Property Leasing and Property Sales segments. The company is involved in the development, sale, and leasing of properties. Its investment properties portfolio includes shopping malls, office towers, residential, serviced apartment, hotel, and car parking properties, as well as industrial premises. The company also engages in the apartment operating and management, project management, car park management, and property agency activities. In addition, it provides management and financial services. The company was incorporated in 1949 and is headquartered in Central, Hong Kong. Hang Lung Properties Limited operates as a subsidiary of Hang Lung Group Limited.",4115,"{'maxAge': 1, 'name': 'Ms. Yuen Wah  Ma', 'title': 'Director of Gen. Counsel & Company Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,10,8,9,1693526400,1672444800,86400,3,10.4,10.28,10.28,10.6,10.4,10.28,10.28,10.6,0.78,0.0743,1694476800,0.8211,4.73,0.780405,11.052631,8.823529,10404166,10404166,5791726,5788787,5788787,10.48,10.5,0,0,47242227712,9.28,16.28,4.579954,10.9366,13.48505,0.78,0.075,HKD,100347240448,0.41512,1715028182,4499259904,0.6134,0.18389,28.91,0.36319613,1672444800,1703980800,1688083200,0.229,4281999872,0.95,1.19,-1.4,9.728,14.724,HKG,EQUITY,0101.HK,0101.HK,HANG LUNG PPT,Hang Lung Properties Limited,946949400,Asia/Hong_Kong,HKT,28800000,10.5,26.7,11.5,16.58,15.95,1.8,buy,14,4712000000,1.047,6815000064,48042000384,0.593,1.451,10314999808,34.353,2.293,0.01978,0.03396,7277000000,0.233,-0.011,0.71760005,0.66069,0.65410006,HKD,0.8243
6,Standard Chartered Bank Building,28th Floor 4 Des Voeux Road,Central,Hong Kong,852 2879 0111,852 2868 6086,https://www.hanglung.com,Real Estate Services,Real Estate,"Hang Lung Properties Limited, an investment holding company, engages in the property investment, development, and management activities in Hong Kong and Mainland China. It operates through Property Leasing and Property Sales segments. The company is involved in the development, sale, and leasing of properties. Its investment properties portfolio includes shopping malls, office towers, residential, serviced apartment, hotel, and car parking properties, as well as industrial premises. The company also engages in the apartment operating and management, project management, car park management, and property agency activities. In addition, it provides management and financial services. The company was incorporated in 1949 and is headquartered in Central, Hong Kong. Hang Lung Properties Limited operates as a subsidiary of Hang Lung Group Limited.",4115,"{'maxAge': 1, 'name': 'Mr. Kam Hung  Chow', 'title': 'Deputy Director & Head of Corp. Audit', 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,10,8,9,1693526400,1672444800,86400,3,10.4,10.28,10.28,10.6,10.4,10.28,10.28,10.6,0.78,0.0743,1694476800,0.8211,4.73,0.780405,11.052631,8.823529,10404166,10404166,5791726,5788787,5788787,10.48,10.5,0,0,47242227712,9.28,16.28,4.579954,10.9366,13.48505,0.78,0.075,HKD,100347240448,0.41512,1715028182,4499259904,0.6134,0.18389,28.91,0.36319613,1672444800,1703980800,1688083200,0.229,4281999872,0.95,1.19,-1.4,9.728,14.724,HKG,EQUITY,0101.HK,0101.HK,HANG LUNG PPT,Hang Lung Properties Limited,946949400,Asia/Hong_Kong,HKT,28800000,10.5,26.7,11.5,16.58,15.95,1.8,buy,14,4712000000,1.047,6815000064,48042000384,0.593,1.451,10314999808,34.353,2.293,0.01978,0.03396,7277000000,0.233,-0.011,0.71760005,0.66069,0.65410006,HKD,0.8243
7,Standard Chartered Bank Building,28th Floor 4 Des Voeux Road,Central,Hong Kong,852 2879 0111,852 2868 6086,https://www.hanglung.com,Real Estate Services,Real Estate,"Hang Lung Properties Limited, an investment holding company, engages in the property investment, development, and management activities in Hong Kong and Mainland China. It operates through Property Leasing and Property Sales segments. The company is involved in the development, sale, and leasing of properties. Its investment properties portfolio includes shopping malls, office towers, residential, serviced apartment, hotel, and car parking properties, as well as industrial premises. The company also engages in the apartment operating and management, project management, car park management, and property agency activities. In addition, it provides management and financial services. The company was incorporated in 1949 and is headquartered in Central, Hong Kong. Hang Lung Properties Limited operates as a subsidiary of Hang Lung Group Limited.",4115,"{'maxAge': 1, 'name': 'Mr. Wai Keung  Pau', 'title': 'Deputy Director & Head of Group Service Delivery', 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,10,8,9,1693526400,1672444800,86400,3,10.4,10.28,10.28,10.6,10.4,10.28,10.28,10.6,0.78,0.0743,1694476800,0.8211,4.73,0.780405,11.052631,8.823529,10404166,10404166,5791726,5788787,5788787,10.48,10.5,0,0,47242227712,9.28,16.28,4.579954,10.9366,13.48505,0.78,0.075,HKD,100347240448,0.41512,1715028182,4499259904,0.6134,0.18389,28.91,0.36319613,1672444800,1703980800,1688083200,0.229,4281999872,0.95,1.19,-1.4,9.728,14.724,HKG,EQUITY,0101.HK,0101.HK,HANG LUNG PPT,Hang Lung Properties Limited,946949400,Asia/Hong_Kong,HKT,28800000,10.5,26.7,11.5,16.58,15.95,1.8,buy,14,4712000000,1.047,6815000064,48042000384,0.593,1.451,10314999808,34.353,2.293,0.01978,0.03396,7277000000,0.233,-0.011,0.71760005,0.66069,0.65410006,HKD,0.8243
8,Standard Chartered Bank Building,28th Floor 4 Des Voeux Road,Central,Hong Kong,852 2879 0111,852 2868 6086,https://www.hanglung.com,Real Estate Services,Real Estate,"Hang Lung Properties Limited, an investment holding company, engages in the property investment, development, and management activities in Hong Kong and Mainland China. It operates through Property Leasing and Property Sales segments. The company is involved in the development, sale, and leasing of properties. Its investment properties portfolio includes shopping malls, office towers, residential, serviced apartment, hotel, and car parking properties, as well as industrial premises. The company also engages in the apartment operating and management, project management, car park management, and property agency activities. In addition, it provides management and financial services. The company was incorporated in 1949 and is headquartered in Central, Hong Kong. Hang Lung Properties Limited operates as a subsidiary of Hang Lung Group Limited.",4115,"{'maxAge': 1, 'name': 'Ms. Helen  Lau', 'title': 'Deputy Director & Head of Hong Kong Bus. Operation', 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,10,8,9,1693526400,1672444800,86400,3,10.4,10.28,10.28,10.6,10.4,10.28,10.28,10.6,0.78,0.0743,1694476800,0.8211,4.73,0.780405,11.052631,8.823529,10404166,10404166,5791726,5788787,5788787,10.48,10.5,0,0,47242227712,9.28,16.28,4.579954,10.9366,13.48505,0.78,0.075,HKD,100347240448,0.41512,1715028182,4499259904,0.6134,0.18389,28.91,0.36319613,1672444800,1703980800,1688083200,0.229,4281999872,0.95,1.19,-1.4,9.728,14.724,HKG,EQUITY,0101.HK,0101.HK,HANG LUNG PPT,Hang Lung Properties Limited,946949400,Asia/Hong_Kong,HKT,28800000,10.5,26.7,11.5,16.58,15.95,1.8,buy,14,4712000000,1.047,6815000064,48042000384,0.593,1.451,10314999808,34.353,2.293,0.01978,0.03396,7277000000,0.233,-0.011,0.71760005,0.66069,0.65410006,HKD,0.8243
9,Standard Chartered Bank Building,28th Floor 4 Des Voeux Road,Central,Hong Kong,852 2879 0111,852 2868 6086,https://www.hanglung.com,Real Estate Services,Real Estate,"Hang Lung Properties Limited, an investment holding company, engages in the property investment, development, and management activities in Hong Kong and Mainland China. It operates through Property Leasing and Property Sales segments. The company is involved in the development, sale, and leasing of properties. Its investment properties portfolio includes shopping malls, office towers, residential, serviced apartment, hotel, and car parking properties, as well as industrial premises. The company also engages in the apartment operating and management, project management, car park management, and property agency activities. In addition, it provides management and financial services. The company was incorporated in 1949 and is headquartered in Central, Hong Kong. Hang Lung Properties Limited operates as a subsidiary of Hang Lung Group Limited.",4115,"{'maxAge': 1, 'name': 'Mr. John  Haffner', 'title': 'Deputy Director of Sustainability', 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,10,8,9,1693526400,1672444800,86400,3,10.4,10.28,10.28,10.6,10.4,10.28,10.28,10.6,0.78,0.0743,1694476800,0.8211,4.73,0.780405,11.052631,8.823529,10404166,10404166,5791726,5788787,5788787,10.48,10.5,0,0,47242227712,9.28,16.28,4.579954,10.9366,13.48505,0.78,0.075,HKD,100347240448,0.41512,1715028182,4499259904,0.6134,0.18389,28.91,0.36319613,1672444800,1703980800,1688083200,0.229,4281999872,0.95,1.19,-1.4,9.728,14.724,HKG,EQUITY,0101.HK,0101.HK,HANG LUNG PPT,Hang Lung Properties Limited,946949400,Asia/Hong_Kong,HKT,28800000,10.5,26.7,11.5,16.58,15.95,1.8,buy,14,4712000000,1.047,6815000064,48042000384,0.593,1.451,10314999808,34.353,2.293,0.01978,0.03396,7277000000,0.233,-0.011,0.71760005,0.66069,0.65410006,HKD,0.8243
