,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationMean,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"17, Wu-Gung-Wu Road",Shin-Chuang District,New Taipei City,24890,Taiwan,886 2 2299 0001,886 2 2299 4529,https://www.i-chiun.com.tw,Electronic Components,Technology,"I-Chiun Precision Industry Co., Ltd. develops, manufactures, and sells high-tech precision electronics and related applications worldwide. It provides optoelectronic lead frames, miniature electrical products, small motors, and 3C products, as well as components for 3C products, such as mobile phones, PDAs, computers, automobiles, office automation equipment, stereos, home appliances, communication equipment, cameras, and medical devices. The company also offers SMD LED products for use in mobile phones, notebook computer displays, TV back lights, and streetlights; plug-in lamp LED products for use in remote controls, flashlights, signboards, and traffic signals; and photo coupler products to protect electronic components in household appliances, such as transistors. In addition, it provides LCD products, including lamp reflectors and covers, front and back bezels, and ground clips for use in global positioning systems, digital cameras, LCD products, and notebook computers. Further, the company offers heat spreaders, such as flip chip-lids/rings, and flip chip-hats and flat tops. I-Chiun Precision Industry Co., Ltd. was founded in 1977 and is based in New Taipei City, Taiwan.","{'maxAge': 1, 'name': 'Mr. Wan-Shun  Chou', 'title': 'Chairman & Pres', 'fiscalYear': 2021, 'totalPay': 21675000, 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,2,53.2,53.3,47.9,54.7,53.2,53.3,47.9,54.7,0.4,0.0084,1686700800,0.64519995,1.522606,77.258064,9.676768,67913267,67913267,11079623,28379337,28379337,0.0,47.9,0,0,10440237056,16.2,54.7,2.2022383,45.993,32.76825,0.4,0.007518797,TWD,10968804352,0.02859,217959008,0.22989,0.01806,18.276,2.6209238,1672444800,1703980800,1688083200,0.989,135540992,0.62,4.95,1:1,1250726400,2.314,23.504,TAI,EQUITY,2486.TW,2486.TW,I-CHIUN PRECISION INDUSTRY CO,"I-Chiun Precision Industry Co., Ltd.",953686800,Asia/Taipei,CST,28800000,47.9,1.0,strong_buy,1892531968,8.683,466680992,2250103040,1.785,2.37,4740739072,54.161,21.558,0.0040599997,0.02865,578280000,864456128,1362924032,1.053,-0.158,0.11662,0.09844,0.01121,TWD,
1,"17, Wu-Gung-Wu Road",Shin-Chuang District,New Taipei City,24890,Taiwan,886 2 2299 0001,886 2 2299 4529,https://www.i-chiun.com.tw,Electronic Components,Technology,"I-Chiun Precision Industry Co., Ltd. develops, manufactures, and sells high-tech precision electronics and related applications worldwide. It provides optoelectronic lead frames, miniature electrical products, small motors, and 3C products, as well as components for 3C products, such as mobile phones, PDAs, computers, automobiles, office automation equipment, stereos, home appliances, communication equipment, cameras, and medical devices. The company also offers SMD LED products for use in mobile phones, notebook computer displays, TV back lights, and streetlights; plug-in lamp LED products for use in remote controls, flashlights, signboards, and traffic signals; and photo coupler products to protect electronic components in household appliances, such as transistors. In addition, it provides LCD products, including lamp reflectors and covers, front and back bezels, and ground clips for use in global positioning systems, digital cameras, LCD products, and notebook computers. Further, the company offers heat spreaders, such as flip chip-lids/rings, and flip chip-hats and flat tops. I-Chiun Precision Industry Co., Ltd. was founded in 1977 and is based in New Taipei City, Taiwan.","{'maxAge': 1, 'name': 'Mr. Chung-Yi  Lee', 'title': 'Vice Chairman & Pres of LED Bus. Unit', 'fiscalYear': 2021, 'totalPay': 14279000, 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,2,53.2,53.3,47.9,54.7,53.2,53.3,47.9,54.7,0.4,0.0084,1686700800,0.64519995,1.522606,77.258064,9.676768,67913267,67913267,11079623,28379337,28379337,0.0,47.9,0,0,10440237056,16.2,54.7,2.2022383,45.993,32.76825,0.4,0.007518797,TWD,10968804352,0.02859,217959008,0.22989,0.01806,18.276,2.6209238,1672444800,1703980800,1688083200,0.989,135540992,0.62,4.95,1:1,1250726400,2.314,23.504,TAI,EQUITY,2486.TW,2486.TW,I-CHIUN PRECISION INDUSTRY CO,"I-Chiun Precision Industry Co., Ltd.",953686800,Asia/Taipei,CST,28800000,47.9,1.0,strong_buy,1892531968,8.683,466680992,2250103040,1.785,2.37,4740739072,54.161,21.558,0.0040599997,0.02865,578280000,864456128,1362924032,1.053,-0.158,0.11662,0.09844,0.01121,TWD,
2,"17, Wu-Gung-Wu Road",Shin-Chuang District,New Taipei City,24890,Taiwan,886 2 2299 0001,886 2 2299 4529,https://www.i-chiun.com.tw,Electronic Components,Technology,"I-Chiun Precision Industry Co., Ltd. develops, manufactures, and sells high-tech precision electronics and related applications worldwide. It provides optoelectronic lead frames, miniature electrical products, small motors, and 3C products, as well as components for 3C products, such as mobile phones, PDAs, computers, automobiles, office automation equipment, stereos, home appliances, communication equipment, cameras, and medical devices. The company also offers SMD LED products for use in mobile phones, notebook computer displays, TV back lights, and streetlights; plug-in lamp LED products for use in remote controls, flashlights, signboards, and traffic signals; and photo coupler products to protect electronic components in household appliances, such as transistors. In addition, it provides LCD products, including lamp reflectors and covers, front and back bezels, and ground clips for use in global positioning systems, digital cameras, LCD products, and notebook computers. Further, the company offers heat spreaders, such as flip chip-lids/rings, and flip chip-hats and flat tops. I-Chiun Precision Industry Co., Ltd. was founded in 1977 and is based in New Taipei City, Taiwan.","{'maxAge': 1, 'name': 'Tung-Jung  Hsieh', 'title': 'Pres of Marketing Center', 'fiscalYear': 2021, 'totalPay': 9374000, 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,2,53.2,53.3,47.9,54.7,53.2,53.3,47.9,54.7,0.4,0.0084,1686700800,0.64519995,1.522606,77.258064,9.676768,67913267,67913267,11079623,28379337,28379337,0.0,47.9,0,0,10440237056,16.2,54.7,2.2022383,45.993,32.76825,0.4,0.007518797,TWD,10968804352,0.02859,217959008,0.22989,0.01806,18.276,2.6209238,1672444800,1703980800,1688083200,0.989,135540992,0.62,4.95,1:1,1250726400,2.314,23.504,TAI,EQUITY,2486.TW,2486.TW,I-CHIUN PRECISION INDUSTRY CO,"I-Chiun Precision Industry Co., Ltd.",953686800,Asia/Taipei,CST,28800000,47.9,1.0,strong_buy,1892531968,8.683,466680992,2250103040,1.785,2.37,4740739072,54.161,21.558,0.0040599997,0.02865,578280000,864456128,1362924032,1.053,-0.158,0.11662,0.09844,0.01121,TWD,
3,"17, Wu-Gung-Wu Road",Shin-Chuang District,New Taipei City,24890,Taiwan,886 2 2299 0001,886 2 2299 4529,https://www.i-chiun.com.tw,Electronic Components,Technology,"I-Chiun Precision Industry Co., Ltd. develops, manufactures, and sells high-tech precision electronics and related applications worldwide. It provides optoelectronic lead frames, miniature electrical products, small motors, and 3C products, as well as components for 3C products, such as mobile phones, PDAs, computers, automobiles, office automation equipment, stereos, home appliances, communication equipment, cameras, and medical devices. The company also offers SMD LED products for use in mobile phones, notebook computer displays, TV back lights, and streetlights; plug-in lamp LED products for use in remote controls, flashlights, signboards, and traffic signals; and photo coupler products to protect electronic components in household appliances, such as transistors. In addition, it provides LCD products, including lamp reflectors and covers, front and back bezels, and ground clips for use in global positioning systems, digital cameras, LCD products, and notebook computers. Further, the company offers heat spreaders, such as flip chip-lids/rings, and flip chip-hats and flat tops. I-Chiun Precision Industry Co., Ltd. was founded in 1977 and is based in New Taipei City, Taiwan.","{'maxAge': 1, 'name': 'Mr. Pei-Feng  Huang', 'title': 'VP', 'fiscalYear': 2021, 'totalPay': 3757000, 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,2,53.2,53.3,47.9,54.7,53.2,53.3,47.9,54.7,0.4,0.0084,1686700800,0.64519995,1.522606,77.258064,9.676768,67913267,67913267,11079623,28379337,28379337,0.0,47.9,0,0,10440237056,16.2,54.7,2.2022383,45.993,32.76825,0.4,0.007518797,TWD,10968804352,0.02859,217959008,0.22989,0.01806,18.276,2.6209238,1672444800,1703980800,1688083200,0.989,135540992,0.62,4.95,1:1,1250726400,2.314,23.504,TAI,EQUITY,2486.TW,2486.TW,I-CHIUN PRECISION INDUSTRY CO,"I-Chiun Precision Industry Co., Ltd.",953686800,Asia/Taipei,CST,28800000,47.9,1.0,strong_buy,1892531968,8.683,466680992,2250103040,1.785,2.37,4740739072,54.161,21.558,0.0040599997,0.02865,578280000,864456128,1362924032,1.053,-0.158,0.11662,0.09844,0.01121,TWD,
4,"17, Wu-Gung-Wu Road",Shin-Chuang District,New Taipei City,24890,Taiwan,886 2 2299 0001,886 2 2299 4529,https://www.i-chiun.com.tw,Electronic Components,Technology,"I-Chiun Precision Industry Co., Ltd. develops, manufactures, and sells high-tech precision electronics and related applications worldwide. It provides optoelectronic lead frames, miniature electrical products, small motors, and 3C products, as well as components for 3C products, such as mobile phones, PDAs, computers, automobiles, office automation equipment, stereos, home appliances, communication equipment, cameras, and medical devices. The company also offers SMD LED products for use in mobile phones, notebook computer displays, TV back lights, and streetlights; plug-in lamp LED products for use in remote controls, flashlights, signboards, and traffic signals; and photo coupler products to protect electronic components in household appliances, such as transistors. In addition, it provides LCD products, including lamp reflectors and covers, front and back bezels, and ground clips for use in global positioning systems, digital cameras, LCD products, and notebook computers. Further, the company offers heat spreaders, such as flip chip-lids/rings, and flip chip-hats and flat tops. I-Chiun Precision Industry Co., Ltd. was founded in 1977 and is based in New Taipei City, Taiwan.","{'maxAge': 1, 'name': 'Mr. Chih-Yung  Chen', 'title': 'Assistant VP', 'fiscalYear': 2021, 'totalPay': 2712000, 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,2,53.2,53.3,47.9,54.7,53.2,53.3,47.9,54.7,0.4,0.0084,1686700800,0.64519995,1.522606,77.258064,9.676768,67913267,67913267,11079623,28379337,28379337,0.0,47.9,0,0,10440237056,16.2,54.7,2.2022383,45.993,32.76825,0.4,0.007518797,TWD,10968804352,0.02859,217959008,0.22989,0.01806,18.276,2.6209238,1672444800,1703980800,1688083200,0.989,135540992,0.62,4.95,1:1,1250726400,2.314,23.504,TAI,EQUITY,2486.TW,2486.TW,I-CHIUN PRECISION INDUSTRY CO,"I-Chiun Precision Industry Co., Ltd.",953686800,Asia/Taipei,CST,28800000,47.9,1.0,strong_buy,1892531968,8.683,466680992,2250103040,1.785,2.37,4740739072,54.161,21.558,0.0040599997,0.02865,578280000,864456128,1362924032,1.053,-0.158,0.11662,0.09844,0.01121,TWD,
5,"17, Wu-Gung-Wu Road",Shin-Chuang District,New Taipei City,24890,Taiwan,886 2 2299 0001,886 2 2299 4529,https://www.i-chiun.com.tw,Electronic Components,Technology,"I-Chiun Precision Industry Co., Ltd. develops, manufactures, and sells high-tech precision electronics and related applications worldwide. It provides optoelectronic lead frames, miniature electrical products, small motors, and 3C products, as well as components for 3C products, such as mobile phones, PDAs, computers, automobiles, office automation equipment, stereos, home appliances, communication equipment, cameras, and medical devices. The company also offers SMD LED products for use in mobile phones, notebook computer displays, TV back lights, and streetlights; plug-in lamp LED products for use in remote controls, flashlights, signboards, and traffic signals; and photo coupler products to protect electronic components in household appliances, such as transistors. In addition, it provides LCD products, including lamp reflectors and covers, front and back bezels, and ground clips for use in global positioning systems, digital cameras, LCD products, and notebook computers. Further, the company offers heat spreaders, such as flip chip-lids/rings, and flip chip-hats and flat tops. I-Chiun Precision Industry Co., Ltd. was founded in 1977 and is based in New Taipei City, Taiwan.","{'maxAge': 1, 'name': 'Mr. Hsiu-Hsing  Liu', 'title': 'Assistant VP', 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,2,53.2,53.3,47.9,54.7,53.2,53.3,47.9,54.7,0.4,0.0084,1686700800,0.64519995,1.522606,77.258064,9.676768,67913267,67913267,11079623,28379337,28379337,0.0,47.9,0,0,10440237056,16.2,54.7,2.2022383,45.993,32.76825,0.4,0.007518797,TWD,10968804352,0.02859,217959008,0.22989,0.01806,18.276,2.6209238,1672444800,1703980800,1688083200,0.989,135540992,0.62,4.95,1:1,1250726400,2.314,23.504,TAI,EQUITY,2486.TW,2486.TW,I-CHIUN PRECISION INDUSTRY CO,"I-Chiun Precision Industry Co., Ltd.",953686800,Asia/Taipei,CST,28800000,47.9,1.0,strong_buy,1892531968,8.683,466680992,2250103040,1.785,2.37,4740739072,54.161,21.558,0.0040599997,0.02865,578280000,864456128,1362924032,1.053,-0.158,0.11662,0.09844,0.01121,TWD,
6,"17, Wu-Gung-Wu Road",Shin-Chuang District,New Taipei City,24890,Taiwan,886 2 2299 0001,886 2 2299 4529,https://www.i-chiun.com.tw,Electronic Components,Technology,"I-Chiun Precision Industry Co., Ltd. develops, manufactures, and sells high-tech precision electronics and related applications worldwide. It provides optoelectronic lead frames, miniature electrical products, small motors, and 3C products, as well as components for 3C products, such as mobile phones, PDAs, computers, automobiles, office automation equipment, stereos, home appliances, communication equipment, cameras, and medical devices. The company also offers SMD LED products for use in mobile phones, notebook computer displays, TV back lights, and streetlights; plug-in lamp LED products for use in remote controls, flashlights, signboards, and traffic signals; and photo coupler products to protect electronic components in household appliances, such as transistors. In addition, it provides LCD products, including lamp reflectors and covers, front and back bezels, and ground clips for use in global positioning systems, digital cameras, LCD products, and notebook computers. Further, the company offers heat spreaders, such as flip chip-lids/rings, and flip chip-hats and flat tops. I-Chiun Precision Industry Co., Ltd. was founded in 1977 and is based in New Taipei City, Taiwan.","{'maxAge': 1, 'name': 'Mr. Min-Chen  Tsai', 'title': 'Assistant VP', 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,2,53.2,53.3,47.9,54.7,53.2,53.3,47.9,54.7,0.4,0.0084,1686700800,0.64519995,1.522606,77.258064,9.676768,67913267,67913267,11079623,28379337,28379337,0.0,47.9,0,0,10440237056,16.2,54.7,2.2022383,45.993,32.76825,0.4,0.007518797,TWD,10968804352,0.02859,217959008,0.22989,0.01806,18.276,2.6209238,1672444800,1703980800,1688083200,0.989,135540992,0.62,4.95,1:1,1250726400,2.314,23.504,TAI,EQUITY,2486.TW,2486.TW,I-CHIUN PRECISION INDUSTRY CO,"I-Chiun Precision Industry Co., Ltd.",953686800,Asia/Taipei,CST,28800000,47.9,1.0,strong_buy,1892531968,8.683,466680992,2250103040,1.785,2.37,4740739072,54.161,21.558,0.0040599997,0.02865,578280000,864456128,1362924032,1.053,-0.158,0.11662,0.09844,0.01121,TWD,
7,"17, Wu-Gung-Wu Road",Shin-Chuang District,New Taipei City,24890,Taiwan,886 2 2299 0001,886 2 2299 4529,https://www.i-chiun.com.tw,Electronic Components,Technology,"I-Chiun Precision Industry Co., Ltd. develops, manufactures, and sells high-tech precision electronics and related applications worldwide. It provides optoelectronic lead frames, miniature electrical products, small motors, and 3C products, as well as components for 3C products, such as mobile phones, PDAs, computers, automobiles, office automation equipment, stereos, home appliances, communication equipment, cameras, and medical devices. The company also offers SMD LED products for use in mobile phones, notebook computer displays, TV back lights, and streetlights; plug-in lamp LED products for use in remote controls, flashlights, signboards, and traffic signals; and photo coupler products to protect electronic components in household appliances, such as transistors. In addition, it provides LCD products, including lamp reflectors and covers, front and back bezels, and ground clips for use in global positioning systems, digital cameras, LCD products, and notebook computers. Further, the company offers heat spreaders, such as flip chip-lids/rings, and flip chip-hats and flat tops. I-Chiun Precision Industry Co., Ltd. was founded in 1977 and is based in New Taipei City, Taiwan.","{'maxAge': 1, 'name': 'Mr. Pai-Jung  Yang', 'title': 'Assistant VP', 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,2,53.2,53.3,47.9,54.7,53.2,53.3,47.9,54.7,0.4,0.0084,1686700800,0.64519995,1.522606,77.258064,9.676768,67913267,67913267,11079623,28379337,28379337,0.0,47.9,0,0,10440237056,16.2,54.7,2.2022383,45.993,32.76825,0.4,0.007518797,TWD,10968804352,0.02859,217959008,0.22989,0.01806,18.276,2.6209238,1672444800,1703980800,1688083200,0.989,135540992,0.62,4.95,1:1,1250726400,2.314,23.504,TAI,EQUITY,2486.TW,2486.TW,I-CHIUN PRECISION INDUSTRY CO,"I-Chiun Precision Industry Co., Ltd.",953686800,Asia/Taipei,CST,28800000,47.9,1.0,strong_buy,1892531968,8.683,466680992,2250103040,1.785,2.37,4740739072,54.161,21.558,0.0040599997,0.02865,578280000,864456128,1362924032,1.053,-0.158,0.11662,0.09844,0.01121,TWD,
8,"17, Wu-Gung-Wu Road",Shin-Chuang District,New Taipei City,24890,Taiwan,886 2 2299 0001,886 2 2299 4529,https://www.i-chiun.com.tw,Electronic Components,Technology,"I-Chiun Precision Industry Co., Ltd. develops, manufactures, and sells high-tech precision electronics and related applications worldwide. It provides optoelectronic lead frames, miniature electrical products, small motors, and 3C products, as well as components for 3C products, such as mobile phones, PDAs, computers, automobiles, office automation equipment, stereos, home appliances, communication equipment, cameras, and medical devices. The company also offers SMD LED products for use in mobile phones, notebook computer displays, TV back lights, and streetlights; plug-in lamp LED products for use in remote controls, flashlights, signboards, and traffic signals; and photo coupler products to protect electronic components in household appliances, such as transistors. In addition, it provides LCD products, including lamp reflectors and covers, front and back bezels, and ground clips for use in global positioning systems, digital cameras, LCD products, and notebook computers. Further, the company offers heat spreaders, such as flip chip-lids/rings, and flip chip-hats and flat tops. I-Chiun Precision Industry Co., Ltd. was founded in 1977 and is based in New Taipei City, Taiwan.","{'maxAge': 1, 'name': 'Mr. Tsung-Wei  Lu', 'title': 'Assistant VP', 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,2,53.2,53.3,47.9,54.7,53.2,53.3,47.9,54.7,0.4,0.0084,1686700800,0.64519995,1.522606,77.258064,9.676768,67913267,67913267,11079623,28379337,28379337,0.0,47.9,0,0,10440237056,16.2,54.7,2.2022383,45.993,32.76825,0.4,0.007518797,TWD,10968804352,0.02859,217959008,0.22989,0.01806,18.276,2.6209238,1672444800,1703980800,1688083200,0.989,135540992,0.62,4.95,1:1,1250726400,2.314,23.504,TAI,EQUITY,2486.TW,2486.TW,I-CHIUN PRECISION INDUSTRY CO,"I-Chiun Precision Industry Co., Ltd.",953686800,Asia/Taipei,CST,28800000,47.9,1.0,strong_buy,1892531968,8.683,466680992,2250103040,1.785,2.37,4740739072,54.161,21.558,0.0040599997,0.02865,578280000,864456128,1362924032,1.053,-0.158,0.11662,0.09844,0.01121,TWD,
9,"17, Wu-Gung-Wu Road",Shin-Chuang District,New Taipei City,24890,Taiwan,886 2 2299 0001,886 2 2299 4529,https://www.i-chiun.com.tw,Electronic Components,Technology,"I-Chiun Precision Industry Co., Ltd. develops, manufactures, and sells high-tech precision electronics and related applications worldwide. It provides optoelectronic lead frames, miniature electrical products, small motors, and 3C products, as well as components for 3C products, such as mobile phones, PDAs, computers, automobiles, office automation equipment, stereos, home appliances, communication equipment, cameras, and medical devices. The company also offers SMD LED products for use in mobile phones, notebook computer displays, TV back lights, and streetlights; plug-in lamp LED products for use in remote controls, flashlights, signboards, and traffic signals; and photo coupler products to protect electronic components in household appliances, such as transistors. In addition, it provides LCD products, including lamp reflectors and covers, front and back bezels, and ground clips for use in global positioning systems, digital cameras, LCD products, and notebook computers. Further, the company offers heat spreaders, such as flip chip-lids/rings, and flip chip-hats and flat tops. I-Chiun Precision Industry Co., Ltd. was founded in 1977 and is based in New Taipei City, Taiwan.","{'maxAge': 1, 'name': 'Mr. Li-Wei  Huang', 'title': 'Assistant VP', 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,2,53.2,53.3,47.9,54.7,53.2,53.3,47.9,54.7,0.4,0.0084,1686700800,0.64519995,1.522606,77.258064,9.676768,67913267,67913267,11079623,28379337,28379337,0.0,47.9,0,0,10440237056,16.2,54.7,2.2022383,45.993,32.76825,0.4,0.007518797,TWD,10968804352,0.02859,217959008,0.22989,0.01806,18.276,2.6209238,1672444800,1703980800,1688083200,0.989,135540992,0.62,4.95,1:1,1250726400,2.314,23.504,TAI,EQUITY,2486.TW,2486.TW,I-CHIUN PRECISION INDUSTRY CO,"I-Chiun Precision Industry Co., Ltd.",953686800,Asia/Taipei,CST,28800000,47.9,1.0,strong_buy,1892531968,8.683,466680992,2250103040,1.785,2.37,4740739072,54.161,21.558,0.0040599997,0.02865,578280000,864456128,1362924032,1.053,-0.158,0.11662,0.09844,0.01121,TWD,
