,address1,city,state,zip,country,phone,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,1201 North Town Center Drive,Las Vegas,NV,89144,United States,702 851 7300,https://www.allegiantair.com,Airlines,Airlines,Industrials,Industrials,"Allegiant Travel Company, a leisure travel company, provides travel services and products to residents of under-served cities in the United States. The company offers scheduled air transportation on limited-frequency, nonstop flights between under-served cities and leisure destinations. As of February 1, 2023, it operated a fleet of 122 Airbus A320 series aircraft. The company also provides air-related services and products in conjunction with air transportation, including baggage fees, advance seat assignments, travel protection products, priority boarding, a customer convenience fee, food and beverage purchases on board, and other air-related services, as well as use of its call center for purchases. In addition, it offers third party travel products, such as hotel rooms and ground transportation, such as rental cars and hotel shuttle products; and air transportation services through fixed fee agreements and charter service on a year-round and ad-hoc basis. Further, the company operates a golf course. Allegiant Travel Company was founded in 1997 and is based in Las Vegas, Nevada.",5436,"{'maxAge': 1, 'name': 'Mr. Maurice J. Gallagher Jr.', 'age': 72, 'title': 'Exec. Chairman', 'yearBorn': 1950, 'fiscalYear': 2022, 'totalPay': 3000000, 'exercisedValue': 0, 'unexercisedValue': 0}",4,9,10,2,8,1693526400,1672444800,86400,2,85.59,85.3,83.71,85.345,85.59,85.3,83.71,85.345,0.6,0.0070999996,1691971200,0.0,1.721991,10.345965,7.946479,458642,458642,222119,295740,295740,83.58,85.6,800,900,1561177984,62.94,130.93,0.6231327,106.4108,97.0204,0.0,0.0,USD,2818767360,0.06012,14754682,18447100,468110,287609,1690761600,1693440000,0.0254,0.17493999,0.84376,2.04,0.0372,18447100,76.224,1.1102802,1672444800,1703980800,1688083200,19.3,145939008,8.18,10.65,0.1,1.125,6.103,-0.077803195,0.14113986,0.6,1691971200,NMS,EQUITY,ALGT,ALGT,Allegiant Travel Company,Allegiant Travel Company,1165588200,America/New_York,EDT,217fe419-f795-3798-a012-b09e568c71ae,finmb_666631,-14400000,84.63,150.0,80.0,125.0,121.0,2.8,hold,10,977406016,54.248,461835008,2271374080,0.96,1.132,2505370112,165.364,140.012,0.041840002,0.115609996,494210000,-372860384,421880000,18.984,0.086,0.28168,0.18434,0.12382,USD,
1,1201 North Town Center Drive,Las Vegas,NV,89144,United States,702 851 7300,https://www.allegiantair.com,Airlines,Airlines,Industrials,Industrials,"Allegiant Travel Company, a leisure travel company, provides travel services and products to residents of under-served cities in the United States. The company offers scheduled air transportation on limited-frequency, nonstop flights between under-served cities and leisure destinations. As of February 1, 2023, it operated a fleet of 122 Airbus A320 series aircraft. The company also provides air-related services and products in conjunction with air transportation, including baggage fees, advance seat assignments, travel protection products, priority boarding, a customer convenience fee, food and beverage purchases on board, and other air-related services, as well as use of its call center for purchases. In addition, it offers third party travel products, such as hotel rooms and ground transportation, such as rental cars and hotel shuttle products; and air transportation services through fixed fee agreements and charter service on a year-round and ad-hoc basis. Further, the company operates a golf course. Allegiant Travel Company was founded in 1997 and is based in Las Vegas, Nevada.",5436,"{'maxAge': 1, 'name': 'Mr. John T. Redmond', 'age': 63, 'title': 'CEO & Director', 'yearBorn': 1959, 'fiscalYear': 2022, 'totalPay': 3500000, 'exercisedValue': 0, 'unexercisedValue': 0}",4,9,10,2,8,1693526400,1672444800,86400,2,85.59,85.3,83.71,85.345,85.59,85.3,83.71,85.345,0.6,0.0070999996,1691971200,0.0,1.721991,10.345965,7.946479,458642,458642,222119,295740,295740,83.58,85.6,800,900,1561177984,62.94,130.93,0.6231327,106.4108,97.0204,0.0,0.0,USD,2818767360,0.06012,14754682,18447100,468110,287609,1690761600,1693440000,0.0254,0.17493999,0.84376,2.04,0.0372,18447100,76.224,1.1102802,1672444800,1703980800,1688083200,19.3,145939008,8.18,10.65,0.1,1.125,6.103,-0.077803195,0.14113986,0.6,1691971200,NMS,EQUITY,ALGT,ALGT,Allegiant Travel Company,Allegiant Travel Company,1165588200,America/New_York,EDT,217fe419-f795-3798-a012-b09e568c71ae,finmb_666631,-14400000,84.63,150.0,80.0,125.0,121.0,2.8,hold,10,977406016,54.248,461835008,2271374080,0.96,1.132,2505370112,165.364,140.012,0.041840002,0.115609996,494210000,-372860384,421880000,18.984,0.086,0.28168,0.18434,0.12382,USD,
2,1201 North Town Center Drive,Las Vegas,NV,89144,United States,702 851 7300,https://www.allegiantair.com,Airlines,Airlines,Industrials,Industrials,"Allegiant Travel Company, a leisure travel company, provides travel services and products to residents of under-served cities in the United States. The company offers scheduled air transportation on limited-frequency, nonstop flights between under-served cities and leisure destinations. As of February 1, 2023, it operated a fleet of 122 Airbus A320 series aircraft. The company also provides air-related services and products in conjunction with air transportation, including baggage fees, advance seat assignments, travel protection products, priority boarding, a customer convenience fee, food and beverage purchases on board, and other air-related services, as well as use of its call center for purchases. In addition, it offers third party travel products, such as hotel rooms and ground transportation, such as rental cars and hotel shuttle products; and air transportation services through fixed fee agreements and charter service on a year-round and ad-hoc basis. Further, the company operates a golf course. Allegiant Travel Company was founded in 1997 and is based in Las Vegas, Nevada.",5436,"{'maxAge': 1, 'name': 'Mr. Gregory Clark Anderson CPA', 'age': 40, 'title': 'Pres', 'yearBorn': 1982, 'fiscalYear': 2022, 'totalPay': 270400, 'exercisedValue': 0, 'unexercisedValue': 0}",4,9,10,2,8,1693526400,1672444800,86400,2,85.59,85.3,83.71,85.345,85.59,85.3,83.71,85.345,0.6,0.0070999996,1691971200,0.0,1.721991,10.345965,7.946479,458642,458642,222119,295740,295740,83.58,85.6,800,900,1561177984,62.94,130.93,0.6231327,106.4108,97.0204,0.0,0.0,USD,2818767360,0.06012,14754682,18447100,468110,287609,1690761600,1693440000,0.0254,0.17493999,0.84376,2.04,0.0372,18447100,76.224,1.1102802,1672444800,1703980800,1688083200,19.3,145939008,8.18,10.65,0.1,1.125,6.103,-0.077803195,0.14113986,0.6,1691971200,NMS,EQUITY,ALGT,ALGT,Allegiant Travel Company,Allegiant Travel Company,1165588200,America/New_York,EDT,217fe419-f795-3798-a012-b09e568c71ae,finmb_666631,-14400000,84.63,150.0,80.0,125.0,121.0,2.8,hold,10,977406016,54.248,461835008,2271374080,0.96,1.132,2505370112,165.364,140.012,0.041840002,0.115609996,494210000,-372860384,421880000,18.984,0.086,0.28168,0.18434,0.12382,USD,
3,1201 North Town Center Drive,Las Vegas,NV,89144,United States,702 851 7300,https://www.allegiantair.com,Airlines,Airlines,Industrials,Industrials,"Allegiant Travel Company, a leisure travel company, provides travel services and products to residents of under-served cities in the United States. The company offers scheduled air transportation on limited-frequency, nonstop flights between under-served cities and leisure destinations. As of February 1, 2023, it operated a fleet of 122 Airbus A320 series aircraft. The company also provides air-related services and products in conjunction with air transportation, including baggage fees, advance seat assignments, travel protection products, priority boarding, a customer convenience fee, food and beverage purchases on board, and other air-related services, as well as use of its call center for purchases. In addition, it offers third party travel products, such as hotel rooms and ground transportation, such as rental cars and hotel shuttle products; and air transportation services through fixed fee agreements and charter service on a year-round and ad-hoc basis. Further, the company operates a golf course. Allegiant Travel Company was founded in 1997 and is based in Las Vegas, Nevada.",5436,"{'maxAge': 1, 'name': 'Mr. Robert P. Wilson III', 'age': 52, 'title': 'Exec. VP & Chief Information Officer', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 270400, 'exercisedValue': 0, 'unexercisedValue': 0}",4,9,10,2,8,1693526400,1672444800,86400,2,85.59,85.3,83.71,85.345,85.59,85.3,83.71,85.345,0.6,0.0070999996,1691971200,0.0,1.721991,10.345965,7.946479,458642,458642,222119,295740,295740,83.58,85.6,800,900,1561177984,62.94,130.93,0.6231327,106.4108,97.0204,0.0,0.0,USD,2818767360,0.06012,14754682,18447100,468110,287609,1690761600,1693440000,0.0254,0.17493999,0.84376,2.04,0.0372,18447100,76.224,1.1102802,1672444800,1703980800,1688083200,19.3,145939008,8.18,10.65,0.1,1.125,6.103,-0.077803195,0.14113986,0.6,1691971200,NMS,EQUITY,ALGT,ALGT,Allegiant Travel Company,Allegiant Travel Company,1165588200,America/New_York,EDT,217fe419-f795-3798-a012-b09e568c71ae,finmb_666631,-14400000,84.63,150.0,80.0,125.0,121.0,2.8,hold,10,977406016,54.248,461835008,2271374080,0.96,1.132,2505370112,165.364,140.012,0.041840002,0.115609996,494210000,-372860384,421880000,18.984,0.086,0.28168,0.18434,0.12382,USD,
4,1201 North Town Center Drive,Las Vegas,NV,89144,United States,702 851 7300,https://www.allegiantair.com,Airlines,Airlines,Industrials,Industrials,"Allegiant Travel Company, a leisure travel company, provides travel services and products to residents of under-served cities in the United States. The company offers scheduled air transportation on limited-frequency, nonstop flights between under-served cities and leisure destinations. As of February 1, 2023, it operated a fleet of 122 Airbus A320 series aircraft. The company also provides air-related services and products in conjunction with air transportation, including baggage fees, advance seat assignments, travel protection products, priority boarding, a customer convenience fee, food and beverage purchases on board, and other air-related services, as well as use of its call center for purchases. In addition, it offers third party travel products, such as hotel rooms and ground transportation, such as rental cars and hotel shuttle products; and air transportation services through fixed fee agreements and charter service on a year-round and ad-hoc basis. Further, the company operates a golf course. Allegiant Travel Company was founded in 1997 and is based in Las Vegas, Nevada.",5436,"{'maxAge': 1, 'name': 'Mr. Scott Wayne DeAngelo', 'age': 49, 'title': 'Exec. VP & Chief Marketing Officer', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 260000, 'exercisedValue': 0, 'unexercisedValue': 0}",4,9,10,2,8,1693526400,1672444800,86400,2,85.59,85.3,83.71,85.345,85.59,85.3,83.71,85.345,0.6,0.0070999996,1691971200,0.0,1.721991,10.345965,7.946479,458642,458642,222119,295740,295740,83.58,85.6,800,900,1561177984,62.94,130.93,0.6231327,106.4108,97.0204,0.0,0.0,USD,2818767360,0.06012,14754682,18447100,468110,287609,1690761600,1693440000,0.0254,0.17493999,0.84376,2.04,0.0372,18447100,76.224,1.1102802,1672444800,1703980800,1688083200,19.3,145939008,8.18,10.65,0.1,1.125,6.103,-0.077803195,0.14113986,0.6,1691971200,NMS,EQUITY,ALGT,ALGT,Allegiant Travel Company,Allegiant Travel Company,1165588200,America/New_York,EDT,217fe419-f795-3798-a012-b09e568c71ae,finmb_666631,-14400000,84.63,150.0,80.0,125.0,121.0,2.8,hold,10,977406016,54.248,461835008,2271374080,0.96,1.132,2505370112,165.364,140.012,0.041840002,0.115609996,494210000,-372860384,421880000,18.984,0.086,0.28168,0.18434,0.12382,USD,
5,1201 North Town Center Drive,Las Vegas,NV,89144,United States,702 851 7300,https://www.allegiantair.com,Airlines,Airlines,Industrials,Industrials,"Allegiant Travel Company, a leisure travel company, provides travel services and products to residents of under-served cities in the United States. The company offers scheduled air transportation on limited-frequency, nonstop flights between under-served cities and leisure destinations. As of February 1, 2023, it operated a fleet of 122 Airbus A320 series aircraft. The company also provides air-related services and products in conjunction with air transportation, including baggage fees, advance seat assignments, travel protection products, priority boarding, a customer convenience fee, food and beverage purchases on board, and other air-related services, as well as use of its call center for purchases. In addition, it offers third party travel products, such as hotel rooms and ground transportation, such as rental cars and hotel shuttle products; and air transportation services through fixed fee agreements and charter service on a year-round and ad-hoc basis. Further, the company operates a golf course. Allegiant Travel Company was founded in 1997 and is based in Las Vegas, Nevada.",5436,"{'maxAge': 1, 'name': 'Mr. Robert J. Neal', 'age': 38, 'title': 'Sr. VP & CFO', 'yearBorn': 1984, 'exercisedValue': 0, 'unexercisedValue': 0}",4,9,10,2,8,1693526400,1672444800,86400,2,85.59,85.3,83.71,85.345,85.59,85.3,83.71,85.345,0.6,0.0070999996,1691971200,0.0,1.721991,10.345965,7.946479,458642,458642,222119,295740,295740,83.58,85.6,800,900,1561177984,62.94,130.93,0.6231327,106.4108,97.0204,0.0,0.0,USD,2818767360,0.06012,14754682,18447100,468110,287609,1690761600,1693440000,0.0254,0.17493999,0.84376,2.04,0.0372,18447100,76.224,1.1102802,1672444800,1703980800,1688083200,19.3,145939008,8.18,10.65,0.1,1.125,6.103,-0.077803195,0.14113986,0.6,1691971200,NMS,EQUITY,ALGT,ALGT,Allegiant Travel Company,Allegiant Travel Company,1165588200,America/New_York,EDT,217fe419-f795-3798-a012-b09e568c71ae,finmb_666631,-14400000,84.63,150.0,80.0,125.0,121.0,2.8,hold,10,977406016,54.248,461835008,2271374080,0.96,1.132,2505370112,165.364,140.012,0.041840002,0.115609996,494210000,-372860384,421880000,18.984,0.086,0.28168,0.18434,0.12382,USD,
6,1201 North Town Center Drive,Las Vegas,NV,89144,United States,702 851 7300,https://www.allegiantair.com,Airlines,Airlines,Industrials,Industrials,"Allegiant Travel Company, a leisure travel company, provides travel services and products to residents of under-served cities in the United States. The company offers scheduled air transportation on limited-frequency, nonstop flights between under-served cities and leisure destinations. As of February 1, 2023, it operated a fleet of 122 Airbus A320 series aircraft. The company also provides air-related services and products in conjunction with air transportation, including baggage fees, advance seat assignments, travel protection products, priority boarding, a customer convenience fee, food and beverage purchases on board, and other air-related services, as well as use of its call center for purchases. In addition, it offers third party travel products, such as hotel rooms and ground transportation, such as rental cars and hotel shuttle products; and air transportation services through fixed fee agreements and charter service on a year-round and ad-hoc basis. Further, the company operates a golf course. Allegiant Travel Company was founded in 1997 and is based in Las Vegas, Nevada.",5436,"{'maxAge': 1, 'name': 'Mr. Keny F. Wilper', 'age': 44, 'title': 'Sr. VP & COO', 'yearBorn': 1978, 'exercisedValue': 0, 'unexercisedValue': 0}",4,9,10,2,8,1693526400,1672444800,86400,2,85.59,85.3,83.71,85.345,85.59,85.3,83.71,85.345,0.6,0.0070999996,1691971200,0.0,1.721991,10.345965,7.946479,458642,458642,222119,295740,295740,83.58,85.6,800,900,1561177984,62.94,130.93,0.6231327,106.4108,97.0204,0.0,0.0,USD,2818767360,0.06012,14754682,18447100,468110,287609,1690761600,1693440000,0.0254,0.17493999,0.84376,2.04,0.0372,18447100,76.224,1.1102802,1672444800,1703980800,1688083200,19.3,145939008,8.18,10.65,0.1,1.125,6.103,-0.077803195,0.14113986,0.6,1691971200,NMS,EQUITY,ALGT,ALGT,Allegiant Travel Company,Allegiant Travel Company,1165588200,America/New_York,EDT,217fe419-f795-3798-a012-b09e568c71ae,finmb_666631,-14400000,84.63,150.0,80.0,125.0,121.0,2.8,hold,10,977406016,54.248,461835008,2271374080,0.96,1.132,2505370112,165.364,140.012,0.041840002,0.115609996,494210000,-372860384,421880000,18.984,0.086,0.28168,0.18434,0.12382,USD,
7,1201 North Town Center Drive,Las Vegas,NV,89144,United States,702 851 7300,https://www.allegiantair.com,Airlines,Airlines,Industrials,Industrials,"Allegiant Travel Company, a leisure travel company, provides travel services and products to residents of under-served cities in the United States. The company offers scheduled air transportation on limited-frequency, nonstop flights between under-served cities and leisure destinations. As of February 1, 2023, it operated a fleet of 122 Airbus A320 series aircraft. The company also provides air-related services and products in conjunction with air transportation, including baggage fees, advance seat assignments, travel protection products, priority boarding, a customer convenience fee, food and beverage purchases on board, and other air-related services, as well as use of its call center for purchases. In addition, it offers third party travel products, such as hotel rooms and ground transportation, such as rental cars and hotel shuttle products; and air transportation services through fixed fee agreements and charter service on a year-round and ad-hoc basis. Further, the company operates a golf course. Allegiant Travel Company was founded in 1997 and is based in Las Vegas, Nevada.",5436,"{'maxAge': 1, 'name': 'Ms. Rebecca  Aretos', 'age': 46, 'title': 'VP & Principal Accounting Officer', 'yearBorn': 1976, 'exercisedValue': 0, 'unexercisedValue': 0}",4,9,10,2,8,1693526400,1672444800,86400,2,85.59,85.3,83.71,85.345,85.59,85.3,83.71,85.345,0.6,0.0070999996,1691971200,0.0,1.721991,10.345965,7.946479,458642,458642,222119,295740,295740,83.58,85.6,800,900,1561177984,62.94,130.93,0.6231327,106.4108,97.0204,0.0,0.0,USD,2818767360,0.06012,14754682,18447100,468110,287609,1690761600,1693440000,0.0254,0.17493999,0.84376,2.04,0.0372,18447100,76.224,1.1102802,1672444800,1703980800,1688083200,19.3,145939008,8.18,10.65,0.1,1.125,6.103,-0.077803195,0.14113986,0.6,1691971200,NMS,EQUITY,ALGT,ALGT,Allegiant Travel Company,Allegiant Travel Company,1165588200,America/New_York,EDT,217fe419-f795-3798-a012-b09e568c71ae,finmb_666631,-14400000,84.63,150.0,80.0,125.0,121.0,2.8,hold,10,977406016,54.248,461835008,2271374080,0.96,1.132,2505370112,165.364,140.012,0.041840002,0.115609996,494210000,-372860384,421880000,18.984,0.086,0.28168,0.18434,0.12382,USD,
8,1201 North Town Center Drive,Las Vegas,NV,89144,United States,702 851 7300,https://www.allegiantair.com,Airlines,Airlines,Industrials,Industrials,"Allegiant Travel Company, a leisure travel company, provides travel services and products to residents of under-served cities in the United States. The company offers scheduled air transportation on limited-frequency, nonstop flights between under-served cities and leisure destinations. As of February 1, 2023, it operated a fleet of 122 Airbus A320 series aircraft. The company also provides air-related services and products in conjunction with air transportation, including baggage fees, advance seat assignments, travel protection products, priority boarding, a customer convenience fee, food and beverage purchases on board, and other air-related services, as well as use of its call center for purchases. In addition, it offers third party travel products, such as hotel rooms and ground transportation, such as rental cars and hotel shuttle products; and air transportation services through fixed fee agreements and charter service on a year-round and ad-hoc basis. Further, the company operates a golf course. Allegiant Travel Company was founded in 1997 and is based in Las Vegas, Nevada.",5436,"{'maxAge': 1, 'name': 'Mr. Robert B. Goldberg Esq.', 'title': 'Sr. VP, Sr. Counsel & Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",4,9,10,2,8,1693526400,1672444800,86400,2,85.59,85.3,83.71,85.345,85.59,85.3,83.71,85.345,0.6,0.0070999996,1691971200,0.0,1.721991,10.345965,7.946479,458642,458642,222119,295740,295740,83.58,85.6,800,900,1561177984,62.94,130.93,0.6231327,106.4108,97.0204,0.0,0.0,USD,2818767360,0.06012,14754682,18447100,468110,287609,1690761600,1693440000,0.0254,0.17493999,0.84376,2.04,0.0372,18447100,76.224,1.1102802,1672444800,1703980800,1688083200,19.3,145939008,8.18,10.65,0.1,1.125,6.103,-0.077803195,0.14113986,0.6,1691971200,NMS,EQUITY,ALGT,ALGT,Allegiant Travel Company,Allegiant Travel Company,1165588200,America/New_York,EDT,217fe419-f795-3798-a012-b09e568c71ae,finmb_666631,-14400000,84.63,150.0,80.0,125.0,121.0,2.8,hold,10,977406016,54.248,461835008,2271374080,0.96,1.132,2505370112,165.364,140.012,0.041840002,0.115609996,494210000,-372860384,421880000,18.984,0.086,0.28168,0.18434,0.12382,USD,
9,1201 North Town Center Drive,Las Vegas,NV,89144,United States,702 851 7300,https://www.allegiantair.com,Airlines,Airlines,Industrials,Industrials,"Allegiant Travel Company, a leisure travel company, provides travel services and products to residents of under-served cities in the United States. The company offers scheduled air transportation on limited-frequency, nonstop flights between under-served cities and leisure destinations. As of February 1, 2023, it operated a fleet of 122 Airbus A320 series aircraft. The company also provides air-related services and products in conjunction with air transportation, including baggage fees, advance seat assignments, travel protection products, priority boarding, a customer convenience fee, food and beverage purchases on board, and other air-related services, as well as use of its call center for purchases. In addition, it offers third party travel products, such as hotel rooms and ground transportation, such as rental cars and hotel shuttle products; and air transportation services through fixed fee agreements and charter service on a year-round and ad-hoc basis. Further, the company operates a golf course. Allegiant Travel Company was founded in 1997 and is based in Las Vegas, Nevada.",5436,"{'maxAge': 1, 'name': 'Ms. Rebecca  Henry', 'title': 'Sr. VP & Chief HR Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",4,9,10,2,8,1693526400,1672444800,86400,2,85.59,85.3,83.71,85.345,85.59,85.3,83.71,85.345,0.6,0.0070999996,1691971200,0.0,1.721991,10.345965,7.946479,458642,458642,222119,295740,295740,83.58,85.6,800,900,1561177984,62.94,130.93,0.6231327,106.4108,97.0204,0.0,0.0,USD,2818767360,0.06012,14754682,18447100,468110,287609,1690761600,1693440000,0.0254,0.17493999,0.84376,2.04,0.0372,18447100,76.224,1.1102802,1672444800,1703980800,1688083200,19.3,145939008,8.18,10.65,0.1,1.125,6.103,-0.077803195,0.14113986,0.6,1691971200,NMS,EQUITY,ALGT,ALGT,Allegiant Travel Company,Allegiant Travel Company,1165588200,America/New_York,EDT,217fe419-f795-3798-a012-b09e568c71ae,finmb_666631,-14400000,84.63,150.0,80.0,125.0,121.0,2.8,hold,10,977406016,54.248,461835008,2271374080,0.96,1.132,2505370112,165.364,140.012,0.041840002,0.115609996,494210000,-372860384,421880000,18.984,0.086,0.28168,0.18434,0.12382,USD,
