,address1,city,zip,country,phone,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"48, rue Albert Dhalenne",Saint-Ouen,93400,France,33 1 57 06 90 00,https://www.alstom.com,Railroads,Railroads,Industrials,Industrials,"Alstom SA offers solutions for rail transport industry in Europe, the Americas, Asia and Pacific, the Middle East, Central Asia, and Africa. The company offers rolling stock solutions comprising people movers and monorails, light rails, metros, commuter trains, regional and intercity trains, high-speed trains, and locomotives; asset optimization, cybersecurity, connectivity, digital passenger, and security and city mobility solutions; and signaling products, such as urban, mainline, and freight and mining signaling. It also provides APM, monorail, tram, metro, and main line systems; and tracklaying and track solutions, catenary free and ground feeding solutions, electrification solutions, and electromechanical equipment., as well as cybersecurity solutions. In addition, the company provides maintenance, modernization, parts and repair, and support services. Further, it offers various components, including bogies, motors and generators, switchgears, auxiliary converters, traction transformers, brake friction, components propulsion, train control and information systems, hydrogen and battery solutions, and dispen dampers. The company was founded in 1928 and is based in Saint-Ouen, France.",74513,"{'maxAge': 1, 'name': 'Mr. Henri  Poupart-Lafarge', 'age': 53, 'title': 'Chairman & CEO', 'yearBorn': 1969, 'fiscalYear': 2023, 'totalPay': 2196495, 'exercisedValue': 0, 'unexercisedValue': 0}",2,4,2,1,3,1693526400,1703980800,86400,2,24.29,24.48,23.99,24.69,24.29,24.48,23.99,24.69,0.25,0.0108,1689552000,1.04054,11.671498,2340531,2340531,923326,1081027,1081027,9537062912,16.04,28.41,0.5777587,25.8836,25.50035,0.25,0.010292301,EUR,12168755200,-0.008,276787497,384291008,0.01548,0.70315003,394745984,23.648,1.0216508,1680220800,1711843200,1680220800,-128000000,-0.34,2.07,1.47,2:1,1215388800,0.737,12.987,0.255391,0.14113986,0.25,1689552000,PAR,EQUITY,ALO.PA,ALO.PA,ALSTOM,Alstom SA,1123052400,Europe/Paris,CEST,8aeaabec-4e2e-3fb6-8fa5-c7b00ecc81b4,finmb_387473,7200000,24.16,37.0,16.5,30.4,32.0,2.3,buy,21,826000000,2.171,937000000,3697999872,0.51,0.825,16506999808,40.628,43.957,0.00533,-0.011469999,1966000000,417249984,606000000,0.054,0.1191,0.056760002,0.01599,EUR,0.2173
1,"48, rue Albert Dhalenne",Saint-Ouen,93400,France,33 1 57 06 90 00,https://www.alstom.com,Railroads,Railroads,Industrials,Industrials,"Alstom SA offers solutions for rail transport industry in Europe, the Americas, Asia and Pacific, the Middle East, Central Asia, and Africa. The company offers rolling stock solutions comprising people movers and monorails, light rails, metros, commuter trains, regional and intercity trains, high-speed trains, and locomotives; asset optimization, cybersecurity, connectivity, digital passenger, and security and city mobility solutions; and signaling products, such as urban, mainline, and freight and mining signaling. It also provides APM, monorail, tram, metro, and main line systems; and tracklaying and track solutions, catenary free and ground feeding solutions, electrification solutions, and electromechanical equipment., as well as cybersecurity solutions. In addition, the company provides maintenance, modernization, parts and repair, and support services. Further, it offers various components, including bogies, motors and generators, switchgears, auxiliary converters, traction transformers, brake friction, components propulsion, train control and information systems, hydrogen and battery solutions, and dispen dampers. The company was founded in 1928 and is based in Saint-Ouen, France.",74513,"{'maxAge': 1, 'name': 'Mr. Bernard-Pierre  Delpit', 'age': 58, 'title': 'Exec. VP & CFO', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",2,4,2,1,3,1693526400,1703980800,86400,2,24.29,24.48,23.99,24.69,24.29,24.48,23.99,24.69,0.25,0.0108,1689552000,1.04054,11.671498,2340531,2340531,923326,1081027,1081027,9537062912,16.04,28.41,0.5777587,25.8836,25.50035,0.25,0.010292301,EUR,12168755200,-0.008,276787497,384291008,0.01548,0.70315003,394745984,23.648,1.0216508,1680220800,1711843200,1680220800,-128000000,-0.34,2.07,1.47,2:1,1215388800,0.737,12.987,0.255391,0.14113986,0.25,1689552000,PAR,EQUITY,ALO.PA,ALO.PA,ALSTOM,Alstom SA,1123052400,Europe/Paris,CEST,8aeaabec-4e2e-3fb6-8fa5-c7b00ecc81b4,finmb_387473,7200000,24.16,37.0,16.5,30.4,32.0,2.3,buy,21,826000000,2.171,937000000,3697999872,0.51,0.825,16506999808,40.628,43.957,0.00533,-0.011469999,1966000000,417249984,606000000,0.054,0.1191,0.056760002,0.01599,EUR,0.2173
2,"48, rue Albert Dhalenne",Saint-Ouen,93400,France,33 1 57 06 90 00,https://www.alstom.com,Railroads,Railroads,Industrials,Industrials,"Alstom SA offers solutions for rail transport industry in Europe, the Americas, Asia and Pacific, the Middle East, Central Asia, and Africa. The company offers rolling stock solutions comprising people movers and monorails, light rails, metros, commuter trains, regional and intercity trains, high-speed trains, and locomotives; asset optimization, cybersecurity, connectivity, digital passenger, and security and city mobility solutions; and signaling products, such as urban, mainline, and freight and mining signaling. It also provides APM, monorail, tram, metro, and main line systems; and tracklaying and track solutions, catenary free and ground feeding solutions, electrification solutions, and electromechanical equipment., as well as cybersecurity solutions. In addition, the company provides maintenance, modernization, parts and repair, and support services. Further, it offers various components, including bogies, motors and generators, switchgears, auxiliary converters, traction transformers, brake friction, components propulsion, train control and information systems, hydrogen and battery solutions, and dispen dampers. The company was founded in 1928 and is based in Saint-Ouen, France.",74513,"{'maxAge': 1, 'name': 'Mr. Danny  Di Perna', 'age': 56, 'title': 'Exec. VP & COO', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",2,4,2,1,3,1693526400,1703980800,86400,2,24.29,24.48,23.99,24.69,24.29,24.48,23.99,24.69,0.25,0.0108,1689552000,1.04054,11.671498,2340531,2340531,923326,1081027,1081027,9537062912,16.04,28.41,0.5777587,25.8836,25.50035,0.25,0.010292301,EUR,12168755200,-0.008,276787497,384291008,0.01548,0.70315003,394745984,23.648,1.0216508,1680220800,1711843200,1680220800,-128000000,-0.34,2.07,1.47,2:1,1215388800,0.737,12.987,0.255391,0.14113986,0.25,1689552000,PAR,EQUITY,ALO.PA,ALO.PA,ALSTOM,Alstom SA,1123052400,Europe/Paris,CEST,8aeaabec-4e2e-3fb6-8fa5-c7b00ecc81b4,finmb_387473,7200000,24.16,37.0,16.5,30.4,32.0,2.3,buy,21,826000000,2.171,937000000,3697999872,0.51,0.825,16506999808,40.628,43.957,0.00533,-0.011469999,1966000000,417249984,606000000,0.054,0.1191,0.056760002,0.01599,EUR,0.2173
3,"48, rue Albert Dhalenne",Saint-Ouen,93400,France,33 1 57 06 90 00,https://www.alstom.com,Railroads,Railroads,Industrials,Industrials,"Alstom SA offers solutions for rail transport industry in Europe, the Americas, Asia and Pacific, the Middle East, Central Asia, and Africa. The company offers rolling stock solutions comprising people movers and monorails, light rails, metros, commuter trains, regional and intercity trains, high-speed trains, and locomotives; asset optimization, cybersecurity, connectivity, digital passenger, and security and city mobility solutions; and signaling products, such as urban, mainline, and freight and mining signaling. It also provides APM, monorail, tram, metro, and main line systems; and tracklaying and track solutions, catenary free and ground feeding solutions, electrification solutions, and electromechanical equipment., as well as cybersecurity solutions. In addition, the company provides maintenance, modernization, parts and repair, and support services. Further, it offers various components, including bogies, motors and generators, switchgears, auxiliary converters, traction transformers, brake friction, components propulsion, train control and information systems, hydrogen and battery solutions, and dispen dampers. The company was founded in 1928 and is based in Saint-Ouen, France.",74513,"{'maxAge': 1, 'name': 'Ms. Emmanuelle  Petrovic', 'age': 49, 'title': 'Gen. Counsel', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}",2,4,2,1,3,1693526400,1703980800,86400,2,24.29,24.48,23.99,24.69,24.29,24.48,23.99,24.69,0.25,0.0108,1689552000,1.04054,11.671498,2340531,2340531,923326,1081027,1081027,9537062912,16.04,28.41,0.5777587,25.8836,25.50035,0.25,0.010292301,EUR,12168755200,-0.008,276787497,384291008,0.01548,0.70315003,394745984,23.648,1.0216508,1680220800,1711843200,1680220800,-128000000,-0.34,2.07,1.47,2:1,1215388800,0.737,12.987,0.255391,0.14113986,0.25,1689552000,PAR,EQUITY,ALO.PA,ALO.PA,ALSTOM,Alstom SA,1123052400,Europe/Paris,CEST,8aeaabec-4e2e-3fb6-8fa5-c7b00ecc81b4,finmb_387473,7200000,24.16,37.0,16.5,30.4,32.0,2.3,buy,21,826000000,2.171,937000000,3697999872,0.51,0.825,16506999808,40.628,43.957,0.00533,-0.011469999,1966000000,417249984,606000000,0.054,0.1191,0.056760002,0.01599,EUR,0.2173
4,"48, rue Albert Dhalenne",Saint-Ouen,93400,France,33 1 57 06 90 00,https://www.alstom.com,Railroads,Railroads,Industrials,Industrials,"Alstom SA offers solutions for rail transport industry in Europe, the Americas, Asia and Pacific, the Middle East, Central Asia, and Africa. The company offers rolling stock solutions comprising people movers and monorails, light rails, metros, commuter trains, regional and intercity trains, high-speed trains, and locomotives; asset optimization, cybersecurity, connectivity, digital passenger, and security and city mobility solutions; and signaling products, such as urban, mainline, and freight and mining signaling. It also provides APM, monorail, tram, metro, and main line systems; and tracklaying and track solutions, catenary free and ground feeding solutions, electrification solutions, and electromechanical equipment., as well as cybersecurity solutions. In addition, the company provides maintenance, modernization, parts and repair, and support services. Further, it offers various components, including bogies, motors and generators, switchgears, auxiliary converters, traction transformers, brake friction, components propulsion, train control and information systems, hydrogen and battery solutions, and dispen dampers. The company was founded in 1928 and is based in Saint-Ouen, France.",74513,"{'maxAge': 1, 'name': 'Ms. Dana  Salloum', 'title': 'Chief Communications Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",2,4,2,1,3,1693526400,1703980800,86400,2,24.29,24.48,23.99,24.69,24.29,24.48,23.99,24.69,0.25,0.0108,1689552000,1.04054,11.671498,2340531,2340531,923326,1081027,1081027,9537062912,16.04,28.41,0.5777587,25.8836,25.50035,0.25,0.010292301,EUR,12168755200,-0.008,276787497,384291008,0.01548,0.70315003,394745984,23.648,1.0216508,1680220800,1711843200,1680220800,-128000000,-0.34,2.07,1.47,2:1,1215388800,0.737,12.987,0.255391,0.14113986,0.25,1689552000,PAR,EQUITY,ALO.PA,ALO.PA,ALSTOM,Alstom SA,1123052400,Europe/Paris,CEST,8aeaabec-4e2e-3fb6-8fa5-c7b00ecc81b4,finmb_387473,7200000,24.16,37.0,16.5,30.4,32.0,2.3,buy,21,826000000,2.171,937000000,3697999872,0.51,0.825,16506999808,40.628,43.957,0.00533,-0.011469999,1966000000,417249984,606000000,0.054,0.1191,0.056760002,0.01599,EUR,0.2173
5,"48, rue Albert Dhalenne",Saint-Ouen,93400,France,33 1 57 06 90 00,https://www.alstom.com,Railroads,Railroads,Industrials,Industrials,"Alstom SA offers solutions for rail transport industry in Europe, the Americas, Asia and Pacific, the Middle East, Central Asia, and Africa. The company offers rolling stock solutions comprising people movers and monorails, light rails, metros, commuter trains, regional and intercity trains, high-speed trains, and locomotives; asset optimization, cybersecurity, connectivity, digital passenger, and security and city mobility solutions; and signaling products, such as urban, mainline, and freight and mining signaling. It also provides APM, monorail, tram, metro, and main line systems; and tracklaying and track solutions, catenary free and ground feeding solutions, electrification solutions, and electromechanical equipment., as well as cybersecurity solutions. In addition, the company provides maintenance, modernization, parts and repair, and support services. Further, it offers various components, including bogies, motors and generators, switchgears, auxiliary converters, traction transformers, brake friction, components propulsion, train control and information systems, hydrogen and battery solutions, and dispen dampers. The company was founded in 1928 and is based in Saint-Ouen, France.",74513,"{'maxAge': 1, 'name': 'Ms. Helen  Bradley', 'title': 'Chief HR Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",2,4,2,1,3,1693526400,1703980800,86400,2,24.29,24.48,23.99,24.69,24.29,24.48,23.99,24.69,0.25,0.0108,1689552000,1.04054,11.671498,2340531,2340531,923326,1081027,1081027,9537062912,16.04,28.41,0.5777587,25.8836,25.50035,0.25,0.010292301,EUR,12168755200,-0.008,276787497,384291008,0.01548,0.70315003,394745984,23.648,1.0216508,1680220800,1711843200,1680220800,-128000000,-0.34,2.07,1.47,2:1,1215388800,0.737,12.987,0.255391,0.14113986,0.25,1689552000,PAR,EQUITY,ALO.PA,ALO.PA,ALSTOM,Alstom SA,1123052400,Europe/Paris,CEST,8aeaabec-4e2e-3fb6-8fa5-c7b00ecc81b4,finmb_387473,7200000,24.16,37.0,16.5,30.4,32.0,2.3,buy,21,826000000,2.171,937000000,3697999872,0.51,0.825,16506999808,40.628,43.957,0.00533,-0.011469999,1966000000,417249984,606000000,0.054,0.1191,0.056760002,0.01599,EUR,0.2173
6,"48, rue Albert Dhalenne",Saint-Ouen,93400,France,33 1 57 06 90 00,https://www.alstom.com,Railroads,Railroads,Industrials,Industrials,"Alstom SA offers solutions for rail transport industry in Europe, the Americas, Asia and Pacific, the Middle East, Central Asia, and Africa. The company offers rolling stock solutions comprising people movers and monorails, light rails, metros, commuter trains, regional and intercity trains, high-speed trains, and locomotives; asset optimization, cybersecurity, connectivity, digital passenger, and security and city mobility solutions; and signaling products, such as urban, mainline, and freight and mining signaling. It also provides APM, monorail, tram, metro, and main line systems; and tracklaying and track solutions, catenary free and ground feeding solutions, electrification solutions, and electromechanical equipment., as well as cybersecurity solutions. In addition, the company provides maintenance, modernization, parts and repair, and support services. Further, it offers various components, including bogies, motors and generators, switchgears, auxiliary converters, traction transformers, brake friction, components propulsion, train control and information systems, hydrogen and battery solutions, and dispen dampers. The company was founded in 1928 and is based in Saint-Ouen, France.",74513,"{'maxAge': 1, 'name': 'Mr. Dominique  Pouliquen', 'age': 62, 'title': 'Chief Performance Officer', 'yearBorn': 1960, 'exercisedValue': 0, 'unexercisedValue': 0}",2,4,2,1,3,1693526400,1703980800,86400,2,24.29,24.48,23.99,24.69,24.29,24.48,23.99,24.69,0.25,0.0108,1689552000,1.04054,11.671498,2340531,2340531,923326,1081027,1081027,9537062912,16.04,28.41,0.5777587,25.8836,25.50035,0.25,0.010292301,EUR,12168755200,-0.008,276787497,384291008,0.01548,0.70315003,394745984,23.648,1.0216508,1680220800,1711843200,1680220800,-128000000,-0.34,2.07,1.47,2:1,1215388800,0.737,12.987,0.255391,0.14113986,0.25,1689552000,PAR,EQUITY,ALO.PA,ALO.PA,ALSTOM,Alstom SA,1123052400,Europe/Paris,CEST,8aeaabec-4e2e-3fb6-8fa5-c7b00ecc81b4,finmb_387473,7200000,24.16,37.0,16.5,30.4,32.0,2.3,buy,21,826000000,2.171,937000000,3697999872,0.51,0.825,16506999808,40.628,43.957,0.00533,-0.011469999,1966000000,417249984,606000000,0.054,0.1191,0.056760002,0.01599,EUR,0.2173
7,"48, rue Albert Dhalenne",Saint-Ouen,93400,France,33 1 57 06 90 00,https://www.alstom.com,Railroads,Railroads,Industrials,Industrials,"Alstom SA offers solutions for rail transport industry in Europe, the Americas, Asia and Pacific, the Middle East, Central Asia, and Africa. The company offers rolling stock solutions comprising people movers and monorails, light rails, metros, commuter trains, regional and intercity trains, high-speed trains, and locomotives; asset optimization, cybersecurity, connectivity, digital passenger, and security and city mobility solutions; and signaling products, such as urban, mainline, and freight and mining signaling. It also provides APM, monorail, tram, metro, and main line systems; and tracklaying and track solutions, catenary free and ground feeding solutions, electrification solutions, and electromechanical equipment., as well as cybersecurity solutions. In addition, the company provides maintenance, modernization, parts and repair, and support services. Further, it offers various components, including bogies, motors and generators, switchgears, auxiliary converters, traction transformers, brake friction, components propulsion, train control and information systems, hydrogen and battery solutions, and dispen dampers. The company was founded in 1928 and is based in Saint-Ouen, France.",74513,"{'maxAge': 1, 'name': 'Mr. Jérôme  Wallut', 'age': 58, 'title': 'Chief Commercial Officer', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",2,4,2,1,3,1693526400,1703980800,86400,2,24.29,24.48,23.99,24.69,24.29,24.48,23.99,24.69,0.25,0.0108,1689552000,1.04054,11.671498,2340531,2340531,923326,1081027,1081027,9537062912,16.04,28.41,0.5777587,25.8836,25.50035,0.25,0.010292301,EUR,12168755200,-0.008,276787497,384291008,0.01548,0.70315003,394745984,23.648,1.0216508,1680220800,1711843200,1680220800,-128000000,-0.34,2.07,1.47,2:1,1215388800,0.737,12.987,0.255391,0.14113986,0.25,1689552000,PAR,EQUITY,ALO.PA,ALO.PA,ALSTOM,Alstom SA,1123052400,Europe/Paris,CEST,8aeaabec-4e2e-3fb6-8fa5-c7b00ecc81b4,finmb_387473,7200000,24.16,37.0,16.5,30.4,32.0,2.3,buy,21,826000000,2.171,937000000,3697999872,0.51,0.825,16506999808,40.628,43.957,0.00533,-0.011469999,1966000000,417249984,606000000,0.054,0.1191,0.056760002,0.01599,EUR,0.2173
8,"48, rue Albert Dhalenne",Saint-Ouen,93400,France,33 1 57 06 90 00,https://www.alstom.com,Railroads,Railroads,Industrials,Industrials,"Alstom SA offers solutions for rail transport industry in Europe, the Americas, Asia and Pacific, the Middle East, Central Asia, and Africa. The company offers rolling stock solutions comprising people movers and monorails, light rails, metros, commuter trains, regional and intercity trains, high-speed trains, and locomotives; asset optimization, cybersecurity, connectivity, digital passenger, and security and city mobility solutions; and signaling products, such as urban, mainline, and freight and mining signaling. It also provides APM, monorail, tram, metro, and main line systems; and tracklaying and track solutions, catenary free and ground feeding solutions, electrification solutions, and electromechanical equipment., as well as cybersecurity solutions. In addition, the company provides maintenance, modernization, parts and repair, and support services. Further, it offers various components, including bogies, motors and generators, switchgears, auxiliary converters, traction transformers, brake friction, components propulsion, train control and information systems, hydrogen and battery solutions, and dispen dampers. The company was founded in 1928 and is based in Saint-Ouen, France.",74513,"{'maxAge': 1, 'name': 'Mr. Bruno  Marguet', 'age': 59, 'title': 'Pres of Rolling Stock & Components Platforms', 'yearBorn': 1963, 'exercisedValue': 0, 'unexercisedValue': 0}",2,4,2,1,3,1693526400,1703980800,86400,2,24.29,24.48,23.99,24.69,24.29,24.48,23.99,24.69,0.25,0.0108,1689552000,1.04054,11.671498,2340531,2340531,923326,1081027,1081027,9537062912,16.04,28.41,0.5777587,25.8836,25.50035,0.25,0.010292301,EUR,12168755200,-0.008,276787497,384291008,0.01548,0.70315003,394745984,23.648,1.0216508,1680220800,1711843200,1680220800,-128000000,-0.34,2.07,1.47,2:1,1215388800,0.737,12.987,0.255391,0.14113986,0.25,1689552000,PAR,EQUITY,ALO.PA,ALO.PA,ALSTOM,Alstom SA,1123052400,Europe/Paris,CEST,8aeaabec-4e2e-3fb6-8fa5-c7b00ecc81b4,finmb_387473,7200000,24.16,37.0,16.5,30.4,32.0,2.3,buy,21,826000000,2.171,937000000,3697999872,0.51,0.825,16506999808,40.628,43.957,0.00533,-0.011469999,1966000000,417249984,606000000,0.054,0.1191,0.056760002,0.01599,EUR,0.2173
9,"48, rue Albert Dhalenne",Saint-Ouen,93400,France,33 1 57 06 90 00,https://www.alstom.com,Railroads,Railroads,Industrials,Industrials,"Alstom SA offers solutions for rail transport industry in Europe, the Americas, Asia and Pacific, the Middle East, Central Asia, and Africa. The company offers rolling stock solutions comprising people movers and monorails, light rails, metros, commuter trains, regional and intercity trains, high-speed trains, and locomotives; asset optimization, cybersecurity, connectivity, digital passenger, and security and city mobility solutions; and signaling products, such as urban, mainline, and freight and mining signaling. It also provides APM, monorail, tram, metro, and main line systems; and tracklaying and track solutions, catenary free and ground feeding solutions, electrification solutions, and electromechanical equipment., as well as cybersecurity solutions. In addition, the company provides maintenance, modernization, parts and repair, and support services. Further, it offers various components, including bogies, motors and generators, switchgears, auxiliary converters, traction transformers, brake friction, components propulsion, train control and information systems, hydrogen and battery solutions, and dispen dampers. The company was founded in 1928 and is based in Saint-Ouen, France.",74513,"{'maxAge': 1, 'name': 'Mr. Jean-Baptiste  Eyméoud', 'age': 54, 'title': 'Pres of France Region', 'yearBorn': 1968, 'exercisedValue': 0, 'unexercisedValue': 0}",2,4,2,1,3,1693526400,1703980800,86400,2,24.29,24.48,23.99,24.69,24.29,24.48,23.99,24.69,0.25,0.0108,1689552000,1.04054,11.671498,2340531,2340531,923326,1081027,1081027,9537062912,16.04,28.41,0.5777587,25.8836,25.50035,0.25,0.010292301,EUR,12168755200,-0.008,276787497,384291008,0.01548,0.70315003,394745984,23.648,1.0216508,1680220800,1711843200,1680220800,-128000000,-0.34,2.07,1.47,2:1,1215388800,0.737,12.987,0.255391,0.14113986,0.25,1689552000,PAR,EQUITY,ALO.PA,ALO.PA,ALSTOM,Alstom SA,1123052400,Europe/Paris,CEST,8aeaabec-4e2e-3fb6-8fa5-c7b00ecc81b4,finmb_387473,7200000,24.16,37.0,16.5,30.4,32.0,2.3,buy,21,826000000,2.171,937000000,3697999872,0.51,0.825,16506999808,40.628,43.957,0.00533,-0.011469999,1966000000,417249984,606000000,0.054,0.1191,0.056760002,0.01599,EUR,0.2173
