,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,3920 Arkwright Road,2nd Floor,Macon,GA,31210,United States,478 822 2801,https://www.blue-bird.com,Auto Manufacturers,Consumer Cyclical,"Blue Bird Corporation designs, engineers, manufactures, and sells school buses and related parts in the United States, Canada, and internationally. It operates through two segments, Bus and Parts. The company offers Type C, Type D, and specialty buses; and alternative fuel applications through its propane powered, gasoline powered, compressed natural gas powered, and electric powered school buses, as well as diesel engines. Blue Bird Corporation sells its products through a network of dealers, as well as directly to fleet operators, the United States government, and state governments; and maintains a parts distribution center. Blue Bird Corporation was formerly known as Hennessy Capital Acquisition Corp. The company was founded in 1927 and is headquartered in Macon, Georgia.",1593,"{'maxAge': 1, 'name': 'Mr. Philip  Horlock', 'age': 66, 'title': 'CEO & Director', 'yearBorn': 1956, 'fiscalYear': 2022, 'totalPay': 606020, 'exercisedValue': 0, 'unexercisedValue': 0}",8,7,5,6,6,1693526400,1672444800,86400,2,20.68,20.55,19.585,20.6702,20.68,20.55,19.585,20.6702,0.0,1.286998,14.143885,605278,605278,314979,519870,519870,19.66,20.04,3000,800,632367808,7.135,28.8,0.5814866,21.3766,19.1091,0.0,0.0,USD,718163840,-0.01646,23791177,32165200,895627,763593,1690761600,1693440000,0.0279,0.024360001,0.76184,3.66,0.0512,0.325,60.49231,1664582400,1696118400,1688169600,-17901000,-0.55,1.39,1.57,0.66,49.406,NGM,EQUITY,BLBD,BLBD,Blue Bird Corporation,Blue Bird Corporation,1395322200,America/New_York,EDT,-14400000,19.66,34.0,25.0,27.58,26.25,1.8,buy,6,50497000,1.571,14536000,136664000,0.284,0.922,1087501952,1308.541,33.944,0.00044,-1.10394,36546000,118831128,114145000,0.428,0.077659994,0.01337,0.00027000002,USD,
1,3920 Arkwright Road,2nd Floor,Macon,GA,31210,United States,478 822 2801,https://www.blue-bird.com,Auto Manufacturers,Consumer Cyclical,"Blue Bird Corporation designs, engineers, manufactures, and sells school buses and related parts in the United States, Canada, and internationally. It operates through two segments, Bus and Parts. The company offers Type C, Type D, and specialty buses; and alternative fuel applications through its propane powered, gasoline powered, compressed natural gas powered, and electric powered school buses, as well as diesel engines. Blue Bird Corporation sells its products through a network of dealers, as well as directly to fleet operators, the United States government, and state governments; and maintains a parts distribution center. Blue Bird Corporation was formerly known as Hennessy Capital Acquisition Corp. The company was founded in 1927 and is headquartered in Macon, Georgia.",1593,"{'maxAge': 1, 'name': 'Mr. Razvan  Radulescu', 'age': 47, 'title': 'CFO, Principal Financial & Principal Accounting Officer', 'yearBorn': 1975, 'fiscalYear': 2022, 'totalPay': 736480, 'exercisedValue': 0, 'unexercisedValue': 0}",8,7,5,6,6,1693526400,1672444800,86400,2,20.68,20.55,19.585,20.6702,20.68,20.55,19.585,20.6702,0.0,1.286998,14.143885,605278,605278,314979,519870,519870,19.66,20.04,3000,800,632367808,7.135,28.8,0.5814866,21.3766,19.1091,0.0,0.0,USD,718163840,-0.01646,23791177,32165200,895627,763593,1690761600,1693440000,0.0279,0.024360001,0.76184,3.66,0.0512,0.325,60.49231,1664582400,1696118400,1688169600,-17901000,-0.55,1.39,1.57,0.66,49.406,NGM,EQUITY,BLBD,BLBD,Blue Bird Corporation,Blue Bird Corporation,1395322200,America/New_York,EDT,-14400000,19.66,34.0,25.0,27.58,26.25,1.8,buy,6,50497000,1.571,14536000,136664000,0.284,0.922,1087501952,1308.541,33.944,0.00044,-1.10394,36546000,118831128,114145000,0.428,0.077659994,0.01337,0.00027000002,USD,
2,3920 Arkwright Road,2nd Floor,Macon,GA,31210,United States,478 822 2801,https://www.blue-bird.com,Auto Manufacturers,Consumer Cyclical,"Blue Bird Corporation designs, engineers, manufactures, and sells school buses and related parts in the United States, Canada, and internationally. It operates through two segments, Bus and Parts. The company offers Type C, Type D, and specialty buses; and alternative fuel applications through its propane powered, gasoline powered, compressed natural gas powered, and electric powered school buses, as well as diesel engines. Blue Bird Corporation sells its products through a network of dealers, as well as directly to fleet operators, the United States government, and state governments; and maintains a parts distribution center. Blue Bird Corporation was formerly known as Hennessy Capital Acquisition Corp. The company was founded in 1927 and is headquartered in Macon, Georgia.",1593,"{'maxAge': 1, 'name': 'Mr. Ted M. Scartz', 'age': 41, 'title': 'Sr. VP, Gen. Counsel & Corp. Sec.', 'yearBorn': 1981, 'fiscalYear': 2022, 'totalPay': 371563, 'exercisedValue': 0, 'unexercisedValue': 0}",8,7,5,6,6,1693526400,1672444800,86400,2,20.68,20.55,19.585,20.6702,20.68,20.55,19.585,20.6702,0.0,1.286998,14.143885,605278,605278,314979,519870,519870,19.66,20.04,3000,800,632367808,7.135,28.8,0.5814866,21.3766,19.1091,0.0,0.0,USD,718163840,-0.01646,23791177,32165200,895627,763593,1690761600,1693440000,0.0279,0.024360001,0.76184,3.66,0.0512,0.325,60.49231,1664582400,1696118400,1688169600,-17901000,-0.55,1.39,1.57,0.66,49.406,NGM,EQUITY,BLBD,BLBD,Blue Bird Corporation,Blue Bird Corporation,1395322200,America/New_York,EDT,-14400000,19.66,34.0,25.0,27.58,26.25,1.8,buy,6,50497000,1.571,14536000,136664000,0.284,0.922,1087501952,1308.541,33.944,0.00044,-1.10394,36546000,118831128,114145000,0.428,0.077659994,0.01337,0.00027000002,USD,
3,3920 Arkwright Road,2nd Floor,Macon,GA,31210,United States,478 822 2801,https://www.blue-bird.com,Auto Manufacturers,Consumer Cyclical,"Blue Bird Corporation designs, engineers, manufactures, and sells school buses and related parts in the United States, Canada, and internationally. It operates through two segments, Bus and Parts. The company offers Type C, Type D, and specialty buses; and alternative fuel applications through its propane powered, gasoline powered, compressed natural gas powered, and electric powered school buses, as well as diesel engines. Blue Bird Corporation sells its products through a network of dealers, as well as directly to fleet operators, the United States government, and state governments; and maintains a parts distribution center. Blue Bird Corporation was formerly known as Hennessy Capital Acquisition Corp. The company was founded in 1927 and is headquartered in Macon, Georgia.",1593,"{'maxAge': 1, 'name': 'Mr. Britton  Smith', 'title': 'Pres & Chief Strategy Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",8,7,5,6,6,1693526400,1672444800,86400,2,20.68,20.55,19.585,20.6702,20.68,20.55,19.585,20.6702,0.0,1.286998,14.143885,605278,605278,314979,519870,519870,19.66,20.04,3000,800,632367808,7.135,28.8,0.5814866,21.3766,19.1091,0.0,0.0,USD,718163840,-0.01646,23791177,32165200,895627,763593,1690761600,1693440000,0.0279,0.024360001,0.76184,3.66,0.0512,0.325,60.49231,1664582400,1696118400,1688169600,-17901000,-0.55,1.39,1.57,0.66,49.406,NGM,EQUITY,BLBD,BLBD,Blue Bird Corporation,Blue Bird Corporation,1395322200,America/New_York,EDT,-14400000,19.66,34.0,25.0,27.58,26.25,1.8,buy,6,50497000,1.571,14536000,136664000,0.284,0.922,1087501952,1308.541,33.944,0.00044,-1.10394,36546000,118831128,114145000,0.428,0.077659994,0.01337,0.00027000002,USD,
4,3920 Arkwright Road,2nd Floor,Macon,GA,31210,United States,478 822 2801,https://www.blue-bird.com,Auto Manufacturers,Consumer Cyclical,"Blue Bird Corporation designs, engineers, manufactures, and sells school buses and related parts in the United States, Canada, and internationally. It operates through two segments, Bus and Parts. The company offers Type C, Type D, and specialty buses; and alternative fuel applications through its propane powered, gasoline powered, compressed natural gas powered, and electric powered school buses, as well as diesel engines. Blue Bird Corporation sells its products through a network of dealers, as well as directly to fleet operators, the United States government, and state governments; and maintains a parts distribution center. Blue Bird Corporation was formerly known as Hennessy Capital Acquisition Corp. The company was founded in 1927 and is headquartered in Macon, Georgia.",1593,"{'maxAge': 1, 'name': 'Mr. Mark R. Benfield', 'title': 'Exec. Director of Profitability & Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",8,7,5,6,6,1693526400,1672444800,86400,2,20.68,20.55,19.585,20.6702,20.68,20.55,19.585,20.6702,0.0,1.286998,14.143885,605278,605278,314979,519870,519870,19.66,20.04,3000,800,632367808,7.135,28.8,0.5814866,21.3766,19.1091,0.0,0.0,USD,718163840,-0.01646,23791177,32165200,895627,763593,1690761600,1693440000,0.0279,0.024360001,0.76184,3.66,0.0512,0.325,60.49231,1664582400,1696118400,1688169600,-17901000,-0.55,1.39,1.57,0.66,49.406,NGM,EQUITY,BLBD,BLBD,Blue Bird Corporation,Blue Bird Corporation,1395322200,America/New_York,EDT,-14400000,19.66,34.0,25.0,27.58,26.25,1.8,buy,6,50497000,1.571,14536000,136664000,0.284,0.922,1087501952,1308.541,33.944,0.00044,-1.10394,36546000,118831128,114145000,0.428,0.077659994,0.01337,0.00027000002,USD,
5,3920 Arkwright Road,2nd Floor,Macon,GA,31210,United States,478 822 2801,https://www.blue-bird.com,Auto Manufacturers,Consumer Cyclical,"Blue Bird Corporation designs, engineers, manufactures, and sells school buses and related parts in the United States, Canada, and internationally. It operates through two segments, Bus and Parts. The company offers Type C, Type D, and specialty buses; and alternative fuel applications through its propane powered, gasoline powered, compressed natural gas powered, and electric powered school buses, as well as diesel engines. Blue Bird Corporation sells its products through a network of dealers, as well as directly to fleet operators, the United States government, and state governments; and maintains a parts distribution center. Blue Bird Corporation was formerly known as Hennessy Capital Acquisition Corp. The company was founded in 1927 and is headquartered in Macon, Georgia.",1593,"{'maxAge': 1, 'name': 'Mr. Jim  Nelles', 'title': 'Sr. VP of Global Supply Chain Management', 'exercisedValue': 0, 'unexercisedValue': 0}",8,7,5,6,6,1693526400,1672444800,86400,2,20.68,20.55,19.585,20.6702,20.68,20.55,19.585,20.6702,0.0,1.286998,14.143885,605278,605278,314979,519870,519870,19.66,20.04,3000,800,632367808,7.135,28.8,0.5814866,21.3766,19.1091,0.0,0.0,USD,718163840,-0.01646,23791177,32165200,895627,763593,1690761600,1693440000,0.0279,0.024360001,0.76184,3.66,0.0512,0.325,60.49231,1664582400,1696118400,1688169600,-17901000,-0.55,1.39,1.57,0.66,49.406,NGM,EQUITY,BLBD,BLBD,Blue Bird Corporation,Blue Bird Corporation,1395322200,America/New_York,EDT,-14400000,19.66,34.0,25.0,27.58,26.25,1.8,buy,6,50497000,1.571,14536000,136664000,0.284,0.922,1087501952,1308.541,33.944,0.00044,-1.10394,36546000,118831128,114145000,0.428,0.077659994,0.01337,0.00027000002,USD,
6,3920 Arkwright Road,2nd Floor,Macon,GA,31210,United States,478 822 2801,https://www.blue-bird.com,Auto Manufacturers,Consumer Cyclical,"Blue Bird Corporation designs, engineers, manufactures, and sells school buses and related parts in the United States, Canada, and internationally. It operates through two segments, Bus and Parts. The company offers Type C, Type D, and specialty buses; and alternative fuel applications through its propane powered, gasoline powered, compressed natural gas powered, and electric powered school buses, as well as diesel engines. Blue Bird Corporation sells its products through a network of dealers, as well as directly to fleet operators, the United States government, and state governments; and maintains a parts distribution center. Blue Bird Corporation was formerly known as Hennessy Capital Acquisition Corp. The company was founded in 1927 and is headquartered in Macon, Georgia.",1593,"{'maxAge': 1, 'name': 'Mr. Vijay  Boova', 'title': 'Sr. VP of  Lean Transformation & Quality', 'exercisedValue': 0, 'unexercisedValue': 0}",8,7,5,6,6,1693526400,1672444800,86400,2,20.68,20.55,19.585,20.6702,20.68,20.55,19.585,20.6702,0.0,1.286998,14.143885,605278,605278,314979,519870,519870,19.66,20.04,3000,800,632367808,7.135,28.8,0.5814866,21.3766,19.1091,0.0,0.0,USD,718163840,-0.01646,23791177,32165200,895627,763593,1690761600,1693440000,0.0279,0.024360001,0.76184,3.66,0.0512,0.325,60.49231,1664582400,1696118400,1688169600,-17901000,-0.55,1.39,1.57,0.66,49.406,NGM,EQUITY,BLBD,BLBD,Blue Bird Corporation,Blue Bird Corporation,1395322200,America/New_York,EDT,-14400000,19.66,34.0,25.0,27.58,26.25,1.8,buy,6,50497000,1.571,14536000,136664000,0.284,0.922,1087501952,1308.541,33.944,0.00044,-1.10394,36546000,118831128,114145000,0.428,0.077659994,0.01337,0.00027000002,USD,
7,3920 Arkwright Road,2nd Floor,Macon,GA,31210,United States,478 822 2801,https://www.blue-bird.com,Auto Manufacturers,Consumer Cyclical,"Blue Bird Corporation designs, engineers, manufactures, and sells school buses and related parts in the United States, Canada, and internationally. It operates through two segments, Bus and Parts. The company offers Type C, Type D, and specialty buses; and alternative fuel applications through its propane powered, gasoline powered, compressed natural gas powered, and electric powered school buses, as well as diesel engines. Blue Bird Corporation sells its products through a network of dealers, as well as directly to fleet operators, the United States government, and state governments; and maintains a parts distribution center. Blue Bird Corporation was formerly known as Hennessy Capital Acquisition Corp. The company was founded in 1927 and is headquartered in Macon, Georgia.",1593,"{'maxAge': 1, 'name': 'Mr. Jeff  Sanfrey', 'title': 'Sr. VP of Engineering', 'exercisedValue': 0, 'unexercisedValue': 0}",8,7,5,6,6,1693526400,1672444800,86400,2,20.68,20.55,19.585,20.6702,20.68,20.55,19.585,20.6702,0.0,1.286998,14.143885,605278,605278,314979,519870,519870,19.66,20.04,3000,800,632367808,7.135,28.8,0.5814866,21.3766,19.1091,0.0,0.0,USD,718163840,-0.01646,23791177,32165200,895627,763593,1690761600,1693440000,0.0279,0.024360001,0.76184,3.66,0.0512,0.325,60.49231,1664582400,1696118400,1688169600,-17901000,-0.55,1.39,1.57,0.66,49.406,NGM,EQUITY,BLBD,BLBD,Blue Bird Corporation,Blue Bird Corporation,1395322200,America/New_York,EDT,-14400000,19.66,34.0,25.0,27.58,26.25,1.8,buy,6,50497000,1.571,14536000,136664000,0.284,0.922,1087501952,1308.541,33.944,0.00044,-1.10394,36546000,118831128,114145000,0.428,0.077659994,0.01337,0.00027000002,USD,
8,3920 Arkwright Road,2nd Floor,Macon,GA,31210,United States,478 822 2801,https://www.blue-bird.com,Auto Manufacturers,Consumer Cyclical,"Blue Bird Corporation designs, engineers, manufactures, and sells school buses and related parts in the United States, Canada, and internationally. It operates through two segments, Bus and Parts. The company offers Type C, Type D, and specialty buses; and alternative fuel applications through its propane powered, gasoline powered, compressed natural gas powered, and electric powered school buses, as well as diesel engines. Blue Bird Corporation sells its products through a network of dealers, as well as directly to fleet operators, the United States government, and state governments; and maintains a parts distribution center. Blue Bird Corporation was formerly known as Hennessy Capital Acquisition Corp. The company was founded in 1927 and is headquartered in Macon, Georgia.",1593,"{'maxAge': 1, 'name': 'Mr. Steve  Girardin', 'title': 'Pres & CEO of Micro Bird Inc.', 'exercisedValue': 0, 'unexercisedValue': 0}",8,7,5,6,6,1693526400,1672444800,86400,2,20.68,20.55,19.585,20.6702,20.68,20.55,19.585,20.6702,0.0,1.286998,14.143885,605278,605278,314979,519870,519870,19.66,20.04,3000,800,632367808,7.135,28.8,0.5814866,21.3766,19.1091,0.0,0.0,USD,718163840,-0.01646,23791177,32165200,895627,763593,1690761600,1693440000,0.0279,0.024360001,0.76184,3.66,0.0512,0.325,60.49231,1664582400,1696118400,1688169600,-17901000,-0.55,1.39,1.57,0.66,49.406,NGM,EQUITY,BLBD,BLBD,Blue Bird Corporation,Blue Bird Corporation,1395322200,America/New_York,EDT,-14400000,19.66,34.0,25.0,27.58,26.25,1.8,buy,6,50497000,1.571,14536000,136664000,0.284,0.922,1087501952,1308.541,33.944,0.00044,-1.10394,36546000,118831128,114145000,0.428,0.077659994,0.01337,0.00027000002,USD,
9,3920 Arkwright Road,2nd Floor,Macon,GA,31210,United States,478 822 2801,https://www.blue-bird.com,Auto Manufacturers,Consumer Cyclical,"Blue Bird Corporation designs, engineers, manufactures, and sells school buses and related parts in the United States, Canada, and internationally. It operates through two segments, Bus and Parts. The company offers Type C, Type D, and specialty buses; and alternative fuel applications through its propane powered, gasoline powered, compressed natural gas powered, and electric powered school buses, as well as diesel engines. Blue Bird Corporation sells its products through a network of dealers, as well as directly to fleet operators, the United States government, and state governments; and maintains a parts distribution center. Blue Bird Corporation was formerly known as Hennessy Capital Acquisition Corp. The company was founded in 1927 and is headquartered in Macon, Georgia.",1593,"{'maxAge': 1, 'name': 'Craig  West', 'title': 'VP \x96 Corp. Controller & Treasurer', 'exercisedValue': 0, 'unexercisedValue': 0}",8,7,5,6,6,1693526400,1672444800,86400,2,20.68,20.55,19.585,20.6702,20.68,20.55,19.585,20.6702,0.0,1.286998,14.143885,605278,605278,314979,519870,519870,19.66,20.04,3000,800,632367808,7.135,28.8,0.5814866,21.3766,19.1091,0.0,0.0,USD,718163840,-0.01646,23791177,32165200,895627,763593,1690761600,1693440000,0.0279,0.024360001,0.76184,3.66,0.0512,0.325,60.49231,1664582400,1696118400,1688169600,-17901000,-0.55,1.39,1.57,0.66,49.406,NGM,EQUITY,BLBD,BLBD,Blue Bird Corporation,Blue Bird Corporation,1395322200,America/New_York,EDT,-14400000,19.66,34.0,25.0,27.58,26.25,1.8,buy,6,50497000,1.571,14536000,136664000,0.284,0.922,1087501952,1308.541,33.944,0.00044,-1.10394,36546000,118831128,114145000,0.428,0.077659994,0.01337,0.00027000002,USD,
