,address1,city,state,zip,country,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,totalDebt,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,40 Temperance Street,Toronto,ON,M5H 0B4,Canada,https://www.scotiabank.com,Banks—Diversified,Financial Services,"The Bank of Nova Scotia provides various banking products and services in Canada, the United States, Mexico, Peru, Chile, Colombia, the Caribbean and Central America, and internationally. It operates in four segments: Canadian Banking, International Banking, Global Wealth Management, and Global Banking and Markets. The company offers financial advice and solutions, and day-to-day banking products, including debit and credit cards, chequing and saving accounts, investments, mortgages, loans, and insurance to individuals; and business banking solutions comprising lending, deposit, cash management, and trade finance solutions to small, medium, and large businesses, including automotive financing solutions to dealers and their customers. It also provides wealth management advice and solutions, including online brokerage, mobile investment, full-service brokerage, trust, private banking, and private investment counsel services; and retail mutual funds, exchange traded funds, liquid alternative funds, and institutional funds. In addition, the company offers international banking services for retail, corporate, and commercial customers; and lending and transaction, investment banking advisory, and capital markets access services to corporate customers. Further, it provides online, mobile, and telephone banking services. The Bank of Nova Scotia was founded in 1832 and is headquartered in Halifax, Canada.",91013,"{'maxAge': 1, 'name': 'Mr. L. Scott Thomson', 'age': 52, 'title': 'Pres, CEO & Director', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 319722, 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,6,1,3,1693526400,1672444800,86400,2,65.18,65.28,64.92,65.57,65.18,65.28,64.92,65.57,4.24,0.0647,1696204800,0.64949995,5.2,0.930853,10.256651,9.04,8167821,8167821,3959427,4166590,4166590,65.52,65.52,0,0,78997331968,61.46,74.41,2.752808,64.4542,66.99195,4.15,0.06366984,CAD,-128899948544,0.28264,1191371098,1205330048,34219123,43145177,1690761600,1693440000,0.028399998,0.00031,0.48806998,12.53,62.852,1.0427672,1667174400,1698710400,1690761600,-0.137,7695000064,6.39,7.25,-2.93,2:1,1080864000,-4.492,TOR,EQUITY,BNS.TO,BNS.TO,BANK OF NOVA SCOTIA,The Bank of Nova Scotia,789921000,America/Toronto,EDT,-14400000,65.54,86.76,60.0,68.52,66.0,3.1,hold,13,446597988352,370.516,236739002368,28696999936,24.039,0.0061299996,0.10887,29801000000,-32810999808,-0.176,-0.016,0.0,0.0,0.37631,CAD,
1,40 Temperance Street,Toronto,ON,M5H 0B4,Canada,https://www.scotiabank.com,Banks—Diversified,Financial Services,"The Bank of Nova Scotia provides various banking products and services in Canada, the United States, Mexico, Peru, Chile, Colombia, the Caribbean and Central America, and internationally. It operates in four segments: Canadian Banking, International Banking, Global Wealth Management, and Global Banking and Markets. The company offers financial advice and solutions, and day-to-day banking products, including debit and credit cards, chequing and saving accounts, investments, mortgages, loans, and insurance to individuals; and business banking solutions comprising lending, deposit, cash management, and trade finance solutions to small, medium, and large businesses, including automotive financing solutions to dealers and their customers. It also provides wealth management advice and solutions, including online brokerage, mobile investment, full-service brokerage, trust, private banking, and private investment counsel services; and retail mutual funds, exchange traded funds, liquid alternative funds, and institutional funds. In addition, the company offers international banking services for retail, corporate, and commercial customers; and lending and transaction, investment banking advisory, and capital markets access services to corporate customers. Further, it provides online, mobile, and telephone banking services. The Bank of Nova Scotia was founded in 1832 and is headquartered in Halifax, Canada.",91013,"{'maxAge': 1, 'name': 'Mr. Rajagopal  Viswanathan', 'title': 'Group Head & CFO', 'fiscalYear': 2022, 'totalPay': 1470662, 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,6,1,3,1693526400,1672444800,86400,2,65.18,65.28,64.92,65.57,65.18,65.28,64.92,65.57,4.24,0.0647,1696204800,0.64949995,5.2,0.930853,10.256651,9.04,8167821,8167821,3959427,4166590,4166590,65.52,65.52,0,0,78997331968,61.46,74.41,2.752808,64.4542,66.99195,4.15,0.06366984,CAD,-128899948544,0.28264,1191371098,1205330048,34219123,43145177,1690761600,1693440000,0.028399998,0.00031,0.48806998,12.53,62.852,1.0427672,1667174400,1698710400,1690761600,-0.137,7695000064,6.39,7.25,-2.93,2:1,1080864000,-4.492,TOR,EQUITY,BNS.TO,BNS.TO,BANK OF NOVA SCOTIA,The Bank of Nova Scotia,789921000,America/Toronto,EDT,-14400000,65.54,86.76,60.0,68.52,66.0,3.1,hold,13,446597988352,370.516,236739002368,28696999936,24.039,0.0061299996,0.10887,29801000000,-32810999808,-0.176,-0.016,0.0,0.0,0.37631,CAD,
2,40 Temperance Street,Toronto,ON,M5H 0B4,Canada,https://www.scotiabank.com,Banks—Diversified,Financial Services,"The Bank of Nova Scotia provides various banking products and services in Canada, the United States, Mexico, Peru, Chile, Colombia, the Caribbean and Central America, and internationally. It operates in four segments: Canadian Banking, International Banking, Global Wealth Management, and Global Banking and Markets. The company offers financial advice and solutions, and day-to-day banking products, including debit and credit cards, chequing and saving accounts, investments, mortgages, loans, and insurance to individuals; and business banking solutions comprising lending, deposit, cash management, and trade finance solutions to small, medium, and large businesses, including automotive financing solutions to dealers and their customers. It also provides wealth management advice and solutions, including online brokerage, mobile investment, full-service brokerage, trust, private banking, and private investment counsel services; and retail mutual funds, exchange traded funds, liquid alternative funds, and institutional funds. In addition, the company offers international banking services for retail, corporate, and commercial customers; and lending and transaction, investment banking advisory, and capital markets access services to corporate customers. Further, it provides online, mobile, and telephone banking services. The Bank of Nova Scotia was founded in 1832 and is headquartered in Halifax, Canada.",91013,"{'maxAge': 1, 'name': 'Mr. Daniel Llewellyn Rees', 'title': 'Group Head of Canadian Banking', 'fiscalYear': 2022, 'totalPay': 2073600, 'exercisedValue': 308299, 'unexercisedValue': 0}",2,3,6,1,3,1693526400,1672444800,86400,2,65.18,65.28,64.92,65.57,65.18,65.28,64.92,65.57,4.24,0.0647,1696204800,0.64949995,5.2,0.930853,10.256651,9.04,8167821,8167821,3959427,4166590,4166590,65.52,65.52,0,0,78997331968,61.46,74.41,2.752808,64.4542,66.99195,4.15,0.06366984,CAD,-128899948544,0.28264,1191371098,1205330048,34219123,43145177,1690761600,1693440000,0.028399998,0.00031,0.48806998,12.53,62.852,1.0427672,1667174400,1698710400,1690761600,-0.137,7695000064,6.39,7.25,-2.93,2:1,1080864000,-4.492,TOR,EQUITY,BNS.TO,BNS.TO,BANK OF NOVA SCOTIA,The Bank of Nova Scotia,789921000,America/Toronto,EDT,-14400000,65.54,86.76,60.0,68.52,66.0,3.1,hold,13,446597988352,370.516,236739002368,28696999936,24.039,0.0061299996,0.10887,29801000000,-32810999808,-0.176,-0.016,0.0,0.0,0.37631,CAD,
3,40 Temperance Street,Toronto,ON,M5H 0B4,Canada,https://www.scotiabank.com,Banks—Diversified,Financial Services,"The Bank of Nova Scotia provides various banking products and services in Canada, the United States, Mexico, Peru, Chile, Colombia, the Caribbean and Central America, and internationally. It operates in four segments: Canadian Banking, International Banking, Global Wealth Management, and Global Banking and Markets. The company offers financial advice and solutions, and day-to-day banking products, including debit and credit cards, chequing and saving accounts, investments, mortgages, loans, and insurance to individuals; and business banking solutions comprising lending, deposit, cash management, and trade finance solutions to small, medium, and large businesses, including automotive financing solutions to dealers and their customers. It also provides wealth management advice and solutions, including online brokerage, mobile investment, full-service brokerage, trust, private banking, and private investment counsel services; and retail mutual funds, exchange traded funds, liquid alternative funds, and institutional funds. In addition, the company offers international banking services for retail, corporate, and commercial customers; and lending and transaction, investment banking advisory, and capital markets access services to corporate customers. Further, it provides online, mobile, and telephone banking services. The Bank of Nova Scotia was founded in 1832 and is headquartered in Halifax, Canada.",91013,"{'maxAge': 1, 'name': 'Mr. Jake P. Lawrence', 'title': 'CEO and Group Head of Global Banking & Markets', 'fiscalYear': 2022, 'totalPay': 2808233, 'exercisedValue': 98459, 'unexercisedValue': 0}",2,3,6,1,3,1693526400,1672444800,86400,2,65.18,65.28,64.92,65.57,65.18,65.28,64.92,65.57,4.24,0.0647,1696204800,0.64949995,5.2,0.930853,10.256651,9.04,8167821,8167821,3959427,4166590,4166590,65.52,65.52,0,0,78997331968,61.46,74.41,2.752808,64.4542,66.99195,4.15,0.06366984,CAD,-128899948544,0.28264,1191371098,1205330048,34219123,43145177,1690761600,1693440000,0.028399998,0.00031,0.48806998,12.53,62.852,1.0427672,1667174400,1698710400,1690761600,-0.137,7695000064,6.39,7.25,-2.93,2:1,1080864000,-4.492,TOR,EQUITY,BNS.TO,BNS.TO,BANK OF NOVA SCOTIA,The Bank of Nova Scotia,789921000,America/Toronto,EDT,-14400000,65.54,86.76,60.0,68.52,66.0,3.1,hold,13,446597988352,370.516,236739002368,28696999936,24.039,0.0061299996,0.10887,29801000000,-32810999808,-0.176,-0.016,0.0,0.0,0.37631,CAD,
4,40 Temperance Street,Toronto,ON,M5H 0B4,Canada,https://www.scotiabank.com,Banks—Diversified,Financial Services,"The Bank of Nova Scotia provides various banking products and services in Canada, the United States, Mexico, Peru, Chile, Colombia, the Caribbean and Central America, and internationally. It operates in four segments: Canadian Banking, International Banking, Global Wealth Management, and Global Banking and Markets. The company offers financial advice and solutions, and day-to-day banking products, including debit and credit cards, chequing and saving accounts, investments, mortgages, loans, and insurance to individuals; and business banking solutions comprising lending, deposit, cash management, and trade finance solutions to small, medium, and large businesses, including automotive financing solutions to dealers and their customers. It also provides wealth management advice and solutions, including online brokerage, mobile investment, full-service brokerage, trust, private banking, and private investment counsel services; and retail mutual funds, exchange traded funds, liquid alternative funds, and institutional funds. In addition, the company offers international banking services for retail, corporate, and commercial customers; and lending and transaction, investment banking advisory, and capital markets access services to corporate customers. Further, it provides online, mobile, and telephone banking services. The Bank of Nova Scotia was founded in 1832 and is headquartered in Halifax, Canada.",91013,"{'maxAge': 1, 'name': 'Dr. Michael  Zerbs Ph.D.', 'title': 'Group Head of Technology & Operations', 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,6,1,3,1693526400,1672444800,86400,2,65.18,65.28,64.92,65.57,65.18,65.28,64.92,65.57,4.24,0.0647,1696204800,0.64949995,5.2,0.930853,10.256651,9.04,8167821,8167821,3959427,4166590,4166590,65.52,65.52,0,0,78997331968,61.46,74.41,2.752808,64.4542,66.99195,4.15,0.06366984,CAD,-128899948544,0.28264,1191371098,1205330048,34219123,43145177,1690761600,1693440000,0.028399998,0.00031,0.48806998,12.53,62.852,1.0427672,1667174400,1698710400,1690761600,-0.137,7695000064,6.39,7.25,-2.93,2:1,1080864000,-4.492,TOR,EQUITY,BNS.TO,BNS.TO,BANK OF NOVA SCOTIA,The Bank of Nova Scotia,789921000,America/Toronto,EDT,-14400000,65.54,86.76,60.0,68.52,66.0,3.1,hold,13,446597988352,370.516,236739002368,28696999936,24.039,0.0061299996,0.10887,29801000000,-32810999808,-0.176,-0.016,0.0,0.0,0.37631,CAD,
5,40 Temperance Street,Toronto,ON,M5H 0B4,Canada,https://www.scotiabank.com,Banks—Diversified,Financial Services,"The Bank of Nova Scotia provides various banking products and services in Canada, the United States, Mexico, Peru, Chile, Colombia, the Caribbean and Central America, and internationally. It operates in four segments: Canadian Banking, International Banking, Global Wealth Management, and Global Banking and Markets. The company offers financial advice and solutions, and day-to-day banking products, including debit and credit cards, chequing and saving accounts, investments, mortgages, loans, and insurance to individuals; and business banking solutions comprising lending, deposit, cash management, and trade finance solutions to small, medium, and large businesses, including automotive financing solutions to dealers and their customers. It also provides wealth management advice and solutions, including online brokerage, mobile investment, full-service brokerage, trust, private banking, and private investment counsel services; and retail mutual funds, exchange traded funds, liquid alternative funds, and institutional funds. In addition, the company offers international banking services for retail, corporate, and commercial customers; and lending and transaction, investment banking advisory, and capital markets access services to corporate customers. Further, it provides online, mobile, and telephone banking services. The Bank of Nova Scotia was founded in 1832 and is headquartered in Halifax, Canada.",91013,"{'maxAge': 1, 'name': 'Mr. James A. Neate', 'title': 'Pres and Group Head of Corp. & Investment Banking', 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,6,1,3,1693526400,1672444800,86400,2,65.18,65.28,64.92,65.57,65.18,65.28,64.92,65.57,4.24,0.0647,1696204800,0.64949995,5.2,0.930853,10.256651,9.04,8167821,8167821,3959427,4166590,4166590,65.52,65.52,0,0,78997331968,61.46,74.41,2.752808,64.4542,66.99195,4.15,0.06366984,CAD,-128899948544,0.28264,1191371098,1205330048,34219123,43145177,1690761600,1693440000,0.028399998,0.00031,0.48806998,12.53,62.852,1.0427672,1667174400,1698710400,1690761600,-0.137,7695000064,6.39,7.25,-2.93,2:1,1080864000,-4.492,TOR,EQUITY,BNS.TO,BNS.TO,BANK OF NOVA SCOTIA,The Bank of Nova Scotia,789921000,America/Toronto,EDT,-14400000,65.54,86.76,60.0,68.52,66.0,3.1,hold,13,446597988352,370.516,236739002368,28696999936,24.039,0.0061299996,0.10887,29801000000,-32810999808,-0.176,-0.016,0.0,0.0,0.37631,CAD,
6,40 Temperance Street,Toronto,ON,M5H 0B4,Canada,https://www.scotiabank.com,Banks—Diversified,Financial Services,"The Bank of Nova Scotia provides various banking products and services in Canada, the United States, Mexico, Peru, Chile, Colombia, the Caribbean and Central America, and internationally. It operates in four segments: Canadian Banking, International Banking, Global Wealth Management, and Global Banking and Markets. The company offers financial advice and solutions, and day-to-day banking products, including debit and credit cards, chequing and saving accounts, investments, mortgages, loans, and insurance to individuals; and business banking solutions comprising lending, deposit, cash management, and trade finance solutions to small, medium, and large businesses, including automotive financing solutions to dealers and their customers. It also provides wealth management advice and solutions, including online brokerage, mobile investment, full-service brokerage, trust, private banking, and private investment counsel services; and retail mutual funds, exchange traded funds, liquid alternative funds, and institutional funds. In addition, the company offers international banking services for retail, corporate, and commercial customers; and lending and transaction, investment banking advisory, and capital markets access services to corporate customers. Further, it provides online, mobile, and telephone banking services. The Bank of Nova Scotia was founded in 1832 and is headquartered in Halifax, Canada.",91013,"{'maxAge': 1, 'name': 'Mr. Shawn  Rose', 'title': 'Exec. VP & CTO', 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,6,1,3,1693526400,1672444800,86400,2,65.18,65.28,64.92,65.57,65.18,65.28,64.92,65.57,4.24,0.0647,1696204800,0.64949995,5.2,0.930853,10.256651,9.04,8167821,8167821,3959427,4166590,4166590,65.52,65.52,0,0,78997331968,61.46,74.41,2.752808,64.4542,66.99195,4.15,0.06366984,CAD,-128899948544,0.28264,1191371098,1205330048,34219123,43145177,1690761600,1693440000,0.028399998,0.00031,0.48806998,12.53,62.852,1.0427672,1667174400,1698710400,1690761600,-0.137,7695000064,6.39,7.25,-2.93,2:1,1080864000,-4.492,TOR,EQUITY,BNS.TO,BNS.TO,BANK OF NOVA SCOTIA,The Bank of Nova Scotia,789921000,America/Toronto,EDT,-14400000,65.54,86.76,60.0,68.52,66.0,3.1,hold,13,446597988352,370.516,236739002368,28696999936,24.039,0.0061299996,0.10887,29801000000,-32810999808,-0.176,-0.016,0.0,0.0,0.37631,CAD,
7,40 Temperance Street,Toronto,ON,M5H 0B4,Canada,https://www.scotiabank.com,Banks—Diversified,Financial Services,"The Bank of Nova Scotia provides various banking products and services in Canada, the United States, Mexico, Peru, Chile, Colombia, the Caribbean and Central America, and internationally. It operates in four segments: Canadian Banking, International Banking, Global Wealth Management, and Global Banking and Markets. The company offers financial advice and solutions, and day-to-day banking products, including debit and credit cards, chequing and saving accounts, investments, mortgages, loans, and insurance to individuals; and business banking solutions comprising lending, deposit, cash management, and trade finance solutions to small, medium, and large businesses, including automotive financing solutions to dealers and their customers. It also provides wealth management advice and solutions, including online brokerage, mobile investment, full-service brokerage, trust, private banking, and private investment counsel services; and retail mutual funds, exchange traded funds, liquid alternative funds, and institutional funds. In addition, the company offers international banking services for retail, corporate, and commercial customers; and lending and transaction, investment banking advisory, and capital markets access services to corporate customers. Further, it provides online, mobile, and telephone banking services. The Bank of Nova Scotia was founded in 1832 and is headquartered in Halifax, Canada.",91013,"{'maxAge': 1, 'name': 'Mr. John  McCartney', 'title': 'Head of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,6,1,3,1693526400,1672444800,86400,2,65.18,65.28,64.92,65.57,65.18,65.28,64.92,65.57,4.24,0.0647,1696204800,0.64949995,5.2,0.930853,10.256651,9.04,8167821,8167821,3959427,4166590,4166590,65.52,65.52,0,0,78997331968,61.46,74.41,2.752808,64.4542,66.99195,4.15,0.06366984,CAD,-128899948544,0.28264,1191371098,1205330048,34219123,43145177,1690761600,1693440000,0.028399998,0.00031,0.48806998,12.53,62.852,1.0427672,1667174400,1698710400,1690761600,-0.137,7695000064,6.39,7.25,-2.93,2:1,1080864000,-4.492,TOR,EQUITY,BNS.TO,BNS.TO,BANK OF NOVA SCOTIA,The Bank of Nova Scotia,789921000,America/Toronto,EDT,-14400000,65.54,86.76,60.0,68.52,66.0,3.1,hold,13,446597988352,370.516,236739002368,28696999936,24.039,0.0061299996,0.10887,29801000000,-32810999808,-0.176,-0.016,0.0,0.0,0.37631,CAD,
8,40 Temperance Street,Toronto,ON,M5H 0B4,Canada,https://www.scotiabank.com,Banks—Diversified,Financial Services,"The Bank of Nova Scotia provides various banking products and services in Canada, the United States, Mexico, Peru, Chile, Colombia, the Caribbean and Central America, and internationally. It operates in four segments: Canadian Banking, International Banking, Global Wealth Management, and Global Banking and Markets. The company offers financial advice and solutions, and day-to-day banking products, including debit and credit cards, chequing and saving accounts, investments, mortgages, loans, and insurance to individuals; and business banking solutions comprising lending, deposit, cash management, and trade finance solutions to small, medium, and large businesses, including automotive financing solutions to dealers and their customers. It also provides wealth management advice and solutions, including online brokerage, mobile investment, full-service brokerage, trust, private banking, and private investment counsel services; and retail mutual funds, exchange traded funds, liquid alternative funds, and institutional funds. In addition, the company offers international banking services for retail, corporate, and commercial customers; and lending and transaction, investment banking advisory, and capital markets access services to corporate customers. Further, it provides online, mobile, and telephone banking services. The Bank of Nova Scotia was founded in 1832 and is headquartered in Halifax, Canada.",91013,"{'maxAge': 1, 'name': 'Mr. Ian  Arellano', 'title': 'Exec. VP & Gen. Counsel', 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,6,1,3,1693526400,1672444800,86400,2,65.18,65.28,64.92,65.57,65.18,65.28,64.92,65.57,4.24,0.0647,1696204800,0.64949995,5.2,0.930853,10.256651,9.04,8167821,8167821,3959427,4166590,4166590,65.52,65.52,0,0,78997331968,61.46,74.41,2.752808,64.4542,66.99195,4.15,0.06366984,CAD,-128899948544,0.28264,1191371098,1205330048,34219123,43145177,1690761600,1693440000,0.028399998,0.00031,0.48806998,12.53,62.852,1.0427672,1667174400,1698710400,1690761600,-0.137,7695000064,6.39,7.25,-2.93,2:1,1080864000,-4.492,TOR,EQUITY,BNS.TO,BNS.TO,BANK OF NOVA SCOTIA,The Bank of Nova Scotia,789921000,America/Toronto,EDT,-14400000,65.54,86.76,60.0,68.52,66.0,3.1,hold,13,446597988352,370.516,236739002368,28696999936,24.039,0.0061299996,0.10887,29801000000,-32810999808,-0.176,-0.016,0.0,0.0,0.37631,CAD,
9,40 Temperance Street,Toronto,ON,M5H 0B4,Canada,https://www.scotiabank.com,Banks—Diversified,Financial Services,"The Bank of Nova Scotia provides various banking products and services in Canada, the United States, Mexico, Peru, Chile, Colombia, the Caribbean and Central America, and internationally. It operates in four segments: Canadian Banking, International Banking, Global Wealth Management, and Global Banking and Markets. The company offers financial advice and solutions, and day-to-day banking products, including debit and credit cards, chequing and saving accounts, investments, mortgages, loans, and insurance to individuals; and business banking solutions comprising lending, deposit, cash management, and trade finance solutions to small, medium, and large businesses, including automotive financing solutions to dealers and their customers. It also provides wealth management advice and solutions, including online brokerage, mobile investment, full-service brokerage, trust, private banking, and private investment counsel services; and retail mutual funds, exchange traded funds, liquid alternative funds, and institutional funds. In addition, the company offers international banking services for retail, corporate, and commercial customers; and lending and transaction, investment banking advisory, and capital markets access services to corporate customers. Further, it provides online, mobile, and telephone banking services. The Bank of Nova Scotia was founded in 1832 and is headquartered in Halifax, Canada.",91013,"{'maxAge': 1, 'name': 'Ms. Nicole  Frew', 'title': 'Exec. VP & Chief Compliance Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,6,1,3,1693526400,1672444800,86400,2,65.18,65.28,64.92,65.57,65.18,65.28,64.92,65.57,4.24,0.0647,1696204800,0.64949995,5.2,0.930853,10.256651,9.04,8167821,8167821,3959427,4166590,4166590,65.52,65.52,0,0,78997331968,61.46,74.41,2.752808,64.4542,66.99195,4.15,0.06366984,CAD,-128899948544,0.28264,1191371098,1205330048,34219123,43145177,1690761600,1693440000,0.028399998,0.00031,0.48806998,12.53,62.852,1.0427672,1667174400,1698710400,1690761600,-0.137,7695000064,6.39,7.25,-2.93,2:1,1080864000,-4.492,TOR,EQUITY,BNS.TO,BNS.TO,BANK OF NOVA SCOTIA,The Bank of Nova Scotia,789921000,America/Toronto,EDT,-14400000,65.54,86.76,60.0,68.52,66.0,3.1,hold,13,446597988352,370.516,236739002368,28696999936,24.039,0.0061299996,0.10887,29801000000,-32810999808,-0.176,-0.016,0.0,0.0,0.37631,CAD,
