,address1,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Turmstrasse 26,Steinhausen,6312,Switzerland,41 41 726 01 10,https://www.coca-colahellenic.com,Beverages—Non-Alcoholic,Consumer Defensive,"Coca-Cola HBC AG engages in the production, distribution, and sale of non-alcoholic ready-to-drink beverages under franchise in Switzerland and internationally. The company offers sparkling soft drinks, adult sparkling, hydration drinks, juices, ready-to-drink tea, energy drinks, dairy, coffee, water, plant-based drinks, premium spirits and flavored alcoholic beverages, and snacks. It markets and sells its products under several brands, including Coca-Cola, Fanta, Sprite, Adez, Averna, Amita, Aquarius, Aperol, Avra, Deep RiverRock, Fruice, Kinley, Schweppes, and various other brands; and distributes third-party products, such as Monster energy drinks, and beer. The company serves retail outlets, include supermarkets, discounters, convenience stores, wholesalers, hotels, restaurants, cafés, and e-commerce retailers. Coca-Cola HBC AG was founded in 1969 and is headquartered in Steinhausen, Switzerland.",33000,"{'maxAge': 1, 'name': 'Mr. Zoran  Bogdanovic', 'age': 50, 'title': 'CEO & Exec. Director', 'yearBorn': 1972, 'fiscalYear': 2022, 'totalPay': 2496628, 'exercisedValue': 0, 'unexercisedValue': 0}",3,9,10,1,10,1693526400,1672444800,86400,2,2282.0,2296.0,2282.0,2310.0,2282.0,2296.0,2282.0,2310.0,0.67,0.0291,1684972800,0.4432,2.47,0.927927,1513.245,1269.4445,1074814,1074814,906955,923556,923556,2100.0,2500.0,0,0,8415335424,1811.0,2582.0,0.8406928,2302.74,2219.9226,0.78,0.00034180543,GBp,10787091456,0.06476,198164785,368286016,0.46905,0.28658,8.177,279.44232,1672444800,1703980800,1688083200,1.523,648200000,1.51,1.8,1.55,1.078,8.984,LSE,EQUITY,CCH.L,CCH.L,COCA-COLA HBC AG ORD CHF6.70 (C,Coca-Cola HBC AG,1367218800,Europe/London,BST,3600000,2285.0,31.47,22.9,27.36,27.96,2.2,buy,15,1064899968,2.898,1200700032,3358500096,0.751,1.213,10010000384,108.307,27.27,0.06077,0.20273,3145300000,-661049984,1197400064,1.513,0.193,0.34532002,0.11995,0.099020004,EUR,
1,Turmstrasse 26,Steinhausen,6312,Switzerland,41 41 726 01 10,https://www.coca-colahellenic.com,Beverages—Non-Alcoholic,Consumer Defensive,"Coca-Cola HBC AG engages in the production, distribution, and sale of non-alcoholic ready-to-drink beverages under franchise in Switzerland and internationally. The company offers sparkling soft drinks, adult sparkling, hydration drinks, juices, ready-to-drink tea, energy drinks, dairy, coffee, water, plant-based drinks, premium spirits and flavored alcoholic beverages, and snacks. It markets and sells its products under several brands, including Coca-Cola, Fanta, Sprite, Adez, Averna, Amita, Aquarius, Aperol, Avra, Deep RiverRock, Fruice, Kinley, Schweppes, and various other brands; and distributes third-party products, such as Monster energy drinks, and beer. The company serves retail outlets, include supermarkets, discounters, convenience stores, wholesalers, hotels, restaurants, cafés, and e-commerce retailers. Coca-Cola HBC AG was founded in 1969 and is headquartered in Steinhausen, Switzerland.",33000,"{'maxAge': 1, 'name': 'Ms. Naya  Kalogeraki', 'age': 52, 'title': 'Group Chief Operating Officer', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",3,9,10,1,10,1693526400,1672444800,86400,2,2282.0,2296.0,2282.0,2310.0,2282.0,2296.0,2282.0,2310.0,0.67,0.0291,1684972800,0.4432,2.47,0.927927,1513.245,1269.4445,1074814,1074814,906955,923556,923556,2100.0,2500.0,0,0,8415335424,1811.0,2582.0,0.8406928,2302.74,2219.9226,0.78,0.00034180543,GBp,10787091456,0.06476,198164785,368286016,0.46905,0.28658,8.177,279.44232,1672444800,1703980800,1688083200,1.523,648200000,1.51,1.8,1.55,1.078,8.984,LSE,EQUITY,CCH.L,CCH.L,COCA-COLA HBC AG ORD CHF6.70 (C,Coca-Cola HBC AG,1367218800,Europe/London,BST,3600000,2285.0,31.47,22.9,27.36,27.96,2.2,buy,15,1064899968,2.898,1200700032,3358500096,0.751,1.213,10010000384,108.307,27.27,0.06077,0.20273,3145300000,-661049984,1197400064,1.513,0.193,0.34532002,0.11995,0.099020004,EUR,
2,Turmstrasse 26,Steinhausen,6312,Switzerland,41 41 726 01 10,https://www.coca-colahellenic.com,Beverages—Non-Alcoholic,Consumer Defensive,"Coca-Cola HBC AG engages in the production, distribution, and sale of non-alcoholic ready-to-drink beverages under franchise in Switzerland and internationally. The company offers sparkling soft drinks, adult sparkling, hydration drinks, juices, ready-to-drink tea, energy drinks, dairy, coffee, water, plant-based drinks, premium spirits and flavored alcoholic beverages, and snacks. It markets and sells its products under several brands, including Coca-Cola, Fanta, Sprite, Adez, Averna, Amita, Aquarius, Aperol, Avra, Deep RiverRock, Fruice, Kinley, Schweppes, and various other brands; and distributes third-party products, such as Monster energy drinks, and beer. The company serves retail outlets, include supermarkets, discounters, convenience stores, wholesalers, hotels, restaurants, cafés, and e-commerce retailers. Coca-Cola HBC AG was founded in 1969 and is headquartered in Steinhausen, Switzerland.",33000,"{'maxAge': 1, 'name': 'Mr. Jan Sune Gustavsson', 'age': 56, 'title': 'Chief Corp. Devel. Officer, Gen. Counsel & Company Sec.', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",3,9,10,1,10,1693526400,1672444800,86400,2,2282.0,2296.0,2282.0,2310.0,2282.0,2296.0,2282.0,2310.0,0.67,0.0291,1684972800,0.4432,2.47,0.927927,1513.245,1269.4445,1074814,1074814,906955,923556,923556,2100.0,2500.0,0,0,8415335424,1811.0,2582.0,0.8406928,2302.74,2219.9226,0.78,0.00034180543,GBp,10787091456,0.06476,198164785,368286016,0.46905,0.28658,8.177,279.44232,1672444800,1703980800,1688083200,1.523,648200000,1.51,1.8,1.55,1.078,8.984,LSE,EQUITY,CCH.L,CCH.L,COCA-COLA HBC AG ORD CHF6.70 (C,Coca-Cola HBC AG,1367218800,Europe/London,BST,3600000,2285.0,31.47,22.9,27.36,27.96,2.2,buy,15,1064899968,2.898,1200700032,3358500096,0.751,1.213,10010000384,108.307,27.27,0.06077,0.20273,3145300000,-661049984,1197400064,1.513,0.193,0.34532002,0.11995,0.099020004,EUR,
3,Turmstrasse 26,Steinhausen,6312,Switzerland,41 41 726 01 10,https://www.coca-colahellenic.com,Beverages—Non-Alcoholic,Consumer Defensive,"Coca-Cola HBC AG engages in the production, distribution, and sale of non-alcoholic ready-to-drink beverages under franchise in Switzerland and internationally. The company offers sparkling soft drinks, adult sparkling, hydration drinks, juices, ready-to-drink tea, energy drinks, dairy, coffee, water, plant-based drinks, premium spirits and flavored alcoholic beverages, and snacks. It markets and sells its products under several brands, including Coca-Cola, Fanta, Sprite, Adez, Averna, Amita, Aquarius, Aperol, Avra, Deep RiverRock, Fruice, Kinley, Schweppes, and various other brands; and distributes third-party products, such as Monster energy drinks, and beer. The company serves retail outlets, include supermarkets, discounters, convenience stores, wholesalers, hotels, restaurants, cafés, and e-commerce retailers. Coca-Cola HBC AG was founded in 1969 and is headquartered in Steinhausen, Switzerland.",33000,"{'maxAge': 1, 'name': 'Ms. Sanda  Parezanovic', 'age': 57, 'title': 'Chief People & Culture Officer', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",3,9,10,1,10,1693526400,1672444800,86400,2,2282.0,2296.0,2282.0,2310.0,2282.0,2296.0,2282.0,2310.0,0.67,0.0291,1684972800,0.4432,2.47,0.927927,1513.245,1269.4445,1074814,1074814,906955,923556,923556,2100.0,2500.0,0,0,8415335424,1811.0,2582.0,0.8406928,2302.74,2219.9226,0.78,0.00034180543,GBp,10787091456,0.06476,198164785,368286016,0.46905,0.28658,8.177,279.44232,1672444800,1703980800,1688083200,1.523,648200000,1.51,1.8,1.55,1.078,8.984,LSE,EQUITY,CCH.L,CCH.L,COCA-COLA HBC AG ORD CHF6.70 (C,Coca-Cola HBC AG,1367218800,Europe/London,BST,3600000,2285.0,31.47,22.9,27.36,27.96,2.2,buy,15,1064899968,2.898,1200700032,3358500096,0.751,1.213,10010000384,108.307,27.27,0.06077,0.20273,3145300000,-661049984,1197400064,1.513,0.193,0.34532002,0.11995,0.099020004,EUR,
4,Turmstrasse 26,Steinhausen,6312,Switzerland,41 41 726 01 10,https://www.coca-colahellenic.com,Beverages—Non-Alcoholic,Consumer Defensive,"Coca-Cola HBC AG engages in the production, distribution, and sale of non-alcoholic ready-to-drink beverages under franchise in Switzerland and internationally. The company offers sparkling soft drinks, adult sparkling, hydration drinks, juices, ready-to-drink tea, energy drinks, dairy, coffee, water, plant-based drinks, premium spirits and flavored alcoholic beverages, and snacks. It markets and sells its products under several brands, including Coca-Cola, Fanta, Sprite, Adez, Averna, Amita, Aquarius, Aperol, Avra, Deep RiverRock, Fruice, Kinley, Schweppes, and various other brands; and distributes third-party products, such as Monster energy drinks, and beer. The company serves retail outlets, include supermarkets, discounters, convenience stores, wholesalers, hotels, restaurants, cafés, and e-commerce retailers. Coca-Cola HBC AG was founded in 1969 and is headquartered in Steinhausen, Switzerland.",33000,"{'maxAge': 1, 'name': 'Mr. Marcel  Martin', 'age': 63, 'title': 'Chief Corp. Affairs & Sustainability Officer', 'yearBorn': 1959, 'fiscalYear': 2022, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",3,9,10,1,10,1693526400,1672444800,86400,2,2282.0,2296.0,2282.0,2310.0,2282.0,2296.0,2282.0,2310.0,0.67,0.0291,1684972800,0.4432,2.47,0.927927,1513.245,1269.4445,1074814,1074814,906955,923556,923556,2100.0,2500.0,0,0,8415335424,1811.0,2582.0,0.8406928,2302.74,2219.9226,0.78,0.00034180543,GBp,10787091456,0.06476,198164785,368286016,0.46905,0.28658,8.177,279.44232,1672444800,1703980800,1688083200,1.523,648200000,1.51,1.8,1.55,1.078,8.984,LSE,EQUITY,CCH.L,CCH.L,COCA-COLA HBC AG ORD CHF6.70 (C,Coca-Cola HBC AG,1367218800,Europe/London,BST,3600000,2285.0,31.47,22.9,27.36,27.96,2.2,buy,15,1064899968,2.898,1200700032,3358500096,0.751,1.213,10010000384,108.307,27.27,0.06077,0.20273,3145300000,-661049984,1197400064,1.513,0.193,0.34532002,0.11995,0.099020004,EUR,
5,Turmstrasse 26,Steinhausen,6312,Switzerland,41 41 726 01 10,https://www.coca-colahellenic.com,Beverages—Non-Alcoholic,Consumer Defensive,"Coca-Cola HBC AG engages in the production, distribution, and sale of non-alcoholic ready-to-drink beverages under franchise in Switzerland and internationally. The company offers sparkling soft drinks, adult sparkling, hydration drinks, juices, ready-to-drink tea, energy drinks, dairy, coffee, water, plant-based drinks, premium spirits and flavored alcoholic beverages, and snacks. It markets and sells its products under several brands, including Coca-Cola, Fanta, Sprite, Adez, Averna, Amita, Aquarius, Aperol, Avra, Deep RiverRock, Fruice, Kinley, Schweppes, and various other brands; and distributes third-party products, such as Monster energy drinks, and beer. The company serves retail outlets, include supermarkets, discounters, convenience stores, wholesalers, hotels, restaurants, cafés, and e-commerce retailers. Coca-Cola HBC AG was founded in 1969 and is headquartered in Steinhausen, Switzerland.",33000,"{'maxAge': 1, 'name': 'Mr. Ben  Almanzar', 'age': 47, 'title': 'Group Chief Financial Officer', 'yearBorn': 1975, 'exercisedValue': 0, 'unexercisedValue': 0}",3,9,10,1,10,1693526400,1672444800,86400,2,2282.0,2296.0,2282.0,2310.0,2282.0,2296.0,2282.0,2310.0,0.67,0.0291,1684972800,0.4432,2.47,0.927927,1513.245,1269.4445,1074814,1074814,906955,923556,923556,2100.0,2500.0,0,0,8415335424,1811.0,2582.0,0.8406928,2302.74,2219.9226,0.78,0.00034180543,GBp,10787091456,0.06476,198164785,368286016,0.46905,0.28658,8.177,279.44232,1672444800,1703980800,1688083200,1.523,648200000,1.51,1.8,1.55,1.078,8.984,LSE,EQUITY,CCH.L,CCH.L,COCA-COLA HBC AG ORD CHF6.70 (C,Coca-Cola HBC AG,1367218800,Europe/London,BST,3600000,2285.0,31.47,22.9,27.36,27.96,2.2,buy,15,1064899968,2.898,1200700032,3358500096,0.751,1.213,10010000384,108.307,27.27,0.06077,0.20273,3145300000,-661049984,1197400064,1.513,0.193,0.34532002,0.11995,0.099020004,EUR,
6,Turmstrasse 26,Steinhausen,6312,Switzerland,41 41 726 01 10,https://www.coca-colahellenic.com,Beverages—Non-Alcoholic,Consumer Defensive,"Coca-Cola HBC AG engages in the production, distribution, and sale of non-alcoholic ready-to-drink beverages under franchise in Switzerland and internationally. The company offers sparkling soft drinks, adult sparkling, hydration drinks, juices, ready-to-drink tea, energy drinks, dairy, coffee, water, plant-based drinks, premium spirits and flavored alcoholic beverages, and snacks. It markets and sells its products under several brands, including Coca-Cola, Fanta, Sprite, Adez, Averna, Amita, Aquarius, Aperol, Avra, Deep RiverRock, Fruice, Kinley, Schweppes, and various other brands; and distributes third-party products, such as Monster energy drinks, and beer. The company serves retail outlets, include supermarkets, discounters, convenience stores, wholesalers, hotels, restaurants, cafés, and e-commerce retailers. Coca-Cola HBC AG was founded in 1969 and is headquartered in Steinhausen, Switzerland.",33000,"{'maxAge': 1, 'name': 'Mr. Mourad  Ajarti', 'age': 45, 'title': 'Chief Digital & Technology Officer', 'yearBorn': 1977, 'exercisedValue': 0, 'unexercisedValue': 0}",3,9,10,1,10,1693526400,1672444800,86400,2,2282.0,2296.0,2282.0,2310.0,2282.0,2296.0,2282.0,2310.0,0.67,0.0291,1684972800,0.4432,2.47,0.927927,1513.245,1269.4445,1074814,1074814,906955,923556,923556,2100.0,2500.0,0,0,8415335424,1811.0,2582.0,0.8406928,2302.74,2219.9226,0.78,0.00034180543,GBp,10787091456,0.06476,198164785,368286016,0.46905,0.28658,8.177,279.44232,1672444800,1703980800,1688083200,1.523,648200000,1.51,1.8,1.55,1.078,8.984,LSE,EQUITY,CCH.L,CCH.L,COCA-COLA HBC AG ORD CHF6.70 (C,Coca-Cola HBC AG,1367218800,Europe/London,BST,3600000,2285.0,31.47,22.9,27.36,27.96,2.2,buy,15,1064899968,2.898,1200700032,3358500096,0.751,1.213,10010000384,108.307,27.27,0.06077,0.20273,3145300000,-661049984,1197400064,1.513,0.193,0.34532002,0.11995,0.099020004,EUR,
7,Turmstrasse 26,Steinhausen,6312,Switzerland,41 41 726 01 10,https://www.coca-colahellenic.com,Beverages—Non-Alcoholic,Consumer Defensive,"Coca-Cola HBC AG engages in the production, distribution, and sale of non-alcoholic ready-to-drink beverages under franchise in Switzerland and internationally. The company offers sparkling soft drinks, adult sparkling, hydration drinks, juices, ready-to-drink tea, energy drinks, dairy, coffee, water, plant-based drinks, premium spirits and flavored alcoholic beverages, and snacks. It markets and sells its products under several brands, including Coca-Cola, Fanta, Sprite, Adez, Averna, Amita, Aquarius, Aperol, Avra, Deep RiverRock, Fruice, Kinley, Schweppes, and various other brands; and distributes third-party products, such as Monster energy drinks, and beer. The company serves retail outlets, include supermarkets, discounters, convenience stores, wholesalers, hotels, restaurants, cafés, and e-commerce retailers. Coca-Cola HBC AG was founded in 1969 and is headquartered in Steinhausen, Switzerland.",33000,"{'maxAge': 1, 'name': 'John  Dawson', 'title': 'Head of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",3,9,10,1,10,1693526400,1672444800,86400,2,2282.0,2296.0,2282.0,2310.0,2282.0,2296.0,2282.0,2310.0,0.67,0.0291,1684972800,0.4432,2.47,0.927927,1513.245,1269.4445,1074814,1074814,906955,923556,923556,2100.0,2500.0,0,0,8415335424,1811.0,2582.0,0.8406928,2302.74,2219.9226,0.78,0.00034180543,GBp,10787091456,0.06476,198164785,368286016,0.46905,0.28658,8.177,279.44232,1672444800,1703980800,1688083200,1.523,648200000,1.51,1.8,1.55,1.078,8.984,LSE,EQUITY,CCH.L,CCH.L,COCA-COLA HBC AG ORD CHF6.70 (C,Coca-Cola HBC AG,1367218800,Europe/London,BST,3600000,2285.0,31.47,22.9,27.36,27.96,2.2,buy,15,1064899968,2.898,1200700032,3358500096,0.751,1.213,10010000384,108.307,27.27,0.06077,0.20273,3145300000,-661049984,1197400064,1.513,0.193,0.34532002,0.11995,0.099020004,EUR,
8,Turmstrasse 26,Steinhausen,6312,Switzerland,41 41 726 01 10,https://www.coca-colahellenic.com,Beverages—Non-Alcoholic,Consumer Defensive,"Coca-Cola HBC AG engages in the production, distribution, and sale of non-alcoholic ready-to-drink beverages under franchise in Switzerland and internationally. The company offers sparkling soft drinks, adult sparkling, hydration drinks, juices, ready-to-drink tea, energy drinks, dairy, coffee, water, plant-based drinks, premium spirits and flavored alcoholic beverages, and snacks. It markets and sells its products under several brands, including Coca-Cola, Fanta, Sprite, Adez, Averna, Amita, Aquarius, Aperol, Avra, Deep RiverRock, Fruice, Kinley, Schweppes, and various other brands; and distributes third-party products, such as Monster energy drinks, and beer. The company serves retail outlets, include supermarkets, discounters, convenience stores, wholesalers, hotels, restaurants, cafés, and e-commerce retailers. Coca-Cola HBC AG was founded in 1969 and is headquartered in Steinhausen, Switzerland.",33000,"{'maxAge': 1, 'name': 'David  Hart', 'title': 'Group Communication Director', 'exercisedValue': 0, 'unexercisedValue': 0}",3,9,10,1,10,1693526400,1672444800,86400,2,2282.0,2296.0,2282.0,2310.0,2282.0,2296.0,2282.0,2310.0,0.67,0.0291,1684972800,0.4432,2.47,0.927927,1513.245,1269.4445,1074814,1074814,906955,923556,923556,2100.0,2500.0,0,0,8415335424,1811.0,2582.0,0.8406928,2302.74,2219.9226,0.78,0.00034180543,GBp,10787091456,0.06476,198164785,368286016,0.46905,0.28658,8.177,279.44232,1672444800,1703980800,1688083200,1.523,648200000,1.51,1.8,1.55,1.078,8.984,LSE,EQUITY,CCH.L,CCH.L,COCA-COLA HBC AG ORD CHF6.70 (C,Coca-Cola HBC AG,1367218800,Europe/London,BST,3600000,2285.0,31.47,22.9,27.36,27.96,2.2,buy,15,1064899968,2.898,1200700032,3358500096,0.751,1.213,10010000384,108.307,27.27,0.06077,0.20273,3145300000,-661049984,1197400064,1.513,0.193,0.34532002,0.11995,0.099020004,EUR,
9,Turmstrasse 26,Steinhausen,6312,Switzerland,41 41 726 01 10,https://www.coca-colahellenic.com,Beverages—Non-Alcoholic,Consumer Defensive,"Coca-Cola HBC AG engages in the production, distribution, and sale of non-alcoholic ready-to-drink beverages under franchise in Switzerland and internationally. The company offers sparkling soft drinks, adult sparkling, hydration drinks, juices, ready-to-drink tea, energy drinks, dairy, coffee, water, plant-based drinks, premium spirits and flavored alcoholic beverages, and snacks. It markets and sells its products under several brands, including Coca-Cola, Fanta, Sprite, Adez, Averna, Amita, Aquarius, Aperol, Avra, Deep RiverRock, Fruice, Kinley, Schweppes, and various other brands; and distributes third-party products, such as Monster energy drinks, and beer. The company serves retail outlets, include supermarkets, discounters, convenience stores, wholesalers, hotels, restaurants, cafés, and e-commerce retailers. Coca-Cola HBC AG was founded in 1969 and is headquartered in Steinhausen, Switzerland.",33000,"{'maxAge': 1, 'name': 'Mr. Ivo  Bjelis', 'age': 54, 'title': 'Chief Supply Chain Officer', 'yearBorn': 1968, 'exercisedValue': 0, 'unexercisedValue': 0}",3,9,10,1,10,1693526400,1672444800,86400,2,2282.0,2296.0,2282.0,2310.0,2282.0,2296.0,2282.0,2310.0,0.67,0.0291,1684972800,0.4432,2.47,0.927927,1513.245,1269.4445,1074814,1074814,906955,923556,923556,2100.0,2500.0,0,0,8415335424,1811.0,2582.0,0.8406928,2302.74,2219.9226,0.78,0.00034180543,GBp,10787091456,0.06476,198164785,368286016,0.46905,0.28658,8.177,279.44232,1672444800,1703980800,1688083200,1.523,648200000,1.51,1.8,1.55,1.078,8.984,LSE,EQUITY,CCH.L,CCH.L,COCA-COLA HBC AG ORD CHF6.70 (C,Coca-Cola HBC AG,1367218800,Europe/London,BST,3600000,2285.0,31.47,22.9,27.36,27.96,2.2,buy,15,1064899968,2.898,1200700032,3358500096,0.751,1.213,10010000384,108.307,27.27,0.06077,0.20273,3145300000,-661049984,1197400064,1.513,0.193,0.34532002,0.11995,0.099020004,EUR,
