,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,totalDebt,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,One Chemung Canal Plaza,Elmira,NY,14901,United States,607 737 3711,https://www.chemungcanal.com,Banks—Regional,Financial Services,"Chemung Financial Corporation operates as the holding company for Chemung Canal Trust Company that provides a range of banking, financing, fiduciary, and other financial services. The company provides demand, savings, and time deposits; non-interest and interest-bearing checking accounts; and insured money market accounts. It also offers commercial and agricultural loans comprising loans to small to mid-sized businesses; commercial mortgage loans; residential mortgage loans; consumer loans, including home equity lines of credit and home equity term loans; and interest rate swaps, letters of credit, wealth management, employee benefit plans, insurance products, mutual fund, and brokerage services. In addition, the company provides annuities, brokerage, and tax preparation services. Further, it offers guardian, custodian, and trustee services, as well as acts as an agent for pension, profit-sharing, and other employee benefit trusts; and various investment, pension, estate planning, and employee benefit administrative services. Chemung Financial Corporation was founded in 1833 and is headquartered in Elmira, New York.",340,"{'maxAge': 1, 'name': 'Mr. Anders M. Tomson', 'age': 55, 'title': 'Pres, CEO & Director', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 995382, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,40.31,40.42,40.34,40.48,40.31,40.42,40.34,40.48,1.24,0.0307,1694736000,0.2131,2.76,0.197786,6.943299,8.098197,16879,16879,16240,7570,7570,16.06,40.15,3000,800,190727920,33.72,53.43,1.968723,40.3968,42.5831,1.24,0.030761598,USD,195698768,0.28326,3108943,4719820,66134,69688,1690761600,1693440000,0.0139999995,0.18410999,0.3584,8.51,0.0172,37.624,1.0740485,1672444800,1703980800,1688083200,-0.217,27442000,5.82,4.99,2:1,896832000,2.02,NMS,EQUITY,CHMG,CHMG,Chemung Financial Corp,Chemung Financial Corporation,915460200,America/New_York,EDT,-14400000,40.41,46.0,42.0,43.67,43.0,2.3,buy,3,81656000,17.301,86627000,96879000,20.567,0.01071,0.15587,96169000,35027000,-0.224,-0.036,0.0,0.0,0.37948,USD,
1,One Chemung Canal Plaza,Elmira,NY,14901,United States,607 737 3711,https://www.chemungcanal.com,Banks—Regional,Financial Services,"Chemung Financial Corporation operates as the holding company for Chemung Canal Trust Company that provides a range of banking, financing, fiduciary, and other financial services. The company provides demand, savings, and time deposits; non-interest and interest-bearing checking accounts; and insured money market accounts. It also offers commercial and agricultural loans comprising loans to small to mid-sized businesses; commercial mortgage loans; residential mortgage loans; consumer loans, including home equity lines of credit and home equity term loans; and interest rate swaps, letters of credit, wealth management, employee benefit plans, insurance products, mutual fund, and brokerage services. In addition, the company provides annuities, brokerage, and tax preparation services. Further, it offers guardian, custodian, and trustee services, as well as acts as an agent for pension, profit-sharing, and other employee benefit trusts; and various investment, pension, estate planning, and employee benefit administrative services. Chemung Financial Corporation was founded in 1833 and is headquartered in Elmira, New York.",340,"{'maxAge': 1, 'name': 'Mr. Loren Dale Cole', 'age': 49, 'title': 'Exec. VP & Chief Information Officer', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 383812, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,40.31,40.42,40.34,40.48,40.31,40.42,40.34,40.48,1.24,0.0307,1694736000,0.2131,2.76,0.197786,6.943299,8.098197,16879,16879,16240,7570,7570,16.06,40.15,3000,800,190727920,33.72,53.43,1.968723,40.3968,42.5831,1.24,0.030761598,USD,195698768,0.28326,3108943,4719820,66134,69688,1690761600,1693440000,0.0139999995,0.18410999,0.3584,8.51,0.0172,37.624,1.0740485,1672444800,1703980800,1688083200,-0.217,27442000,5.82,4.99,2:1,896832000,2.02,NMS,EQUITY,CHMG,CHMG,Chemung Financial Corp,Chemung Financial Corporation,915460200,America/New_York,EDT,-14400000,40.41,46.0,42.0,43.67,43.0,2.3,buy,3,81656000,17.301,86627000,96879000,20.567,0.01071,0.15587,96169000,35027000,-0.224,-0.036,0.0,0.0,0.37948,USD,
2,One Chemung Canal Plaza,Elmira,NY,14901,United States,607 737 3711,https://www.chemungcanal.com,Banks—Regional,Financial Services,"Chemung Financial Corporation operates as the holding company for Chemung Canal Trust Company that provides a range of banking, financing, fiduciary, and other financial services. The company provides demand, savings, and time deposits; non-interest and interest-bearing checking accounts; and insured money market accounts. It also offers commercial and agricultural loans comprising loans to small to mid-sized businesses; commercial mortgage loans; residential mortgage loans; consumer loans, including home equity lines of credit and home equity term loans; and interest rate swaps, letters of credit, wealth management, employee benefit plans, insurance products, mutual fund, and brokerage services. In addition, the company provides annuities, brokerage, and tax preparation services. Further, it offers guardian, custodian, and trustee services, as well as acts as an agent for pension, profit-sharing, and other employee benefit trusts; and various investment, pension, estate planning, and employee benefit administrative services. Chemung Financial Corporation was founded in 1833 and is headquartered in Elmira, New York.",340,"{'maxAge': 1, 'name': 'Mr. Peter K. Cosgrove', 'age': 61, 'title': 'EVP, Chief Credit Officer & Chief Risk Officer', 'yearBorn': 1961, 'fiscalYear': 2022, 'totalPay': 409212, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,40.31,40.42,40.34,40.48,40.31,40.42,40.34,40.48,1.24,0.0307,1694736000,0.2131,2.76,0.197786,6.943299,8.098197,16879,16879,16240,7570,7570,16.06,40.15,3000,800,190727920,33.72,53.43,1.968723,40.3968,42.5831,1.24,0.030761598,USD,195698768,0.28326,3108943,4719820,66134,69688,1690761600,1693440000,0.0139999995,0.18410999,0.3584,8.51,0.0172,37.624,1.0740485,1672444800,1703980800,1688083200,-0.217,27442000,5.82,4.99,2:1,896832000,2.02,NMS,EQUITY,CHMG,CHMG,Chemung Financial Corp,Chemung Financial Corporation,915460200,America/New_York,EDT,-14400000,40.41,46.0,42.0,43.67,43.0,2.3,buy,3,81656000,17.301,86627000,96879000,20.567,0.01071,0.15587,96169000,35027000,-0.224,-0.036,0.0,0.0,0.37948,USD,
3,One Chemung Canal Plaza,Elmira,NY,14901,United States,607 737 3711,https://www.chemungcanal.com,Banks—Regional,Financial Services,"Chemung Financial Corporation operates as the holding company for Chemung Canal Trust Company that provides a range of banking, financing, fiduciary, and other financial services. The company provides demand, savings, and time deposits; non-interest and interest-bearing checking accounts; and insured money market accounts. It also offers commercial and agricultural loans comprising loans to small to mid-sized businesses; commercial mortgage loans; residential mortgage loans; consumer loans, including home equity lines of credit and home equity term loans; and interest rate swaps, letters of credit, wealth management, employee benefit plans, insurance products, mutual fund, and brokerage services. In addition, the company provides annuities, brokerage, and tax preparation services. Further, it offers guardian, custodian, and trustee services, as well as acts as an agent for pension, profit-sharing, and other employee benefit trusts; and various investment, pension, estate planning, and employee benefit administrative services. Chemung Financial Corporation was founded in 1833 and is headquartered in Elmira, New York.",340,"{'maxAge': 1, 'name': 'Mr. Daniel D. Fariello', 'age': 45, 'title': 'Pres of Capital Bank Division', 'yearBorn': 1977, 'fiscalYear': 2022, 'totalPay': 389134, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,40.31,40.42,40.34,40.48,40.31,40.42,40.34,40.48,1.24,0.0307,1694736000,0.2131,2.76,0.197786,6.943299,8.098197,16879,16879,16240,7570,7570,16.06,40.15,3000,800,190727920,33.72,53.43,1.968723,40.3968,42.5831,1.24,0.030761598,USD,195698768,0.28326,3108943,4719820,66134,69688,1690761600,1693440000,0.0139999995,0.18410999,0.3584,8.51,0.0172,37.624,1.0740485,1672444800,1703980800,1688083200,-0.217,27442000,5.82,4.99,2:1,896832000,2.02,NMS,EQUITY,CHMG,CHMG,Chemung Financial Corp,Chemung Financial Corporation,915460200,America/New_York,EDT,-14400000,40.41,46.0,42.0,43.67,43.0,2.3,buy,3,81656000,17.301,86627000,96879000,20.567,0.01071,0.15587,96169000,35027000,-0.224,-0.036,0.0,0.0,0.37948,USD,
4,One Chemung Canal Plaza,Elmira,NY,14901,United States,607 737 3711,https://www.chemungcanal.com,Banks—Regional,Financial Services,"Chemung Financial Corporation operates as the holding company for Chemung Canal Trust Company that provides a range of banking, financing, fiduciary, and other financial services. The company provides demand, savings, and time deposits; non-interest and interest-bearing checking accounts; and insured money market accounts. It also offers commercial and agricultural loans comprising loans to small to mid-sized businesses; commercial mortgage loans; residential mortgage loans; consumer loans, including home equity lines of credit and home equity term loans; and interest rate swaps, letters of credit, wealth management, employee benefit plans, insurance products, mutual fund, and brokerage services. In addition, the company provides annuities, brokerage, and tax preparation services. Further, it offers guardian, custodian, and trustee services, as well as acts as an agent for pension, profit-sharing, and other employee benefit trusts; and various investment, pension, estate planning, and employee benefit administrative services. Chemung Financial Corporation was founded in 1833 and is headquartered in Elmira, New York.",340,"{'maxAge': 1, 'name': 'Mr. Dale M. McKim III', 'age': 47, 'title': 'Exec. VP, CFO & Treasurer', 'yearBorn': 1975, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,40.31,40.42,40.34,40.48,40.31,40.42,40.34,40.48,1.24,0.0307,1694736000,0.2131,2.76,0.197786,6.943299,8.098197,16879,16879,16240,7570,7570,16.06,40.15,3000,800,190727920,33.72,53.43,1.968723,40.3968,42.5831,1.24,0.030761598,USD,195698768,0.28326,3108943,4719820,66134,69688,1690761600,1693440000,0.0139999995,0.18410999,0.3584,8.51,0.0172,37.624,1.0740485,1672444800,1703980800,1688083200,-0.217,27442000,5.82,4.99,2:1,896832000,2.02,NMS,EQUITY,CHMG,CHMG,Chemung Financial Corp,Chemung Financial Corporation,915460200,America/New_York,EDT,-14400000,40.41,46.0,42.0,43.67,43.0,2.3,buy,3,81656000,17.301,86627000,96879000,20.567,0.01071,0.15587,96169000,35027000,-0.224,-0.036,0.0,0.0,0.37948,USD,
5,One Chemung Canal Plaza,Elmira,NY,14901,United States,607 737 3711,https://www.chemungcanal.com,Banks—Regional,Financial Services,"Chemung Financial Corporation operates as the holding company for Chemung Canal Trust Company that provides a range of banking, financing, fiduciary, and other financial services. The company provides demand, savings, and time deposits; non-interest and interest-bearing checking accounts; and insured money market accounts. It also offers commercial and agricultural loans comprising loans to small to mid-sized businesses; commercial mortgage loans; residential mortgage loans; consumer loans, including home equity lines of credit and home equity term loans; and interest rate swaps, letters of credit, wealth management, employee benefit plans, insurance products, mutual fund, and brokerage services. In addition, the company provides annuities, brokerage, and tax preparation services. Further, it offers guardian, custodian, and trustee services, as well as acts as an agent for pension, profit-sharing, and other employee benefit trusts; and various investment, pension, estate planning, and employee benefit administrative services. Chemung Financial Corporation was founded in 1833 and is headquartered in Elmira, New York.",340,"{'maxAge': 1, 'name': 'Ms. Kathleen S. McKillip', 'title': 'VP & Corp. Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,40.31,40.42,40.34,40.48,40.31,40.42,40.34,40.48,1.24,0.0307,1694736000,0.2131,2.76,0.197786,6.943299,8.098197,16879,16879,16240,7570,7570,16.06,40.15,3000,800,190727920,33.72,53.43,1.968723,40.3968,42.5831,1.24,0.030761598,USD,195698768,0.28326,3108943,4719820,66134,69688,1690761600,1693440000,0.0139999995,0.18410999,0.3584,8.51,0.0172,37.624,1.0740485,1672444800,1703980800,1688083200,-0.217,27442000,5.82,4.99,2:1,896832000,2.02,NMS,EQUITY,CHMG,CHMG,Chemung Financial Corp,Chemung Financial Corporation,915460200,America/New_York,EDT,-14400000,40.41,46.0,42.0,43.67,43.0,2.3,buy,3,81656000,17.301,86627000,96879000,20.567,0.01071,0.15587,96169000,35027000,-0.224,-0.036,0.0,0.0,0.37948,USD,
6,One Chemung Canal Plaza,Elmira,NY,14901,United States,607 737 3711,https://www.chemungcanal.com,Banks—Regional,Financial Services,"Chemung Financial Corporation operates as the holding company for Chemung Canal Trust Company that provides a range of banking, financing, fiduciary, and other financial services. The company provides demand, savings, and time deposits; non-interest and interest-bearing checking accounts; and insured money market accounts. It also offers commercial and agricultural loans comprising loans to small to mid-sized businesses; commercial mortgage loans; residential mortgage loans; consumer loans, including home equity lines of credit and home equity term loans; and interest rate swaps, letters of credit, wealth management, employee benefit plans, insurance products, mutual fund, and brokerage services. In addition, the company provides annuities, brokerage, and tax preparation services. Further, it offers guardian, custodian, and trustee services, as well as acts as an agent for pension, profit-sharing, and other employee benefit trusts; and various investment, pension, estate planning, and employee benefit administrative services. Chemung Financial Corporation was founded in 1833 and is headquartered in Elmira, New York.",340,"{'maxAge': 1, 'name': 'Mr. Scott T. Heffner', 'title': 'Sr. VP & Director of Marketing', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,40.31,40.42,40.34,40.48,40.31,40.42,40.34,40.48,1.24,0.0307,1694736000,0.2131,2.76,0.197786,6.943299,8.098197,16879,16879,16240,7570,7570,16.06,40.15,3000,800,190727920,33.72,53.43,1.968723,40.3968,42.5831,1.24,0.030761598,USD,195698768,0.28326,3108943,4719820,66134,69688,1690761600,1693440000,0.0139999995,0.18410999,0.3584,8.51,0.0172,37.624,1.0740485,1672444800,1703980800,1688083200,-0.217,27442000,5.82,4.99,2:1,896832000,2.02,NMS,EQUITY,CHMG,CHMG,Chemung Financial Corp,Chemung Financial Corporation,915460200,America/New_York,EDT,-14400000,40.41,46.0,42.0,43.67,43.0,2.3,buy,3,81656000,17.301,86627000,96879000,20.567,0.01071,0.15587,96169000,35027000,-0.224,-0.036,0.0,0.0,0.37948,USD,
7,One Chemung Canal Plaza,Elmira,NY,14901,United States,607 737 3711,https://www.chemungcanal.com,Banks—Regional,Financial Services,"Chemung Financial Corporation operates as the holding company for Chemung Canal Trust Company that provides a range of banking, financing, fiduciary, and other financial services. The company provides demand, savings, and time deposits; non-interest and interest-bearing checking accounts; and insured money market accounts. It also offers commercial and agricultural loans comprising loans to small to mid-sized businesses; commercial mortgage loans; residential mortgage loans; consumer loans, including home equity lines of credit and home equity term loans; and interest rate swaps, letters of credit, wealth management, employee benefit plans, insurance products, mutual fund, and brokerage services. In addition, the company provides annuities, brokerage, and tax preparation services. Further, it offers guardian, custodian, and trustee services, as well as acts as an agent for pension, profit-sharing, and other employee benefit trusts; and various investment, pension, estate planning, and employee benefit administrative services. Chemung Financial Corporation was founded in 1833 and is headquartered in Elmira, New York.",340,"{'maxAge': 1, 'name': 'Ms. Monica L. Ridosh', 'title': 'VP, Director of HR & Chief Diversity Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,40.31,40.42,40.34,40.48,40.31,40.42,40.34,40.48,1.24,0.0307,1694736000,0.2131,2.76,0.197786,6.943299,8.098197,16879,16879,16240,7570,7570,16.06,40.15,3000,800,190727920,33.72,53.43,1.968723,40.3968,42.5831,1.24,0.030761598,USD,195698768,0.28326,3108943,4719820,66134,69688,1690761600,1693440000,0.0139999995,0.18410999,0.3584,8.51,0.0172,37.624,1.0740485,1672444800,1703980800,1688083200,-0.217,27442000,5.82,4.99,2:1,896832000,2.02,NMS,EQUITY,CHMG,CHMG,Chemung Financial Corp,Chemung Financial Corporation,915460200,America/New_York,EDT,-14400000,40.41,46.0,42.0,43.67,43.0,2.3,buy,3,81656000,17.301,86627000,96879000,20.567,0.01071,0.15587,96169000,35027000,-0.224,-0.036,0.0,0.0,0.37948,USD,
8,One Chemung Canal Plaza,Elmira,NY,14901,United States,607 737 3711,https://www.chemungcanal.com,Banks—Regional,Financial Services,"Chemung Financial Corporation operates as the holding company for Chemung Canal Trust Company that provides a range of banking, financing, fiduciary, and other financial services. The company provides demand, savings, and time deposits; non-interest and interest-bearing checking accounts; and insured money market accounts. It also offers commercial and agricultural loans comprising loans to small to mid-sized businesses; commercial mortgage loans; residential mortgage loans; consumer loans, including home equity lines of credit and home equity term loans; and interest rate swaps, letters of credit, wealth management, employee benefit plans, insurance products, mutual fund, and brokerage services. In addition, the company provides annuities, brokerage, and tax preparation services. Further, it offers guardian, custodian, and trustee services, as well as acts as an agent for pension, profit-sharing, and other employee benefit trusts; and various investment, pension, estate planning, and employee benefit administrative services. Chemung Financial Corporation was founded in 1833 and is headquartered in Elmira, New York.",340,"{'maxAge': 1, 'name': 'Mr. Thomas W. Wirth C.F.A., CFA', 'age': 56, 'title': 'Exec. VP of Wealth Management Group at Chemung Canal Trust Company', 'yearBorn': 1966, 'fiscalYear': 2018, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,40.31,40.42,40.34,40.48,40.31,40.42,40.34,40.48,1.24,0.0307,1694736000,0.2131,2.76,0.197786,6.943299,8.098197,16879,16879,16240,7570,7570,16.06,40.15,3000,800,190727920,33.72,53.43,1.968723,40.3968,42.5831,1.24,0.030761598,USD,195698768,0.28326,3108943,4719820,66134,69688,1690761600,1693440000,0.0139999995,0.18410999,0.3584,8.51,0.0172,37.624,1.0740485,1672444800,1703980800,1688083200,-0.217,27442000,5.82,4.99,2:1,896832000,2.02,NMS,EQUITY,CHMG,CHMG,Chemung Financial Corp,Chemung Financial Corporation,915460200,America/New_York,EDT,-14400000,40.41,46.0,42.0,43.67,43.0,2.3,buy,3,81656000,17.301,86627000,96879000,20.567,0.01071,0.15587,96169000,35027000,-0.224,-0.036,0.0,0.0,0.37948,USD,
9,One Chemung Canal Plaza,Elmira,NY,14901,United States,607 737 3711,https://www.chemungcanal.com,Banks—Regional,Financial Services,"Chemung Financial Corporation operates as the holding company for Chemung Canal Trust Company that provides a range of banking, financing, fiduciary, and other financial services. The company provides demand, savings, and time deposits; non-interest and interest-bearing checking accounts; and insured money market accounts. It also offers commercial and agricultural loans comprising loans to small to mid-sized businesses; commercial mortgage loans; residential mortgage loans; consumer loans, including home equity lines of credit and home equity term loans; and interest rate swaps, letters of credit, wealth management, employee benefit plans, insurance products, mutual fund, and brokerage services. In addition, the company provides annuities, brokerage, and tax preparation services. Further, it offers guardian, custodian, and trustee services, as well as acts as an agent for pension, profit-sharing, and other employee benefit trusts; and various investment, pension, estate planning, and employee benefit administrative services. Chemung Financial Corporation was founded in 1833 and is headquartered in Elmira, New York.",340,"{'maxAge': 1, 'name': 'Ms. Catherine Beth Crandall J.D., CFP®, CTFA', 'title': 'Sr. VP of WMG Estate Admin.', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,40.31,40.42,40.34,40.48,40.31,40.42,40.34,40.48,1.24,0.0307,1694736000,0.2131,2.76,0.197786,6.943299,8.098197,16879,16879,16240,7570,7570,16.06,40.15,3000,800,190727920,33.72,53.43,1.968723,40.3968,42.5831,1.24,0.030761598,USD,195698768,0.28326,3108943,4719820,66134,69688,1690761600,1693440000,0.0139999995,0.18410999,0.3584,8.51,0.0172,37.624,1.0740485,1672444800,1703980800,1688083200,-0.217,27442000,5.82,4.99,2:1,896832000,2.02,NMS,EQUITY,CHMG,CHMG,Chemung Financial Corp,Chemung Financial Corporation,915460200,America/New_York,EDT,-14400000,40.41,46.0,42.0,43.67,43.0,2.3,buy,3,81656000,17.301,86627000,96879000,20.567,0.01071,0.15587,96169000,35027000,-0.224,-0.036,0.0,0.0,0.37948,USD,
