,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Boulevard de la Woluwe 58,Woluwedal,Brussels,1200,Belgium,32 2 373 00 00,32 2 373 00 10,https://www.cofinimmo.com,REIT—Diversified,Real Estate,"Cofinimmo has been acquiring, developing and managing rental properties for almost 40 years. The company has a portfolio spread across Belgium, France, the Netherlands, Germany, Spain, Finland, Ireland, Italy and the United Kingdom, with a value of approximately 6.3 billion EUR. With attention to social developments, Cofinimmo has the mission of making high-quality care, living and working environments available to its partners-tenants, from which users benefit directly. 'Caring, Living and Working - Together in Real Estate is the expression of this mission. Thanks to its expertise, Cofinimmo has built up a healthcare real estate portfolio of approximately 4.5 billion EUR in Europe. As an independent company that applies the highest standards of corporate governance and sustainability, Cofinimmo offers its tenants services and manages its portfolio through a team of approximately 160 employees in Brussels, Paris, Breda, Frankfurt and Madrid. Cofinimmo is listed on Euronext Brussels (BEL20) and benefits from the REIT system in Belgium (RREC), France (SIIC) and the Netherlands (FBI). Its activities are supervised by the Financial Services and Markets Authority (FSMA), the Belgian regulator.",160,"{'maxAge': 1, 'name': 'Mr. Jean-Pierre  Hanin', 'age': 56, 'title': 'Interim COO, MD, CEO & Director', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 960452, 'exercisedValue': 0, 'unexercisedValue': 0}",3,2,4,1,2,1693526400,1672444800,86400,2,71.5,71.6,70.6,72.25,71.5,71.6,70.6,72.25,6.2,0.0867,1684108800,1.1231999,5.14,0.592717,12.789855,10.261627,207715,207715,52659,58364,58364,0.0,0.0,0,0,2397138176,66.45,98.75,6.3319535,70.597,78.9375,6.2,0.086713284,EUR,5357247488,0.48993,31855030,33953800,0.058530003,0.3554,104.804,0.6736384,1672444800,1703980800,1688083200,-0.939,185478000,5.52,6.88,2.57,14.151,21.814,BRU,EQUITY,COFB.BR,COFB.BR,COFINIMMO,Cofinimmo SA,946972800,Europe/Brussels,CEST,7200000,70.6,102.0,68.0,80.9,78.0,2.7,hold,14,20128000,0.602,245587504,2993853952,0.094,0.215,378577984,84.864,11.615,0.02293,0.052800003,274746000,102660752,223819008,-0.944,0.069,0.75247,0.64871,0.64768,EUR,
1,Boulevard de la Woluwe 58,Woluwedal,Brussels,1200,Belgium,32 2 373 00 00,32 2 373 00 10,https://www.cofinimmo.com,REIT—Diversified,Real Estate,"Cofinimmo has been acquiring, developing and managing rental properties for almost 40 years. The company has a portfolio spread across Belgium, France, the Netherlands, Germany, Spain, Finland, Ireland, Italy and the United Kingdom, with a value of approximately 6.3 billion EUR. With attention to social developments, Cofinimmo has the mission of making high-quality care, living and working environments available to its partners-tenants, from which users benefit directly. 'Caring, Living and Working - Together in Real Estate is the expression of this mission. Thanks to its expertise, Cofinimmo has built up a healthcare real estate portfolio of approximately 4.5 billion EUR in Europe. As an independent company that applies the highest standards of corporate governance and sustainability, Cofinimmo offers its tenants services and manages its portfolio through a team of approximately 160 employees in Brussels, Paris, Breda, Frankfurt and Madrid. Cofinimmo is listed on Euronext Brussels (BEL20) and benefits from the REIT system in Belgium (RREC), France (SIIC) and the Netherlands (FBI). Its activities are supervised by the Financial Services and Markets Authority (FSMA), the Belgian regulator.",160,"{'maxAge': 1, 'name': 'Mr. Jean  Kotarakos', 'age': 49, 'title': 'CFO & Exec. Director', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 572352, 'exercisedValue': 0, 'unexercisedValue': 0}",3,2,4,1,2,1693526400,1672444800,86400,2,71.5,71.6,70.6,72.25,71.5,71.6,70.6,72.25,6.2,0.0867,1684108800,1.1231999,5.14,0.592717,12.789855,10.261627,207715,207715,52659,58364,58364,0.0,0.0,0,0,2397138176,66.45,98.75,6.3319535,70.597,78.9375,6.2,0.086713284,EUR,5357247488,0.48993,31855030,33953800,0.058530003,0.3554,104.804,0.6736384,1672444800,1703980800,1688083200,-0.939,185478000,5.52,6.88,2.57,14.151,21.814,BRU,EQUITY,COFB.BR,COFB.BR,COFINIMMO,Cofinimmo SA,946972800,Europe/Brussels,CEST,7200000,70.6,102.0,68.0,80.9,78.0,2.7,hold,14,20128000,0.602,245587504,2993853952,0.094,0.215,378577984,84.864,11.615,0.02293,0.052800003,274746000,102660752,223819008,-0.944,0.069,0.75247,0.64871,0.64768,EUR,
2,Boulevard de la Woluwe 58,Woluwedal,Brussels,1200,Belgium,32 2 373 00 00,32 2 373 00 10,https://www.cofinimmo.com,REIT—Diversified,Real Estate,"Cofinimmo has been acquiring, developing and managing rental properties for almost 40 years. The company has a portfolio spread across Belgium, France, the Netherlands, Germany, Spain, Finland, Ireland, Italy and the United Kingdom, with a value of approximately 6.3 billion EUR. With attention to social developments, Cofinimmo has the mission of making high-quality care, living and working environments available to its partners-tenants, from which users benefit directly. 'Caring, Living and Working - Together in Real Estate is the expression of this mission. Thanks to its expertise, Cofinimmo has built up a healthcare real estate portfolio of approximately 4.5 billion EUR in Europe. As an independent company that applies the highest standards of corporate governance and sustainability, Cofinimmo offers its tenants services and manages its portfolio through a team of approximately 160 employees in Brussels, Paris, Breda, Frankfurt and Madrid. Cofinimmo is listed on Euronext Brussels (BEL20) and benefits from the REIT system in Belgium (RREC), France (SIIC) and the Netherlands (FBI). Its activities are supervised by the Financial Services and Markets Authority (FSMA), the Belgian regulator.",160,"{'maxAge': 1, 'name': 'Ms. Francoise  Roels', 'age': 61, 'title': 'Chief of Corp. Affairs, Sec. Gen., Compliance Officer & Exec. Director', 'yearBorn': 1961, 'fiscalYear': 2022, 'totalPay': 528489, 'exercisedValue': 0, 'unexercisedValue': 0}",3,2,4,1,2,1693526400,1672444800,86400,2,71.5,71.6,70.6,72.25,71.5,71.6,70.6,72.25,6.2,0.0867,1684108800,1.1231999,5.14,0.592717,12.789855,10.261627,207715,207715,52659,58364,58364,0.0,0.0,0,0,2397138176,66.45,98.75,6.3319535,70.597,78.9375,6.2,0.086713284,EUR,5357247488,0.48993,31855030,33953800,0.058530003,0.3554,104.804,0.6736384,1672444800,1703980800,1688083200,-0.939,185478000,5.52,6.88,2.57,14.151,21.814,BRU,EQUITY,COFB.BR,COFB.BR,COFINIMMO,Cofinimmo SA,946972800,Europe/Brussels,CEST,7200000,70.6,102.0,68.0,80.9,78.0,2.7,hold,14,20128000,0.602,245587504,2993853952,0.094,0.215,378577984,84.864,11.615,0.02293,0.052800003,274746000,102660752,223819008,-0.944,0.069,0.75247,0.64871,0.64768,EUR,
3,Boulevard de la Woluwe 58,Woluwedal,Brussels,1200,Belgium,32 2 373 00 00,32 2 373 00 10,https://www.cofinimmo.com,REIT—Diversified,Real Estate,"Cofinimmo has been acquiring, developing and managing rental properties for almost 40 years. The company has a portfolio spread across Belgium, France, the Netherlands, Germany, Spain, Finland, Ireland, Italy and the United Kingdom, with a value of approximately 6.3 billion EUR. With attention to social developments, Cofinimmo has the mission of making high-quality care, living and working environments available to its partners-tenants, from which users benefit directly. 'Caring, Living and Working - Together in Real Estate is the expression of this mission. Thanks to its expertise, Cofinimmo has built up a healthcare real estate portfolio of approximately 4.5 billion EUR in Europe. As an independent company that applies the highest standards of corporate governance and sustainability, Cofinimmo offers its tenants services and manages its portfolio through a team of approximately 160 employees in Brussels, Paris, Breda, Frankfurt and Madrid. Cofinimmo is listed on Euronext Brussels (BEL20) and benefits from the REIT system in Belgium (RREC), France (SIIC) and the Netherlands (FBI). Its activities are supervised by the Financial Services and Markets Authority (FSMA), the Belgian regulator.",160,"{'maxAge': 1, 'name': 'Mr. Sebastien  Berden', 'title': 'Chief Operating Officer of Healthcare', 'fiscalYear': 2022, 'totalPay': 521635, 'exercisedValue': 0, 'unexercisedValue': 0}",3,2,4,1,2,1693526400,1672444800,86400,2,71.5,71.6,70.6,72.25,71.5,71.6,70.6,72.25,6.2,0.0867,1684108800,1.1231999,5.14,0.592717,12.789855,10.261627,207715,207715,52659,58364,58364,0.0,0.0,0,0,2397138176,66.45,98.75,6.3319535,70.597,78.9375,6.2,0.086713284,EUR,5357247488,0.48993,31855030,33953800,0.058530003,0.3554,104.804,0.6736384,1672444800,1703980800,1688083200,-0.939,185478000,5.52,6.88,2.57,14.151,21.814,BRU,EQUITY,COFB.BR,COFB.BR,COFINIMMO,Cofinimmo SA,946972800,Europe/Brussels,CEST,7200000,70.6,102.0,68.0,80.9,78.0,2.7,hold,14,20128000,0.602,245587504,2993853952,0.094,0.215,378577984,84.864,11.615,0.02293,0.052800003,274746000,102660752,223819008,-0.944,0.069,0.75247,0.64871,0.64768,EUR,
4,Boulevard de la Woluwe 58,Woluwedal,Brussels,1200,Belgium,32 2 373 00 00,32 2 373 00 10,https://www.cofinimmo.com,REIT—Diversified,Real Estate,"Cofinimmo has been acquiring, developing and managing rental properties for almost 40 years. The company has a portfolio spread across Belgium, France, the Netherlands, Germany, Spain, Finland, Ireland, Italy and the United Kingdom, with a value of approximately 6.3 billion EUR. With attention to social developments, Cofinimmo has the mission of making high-quality care, living and working environments available to its partners-tenants, from which users benefit directly. 'Caring, Living and Working - Together in Real Estate is the expression of this mission. Thanks to its expertise, Cofinimmo has built up a healthcare real estate portfolio of approximately 4.5 billion EUR in Europe. As an independent company that applies the highest standards of corporate governance and sustainability, Cofinimmo offers its tenants services and manages its portfolio through a team of approximately 160 employees in Brussels, Paris, Breda, Frankfurt and Madrid. Cofinimmo is listed on Euronext Brussels (BEL20) and benefits from the REIT system in Belgium (RREC), France (SIIC) and the Netherlands (FBI). Its activities are supervised by the Financial Services and Markets Authority (FSMA), the Belgian regulator.",160,"{'maxAge': 1, 'name': 'Ms. Yeliz  Bicici', 'title': 'Chief Operating Officer Offices & Real Estate Devel.', 'fiscalYear': 2022, 'totalPay': 524216, 'exercisedValue': 0, 'unexercisedValue': 0}",3,2,4,1,2,1693526400,1672444800,86400,2,71.5,71.6,70.6,72.25,71.5,71.6,70.6,72.25,6.2,0.0867,1684108800,1.1231999,5.14,0.592717,12.789855,10.261627,207715,207715,52659,58364,58364,0.0,0.0,0,0,2397138176,66.45,98.75,6.3319535,70.597,78.9375,6.2,0.086713284,EUR,5357247488,0.48993,31855030,33953800,0.058530003,0.3554,104.804,0.6736384,1672444800,1703980800,1688083200,-0.939,185478000,5.52,6.88,2.57,14.151,21.814,BRU,EQUITY,COFB.BR,COFB.BR,COFINIMMO,Cofinimmo SA,946972800,Europe/Brussels,CEST,7200000,70.6,102.0,68.0,80.9,78.0,2.7,hold,14,20128000,0.602,245587504,2993853952,0.094,0.215,378577984,84.864,11.615,0.02293,0.052800003,274746000,102660752,223819008,-0.944,0.069,0.75247,0.64871,0.64768,EUR,
5,Boulevard de la Woluwe 58,Woluwedal,Brussels,1200,Belgium,32 2 373 00 00,32 2 373 00 10,https://www.cofinimmo.com,REIT—Diversified,Real Estate,"Cofinimmo has been acquiring, developing and managing rental properties for almost 40 years. The company has a portfolio spread across Belgium, France, the Netherlands, Germany, Spain, Finland, Ireland, Italy and the United Kingdom, with a value of approximately 6.3 billion EUR. With attention to social developments, Cofinimmo has the mission of making high-quality care, living and working environments available to its partners-tenants, from which users benefit directly. 'Caring, Living and Working - Together in Real Estate is the expression of this mission. Thanks to its expertise, Cofinimmo has built up a healthcare real estate portfolio of approximately 4.5 billion EUR in Europe. As an independent company that applies the highest standards of corporate governance and sustainability, Cofinimmo offers its tenants services and manages its portfolio through a team of approximately 160 employees in Brussels, Paris, Breda, Frankfurt and Madrid. Cofinimmo is listed on Euronext Brussels (BEL20) and benefits from the REIT system in Belgium (RREC), France (SIIC) and the Netherlands (FBI). Its activities are supervised by the Financial Services and Markets Authority (FSMA), the Belgian regulator.",160,"{'maxAge': 1, 'name': 'Ms. Pascale  Minet', 'title': 'Head of Accounting', 'exercisedValue': 0, 'unexercisedValue': 0}",3,2,4,1,2,1693526400,1672444800,86400,2,71.5,71.6,70.6,72.25,71.5,71.6,70.6,72.25,6.2,0.0867,1684108800,1.1231999,5.14,0.592717,12.789855,10.261627,207715,207715,52659,58364,58364,0.0,0.0,0,0,2397138176,66.45,98.75,6.3319535,70.597,78.9375,6.2,0.086713284,EUR,5357247488,0.48993,31855030,33953800,0.058530003,0.3554,104.804,0.6736384,1672444800,1703980800,1688083200,-0.939,185478000,5.52,6.88,2.57,14.151,21.814,BRU,EQUITY,COFB.BR,COFB.BR,COFINIMMO,Cofinimmo SA,946972800,Europe/Brussels,CEST,7200000,70.6,102.0,68.0,80.9,78.0,2.7,hold,14,20128000,0.602,245587504,2993853952,0.094,0.215,378577984,84.864,11.615,0.02293,0.052800003,274746000,102660752,223819008,-0.944,0.069,0.75247,0.64871,0.64768,EUR,
6,Boulevard de la Woluwe 58,Woluwedal,Brussels,1200,Belgium,32 2 373 00 00,32 2 373 00 10,https://www.cofinimmo.com,REIT—Diversified,Real Estate,"Cofinimmo has been acquiring, developing and managing rental properties for almost 40 years. The company has a portfolio spread across Belgium, France, the Netherlands, Germany, Spain, Finland, Ireland, Italy and the United Kingdom, with a value of approximately 6.3 billion EUR. With attention to social developments, Cofinimmo has the mission of making high-quality care, living and working environments available to its partners-tenants, from which users benefit directly. 'Caring, Living and Working - Together in Real Estate is the expression of this mission. Thanks to its expertise, Cofinimmo has built up a healthcare real estate portfolio of approximately 4.5 billion EUR in Europe. As an independent company that applies the highest standards of corporate governance and sustainability, Cofinimmo offers its tenants services and manages its portfolio through a team of approximately 160 employees in Brussels, Paris, Breda, Frankfurt and Madrid. Cofinimmo is listed on Euronext Brussels (BEL20) and benefits from the REIT system in Belgium (RREC), France (SIIC) and the Netherlands (FBI). Its activities are supervised by the Financial Services and Markets Authority (FSMA), the Belgian regulator.",160,"{'maxAge': 1, 'name': 'Ms. Ellen  Grauls', 'title': 'Head of External Communication & Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",3,2,4,1,2,1693526400,1672444800,86400,2,71.5,71.6,70.6,72.25,71.5,71.6,70.6,72.25,6.2,0.0867,1684108800,1.1231999,5.14,0.592717,12.789855,10.261627,207715,207715,52659,58364,58364,0.0,0.0,0,0,2397138176,66.45,98.75,6.3319535,70.597,78.9375,6.2,0.086713284,EUR,5357247488,0.48993,31855030,33953800,0.058530003,0.3554,104.804,0.6736384,1672444800,1703980800,1688083200,-0.939,185478000,5.52,6.88,2.57,14.151,21.814,BRU,EQUITY,COFB.BR,COFB.BR,COFINIMMO,Cofinimmo SA,946972800,Europe/Brussels,CEST,7200000,70.6,102.0,68.0,80.9,78.0,2.7,hold,14,20128000,0.602,245587504,2993853952,0.094,0.215,378577984,84.864,11.615,0.02293,0.052800003,274746000,102660752,223819008,-0.944,0.069,0.75247,0.64871,0.64768,EUR,
7,Boulevard de la Woluwe 58,Woluwedal,Brussels,1200,Belgium,32 2 373 00 00,32 2 373 00 10,https://www.cofinimmo.com,REIT—Diversified,Real Estate,"Cofinimmo has been acquiring, developing and managing rental properties for almost 40 years. The company has a portfolio spread across Belgium, France, the Netherlands, Germany, Spain, Finland, Ireland, Italy and the United Kingdom, with a value of approximately 6.3 billion EUR. With attention to social developments, Cofinimmo has the mission of making high-quality care, living and working environments available to its partners-tenants, from which users benefit directly. 'Caring, Living and Working - Together in Real Estate is the expression of this mission. Thanks to its expertise, Cofinimmo has built up a healthcare real estate portfolio of approximately 4.5 billion EUR in Europe. As an independent company that applies the highest standards of corporate governance and sustainability, Cofinimmo offers its tenants services and manages its portfolio through a team of approximately 160 employees in Brussels, Paris, Breda, Frankfurt and Madrid. Cofinimmo is listed on Euronext Brussels (BEL20) and benefits from the REIT system in Belgium (RREC), France (SIIC) and the Netherlands (FBI). Its activities are supervised by the Financial Services and Markets Authority (FSMA), the Belgian regulator.",160,"{'maxAge': 1, 'name': 'Steven  Aernoudt', 'title': 'Head of HR & Internal Communication', 'exercisedValue': 0, 'unexercisedValue': 0}",3,2,4,1,2,1693526400,1672444800,86400,2,71.5,71.6,70.6,72.25,71.5,71.6,70.6,72.25,6.2,0.0867,1684108800,1.1231999,5.14,0.592717,12.789855,10.261627,207715,207715,52659,58364,58364,0.0,0.0,0,0,2397138176,66.45,98.75,6.3319535,70.597,78.9375,6.2,0.086713284,EUR,5357247488,0.48993,31855030,33953800,0.058530003,0.3554,104.804,0.6736384,1672444800,1703980800,1688083200,-0.939,185478000,5.52,6.88,2.57,14.151,21.814,BRU,EQUITY,COFB.BR,COFB.BR,COFINIMMO,Cofinimmo SA,946972800,Europe/Brussels,CEST,7200000,70.6,102.0,68.0,80.9,78.0,2.7,hold,14,20128000,0.602,245587504,2993853952,0.094,0.215,378577984,84.864,11.615,0.02293,0.052800003,274746000,102660752,223819008,-0.944,0.069,0.75247,0.64871,0.64768,EUR,
8,Boulevard de la Woluwe 58,Woluwedal,Brussels,1200,Belgium,32 2 373 00 00,32 2 373 00 10,https://www.cofinimmo.com,REIT—Diversified,Real Estate,"Cofinimmo has been acquiring, developing and managing rental properties for almost 40 years. The company has a portfolio spread across Belgium, France, the Netherlands, Germany, Spain, Finland, Ireland, Italy and the United Kingdom, with a value of approximately 6.3 billion EUR. With attention to social developments, Cofinimmo has the mission of making high-quality care, living and working environments available to its partners-tenants, from which users benefit directly. 'Caring, Living and Working - Together in Real Estate is the expression of this mission. Thanks to its expertise, Cofinimmo has built up a healthcare real estate portfolio of approximately 4.5 billion EUR in Europe. As an independent company that applies the highest standards of corporate governance and sustainability, Cofinimmo offers its tenants services and manages its portfolio through a team of approximately 160 employees in Brussels, Paris, Breda, Frankfurt and Madrid. Cofinimmo is listed on Euronext Brussels (BEL20) and benefits from the REIT system in Belgium (RREC), France (SIIC) and the Netherlands (FBI). Its activities are supervised by the Financial Services and Markets Authority (FSMA), the Belgian regulator.",160,"{'maxAge': 1, 'name': 'Mr. Jean  Van Buggenhout', 'title': 'Head of Property Services', 'exercisedValue': 0, 'unexercisedValue': 0}",3,2,4,1,2,1693526400,1672444800,86400,2,71.5,71.6,70.6,72.25,71.5,71.6,70.6,72.25,6.2,0.0867,1684108800,1.1231999,5.14,0.592717,12.789855,10.261627,207715,207715,52659,58364,58364,0.0,0.0,0,0,2397138176,66.45,98.75,6.3319535,70.597,78.9375,6.2,0.086713284,EUR,5357247488,0.48993,31855030,33953800,0.058530003,0.3554,104.804,0.6736384,1672444800,1703980800,1688083200,-0.939,185478000,5.52,6.88,2.57,14.151,21.814,BRU,EQUITY,COFB.BR,COFB.BR,COFINIMMO,Cofinimmo SA,946972800,Europe/Brussels,CEST,7200000,70.6,102.0,68.0,80.9,78.0,2.7,hold,14,20128000,0.602,245587504,2993853952,0.094,0.215,378577984,84.864,11.615,0.02293,0.052800003,274746000,102660752,223819008,-0.944,0.069,0.75247,0.64871,0.64768,EUR,
9,Boulevard de la Woluwe 58,Woluwedal,Brussels,1200,Belgium,32 2 373 00 00,32 2 373 00 10,https://www.cofinimmo.com,REIT—Diversified,Real Estate,"Cofinimmo has been acquiring, developing and managing rental properties for almost 40 years. The company has a portfolio spread across Belgium, France, the Netherlands, Germany, Spain, Finland, Ireland, Italy and the United Kingdom, with a value of approximately 6.3 billion EUR. With attention to social developments, Cofinimmo has the mission of making high-quality care, living and working environments available to its partners-tenants, from which users benefit directly. 'Caring, Living and Working - Together in Real Estate is the expression of this mission. Thanks to its expertise, Cofinimmo has built up a healthcare real estate portfolio of approximately 4.5 billion EUR in Europe. As an independent company that applies the highest standards of corporate governance and sustainability, Cofinimmo offers its tenants services and manages its portfolio through a team of approximately 160 employees in Brussels, Paris, Breda, Frankfurt and Madrid. Cofinimmo is listed on Euronext Brussels (BEL20) and benefits from the REIT system in Belgium (RREC), France (SIIC) and the Netherlands (FBI). Its activities are supervised by the Financial Services and Markets Authority (FSMA), the Belgian regulator.",160,"{'maxAge': 1, 'name': 'Mr. Domien  Szeker', 'title': 'Head of Project Management', 'exercisedValue': 0, 'unexercisedValue': 0}",3,2,4,1,2,1693526400,1672444800,86400,2,71.5,71.6,70.6,72.25,71.5,71.6,70.6,72.25,6.2,0.0867,1684108800,1.1231999,5.14,0.592717,12.789855,10.261627,207715,207715,52659,58364,58364,0.0,0.0,0,0,2397138176,66.45,98.75,6.3319535,70.597,78.9375,6.2,0.086713284,EUR,5357247488,0.48993,31855030,33953800,0.058530003,0.3554,104.804,0.6736384,1672444800,1703980800,1688083200,-0.939,185478000,5.52,6.88,2.57,14.151,21.814,BRU,EQUITY,COFB.BR,COFB.BR,COFINIMMO,Cofinimmo SA,946972800,Europe/Brussels,CEST,7200000,70.6,102.0,68.0,80.9,78.0,2.7,hold,14,20128000,0.602,245587504,2993853952,0.094,0.215,378577984,84.864,11.615,0.02293,0.052800003,274746000,102660752,223819008,-0.944,0.069,0.75247,0.64871,0.64768,EUR,
