,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Akihabara UDX,"22nd Floor 4-14-1, Sotokanda Chiyoda-Ku",Tokyo,101-0021,Japan,81 3 6847 1106,81 3 6847 1272,https://www.dowa.co.jp,Other Industrial Metals & Mining,Basic Materials,"Dowa Holdings Co., Ltd. engages in the environmental management and recycling, nonferrous metals, electronic materials, metal processing, and heat treatment businesses worldwide. The company's Environmental Management & Recycling segment offers intermediate waste treatment, controlled landfilling, and soil remediation services; metal, household appliance, and automobile recycling services; consulting on environmental matters; and environmental logistics services. Its Nonferrous Metals segment produces and sells gold, silver, copper, lead, zinc, zinc alloys, indium, platinum, palladium, rhodium, tin, antimony, nickel sulfate, bismuth, tellurium, and sulfuric acid. The company's Electronic Materials segment offers high-purity materials, GaAs substrate wafers, and light-emitting diodes, as well as silver, copper, metal, carrier, and ferrite powders. Its Metal Processing segment provides copper, brass, copper and nickel alloy strips, reflow tin plated strips, brass rods, forged brass products, precious metal plating products, and metal-ceramics substrates. The company's Heat Treatment segment is involved in the design, manufacture, and maintenance of various types of industrial furnaces and ancillary equipment, as well as heat and surface treatment. The company also engages in real estate leasing, plant construction, civil engineering and construction work, office administration, technological development support, and other operations. The company was formerly known as Dowa Mining Co., Ltd. and changed its name to Dowa Holdings Co., Ltd. in October 2006. Dowa Holdings Co., Ltd. was founded in 1884 and is headquartered in Tokyo, Japan.",7569,"{'maxAge': 1, 'name': 'Mr. Akira  Sekiguchi', 'age': 62, 'title': 'Pres, CEO & Director', 'yearBorn': 1960, 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,5,5,7,1693526400,86400,2,30.2,30.6,30.6,30.6,30.2,30.6,30.6,30.6,0.75,0.0248,1711584000,0.3152,2.4,0.862987,14.502371,60,60,3,0,0,30.4,31.4,440500,429700,1844252800,26.6,37.4,0.0024231796,28.912,29.329,105.0,3.4768212,EUR,74985299968,0.02606,57627363,59519400,0.04713,0.61712,5910.4,0.005177315,1680220800,1711843200,1688083200,-0.399,19830999040,2.11,1:5,1506470400,0.099,1.306,FRA,EQUITY,DMI.F,DMI.F,DOWA HOLDINGS INC.,"Dowa Holdings Co., Ltd.",946882800,Europe/Berlin,CEST,7200000,30.6,none,54679998464,918.691,57433001984,110821998592,0.728,1.906,761087983616,30.049,12787.473,0.03136,0.06691,90819000000,-0.399,-0.09,0.10487001,0.07546,0.042880002,JPY,
1,Akihabara UDX,"22nd Floor 4-14-1, Sotokanda Chiyoda-Ku",Tokyo,101-0021,Japan,81 3 6847 1106,81 3 6847 1272,https://www.dowa.co.jp,Other Industrial Metals & Mining,Basic Materials,"Dowa Holdings Co., Ltd. engages in the environmental management and recycling, nonferrous metals, electronic materials, metal processing, and heat treatment businesses worldwide. The company's Environmental Management & Recycling segment offers intermediate waste treatment, controlled landfilling, and soil remediation services; metal, household appliance, and automobile recycling services; consulting on environmental matters; and environmental logistics services. Its Nonferrous Metals segment produces and sells gold, silver, copper, lead, zinc, zinc alloys, indium, platinum, palladium, rhodium, tin, antimony, nickel sulfate, bismuth, tellurium, and sulfuric acid. The company's Electronic Materials segment offers high-purity materials, GaAs substrate wafers, and light-emitting diodes, as well as silver, copper, metal, carrier, and ferrite powders. Its Metal Processing segment provides copper, brass, copper and nickel alloy strips, reflow tin plated strips, brass rods, forged brass products, precious metal plating products, and metal-ceramics substrates. The company's Heat Treatment segment is involved in the design, manufacture, and maintenance of various types of industrial furnaces and ancillary equipment, as well as heat and surface treatment. The company also engages in real estate leasing, plant construction, civil engineering and construction work, office administration, technological development support, and other operations. The company was formerly known as Dowa Mining Co., Ltd. and changed its name to Dowa Holdings Co., Ltd. in October 2006. Dowa Holdings Co., Ltd. was founded in 1884 and is headquartered in Tokyo, Japan.",7569,"{'maxAge': 1, 'name': 'Mr. Denzaburo  Fujita', 'title': 'Founder', 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,5,5,7,1693526400,86400,2,30.2,30.6,30.6,30.6,30.2,30.6,30.6,30.6,0.75,0.0248,1711584000,0.3152,2.4,0.862987,14.502371,60,60,3,0,0,30.4,31.4,440500,429700,1844252800,26.6,37.4,0.0024231796,28.912,29.329,105.0,3.4768212,EUR,74985299968,0.02606,57627363,59519400,0.04713,0.61712,5910.4,0.005177315,1680220800,1711843200,1688083200,-0.399,19830999040,2.11,1:5,1506470400,0.099,1.306,FRA,EQUITY,DMI.F,DMI.F,DOWA HOLDINGS INC.,"Dowa Holdings Co., Ltd.",946882800,Europe/Berlin,CEST,7200000,30.6,none,54679998464,918.691,57433001984,110821998592,0.728,1.906,761087983616,30.049,12787.473,0.03136,0.06691,90819000000,-0.399,-0.09,0.10487001,0.07546,0.042880002,JPY,
2,Akihabara UDX,"22nd Floor 4-14-1, Sotokanda Chiyoda-Ku",Tokyo,101-0021,Japan,81 3 6847 1106,81 3 6847 1272,https://www.dowa.co.jp,Other Industrial Metals & Mining,Basic Materials,"Dowa Holdings Co., Ltd. engages in the environmental management and recycling, nonferrous metals, electronic materials, metal processing, and heat treatment businesses worldwide. The company's Environmental Management & Recycling segment offers intermediate waste treatment, controlled landfilling, and soil remediation services; metal, household appliance, and automobile recycling services; consulting on environmental matters; and environmental logistics services. Its Nonferrous Metals segment produces and sells gold, silver, copper, lead, zinc, zinc alloys, indium, platinum, palladium, rhodium, tin, antimony, nickel sulfate, bismuth, tellurium, and sulfuric acid. The company's Electronic Materials segment offers high-purity materials, GaAs substrate wafers, and light-emitting diodes, as well as silver, copper, metal, carrier, and ferrite powders. Its Metal Processing segment provides copper, brass, copper and nickel alloy strips, reflow tin plated strips, brass rods, forged brass products, precious metal plating products, and metal-ceramics substrates. The company's Heat Treatment segment is involved in the design, manufacture, and maintenance of various types of industrial furnaces and ancillary equipment, as well as heat and surface treatment. The company also engages in real estate leasing, plant construction, civil engineering and construction work, office administration, technological development support, and other operations. The company was formerly known as Dowa Mining Co., Ltd. and changed its name to Dowa Holdings Co., Ltd. in October 2006. Dowa Holdings Co., Ltd. was founded in 1884 and is headquartered in Tokyo, Japan.",7569,"{'maxAge': 1, 'name': 'Mr. Fumitoshi  Sugiyama', 'age': 71, 'title': 'Chief Technical Officer', 'yearBorn': 1951, 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,5,5,7,1693526400,86400,2,30.2,30.6,30.6,30.6,30.2,30.6,30.6,30.6,0.75,0.0248,1711584000,0.3152,2.4,0.862987,14.502371,60,60,3,0,0,30.4,31.4,440500,429700,1844252800,26.6,37.4,0.0024231796,28.912,29.329,105.0,3.4768212,EUR,74985299968,0.02606,57627363,59519400,0.04713,0.61712,5910.4,0.005177315,1680220800,1711843200,1688083200,-0.399,19830999040,2.11,1:5,1506470400,0.099,1.306,FRA,EQUITY,DMI.F,DMI.F,DOWA HOLDINGS INC.,"Dowa Holdings Co., Ltd.",946882800,Europe/Berlin,CEST,7200000,30.6,none,54679998464,918.691,57433001984,110821998592,0.728,1.906,761087983616,30.049,12787.473,0.03136,0.06691,90819000000,-0.399,-0.09,0.10487001,0.07546,0.042880002,JPY,
3,Akihabara UDX,"22nd Floor 4-14-1, Sotokanda Chiyoda-Ku",Tokyo,101-0021,Japan,81 3 6847 1106,81 3 6847 1272,https://www.dowa.co.jp,Other Industrial Metals & Mining,Basic Materials,"Dowa Holdings Co., Ltd. engages in the environmental management and recycling, nonferrous metals, electronic materials, metal processing, and heat treatment businesses worldwide. The company's Environmental Management & Recycling segment offers intermediate waste treatment, controlled landfilling, and soil remediation services; metal, household appliance, and automobile recycling services; consulting on environmental matters; and environmental logistics services. Its Nonferrous Metals segment produces and sells gold, silver, copper, lead, zinc, zinc alloys, indium, platinum, palladium, rhodium, tin, antimony, nickel sulfate, bismuth, tellurium, and sulfuric acid. The company's Electronic Materials segment offers high-purity materials, GaAs substrate wafers, and light-emitting diodes, as well as silver, copper, metal, carrier, and ferrite powders. Its Metal Processing segment provides copper, brass, copper and nickel alloy strips, reflow tin plated strips, brass rods, forged brass products, precious metal plating products, and metal-ceramics substrates. The company's Heat Treatment segment is involved in the design, manufacture, and maintenance of various types of industrial furnaces and ancillary equipment, as well as heat and surface treatment. The company also engages in real estate leasing, plant construction, civil engineering and construction work, office administration, technological development support, and other operations. The company was formerly known as Dowa Mining Co., Ltd. and changed its name to Dowa Holdings Co., Ltd. in October 2006. Dowa Holdings Co., Ltd. was founded in 1884 and is headquartered in Tokyo, Japan.",7569,"{'maxAge': 1, 'name': 'Mr. Hiroyuki  Hosono', 'age': 60, 'title': 'GM of Corp. strategy dept. and Public relations & Investor Relations sec. & Director', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,5,5,7,1693526400,86400,2,30.2,30.6,30.6,30.6,30.2,30.6,30.6,30.6,0.75,0.0248,1711584000,0.3152,2.4,0.862987,14.502371,60,60,3,0,0,30.4,31.4,440500,429700,1844252800,26.6,37.4,0.0024231796,28.912,29.329,105.0,3.4768212,EUR,74985299968,0.02606,57627363,59519400,0.04713,0.61712,5910.4,0.005177315,1680220800,1711843200,1688083200,-0.399,19830999040,2.11,1:5,1506470400,0.099,1.306,FRA,EQUITY,DMI.F,DMI.F,DOWA HOLDINGS INC.,"Dowa Holdings Co., Ltd.",946882800,Europe/Berlin,CEST,7200000,30.6,none,54679998464,918.691,57433001984,110821998592,0.728,1.906,761087983616,30.049,12787.473,0.03136,0.06691,90819000000,-0.399,-0.09,0.10487001,0.07546,0.042880002,JPY,
4,Akihabara UDX,"22nd Floor 4-14-1, Sotokanda Chiyoda-Ku",Tokyo,101-0021,Japan,81 3 6847 1106,81 3 6847 1272,https://www.dowa.co.jp,Other Industrial Metals & Mining,Basic Materials,"Dowa Holdings Co., Ltd. engages in the environmental management and recycling, nonferrous metals, electronic materials, metal processing, and heat treatment businesses worldwide. The company's Environmental Management & Recycling segment offers intermediate waste treatment, controlled landfilling, and soil remediation services; metal, household appliance, and automobile recycling services; consulting on environmental matters; and environmental logistics services. Its Nonferrous Metals segment produces and sells gold, silver, copper, lead, zinc, zinc alloys, indium, platinum, palladium, rhodium, tin, antimony, nickel sulfate, bismuth, tellurium, and sulfuric acid. The company's Electronic Materials segment offers high-purity materials, GaAs substrate wafers, and light-emitting diodes, as well as silver, copper, metal, carrier, and ferrite powders. Its Metal Processing segment provides copper, brass, copper and nickel alloy strips, reflow tin plated strips, brass rods, forged brass products, precious metal plating products, and metal-ceramics substrates. The company's Heat Treatment segment is involved in the design, manufacture, and maintenance of various types of industrial furnaces and ancillary equipment, as well as heat and surface treatment. The company also engages in real estate leasing, plant construction, civil engineering and construction work, office administration, technological development support, and other operations. The company was formerly known as Dowa Mining Co., Ltd. and changed its name to Dowa Holdings Co., Ltd. in October 2006. Dowa Holdings Co., Ltd. was founded in 1884 and is headquartered in Tokyo, Japan.",7569,"{'maxAge': 1, 'name': 'Mr. Atsushi  Katagiri', 'age': 60, 'title': 'GM of HR Department, Gen. Affairs & Legal Affairs and Director', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,5,5,7,1693526400,86400,2,30.2,30.6,30.6,30.6,30.2,30.6,30.6,30.6,0.75,0.0248,1711584000,0.3152,2.4,0.862987,14.502371,60,60,3,0,0,30.4,31.4,440500,429700,1844252800,26.6,37.4,0.0024231796,28.912,29.329,105.0,3.4768212,EUR,74985299968,0.02606,57627363,59519400,0.04713,0.61712,5910.4,0.005177315,1680220800,1711843200,1688083200,-0.399,19830999040,2.11,1:5,1506470400,0.099,1.306,FRA,EQUITY,DMI.F,DMI.F,DOWA HOLDINGS INC.,"Dowa Holdings Co., Ltd.",946882800,Europe/Berlin,CEST,7200000,30.6,none,54679998464,918.691,57433001984,110821998592,0.728,1.906,761087983616,30.049,12787.473,0.03136,0.06691,90819000000,-0.399,-0.09,0.10487001,0.07546,0.042880002,JPY,
5,Akihabara UDX,"22nd Floor 4-14-1, Sotokanda Chiyoda-Ku",Tokyo,101-0021,Japan,81 3 6847 1106,81 3 6847 1272,https://www.dowa.co.jp,Other Industrial Metals & Mining,Basic Materials,"Dowa Holdings Co., Ltd. engages in the environmental management and recycling, nonferrous metals, electronic materials, metal processing, and heat treatment businesses worldwide. The company's Environmental Management & Recycling segment offers intermediate waste treatment, controlled landfilling, and soil remediation services; metal, household appliance, and automobile recycling services; consulting on environmental matters; and environmental logistics services. Its Nonferrous Metals segment produces and sells gold, silver, copper, lead, zinc, zinc alloys, indium, platinum, palladium, rhodium, tin, antimony, nickel sulfate, bismuth, tellurium, and sulfuric acid. The company's Electronic Materials segment offers high-purity materials, GaAs substrate wafers, and light-emitting diodes, as well as silver, copper, metal, carrier, and ferrite powders. Its Metal Processing segment provides copper, brass, copper and nickel alloy strips, reflow tin plated strips, brass rods, forged brass products, precious metal plating products, and metal-ceramics substrates. The company's Heat Treatment segment is involved in the design, manufacture, and maintenance of various types of industrial furnaces and ancillary equipment, as well as heat and surface treatment. The company also engages in real estate leasing, plant construction, civil engineering and construction work, office administration, technological development support, and other operations. The company was formerly known as Dowa Mining Co., Ltd. and changed its name to Dowa Holdings Co., Ltd. in October 2006. Dowa Holdings Co., Ltd. was founded in 1884 and is headquartered in Tokyo, Japan.",7569,"{'maxAge': 1, 'name': 'Mr. Kiyoshi  Yamada', 'title': 'Exec. Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,5,5,7,1693526400,86400,2,30.2,30.6,30.6,30.6,30.2,30.6,30.6,30.6,0.75,0.0248,1711584000,0.3152,2.4,0.862987,14.502371,60,60,3,0,0,30.4,31.4,440500,429700,1844252800,26.6,37.4,0.0024231796,28.912,29.329,105.0,3.4768212,EUR,74985299968,0.02606,57627363,59519400,0.04713,0.61712,5910.4,0.005177315,1680220800,1711843200,1688083200,-0.399,19830999040,2.11,1:5,1506470400,0.099,1.306,FRA,EQUITY,DMI.F,DMI.F,DOWA HOLDINGS INC.,"Dowa Holdings Co., Ltd.",946882800,Europe/Berlin,CEST,7200000,30.6,none,54679998464,918.691,57433001984,110821998592,0.728,1.906,761087983616,30.049,12787.473,0.03136,0.06691,90819000000,-0.399,-0.09,0.10487001,0.07546,0.042880002,JPY,
6,Akihabara UDX,"22nd Floor 4-14-1, Sotokanda Chiyoda-Ku",Tokyo,101-0021,Japan,81 3 6847 1106,81 3 6847 1272,https://www.dowa.co.jp,Other Industrial Metals & Mining,Basic Materials,"Dowa Holdings Co., Ltd. engages in the environmental management and recycling, nonferrous metals, electronic materials, metal processing, and heat treatment businesses worldwide. The company's Environmental Management & Recycling segment offers intermediate waste treatment, controlled landfilling, and soil remediation services; metal, household appliance, and automobile recycling services; consulting on environmental matters; and environmental logistics services. Its Nonferrous Metals segment produces and sells gold, silver, copper, lead, zinc, zinc alloys, indium, platinum, palladium, rhodium, tin, antimony, nickel sulfate, bismuth, tellurium, and sulfuric acid. The company's Electronic Materials segment offers high-purity materials, GaAs substrate wafers, and light-emitting diodes, as well as silver, copper, metal, carrier, and ferrite powders. Its Metal Processing segment provides copper, brass, copper and nickel alloy strips, reflow tin plated strips, brass rods, forged brass products, precious metal plating products, and metal-ceramics substrates. The company's Heat Treatment segment is involved in the design, manufacture, and maintenance of various types of industrial furnaces and ancillary equipment, as well as heat and surface treatment. The company also engages in real estate leasing, plant construction, civil engineering and construction work, office administration, technological development support, and other operations. The company was formerly known as Dowa Mining Co., Ltd. and changed its name to Dowa Holdings Co., Ltd. in October 2006. Dowa Holdings Co., Ltd. was founded in 1884 and is headquartered in Tokyo, Japan.",7569,"{'maxAge': 1, 'name': 'Mr. Toshiaki  Suyama', 'title': 'Exec. Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,5,5,7,1693526400,86400,2,30.2,30.6,30.6,30.6,30.2,30.6,30.6,30.6,0.75,0.0248,1711584000,0.3152,2.4,0.862987,14.502371,60,60,3,0,0,30.4,31.4,440500,429700,1844252800,26.6,37.4,0.0024231796,28.912,29.329,105.0,3.4768212,EUR,74985299968,0.02606,57627363,59519400,0.04713,0.61712,5910.4,0.005177315,1680220800,1711843200,1688083200,-0.399,19830999040,2.11,1:5,1506470400,0.099,1.306,FRA,EQUITY,DMI.F,DMI.F,DOWA HOLDINGS INC.,"Dowa Holdings Co., Ltd.",946882800,Europe/Berlin,CEST,7200000,30.6,none,54679998464,918.691,57433001984,110821998592,0.728,1.906,761087983616,30.049,12787.473,0.03136,0.06691,90819000000,-0.399,-0.09,0.10487001,0.07546,0.042880002,JPY,
7,Akihabara UDX,"22nd Floor 4-14-1, Sotokanda Chiyoda-Ku",Tokyo,101-0021,Japan,81 3 6847 1106,81 3 6847 1272,https://www.dowa.co.jp,Other Industrial Metals & Mining,Basic Materials,"Dowa Holdings Co., Ltd. engages in the environmental management and recycling, nonferrous metals, electronic materials, metal processing, and heat treatment businesses worldwide. The company's Environmental Management & Recycling segment offers intermediate waste treatment, controlled landfilling, and soil remediation services; metal, household appliance, and automobile recycling services; consulting on environmental matters; and environmental logistics services. Its Nonferrous Metals segment produces and sells gold, silver, copper, lead, zinc, zinc alloys, indium, platinum, palladium, rhodium, tin, antimony, nickel sulfate, bismuth, tellurium, and sulfuric acid. The company's Electronic Materials segment offers high-purity materials, GaAs substrate wafers, and light-emitting diodes, as well as silver, copper, metal, carrier, and ferrite powders. Its Metal Processing segment provides copper, brass, copper and nickel alloy strips, reflow tin plated strips, brass rods, forged brass products, precious metal plating products, and metal-ceramics substrates. The company's Heat Treatment segment is involved in the design, manufacture, and maintenance of various types of industrial furnaces and ancillary equipment, as well as heat and surface treatment. The company also engages in real estate leasing, plant construction, civil engineering and construction work, office administration, technological development support, and other operations. The company was formerly known as Dowa Mining Co., Ltd. and changed its name to Dowa Holdings Co., Ltd. in October 2006. Dowa Holdings Co., Ltd. was founded in 1884 and is headquartered in Tokyo, Japan.",7569,"{'maxAge': 1, 'name': 'Mr. Takehiko  Suzuki', 'title': 'Exec. Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,5,5,7,1693526400,86400,2,30.2,30.6,30.6,30.6,30.2,30.6,30.6,30.6,0.75,0.0248,1711584000,0.3152,2.4,0.862987,14.502371,60,60,3,0,0,30.4,31.4,440500,429700,1844252800,26.6,37.4,0.0024231796,28.912,29.329,105.0,3.4768212,EUR,74985299968,0.02606,57627363,59519400,0.04713,0.61712,5910.4,0.005177315,1680220800,1711843200,1688083200,-0.399,19830999040,2.11,1:5,1506470400,0.099,1.306,FRA,EQUITY,DMI.F,DMI.F,DOWA HOLDINGS INC.,"Dowa Holdings Co., Ltd.",946882800,Europe/Berlin,CEST,7200000,30.6,none,54679998464,918.691,57433001984,110821998592,0.728,1.906,761087983616,30.049,12787.473,0.03136,0.06691,90819000000,-0.399,-0.09,0.10487001,0.07546,0.042880002,JPY,
8,Akihabara UDX,"22nd Floor 4-14-1, Sotokanda Chiyoda-Ku",Tokyo,101-0021,Japan,81 3 6847 1106,81 3 6847 1272,https://www.dowa.co.jp,Other Industrial Metals & Mining,Basic Materials,"Dowa Holdings Co., Ltd. engages in the environmental management and recycling, nonferrous metals, electronic materials, metal processing, and heat treatment businesses worldwide. The company's Environmental Management & Recycling segment offers intermediate waste treatment, controlled landfilling, and soil remediation services; metal, household appliance, and automobile recycling services; consulting on environmental matters; and environmental logistics services. Its Nonferrous Metals segment produces and sells gold, silver, copper, lead, zinc, zinc alloys, indium, platinum, palladium, rhodium, tin, antimony, nickel sulfate, bismuth, tellurium, and sulfuric acid. The company's Electronic Materials segment offers high-purity materials, GaAs substrate wafers, and light-emitting diodes, as well as silver, copper, metal, carrier, and ferrite powders. Its Metal Processing segment provides copper, brass, copper and nickel alloy strips, reflow tin plated strips, brass rods, forged brass products, precious metal plating products, and metal-ceramics substrates. The company's Heat Treatment segment is involved in the design, manufacture, and maintenance of various types of industrial furnaces and ancillary equipment, as well as heat and surface treatment. The company also engages in real estate leasing, plant construction, civil engineering and construction work, office administration, technological development support, and other operations. The company was formerly known as Dowa Mining Co., Ltd. and changed its name to Dowa Holdings Co., Ltd. in October 2006. Dowa Holdings Co., Ltd. was founded in 1884 and is headquartered in Tokyo, Japan.",7569,"{'maxAge': 1, 'name': 'Mr. Eiichi  Wakabayashi', 'age': 62, 'title': 'Exec. Officer', 'yearBorn': 1960, 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,5,5,7,1693526400,86400,2,30.2,30.6,30.6,30.6,30.2,30.6,30.6,30.6,0.75,0.0248,1711584000,0.3152,2.4,0.862987,14.502371,60,60,3,0,0,30.4,31.4,440500,429700,1844252800,26.6,37.4,0.0024231796,28.912,29.329,105.0,3.4768212,EUR,74985299968,0.02606,57627363,59519400,0.04713,0.61712,5910.4,0.005177315,1680220800,1711843200,1688083200,-0.399,19830999040,2.11,1:5,1506470400,0.099,1.306,FRA,EQUITY,DMI.F,DMI.F,DOWA HOLDINGS INC.,"Dowa Holdings Co., Ltd.",946882800,Europe/Berlin,CEST,7200000,30.6,none,54679998464,918.691,57433001984,110821998592,0.728,1.906,761087983616,30.049,12787.473,0.03136,0.06691,90819000000,-0.399,-0.09,0.10487001,0.07546,0.042880002,JPY,
9,Akihabara UDX,"22nd Floor 4-14-1, Sotokanda Chiyoda-Ku",Tokyo,101-0021,Japan,81 3 6847 1106,81 3 6847 1272,https://www.dowa.co.jp,Other Industrial Metals & Mining,Basic Materials,"Dowa Holdings Co., Ltd. engages in the environmental management and recycling, nonferrous metals, electronic materials, metal processing, and heat treatment businesses worldwide. The company's Environmental Management & Recycling segment offers intermediate waste treatment, controlled landfilling, and soil remediation services; metal, household appliance, and automobile recycling services; consulting on environmental matters; and environmental logistics services. Its Nonferrous Metals segment produces and sells gold, silver, copper, lead, zinc, zinc alloys, indium, platinum, palladium, rhodium, tin, antimony, nickel sulfate, bismuth, tellurium, and sulfuric acid. The company's Electronic Materials segment offers high-purity materials, GaAs substrate wafers, and light-emitting diodes, as well as silver, copper, metal, carrier, and ferrite powders. Its Metal Processing segment provides copper, brass, copper and nickel alloy strips, reflow tin plated strips, brass rods, forged brass products, precious metal plating products, and metal-ceramics substrates. The company's Heat Treatment segment is involved in the design, manufacture, and maintenance of various types of industrial furnaces and ancillary equipment, as well as heat and surface treatment. The company also engages in real estate leasing, plant construction, civil engineering and construction work, office administration, technological development support, and other operations. The company was formerly known as Dowa Mining Co., Ltd. and changed its name to Dowa Holdings Co., Ltd. in October 2006. Dowa Holdings Co., Ltd. was founded in 1884 and is headquartered in Tokyo, Japan.",7569,"{'maxAge': 1, 'name': 'Mr. Yasuharu  Yanai', 'title': 'Exec. Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,5,5,7,1693526400,86400,2,30.2,30.6,30.6,30.6,30.2,30.6,30.6,30.6,0.75,0.0248,1711584000,0.3152,2.4,0.862987,14.502371,60,60,3,0,0,30.4,31.4,440500,429700,1844252800,26.6,37.4,0.0024231796,28.912,29.329,105.0,3.4768212,EUR,74985299968,0.02606,57627363,59519400,0.04713,0.61712,5910.4,0.005177315,1680220800,1711843200,1688083200,-0.399,19830999040,2.11,1:5,1506470400,0.099,1.306,FRA,EQUITY,DMI.F,DMI.F,DOWA HOLDINGS INC.,"Dowa Holdings Co., Ltd.",946882800,Europe/Berlin,CEST,7200000,30.6,none,54679998464,918.691,57433001984,110821998592,0.728,1.906,761087983616,30.049,12787.473,0.03136,0.06691,90819000000,-0.399,-0.09,0.10487001,0.07546,0.042880002,JPY,
