,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationMean,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Barbaros Mahallesi,Mor Sumbul Sok. No:7/2 B,Istanbul,34738,Turkey,90 216 579 15 15,90 216 456 48 75,https://www.emlakkonut.com.tr,REIT—Residential,Real Estate,"In 1953, a mentality that would lead the urbanization efforts of a country and improve the people's life quality was born. In that year, Emlak Konut, the deep-rooted brand of the construction industry, started its journey of success. The corporate vision was decided to build environmentally conscious modern cities that add comfort to human life. With this purpose, Emlak Konut became the architect of many innovative practices in the industry. Emlak Konut delivered many projects leaving a good example and traces for planned urbanization in our country. It built the most innovative neighborhoods of its era with projects so large that even their surroundings were named after them. This stable growth brought up a significant milestone as well. In 2002, Emlak Konut turned into a real estate investment company. This transformation was the herald for the giant projects, barnburners and becoming an even bigger company. After the establishment of the real estate investment company, Emlak Konut initiated 181 new projects that would have a broad effect on the world, embody environmentally conscious technologies and add value to cities. The number of units built and tendered since 2003 has reached 149.027. Emlak Konut went public twice, crowning its fast growth and taking its targets to wider horizons. The initial public offering which took place in 2010, ranked among the top 5 public offerings in the Republic's history. The second one, in 2013, became the greatest real estate public offering in the last 5 years in Europe. Growing with public offerings, Emlak Konut strengthens its place among the largest companies in Turkey with its paid-in capital of TRY 3,8 billion and its total value of assets of TRY 35,5 billion. Since its foundation, Emlak Konut has been taking firm steps towards the future with its increasing momentum, human-oriented corporate culture and its latest state. It is getting closer and closer to its goal of becoming Turkey's pride as a global player in the world.",1119,"{'maxAge': 1, 'name': 'Mr. Ertan  Keles', 'age': 46, 'title': 'Exec. Chairman', 'yearBorn': 1976, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,8.61,8.58,8.35,8.62,8.61,8.58,8.35,8.62,0.24,0.0278,1681257600,0.21530001,3.16,1.002659,7.522523,18.152174,165707487,165707487,391672676,443295729,443295729,8.37,8.36,0,0,30570352640,3.56,9.92,2.2352626,8.672,7.7002,0.239,0.027758421,TRY,26179381248,0.30377,1928920749,3661120000,0.49338,0.06002,5.185,1.6104147,1672444800,1703980800,1688083200,1.45,4154479104,1.11,0.46,1.914,7.01,IST,EQUITY,EKGYO.IS,EKGYO.IS,EMLAK KONUT GMYO,Emlak Konut Gayrimenkul Yatirim Ortakligi A.S.,1291275000,Europe/Istanbul,TRT,10800000,8.35,2.0,buy,12450808832,3.27,3734545920,6381249024,0.49,1.479,13676403712,32.326,3.672,0.04869,0.22734,3584070000,4733108736,7192983040,1.368,1.501,0.37582,0.27306,0.26915002,TRY,
1,Barbaros Mahallesi,Mor Sumbul Sok. No:7/2 B,Istanbul,34738,Turkey,90 216 579 15 15,90 216 456 48 75,https://www.emlakkonut.com.tr,REIT—Residential,Real Estate,"In 1953, a mentality that would lead the urbanization efforts of a country and improve the people's life quality was born. In that year, Emlak Konut, the deep-rooted brand of the construction industry, started its journey of success. The corporate vision was decided to build environmentally conscious modern cities that add comfort to human life. With this purpose, Emlak Konut became the architect of many innovative practices in the industry. Emlak Konut delivered many projects leaving a good example and traces for planned urbanization in our country. It built the most innovative neighborhoods of its era with projects so large that even their surroundings were named after them. This stable growth brought up a significant milestone as well. In 2002, Emlak Konut turned into a real estate investment company. This transformation was the herald for the giant projects, barnburners and becoming an even bigger company. After the establishment of the real estate investment company, Emlak Konut initiated 181 new projects that would have a broad effect on the world, embody environmentally conscious technologies and add value to cities. The number of units built and tendered since 2003 has reached 149.027. Emlak Konut went public twice, crowning its fast growth and taking its targets to wider horizons. The initial public offering which took place in 2010, ranked among the top 5 public offerings in the Republic's history. The second one, in 2013, became the greatest real estate public offering in the last 5 years in Europe. Growing with public offerings, Emlak Konut strengthens its place among the largest companies in Turkey with its paid-in capital of TRY 3,8 billion and its total value of assets of TRY 35,5 billion. Since its foundation, Emlak Konut has been taking firm steps towards the future with its increasing momentum, human-oriented corporate culture and its latest state. It is getting closer and closer to its goal of becoming Turkey's pride as a global player in the world.",1119,"{'maxAge': 1, 'name': 'Cengiz  Erdem', 'title': 'Gen. Mang. & Director', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,8.61,8.58,8.35,8.62,8.61,8.58,8.35,8.62,0.24,0.0278,1681257600,0.21530001,3.16,1.002659,7.522523,18.152174,165707487,165707487,391672676,443295729,443295729,8.37,8.36,0,0,30570352640,3.56,9.92,2.2352626,8.672,7.7002,0.239,0.027758421,TRY,26179381248,0.30377,1928920749,3661120000,0.49338,0.06002,5.185,1.6104147,1672444800,1703980800,1688083200,1.45,4154479104,1.11,0.46,1.914,7.01,IST,EQUITY,EKGYO.IS,EKGYO.IS,EMLAK KONUT GMYO,Emlak Konut Gayrimenkul Yatirim Ortakligi A.S.,1291275000,Europe/Istanbul,TRT,10800000,8.35,2.0,buy,12450808832,3.27,3734545920,6381249024,0.49,1.479,13676403712,32.326,3.672,0.04869,0.22734,3584070000,4733108736,7192983040,1.368,1.501,0.37582,0.27306,0.26915002,TRY,
2,Barbaros Mahallesi,Mor Sumbul Sok. No:7/2 B,Istanbul,34738,Turkey,90 216 579 15 15,90 216 456 48 75,https://www.emlakkonut.com.tr,REIT—Residential,Real Estate,"In 1953, a mentality that would lead the urbanization efforts of a country and improve the people's life quality was born. In that year, Emlak Konut, the deep-rooted brand of the construction industry, started its journey of success. The corporate vision was decided to build environmentally conscious modern cities that add comfort to human life. With this purpose, Emlak Konut became the architect of many innovative practices in the industry. Emlak Konut delivered many projects leaving a good example and traces for planned urbanization in our country. It built the most innovative neighborhoods of its era with projects so large that even their surroundings were named after them. This stable growth brought up a significant milestone as well. In 2002, Emlak Konut turned into a real estate investment company. This transformation was the herald for the giant projects, barnburners and becoming an even bigger company. After the establishment of the real estate investment company, Emlak Konut initiated 181 new projects that would have a broad effect on the world, embody environmentally conscious technologies and add value to cities. The number of units built and tendered since 2003 has reached 149.027. Emlak Konut went public twice, crowning its fast growth and taking its targets to wider horizons. The initial public offering which took place in 2010, ranked among the top 5 public offerings in the Republic's history. The second one, in 2013, became the greatest real estate public offering in the last 5 years in Europe. Growing with public offerings, Emlak Konut strengthens its place among the largest companies in Turkey with its paid-in capital of TRY 3,8 billion and its total value of assets of TRY 35,5 billion. Since its foundation, Emlak Konut has been taking firm steps towards the future with its increasing momentum, human-oriented corporate culture and its latest state. It is getting closer and closer to its goal of becoming Turkey's pride as a global player in the world.",1119,"{'maxAge': 1, 'name': 'Ali  Cetinkaya', 'title': 'Head of Financial Affairs Department', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,8.61,8.58,8.35,8.62,8.61,8.58,8.35,8.62,0.24,0.0278,1681257600,0.21530001,3.16,1.002659,7.522523,18.152174,165707487,165707487,391672676,443295729,443295729,8.37,8.36,0,0,30570352640,3.56,9.92,2.2352626,8.672,7.7002,0.239,0.027758421,TRY,26179381248,0.30377,1928920749,3661120000,0.49338,0.06002,5.185,1.6104147,1672444800,1703980800,1688083200,1.45,4154479104,1.11,0.46,1.914,7.01,IST,EQUITY,EKGYO.IS,EKGYO.IS,EMLAK KONUT GMYO,Emlak Konut Gayrimenkul Yatirim Ortakligi A.S.,1291275000,Europe/Istanbul,TRT,10800000,8.35,2.0,buy,12450808832,3.27,3734545920,6381249024,0.49,1.479,13676403712,32.326,3.672,0.04869,0.22734,3584070000,4733108736,7192983040,1.368,1.501,0.37582,0.27306,0.26915002,TRY,
3,Barbaros Mahallesi,Mor Sumbul Sok. No:7/2 B,Istanbul,34738,Turkey,90 216 579 15 15,90 216 456 48 75,https://www.emlakkonut.com.tr,REIT—Residential,Real Estate,"In 1953, a mentality that would lead the urbanization efforts of a country and improve the people's life quality was born. In that year, Emlak Konut, the deep-rooted brand of the construction industry, started its journey of success. The corporate vision was decided to build environmentally conscious modern cities that add comfort to human life. With this purpose, Emlak Konut became the architect of many innovative practices in the industry. Emlak Konut delivered many projects leaving a good example and traces for planned urbanization in our country. It built the most innovative neighborhoods of its era with projects so large that even their surroundings were named after them. This stable growth brought up a significant milestone as well. In 2002, Emlak Konut turned into a real estate investment company. This transformation was the herald for the giant projects, barnburners and becoming an even bigger company. After the establishment of the real estate investment company, Emlak Konut initiated 181 new projects that would have a broad effect on the world, embody environmentally conscious technologies and add value to cities. The number of units built and tendered since 2003 has reached 149.027. Emlak Konut went public twice, crowning its fast growth and taking its targets to wider horizons. The initial public offering which took place in 2010, ranked among the top 5 public offerings in the Republic's history. The second one, in 2013, became the greatest real estate public offering in the last 5 years in Europe. Growing with public offerings, Emlak Konut strengthens its place among the largest companies in Turkey with its paid-in capital of TRY 3,8 billion and its total value of assets of TRY 35,5 billion. Since its foundation, Emlak Konut has been taking firm steps towards the future with its increasing momentum, human-oriented corporate culture and its latest state. It is getting closer and closer to its goal of becoming Turkey's pride as a global player in the world.",1119,"{'maxAge': 1, 'name': 'Salih  Cetin', 'title': 'Accounting & Financing Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,8.61,8.58,8.35,8.62,8.61,8.58,8.35,8.62,0.24,0.0278,1681257600,0.21530001,3.16,1.002659,7.522523,18.152174,165707487,165707487,391672676,443295729,443295729,8.37,8.36,0,0,30570352640,3.56,9.92,2.2352626,8.672,7.7002,0.239,0.027758421,TRY,26179381248,0.30377,1928920749,3661120000,0.49338,0.06002,5.185,1.6104147,1672444800,1703980800,1688083200,1.45,4154479104,1.11,0.46,1.914,7.01,IST,EQUITY,EKGYO.IS,EKGYO.IS,EMLAK KONUT GMYO,Emlak Konut Gayrimenkul Yatirim Ortakligi A.S.,1291275000,Europe/Istanbul,TRT,10800000,8.35,2.0,buy,12450808832,3.27,3734545920,6381249024,0.49,1.479,13676403712,32.326,3.672,0.04869,0.22734,3584070000,4733108736,7192983040,1.368,1.501,0.37582,0.27306,0.26915002,TRY,
4,Barbaros Mahallesi,Mor Sumbul Sok. No:7/2 B,Istanbul,34738,Turkey,90 216 579 15 15,90 216 456 48 75,https://www.emlakkonut.com.tr,REIT—Residential,Real Estate,"In 1953, a mentality that would lead the urbanization efforts of a country and improve the people's life quality was born. In that year, Emlak Konut, the deep-rooted brand of the construction industry, started its journey of success. The corporate vision was decided to build environmentally conscious modern cities that add comfort to human life. With this purpose, Emlak Konut became the architect of many innovative practices in the industry. Emlak Konut delivered many projects leaving a good example and traces for planned urbanization in our country. It built the most innovative neighborhoods of its era with projects so large that even their surroundings were named after them. This stable growth brought up a significant milestone as well. In 2002, Emlak Konut turned into a real estate investment company. This transformation was the herald for the giant projects, barnburners and becoming an even bigger company. After the establishment of the real estate investment company, Emlak Konut initiated 181 new projects that would have a broad effect on the world, embody environmentally conscious technologies and add value to cities. The number of units built and tendered since 2003 has reached 149.027. Emlak Konut went public twice, crowning its fast growth and taking its targets to wider horizons. The initial public offering which took place in 2010, ranked among the top 5 public offerings in the Republic's history. The second one, in 2013, became the greatest real estate public offering in the last 5 years in Europe. Growing with public offerings, Emlak Konut strengthens its place among the largest companies in Turkey with its paid-in capital of TRY 3,8 billion and its total value of assets of TRY 35,5 billion. Since its foundation, Emlak Konut has been taking firm steps towards the future with its increasing momentum, human-oriented corporate culture and its latest state. It is getting closer and closer to its goal of becoming Turkey's pride as a global player in the world.",1119,"{'maxAge': 1, 'name': 'Hakan  Ilcin', 'title': 'Assistant Gen. Mang. of Technical', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,8.61,8.58,8.35,8.62,8.61,8.58,8.35,8.62,0.24,0.0278,1681257600,0.21530001,3.16,1.002659,7.522523,18.152174,165707487,165707487,391672676,443295729,443295729,8.37,8.36,0,0,30570352640,3.56,9.92,2.2352626,8.672,7.7002,0.239,0.027758421,TRY,26179381248,0.30377,1928920749,3661120000,0.49338,0.06002,5.185,1.6104147,1672444800,1703980800,1688083200,1.45,4154479104,1.11,0.46,1.914,7.01,IST,EQUITY,EKGYO.IS,EKGYO.IS,EMLAK KONUT GMYO,Emlak Konut Gayrimenkul Yatirim Ortakligi A.S.,1291275000,Europe/Istanbul,TRT,10800000,8.35,2.0,buy,12450808832,3.27,3734545920,6381249024,0.49,1.479,13676403712,32.326,3.672,0.04869,0.22734,3584070000,4733108736,7192983040,1.368,1.501,0.37582,0.27306,0.26915002,TRY,
5,Barbaros Mahallesi,Mor Sumbul Sok. No:7/2 B,Istanbul,34738,Turkey,90 216 579 15 15,90 216 456 48 75,https://www.emlakkonut.com.tr,REIT—Residential,Real Estate,"In 1953, a mentality that would lead the urbanization efforts of a country and improve the people's life quality was born. In that year, Emlak Konut, the deep-rooted brand of the construction industry, started its journey of success. The corporate vision was decided to build environmentally conscious modern cities that add comfort to human life. With this purpose, Emlak Konut became the architect of many innovative practices in the industry. Emlak Konut delivered many projects leaving a good example and traces for planned urbanization in our country. It built the most innovative neighborhoods of its era with projects so large that even their surroundings were named after them. This stable growth brought up a significant milestone as well. In 2002, Emlak Konut turned into a real estate investment company. This transformation was the herald for the giant projects, barnburners and becoming an even bigger company. After the establishment of the real estate investment company, Emlak Konut initiated 181 new projects that would have a broad effect on the world, embody environmentally conscious technologies and add value to cities. The number of units built and tendered since 2003 has reached 149.027. Emlak Konut went public twice, crowning its fast growth and taking its targets to wider horizons. The initial public offering which took place in 2010, ranked among the top 5 public offerings in the Republic's history. The second one, in 2013, became the greatest real estate public offering in the last 5 years in Europe. Growing with public offerings, Emlak Konut strengthens its place among the largest companies in Turkey with its paid-in capital of TRY 3,8 billion and its total value of assets of TRY 35,5 billion. Since its foundation, Emlak Konut has been taking firm steps towards the future with its increasing momentum, human-oriented corporate culture and its latest state. It is getting closer and closer to its goal of becoming Turkey's pride as a global player in the world.",1119,"{'maxAge': 1, 'name': 'Mr. Olcay  Dogan', 'age': 52, 'title': 'Head of Admin. Affairs Department', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,8.61,8.58,8.35,8.62,8.61,8.58,8.35,8.62,0.24,0.0278,1681257600,0.21530001,3.16,1.002659,7.522523,18.152174,165707487,165707487,391672676,443295729,443295729,8.37,8.36,0,0,30570352640,3.56,9.92,2.2352626,8.672,7.7002,0.239,0.027758421,TRY,26179381248,0.30377,1928920749,3661120000,0.49338,0.06002,5.185,1.6104147,1672444800,1703980800,1688083200,1.45,4154479104,1.11,0.46,1.914,7.01,IST,EQUITY,EKGYO.IS,EKGYO.IS,EMLAK KONUT GMYO,Emlak Konut Gayrimenkul Yatirim Ortakligi A.S.,1291275000,Europe/Istanbul,TRT,10800000,8.35,2.0,buy,12450808832,3.27,3734545920,6381249024,0.49,1.479,13676403712,32.326,3.672,0.04869,0.22734,3584070000,4733108736,7192983040,1.368,1.501,0.37582,0.27306,0.26915002,TRY,
6,Barbaros Mahallesi,Mor Sumbul Sok. No:7/2 B,Istanbul,34738,Turkey,90 216 579 15 15,90 216 456 48 75,https://www.emlakkonut.com.tr,REIT—Residential,Real Estate,"In 1953, a mentality that would lead the urbanization efforts of a country and improve the people's life quality was born. In that year, Emlak Konut, the deep-rooted brand of the construction industry, started its journey of success. The corporate vision was decided to build environmentally conscious modern cities that add comfort to human life. With this purpose, Emlak Konut became the architect of many innovative practices in the industry. Emlak Konut delivered many projects leaving a good example and traces for planned urbanization in our country. It built the most innovative neighborhoods of its era with projects so large that even their surroundings were named after them. This stable growth brought up a significant milestone as well. In 2002, Emlak Konut turned into a real estate investment company. This transformation was the herald for the giant projects, barnburners and becoming an even bigger company. After the establishment of the real estate investment company, Emlak Konut initiated 181 new projects that would have a broad effect on the world, embody environmentally conscious technologies and add value to cities. The number of units built and tendered since 2003 has reached 149.027. Emlak Konut went public twice, crowning its fast growth and taking its targets to wider horizons. The initial public offering which took place in 2010, ranked among the top 5 public offerings in the Republic's history. The second one, in 2013, became the greatest real estate public offering in the last 5 years in Europe. Growing with public offerings, Emlak Konut strengthens its place among the largest companies in Turkey with its paid-in capital of TRY 3,8 billion and its total value of assets of TRY 35,5 billion. Since its foundation, Emlak Konut has been taking firm steps towards the future with its increasing momentum, human-oriented corporate culture and its latest state. It is getting closer and closer to its goal of becoming Turkey's pride as a global player in the world.",1119,"{'maxAge': 1, 'name': 'Mustafa  Buga', 'title': 'Investor Relations Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,8.61,8.58,8.35,8.62,8.61,8.58,8.35,8.62,0.24,0.0278,1681257600,0.21530001,3.16,1.002659,7.522523,18.152174,165707487,165707487,391672676,443295729,443295729,8.37,8.36,0,0,30570352640,3.56,9.92,2.2352626,8.672,7.7002,0.239,0.027758421,TRY,26179381248,0.30377,1928920749,3661120000,0.49338,0.06002,5.185,1.6104147,1672444800,1703980800,1688083200,1.45,4154479104,1.11,0.46,1.914,7.01,IST,EQUITY,EKGYO.IS,EKGYO.IS,EMLAK KONUT GMYO,Emlak Konut Gayrimenkul Yatirim Ortakligi A.S.,1291275000,Europe/Istanbul,TRT,10800000,8.35,2.0,buy,12450808832,3.27,3734545920,6381249024,0.49,1.479,13676403712,32.326,3.672,0.04869,0.22734,3584070000,4733108736,7192983040,1.368,1.501,0.37582,0.27306,0.26915002,TRY,
7,Barbaros Mahallesi,Mor Sumbul Sok. No:7/2 B,Istanbul,34738,Turkey,90 216 579 15 15,90 216 456 48 75,https://www.emlakkonut.com.tr,REIT—Residential,Real Estate,"In 1953, a mentality that would lead the urbanization efforts of a country and improve the people's life quality was born. In that year, Emlak Konut, the deep-rooted brand of the construction industry, started its journey of success. The corporate vision was decided to build environmentally conscious modern cities that add comfort to human life. With this purpose, Emlak Konut became the architect of many innovative practices in the industry. Emlak Konut delivered many projects leaving a good example and traces for planned urbanization in our country. It built the most innovative neighborhoods of its era with projects so large that even their surroundings were named after them. This stable growth brought up a significant milestone as well. In 2002, Emlak Konut turned into a real estate investment company. This transformation was the herald for the giant projects, barnburners and becoming an even bigger company. After the establishment of the real estate investment company, Emlak Konut initiated 181 new projects that would have a broad effect on the world, embody environmentally conscious technologies and add value to cities. The number of units built and tendered since 2003 has reached 149.027. Emlak Konut went public twice, crowning its fast growth and taking its targets to wider horizons. The initial public offering which took place in 2010, ranked among the top 5 public offerings in the Republic's history. The second one, in 2013, became the greatest real estate public offering in the last 5 years in Europe. Growing with public offerings, Emlak Konut strengthens its place among the largest companies in Turkey with its paid-in capital of TRY 3,8 billion and its total value of assets of TRY 35,5 billion. Since its foundation, Emlak Konut has been taking firm steps towards the future with its increasing momentum, human-oriented corporate culture and its latest state. It is getting closer and closer to its goal of becoming Turkey's pride as a global player in the world.",1119,"{'maxAge': 1, 'name': 'Mehmet Akif Aydogan', 'title': 'Head of Marketing & Sales Department', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,8.61,8.58,8.35,8.62,8.61,8.58,8.35,8.62,0.24,0.0278,1681257600,0.21530001,3.16,1.002659,7.522523,18.152174,165707487,165707487,391672676,443295729,443295729,8.37,8.36,0,0,30570352640,3.56,9.92,2.2352626,8.672,7.7002,0.239,0.027758421,TRY,26179381248,0.30377,1928920749,3661120000,0.49338,0.06002,5.185,1.6104147,1672444800,1703980800,1688083200,1.45,4154479104,1.11,0.46,1.914,7.01,IST,EQUITY,EKGYO.IS,EKGYO.IS,EMLAK KONUT GMYO,Emlak Konut Gayrimenkul Yatirim Ortakligi A.S.,1291275000,Europe/Istanbul,TRT,10800000,8.35,2.0,buy,12450808832,3.27,3734545920,6381249024,0.49,1.479,13676403712,32.326,3.672,0.04869,0.22734,3584070000,4733108736,7192983040,1.368,1.501,0.37582,0.27306,0.26915002,TRY,
8,Barbaros Mahallesi,Mor Sumbul Sok. No:7/2 B,Istanbul,34738,Turkey,90 216 579 15 15,90 216 456 48 75,https://www.emlakkonut.com.tr,REIT—Residential,Real Estate,"In 1953, a mentality that would lead the urbanization efforts of a country and improve the people's life quality was born. In that year, Emlak Konut, the deep-rooted brand of the construction industry, started its journey of success. The corporate vision was decided to build environmentally conscious modern cities that add comfort to human life. With this purpose, Emlak Konut became the architect of many innovative practices in the industry. Emlak Konut delivered many projects leaving a good example and traces for planned urbanization in our country. It built the most innovative neighborhoods of its era with projects so large that even their surroundings were named after them. This stable growth brought up a significant milestone as well. In 2002, Emlak Konut turned into a real estate investment company. This transformation was the herald for the giant projects, barnburners and becoming an even bigger company. After the establishment of the real estate investment company, Emlak Konut initiated 181 new projects that would have a broad effect on the world, embody environmentally conscious technologies and add value to cities. The number of units built and tendered since 2003 has reached 149.027. Emlak Konut went public twice, crowning its fast growth and taking its targets to wider horizons. The initial public offering which took place in 2010, ranked among the top 5 public offerings in the Republic's history. The second one, in 2013, became the greatest real estate public offering in the last 5 years in Europe. Growing with public offerings, Emlak Konut strengthens its place among the largest companies in Turkey with its paid-in capital of TRY 3,8 billion and its total value of assets of TRY 35,5 billion. Since its foundation, Emlak Konut has been taking firm steps towards the future with its increasing momentum, human-oriented corporate culture and its latest state. It is getting closer and closer to its goal of becoming Turkey's pride as a global player in the world.",1119,"{'maxAge': 1, 'name': 'Ali Haydar Yildirim', 'title': 'Admin. Affairs & HR Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,8.61,8.58,8.35,8.62,8.61,8.58,8.35,8.62,0.24,0.0278,1681257600,0.21530001,3.16,1.002659,7.522523,18.152174,165707487,165707487,391672676,443295729,443295729,8.37,8.36,0,0,30570352640,3.56,9.92,2.2352626,8.672,7.7002,0.239,0.027758421,TRY,26179381248,0.30377,1928920749,3661120000,0.49338,0.06002,5.185,1.6104147,1672444800,1703980800,1688083200,1.45,4154479104,1.11,0.46,1.914,7.01,IST,EQUITY,EKGYO.IS,EKGYO.IS,EMLAK KONUT GMYO,Emlak Konut Gayrimenkul Yatirim Ortakligi A.S.,1291275000,Europe/Istanbul,TRT,10800000,8.35,2.0,buy,12450808832,3.27,3734545920,6381249024,0.49,1.479,13676403712,32.326,3.672,0.04869,0.22734,3584070000,4733108736,7192983040,1.368,1.501,0.37582,0.27306,0.26915002,TRY,
9,Barbaros Mahallesi,Mor Sumbul Sok. No:7/2 B,Istanbul,34738,Turkey,90 216 579 15 15,90 216 456 48 75,https://www.emlakkonut.com.tr,REIT—Residential,Real Estate,"In 1953, a mentality that would lead the urbanization efforts of a country and improve the people's life quality was born. In that year, Emlak Konut, the deep-rooted brand of the construction industry, started its journey of success. The corporate vision was decided to build environmentally conscious modern cities that add comfort to human life. With this purpose, Emlak Konut became the architect of many innovative practices in the industry. Emlak Konut delivered many projects leaving a good example and traces for planned urbanization in our country. It built the most innovative neighborhoods of its era with projects so large that even their surroundings were named after them. This stable growth brought up a significant milestone as well. In 2002, Emlak Konut turned into a real estate investment company. This transformation was the herald for the giant projects, barnburners and becoming an even bigger company. After the establishment of the real estate investment company, Emlak Konut initiated 181 new projects that would have a broad effect on the world, embody environmentally conscious technologies and add value to cities. The number of units built and tendered since 2003 has reached 149.027. Emlak Konut went public twice, crowning its fast growth and taking its targets to wider horizons. The initial public offering which took place in 2010, ranked among the top 5 public offerings in the Republic's history. The second one, in 2013, became the greatest real estate public offering in the last 5 years in Europe. Growing with public offerings, Emlak Konut strengthens its place among the largest companies in Turkey with its paid-in capital of TRY 3,8 billion and its total value of assets of TRY 35,5 billion. Since its foundation, Emlak Konut has been taking firm steps towards the future with its increasing momentum, human-oriented corporate culture and its latest state. It is getting closer and closer to its goal of becoming Turkey's pride as a global player in the world.",1119,"{'maxAge': 1, 'name': 'Mr. Sinan  Ayoglu', 'title': 'Head of R&D Department', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,8.61,8.58,8.35,8.62,8.61,8.58,8.35,8.62,0.24,0.0278,1681257600,0.21530001,3.16,1.002659,7.522523,18.152174,165707487,165707487,391672676,443295729,443295729,8.37,8.36,0,0,30570352640,3.56,9.92,2.2352626,8.672,7.7002,0.239,0.027758421,TRY,26179381248,0.30377,1928920749,3661120000,0.49338,0.06002,5.185,1.6104147,1672444800,1703980800,1688083200,1.45,4154479104,1.11,0.46,1.914,7.01,IST,EQUITY,EKGYO.IS,EKGYO.IS,EMLAK KONUT GMYO,Emlak Konut Gayrimenkul Yatirim Ortakligi A.S.,1291275000,Europe/Istanbul,TRT,10800000,8.35,2.0,buy,12450808832,3.27,3734545920,6381249024,0.49,1.479,13676403712,32.326,3.672,0.04869,0.22734,3584070000,4733108736,7192983040,1.368,1.501,0.37582,0.27306,0.26915002,TRY,
