,address1,city,zip,country,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationMean,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,2 Portman Street,London,W1H 6DU,United Kingdom,https://www.evraz.com,Steel,Basic Materials,"EVRAZ plc, together with its subsidiaries, engages in the production and distribution of steel and related products in Russia, the Americas, Asia, Europe, CIS, Africa, and internationally. It operates through four segments: Steel; Steel, North America; Coal; and Other Operations. The company offers steel and value-added products, including infrastructure steel, rails, large-diameter pipes, and oil country tubular goods. It also extracts vanadium ores; processes and produces vanadium products; and mines and enriches iron ore and coal. In addition, the company engages in the energy-generating, shipping, and railway transportation businesses. It offers its products for use in infrastructure and construction projects; and rail, energy, and industrial end-user markets, as well as coke and steel producers. The company was formerly known as Project Savannah PLC and changed its name to EVRAZ plc in October 2011. EVRAZ plc was founded in 1992 and is based in London, the United Kingdom.",71591,"{'maxAge': 1, 'name': 'Mr. Aleksey Alexandrovich Ivanov', 'age': 47, 'title': 'Chief Exec. Officer', 'yearBorn': 1975, 'fiscalYear': 2021, 'totalPay': 2912837, 'exercisedValue': 0, 'unexercisedValue': 0}",9,10,6,1,10,1693526400,1640908800,86400,2,80.89,0.0,0.0,0.0,80.89,0.0,0.0,0.0,0.76,0.93410003,1646870400,0.5261,0.890015,41.48205,0.77038103,0,0,0,0,0,0.0,0.0,0,0,1179934336,0.0,81.0,0.07659425,18.4518,12.43755,0.2,0.0024724936,GBp,4549538816,0.11762,473155182,1458690048,0.66484,0.10182,3.742,21.616781,1640908800,1672444800,1656547200,2228999936,1.95,1.05,0.295,0.823,LSE,EQUITY,EVR.L,EVR.L,EVRAZ PLC ORD USD0.05,EVRAZ plc,1320652800,Europe/London,BST,3600000,80.89,3.0,hold,849000000,0.582,5526000128,3945999872,0.755,1.359,15404999680,68.866,10.567,0.27673,0.63368,6032000000,109625000,2646000128,0.311,0.43726003,0.35871,0.32327,USD,
1,2 Portman Street,London,W1H 6DU,United Kingdom,https://www.evraz.com,Steel,Basic Materials,"EVRAZ plc, together with its subsidiaries, engages in the production and distribution of steel and related products in Russia, the Americas, Asia, Europe, CIS, Africa, and internationally. It operates through four segments: Steel; Steel, North America; Coal; and Other Operations. The company offers steel and value-added products, including infrastructure steel, rails, large-diameter pipes, and oil country tubular goods. It also extracts vanadium ores; processes and produces vanadium products; and mines and enriches iron ore and coal. In addition, the company engages in the energy-generating, shipping, and railway transportation businesses. It offers its products for use in infrastructure and construction projects; and rail, energy, and industrial end-user markets, as well as coke and steel producers. The company was formerly known as Project Savannah PLC and changed its name to EVRAZ plc in October 2011. EVRAZ plc was founded in 1992 and is based in London, the United Kingdom.",71591,"{'maxAge': 1, 'name': 'Mr. Nikolay Vladimirovich Ivanov', 'age': 50, 'title': 'Chief Financial Officer', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",9,10,6,1,10,1693526400,1640908800,86400,2,80.89,0.0,0.0,0.0,80.89,0.0,0.0,0.0,0.76,0.93410003,1646870400,0.5261,0.890015,41.48205,0.77038103,0,0,0,0,0,0.0,0.0,0,0,1179934336,0.0,81.0,0.07659425,18.4518,12.43755,0.2,0.0024724936,GBp,4549538816,0.11762,473155182,1458690048,0.66484,0.10182,3.742,21.616781,1640908800,1672444800,1656547200,2228999936,1.95,1.05,0.295,0.823,LSE,EQUITY,EVR.L,EVR.L,EVRAZ PLC ORD USD0.05,EVRAZ plc,1320652800,Europe/London,BST,3600000,80.89,3.0,hold,849000000,0.582,5526000128,3945999872,0.755,1.359,15404999680,68.866,10.567,0.27673,0.63368,6032000000,109625000,2646000128,0.311,0.43726003,0.35871,0.32327,USD,
2,2 Portman Street,London,W1H 6DU,United Kingdom,https://www.evraz.com,Steel,Basic Materials,"EVRAZ plc, together with its subsidiaries, engages in the production and distribution of steel and related products in Russia, the Americas, Asia, Europe, CIS, Africa, and internationally. It operates through four segments: Steel; Steel, North America; Coal; and Other Operations. The company offers steel and value-added products, including infrastructure steel, rails, large-diameter pipes, and oil country tubular goods. It also extracts vanadium ores; processes and produces vanadium products; and mines and enriches iron ore and coal. In addition, the company engages in the energy-generating, shipping, and railway transportation businesses. It offers its products for use in infrastructure and construction projects; and rail, energy, and industrial end-user markets, as well as coke and steel producers. The company was formerly known as Project Savannah PLC and changed its name to EVRAZ plc in October 2011. EVRAZ plc was founded in 1992 and is based in London, the United Kingdom.",71591,"{'maxAge': 1, 'name': 'Ms. Irina  Bakhturina', 'title': 'Director of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",9,10,6,1,10,1693526400,1640908800,86400,2,80.89,0.0,0.0,0.0,80.89,0.0,0.0,0.0,0.76,0.93410003,1646870400,0.5261,0.890015,41.48205,0.77038103,0,0,0,0,0,0.0,0.0,0,0,1179934336,0.0,81.0,0.07659425,18.4518,12.43755,0.2,0.0024724936,GBp,4549538816,0.11762,473155182,1458690048,0.66484,0.10182,3.742,21.616781,1640908800,1672444800,1656547200,2228999936,1.95,1.05,0.295,0.823,LSE,EQUITY,EVR.L,EVR.L,EVRAZ PLC ORD USD0.05,EVRAZ plc,1320652800,Europe/London,BST,3600000,80.89,3.0,hold,849000000,0.582,5526000128,3945999872,0.755,1.359,15404999680,68.866,10.567,0.27673,0.63368,6032000000,109625000,2646000128,0.311,0.43726003,0.35871,0.32327,USD,
3,2 Portman Street,London,W1H 6DU,United Kingdom,https://www.evraz.com,Steel,Basic Materials,"EVRAZ plc, together with its subsidiaries, engages in the production and distribution of steel and related products in Russia, the Americas, Asia, Europe, CIS, Africa, and internationally. It operates through four segments: Steel; Steel, North America; Coal; and Other Operations. The company offers steel and value-added products, including infrastructure steel, rails, large-diameter pipes, and oil country tubular goods. It also extracts vanadium ores; processes and produces vanadium products; and mines and enriches iron ore and coal. In addition, the company engages in the energy-generating, shipping, and railway transportation businesses. It offers its products for use in infrastructure and construction projects; and rail, energy, and industrial end-user markets, as well as coke and steel producers. The company was formerly known as Project Savannah PLC and changed its name to EVRAZ plc in October 2011. EVRAZ plc was founded in 1992 and is based in London, the United Kingdom.",71591,"{'maxAge': 1, 'name': 'Mr. Sergey  Vasiliev', 'age': 55, 'title': 'VP of Compliance with Bus. Procedures & Asset Protection', 'yearBorn': 1967, 'exercisedValue': 0, 'unexercisedValue': 0}",9,10,6,1,10,1693526400,1640908800,86400,2,80.89,0.0,0.0,0.0,80.89,0.0,0.0,0.0,0.76,0.93410003,1646870400,0.5261,0.890015,41.48205,0.77038103,0,0,0,0,0,0.0,0.0,0,0,1179934336,0.0,81.0,0.07659425,18.4518,12.43755,0.2,0.0024724936,GBp,4549538816,0.11762,473155182,1458690048,0.66484,0.10182,3.742,21.616781,1640908800,1672444800,1656547200,2228999936,1.95,1.05,0.295,0.823,LSE,EQUITY,EVR.L,EVR.L,EVRAZ PLC ORD USD0.05,EVRAZ plc,1320652800,Europe/London,BST,3600000,80.89,3.0,hold,849000000,0.582,5526000128,3945999872,0.755,1.359,15404999680,68.866,10.567,0.27673,0.63368,6032000000,109625000,2646000128,0.311,0.43726003,0.35871,0.32327,USD,
4,2 Portman Street,London,W1H 6DU,United Kingdom,https://www.evraz.com,Steel,Basic Materials,"EVRAZ plc, together with its subsidiaries, engages in the production and distribution of steel and related products in Russia, the Americas, Asia, Europe, CIS, Africa, and internationally. It operates through four segments: Steel; Steel, North America; Coal; and Other Operations. The company offers steel and value-added products, including infrastructure steel, rails, large-diameter pipes, and oil country tubular goods. It also extracts vanadium ores; processes and produces vanadium products; and mines and enriches iron ore and coal. In addition, the company engages in the energy-generating, shipping, and railway transportation businesses. It offers its products for use in infrastructure and construction projects; and rail, energy, and industrial end-user markets, as well as coke and steel producers. The company was formerly known as Project Savannah PLC and changed its name to EVRAZ plc in October 2011. EVRAZ plc was founded in 1992 and is based in London, the United Kingdom.",71591,"{'maxAge': 1, 'name': 'Ms. Yanina  Staniulenaite', 'age': 42, 'title': 'VP of Legal', 'yearBorn': 1980, 'exercisedValue': 0, 'unexercisedValue': 0}",9,10,6,1,10,1693526400,1640908800,86400,2,80.89,0.0,0.0,0.0,80.89,0.0,0.0,0.0,0.76,0.93410003,1646870400,0.5261,0.890015,41.48205,0.77038103,0,0,0,0,0,0.0,0.0,0,0,1179934336,0.0,81.0,0.07659425,18.4518,12.43755,0.2,0.0024724936,GBp,4549538816,0.11762,473155182,1458690048,0.66484,0.10182,3.742,21.616781,1640908800,1672444800,1656547200,2228999936,1.95,1.05,0.295,0.823,LSE,EQUITY,EVR.L,EVR.L,EVRAZ PLC ORD USD0.05,EVRAZ plc,1320652800,Europe/London,BST,3600000,80.89,3.0,hold,849000000,0.582,5526000128,3945999872,0.755,1.359,15404999680,68.866,10.567,0.27673,0.63368,6032000000,109625000,2646000128,0.311,0.43726003,0.35871,0.32327,USD,
5,2 Portman Street,London,W1H 6DU,United Kingdom,https://www.evraz.com,Steel,Basic Materials,"EVRAZ plc, together with its subsidiaries, engages in the production and distribution of steel and related products in Russia, the Americas, Asia, Europe, CIS, Africa, and internationally. It operates through four segments: Steel; Steel, North America; Coal; and Other Operations. The company offers steel and value-added products, including infrastructure steel, rails, large-diameter pipes, and oil country tubular goods. It also extracts vanadium ores; processes and produces vanadium products; and mines and enriches iron ore and coal. In addition, the company engages in the energy-generating, shipping, and railway transportation businesses. It offers its products for use in infrastructure and construction projects; and rail, energy, and industrial end-user markets, as well as coke and steel producers. The company was formerly known as Project Savannah PLC and changed its name to EVRAZ plc in October 2011. EVRAZ plc was founded in 1992 and is based in London, the United Kingdom.",71591,"{'maxAge': 1, 'name': 'Mr. Vsevolod  Sementsov', 'age': 51, 'title': 'VP of Corp. Communications', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",9,10,6,1,10,1693526400,1640908800,86400,2,80.89,0.0,0.0,0.0,80.89,0.0,0.0,0.0,0.76,0.93410003,1646870400,0.5261,0.890015,41.48205,0.77038103,0,0,0,0,0,0.0,0.0,0,0,1179934336,0.0,81.0,0.07659425,18.4518,12.43755,0.2,0.0024724936,GBp,4549538816,0.11762,473155182,1458690048,0.66484,0.10182,3.742,21.616781,1640908800,1672444800,1656547200,2228999936,1.95,1.05,0.295,0.823,LSE,EQUITY,EVR.L,EVR.L,EVRAZ PLC ORD USD0.05,EVRAZ plc,1320652800,Europe/London,BST,3600000,80.89,3.0,hold,849000000,0.582,5526000128,3945999872,0.755,1.359,15404999680,68.866,10.567,0.27673,0.63368,6032000000,109625000,2646000128,0.311,0.43726003,0.35871,0.32327,USD,
6,2 Portman Street,London,W1H 6DU,United Kingdom,https://www.evraz.com,Steel,Basic Materials,"EVRAZ plc, together with its subsidiaries, engages in the production and distribution of steel and related products in Russia, the Americas, Asia, Europe, CIS, Africa, and internationally. It operates through four segments: Steel; Steel, North America; Coal; and Other Operations. The company offers steel and value-added products, including infrastructure steel, rails, large-diameter pipes, and oil country tubular goods. It also extracts vanadium ores; processes and produces vanadium products; and mines and enriches iron ore and coal. In addition, the company engages in the energy-generating, shipping, and railway transportation businesses. It offers its products for use in infrastructure and construction projects; and rail, energy, and industrial end-user markets, as well as coke and steel producers. The company was formerly known as Project Savannah PLC and changed its name to EVRAZ plc in October 2011. EVRAZ plc was founded in 1992 and is based in London, the United Kingdom.",71591,"{'maxAge': 1, 'name': 'Mr. Sergey  Sintsov', 'age': 41, 'title': 'Vice-Pres of Sales & Logistics', 'yearBorn': 1981, 'exercisedValue': 0, 'unexercisedValue': 0}",9,10,6,1,10,1693526400,1640908800,86400,2,80.89,0.0,0.0,0.0,80.89,0.0,0.0,0.0,0.76,0.93410003,1646870400,0.5261,0.890015,41.48205,0.77038103,0,0,0,0,0,0.0,0.0,0,0,1179934336,0.0,81.0,0.07659425,18.4518,12.43755,0.2,0.0024724936,GBp,4549538816,0.11762,473155182,1458690048,0.66484,0.10182,3.742,21.616781,1640908800,1672444800,1656547200,2228999936,1.95,1.05,0.295,0.823,LSE,EQUITY,EVR.L,EVR.L,EVRAZ PLC ORD USD0.05,EVRAZ plc,1320652800,Europe/London,BST,3600000,80.89,3.0,hold,849000000,0.582,5526000128,3945999872,0.755,1.359,15404999680,68.866,10.567,0.27673,0.63368,6032000000,109625000,2646000128,0.311,0.43726003,0.35871,0.32327,USD,
7,2 Portman Street,London,W1H 6DU,United Kingdom,https://www.evraz.com,Steel,Basic Materials,"EVRAZ plc, together with its subsidiaries, engages in the production and distribution of steel and related products in Russia, the Americas, Asia, Europe, CIS, Africa, and internationally. It operates through four segments: Steel; Steel, North America; Coal; and Other Operations. The company offers steel and value-added products, including infrastructure steel, rails, large-diameter pipes, and oil country tubular goods. It also extracts vanadium ores; processes and produces vanadium products; and mines and enriches iron ore and coal. In addition, the company engages in the energy-generating, shipping, and railway transportation businesses. It offers its products for use in infrastructure and construction projects; and rail, energy, and industrial end-user markets, as well as coke and steel producers. The company was formerly known as Project Savannah PLC and changed its name to EVRAZ plc in October 2011. EVRAZ plc was founded in 1992 and is based in London, the United Kingdom.",71591,"{'maxAge': 1, 'name': 'Ms. Elena Y. Samsonova', 'age': 46, 'title': 'VP of HR', 'yearBorn': 1976, 'exercisedValue': 0, 'unexercisedValue': 0}",9,10,6,1,10,1693526400,1640908800,86400,2,80.89,0.0,0.0,0.0,80.89,0.0,0.0,0.0,0.76,0.93410003,1646870400,0.5261,0.890015,41.48205,0.77038103,0,0,0,0,0,0.0,0.0,0,0,1179934336,0.0,81.0,0.07659425,18.4518,12.43755,0.2,0.0024724936,GBp,4549538816,0.11762,473155182,1458690048,0.66484,0.10182,3.742,21.616781,1640908800,1672444800,1656547200,2228999936,1.95,1.05,0.295,0.823,LSE,EQUITY,EVR.L,EVR.L,EVRAZ PLC ORD USD0.05,EVRAZ plc,1320652800,Europe/London,BST,3600000,80.89,3.0,hold,849000000,0.582,5526000128,3945999872,0.755,1.359,15404999680,68.866,10.567,0.27673,0.63368,6032000000,109625000,2646000128,0.311,0.43726003,0.35871,0.32327,USD,
8,2 Portman Street,London,W1H 6DU,United Kingdom,https://www.evraz.com,Steel,Basic Materials,"EVRAZ plc, together with its subsidiaries, engages in the production and distribution of steel and related products in Russia, the Americas, Asia, Europe, CIS, Africa, and internationally. It operates through four segments: Steel; Steel, North America; Coal; and Other Operations. The company offers steel and value-added products, including infrastructure steel, rails, large-diameter pipes, and oil country tubular goods. It also extracts vanadium ores; processes and produces vanadium products; and mines and enriches iron ore and coal. In addition, the company engages in the energy-generating, shipping, and railway transportation businesses. It offers its products for use in infrastructure and construction projects; and rail, energy, and industrial end-user markets, as well as coke and steel producers. The company was formerly known as Project Savannah PLC and changed its name to EVRAZ plc in October 2011. EVRAZ plc was founded in 1992 and is based in London, the United Kingdom.",71591,"{'maxAge': 1, 'name': 'Mr. Denis  Novozhenov', 'age': 48, 'title': 'VP & Head of the Urals Division', 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}",9,10,6,1,10,1693526400,1640908800,86400,2,80.89,0.0,0.0,0.0,80.89,0.0,0.0,0.0,0.76,0.93410003,1646870400,0.5261,0.890015,41.48205,0.77038103,0,0,0,0,0,0.0,0.0,0,0,1179934336,0.0,81.0,0.07659425,18.4518,12.43755,0.2,0.0024724936,GBp,4549538816,0.11762,473155182,1458690048,0.66484,0.10182,3.742,21.616781,1640908800,1672444800,1656547200,2228999936,1.95,1.05,0.295,0.823,LSE,EQUITY,EVR.L,EVR.L,EVRAZ PLC ORD USD0.05,EVRAZ plc,1320652800,Europe/London,BST,3600000,80.89,3.0,hold,849000000,0.582,5526000128,3945999872,0.755,1.359,15404999680,68.866,10.567,0.27673,0.63368,6032000000,109625000,2646000128,0.311,0.43726003,0.35871,0.32327,USD,
9,2 Portman Street,London,W1H 6DU,United Kingdom,https://www.evraz.com,Steel,Basic Materials,"EVRAZ plc, together with its subsidiaries, engages in the production and distribution of steel and related products in Russia, the Americas, Asia, Europe, CIS, Africa, and internationally. It operates through four segments: Steel; Steel, North America; Coal; and Other Operations. The company offers steel and value-added products, including infrastructure steel, rails, large-diameter pipes, and oil country tubular goods. It also extracts vanadium ores; processes and produces vanadium products; and mines and enriches iron ore and coal. In addition, the company engages in the energy-generating, shipping, and railway transportation businesses. It offers its products for use in infrastructure and construction projects; and rail, energy, and industrial end-user markets, as well as coke and steel producers. The company was formerly known as Project Savannah PLC and changed its name to EVRAZ plc in October 2011. EVRAZ plc was founded in 1992 and is based in London, the United Kingdom.",71591,"{'maxAge': 1, 'name': 'Mr. Alexey  Soldatenkov', 'age': 50, 'title': 'VP & Head of the Siberia Division', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",9,10,6,1,10,1693526400,1640908800,86400,2,80.89,0.0,0.0,0.0,80.89,0.0,0.0,0.0,0.76,0.93410003,1646870400,0.5261,0.890015,41.48205,0.77038103,0,0,0,0,0,0.0,0.0,0,0,1179934336,0.0,81.0,0.07659425,18.4518,12.43755,0.2,0.0024724936,GBp,4549538816,0.11762,473155182,1458690048,0.66484,0.10182,3.742,21.616781,1640908800,1672444800,1656547200,2228999936,1.95,1.05,0.295,0.823,LSE,EQUITY,EVR.L,EVR.L,EVRAZ PLC ORD USD0.05,EVRAZ plc,1320652800,Europe/London,BST,3600000,80.89,3.0,hold,849000000,0.582,5526000128,3945999872,0.755,1.359,15404999680,68.866,10.567,0.27673,0.63368,6032000000,109625000,2646000128,0.311,0.43726003,0.35871,0.32327,USD,
