,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,totalDebt,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,4300 Six Forks Road,Raleigh,NC,27609,United States,919 716 7000,https://www.firstcitizens.com,Banks—Regional,Financial Services,"First Citizens BancShares, Inc. operates as the holding company for First-Citizens Bank & Trust Company that provides retail and commercial banking services to individuals, businesses, and professionals. The company's deposit products include checking, savings, money market, and time deposit accounts. Its loan product portfolio comprises commercial construction and mortgage; and commercial and industrial leases, as well as small business administration paycheck protection program loans. In addition, the company offers consumer loans, such as residential and revolving mortgage, construction and land development, consumer auto, and other consumer loans. Further, it provides wealth management services, including annuities, discount brokerage services, and third-party mutual funds, as well as investment management and advisory services. The company provides its products and services through its branch network. First Citizens BancShares, Inc. was founded in 1898 and is headquartered in Raleigh, North Carolina.",10375,"{'maxAge': 1, 'name': 'Mr. Frank Brown Holding Jr.', 'age': 61, 'title': 'Chairman & CEO', 'yearBorn': 1961, 'fiscalYear': 2022, 'totalPay': 8031975, 'exercisedValue': 0, 'unexercisedValue': 0}",3,8,2,10,6,1693526400,1672444800,86400,2,1356.24,1342.95,1314.34,1342.95,1356.24,1342.95,1314.34,1342.95,3.0,0.0023,1693353600,0.0037,0.3,0.976832,1.7917879,7.2834086,196204,196204,75658,67420,67420,1287.95,1353.15,800,1000,18996293632,505.84,1512.07,3.6294029,1381.658,1041.5916,2.72,0.0020055447,USD,22596372480,2.05808,11036387,13514800,382642,444888,1690761600,1693440000,0.026400002,0.20068,0.66462,5.39,0.0385,1300.961,1.0129895,1672444800,1703980800,1688083200,1.675,10716999680,735.5,180.94,4.317,NMS,EQUITY,FCNCA,FCNCA,"First Citizens BancShares, Inc.","First Citizens BancShares, Inc.",530371800,America/New_York,EDT,-14400000,1317.86,1825.0,1675.0,1744.17,1750.0,2.0,buy,6,39819001856,2742.349,42398998528,5233999872,352.787,0.06792,0.70838,3999000000,2114000000,2.088,1.23,0.0,0.0,0.3183,USD,
1,4300 Six Forks Road,Raleigh,NC,27609,United States,919 716 7000,https://www.firstcitizens.com,Banks—Regional,Financial Services,"First Citizens BancShares, Inc. operates as the holding company for First-Citizens Bank & Trust Company that provides retail and commercial banking services to individuals, businesses, and professionals. The company's deposit products include checking, savings, money market, and time deposit accounts. Its loan product portfolio comprises commercial construction and mortgage; and commercial and industrial leases, as well as small business administration paycheck protection program loans. In addition, the company offers consumer loans, such as residential and revolving mortgage, construction and land development, consumer auto, and other consumer loans. Further, it provides wealth management services, including annuities, discount brokerage services, and third-party mutual funds, as well as investment management and advisory services. The company provides its products and services through its branch network. First Citizens BancShares, Inc. was founded in 1898 and is headquartered in Raleigh, North Carolina.",10375,"{'maxAge': 1, 'name': 'Ms. Hope Holding Bryant', 'age': 59, 'title': 'Vice Chairwoman', 'yearBorn': 1963, 'fiscalYear': 2022, 'totalPay': 4707788, 'exercisedValue': 0, 'unexercisedValue': 0}",3,8,2,10,6,1693526400,1672444800,86400,2,1356.24,1342.95,1314.34,1342.95,1356.24,1342.95,1314.34,1342.95,3.0,0.0023,1693353600,0.0037,0.3,0.976832,1.7917879,7.2834086,196204,196204,75658,67420,67420,1287.95,1353.15,800,1000,18996293632,505.84,1512.07,3.6294029,1381.658,1041.5916,2.72,0.0020055447,USD,22596372480,2.05808,11036387,13514800,382642,444888,1690761600,1693440000,0.026400002,0.20068,0.66462,5.39,0.0385,1300.961,1.0129895,1672444800,1703980800,1688083200,1.675,10716999680,735.5,180.94,4.317,NMS,EQUITY,FCNCA,FCNCA,"First Citizens BancShares, Inc.","First Citizens BancShares, Inc.",530371800,America/New_York,EDT,-14400000,1317.86,1825.0,1675.0,1744.17,1750.0,2.0,buy,6,39819001856,2742.349,42398998528,5233999872,352.787,0.06792,0.70838,3999000000,2114000000,2.088,1.23,0.0,0.0,0.3183,USD,
2,4300 Six Forks Road,Raleigh,NC,27609,United States,919 716 7000,https://www.firstcitizens.com,Banks—Regional,Financial Services,"First Citizens BancShares, Inc. operates as the holding company for First-Citizens Bank & Trust Company that provides retail and commercial banking services to individuals, businesses, and professionals. The company's deposit products include checking, savings, money market, and time deposit accounts. Its loan product portfolio comprises commercial construction and mortgage; and commercial and industrial leases, as well as small business administration paycheck protection program loans. In addition, the company offers consumer loans, such as residential and revolving mortgage, construction and land development, consumer auto, and other consumer loans. Further, it provides wealth management services, including annuities, discount brokerage services, and third-party mutual funds, as well as investment management and advisory services. The company provides its products and services through its branch network. First Citizens BancShares, Inc. was founded in 1898 and is headquartered in Raleigh, North Carolina.",10375,"{'maxAge': 1, 'name': 'Mr. Peter McDonald Bristow', 'age': 56, 'title': 'Pres & Director', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 4707788, 'exercisedValue': 0, 'unexercisedValue': 0}",3,8,2,10,6,1693526400,1672444800,86400,2,1356.24,1342.95,1314.34,1342.95,1356.24,1342.95,1314.34,1342.95,3.0,0.0023,1693353600,0.0037,0.3,0.976832,1.7917879,7.2834086,196204,196204,75658,67420,67420,1287.95,1353.15,800,1000,18996293632,505.84,1512.07,3.6294029,1381.658,1041.5916,2.72,0.0020055447,USD,22596372480,2.05808,11036387,13514800,382642,444888,1690761600,1693440000,0.026400002,0.20068,0.66462,5.39,0.0385,1300.961,1.0129895,1672444800,1703980800,1688083200,1.675,10716999680,735.5,180.94,4.317,NMS,EQUITY,FCNCA,FCNCA,"First Citizens BancShares, Inc.","First Citizens BancShares, Inc.",530371800,America/New_York,EDT,-14400000,1317.86,1825.0,1675.0,1744.17,1750.0,2.0,buy,6,39819001856,2742.349,42398998528,5233999872,352.787,0.06792,0.70838,3999000000,2114000000,2.088,1.23,0.0,0.0,0.3183,USD,
3,4300 Six Forks Road,Raleigh,NC,27609,United States,919 716 7000,https://www.firstcitizens.com,Banks—Regional,Financial Services,"First Citizens BancShares, Inc. operates as the holding company for First-Citizens Bank & Trust Company that provides retail and commercial banking services to individuals, businesses, and professionals. The company's deposit products include checking, savings, money market, and time deposit accounts. Its loan product portfolio comprises commercial construction and mortgage; and commercial and industrial leases, as well as small business administration paycheck protection program loans. In addition, the company offers consumer loans, such as residential and revolving mortgage, construction and land development, consumer auto, and other consumer loans. Further, it provides wealth management services, including annuities, discount brokerage services, and third-party mutual funds, as well as investment management and advisory services. The company provides its products and services through its branch network. First Citizens BancShares, Inc. was founded in 1898 and is headquartered in Raleigh, North Carolina.",10375,"{'maxAge': 1, 'name': 'Mr. Craig Lockwood Nix', 'age': 50, 'title': 'Chief Financial Officer', 'yearBorn': 1972, 'fiscalYear': 2022, 'totalPay': 3905288, 'exercisedValue': 0, 'unexercisedValue': 0}",3,8,2,10,6,1693526400,1672444800,86400,2,1356.24,1342.95,1314.34,1342.95,1356.24,1342.95,1314.34,1342.95,3.0,0.0023,1693353600,0.0037,0.3,0.976832,1.7917879,7.2834086,196204,196204,75658,67420,67420,1287.95,1353.15,800,1000,18996293632,505.84,1512.07,3.6294029,1381.658,1041.5916,2.72,0.0020055447,USD,22596372480,2.05808,11036387,13514800,382642,444888,1690761600,1693440000,0.026400002,0.20068,0.66462,5.39,0.0385,1300.961,1.0129895,1672444800,1703980800,1688083200,1.675,10716999680,735.5,180.94,4.317,NMS,EQUITY,FCNCA,FCNCA,"First Citizens BancShares, Inc.","First Citizens BancShares, Inc.",530371800,America/New_York,EDT,-14400000,1317.86,1825.0,1675.0,1744.17,1750.0,2.0,buy,6,39819001856,2742.349,42398998528,5233999872,352.787,0.06792,0.70838,3999000000,2114000000,2.088,1.23,0.0,0.0,0.3183,USD,
4,4300 Six Forks Road,Raleigh,NC,27609,United States,919 716 7000,https://www.firstcitizens.com,Banks—Regional,Financial Services,"First Citizens BancShares, Inc. operates as the holding company for First-Citizens Bank & Trust Company that provides retail and commercial banking services to individuals, businesses, and professionals. The company's deposit products include checking, savings, money market, and time deposit accounts. Its loan product portfolio comprises commercial construction and mortgage; and commercial and industrial leases, as well as small business administration paycheck protection program loans. In addition, the company offers consumer loans, such as residential and revolving mortgage, construction and land development, consumer auto, and other consumer loans. Further, it provides wealth management services, including annuities, discount brokerage services, and third-party mutual funds, as well as investment management and advisory services. The company provides its products and services through its branch network. First Citizens BancShares, Inc. was founded in 1898 and is headquartered in Raleigh, North Carolina.",10375,"{'maxAge': 1, 'name': 'Ms. Deanna W. Hart', 'age': 44, 'title': 'Sr. VP of Investor Relations', 'yearBorn': 1978, 'exercisedValue': 0, 'unexercisedValue': 0}",3,8,2,10,6,1693526400,1672444800,86400,2,1356.24,1342.95,1314.34,1342.95,1356.24,1342.95,1314.34,1342.95,3.0,0.0023,1693353600,0.0037,0.3,0.976832,1.7917879,7.2834086,196204,196204,75658,67420,67420,1287.95,1353.15,800,1000,18996293632,505.84,1512.07,3.6294029,1381.658,1041.5916,2.72,0.0020055447,USD,22596372480,2.05808,11036387,13514800,382642,444888,1690761600,1693440000,0.026400002,0.20068,0.66462,5.39,0.0385,1300.961,1.0129895,1672444800,1703980800,1688083200,1.675,10716999680,735.5,180.94,4.317,NMS,EQUITY,FCNCA,FCNCA,"First Citizens BancShares, Inc.","First Citizens BancShares, Inc.",530371800,America/New_York,EDT,-14400000,1317.86,1825.0,1675.0,1744.17,1750.0,2.0,buy,6,39819001856,2742.349,42398998528,5233999872,352.787,0.06792,0.70838,3999000000,2114000000,2.088,1.23,0.0,0.0,0.3183,USD,
5,4300 Six Forks Road,Raleigh,NC,27609,United States,919 716 7000,https://www.firstcitizens.com,Banks—Regional,Financial Services,"First Citizens BancShares, Inc. operates as the holding company for First-Citizens Bank & Trust Company that provides retail and commercial banking services to individuals, businesses, and professionals. The company's deposit products include checking, savings, money market, and time deposit accounts. Its loan product portfolio comprises commercial construction and mortgage; and commercial and industrial leases, as well as small business administration paycheck protection program loans. In addition, the company offers consumer loans, such as residential and revolving mortgage, construction and land development, consumer auto, and other consumer loans. Further, it provides wealth management services, including annuities, discount brokerage services, and third-party mutual funds, as well as investment management and advisory services. The company provides its products and services through its branch network. First Citizens BancShares, Inc. was founded in 1898 and is headquartered in Raleigh, North Carolina.",10375,"{'maxAge': 1, 'name': 'Mr. Matthew G. T. Martin', 'title': 'Chief Counsel & Corp. Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",3,8,2,10,6,1693526400,1672444800,86400,2,1356.24,1342.95,1314.34,1342.95,1356.24,1342.95,1314.34,1342.95,3.0,0.0023,1693353600,0.0037,0.3,0.976832,1.7917879,7.2834086,196204,196204,75658,67420,67420,1287.95,1353.15,800,1000,18996293632,505.84,1512.07,3.6294029,1381.658,1041.5916,2.72,0.0020055447,USD,22596372480,2.05808,11036387,13514800,382642,444888,1690761600,1693440000,0.026400002,0.20068,0.66462,5.39,0.0385,1300.961,1.0129895,1672444800,1703980800,1688083200,1.675,10716999680,735.5,180.94,4.317,NMS,EQUITY,FCNCA,FCNCA,"First Citizens BancShares, Inc.","First Citizens BancShares, Inc.",530371800,America/New_York,EDT,-14400000,1317.86,1825.0,1675.0,1744.17,1750.0,2.0,buy,6,39819001856,2742.349,42398998528,5233999872,352.787,0.06792,0.70838,3999000000,2114000000,2.088,1.23,0.0,0.0,0.3183,USD,
6,4300 Six Forks Road,Raleigh,NC,27609,United States,919 716 7000,https://www.firstcitizens.com,Banks—Regional,Financial Services,"First Citizens BancShares, Inc. operates as the holding company for First-Citizens Bank & Trust Company that provides retail and commercial banking services to individuals, businesses, and professionals. The company's deposit products include checking, savings, money market, and time deposit accounts. Its loan product portfolio comprises commercial construction and mortgage; and commercial and industrial leases, as well as small business administration paycheck protection program loans. In addition, the company offers consumer loans, such as residential and revolving mortgage, construction and land development, consumer auto, and other consumer loans. Further, it provides wealth management services, including annuities, discount brokerage services, and third-party mutual funds, as well as investment management and advisory services. The company provides its products and services through its branch network. First Citizens BancShares, Inc. was founded in 1898 and is headquartered in Raleigh, North Carolina.",10375,"{'maxAge': 1, 'name': 'Ms. Barbara  Thompson', 'title': 'Director of Corp. Communications & Brand Marketing', 'exercisedValue': 0, 'unexercisedValue': 0}",3,8,2,10,6,1693526400,1672444800,86400,2,1356.24,1342.95,1314.34,1342.95,1356.24,1342.95,1314.34,1342.95,3.0,0.0023,1693353600,0.0037,0.3,0.976832,1.7917879,7.2834086,196204,196204,75658,67420,67420,1287.95,1353.15,800,1000,18996293632,505.84,1512.07,3.6294029,1381.658,1041.5916,2.72,0.0020055447,USD,22596372480,2.05808,11036387,13514800,382642,444888,1690761600,1693440000,0.026400002,0.20068,0.66462,5.39,0.0385,1300.961,1.0129895,1672444800,1703980800,1688083200,1.675,10716999680,735.5,180.94,4.317,NMS,EQUITY,FCNCA,FCNCA,"First Citizens BancShares, Inc.","First Citizens BancShares, Inc.",530371800,America/New_York,EDT,-14400000,1317.86,1825.0,1675.0,1744.17,1750.0,2.0,buy,6,39819001856,2742.349,42398998528,5233999872,352.787,0.06792,0.70838,3999000000,2114000000,2.088,1.23,0.0,0.0,0.3183,USD,
7,4300 Six Forks Road,Raleigh,NC,27609,United States,919 716 7000,https://www.firstcitizens.com,Banks—Regional,Financial Services,"First Citizens BancShares, Inc. operates as the holding company for First-Citizens Bank & Trust Company that provides retail and commercial banking services to individuals, businesses, and professionals. The company's deposit products include checking, savings, money market, and time deposit accounts. Its loan product portfolio comprises commercial construction and mortgage; and commercial and industrial leases, as well as small business administration paycheck protection program loans. In addition, the company offers consumer loans, such as residential and revolving mortgage, construction and land development, consumer auto, and other consumer loans. Further, it provides wealth management services, including annuities, discount brokerage services, and third-party mutual funds, as well as investment management and advisory services. The company provides its products and services through its branch network. First Citizens BancShares, Inc. was founded in 1898 and is headquartered in Raleigh, North Carolina.",10375,"{'maxAge': 1, 'name': 'Mr. West  Ludwig', 'age': 53, 'title': 'Exec. VP & Chief HR Officer', 'yearBorn': 1969, 'exercisedValue': 0, 'unexercisedValue': 0}",3,8,2,10,6,1693526400,1672444800,86400,2,1356.24,1342.95,1314.34,1342.95,1356.24,1342.95,1314.34,1342.95,3.0,0.0023,1693353600,0.0037,0.3,0.976832,1.7917879,7.2834086,196204,196204,75658,67420,67420,1287.95,1353.15,800,1000,18996293632,505.84,1512.07,3.6294029,1381.658,1041.5916,2.72,0.0020055447,USD,22596372480,2.05808,11036387,13514800,382642,444888,1690761600,1693440000,0.026400002,0.20068,0.66462,5.39,0.0385,1300.961,1.0129895,1672444800,1703980800,1688083200,1.675,10716999680,735.5,180.94,4.317,NMS,EQUITY,FCNCA,FCNCA,"First Citizens BancShares, Inc.","First Citizens BancShares, Inc.",530371800,America/New_York,EDT,-14400000,1317.86,1825.0,1675.0,1744.17,1750.0,2.0,buy,6,39819001856,2742.349,42398998528,5233999872,352.787,0.06792,0.70838,3999000000,2114000000,2.088,1.23,0.0,0.0,0.3183,USD,
8,4300 Six Forks Road,Raleigh,NC,27609,United States,919 716 7000,https://www.firstcitizens.com,Banks—Regional,Financial Services,"First Citizens BancShares, Inc. operates as the holding company for First-Citizens Bank & Trust Company that provides retail and commercial banking services to individuals, businesses, and professionals. The company's deposit products include checking, savings, money market, and time deposit accounts. Its loan product portfolio comprises commercial construction and mortgage; and commercial and industrial leases, as well as small business administration paycheck protection program loans. In addition, the company offers consumer loans, such as residential and revolving mortgage, construction and land development, consumer auto, and other consumer loans. Further, it provides wealth management services, including annuities, discount brokerage services, and third-party mutual funds, as well as investment management and advisory services. The company provides its products and services through its branch network. First Citizens BancShares, Inc. was founded in 1898 and is headquartered in Raleigh, North Carolina.",10375,"{'maxAge': 1, 'name': 'Mr. Jeffery L. Ward', 'age': 61, 'title': 'Chief Strategy Officer', 'yearBorn': 1961, 'fiscalYear': 2020, 'exercisedValue': 0, 'unexercisedValue': 0}",3,8,2,10,6,1693526400,1672444800,86400,2,1356.24,1342.95,1314.34,1342.95,1356.24,1342.95,1314.34,1342.95,3.0,0.0023,1693353600,0.0037,0.3,0.976832,1.7917879,7.2834086,196204,196204,75658,67420,67420,1287.95,1353.15,800,1000,18996293632,505.84,1512.07,3.6294029,1381.658,1041.5916,2.72,0.0020055447,USD,22596372480,2.05808,11036387,13514800,382642,444888,1690761600,1693440000,0.026400002,0.20068,0.66462,5.39,0.0385,1300.961,1.0129895,1672444800,1703980800,1688083200,1.675,10716999680,735.5,180.94,4.317,NMS,EQUITY,FCNCA,FCNCA,"First Citizens BancShares, Inc.","First Citizens BancShares, Inc.",530371800,America/New_York,EDT,-14400000,1317.86,1825.0,1675.0,1744.17,1750.0,2.0,buy,6,39819001856,2742.349,42398998528,5233999872,352.787,0.06792,0.70838,3999000000,2114000000,2.088,1.23,0.0,0.0,0.3183,USD,
9,4300 Six Forks Road,Raleigh,NC,27609,United States,919 716 7000,https://www.firstcitizens.com,Banks—Regional,Financial Services,"First Citizens BancShares, Inc. operates as the holding company for First-Citizens Bank & Trust Company that provides retail and commercial banking services to individuals, businesses, and professionals. The company's deposit products include checking, savings, money market, and time deposit accounts. Its loan product portfolio comprises commercial construction and mortgage; and commercial and industrial leases, as well as small business administration paycheck protection program loans. In addition, the company offers consumer loans, such as residential and revolving mortgage, construction and land development, consumer auto, and other consumer loans. Further, it provides wealth management services, including annuities, discount brokerage services, and third-party mutual funds, as well as investment management and advisory services. The company provides its products and services through its branch network. First Citizens BancShares, Inc. was founded in 1898 and is headquartered in Raleigh, North Carolina.",10375,"{'maxAge': 1, 'name': 'Ms. Lorie King Rupp', 'age': 57, 'title': 'Chief Risk Officer', 'yearBorn': 1965, 'fiscalYear': 2021, 'exercisedValue': 0, 'unexercisedValue': 0}",3,8,2,10,6,1693526400,1672444800,86400,2,1356.24,1342.95,1314.34,1342.95,1356.24,1342.95,1314.34,1342.95,3.0,0.0023,1693353600,0.0037,0.3,0.976832,1.7917879,7.2834086,196204,196204,75658,67420,67420,1287.95,1353.15,800,1000,18996293632,505.84,1512.07,3.6294029,1381.658,1041.5916,2.72,0.0020055447,USD,22596372480,2.05808,11036387,13514800,382642,444888,1690761600,1693440000,0.026400002,0.20068,0.66462,5.39,0.0385,1300.961,1.0129895,1672444800,1703980800,1688083200,1.675,10716999680,735.5,180.94,4.317,NMS,EQUITY,FCNCA,FCNCA,"First Citizens BancShares, Inc.","First Citizens BancShares, Inc.",530371800,America/New_York,EDT,-14400000,1317.86,1825.0,1675.0,1744.17,1750.0,2.0,buy,6,39819001856,2742.349,42398998528,5233999872,352.787,0.06792,0.70838,3999000000,2114000000,2.088,1.23,0.0,0.0,0.3183,USD,
