,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"4370 Peachtree Road, NE",Suite 400,Atlanta,GA,30319,United States,404 504 9828,https://www.gray.tv,Broadcasting,Communication Services,"Gray Television, Inc., a television broadcasting company, owns and/or operates television stations and digital assets in the United States. It also broadcasts secondary digital channels affiliated to ABC, CBS, NBC, and FOX, as well as various other networks and program services, including CW Plus Network, MY Network, the MeTV Network, Circle, Antenna TV, Telemundo, and Cozi; and local news/weather channels in various markets. In addition, the company offers video program production services. It owns and operates television stations and digital assets that serve television markets in the United States. The company was formerly known as Gray Communications Systems, Inc. and changed its name to Gray Television, Inc. in August 2002. Gray Television, Inc. was founded in 1891 and is headquartered in Atlanta, Georgia.",8942,"{'maxAge': 1, 'name': 'Mr. Hilton Hatchett Howell Jr.', 'age': 60, 'title': 'Exec. Chairman & CEO', 'yearBorn': 1962, 'fiscalYear': 2022, 'totalPay': 3534871, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,4,10,8,1693526400,1672444800,86400,2,6.9,7.45,7.45,7.45,6.9,7.45,7.45,7.45,0.3,0.0432,1694649600,0.1385,1.613762,3.4331796,2.2305388,500,500,10,0,0,7.1,7.2,100000,100000,681707072,6.05,18.6,0.18962644,7.692,8.70325,0.32,0.04637681,EUR,7598607872,0.07427,81414759,87263800,0.04536,0.89491,22.222,0.33525333,1672444800,1703980800,1688083200,-0.96,215000000,2.17,3.34,0.37,2.114,6.483,FRA,EQUITY,GCZB.F,GCZB.F,GRAY TELEVISION  DL-01,"Gray Television, Inc.",1305525600,Europe/Berlin,CEST,7200000,7.45,32.0,25.0,29.14,30.0,1.4,strong_buy,7,36000000,0.388,1172000000,6294000128,1.081,1.434,3595000064,232.251,39.29,0.04753,0.10273,1434000000,495875008,958000000,-0.063,0.35438,0.32601002,0.23199,USD,0.2052
1,"4370 Peachtree Road, NE",Suite 400,Atlanta,GA,30319,United States,404 504 9828,https://www.gray.tv,Broadcasting,Communication Services,"Gray Television, Inc., a television broadcasting company, owns and/or operates television stations and digital assets in the United States. It also broadcasts secondary digital channels affiliated to ABC, CBS, NBC, and FOX, as well as various other networks and program services, including CW Plus Network, MY Network, the MeTV Network, Circle, Antenna TV, Telemundo, and Cozi; and local news/weather channels in various markets. In addition, the company offers video program production services. It owns and operates television stations and digital assets that serve television markets in the United States. The company was formerly known as Gray Communications Systems, Inc. and changed its name to Gray Television, Inc. in August 2002. Gray Television, Inc. was founded in 1891 and is headquartered in Atlanta, Georgia.",8942,"{'maxAge': 1, 'name': 'Mr. Donald Patrick LaPlatney', 'age': 62, 'title': 'Pres, Co-CEO & Director', 'yearBorn': 1960, 'fiscalYear': 2022, 'totalPay': 2856092, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,4,10,8,1693526400,1672444800,86400,2,6.9,7.45,7.45,7.45,6.9,7.45,7.45,7.45,0.3,0.0432,1694649600,0.1385,1.613762,3.4331796,2.2305388,500,500,10,0,0,7.1,7.2,100000,100000,681707072,6.05,18.6,0.18962644,7.692,8.70325,0.32,0.04637681,EUR,7598607872,0.07427,81414759,87263800,0.04536,0.89491,22.222,0.33525333,1672444800,1703980800,1688083200,-0.96,215000000,2.17,3.34,0.37,2.114,6.483,FRA,EQUITY,GCZB.F,GCZB.F,GRAY TELEVISION  DL-01,"Gray Television, Inc.",1305525600,Europe/Berlin,CEST,7200000,7.45,32.0,25.0,29.14,30.0,1.4,strong_buy,7,36000000,0.388,1172000000,6294000128,1.081,1.434,3595000064,232.251,39.29,0.04753,0.10273,1434000000,495875008,958000000,-0.063,0.35438,0.32601002,0.23199,USD,0.2052
2,"4370 Peachtree Road, NE",Suite 400,Atlanta,GA,30319,United States,404 504 9828,https://www.gray.tv,Broadcasting,Communication Services,"Gray Television, Inc., a television broadcasting company, owns and/or operates television stations and digital assets in the United States. It also broadcasts secondary digital channels affiliated to ABC, CBS, NBC, and FOX, as well as various other networks and program services, including CW Plus Network, MY Network, the MeTV Network, Circle, Antenna TV, Telemundo, and Cozi; and local news/weather channels in various markets. In addition, the company offers video program production services. It owns and operates television stations and digital assets that serve television markets in the United States. The company was formerly known as Gray Communications Systems, Inc. and changed its name to Gray Television, Inc. in August 2002. Gray Television, Inc. was founded in 1891 and is headquartered in Atlanta, Georgia.",8942,"{'maxAge': 1, 'name': 'Mr. James C. Ryan', 'age': 61, 'title': 'Exec. VP & CFO', 'yearBorn': 1961, 'fiscalYear': 2022, 'totalPay': 2023793, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,4,10,8,1693526400,1672444800,86400,2,6.9,7.45,7.45,7.45,6.9,7.45,7.45,7.45,0.3,0.0432,1694649600,0.1385,1.613762,3.4331796,2.2305388,500,500,10,0,0,7.1,7.2,100000,100000,681707072,6.05,18.6,0.18962644,7.692,8.70325,0.32,0.04637681,EUR,7598607872,0.07427,81414759,87263800,0.04536,0.89491,22.222,0.33525333,1672444800,1703980800,1688083200,-0.96,215000000,2.17,3.34,0.37,2.114,6.483,FRA,EQUITY,GCZB.F,GCZB.F,GRAY TELEVISION  DL-01,"Gray Television, Inc.",1305525600,Europe/Berlin,CEST,7200000,7.45,32.0,25.0,29.14,30.0,1.4,strong_buy,7,36000000,0.388,1172000000,6294000128,1.081,1.434,3595000064,232.251,39.29,0.04753,0.10273,1434000000,495875008,958000000,-0.063,0.35438,0.32601002,0.23199,USD,0.2052
3,"4370 Peachtree Road, NE",Suite 400,Atlanta,GA,30319,United States,404 504 9828,https://www.gray.tv,Broadcasting,Communication Services,"Gray Television, Inc., a television broadcasting company, owns and/or operates television stations and digital assets in the United States. It also broadcasts secondary digital channels affiliated to ABC, CBS, NBC, and FOX, as well as various other networks and program services, including CW Plus Network, MY Network, the MeTV Network, Circle, Antenna TV, Telemundo, and Cozi; and local news/weather channels in various markets. In addition, the company offers video program production services. It owns and operates television stations and digital assets that serve television markets in the United States. The company was formerly known as Gray Communications Systems, Inc. and changed its name to Gray Television, Inc. in August 2002. Gray Television, Inc. was founded in 1891 and is headquartered in Atlanta, Georgia.",8942,"{'maxAge': 1, 'name': 'Mr. Kevin P. Latek', 'age': 51, 'title': 'Exec. VP, Chief Legal & Devel. Officer and Sec.', 'yearBorn': 1971, 'fiscalYear': 2022, 'totalPay': 1991349, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,4,10,8,1693526400,1672444800,86400,2,6.9,7.45,7.45,7.45,6.9,7.45,7.45,7.45,0.3,0.0432,1694649600,0.1385,1.613762,3.4331796,2.2305388,500,500,10,0,0,7.1,7.2,100000,100000,681707072,6.05,18.6,0.18962644,7.692,8.70325,0.32,0.04637681,EUR,7598607872,0.07427,81414759,87263800,0.04536,0.89491,22.222,0.33525333,1672444800,1703980800,1688083200,-0.96,215000000,2.17,3.34,0.37,2.114,6.483,FRA,EQUITY,GCZB.F,GCZB.F,GRAY TELEVISION  DL-01,"Gray Television, Inc.",1305525600,Europe/Berlin,CEST,7200000,7.45,32.0,25.0,29.14,30.0,1.4,strong_buy,7,36000000,0.388,1172000000,6294000128,1.081,1.434,3595000064,232.251,39.29,0.04753,0.10273,1434000000,495875008,958000000,-0.063,0.35438,0.32601002,0.23199,USD,0.2052
4,"4370 Peachtree Road, NE",Suite 400,Atlanta,GA,30319,United States,404 504 9828,https://www.gray.tv,Broadcasting,Communication Services,"Gray Television, Inc., a television broadcasting company, owns and/or operates television stations and digital assets in the United States. It also broadcasts secondary digital channels affiliated to ABC, CBS, NBC, and FOX, as well as various other networks and program services, including CW Plus Network, MY Network, the MeTV Network, Circle, Antenna TV, Telemundo, and Cozi; and local news/weather channels in various markets. In addition, the company offers video program production services. It owns and operates television stations and digital assets that serve television markets in the United States. The company was formerly known as Gray Communications Systems, Inc. and changed its name to Gray Television, Inc. in August 2002. Gray Television, Inc. was founded in 1891 and is headquartered in Atlanta, Georgia.",8942,"{'maxAge': 1, 'name': 'Ms. McNamara Sandra Breland', 'title': 'Exec. VP & COO', 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,4,10,8,1693526400,1672444800,86400,2,6.9,7.45,7.45,7.45,6.9,7.45,7.45,7.45,0.3,0.0432,1694649600,0.1385,1.613762,3.4331796,2.2305388,500,500,10,0,0,7.1,7.2,100000,100000,681707072,6.05,18.6,0.18962644,7.692,8.70325,0.32,0.04637681,EUR,7598607872,0.07427,81414759,87263800,0.04536,0.89491,22.222,0.33525333,1672444800,1703980800,1688083200,-0.96,215000000,2.17,3.34,0.37,2.114,6.483,FRA,EQUITY,GCZB.F,GCZB.F,GRAY TELEVISION  DL-01,"Gray Television, Inc.",1305525600,Europe/Berlin,CEST,7200000,7.45,32.0,25.0,29.14,30.0,1.4,strong_buy,7,36000000,0.388,1172000000,6294000128,1.081,1.434,3595000064,232.251,39.29,0.04753,0.10273,1434000000,495875008,958000000,-0.063,0.35438,0.32601002,0.23199,USD,0.2052
5,"4370 Peachtree Road, NE",Suite 400,Atlanta,GA,30319,United States,404 504 9828,https://www.gray.tv,Broadcasting,Communication Services,"Gray Television, Inc., a television broadcasting company, owns and/or operates television stations and digital assets in the United States. It also broadcasts secondary digital channels affiliated to ABC, CBS, NBC, and FOX, as well as various other networks and program services, including CW Plus Network, MY Network, the MeTV Network, Circle, Antenna TV, Telemundo, and Cozi; and local news/weather channels in various markets. In addition, the company offers video program production services. It owns and operates television stations and digital assets that serve television markets in the United States. The company was formerly known as Gray Communications Systems, Inc. and changed its name to Gray Television, Inc. in August 2002. Gray Television, Inc. was founded in 1891 and is headquartered in Atlanta, Georgia.",8942,"{'maxAge': 1, 'name': 'Mr. Jackson S. Cowart IV', 'title': 'Sr. VP & Chief Accounting Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,4,10,8,1693526400,1672444800,86400,2,6.9,7.45,7.45,7.45,6.9,7.45,7.45,7.45,0.3,0.0432,1694649600,0.1385,1.613762,3.4331796,2.2305388,500,500,10,0,0,7.1,7.2,100000,100000,681707072,6.05,18.6,0.18962644,7.692,8.70325,0.32,0.04637681,EUR,7598607872,0.07427,81414759,87263800,0.04536,0.89491,22.222,0.33525333,1672444800,1703980800,1688083200,-0.96,215000000,2.17,3.34,0.37,2.114,6.483,FRA,EQUITY,GCZB.F,GCZB.F,GRAY TELEVISION  DL-01,"Gray Television, Inc.",1305525600,Europe/Berlin,CEST,7200000,7.45,32.0,25.0,29.14,30.0,1.4,strong_buy,7,36000000,0.388,1172000000,6294000128,1.081,1.434,3595000064,232.251,39.29,0.04753,0.10273,1434000000,495875008,958000000,-0.063,0.35438,0.32601002,0.23199,USD,0.2052
6,"4370 Peachtree Road, NE",Suite 400,Atlanta,GA,30319,United States,404 504 9828,https://www.gray.tv,Broadcasting,Communication Services,"Gray Television, Inc., a television broadcasting company, owns and/or operates television stations and digital assets in the United States. It also broadcasts secondary digital channels affiliated to ABC, CBS, NBC, and FOX, as well as various other networks and program services, including CW Plus Network, MY Network, the MeTV Network, Circle, Antenna TV, Telemundo, and Cozi; and local news/weather channels in various markets. In addition, the company offers video program production services. It owns and operates television stations and digital assets that serve television markets in the United States. The company was formerly known as Gray Communications Systems, Inc. and changed its name to Gray Television, Inc. in August 2002. Gray Television, Inc. was founded in 1891 and is headquartered in Atlanta, Georgia.",8942,"{'maxAge': 1, 'name': 'Mr. David  Burke', 'title': 'Sr. VP & Chief Technology Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,4,10,8,1693526400,1672444800,86400,2,6.9,7.45,7.45,7.45,6.9,7.45,7.45,7.45,0.3,0.0432,1694649600,0.1385,1.613762,3.4331796,2.2305388,500,500,10,0,0,7.1,7.2,100000,100000,681707072,6.05,18.6,0.18962644,7.692,8.70325,0.32,0.04637681,EUR,7598607872,0.07427,81414759,87263800,0.04536,0.89491,22.222,0.33525333,1672444800,1703980800,1688083200,-0.96,215000000,2.17,3.34,0.37,2.114,6.483,FRA,EQUITY,GCZB.F,GCZB.F,GRAY TELEVISION  DL-01,"Gray Television, Inc.",1305525600,Europe/Berlin,CEST,7200000,7.45,32.0,25.0,29.14,30.0,1.4,strong_buy,7,36000000,0.388,1172000000,6294000128,1.081,1.434,3595000064,232.251,39.29,0.04753,0.10273,1434000000,495875008,958000000,-0.063,0.35438,0.32601002,0.23199,USD,0.2052
7,"4370 Peachtree Road, NE",Suite 400,Atlanta,GA,30319,United States,404 504 9828,https://www.gray.tv,Broadcasting,Communication Services,"Gray Television, Inc., a television broadcasting company, owns and/or operates television stations and digital assets in the United States. It also broadcasts secondary digital channels affiliated to ABC, CBS, NBC, and FOX, as well as various other networks and program services, including CW Plus Network, MY Network, the MeTV Network, Circle, Antenna TV, Telemundo, and Cozi; and local news/weather channels in various markets. In addition, the company offers video program production services. It owns and operates television stations and digital assets that serve television markets in the United States. The company was formerly known as Gray Communications Systems, Inc. and changed its name to Gray Television, Inc. in August 2002. Gray Television, Inc. was founded in 1891 and is headquartered in Atlanta, Georgia.",8942,"{'maxAge': 1, 'name': 'Ms. Charlie  Effinger', 'title': 'VP of Corp. Devel.', 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,4,10,8,1693526400,1672444800,86400,2,6.9,7.45,7.45,7.45,6.9,7.45,7.45,7.45,0.3,0.0432,1694649600,0.1385,1.613762,3.4331796,2.2305388,500,500,10,0,0,7.1,7.2,100000,100000,681707072,6.05,18.6,0.18962644,7.692,8.70325,0.32,0.04637681,EUR,7598607872,0.07427,81414759,87263800,0.04536,0.89491,22.222,0.33525333,1672444800,1703980800,1688083200,-0.96,215000000,2.17,3.34,0.37,2.114,6.483,FRA,EQUITY,GCZB.F,GCZB.F,GRAY TELEVISION  DL-01,"Gray Television, Inc.",1305525600,Europe/Berlin,CEST,7200000,7.45,32.0,25.0,29.14,30.0,1.4,strong_buy,7,36000000,0.388,1172000000,6294000128,1.081,1.434,3595000064,232.251,39.29,0.04753,0.10273,1434000000,495875008,958000000,-0.063,0.35438,0.32601002,0.23199,USD,0.2052
8,"4370 Peachtree Road, NE",Suite 400,Atlanta,GA,30319,United States,404 504 9828,https://www.gray.tv,Broadcasting,Communication Services,"Gray Television, Inc., a television broadcasting company, owns and/or operates television stations and digital assets in the United States. It also broadcasts secondary digital channels affiliated to ABC, CBS, NBC, and FOX, as well as various other networks and program services, including CW Plus Network, MY Network, the MeTV Network, Circle, Antenna TV, Telemundo, and Cozi; and local news/weather channels in various markets. In addition, the company offers video program production services. It owns and operates television stations and digital assets that serve television markets in the United States. The company was formerly known as Gray Communications Systems, Inc. and changed its name to Gray Television, Inc. in August 2002. Gray Television, Inc. was founded in 1891 and is headquartered in Atlanta, Georgia.",8942,"{'maxAge': 1, 'name': 'Mr. Mike  King', 'title': 'Sr. Managing VP & Chief Marketing Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,4,10,8,1693526400,1672444800,86400,2,6.9,7.45,7.45,7.45,6.9,7.45,7.45,7.45,0.3,0.0432,1694649600,0.1385,1.613762,3.4331796,2.2305388,500,500,10,0,0,7.1,7.2,100000,100000,681707072,6.05,18.6,0.18962644,7.692,8.70325,0.32,0.04637681,EUR,7598607872,0.07427,81414759,87263800,0.04536,0.89491,22.222,0.33525333,1672444800,1703980800,1688083200,-0.96,215000000,2.17,3.34,0.37,2.114,6.483,FRA,EQUITY,GCZB.F,GCZB.F,GRAY TELEVISION  DL-01,"Gray Television, Inc.",1305525600,Europe/Berlin,CEST,7200000,7.45,32.0,25.0,29.14,30.0,1.4,strong_buy,7,36000000,0.388,1172000000,6294000128,1.081,1.434,3595000064,232.251,39.29,0.04753,0.10273,1434000000,495875008,958000000,-0.063,0.35438,0.32601002,0.23199,USD,0.2052
9,"4370 Peachtree Road, NE",Suite 400,Atlanta,GA,30319,United States,404 504 9828,https://www.gray.tv,Broadcasting,Communication Services,"Gray Television, Inc., a television broadcasting company, owns and/or operates television stations and digital assets in the United States. It also broadcasts secondary digital channels affiliated to ABC, CBS, NBC, and FOX, as well as various other networks and program services, including CW Plus Network, MY Network, the MeTV Network, Circle, Antenna TV, Telemundo, and Cozi; and local news/weather channels in various markets. In addition, the company offers video program production services. It owns and operates television stations and digital assets that serve television markets in the United States. The company was formerly known as Gray Communications Systems, Inc. and changed its name to Gray Television, Inc. in August 2002. Gray Television, Inc. was founded in 1891 and is headquartered in Atlanta, Georgia.",8942,"{'maxAge': 1, 'name': 'Mr. Garrett  Pope', 'title': 'Sr. VP of Sales Operations', 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,4,10,8,1693526400,1672444800,86400,2,6.9,7.45,7.45,7.45,6.9,7.45,7.45,7.45,0.3,0.0432,1694649600,0.1385,1.613762,3.4331796,2.2305388,500,500,10,0,0,7.1,7.2,100000,100000,681707072,6.05,18.6,0.18962644,7.692,8.70325,0.32,0.04637681,EUR,7598607872,0.07427,81414759,87263800,0.04536,0.89491,22.222,0.33525333,1672444800,1703980800,1688083200,-0.96,215000000,2.17,3.34,0.37,2.114,6.483,FRA,EQUITY,GCZB.F,GCZB.F,GRAY TELEVISION  DL-01,"Gray Television, Inc.",1305525600,Europe/Berlin,CEST,7200000,7.45,32.0,25.0,29.14,30.0,1.4,strong_buy,7,36000000,0.388,1172000000,6294000128,1.081,1.434,3595000064,232.251,39.29,0.04753,0.10273,1434000000,495875008,958000000,-0.063,0.35438,0.32601002,0.23199,USD,0.2052
