,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,88-11th Avenue Northeast,Minneapolis,MN,55413,United States,612 623 6000,https://www.graco.com,Specialty Industrial Machinery,Industrials,"Graco Inc. designs, manufactures, and markets systems and equipment used to move, measure, control, dispense, and spray fluid and powder materials worldwide. The company's Industrial segment offers proportioning systems to spray polyurethane foam and polyurea coatings; equipment that pumps, meters, mixes and dispenses sealant, adhesive, and composite materials; and gel-coat equipment, chop and wet-out systems, resin transfer molding systems and applicators, and precision dispensing solutions. It also provides liquid finishing equipment; paint circulating and supply pumps; paint circulating advanced control systems; plural component coating proportioners; spare parts and accessories; and powder finishing products to coat powder finishing on metals under the Gema and SAT brands. The company's Process segment offers pumps to move and dispense chemicals, water, wastewater, petroleum, food, lubricants, and other fluids; pressure valves used in the oil and natural gas industry, other industrial processes, and research facilities; and chemical injection pumping solutions for injection of chemicals into producing oil wells and pipelines. It also supplies pumps, hose reels, meters, valves, and accessories for fast oil change facilities, service garages, fleet service centers, automobile dealerships, auto parts stores, truck builders, and heavy equipment service centers; and systems, components, and accessories for the automatic lubrication of bearings, gears, and generators in industrial and commercial equipment, compressors, turbines, and on- and off-road vehicles. The company's Contractor segment offers sprayers to apply paint to walls and other structures; and viscous coatings to roofs, as well as markings on roads, parking lots, athletic fields, and floors. It sells its products through distributors, original equipment manufacturers, and home center channels; and directly to end-users. The company was incorporated in 1926 and is headquartered in Minneapolis, Minnesota.",4000,"{'maxAge': 1, 'name': 'Mr. Mark W. Sheahan', 'age': 58, 'title': 'Pres, CEO & Director', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 1726197, 'exercisedValue': 0, 'unexercisedValue': 10474984}",6,3,3,2,2,1693526400,1672444800,86400,2,75.21,74.86,74.47,75.33,75.21,74.86,74.47,75.33,0.94,0.0125,1689292800,0.3038,1.18,0.800484,25.682592,23.888887,1059243,1059243,681367,623210,623210,74.98,75.78,800,900,12716722176,58.18,87.94,5.8067784,79.7636,74.61985,0.915,0.012165936,USD,12342882304,0.23099001,167083160,168992992,1548569,1739963,1690761600,1693440000,0.0092,0.00837,0.89303,2.94,0.0093,12.524,6.008464,1672358400,1703894400,1688083200,0.144,505857984,2.93,3.15,2.42,3:1,1514419200,5.636,18.232,NYQ,EQUITY,GGG,GGG,Graco Inc.,Graco Inc.,322151400,America/New_York,EDT,-14400000,75.25,95.0,75.0,86.29,85.0,2.6,hold,7,520632992,3.081,676976000,153568000,1.812,2.882,2189978880,7.256,13.005,0.14826,0.26118,1057439000,240291744,524732000,0.147,0.02,0.50706,0.30912,0.27686,USD,2.3909
1,88-11th Avenue Northeast,Minneapolis,MN,55413,United States,612 623 6000,https://www.graco.com,Specialty Industrial Machinery,Industrials,"Graco Inc. designs, manufactures, and markets systems and equipment used to move, measure, control, dispense, and spray fluid and powder materials worldwide. The company's Industrial segment offers proportioning systems to spray polyurethane foam and polyurea coatings; equipment that pumps, meters, mixes and dispenses sealant, adhesive, and composite materials; and gel-coat equipment, chop and wet-out systems, resin transfer molding systems and applicators, and precision dispensing solutions. It also provides liquid finishing equipment; paint circulating and supply pumps; paint circulating advanced control systems; plural component coating proportioners; spare parts and accessories; and powder finishing products to coat powder finishing on metals under the Gema and SAT brands. The company's Process segment offers pumps to move and dispense chemicals, water, wastewater, petroleum, food, lubricants, and other fluids; pressure valves used in the oil and natural gas industry, other industrial processes, and research facilities; and chemical injection pumping solutions for injection of chemicals into producing oil wells and pipelines. It also supplies pumps, hose reels, meters, valves, and accessories for fast oil change facilities, service garages, fleet service centers, automobile dealerships, auto parts stores, truck builders, and heavy equipment service centers; and systems, components, and accessories for the automatic lubrication of bearings, gears, and generators in industrial and commercial equipment, compressors, turbines, and on- and off-road vehicles. The company's Contractor segment offers sprayers to apply paint to walls and other structures; and viscous coatings to roofs, as well as markings on roads, parking lots, athletic fields, and floors. It sells its products through distributors, original equipment manufacturers, and home center channels; and directly to end-users. The company was incorporated in 1926 and is headquartered in Minneapolis, Minnesota.",4000,"{'maxAge': 1, 'name': 'Mr. David M. Lowe', 'age': 65, 'title': 'CFO & Treasurer', 'yearBorn': 1957, 'fiscalYear': 2022, 'totalPay': 703346, 'exercisedValue': 3018032, 'unexercisedValue': 12636834}",6,3,3,2,2,1693526400,1672444800,86400,2,75.21,74.86,74.47,75.33,75.21,74.86,74.47,75.33,0.94,0.0125,1689292800,0.3038,1.18,0.800484,25.682592,23.888887,1059243,1059243,681367,623210,623210,74.98,75.78,800,900,12716722176,58.18,87.94,5.8067784,79.7636,74.61985,0.915,0.012165936,USD,12342882304,0.23099001,167083160,168992992,1548569,1739963,1690761600,1693440000,0.0092,0.00837,0.89303,2.94,0.0093,12.524,6.008464,1672358400,1703894400,1688083200,0.144,505857984,2.93,3.15,2.42,3:1,1514419200,5.636,18.232,NYQ,EQUITY,GGG,GGG,Graco Inc.,Graco Inc.,322151400,America/New_York,EDT,-14400000,75.25,95.0,75.0,86.29,85.0,2.6,hold,7,520632992,3.081,676976000,153568000,1.812,2.882,2189978880,7.256,13.005,0.14826,0.26118,1057439000,240291744,524732000,0.147,0.02,0.50706,0.30912,0.27686,USD,2.3909
2,88-11th Avenue Northeast,Minneapolis,MN,55413,United States,612 623 6000,https://www.graco.com,Specialty Industrial Machinery,Industrials,"Graco Inc. designs, manufactures, and markets systems and equipment used to move, measure, control, dispense, and spray fluid and powder materials worldwide. The company's Industrial segment offers proportioning systems to spray polyurethane foam and polyurea coatings; equipment that pumps, meters, mixes and dispenses sealant, adhesive, and composite materials; and gel-coat equipment, chop and wet-out systems, resin transfer molding systems and applicators, and precision dispensing solutions. It also provides liquid finishing equipment; paint circulating and supply pumps; paint circulating advanced control systems; plural component coating proportioners; spare parts and accessories; and powder finishing products to coat powder finishing on metals under the Gema and SAT brands. The company's Process segment offers pumps to move and dispense chemicals, water, wastewater, petroleum, food, lubricants, and other fluids; pressure valves used in the oil and natural gas industry, other industrial processes, and research facilities; and chemical injection pumping solutions for injection of chemicals into producing oil wells and pipelines. It also supplies pumps, hose reels, meters, valves, and accessories for fast oil change facilities, service garages, fleet service centers, automobile dealerships, auto parts stores, truck builders, and heavy equipment service centers; and systems, components, and accessories for the automatic lubrication of bearings, gears, and generators in industrial and commercial equipment, compressors, turbines, and on- and off-road vehicles. The company's Contractor segment offers sprayers to apply paint to walls and other structures; and viscous coatings to roofs, as well as markings on roads, parking lots, athletic fields, and floors. It sells its products through distributors, original equipment manufacturers, and home center channels; and directly to end-users. The company was incorporated in 1926 and is headquartered in Minneapolis, Minnesota.",4000,"{'maxAge': 1, 'name': 'Mr. Dale D. Johnson', 'age': 68, 'title': 'Pres of Worldwide Contractor Equipment Division', 'yearBorn': 1954, 'fiscalYear': 2022, 'totalPay': 766334, 'exercisedValue': 0, 'unexercisedValue': 10243012}",6,3,3,2,2,1693526400,1672444800,86400,2,75.21,74.86,74.47,75.33,75.21,74.86,74.47,75.33,0.94,0.0125,1689292800,0.3038,1.18,0.800484,25.682592,23.888887,1059243,1059243,681367,623210,623210,74.98,75.78,800,900,12716722176,58.18,87.94,5.8067784,79.7636,74.61985,0.915,0.012165936,USD,12342882304,0.23099001,167083160,168992992,1548569,1739963,1690761600,1693440000,0.0092,0.00837,0.89303,2.94,0.0093,12.524,6.008464,1672358400,1703894400,1688083200,0.144,505857984,2.93,3.15,2.42,3:1,1514419200,5.636,18.232,NYQ,EQUITY,GGG,GGG,Graco Inc.,Graco Inc.,322151400,America/New_York,EDT,-14400000,75.25,95.0,75.0,86.29,85.0,2.6,hold,7,520632992,3.081,676976000,153568000,1.812,2.882,2189978880,7.256,13.005,0.14826,0.26118,1057439000,240291744,524732000,0.147,0.02,0.50706,0.30912,0.27686,USD,2.3909
3,88-11th Avenue Northeast,Minneapolis,MN,55413,United States,612 623 6000,https://www.graco.com,Specialty Industrial Machinery,Industrials,"Graco Inc. designs, manufactures, and markets systems and equipment used to move, measure, control, dispense, and spray fluid and powder materials worldwide. The company's Industrial segment offers proportioning systems to spray polyurethane foam and polyurea coatings; equipment that pumps, meters, mixes and dispenses sealant, adhesive, and composite materials; and gel-coat equipment, chop and wet-out systems, resin transfer molding systems and applicators, and precision dispensing solutions. It also provides liquid finishing equipment; paint circulating and supply pumps; paint circulating advanced control systems; plural component coating proportioners; spare parts and accessories; and powder finishing products to coat powder finishing on metals under the Gema and SAT brands. The company's Process segment offers pumps to move and dispense chemicals, water, wastewater, petroleum, food, lubricants, and other fluids; pressure valves used in the oil and natural gas industry, other industrial processes, and research facilities; and chemical injection pumping solutions for injection of chemicals into producing oil wells and pipelines. It also supplies pumps, hose reels, meters, valves, and accessories for fast oil change facilities, service garages, fleet service centers, automobile dealerships, auto parts stores, truck builders, and heavy equipment service centers; and systems, components, and accessories for the automatic lubrication of bearings, gears, and generators in industrial and commercial equipment, compressors, turbines, and on- and off-road vehicles. The company's Contractor segment offers sprayers to apply paint to walls and other structures; and viscous coatings to roofs, as well as markings on roads, parking lots, athletic fields, and floors. It sells its products through distributors, original equipment manufacturers, and home center channels; and directly to end-users. The company was incorporated in 1926 and is headquartered in Minneapolis, Minnesota.",4000,"{'maxAge': 1, 'name': 'Mr. Jeffrey P. Johnson', 'age': 62, 'title': 'Pres of Electric Motor Division', 'yearBorn': 1960, 'fiscalYear': 2022, 'totalPay': 679149, 'exercisedValue': 2732999, 'unexercisedValue': 10108624}",6,3,3,2,2,1693526400,1672444800,86400,2,75.21,74.86,74.47,75.33,75.21,74.86,74.47,75.33,0.94,0.0125,1689292800,0.3038,1.18,0.800484,25.682592,23.888887,1059243,1059243,681367,623210,623210,74.98,75.78,800,900,12716722176,58.18,87.94,5.8067784,79.7636,74.61985,0.915,0.012165936,USD,12342882304,0.23099001,167083160,168992992,1548569,1739963,1690761600,1693440000,0.0092,0.00837,0.89303,2.94,0.0093,12.524,6.008464,1672358400,1703894400,1688083200,0.144,505857984,2.93,3.15,2.42,3:1,1514419200,5.636,18.232,NYQ,EQUITY,GGG,GGG,Graco Inc.,Graco Inc.,322151400,America/New_York,EDT,-14400000,75.25,95.0,75.0,86.29,85.0,2.6,hold,7,520632992,3.081,676976000,153568000,1.812,2.882,2189978880,7.256,13.005,0.14826,0.26118,1057439000,240291744,524732000,0.147,0.02,0.50706,0.30912,0.27686,USD,2.3909
4,88-11th Avenue Northeast,Minneapolis,MN,55413,United States,612 623 6000,https://www.graco.com,Specialty Industrial Machinery,Industrials,"Graco Inc. designs, manufactures, and markets systems and equipment used to move, measure, control, dispense, and spray fluid and powder materials worldwide. The company's Industrial segment offers proportioning systems to spray polyurethane foam and polyurea coatings; equipment that pumps, meters, mixes and dispenses sealant, adhesive, and composite materials; and gel-coat equipment, chop and wet-out systems, resin transfer molding systems and applicators, and precision dispensing solutions. It also provides liquid finishing equipment; paint circulating and supply pumps; paint circulating advanced control systems; plural component coating proportioners; spare parts and accessories; and powder finishing products to coat powder finishing on metals under the Gema and SAT brands. The company's Process segment offers pumps to move and dispense chemicals, water, wastewater, petroleum, food, lubricants, and other fluids; pressure valves used in the oil and natural gas industry, other industrial processes, and research facilities; and chemical injection pumping solutions for injection of chemicals into producing oil wells and pipelines. It also supplies pumps, hose reels, meters, valves, and accessories for fast oil change facilities, service garages, fleet service centers, automobile dealerships, auto parts stores, truck builders, and heavy equipment service centers; and systems, components, and accessories for the automatic lubrication of bearings, gears, and generators in industrial and commercial equipment, compressors, turbines, and on- and off-road vehicles. The company's Contractor segment offers sprayers to apply paint to walls and other structures; and viscous coatings to roofs, as well as markings on roads, parking lots, athletic fields, and floors. It sells its products through distributors, original equipment manufacturers, and home center channels; and directly to end-users. The company was incorporated in 1926 and is headquartered in Minneapolis, Minnesota.",4000,"{'maxAge': 1, 'name': 'Mr. Christian E. Rothe', 'age': 48, 'title': 'Pres of Worldwide Industrial Division', 'yearBorn': 1974, 'fiscalYear': 2022, 'totalPay': 898106, 'exercisedValue': 0, 'unexercisedValue': 8037820}",6,3,3,2,2,1693526400,1672444800,86400,2,75.21,74.86,74.47,75.33,75.21,74.86,74.47,75.33,0.94,0.0125,1689292800,0.3038,1.18,0.800484,25.682592,23.888887,1059243,1059243,681367,623210,623210,74.98,75.78,800,900,12716722176,58.18,87.94,5.8067784,79.7636,74.61985,0.915,0.012165936,USD,12342882304,0.23099001,167083160,168992992,1548569,1739963,1690761600,1693440000,0.0092,0.00837,0.89303,2.94,0.0093,12.524,6.008464,1672358400,1703894400,1688083200,0.144,505857984,2.93,3.15,2.42,3:1,1514419200,5.636,18.232,NYQ,EQUITY,GGG,GGG,Graco Inc.,Graco Inc.,322151400,America/New_York,EDT,-14400000,75.25,95.0,75.0,86.29,85.0,2.6,hold,7,520632992,3.081,676976000,153568000,1.812,2.882,2189978880,7.256,13.005,0.14826,0.26118,1057439000,240291744,524732000,0.147,0.02,0.50706,0.30912,0.27686,USD,2.3909
5,88-11th Avenue Northeast,Minneapolis,MN,55413,United States,612 623 6000,https://www.graco.com,Specialty Industrial Machinery,Industrials,"Graco Inc. designs, manufactures, and markets systems and equipment used to move, measure, control, dispense, and spray fluid and powder materials worldwide. The company's Industrial segment offers proportioning systems to spray polyurethane foam and polyurea coatings; equipment that pumps, meters, mixes and dispenses sealant, adhesive, and composite materials; and gel-coat equipment, chop and wet-out systems, resin transfer molding systems and applicators, and precision dispensing solutions. It also provides liquid finishing equipment; paint circulating and supply pumps; paint circulating advanced control systems; plural component coating proportioners; spare parts and accessories; and powder finishing products to coat powder finishing on metals under the Gema and SAT brands. The company's Process segment offers pumps to move and dispense chemicals, water, wastewater, petroleum, food, lubricants, and other fluids; pressure valves used in the oil and natural gas industry, other industrial processes, and research facilities; and chemical injection pumping solutions for injection of chemicals into producing oil wells and pipelines. It also supplies pumps, hose reels, meters, valves, and accessories for fast oil change facilities, service garages, fleet service centers, automobile dealerships, auto parts stores, truck builders, and heavy equipment service centers; and systems, components, and accessories for the automatic lubrication of bearings, gears, and generators in industrial and commercial equipment, compressors, turbines, and on- and off-road vehicles. The company's Contractor segment offers sprayers to apply paint to walls and other structures; and viscous coatings to roofs, as well as markings on roads, parking lots, athletic fields, and floors. It sells its products through distributors, original equipment manufacturers, and home center channels; and directly to end-users. The company was incorporated in 1926 and is headquartered in Minneapolis, Minnesota.",4000,"{'maxAge': 1, 'name': 'Ms. Angela F. Wordell', 'age': 50, 'title': 'Exec. VP of Operations', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",6,3,3,2,2,1693526400,1672444800,86400,2,75.21,74.86,74.47,75.33,75.21,74.86,74.47,75.33,0.94,0.0125,1689292800,0.3038,1.18,0.800484,25.682592,23.888887,1059243,1059243,681367,623210,623210,74.98,75.78,800,900,12716722176,58.18,87.94,5.8067784,79.7636,74.61985,0.915,0.012165936,USD,12342882304,0.23099001,167083160,168992992,1548569,1739963,1690761600,1693440000,0.0092,0.00837,0.89303,2.94,0.0093,12.524,6.008464,1672358400,1703894400,1688083200,0.144,505857984,2.93,3.15,2.42,3:1,1514419200,5.636,18.232,NYQ,EQUITY,GGG,GGG,Graco Inc.,Graco Inc.,322151400,America/New_York,EDT,-14400000,75.25,95.0,75.0,86.29,85.0,2.6,hold,7,520632992,3.081,676976000,153568000,1.812,2.882,2189978880,7.256,13.005,0.14826,0.26118,1057439000,240291744,524732000,0.147,0.02,0.50706,0.30912,0.27686,USD,2.3909
6,88-11th Avenue Northeast,Minneapolis,MN,55413,United States,612 623 6000,https://www.graco.com,Specialty Industrial Machinery,Industrials,"Graco Inc. designs, manufactures, and markets systems and equipment used to move, measure, control, dispense, and spray fluid and powder materials worldwide. The company's Industrial segment offers proportioning systems to spray polyurethane foam and polyurea coatings; equipment that pumps, meters, mixes and dispenses sealant, adhesive, and composite materials; and gel-coat equipment, chop and wet-out systems, resin transfer molding systems and applicators, and precision dispensing solutions. It also provides liquid finishing equipment; paint circulating and supply pumps; paint circulating advanced control systems; plural component coating proportioners; spare parts and accessories; and powder finishing products to coat powder finishing on metals under the Gema and SAT brands. The company's Process segment offers pumps to move and dispense chemicals, water, wastewater, petroleum, food, lubricants, and other fluids; pressure valves used in the oil and natural gas industry, other industrial processes, and research facilities; and chemical injection pumping solutions for injection of chemicals into producing oil wells and pipelines. It also supplies pumps, hose reels, meters, valves, and accessories for fast oil change facilities, service garages, fleet service centers, automobile dealerships, auto parts stores, truck builders, and heavy equipment service centers; and systems, components, and accessories for the automatic lubrication of bearings, gears, and generators in industrial and commercial equipment, compressors, turbines, and on- and off-road vehicles. The company's Contractor segment offers sprayers to apply paint to walls and other structures; and viscous coatings to roofs, as well as markings on roads, parking lots, athletic fields, and floors. It sells its products through distributors, original equipment manufacturers, and home center channels; and directly to end-users. The company was incorporated in 1926 and is headquartered in Minneapolis, Minnesota.",4000,"{'maxAge': 1, 'name': 'Mr. Christopher D. Knutson', 'age': 44, 'title': 'Exec. VP, Corp. Controller & Principal Accounting Officer', 'yearBorn': 1978, 'exercisedValue': 0, 'unexercisedValue': 0}",6,3,3,2,2,1693526400,1672444800,86400,2,75.21,74.86,74.47,75.33,75.21,74.86,74.47,75.33,0.94,0.0125,1689292800,0.3038,1.18,0.800484,25.682592,23.888887,1059243,1059243,681367,623210,623210,74.98,75.78,800,900,12716722176,58.18,87.94,5.8067784,79.7636,74.61985,0.915,0.012165936,USD,12342882304,0.23099001,167083160,168992992,1548569,1739963,1690761600,1693440000,0.0092,0.00837,0.89303,2.94,0.0093,12.524,6.008464,1672358400,1703894400,1688083200,0.144,505857984,2.93,3.15,2.42,3:1,1514419200,5.636,18.232,NYQ,EQUITY,GGG,GGG,Graco Inc.,Graco Inc.,322151400,America/New_York,EDT,-14400000,75.25,95.0,75.0,86.29,85.0,2.6,hold,7,520632992,3.081,676976000,153568000,1.812,2.882,2189978880,7.256,13.005,0.14826,0.26118,1057439000,240291744,524732000,0.147,0.02,0.50706,0.30912,0.27686,USD,2.3909
7,88-11th Avenue Northeast,Minneapolis,MN,55413,United States,612 623 6000,https://www.graco.com,Specialty Industrial Machinery,Industrials,"Graco Inc. designs, manufactures, and markets systems and equipment used to move, measure, control, dispense, and spray fluid and powder materials worldwide. The company's Industrial segment offers proportioning systems to spray polyurethane foam and polyurea coatings; equipment that pumps, meters, mixes and dispenses sealant, adhesive, and composite materials; and gel-coat equipment, chop and wet-out systems, resin transfer molding systems and applicators, and precision dispensing solutions. It also provides liquid finishing equipment; paint circulating and supply pumps; paint circulating advanced control systems; plural component coating proportioners; spare parts and accessories; and powder finishing products to coat powder finishing on metals under the Gema and SAT brands. The company's Process segment offers pumps to move and dispense chemicals, water, wastewater, petroleum, food, lubricants, and other fluids; pressure valves used in the oil and natural gas industry, other industrial processes, and research facilities; and chemical injection pumping solutions for injection of chemicals into producing oil wells and pipelines. It also supplies pumps, hose reels, meters, valves, and accessories for fast oil change facilities, service garages, fleet service centers, automobile dealerships, auto parts stores, truck builders, and heavy equipment service centers; and systems, components, and accessories for the automatic lubrication of bearings, gears, and generators in industrial and commercial equipment, compressors, turbines, and on- and off-road vehicles. The company's Contractor segment offers sprayers to apply paint to walls and other structures; and viscous coatings to roofs, as well as markings on roads, parking lots, athletic fields, and floors. It sells its products through distributors, original equipment manufacturers, and home center channels; and directly to end-users. The company was incorporated in 1926 and is headquartered in Minneapolis, Minnesota.",4000,"{'maxAge': 1, 'name': 'Ms. Kathryn L. Schoenrock', 'age': 44, 'title': 'Exec. VP & CTO', 'yearBorn': 1978, 'exercisedValue': 0, 'unexercisedValue': 0}",6,3,3,2,2,1693526400,1672444800,86400,2,75.21,74.86,74.47,75.33,75.21,74.86,74.47,75.33,0.94,0.0125,1689292800,0.3038,1.18,0.800484,25.682592,23.888887,1059243,1059243,681367,623210,623210,74.98,75.78,800,900,12716722176,58.18,87.94,5.8067784,79.7636,74.61985,0.915,0.012165936,USD,12342882304,0.23099001,167083160,168992992,1548569,1739963,1690761600,1693440000,0.0092,0.00837,0.89303,2.94,0.0093,12.524,6.008464,1672358400,1703894400,1688083200,0.144,505857984,2.93,3.15,2.42,3:1,1514419200,5.636,18.232,NYQ,EQUITY,GGG,GGG,Graco Inc.,Graco Inc.,322151400,America/New_York,EDT,-14400000,75.25,95.0,75.0,86.29,85.0,2.6,hold,7,520632992,3.081,676976000,153568000,1.812,2.882,2189978880,7.256,13.005,0.14826,0.26118,1057439000,240291744,524732000,0.147,0.02,0.50706,0.30912,0.27686,USD,2.3909
8,88-11th Avenue Northeast,Minneapolis,MN,55413,United States,612 623 6000,https://www.graco.com,Specialty Industrial Machinery,Industrials,"Graco Inc. designs, manufactures, and markets systems and equipment used to move, measure, control, dispense, and spray fluid and powder materials worldwide. The company's Industrial segment offers proportioning systems to spray polyurethane foam and polyurea coatings; equipment that pumps, meters, mixes and dispenses sealant, adhesive, and composite materials; and gel-coat equipment, chop and wet-out systems, resin transfer molding systems and applicators, and precision dispensing solutions. It also provides liquid finishing equipment; paint circulating and supply pumps; paint circulating advanced control systems; plural component coating proportioners; spare parts and accessories; and powder finishing products to coat powder finishing on metals under the Gema and SAT brands. The company's Process segment offers pumps to move and dispense chemicals, water, wastewater, petroleum, food, lubricants, and other fluids; pressure valves used in the oil and natural gas industry, other industrial processes, and research facilities; and chemical injection pumping solutions for injection of chemicals into producing oil wells and pipelines. It also supplies pumps, hose reels, meters, valves, and accessories for fast oil change facilities, service garages, fleet service centers, automobile dealerships, auto parts stores, truck builders, and heavy equipment service centers; and systems, components, and accessories for the automatic lubrication of bearings, gears, and generators in industrial and commercial equipment, compressors, turbines, and on- and off-road vehicles. The company's Contractor segment offers sprayers to apply paint to walls and other structures; and viscous coatings to roofs, as well as markings on roads, parking lots, athletic fields, and floors. It sells its products through distributors, original equipment manufacturers, and home center channels; and directly to end-users. The company was incorporated in 1926 and is headquartered in Minneapolis, Minnesota.",4000,"{'maxAge': 1, 'name': 'Mr. Joseph J. Humke', 'age': 51, 'title': 'Exec. VP, Gen. Counsel & Corp. Sec.', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",6,3,3,2,2,1693526400,1672444800,86400,2,75.21,74.86,74.47,75.33,75.21,74.86,74.47,75.33,0.94,0.0125,1689292800,0.3038,1.18,0.800484,25.682592,23.888887,1059243,1059243,681367,623210,623210,74.98,75.78,800,900,12716722176,58.18,87.94,5.8067784,79.7636,74.61985,0.915,0.012165936,USD,12342882304,0.23099001,167083160,168992992,1548569,1739963,1690761600,1693440000,0.0092,0.00837,0.89303,2.94,0.0093,12.524,6.008464,1672358400,1703894400,1688083200,0.144,505857984,2.93,3.15,2.42,3:1,1514419200,5.636,18.232,NYQ,EQUITY,GGG,GGG,Graco Inc.,Graco Inc.,322151400,America/New_York,EDT,-14400000,75.25,95.0,75.0,86.29,85.0,2.6,hold,7,520632992,3.081,676976000,153568000,1.812,2.882,2189978880,7.256,13.005,0.14826,0.26118,1057439000,240291744,524732000,0.147,0.02,0.50706,0.30912,0.27686,USD,2.3909
9,88-11th Avenue Northeast,Minneapolis,MN,55413,United States,612 623 6000,https://www.graco.com,Specialty Industrial Machinery,Industrials,"Graco Inc. designs, manufactures, and markets systems and equipment used to move, measure, control, dispense, and spray fluid and powder materials worldwide. The company's Industrial segment offers proportioning systems to spray polyurethane foam and polyurea coatings; equipment that pumps, meters, mixes and dispenses sealant, adhesive, and composite materials; and gel-coat equipment, chop and wet-out systems, resin transfer molding systems and applicators, and precision dispensing solutions. It also provides liquid finishing equipment; paint circulating and supply pumps; paint circulating advanced control systems; plural component coating proportioners; spare parts and accessories; and powder finishing products to coat powder finishing on metals under the Gema and SAT brands. The company's Process segment offers pumps to move and dispense chemicals, water, wastewater, petroleum, food, lubricants, and other fluids; pressure valves used in the oil and natural gas industry, other industrial processes, and research facilities; and chemical injection pumping solutions for injection of chemicals into producing oil wells and pipelines. It also supplies pumps, hose reels, meters, valves, and accessories for fast oil change facilities, service garages, fleet service centers, automobile dealerships, auto parts stores, truck builders, and heavy equipment service centers; and systems, components, and accessories for the automatic lubrication of bearings, gears, and generators in industrial and commercial equipment, compressors, turbines, and on- and off-road vehicles. The company's Contractor segment offers sprayers to apply paint to walls and other structures; and viscous coatings to roofs, as well as markings on roads, parking lots, athletic fields, and floors. It sells its products through distributors, original equipment manufacturers, and home center channels; and directly to end-users. The company was incorporated in 1926 and is headquartered in Minneapolis, Minnesota.",4000,"{'maxAge': 1, 'name': 'Mr. Inge  Grasdal', 'age': 51, 'title': 'Exec. VP of Corp. Devel.', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",6,3,3,2,2,1693526400,1672444800,86400,2,75.21,74.86,74.47,75.33,75.21,74.86,74.47,75.33,0.94,0.0125,1689292800,0.3038,1.18,0.800484,25.682592,23.888887,1059243,1059243,681367,623210,623210,74.98,75.78,800,900,12716722176,58.18,87.94,5.8067784,79.7636,74.61985,0.915,0.012165936,USD,12342882304,0.23099001,167083160,168992992,1548569,1739963,1690761600,1693440000,0.0092,0.00837,0.89303,2.94,0.0093,12.524,6.008464,1672358400,1703894400,1688083200,0.144,505857984,2.93,3.15,2.42,3:1,1514419200,5.636,18.232,NYQ,EQUITY,GGG,GGG,Graco Inc.,Graco Inc.,322151400,America/New_York,EDT,-14400000,75.25,95.0,75.0,86.29,85.0,2.6,hold,7,520632992,3.081,676976000,153568000,1.812,2.882,2189978880,7.256,13.005,0.14826,0.26118,1057439000,240291744,524732000,0.147,0.02,0.50706,0.30912,0.27686,USD,2.3909
