,address1,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,8210 Trans-Canada Highway,Saint-Laurent,QC,H4S 1M5,Canada,514 336 8885,514 336 9222,https://mtygroup.com,Restaurants,Consumer Cyclical,"MTY Food Group Inc. operates and franchises quick-service, fast-casual, and casual dining restaurants in Canada, the United States, and internationally. It also sells retail products under a multitude of banners. The company was formerly known as iNsu Innovations Group Inc. and changed its name to MTY Food Group Inc. in July 2003. The company was founded in 1979 and is headquartered in Saint-Laurent, Canada.",7062,"{'maxAge': 1, 'name': 'Mr. Stanley  Ma', 'age': 75, 'title': 'Chairman & Pres', 'yearBorn': 1947, 'fiscalYear': 2022, 'totalPay': 92146, 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,10,4,10,1693526400,1672444800,86400,2,46.1264,46.1,46.1264,46.1264,46.1264,46.1,46.1264,46.1264,0.74,0.0161,1690848000,0.2875,1.85503,19.545086,1400,1400,261,910,910,0.0,0.0,0,0,1126106880,36.57,54.268,1.1208032,48.92494,46.19932,0.92,0.019945195,USD,2407260160,0.07794,20629375,24413500,0.16041,0.30183,31.62,1.4587729,1669766400,1701302400,1685491200,0.061,78307000,2.36,2.396,11.899,PNK,EQUITY,MTYFF,MTYFF,MTY FOOD GROUP INC,MTY Food Group Inc.,1404307800,America/New_York,EDT,-14400000,46.1264,none,62596000,2.564,202316000,1342512000,0.524,0.628,1004732032,173.635,41.155,0.043909997,0.10974,602053000,152260000,166960000,0.06,0.878,0.68615997,0.20136,0.15965,CAD,
1,8210 Trans-Canada Highway,Saint-Laurent,QC,H4S 1M5,Canada,514 336 8885,514 336 9222,https://mtygroup.com,Restaurants,Consumer Cyclical,"MTY Food Group Inc. operates and franchises quick-service, fast-casual, and casual dining restaurants in Canada, the United States, and internationally. It also sells retail products under a multitude of banners. The company was formerly known as iNsu Innovations Group Inc. and changed its name to MTY Food Group Inc. in July 2003. The company was founded in 1979 and is headquartered in Saint-Laurent, Canada.",7062,"{'maxAge': 1, 'name': 'Mr. Eric  Lefebvre CA, CPA, MBA, QC', 'age': 45, 'title': 'CEO & Non-Independent Director', 'yearBorn': 1977, 'fiscalYear': 2022, 'totalPay': 708150, 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,10,4,10,1693526400,1672444800,86400,2,46.1264,46.1,46.1264,46.1264,46.1264,46.1,46.1264,46.1264,0.74,0.0161,1690848000,0.2875,1.85503,19.545086,1400,1400,261,910,910,0.0,0.0,0,0,1126106880,36.57,54.268,1.1208032,48.92494,46.19932,0.92,0.019945195,USD,2407260160,0.07794,20629375,24413500,0.16041,0.30183,31.62,1.4587729,1669766400,1701302400,1685491200,0.061,78307000,2.36,2.396,11.899,PNK,EQUITY,MTYFF,MTYFF,MTY FOOD GROUP INC,MTY Food Group Inc.,1404307800,America/New_York,EDT,-14400000,46.1264,none,62596000,2.564,202316000,1342512000,0.524,0.628,1004732032,173.635,41.155,0.043909997,0.10974,602053000,152260000,166960000,0.06,0.878,0.68615997,0.20136,0.15965,CAD,
2,8210 Trans-Canada Highway,Saint-Laurent,QC,H4S 1M5,Canada,514 336 8885,514 336 9222,https://mtygroup.com,Restaurants,Consumer Cyclical,"MTY Food Group Inc. operates and franchises quick-service, fast-casual, and casual dining restaurants in Canada, the United States, and internationally. It also sells retail products under a multitude of banners. The company was formerly known as iNsu Innovations Group Inc. and changed its name to MTY Food Group Inc. in July 2003. The company was founded in 1979 and is headquartered in Saint-Laurent, Canada.",7062,"{'maxAge': 1, 'name': 'Ms. Renée  St-Onge', 'age': 41, 'title': 'Chief Financial Officer', 'yearBorn': 1981, 'fiscalYear': 2022, 'totalPay': 380101, 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,10,4,10,1693526400,1672444800,86400,2,46.1264,46.1,46.1264,46.1264,46.1264,46.1,46.1264,46.1264,0.74,0.0161,1690848000,0.2875,1.85503,19.545086,1400,1400,261,910,910,0.0,0.0,0,0,1126106880,36.57,54.268,1.1208032,48.92494,46.19932,0.92,0.019945195,USD,2407260160,0.07794,20629375,24413500,0.16041,0.30183,31.62,1.4587729,1669766400,1701302400,1685491200,0.061,78307000,2.36,2.396,11.899,PNK,EQUITY,MTYFF,MTYFF,MTY FOOD GROUP INC,MTY Food Group Inc.,1404307800,America/New_York,EDT,-14400000,46.1264,none,62596000,2.564,202316000,1342512000,0.524,0.628,1004732032,173.635,41.155,0.043909997,0.10974,602053000,152260000,166960000,0.06,0.878,0.68615997,0.20136,0.15965,CAD,
3,8210 Trans-Canada Highway,Saint-Laurent,QC,H4S 1M5,Canada,514 336 8885,514 336 9222,https://mtygroup.com,Restaurants,Consumer Cyclical,"MTY Food Group Inc. operates and franchises quick-service, fast-casual, and casual dining restaurants in Canada, the United States, and internationally. It also sells retail products under a multitude of banners. The company was formerly known as iNsu Innovations Group Inc. and changed its name to MTY Food Group Inc. in July 2003. The company was founded in 1979 and is headquartered in Saint-Laurent, Canada.",7062,"{'maxAge': 1, 'name': 'Mr. Jeff  Smit', 'age': 64, 'title': 'Chief Operating Officer of MTY Franchising USA, Inc.', 'yearBorn': 1958, 'fiscalYear': 2022, 'totalPay': 483523, 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,10,4,10,1693526400,1672444800,86400,2,46.1264,46.1,46.1264,46.1264,46.1264,46.1,46.1264,46.1264,0.74,0.0161,1690848000,0.2875,1.85503,19.545086,1400,1400,261,910,910,0.0,0.0,0,0,1126106880,36.57,54.268,1.1208032,48.92494,46.19932,0.92,0.019945195,USD,2407260160,0.07794,20629375,24413500,0.16041,0.30183,31.62,1.4587729,1669766400,1701302400,1685491200,0.061,78307000,2.36,2.396,11.899,PNK,EQUITY,MTYFF,MTYFF,MTY FOOD GROUP INC,MTY Food Group Inc.,1404307800,America/New_York,EDT,-14400000,46.1264,none,62596000,2.564,202316000,1342512000,0.524,0.628,1004732032,173.635,41.155,0.043909997,0.10974,602053000,152260000,166960000,0.06,0.878,0.68615997,0.20136,0.15965,CAD,
4,8210 Trans-Canada Highway,Saint-Laurent,QC,H4S 1M5,Canada,514 336 8885,514 336 9222,https://mtygroup.com,Restaurants,Consumer Cyclical,"MTY Food Group Inc. operates and franchises quick-service, fast-casual, and casual dining restaurants in Canada, the United States, and internationally. It also sells retail products under a multitude of banners. The company was formerly known as iNsu Innovations Group Inc. and changed its name to MTY Food Group Inc. in July 2003. The company was founded in 1979 and is headquartered in Saint-Laurent, Canada.",7062,"{'maxAge': 1, 'name': 'Mr. Jason  Brading', 'title': 'Chief Operating Officer of Quick Service Restaurants', 'fiscalYear': 2022, 'totalPay': 431018, 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,10,4,10,1693526400,1672444800,86400,2,46.1264,46.1,46.1264,46.1264,46.1264,46.1,46.1264,46.1264,0.74,0.0161,1690848000,0.2875,1.85503,19.545086,1400,1400,261,910,910,0.0,0.0,0,0,1126106880,36.57,54.268,1.1208032,48.92494,46.19932,0.92,0.019945195,USD,2407260160,0.07794,20629375,24413500,0.16041,0.30183,31.62,1.4587729,1669766400,1701302400,1685491200,0.061,78307000,2.36,2.396,11.899,PNK,EQUITY,MTYFF,MTYFF,MTY FOOD GROUP INC,MTY Food Group Inc.,1404307800,America/New_York,EDT,-14400000,46.1264,none,62596000,2.564,202316000,1342512000,0.524,0.628,1004732032,173.635,41.155,0.043909997,0.10974,602053000,152260000,166960000,0.06,0.878,0.68615997,0.20136,0.15965,CAD,
5,8210 Trans-Canada Highway,Saint-Laurent,QC,H4S 1M5,Canada,514 336 8885,514 336 9222,https://mtygroup.com,Restaurants,Consumer Cyclical,"MTY Food Group Inc. operates and franchises quick-service, fast-casual, and casual dining restaurants in Canada, the United States, and internationally. It also sells retail products under a multitude of banners. The company was formerly known as iNsu Innovations Group Inc. and changed its name to MTY Food Group Inc. in July 2003. The company was founded in 1979 and is headquartered in Saint-Laurent, Canada.",7062,"{'maxAge': 1, 'name': 'Mr. Nik  Rupp', 'age': 45, 'title': ""Chief Operating Officer of Papa Murphy's Division"", 'yearBorn': 1977, 'fiscalYear': 2022, 'totalPay': 397095, 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,10,4,10,1693526400,1672444800,86400,2,46.1264,46.1,46.1264,46.1264,46.1264,46.1,46.1264,46.1264,0.74,0.0161,1690848000,0.2875,1.85503,19.545086,1400,1400,261,910,910,0.0,0.0,0,0,1126106880,36.57,54.268,1.1208032,48.92494,46.19932,0.92,0.019945195,USD,2407260160,0.07794,20629375,24413500,0.16041,0.30183,31.62,1.4587729,1669766400,1701302400,1685491200,0.061,78307000,2.36,2.396,11.899,PNK,EQUITY,MTYFF,MTYFF,MTY FOOD GROUP INC,MTY Food Group Inc.,1404307800,America/New_York,EDT,-14400000,46.1264,none,62596000,2.564,202316000,1342512000,0.524,0.628,1004732032,173.635,41.155,0.043909997,0.10974,602053000,152260000,166960000,0.06,0.878,0.68615997,0.20136,0.15965,CAD,
6,8210 Trans-Canada Highway,Saint-Laurent,QC,H4S 1M5,Canada,514 336 8885,514 336 9222,https://mtygroup.com,Restaurants,Consumer Cyclical,"MTY Food Group Inc. operates and franchises quick-service, fast-casual, and casual dining restaurants in Canada, the United States, and internationally. It also sells retail products under a multitude of banners. The company was formerly known as iNsu Innovations Group Inc. and changed its name to MTY Food Group Inc. in July 2003. The company was founded in 1979 and is headquartered in Saint-Laurent, Canada.",7062,"{'maxAge': 1, 'name': 'Ms. Claude  St-Pierre', 'age': 53, 'title': 'Sec. & Non-Independent Director', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 108032, 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,10,4,10,1693526400,1672444800,86400,2,46.1264,46.1,46.1264,46.1264,46.1264,46.1,46.1264,46.1264,0.74,0.0161,1690848000,0.2875,1.85503,19.545086,1400,1400,261,910,910,0.0,0.0,0,0,1126106880,36.57,54.268,1.1208032,48.92494,46.19932,0.92,0.019945195,USD,2407260160,0.07794,20629375,24413500,0.16041,0.30183,31.62,1.4587729,1669766400,1701302400,1685491200,0.061,78307000,2.36,2.396,11.899,PNK,EQUITY,MTYFF,MTYFF,MTY FOOD GROUP INC,MTY Food Group Inc.,1404307800,America/New_York,EDT,-14400000,46.1264,none,62596000,2.564,202316000,1342512000,0.524,0.628,1004732032,173.635,41.155,0.043909997,0.10974,602053000,152260000,166960000,0.06,0.878,0.68615997,0.20136,0.15965,CAD,
7,8210 Trans-Canada Highway,Saint-Laurent,QC,H4S 1M5,Canada,514 336 8885,514 336 9222,https://mtygroup.com,Restaurants,Consumer Cyclical,"MTY Food Group Inc. operates and franchises quick-service, fast-casual, and casual dining restaurants in Canada, the United States, and internationally. It also sells retail products under a multitude of banners. The company was formerly known as iNsu Innovations Group Inc. and changed its name to MTY Food Group Inc. in July 2003. The company was founded in 1979 and is headquartered in Saint-Laurent, Canada.",7062,"{'maxAge': 1, 'name': 'Ms. Jenny  Moody', 'title': 'Chief Legal Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,10,4,10,1693526400,1672444800,86400,2,46.1264,46.1,46.1264,46.1264,46.1264,46.1,46.1264,46.1264,0.74,0.0161,1690848000,0.2875,1.85503,19.545086,1400,1400,261,910,910,0.0,0.0,0,0,1126106880,36.57,54.268,1.1208032,48.92494,46.19932,0.92,0.019945195,USD,2407260160,0.07794,20629375,24413500,0.16041,0.30183,31.62,1.4587729,1669766400,1701302400,1685491200,0.061,78307000,2.36,2.396,11.899,PNK,EQUITY,MTYFF,MTYFF,MTY FOOD GROUP INC,MTY Food Group Inc.,1404307800,America/New_York,EDT,-14400000,46.1264,none,62596000,2.564,202316000,1342512000,0.524,0.628,1004732032,173.635,41.155,0.043909997,0.10974,602053000,152260000,166960000,0.06,0.878,0.68615997,0.20136,0.15965,CAD,
8,8210 Trans-Canada Highway,Saint-Laurent,QC,H4S 1M5,Canada,514 336 8885,514 336 9222,https://mtygroup.com,Restaurants,Consumer Cyclical,"MTY Food Group Inc. operates and franchises quick-service, fast-casual, and casual dining restaurants in Canada, the United States, and internationally. It also sells retail products under a multitude of banners. The company was formerly known as iNsu Innovations Group Inc. and changed its name to MTY Food Group Inc. in July 2003. The company was founded in 1979 and is headquartered in Saint-Laurent, Canada.",7062,"{'maxAge': 1, 'name': 'Mr. Marc  Benzacar', 'title': 'Chief Operating Officer of Fast Casual Division', 'fiscalYear': 2019, 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,10,4,10,1693526400,1672444800,86400,2,46.1264,46.1,46.1264,46.1264,46.1264,46.1,46.1264,46.1264,0.74,0.0161,1690848000,0.2875,1.85503,19.545086,1400,1400,261,910,910,0.0,0.0,0,0,1126106880,36.57,54.268,1.1208032,48.92494,46.19932,0.92,0.019945195,USD,2407260160,0.07794,20629375,24413500,0.16041,0.30183,31.62,1.4587729,1669766400,1701302400,1685491200,0.061,78307000,2.36,2.396,11.899,PNK,EQUITY,MTYFF,MTYFF,MTY FOOD GROUP INC,MTY Food Group Inc.,1404307800,America/New_York,EDT,-14400000,46.1264,none,62596000,2.564,202316000,1342512000,0.524,0.628,1004732032,173.635,41.155,0.043909997,0.10974,602053000,152260000,166960000,0.06,0.878,0.68615997,0.20136,0.15965,CAD,
9,8210 Trans-Canada Highway,Saint-Laurent,QC,H4S 1M5,Canada,514 336 8885,514 336 9222,https://mtygroup.com,Restaurants,Consumer Cyclical,"MTY Food Group Inc. operates and franchises quick-service, fast-casual, and casual dining restaurants in Canada, the United States, and internationally. It also sells retail products under a multitude of banners. The company was formerly known as iNsu Innovations Group Inc. and changed its name to MTY Food Group Inc. in July 2003. The company was founded in 1979 and is headquartered in Saint-Laurent, Canada.",7062,"{'maxAge': 1, 'name': 'Ms. Marie-Line  Beauchamp', 'title': 'Chief Operating Officer of Casual Dining', 'fiscalYear': 2019, 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,10,4,10,1693526400,1672444800,86400,2,46.1264,46.1,46.1264,46.1264,46.1264,46.1,46.1264,46.1264,0.74,0.0161,1690848000,0.2875,1.85503,19.545086,1400,1400,261,910,910,0.0,0.0,0,0,1126106880,36.57,54.268,1.1208032,48.92494,46.19932,0.92,0.019945195,USD,2407260160,0.07794,20629375,24413500,0.16041,0.30183,31.62,1.4587729,1669766400,1701302400,1685491200,0.061,78307000,2.36,2.396,11.899,PNK,EQUITY,MTYFF,MTYFF,MTY FOOD GROUP INC,MTY Food Group Inc.,1404307800,America/New_York,EDT,-14400000,46.1264,none,62596000,2.564,202316000,1342512000,0.524,0.628,1004732032,173.635,41.155,0.043909997,0.10974,602053000,152260000,166960000,0.06,0.878,0.68615997,0.20136,0.15965,CAD,
