,address1,address2,city,state,zip,country,phone,fax,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,totalDebt,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,395 Bourke Street,Level 28,Melbourne,VIC,3000,Australia,61 3 8872 2461,61 1300 099 249,https://www.nab.com.au,Banks—Diversified,Banks—Diversified,Financial Services,Financial Services,"National Australia Bank Limited provides financial services to individuals and businesses in Australia, New Zealand, and internationally. It operates through Business and Private Banking; Personal Banking; Corporate and Institutional Banking; New Zealand Banking; and Corporate Functions and Other segments. The company accepts transaction accounts, savings accounts, deposit accounts, and term deposits; and specialized accounts, such as foreign currency, business interest, statutory trust, cash maximiser, community free saver, farm management, and project bank accounts, as well as farm management deposits. National Australia Bank Limited also provides home loans; personal loans; business loans; vehicle and equipment finance; and trade and invoice finance, as well as business overdrafts and bank guarantees. In addition, the company offers insurance products consisting of car, home and content, landlord, travel, caravan and trailer, life, and business insurance products; and pension, superannuation, self-managed super funds, cash management, and financial planning and advisory services. Further, it provides investment products; credit, debit, and business cards; payments and merchant services; travel services; online and internet banking services; small business services; international and foreign exchange solutions; and industry specific banking services. National Australia Bank Limited was founded in 1834 and is based in Melbourne, Australia.",36963,"{'maxAge': 1, 'name': 'Mr. Ross Maxwell McEwan B.B.S., CBE', 'age': 65, 'title': 'Group CEO, MD & Director', 'yearBorn': 1957, 'fiscalYear': 2022, 'totalPay': 2493191, 'exercisedValue': 0, 'unexercisedValue': 0}",10,1,1,1,3,1693526400,1672444800,86400,2,9.55,9.63,9.22,9.63,9.55,9.63,9.22,9.63,0.54,0.0574,1683849600,0.65629995,5.58,0.88063,12.9863,9.978947,64173,64173,180175,130700,130700,0.0,0.0,0,0,59755565056,8.17,11.45,3.0593677,9.2338,9.5756,1.61,0.16858639,USD,169008693248,0.3741,6224623424,6260639744,0,663150,1176163200,1181606400,0.0,0.0,0.0001,0.0,6303329792,9.8095,0.9664101,1664496000,1696032000,1680220800,0.117,7471000064,0.73,0.95,2:1,1390348800,8.653,-0.061386168,0.14113986,0.277,1683849600,PNK,EQUITY,NABZY,NABZY,NATIONAL AUSTRALIA BANK SPONS A,National Australia Bank Limited,583162200,America/New_York,EDT,76237440-7aac-3f7b-b267-a9fb0c67f6b3,finmb_322495,-14400000,9.48,10.54,10.54,10.54,10.54,1.0,strong_buy,1,136431001600,21.792,246089007104,19531999232,3.0875,0.00738,0.12203,18446000000,-62868000768,0.157,0.12,0.0,0.0,0.55924,AUD,
1,395 Bourke Street,Level 28,Melbourne,VIC,3000,Australia,61 3 8872 2461,61 1300 099 249,https://www.nab.com.au,Banks—Diversified,Banks—Diversified,Financial Services,Financial Services,"National Australia Bank Limited provides financial services to individuals and businesses in Australia, New Zealand, and internationally. It operates through Business and Private Banking; Personal Banking; Corporate and Institutional Banking; New Zealand Banking; and Corporate Functions and Other segments. The company accepts transaction accounts, savings accounts, deposit accounts, and term deposits; and specialized accounts, such as foreign currency, business interest, statutory trust, cash maximiser, community free saver, farm management, and project bank accounts, as well as farm management deposits. National Australia Bank Limited also provides home loans; personal loans; business loans; vehicle and equipment finance; and trade and invoice finance, as well as business overdrafts and bank guarantees. In addition, the company offers insurance products consisting of car, home and content, landlord, travel, caravan and trailer, life, and business insurance products; and pension, superannuation, self-managed super funds, cash management, and financial planning and advisory services. Further, it provides investment products; credit, debit, and business cards; payments and merchant services; travel services; online and internet banking services; small business services; international and foreign exchange solutions; and industry specific banking services. National Australia Bank Limited was founded in 1834 and is based in Melbourne, Australia.",36963,"{'maxAge': 1, 'name': 'Mr. Lesile D. Matheson', 'age': 62, 'title': 'Group Chief Operating Officer', 'yearBorn': 1960, 'fiscalYear': 2022, 'totalPay': 983492, 'exercisedValue': 0, 'unexercisedValue': 0}",10,1,1,1,3,1693526400,1672444800,86400,2,9.55,9.63,9.22,9.63,9.55,9.63,9.22,9.63,0.54,0.0574,1683849600,0.65629995,5.58,0.88063,12.9863,9.978947,64173,64173,180175,130700,130700,0.0,0.0,0,0,59755565056,8.17,11.45,3.0593677,9.2338,9.5756,1.61,0.16858639,USD,169008693248,0.3741,6224623424,6260639744,0,663150,1176163200,1181606400,0.0,0.0,0.0001,0.0,6303329792,9.8095,0.9664101,1664496000,1696032000,1680220800,0.117,7471000064,0.73,0.95,2:1,1390348800,8.653,-0.061386168,0.14113986,0.277,1683849600,PNK,EQUITY,NABZY,NABZY,NATIONAL AUSTRALIA BANK SPONS A,National Australia Bank Limited,583162200,America/New_York,EDT,76237440-7aac-3f7b-b267-a9fb0c67f6b3,finmb_322495,-14400000,9.48,10.54,10.54,10.54,10.54,1.0,strong_buy,1,136431001600,21.792,246089007104,19531999232,3.0875,0.00738,0.12203,18446000000,-62868000768,0.157,0.12,0.0,0.0,0.55924,AUD,
2,395 Bourke Street,Level 28,Melbourne,VIC,3000,Australia,61 3 8872 2461,61 1300 099 249,https://www.nab.com.au,Banks—Diversified,Banks—Diversified,Financial Services,Financial Services,"National Australia Bank Limited provides financial services to individuals and businesses in Australia, New Zealand, and internationally. It operates through Business and Private Banking; Personal Banking; Corporate and Institutional Banking; New Zealand Banking; and Corporate Functions and Other segments. The company accepts transaction accounts, savings accounts, deposit accounts, and term deposits; and specialized accounts, such as foreign currency, business interest, statutory trust, cash maximiser, community free saver, farm management, and project bank accounts, as well as farm management deposits. National Australia Bank Limited also provides home loans; personal loans; business loans; vehicle and equipment finance; and trade and invoice finance, as well as business overdrafts and bank guarantees. In addition, the company offers insurance products consisting of car, home and content, landlord, travel, caravan and trailer, life, and business insurance products; and pension, superannuation, self-managed super funds, cash management, and financial planning and advisory services. Further, it provides investment products; credit, debit, and business cards; payments and merchant services; travel services; online and internet banking services; small business services; international and foreign exchange solutions; and industry specific banking services. National Australia Bank Limited was founded in 1834 and is based in Melbourne, Australia.",36963,"{'maxAge': 1, 'name': 'Mr. Patrick F. Wright', 'age': 55, 'title': 'Group Exec. of Technology & Enterprise Operations', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 1558484, 'exercisedValue': 0, 'unexercisedValue': 0}",10,1,1,1,3,1693526400,1672444800,86400,2,9.55,9.63,9.22,9.63,9.55,9.63,9.22,9.63,0.54,0.0574,1683849600,0.65629995,5.58,0.88063,12.9863,9.978947,64173,64173,180175,130700,130700,0.0,0.0,0,0,59755565056,8.17,11.45,3.0593677,9.2338,9.5756,1.61,0.16858639,USD,169008693248,0.3741,6224623424,6260639744,0,663150,1176163200,1181606400,0.0,0.0,0.0001,0.0,6303329792,9.8095,0.9664101,1664496000,1696032000,1680220800,0.117,7471000064,0.73,0.95,2:1,1390348800,8.653,-0.061386168,0.14113986,0.277,1683849600,PNK,EQUITY,NABZY,NABZY,NATIONAL AUSTRALIA BANK SPONS A,National Australia Bank Limited,583162200,America/New_York,EDT,76237440-7aac-3f7b-b267-a9fb0c67f6b3,finmb_322495,-14400000,9.48,10.54,10.54,10.54,10.54,1.0,strong_buy,1,136431001600,21.792,246089007104,19531999232,3.0875,0.00738,0.12203,18446000000,-62868000768,0.157,0.12,0.0,0.0,0.55924,AUD,
3,395 Bourke Street,Level 28,Melbourne,VIC,3000,Australia,61 3 8872 2461,61 1300 099 249,https://www.nab.com.au,Banks—Diversified,Banks—Diversified,Financial Services,Financial Services,"National Australia Bank Limited provides financial services to individuals and businesses in Australia, New Zealand, and internationally. It operates through Business and Private Banking; Personal Banking; Corporate and Institutional Banking; New Zealand Banking; and Corporate Functions and Other segments. The company accepts transaction accounts, savings accounts, deposit accounts, and term deposits; and specialized accounts, such as foreign currency, business interest, statutory trust, cash maximiser, community free saver, farm management, and project bank accounts, as well as farm management deposits. National Australia Bank Limited also provides home loans; personal loans; business loans; vehicle and equipment finance; and trade and invoice finance, as well as business overdrafts and bank guarantees. In addition, the company offers insurance products consisting of car, home and content, landlord, travel, caravan and trailer, life, and business insurance products; and pension, superannuation, self-managed super funds, cash management, and financial planning and advisory services. Further, it provides investment products; credit, debit, and business cards; payments and merchant services; travel services; online and internet banking services; small business services; international and foreign exchange solutions; and industry specific banking services. National Australia Bank Limited was founded in 1834 and is based in Melbourne, Australia.",36963,"{'maxAge': 1, 'name': 'Ms. Sharon J. Cook', 'title': 'Group Exec. of Legal & Commercial Services', 'fiscalYear': 2022, 'totalPay': 872215, 'exercisedValue': 0, 'unexercisedValue': 0}",10,1,1,1,3,1693526400,1672444800,86400,2,9.55,9.63,9.22,9.63,9.55,9.63,9.22,9.63,0.54,0.0574,1683849600,0.65629995,5.58,0.88063,12.9863,9.978947,64173,64173,180175,130700,130700,0.0,0.0,0,0,59755565056,8.17,11.45,3.0593677,9.2338,9.5756,1.61,0.16858639,USD,169008693248,0.3741,6224623424,6260639744,0,663150,1176163200,1181606400,0.0,0.0,0.0001,0.0,6303329792,9.8095,0.9664101,1664496000,1696032000,1680220800,0.117,7471000064,0.73,0.95,2:1,1390348800,8.653,-0.061386168,0.14113986,0.277,1683849600,PNK,EQUITY,NABZY,NABZY,NATIONAL AUSTRALIA BANK SPONS A,National Australia Bank Limited,583162200,America/New_York,EDT,76237440-7aac-3f7b-b267-a9fb0c67f6b3,finmb_322495,-14400000,9.48,10.54,10.54,10.54,10.54,1.0,strong_buy,1,136431001600,21.792,246089007104,19531999232,3.0875,0.00738,0.12203,18446000000,-62868000768,0.157,0.12,0.0,0.0,0.55924,AUD,
4,395 Bourke Street,Level 28,Melbourne,VIC,3000,Australia,61 3 8872 2461,61 1300 099 249,https://www.nab.com.au,Banks—Diversified,Banks—Diversified,Financial Services,Financial Services,"National Australia Bank Limited provides financial services to individuals and businesses in Australia, New Zealand, and internationally. It operates through Business and Private Banking; Personal Banking; Corporate and Institutional Banking; New Zealand Banking; and Corporate Functions and Other segments. The company accepts transaction accounts, savings accounts, deposit accounts, and term deposits; and specialized accounts, such as foreign currency, business interest, statutory trust, cash maximiser, community free saver, farm management, and project bank accounts, as well as farm management deposits. National Australia Bank Limited also provides home loans; personal loans; business loans; vehicle and equipment finance; and trade and invoice finance, as well as business overdrafts and bank guarantees. In addition, the company offers insurance products consisting of car, home and content, landlord, travel, caravan and trailer, life, and business insurance products; and pension, superannuation, self-managed super funds, cash management, and financial planning and advisory services. Further, it provides investment products; credit, debit, and business cards; payments and merchant services; travel services; online and internet banking services; small business services; international and foreign exchange solutions; and industry specific banking services. National Australia Bank Limited was founded in 1834 and is based in Melbourne, Australia.",36963,"{'maxAge': 1, 'name': 'Ms. Angela  Mentis B.Bus', 'title': 'Group Chief Digital, Data & Analytics Officer', 'fiscalYear': 2022, 'totalPay': 1229205, 'exercisedValue': 0, 'unexercisedValue': 0}",10,1,1,1,3,1693526400,1672444800,86400,2,9.55,9.63,9.22,9.63,9.55,9.63,9.22,9.63,0.54,0.0574,1683849600,0.65629995,5.58,0.88063,12.9863,9.978947,64173,64173,180175,130700,130700,0.0,0.0,0,0,59755565056,8.17,11.45,3.0593677,9.2338,9.5756,1.61,0.16858639,USD,169008693248,0.3741,6224623424,6260639744,0,663150,1176163200,1181606400,0.0,0.0,0.0001,0.0,6303329792,9.8095,0.9664101,1664496000,1696032000,1680220800,0.117,7471000064,0.73,0.95,2:1,1390348800,8.653,-0.061386168,0.14113986,0.277,1683849600,PNK,EQUITY,NABZY,NABZY,NATIONAL AUSTRALIA BANK SPONS A,National Australia Bank Limited,583162200,America/New_York,EDT,76237440-7aac-3f7b-b267-a9fb0c67f6b3,finmb_322495,-14400000,9.48,10.54,10.54,10.54,10.54,1.0,strong_buy,1,136431001600,21.792,246089007104,19531999232,3.0875,0.00738,0.12203,18446000000,-62868000768,0.157,0.12,0.0,0.0,0.55924,AUD,
5,395 Bourke Street,Level 28,Melbourne,VIC,3000,Australia,61 3 8872 2461,61 1300 099 249,https://www.nab.com.au,Banks—Diversified,Banks—Diversified,Financial Services,Financial Services,"National Australia Bank Limited provides financial services to individuals and businesses in Australia, New Zealand, and internationally. It operates through Business and Private Banking; Personal Banking; Corporate and Institutional Banking; New Zealand Banking; and Corporate Functions and Other segments. The company accepts transaction accounts, savings accounts, deposit accounts, and term deposits; and specialized accounts, such as foreign currency, business interest, statutory trust, cash maximiser, community free saver, farm management, and project bank accounts, as well as farm management deposits. National Australia Bank Limited also provides home loans; personal loans; business loans; vehicle and equipment finance; and trade and invoice finance, as well as business overdrafts and bank guarantees. In addition, the company offers insurance products consisting of car, home and content, landlord, travel, caravan and trailer, life, and business insurance products; and pension, superannuation, self-managed super funds, cash management, and financial planning and advisory services. Further, it provides investment products; credit, debit, and business cards; payments and merchant services; travel services; online and internet banking services; small business services; international and foreign exchange solutions; and industry specific banking services. National Australia Bank Limited was founded in 1834 and is based in Melbourne, Australia.",36963,"{'maxAge': 1, 'name': 'Mr. Gary Andrew Lennon BEC, BEc (Hons), F.C.A., FCA', 'title': 'Exec. Officer', 'fiscalYear': 2022, 'totalPay': 1071040, 'exercisedValue': 0, 'unexercisedValue': 0}",10,1,1,1,3,1693526400,1672444800,86400,2,9.55,9.63,9.22,9.63,9.55,9.63,9.22,9.63,0.54,0.0574,1683849600,0.65629995,5.58,0.88063,12.9863,9.978947,64173,64173,180175,130700,130700,0.0,0.0,0,0,59755565056,8.17,11.45,3.0593677,9.2338,9.5756,1.61,0.16858639,USD,169008693248,0.3741,6224623424,6260639744,0,663150,1176163200,1181606400,0.0,0.0,0.0001,0.0,6303329792,9.8095,0.9664101,1664496000,1696032000,1680220800,0.117,7471000064,0.73,0.95,2:1,1390348800,8.653,-0.061386168,0.14113986,0.277,1683849600,PNK,EQUITY,NABZY,NABZY,NATIONAL AUSTRALIA BANK SPONS A,National Australia Bank Limited,583162200,America/New_York,EDT,76237440-7aac-3f7b-b267-a9fb0c67f6b3,finmb_322495,-14400000,9.48,10.54,10.54,10.54,10.54,1.0,strong_buy,1,136431001600,21.792,246089007104,19531999232,3.0875,0.00738,0.12203,18446000000,-62868000768,0.157,0.12,0.0,0.0,0.55924,AUD,
6,395 Bourke Street,Level 28,Melbourne,VIC,3000,Australia,61 3 8872 2461,61 1300 099 249,https://www.nab.com.au,Banks—Diversified,Banks—Diversified,Financial Services,Financial Services,"National Australia Bank Limited provides financial services to individuals and businesses in Australia, New Zealand, and internationally. It operates through Business and Private Banking; Personal Banking; Corporate and Institutional Banking; New Zealand Banking; and Corporate Functions and Other segments. The company accepts transaction accounts, savings accounts, deposit accounts, and term deposits; and specialized accounts, such as foreign currency, business interest, statutory trust, cash maximiser, community free saver, farm management, and project bank accounts, as well as farm management deposits. National Australia Bank Limited also provides home loans; personal loans; business loans; vehicle and equipment finance; and trade and invoice finance, as well as business overdrafts and bank guarantees. In addition, the company offers insurance products consisting of car, home and content, landlord, travel, caravan and trailer, life, and business insurance products; and pension, superannuation, self-managed super funds, cash management, and financial planning and advisory services. Further, it provides investment products; credit, debit, and business cards; payments and merchant services; travel services; online and internet banking services; small business services; international and foreign exchange solutions; and industry specific banking services. National Australia Bank Limited was founded in 1834 and is based in Melbourne, Australia.",36963,"{'maxAge': 1, 'name': 'Mr. Shaun  Dooley', 'title': 'Group Chief Risk Officer', 'fiscalYear': 2022, 'totalPay': 1031122, 'exercisedValue': 0, 'unexercisedValue': 0}",10,1,1,1,3,1693526400,1672444800,86400,2,9.55,9.63,9.22,9.63,9.55,9.63,9.22,9.63,0.54,0.0574,1683849600,0.65629995,5.58,0.88063,12.9863,9.978947,64173,64173,180175,130700,130700,0.0,0.0,0,0,59755565056,8.17,11.45,3.0593677,9.2338,9.5756,1.61,0.16858639,USD,169008693248,0.3741,6224623424,6260639744,0,663150,1176163200,1181606400,0.0,0.0,0.0001,0.0,6303329792,9.8095,0.9664101,1664496000,1696032000,1680220800,0.117,7471000064,0.73,0.95,2:1,1390348800,8.653,-0.061386168,0.14113986,0.277,1683849600,PNK,EQUITY,NABZY,NABZY,NATIONAL AUSTRALIA BANK SPONS A,National Australia Bank Limited,583162200,America/New_York,EDT,76237440-7aac-3f7b-b267-a9fb0c67f6b3,finmb_322495,-14400000,9.48,10.54,10.54,10.54,10.54,1.0,strong_buy,1,136431001600,21.792,246089007104,19531999232,3.0875,0.00738,0.12203,18446000000,-62868000768,0.157,0.12,0.0,0.0,0.55924,AUD,
7,395 Bourke Street,Level 28,Melbourne,VIC,3000,Australia,61 3 8872 2461,61 1300 099 249,https://www.nab.com.au,Banks—Diversified,Banks—Diversified,Financial Services,Financial Services,"National Australia Bank Limited provides financial services to individuals and businesses in Australia, New Zealand, and internationally. It operates through Business and Private Banking; Personal Banking; Corporate and Institutional Banking; New Zealand Banking; and Corporate Functions and Other segments. The company accepts transaction accounts, savings accounts, deposit accounts, and term deposits; and specialized accounts, such as foreign currency, business interest, statutory trust, cash maximiser, community free saver, farm management, and project bank accounts, as well as farm management deposits. National Australia Bank Limited also provides home loans; personal loans; business loans; vehicle and equipment finance; and trade and invoice finance, as well as business overdrafts and bank guarantees. In addition, the company offers insurance products consisting of car, home and content, landlord, travel, caravan and trailer, life, and business insurance products; and pension, superannuation, self-managed super funds, cash management, and financial planning and advisory services. Further, it provides investment products; credit, debit, and business cards; payments and merchant services; travel services; online and internet banking services; small business services; international and foreign exchange solutions; and industry specific banking services. National Australia Bank Limited was founded in 1834 and is based in Melbourne, Australia.",36963,"{'maxAge': 1, 'name': 'Ms. Susan  Ferrier', 'title': 'Group Exec.', 'fiscalYear': 2022, 'totalPay': 823933, 'exercisedValue': 0, 'unexercisedValue': 0}",10,1,1,1,3,1693526400,1672444800,86400,2,9.55,9.63,9.22,9.63,9.55,9.63,9.22,9.63,0.54,0.0574,1683849600,0.65629995,5.58,0.88063,12.9863,9.978947,64173,64173,180175,130700,130700,0.0,0.0,0,0,59755565056,8.17,11.45,3.0593677,9.2338,9.5756,1.61,0.16858639,USD,169008693248,0.3741,6224623424,6260639744,0,663150,1176163200,1181606400,0.0,0.0,0.0001,0.0,6303329792,9.8095,0.9664101,1664496000,1696032000,1680220800,0.117,7471000064,0.73,0.95,2:1,1390348800,8.653,-0.061386168,0.14113986,0.277,1683849600,PNK,EQUITY,NABZY,NABZY,NATIONAL AUSTRALIA BANK SPONS A,National Australia Bank Limited,583162200,America/New_York,EDT,76237440-7aac-3f7b-b267-a9fb0c67f6b3,finmb_322495,-14400000,9.48,10.54,10.54,10.54,10.54,1.0,strong_buy,1,136431001600,21.792,246089007104,19531999232,3.0875,0.00738,0.12203,18446000000,-62868000768,0.157,0.12,0.0,0.0,0.55924,AUD,
8,395 Bourke Street,Level 28,Melbourne,VIC,3000,Australia,61 3 8872 2461,61 1300 099 249,https://www.nab.com.au,Banks—Diversified,Banks—Diversified,Financial Services,Financial Services,"National Australia Bank Limited provides financial services to individuals and businesses in Australia, New Zealand, and internationally. It operates through Business and Private Banking; Personal Banking; Corporate and Institutional Banking; New Zealand Banking; and Corporate Functions and Other segments. The company accepts transaction accounts, savings accounts, deposit accounts, and term deposits; and specialized accounts, such as foreign currency, business interest, statutory trust, cash maximiser, community free saver, farm management, and project bank accounts, as well as farm management deposits. National Australia Bank Limited also provides home loans; personal loans; business loans; vehicle and equipment finance; and trade and invoice finance, as well as business overdrafts and bank guarantees. In addition, the company offers insurance products consisting of car, home and content, landlord, travel, caravan and trailer, life, and business insurance products; and pension, superannuation, self-managed super funds, cash management, and financial planning and advisory services. Further, it provides investment products; credit, debit, and business cards; payments and merchant services; travel services; online and internet banking services; small business services; international and foreign exchange solutions; and industry specific banking services. National Australia Bank Limited was founded in 1834 and is based in Melbourne, Australia.",36963,"{'maxAge': 1, 'name': 'Mr. Daniel James Huggins', 'title': 'MD & CEO of Bank of New Zealand', 'fiscalYear': 2022, 'totalPay': 1108925, 'exercisedValue': 0, 'unexercisedValue': 0}",10,1,1,1,3,1693526400,1672444800,86400,2,9.55,9.63,9.22,9.63,9.55,9.63,9.22,9.63,0.54,0.0574,1683849600,0.65629995,5.58,0.88063,12.9863,9.978947,64173,64173,180175,130700,130700,0.0,0.0,0,0,59755565056,8.17,11.45,3.0593677,9.2338,9.5756,1.61,0.16858639,USD,169008693248,0.3741,6224623424,6260639744,0,663150,1176163200,1181606400,0.0,0.0,0.0001,0.0,6303329792,9.8095,0.9664101,1664496000,1696032000,1680220800,0.117,7471000064,0.73,0.95,2:1,1390348800,8.653,-0.061386168,0.14113986,0.277,1683849600,PNK,EQUITY,NABZY,NABZY,NATIONAL AUSTRALIA BANK SPONS A,National Australia Bank Limited,583162200,America/New_York,EDT,76237440-7aac-3f7b-b267-a9fb0c67f6b3,finmb_322495,-14400000,9.48,10.54,10.54,10.54,10.54,1.0,strong_buy,1,136431001600,21.792,246089007104,19531999232,3.0875,0.00738,0.12203,18446000000,-62868000768,0.157,0.12,0.0,0.0,0.55924,AUD,
9,395 Bourke Street,Level 28,Melbourne,VIC,3000,Australia,61 3 8872 2461,61 1300 099 249,https://www.nab.com.au,Banks—Diversified,Banks—Diversified,Financial Services,Financial Services,"National Australia Bank Limited provides financial services to individuals and businesses in Australia, New Zealand, and internationally. It operates through Business and Private Banking; Personal Banking; Corporate and Institutional Banking; New Zealand Banking; and Corporate Functions and Other segments. The company accepts transaction accounts, savings accounts, deposit accounts, and term deposits; and specialized accounts, such as foreign currency, business interest, statutory trust, cash maximiser, community free saver, farm management, and project bank accounts, as well as farm management deposits. National Australia Bank Limited also provides home loans; personal loans; business loans; vehicle and equipment finance; and trade and invoice finance, as well as business overdrafts and bank guarantees. In addition, the company offers insurance products consisting of car, home and content, landlord, travel, caravan and trailer, life, and business insurance products; and pension, superannuation, self-managed super funds, cash management, and financial planning and advisory services. Further, it provides investment products; credit, debit, and business cards; payments and merchant services; travel services; online and internet banking services; small business services; international and foreign exchange solutions; and industry specific banking services. National Australia Bank Limited was founded in 1834 and is based in Melbourne, Australia.",36963,"{'maxAge': 1, 'name': 'Mr. David  Gall', 'title': 'Group Exec. of Corp. of Institutional Banking', 'fiscalYear': 2022, 'totalPay': 1184722, 'exercisedValue': 0, 'unexercisedValue': 0}",10,1,1,1,3,1693526400,1672444800,86400,2,9.55,9.63,9.22,9.63,9.55,9.63,9.22,9.63,0.54,0.0574,1683849600,0.65629995,5.58,0.88063,12.9863,9.978947,64173,64173,180175,130700,130700,0.0,0.0,0,0,59755565056,8.17,11.45,3.0593677,9.2338,9.5756,1.61,0.16858639,USD,169008693248,0.3741,6224623424,6260639744,0,663150,1176163200,1181606400,0.0,0.0,0.0001,0.0,6303329792,9.8095,0.9664101,1664496000,1696032000,1680220800,0.117,7471000064,0.73,0.95,2:1,1390348800,8.653,-0.061386168,0.14113986,0.277,1683849600,PNK,EQUITY,NABZY,NABZY,NATIONAL AUSTRALIA BANK SPONS A,National Australia Bank Limited,583162200,America/New_York,EDT,76237440-7aac-3f7b-b267-a9fb0c67f6b3,finmb_322495,-14400000,9.48,10.54,10.54,10.54,10.54,1.0,strong_buy,1,136431001600,21.792,246089007104,19531999232,3.0875,0.00738,0.12203,18446000000,-62868000768,0.157,0.12,0.0,0.0,0.55924,AUD,
