,address1,address2,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Le Vinci,4 allée de l'Arche,Courbevoie,92400,France,33 1 78 15 00 00,https://www.nexans.com,Electrical Equipment & Parts,Industrials,"Nexans S.A. designs, manufactures, and sells cable systems and services in France and internationally. It operates in five segments: Building & Territories, Generation & Transmission, Telecom & Data, Industry & Solutions, and Other Activities. The company provides design, engineering, financing, asset management, and systems management solutions for offshore wind farms, subsea interconnections, and land high voltage, as well as smart solutions for oil and gas sector. It also offers cables for the energy distribution networks; and equipment cables for buildings. In addition, the company provides cabling and connectivity solutions to support OEMs and industrial infrastructure project managers in transport, automatic devices, renewable energy, resources, and other sectors. Further, it offers data transmission, telecom networks, hyperscale data centers, and LAN cabling solutions for customers to deploy copper and fiber optic infrastructures; and wire rods and electrical wires, as well as engages in winding wire production operations. The company was incorporated in 1994 and is headquartered in Courbevoie, France.",23184,"{'maxAge': 1, 'name': 'Mr. Christopher  Guerin', 'age': 50, 'title': 'Chief Exec. Officer', 'yearBorn': 1972, 'fiscalYear': 2022, 'totalPay': 1838545, 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,6,4,4,1693526400,1672444800,86400,2,74.55,75.15,75.15,77.95,74.55,75.15,75.15,77.95,2.1,0.028199999,1684108800,0.5232,1.484609,19.077305,12.299036,201741,201741,77241,106329,106329,3408579840,70.1,102.9,0.42416376,76.88,83.2885,2.1,0.028169012,EUR,3583853568,0.0224,31854782,43706500,0.23322001,0.50169,35.801,2.136812,1672444800,1703980800,1688083200,-0.33,180000000,4.01,6.22,-12.77,0.446,6.959,PAR,EQUITY,NEX.PA,NEX.PA,NEXANS,Nexans S.A.,992415600,Europe/Paris,CEST,7200000,76.5,116.0,85.0,96.4,98.0,2.4,buy,11,1174000000,26.891,515000000,1402000000,0.642,1.111,8035999744,88.79,184.461,0.03675,0.114930004,996000000,307000000,729000000,-0.335,-0.077,0.12630999,0.06409,0.04803,EUR,
1,Le Vinci,4 allée de l'Arche,Courbevoie,92400,France,33 1 78 15 00 00,https://www.nexans.com,Electrical Equipment & Parts,Industrials,"Nexans S.A. designs, manufactures, and sells cable systems and services in France and internationally. It operates in five segments: Building & Territories, Generation & Transmission, Telecom & Data, Industry & Solutions, and Other Activities. The company provides design, engineering, financing, asset management, and systems management solutions for offshore wind farms, subsea interconnections, and land high voltage, as well as smart solutions for oil and gas sector. It also offers cables for the energy distribution networks; and equipment cables for buildings. In addition, the company provides cabling and connectivity solutions to support OEMs and industrial infrastructure project managers in transport, automatic devices, renewable energy, resources, and other sectors. Further, it offers data transmission, telecom networks, hyperscale data centers, and LAN cabling solutions for customers to deploy copper and fiber optic infrastructures; and wire rods and electrical wires, as well as engages in winding wire production operations. The company was incorporated in 1994 and is headquartered in Courbevoie, France.",23184,"{'maxAge': 1, 'name': 'Ms. Angeline  Afanoukoe', 'age': 51, 'title': 'Head of Institution Relations & Director Representing Employees', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,6,4,4,1693526400,1672444800,86400,2,74.55,75.15,75.15,77.95,74.55,75.15,75.15,77.95,2.1,0.028199999,1684108800,0.5232,1.484609,19.077305,12.299036,201741,201741,77241,106329,106329,3408579840,70.1,102.9,0.42416376,76.88,83.2885,2.1,0.028169012,EUR,3583853568,0.0224,31854782,43706500,0.23322001,0.50169,35.801,2.136812,1672444800,1703980800,1688083200,-0.33,180000000,4.01,6.22,-12.77,0.446,6.959,PAR,EQUITY,NEX.PA,NEX.PA,NEXANS,Nexans S.A.,992415600,Europe/Paris,CEST,7200000,76.5,116.0,85.0,96.4,98.0,2.4,buy,11,1174000000,26.891,515000000,1402000000,0.642,1.111,8035999744,88.79,184.461,0.03675,0.114930004,996000000,307000000,729000000,-0.335,-0.077,0.12630999,0.06409,0.04803,EUR,
2,Le Vinci,4 allée de l'Arche,Courbevoie,92400,France,33 1 78 15 00 00,https://www.nexans.com,Electrical Equipment & Parts,Industrials,"Nexans S.A. designs, manufactures, and sells cable systems and services in France and internationally. It operates in five segments: Building & Territories, Generation & Transmission, Telecom & Data, Industry & Solutions, and Other Activities. The company provides design, engineering, financing, asset management, and systems management solutions for offshore wind farms, subsea interconnections, and land high voltage, as well as smart solutions for oil and gas sector. It also offers cables for the energy distribution networks; and equipment cables for buildings. In addition, the company provides cabling and connectivity solutions to support OEMs and industrial infrastructure project managers in transport, automatic devices, renewable energy, resources, and other sectors. Further, it offers data transmission, telecom networks, hyperscale data centers, and LAN cabling solutions for customers to deploy copper and fiber optic infrastructures; and wire rods and electrical wires, as well as engages in winding wire production operations. The company was incorporated in 1994 and is headquartered in Courbevoie, France.",23184,"{'maxAge': 1, 'name': 'Mr. Jean-Christophe  Juillard', 'age': 53, 'title': 'Sr. Corp. VP, Deputy CEO & CFO', 'yearBorn': 1969, 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,6,4,4,1693526400,1672444800,86400,2,74.55,75.15,75.15,77.95,74.55,75.15,75.15,77.95,2.1,0.028199999,1684108800,0.5232,1.484609,19.077305,12.299036,201741,201741,77241,106329,106329,3408579840,70.1,102.9,0.42416376,76.88,83.2885,2.1,0.028169012,EUR,3583853568,0.0224,31854782,43706500,0.23322001,0.50169,35.801,2.136812,1672444800,1703980800,1688083200,-0.33,180000000,4.01,6.22,-12.77,0.446,6.959,PAR,EQUITY,NEX.PA,NEX.PA,NEXANS,Nexans S.A.,992415600,Europe/Paris,CEST,7200000,76.5,116.0,85.0,96.4,98.0,2.4,buy,11,1174000000,26.891,515000000,1402000000,0.642,1.111,8035999744,88.79,184.461,0.03675,0.114930004,996000000,307000000,729000000,-0.335,-0.077,0.12630999,0.06409,0.04803,EUR,
3,Le Vinci,4 allée de l'Arche,Courbevoie,92400,France,33 1 78 15 00 00,https://www.nexans.com,Electrical Equipment & Parts,Industrials,"Nexans S.A. designs, manufactures, and sells cable systems and services in France and internationally. It operates in five segments: Building & Territories, Generation & Transmission, Telecom & Data, Industry & Solutions, and Other Activities. The company provides design, engineering, financing, asset management, and systems management solutions for offshore wind farms, subsea interconnections, and land high voltage, as well as smart solutions for oil and gas sector. It also offers cables for the energy distribution networks; and equipment cables for buildings. In addition, the company provides cabling and connectivity solutions to support OEMs and industrial infrastructure project managers in transport, automatic devices, renewable energy, resources, and other sectors. Further, it offers data transmission, telecom networks, hyperscale data centers, and LAN cabling solutions for customers to deploy copper and fiber optic infrastructures; and wire rods and electrical wires, as well as engages in winding wire production operations. The company was incorporated in 1994 and is headquartered in Courbevoie, France.",23184,"{'maxAge': 1, 'name': 'Mr. Vincent  Dessale', 'age': 56, 'title': 'COO & Sr. EVP', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,6,4,4,1693526400,1672444800,86400,2,74.55,75.15,75.15,77.95,74.55,75.15,75.15,77.95,2.1,0.028199999,1684108800,0.5232,1.484609,19.077305,12.299036,201741,201741,77241,106329,106329,3408579840,70.1,102.9,0.42416376,76.88,83.2885,2.1,0.028169012,EUR,3583853568,0.0224,31854782,43706500,0.23322001,0.50169,35.801,2.136812,1672444800,1703980800,1688083200,-0.33,180000000,4.01,6.22,-12.77,0.446,6.959,PAR,EQUITY,NEX.PA,NEX.PA,NEXANS,Nexans S.A.,992415600,Europe/Paris,CEST,7200000,76.5,116.0,85.0,96.4,98.0,2.4,buy,11,1174000000,26.891,515000000,1402000000,0.642,1.111,8035999744,88.79,184.461,0.03675,0.114930004,996000000,307000000,729000000,-0.335,-0.077,0.12630999,0.06409,0.04803,EUR,
4,Le Vinci,4 allée de l'Arche,Courbevoie,92400,France,33 1 78 15 00 00,https://www.nexans.com,Electrical Equipment & Parts,Industrials,"Nexans S.A. designs, manufactures, and sells cable systems and services in France and internationally. It operates in five segments: Building & Territories, Generation & Transmission, Telecom & Data, Industry & Solutions, and Other Activities. The company provides design, engineering, financing, asset management, and systems management solutions for offshore wind farms, subsea interconnections, and land high voltage, as well as smart solutions for oil and gas sector. It also offers cables for the energy distribution networks; and equipment cables for buildings. In addition, the company provides cabling and connectivity solutions to support OEMs and industrial infrastructure project managers in transport, automatic devices, renewable energy, resources, and other sectors. Further, it offers data transmission, telecom networks, hyperscale data centers, and LAN cabling solutions for customers to deploy copper and fiber optic infrastructures; and wire rods and electrical wires, as well as engages in winding wire production operations. The company was incorporated in 1994 and is headquartered in Courbevoie, France.",23184,"{'maxAge': 1, 'name': 'Aurelia  Baudey-Vignaud', 'title': 'Head of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,6,4,4,1693526400,1672444800,86400,2,74.55,75.15,75.15,77.95,74.55,75.15,75.15,77.95,2.1,0.028199999,1684108800,0.5232,1.484609,19.077305,12.299036,201741,201741,77241,106329,106329,3408579840,70.1,102.9,0.42416376,76.88,83.2885,2.1,0.028169012,EUR,3583853568,0.0224,31854782,43706500,0.23322001,0.50169,35.801,2.136812,1672444800,1703980800,1688083200,-0.33,180000000,4.01,6.22,-12.77,0.446,6.959,PAR,EQUITY,NEX.PA,NEX.PA,NEXANS,Nexans S.A.,992415600,Europe/Paris,CEST,7200000,76.5,116.0,85.0,96.4,98.0,2.4,buy,11,1174000000,26.891,515000000,1402000000,0.642,1.111,8035999744,88.79,184.461,0.03675,0.114930004,996000000,307000000,729000000,-0.335,-0.077,0.12630999,0.06409,0.04803,EUR,
5,Le Vinci,4 allée de l'Arche,Courbevoie,92400,France,33 1 78 15 00 00,https://www.nexans.com,Electrical Equipment & Parts,Industrials,"Nexans S.A. designs, manufactures, and sells cable systems and services in France and internationally. It operates in five segments: Building & Territories, Generation & Transmission, Telecom & Data, Industry & Solutions, and Other Activities. The company provides design, engineering, financing, asset management, and systems management solutions for offshore wind farms, subsea interconnections, and land high voltage, as well as smart solutions for oil and gas sector. It also offers cables for the energy distribution networks; and equipment cables for buildings. In addition, the company provides cabling and connectivity solutions to support OEMs and industrial infrastructure project managers in transport, automatic devices, renewable energy, resources, and other sectors. Further, it offers data transmission, telecom networks, hyperscale data centers, and LAN cabling solutions for customers to deploy copper and fiber optic infrastructures; and wire rods and electrical wires, as well as engages in winding wire production operations. The company was incorporated in 1994 and is headquartered in Courbevoie, France.",23184,"{'maxAge': 1, 'name': 'Mr. Antonino  Cusimano', 'age': 58, 'title': 'Sr. Corp. VP, Gen. Counsel & Sec. Gen.', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,6,4,4,1693526400,1672444800,86400,2,74.55,75.15,75.15,77.95,74.55,75.15,75.15,77.95,2.1,0.028199999,1684108800,0.5232,1.484609,19.077305,12.299036,201741,201741,77241,106329,106329,3408579840,70.1,102.9,0.42416376,76.88,83.2885,2.1,0.028169012,EUR,3583853568,0.0224,31854782,43706500,0.23322001,0.50169,35.801,2.136812,1672444800,1703980800,1688083200,-0.33,180000000,4.01,6.22,-12.77,0.446,6.959,PAR,EQUITY,NEX.PA,NEX.PA,NEXANS,Nexans S.A.,992415600,Europe/Paris,CEST,7200000,76.5,116.0,85.0,96.4,98.0,2.4,buy,11,1174000000,26.891,515000000,1402000000,0.642,1.111,8035999744,88.79,184.461,0.03675,0.114930004,996000000,307000000,729000000,-0.335,-0.077,0.12630999,0.06409,0.04803,EUR,
6,Le Vinci,4 allée de l'Arche,Courbevoie,92400,France,33 1 78 15 00 00,https://www.nexans.com,Electrical Equipment & Parts,Industrials,"Nexans S.A. designs, manufactures, and sells cable systems and services in France and internationally. It operates in five segments: Building & Territories, Generation & Transmission, Telecom & Data, Industry & Solutions, and Other Activities. The company provides design, engineering, financing, asset management, and systems management solutions for offshore wind farms, subsea interconnections, and land high voltage, as well as smart solutions for oil and gas sector. It also offers cables for the energy distribution networks; and equipment cables for buildings. In addition, the company provides cabling and connectivity solutions to support OEMs and industrial infrastructure project managers in transport, automatic devices, renewable energy, resources, and other sectors. Further, it offers data transmission, telecom networks, hyperscale data centers, and LAN cabling solutions for customers to deploy copper and fiber optic infrastructures; and wire rods and electrical wires, as well as engages in winding wire production operations. The company was incorporated in 1994 and is headquartered in Courbevoie, France.",23184,"{'maxAge': 1, 'name': 'Ms. Maria Lorente Fraguas', 'title': 'Sr. Corp. VP & Chief HR Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,6,4,4,1693526400,1672444800,86400,2,74.55,75.15,75.15,77.95,74.55,75.15,75.15,77.95,2.1,0.028199999,1684108800,0.5232,1.484609,19.077305,12.299036,201741,201741,77241,106329,106329,3408579840,70.1,102.9,0.42416376,76.88,83.2885,2.1,0.028169012,EUR,3583853568,0.0224,31854782,43706500,0.23322001,0.50169,35.801,2.136812,1672444800,1703980800,1688083200,-0.33,180000000,4.01,6.22,-12.77,0.446,6.959,PAR,EQUITY,NEX.PA,NEX.PA,NEXANS,Nexans S.A.,992415600,Europe/Paris,CEST,7200000,76.5,116.0,85.0,96.4,98.0,2.4,buy,11,1174000000,26.891,515000000,1402000000,0.642,1.111,8035999744,88.79,184.461,0.03675,0.114930004,996000000,307000000,729000000,-0.335,-0.077,0.12630999,0.06409,0.04803,EUR,
7,Le Vinci,4 allée de l'Arche,Courbevoie,92400,France,33 1 78 15 00 00,https://www.nexans.com,Electrical Equipment & Parts,Industrials,"Nexans S.A. designs, manufactures, and sells cable systems and services in France and internationally. It operates in five segments: Building & Territories, Generation & Transmission, Telecom & Data, Industry & Solutions, and Other Activities. The company provides design, engineering, financing, asset management, and systems management solutions for offshore wind farms, subsea interconnections, and land high voltage, as well as smart solutions for oil and gas sector. It also offers cables for the energy distribution networks; and equipment cables for buildings. In addition, the company provides cabling and connectivity solutions to support OEMs and industrial infrastructure project managers in transport, automatic devices, renewable energy, resources, and other sectors. Further, it offers data transmission, telecom networks, hyperscale data centers, and LAN cabling solutions for customers to deploy copper and fiber optic infrastructures; and wire rods and electrical wires, as well as engages in winding wire production operations. The company was incorporated in 1994 and is headquartered in Courbevoie, France.",23184,"{'maxAge': 1, 'name': 'Mr. Vijay  Mahadevan', 'age': 56, 'title': 'Exec. VP Distribution & Usages Bus. Group in Americas, Middle East and Africa', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,6,4,4,1693526400,1672444800,86400,2,74.55,75.15,75.15,77.95,74.55,75.15,75.15,77.95,2.1,0.028199999,1684108800,0.5232,1.484609,19.077305,12.299036,201741,201741,77241,106329,106329,3408579840,70.1,102.9,0.42416376,76.88,83.2885,2.1,0.028169012,EUR,3583853568,0.0224,31854782,43706500,0.23322001,0.50169,35.801,2.136812,1672444800,1703980800,1688083200,-0.33,180000000,4.01,6.22,-12.77,0.446,6.959,PAR,EQUITY,NEX.PA,NEX.PA,NEXANS,Nexans S.A.,992415600,Europe/Paris,CEST,7200000,76.5,116.0,85.0,96.4,98.0,2.4,buy,11,1174000000,26.891,515000000,1402000000,0.642,1.111,8035999744,88.79,184.461,0.03675,0.114930004,996000000,307000000,729000000,-0.335,-0.077,0.12630999,0.06409,0.04803,EUR,
8,Le Vinci,4 allée de l'Arche,Courbevoie,92400,France,33 1 78 15 00 00,https://www.nexans.com,Electrical Equipment & Parts,Industrials,"Nexans S.A. designs, manufactures, and sells cable systems and services in France and internationally. It operates in five segments: Building & Territories, Generation & Transmission, Telecom & Data, Industry & Solutions, and Other Activities. The company provides design, engineering, financing, asset management, and systems management solutions for offshore wind farms, subsea interconnections, and land high voltage, as well as smart solutions for oil and gas sector. It also offers cables for the energy distribution networks; and equipment cables for buildings. In addition, the company provides cabling and connectivity solutions to support OEMs and industrial infrastructure project managers in transport, automatic devices, renewable energy, resources, and other sectors. Further, it offers data transmission, telecom networks, hyperscale data centers, and LAN cabling solutions for customers to deploy copper and fiber optic infrastructures; and wire rods and electrical wires, as well as engages in winding wire production operations. The company was incorporated in 1994 and is headquartered in Courbevoie, France.",23184,"{'maxAge': 1, 'name': 'Yvan  Duperray', 'title': 'Exec. VP, Power Accessories Bus. Group', 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,6,4,4,1693526400,1672444800,86400,2,74.55,75.15,75.15,77.95,74.55,75.15,75.15,77.95,2.1,0.028199999,1684108800,0.5232,1.484609,19.077305,12.299036,201741,201741,77241,106329,106329,3408579840,70.1,102.9,0.42416376,76.88,83.2885,2.1,0.028169012,EUR,3583853568,0.0224,31854782,43706500,0.23322001,0.50169,35.801,2.136812,1672444800,1703980800,1688083200,-0.33,180000000,4.01,6.22,-12.77,0.446,6.959,PAR,EQUITY,NEX.PA,NEX.PA,NEXANS,Nexans S.A.,992415600,Europe/Paris,CEST,7200000,76.5,116.0,85.0,96.4,98.0,2.4,buy,11,1174000000,26.891,515000000,1402000000,0.642,1.111,8035999744,88.79,184.461,0.03675,0.114930004,996000000,307000000,729000000,-0.335,-0.077,0.12630999,0.06409,0.04803,EUR,
9,Le Vinci,4 allée de l'Arche,Courbevoie,92400,France,33 1 78 15 00 00,https://www.nexans.com,Electrical Equipment & Parts,Industrials,"Nexans S.A. designs, manufactures, and sells cable systems and services in France and internationally. It operates in five segments: Building & Territories, Generation & Transmission, Telecom & Data, Industry & Solutions, and Other Activities. The company provides design, engineering, financing, asset management, and systems management solutions for offshore wind farms, subsea interconnections, and land high voltage, as well as smart solutions for oil and gas sector. It also offers cables for the energy distribution networks; and equipment cables for buildings. In addition, the company provides cabling and connectivity solutions to support OEMs and industrial infrastructure project managers in transport, automatic devices, renewable energy, resources, and other sectors. Further, it offers data transmission, telecom networks, hyperscale data centers, and LAN cabling solutions for customers to deploy copper and fiber optic infrastructures; and wire rods and electrical wires, as well as engages in winding wire production operations. The company was incorporated in 1994 and is headquartered in Courbevoie, France.",23184,"{'maxAge': 1, 'name': 'Mr. Juan Ignacio Eyzaguirre', 'age': 39, 'title': 'Exec. VP of Industry Solutions & Projects, Telecom Infra and Automotive Harnesses Busi Grp', 'yearBorn': 1983, 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,6,4,4,1693526400,1672444800,86400,2,74.55,75.15,75.15,77.95,74.55,75.15,75.15,77.95,2.1,0.028199999,1684108800,0.5232,1.484609,19.077305,12.299036,201741,201741,77241,106329,106329,3408579840,70.1,102.9,0.42416376,76.88,83.2885,2.1,0.028169012,EUR,3583853568,0.0224,31854782,43706500,0.23322001,0.50169,35.801,2.136812,1672444800,1703980800,1688083200,-0.33,180000000,4.01,6.22,-12.77,0.446,6.959,PAR,EQUITY,NEX.PA,NEX.PA,NEXANS,Nexans S.A.,992415600,Europe/Paris,CEST,7200000,76.5,116.0,85.0,96.4,98.0,2.4,buy,11,1174000000,26.891,515000000,1402000000,0.642,1.111,8035999744,88.79,184.461,0.03675,0.114930004,996000000,307000000,729000000,-0.335,-0.077,0.12630999,0.06409,0.04803,EUR,
