,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,60 Cutter Mill Road,Suite 303,Great Neck,NY,11021-3104,United States,516 466 3100,516 466 3132,https://www.onelibertyproperties.com,REIT—Diversified,Real Estate,"One Liberty is a self-administered and self-managed real estate investment trust incorporated in Maryland in 1982. The Company acquires, owns and manages a geographically diversified portfolio consisting primarily of industrial and retail properties. Many of these properties are subject to long-term net leases under which the tenant is typically responsible for the property's real estate taxes, insurance and ordinary maintenance and repairs.",10,"{'maxAge': 1, 'name': 'Mr. Patrick J. Callan Jr.', 'age': 59, 'title': 'Pres, CEO & Director', 'yearBorn': 1963, 'fiscalYear': 2022, 'totalPay': 1141078, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,3,5,6,1693526400,1672444800,86400,2,19.66,19.58,19.51,19.8,19.66,19.58,19.51,19.8,1.8,0.0919,1687478400,1.374,7.63,1.329183,14.954199,30.138462,99215,99215,64279,70640,70640,19.45,20.01,1000,800,418912576,19.05,25.05,4.415928,20.0466,21.65055,1.8,0.09155646,USD,833148864,0.29508,18144850,21384000,130926,95030,1690761600,1693440000,0.0061000003,0.11192001,0.47931,2.12,0.0081,15.188,1.2898341,1672444800,1703980800,1688083200,-0.611,26800000,1.31,0.65,3.72,8.783,14.818,NYQ,EQUITY,OLP,OLP,"One Liberty Properties, Inc.","One Liberty Properties, Inc.",420125400,America/New_York,EDT,-14400000,19.59,22.0,21.0,21.5,21.5,3.0,hold,2,9622000,0.452,56226000,424329984,0.778,1.344,94864000,135.588,4.64,0.03083,0.08926,77083000,34668000,45338000,-0.62,0.041,0.82765,0.5927,0.40305,USD,
1,60 Cutter Mill Road,Suite 303,Great Neck,NY,11021-3104,United States,516 466 3100,516 466 3132,https://www.onelibertyproperties.com,REIT—Diversified,Real Estate,"One Liberty is a self-administered and self-managed real estate investment trust incorporated in Maryland in 1982. The Company acquires, owns and manages a geographically diversified portfolio consisting primarily of industrial and retail properties. Many of these properties are subject to long-term net leases under which the tenant is typically responsible for the property's real estate taxes, insurance and ordinary maintenance and repairs.",10,"{'maxAge': 1, 'name': 'Mr. Lawrence G. Ricketts Jr.', 'age': 45, 'title': 'Exec. VP & COO', 'yearBorn': 1977, 'fiscalYear': 2022, 'totalPay': 685388, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,3,5,6,1693526400,1672444800,86400,2,19.66,19.58,19.51,19.8,19.66,19.58,19.51,19.8,1.8,0.0919,1687478400,1.374,7.63,1.329183,14.954199,30.138462,99215,99215,64279,70640,70640,19.45,20.01,1000,800,418912576,19.05,25.05,4.415928,20.0466,21.65055,1.8,0.09155646,USD,833148864,0.29508,18144850,21384000,130926,95030,1690761600,1693440000,0.0061000003,0.11192001,0.47931,2.12,0.0081,15.188,1.2898341,1672444800,1703980800,1688083200,-0.611,26800000,1.31,0.65,3.72,8.783,14.818,NYQ,EQUITY,OLP,OLP,"One Liberty Properties, Inc.","One Liberty Properties, Inc.",420125400,America/New_York,EDT,-14400000,19.59,22.0,21.0,21.5,21.5,3.0,hold,2,9622000,0.452,56226000,424329984,0.778,1.344,94864000,135.588,4.64,0.03083,0.08926,77083000,34668000,45338000,-0.62,0.041,0.82765,0.5927,0.40305,USD,
2,60 Cutter Mill Road,Suite 303,Great Neck,NY,11021-3104,United States,516 466 3100,516 466 3132,https://www.onelibertyproperties.com,REIT—Diversified,Real Estate,"One Liberty is a self-administered and self-managed real estate investment trust incorporated in Maryland in 1982. The Company acquires, owns and manages a geographically diversified portfolio consisting primarily of industrial and retail properties. Many of these properties are subject to long-term net leases under which the tenant is typically responsible for the property's real estate taxes, insurance and ordinary maintenance and repairs.",10,"{'maxAge': 1, 'name': 'Mr. David W. Kalish', 'age': 75, 'title': 'Sr. VP-Financial', 'yearBorn': 1947, 'fiscalYear': 2022, 'totalPay': 237422, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,3,5,6,1693526400,1672444800,86400,2,19.66,19.58,19.51,19.8,19.66,19.58,19.51,19.8,1.8,0.0919,1687478400,1.374,7.63,1.329183,14.954199,30.138462,99215,99215,64279,70640,70640,19.45,20.01,1000,800,418912576,19.05,25.05,4.415928,20.0466,21.65055,1.8,0.09155646,USD,833148864,0.29508,18144850,21384000,130926,95030,1690761600,1693440000,0.0061000003,0.11192001,0.47931,2.12,0.0081,15.188,1.2898341,1672444800,1703980800,1688083200,-0.611,26800000,1.31,0.65,3.72,8.783,14.818,NYQ,EQUITY,OLP,OLP,"One Liberty Properties, Inc.","One Liberty Properties, Inc.",420125400,America/New_York,EDT,-14400000,19.59,22.0,21.0,21.5,21.5,3.0,hold,2,9622000,0.452,56226000,424329984,0.778,1.344,94864000,135.588,4.64,0.03083,0.08926,77083000,34668000,45338000,-0.62,0.041,0.82765,0.5927,0.40305,USD,
3,60 Cutter Mill Road,Suite 303,Great Neck,NY,11021-3104,United States,516 466 3100,516 466 3132,https://www.onelibertyproperties.com,REIT—Diversified,Real Estate,"One Liberty is a self-administered and self-managed real estate investment trust incorporated in Maryland in 1982. The Company acquires, owns and manages a geographically diversified portfolio consisting primarily of industrial and retail properties. Many of these properties are subject to long-term net leases under which the tenant is typically responsible for the property's real estate taxes, insurance and ordinary maintenance and repairs.",10,"{'maxAge': 1, 'name': 'Mr. Isaac David Kalish', 'age': 47, 'title': 'CFO, Sr. VP & Assistant Treasurer', 'yearBorn': 1975, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,3,5,6,1693526400,1672444800,86400,2,19.66,19.58,19.51,19.8,19.66,19.58,19.51,19.8,1.8,0.0919,1687478400,1.374,7.63,1.329183,14.954199,30.138462,99215,99215,64279,70640,70640,19.45,20.01,1000,800,418912576,19.05,25.05,4.415928,20.0466,21.65055,1.8,0.09155646,USD,833148864,0.29508,18144850,21384000,130926,95030,1690761600,1693440000,0.0061000003,0.11192001,0.47931,2.12,0.0081,15.188,1.2898341,1672444800,1703980800,1688083200,-0.611,26800000,1.31,0.65,3.72,8.783,14.818,NYQ,EQUITY,OLP,OLP,"One Liberty Properties, Inc.","One Liberty Properties, Inc.",420125400,America/New_York,EDT,-14400000,19.59,22.0,21.0,21.5,21.5,3.0,hold,2,9622000,0.452,56226000,424329984,0.778,1.344,94864000,135.588,4.64,0.03083,0.08926,77083000,34668000,45338000,-0.62,0.041,0.82765,0.5927,0.40305,USD,
4,60 Cutter Mill Road,Suite 303,Great Neck,NY,11021-3104,United States,516 466 3100,516 466 3132,https://www.onelibertyproperties.com,REIT—Diversified,Real Estate,"One Liberty is a self-administered and self-managed real estate investment trust incorporated in Maryland in 1982. The Company acquires, owns and manages a geographically diversified portfolio consisting primarily of industrial and retail properties. Many of these properties are subject to long-term net leases under which the tenant is typically responsible for the property's real estate taxes, insurance and ordinary maintenance and repairs.",10,"{'maxAge': 1, 'name': 'Ms. Mili  Mathew', 'age': 39, 'title': 'Chief Accounting Officer & VP of Financial', 'yearBorn': 1983, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,3,5,6,1693526400,1672444800,86400,2,19.66,19.58,19.51,19.8,19.66,19.58,19.51,19.8,1.8,0.0919,1687478400,1.374,7.63,1.329183,14.954199,30.138462,99215,99215,64279,70640,70640,19.45,20.01,1000,800,418912576,19.05,25.05,4.415928,20.0466,21.65055,1.8,0.09155646,USD,833148864,0.29508,18144850,21384000,130926,95030,1690761600,1693440000,0.0061000003,0.11192001,0.47931,2.12,0.0081,15.188,1.2898341,1672444800,1703980800,1688083200,-0.611,26800000,1.31,0.65,3.72,8.783,14.818,NYQ,EQUITY,OLP,OLP,"One Liberty Properties, Inc.","One Liberty Properties, Inc.",420125400,America/New_York,EDT,-14400000,19.59,22.0,21.0,21.5,21.5,3.0,hold,2,9622000,0.452,56226000,424329984,0.778,1.344,94864000,135.588,4.64,0.03083,0.08926,77083000,34668000,45338000,-0.62,0.041,0.82765,0.5927,0.40305,USD,
5,60 Cutter Mill Road,Suite 303,Great Neck,NY,11021-3104,United States,516 466 3100,516 466 3132,https://www.onelibertyproperties.com,REIT—Diversified,Real Estate,"One Liberty is a self-administered and self-managed real estate investment trust incorporated in Maryland in 1982. The Company acquires, owns and manages a geographically diversified portfolio consisting primarily of industrial and retail properties. Many of these properties are subject to long-term net leases under which the tenant is typically responsible for the property's real estate taxes, insurance and ordinary maintenance and repairs.",10,"{'maxAge': 1, 'name': 'Mr. S. Asher Gaffney', 'title': 'Investor Relations Contact, VP & Corp. Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,3,5,6,1693526400,1672444800,86400,2,19.66,19.58,19.51,19.8,19.66,19.58,19.51,19.8,1.8,0.0919,1687478400,1.374,7.63,1.329183,14.954199,30.138462,99215,99215,64279,70640,70640,19.45,20.01,1000,800,418912576,19.05,25.05,4.415928,20.0466,21.65055,1.8,0.09155646,USD,833148864,0.29508,18144850,21384000,130926,95030,1690761600,1693440000,0.0061000003,0.11192001,0.47931,2.12,0.0081,15.188,1.2898341,1672444800,1703980800,1688083200,-0.611,26800000,1.31,0.65,3.72,8.783,14.818,NYQ,EQUITY,OLP,OLP,"One Liberty Properties, Inc.","One Liberty Properties, Inc.",420125400,America/New_York,EDT,-14400000,19.59,22.0,21.0,21.5,21.5,3.0,hold,2,9622000,0.452,56226000,424329984,0.778,1.344,94864000,135.588,4.64,0.03083,0.08926,77083000,34668000,45338000,-0.62,0.041,0.82765,0.5927,0.40305,USD,
6,60 Cutter Mill Road,Suite 303,Great Neck,NY,11021-3104,United States,516 466 3100,516 466 3132,https://www.onelibertyproperties.com,REIT—Diversified,Real Estate,"One Liberty is a self-administered and self-managed real estate investment trust incorporated in Maryland in 1982. The Company acquires, owns and manages a geographically diversified portfolio consisting primarily of industrial and retail properties. Many of these properties are subject to long-term net leases under which the tenant is typically responsible for the property's real estate taxes, insurance and ordinary maintenance and repairs.",10,"{'maxAge': 1, 'name': 'Mr. Richard M. Figueroa', 'age': 54, 'title': 'Sr. VP, Counsel & Assistant Sec.', 'yearBorn': 1968, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,3,5,6,1693526400,1672444800,86400,2,19.66,19.58,19.51,19.8,19.66,19.58,19.51,19.8,1.8,0.0919,1687478400,1.374,7.63,1.329183,14.954199,30.138462,99215,99215,64279,70640,70640,19.45,20.01,1000,800,418912576,19.05,25.05,4.415928,20.0466,21.65055,1.8,0.09155646,USD,833148864,0.29508,18144850,21384000,130926,95030,1690761600,1693440000,0.0061000003,0.11192001,0.47931,2.12,0.0081,15.188,1.2898341,1672444800,1703980800,1688083200,-0.611,26800000,1.31,0.65,3.72,8.783,14.818,NYQ,EQUITY,OLP,OLP,"One Liberty Properties, Inc.","One Liberty Properties, Inc.",420125400,America/New_York,EDT,-14400000,19.59,22.0,21.0,21.5,21.5,3.0,hold,2,9622000,0.452,56226000,424329984,0.778,1.344,94864000,135.588,4.64,0.03083,0.08926,77083000,34668000,45338000,-0.62,0.041,0.82765,0.5927,0.40305,USD,
7,60 Cutter Mill Road,Suite 303,Great Neck,NY,11021-3104,United States,516 466 3100,516 466 3132,https://www.onelibertyproperties.com,REIT—Diversified,Real Estate,"One Liberty is a self-administered and self-managed real estate investment trust incorporated in Maryland in 1982. The Company acquires, owns and manages a geographically diversified portfolio consisting primarily of industrial and retail properties. Many of these properties are subject to long-term net leases under which the tenant is typically responsible for the property's real estate taxes, insurance and ordinary maintenance and repairs.",10,"{'maxAge': 1, 'name': 'Mr. Jeffrey Alan Gould', 'age': 56, 'title': 'Sr. VP & Director', 'yearBorn': 1966, 'fiscalYear': 2015, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,3,5,6,1693526400,1672444800,86400,2,19.66,19.58,19.51,19.8,19.66,19.58,19.51,19.8,1.8,0.0919,1687478400,1.374,7.63,1.329183,14.954199,30.138462,99215,99215,64279,70640,70640,19.45,20.01,1000,800,418912576,19.05,25.05,4.415928,20.0466,21.65055,1.8,0.09155646,USD,833148864,0.29508,18144850,21384000,130926,95030,1690761600,1693440000,0.0061000003,0.11192001,0.47931,2.12,0.0081,15.188,1.2898341,1672444800,1703980800,1688083200,-0.611,26800000,1.31,0.65,3.72,8.783,14.818,NYQ,EQUITY,OLP,OLP,"One Liberty Properties, Inc.","One Liberty Properties, Inc.",420125400,America/New_York,EDT,-14400000,19.59,22.0,21.0,21.5,21.5,3.0,hold,2,9622000,0.452,56226000,424329984,0.778,1.344,94864000,135.588,4.64,0.03083,0.08926,77083000,34668000,45338000,-0.62,0.041,0.82765,0.5927,0.40305,USD,
8,60 Cutter Mill Road,Suite 303,Great Neck,NY,11021-3104,United States,516 466 3100,516 466 3132,https://www.onelibertyproperties.com,REIT—Diversified,Real Estate,"One Liberty is a self-administered and self-managed real estate investment trust incorporated in Maryland in 1982. The Company acquires, owns and manages a geographically diversified portfolio consisting primarily of industrial and retail properties. Many of these properties are subject to long-term net leases under which the tenant is typically responsible for the property's real estate taxes, insurance and ordinary maintenance and repairs.",10,"{'maxAge': 1, 'name': 'Mr. Israel  Rosenzweig', 'age': 75, 'title': 'Sr. VP', 'yearBorn': 1947, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,3,5,6,1693526400,1672444800,86400,2,19.66,19.58,19.51,19.8,19.66,19.58,19.51,19.8,1.8,0.0919,1687478400,1.374,7.63,1.329183,14.954199,30.138462,99215,99215,64279,70640,70640,19.45,20.01,1000,800,418912576,19.05,25.05,4.415928,20.0466,21.65055,1.8,0.09155646,USD,833148864,0.29508,18144850,21384000,130926,95030,1690761600,1693440000,0.0061000003,0.11192001,0.47931,2.12,0.0081,15.188,1.2898341,1672444800,1703980800,1688083200,-0.611,26800000,1.31,0.65,3.72,8.783,14.818,NYQ,EQUITY,OLP,OLP,"One Liberty Properties, Inc.","One Liberty Properties, Inc.",420125400,America/New_York,EDT,-14400000,19.59,22.0,21.0,21.5,21.5,3.0,hold,2,9622000,0.452,56226000,424329984,0.778,1.344,94864000,135.588,4.64,0.03083,0.08926,77083000,34668000,45338000,-0.62,0.041,0.82765,0.5927,0.40305,USD,
9,60 Cutter Mill Road,Suite 303,Great Neck,NY,11021-3104,United States,516 466 3100,516 466 3132,https://www.onelibertyproperties.com,REIT—Diversified,Real Estate,"One Liberty is a self-administered and self-managed real estate investment trust incorporated in Maryland in 1982. The Company acquires, owns and manages a geographically diversified portfolio consisting primarily of industrial and retail properties. Many of these properties are subject to long-term net leases under which the tenant is typically responsible for the property's real estate taxes, insurance and ordinary maintenance and repairs.",10,"{'maxAge': 1, 'name': 'Mr. Mark H. Lundy J.D.', 'age': 60, 'title': 'Sr. VP & Assistant Sec.', 'yearBorn': 1962, 'fiscalYear': 2012, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,3,5,6,1693526400,1672444800,86400,2,19.66,19.58,19.51,19.8,19.66,19.58,19.51,19.8,1.8,0.0919,1687478400,1.374,7.63,1.329183,14.954199,30.138462,99215,99215,64279,70640,70640,19.45,20.01,1000,800,418912576,19.05,25.05,4.415928,20.0466,21.65055,1.8,0.09155646,USD,833148864,0.29508,18144850,21384000,130926,95030,1690761600,1693440000,0.0061000003,0.11192001,0.47931,2.12,0.0081,15.188,1.2898341,1672444800,1703980800,1688083200,-0.611,26800000,1.31,0.65,3.72,8.783,14.818,NYQ,EQUITY,OLP,OLP,"One Liberty Properties, Inc.","One Liberty Properties, Inc.",420125400,America/New_York,EDT,-14400000,19.59,22.0,21.0,21.5,21.5,3.0,hold,2,9622000,0.452,56226000,424329984,0.778,1.344,94864000,135.588,4.64,0.03083,0.08926,77083000,34668000,45338000,-0.62,0.041,0.82765,0.5927,0.40305,USD,
