,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,totalRevenue,debtToEquity,revenuePerShare,grossProfits,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"Plot No. B-26, Institutional Area",Sector-32,Gurugram,122001,India,91 12 4434 3000,91 12 4258 0016,https://www.omaxauto.com,Auto Parts,Consumer Cyclical,"Omax Autos Limited manufactures and sells auto and non-auto components in India. It provides various products for commercial vehicles, including chassis assemblies, cross members, bumpers, cross car beam sub-assemblies, fender support brackets, holding brackets for number plates and rear tail lights, rear cross members, truck frames and side rails, and sub structures; and passenger car products, such as steering and axle shafts, trunk and hood hinges, piston rods, air cleaner mounting brackets, and oil pans. The company also offers products for railways and heavy fabrication comprising roofs, side walls, underframes, bogie frames, vertical and horizontal dampers, stainless steel benches, Indian and western bio-toilets, electric loco shells, and diesel locomotives. It exports its products. The company was incorporated in 1983 and is headquartered in Gurugram, India.",141,"{'maxAge': 1, 'name': 'Mr. Jatender Kumar Mehta', 'age': 73, 'title': 'MD & Vice-Chairman', 'yearBorn': 1949, 'fiscalYear': 2023, 'totalPay': 27594000, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,61.45,61.95,58.75,62.75,61.45,61.95,58.75,62.75,1472774400,0.0,0.307845,63248,63248,44354,115820,115820,0.0,0.0,0,0,1300402560,38.4,87.9,0.43070713,53.857,52.92325,0.0,0.0,INR,2197369856,-0.06803,8331128,21388200,0.51735,0.0,133.563,0.45521587,1680220800,1711843200,1688083200,-205406000,-9.93,6:1,1029196800,0.728,11.382,NSI,EQUITY,OMAXAUTO.NS,OMAXAUTO.NS,OMAX AUTOS LTD,Omax Autos Limited,1046058300,Asia/Kolkata,IST,19800000,60.8,none,300292992,13.994,193053504,1192940032,3019226880,41.725,141.015,707608000,0.016,0.24364,0.06394,-0.01956,INR,
1,"Plot No. B-26, Institutional Area",Sector-32,Gurugram,122001,India,91 12 4434 3000,91 12 4258 0016,https://www.omaxauto.com,Auto Parts,Consumer Cyclical,"Omax Autos Limited manufactures and sells auto and non-auto components in India. It provides various products for commercial vehicles, including chassis assemblies, cross members, bumpers, cross car beam sub-assemblies, fender support brackets, holding brackets for number plates and rear tail lights, rear cross members, truck frames and side rails, and sub structures; and passenger car products, such as steering and axle shafts, trunk and hood hinges, piston rods, air cleaner mounting brackets, and oil pans. The company also offers products for railways and heavy fabrication comprising roofs, side walls, underframes, bogie frames, vertical and horizontal dampers, stainless steel benches, Indian and western bio-toilets, electric loco shells, and diesel locomotives. It exports its products. The company was incorporated in 1983 and is headquartered in Gurugram, India.",141,"{'maxAge': 1, 'name': 'Ms. Sakshi M. Kaura', 'age': 42, 'title': 'Joint MD & Whole-Time Director', 'yearBorn': 1980, 'fiscalYear': 2023, 'totalPay': 8032000, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,61.45,61.95,58.75,62.75,61.45,61.95,58.75,62.75,1472774400,0.0,0.307845,63248,63248,44354,115820,115820,0.0,0.0,0,0,1300402560,38.4,87.9,0.43070713,53.857,52.92325,0.0,0.0,INR,2197369856,-0.06803,8331128,21388200,0.51735,0.0,133.563,0.45521587,1680220800,1711843200,1688083200,-205406000,-9.93,6:1,1029196800,0.728,11.382,NSI,EQUITY,OMAXAUTO.NS,OMAXAUTO.NS,OMAX AUTOS LTD,Omax Autos Limited,1046058300,Asia/Kolkata,IST,19800000,60.8,none,300292992,13.994,193053504,1192940032,3019226880,41.725,141.015,707608000,0.016,0.24364,0.06394,-0.01956,INR,
2,"Plot No. B-26, Institutional Area",Sector-32,Gurugram,122001,India,91 12 4434 3000,91 12 4258 0016,https://www.omaxauto.com,Auto Parts,Consumer Cyclical,"Omax Autos Limited manufactures and sells auto and non-auto components in India. It provides various products for commercial vehicles, including chassis assemblies, cross members, bumpers, cross car beam sub-assemblies, fender support brackets, holding brackets for number plates and rear tail lights, rear cross members, truck frames and side rails, and sub structures; and passenger car products, such as steering and axle shafts, trunk and hood hinges, piston rods, air cleaner mounting brackets, and oil pans. The company also offers products for railways and heavy fabrication comprising roofs, side walls, underframes, bogie frames, vertical and horizontal dampers, stainless steel benches, Indian and western bio-toilets, electric loco shells, and diesel locomotives. It exports its products. The company was incorporated in 1983 and is headquartered in Gurugram, India.",141,"{'maxAge': 1, 'name': 'Mr. Devashish  Mehta', 'age': 31, 'title': 'MD, CFO & Exec. Director', 'yearBorn': 1991, 'fiscalYear': 2023, 'totalPay': 6826000, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,61.45,61.95,58.75,62.75,61.45,61.95,58.75,62.75,1472774400,0.0,0.307845,63248,63248,44354,115820,115820,0.0,0.0,0,0,1300402560,38.4,87.9,0.43070713,53.857,52.92325,0.0,0.0,INR,2197369856,-0.06803,8331128,21388200,0.51735,0.0,133.563,0.45521587,1680220800,1711843200,1688083200,-205406000,-9.93,6:1,1029196800,0.728,11.382,NSI,EQUITY,OMAXAUTO.NS,OMAXAUTO.NS,OMAX AUTOS LTD,Omax Autos Limited,1046058300,Asia/Kolkata,IST,19800000,60.8,none,300292992,13.994,193053504,1192940032,3019226880,41.725,141.015,707608000,0.016,0.24364,0.06394,-0.01956,INR,
3,"Plot No. B-26, Institutional Area",Sector-32,Gurugram,122001,India,91 12 4434 3000,91 12 4258 0016,https://www.omaxauto.com,Auto Parts,Consumer Cyclical,"Omax Autos Limited manufactures and sells auto and non-auto components in India. It provides various products for commercial vehicles, including chassis assemblies, cross members, bumpers, cross car beam sub-assemblies, fender support brackets, holding brackets for number plates and rear tail lights, rear cross members, truck frames and side rails, and sub structures; and passenger car products, such as steering and axle shafts, trunk and hood hinges, piston rods, air cleaner mounting brackets, and oil pans. The company also offers products for railways and heavy fabrication comprising roofs, side walls, underframes, bogie frames, vertical and horizontal dampers, stainless steel benches, Indian and western bio-toilets, electric loco shells, and diesel locomotives. It exports its products. The company was incorporated in 1983 and is headquartered in Gurugram, India.",141,"{'maxAge': 1, 'name': 'Mr. Tavinder  Singh', 'age': 60, 'title': 'Whole Time Director', 'yearBorn': 1962, 'fiscalYear': 2023, 'totalPay': 5350000, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,61.45,61.95,58.75,62.75,61.45,61.95,58.75,62.75,1472774400,0.0,0.307845,63248,63248,44354,115820,115820,0.0,0.0,0,0,1300402560,38.4,87.9,0.43070713,53.857,52.92325,0.0,0.0,INR,2197369856,-0.06803,8331128,21388200,0.51735,0.0,133.563,0.45521587,1680220800,1711843200,1688083200,-205406000,-9.93,6:1,1029196800,0.728,11.382,NSI,EQUITY,OMAXAUTO.NS,OMAXAUTO.NS,OMAX AUTOS LTD,Omax Autos Limited,1046058300,Asia/Kolkata,IST,19800000,60.8,none,300292992,13.994,193053504,1192940032,3019226880,41.725,141.015,707608000,0.016,0.24364,0.06394,-0.01956,INR,
4,"Plot No. B-26, Institutional Area",Sector-32,Gurugram,122001,India,91 12 4434 3000,91 12 4258 0016,https://www.omaxauto.com,Auto Parts,Consumer Cyclical,"Omax Autos Limited manufactures and sells auto and non-auto components in India. It provides various products for commercial vehicles, including chassis assemblies, cross members, bumpers, cross car beam sub-assemblies, fender support brackets, holding brackets for number plates and rear tail lights, rear cross members, truck frames and side rails, and sub structures; and passenger car products, such as steering and axle shafts, trunk and hood hinges, piston rods, air cleaner mounting brackets, and oil pans. The company also offers products for railways and heavy fabrication comprising roofs, side walls, underframes, bogie frames, vertical and horizontal dampers, stainless steel benches, Indian and western bio-toilets, electric loco shells, and diesel locomotives. It exports its products. The company was incorporated in 1983 and is headquartered in Gurugram, India.",141,"{'maxAge': 1, 'name': 'Mr. Himanshu  Sharma', 'age': 53, 'title': 'Chief Operating Officer', 'yearBorn': 1969, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,61.45,61.95,58.75,62.75,61.45,61.95,58.75,62.75,1472774400,0.0,0.307845,63248,63248,44354,115820,115820,0.0,0.0,0,0,1300402560,38.4,87.9,0.43070713,53.857,52.92325,0.0,0.0,INR,2197369856,-0.06803,8331128,21388200,0.51735,0.0,133.563,0.45521587,1680220800,1711843200,1688083200,-205406000,-9.93,6:1,1029196800,0.728,11.382,NSI,EQUITY,OMAXAUTO.NS,OMAXAUTO.NS,OMAX AUTOS LTD,Omax Autos Limited,1046058300,Asia/Kolkata,IST,19800000,60.8,none,300292992,13.994,193053504,1192940032,3019226880,41.725,141.015,707608000,0.016,0.24364,0.06394,-0.01956,INR,
5,"Plot No. B-26, Institutional Area",Sector-32,Gurugram,122001,India,91 12 4434 3000,91 12 4258 0016,https://www.omaxauto.com,Auto Parts,Consumer Cyclical,"Omax Autos Limited manufactures and sells auto and non-auto components in India. It provides various products for commercial vehicles, including chassis assemblies, cross members, bumpers, cross car beam sub-assemblies, fender support brackets, holding brackets for number plates and rear tail lights, rear cross members, truck frames and side rails, and sub structures; and passenger car products, such as steering and axle shafts, trunk and hood hinges, piston rods, air cleaner mounting brackets, and oil pans. The company also offers products for railways and heavy fabrication comprising roofs, side walls, underframes, bogie frames, vertical and horizontal dampers, stainless steel benches, Indian and western bio-toilets, electric loco shells, and diesel locomotives. It exports its products. The company was incorporated in 1983 and is headquartered in Gurugram, India.",141,"{'maxAge': 1, 'name': 'Mr. Ram  Mohan', 'title': 'Chief Technical Advisor', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,61.45,61.95,58.75,62.75,61.45,61.95,58.75,62.75,1472774400,0.0,0.307845,63248,63248,44354,115820,115820,0.0,0.0,0,0,1300402560,38.4,87.9,0.43070713,53.857,52.92325,0.0,0.0,INR,2197369856,-0.06803,8331128,21388200,0.51735,0.0,133.563,0.45521587,1680220800,1711843200,1688083200,-205406000,-9.93,6:1,1029196800,0.728,11.382,NSI,EQUITY,OMAXAUTO.NS,OMAXAUTO.NS,OMAX AUTOS LTD,Omax Autos Limited,1046058300,Asia/Kolkata,IST,19800000,60.8,none,300292992,13.994,193053504,1192940032,3019226880,41.725,141.015,707608000,0.016,0.24364,0.06394,-0.01956,INR,
6,"Plot No. B-26, Institutional Area",Sector-32,Gurugram,122001,India,91 12 4434 3000,91 12 4258 0016,https://www.omaxauto.com,Auto Parts,Consumer Cyclical,"Omax Autos Limited manufactures and sells auto and non-auto components in India. It provides various products for commercial vehicles, including chassis assemblies, cross members, bumpers, cross car beam sub-assemblies, fender support brackets, holding brackets for number plates and rear tail lights, rear cross members, truck frames and side rails, and sub structures; and passenger car products, such as steering and axle shafts, trunk and hood hinges, piston rods, air cleaner mounting brackets, and oil pans. The company also offers products for railways and heavy fabrication comprising roofs, side walls, underframes, bogie frames, vertical and horizontal dampers, stainless steel benches, Indian and western bio-toilets, electric loco shells, and diesel locomotives. It exports its products. The company was incorporated in 1983 and is headquartered in Gurugram, India.",141,"{'maxAge': 1, 'name': 'Mr. Mohit  Srivastava', 'title': 'Company Sec. & Compliance Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,61.45,61.95,58.75,62.75,61.45,61.95,58.75,62.75,1472774400,0.0,0.307845,63248,63248,44354,115820,115820,0.0,0.0,0,0,1300402560,38.4,87.9,0.43070713,53.857,52.92325,0.0,0.0,INR,2197369856,-0.06803,8331128,21388200,0.51735,0.0,133.563,0.45521587,1680220800,1711843200,1688083200,-205406000,-9.93,6:1,1029196800,0.728,11.382,NSI,EQUITY,OMAXAUTO.NS,OMAXAUTO.NS,OMAX AUTOS LTD,Omax Autos Limited,1046058300,Asia/Kolkata,IST,19800000,60.8,none,300292992,13.994,193053504,1192940032,3019226880,41.725,141.015,707608000,0.016,0.24364,0.06394,-0.01956,INR,
7,"Plot No. B-26, Institutional Area",Sector-32,Gurugram,122001,India,91 12 4434 3000,91 12 4258 0016,https://www.omaxauto.com,Auto Parts,Consumer Cyclical,"Omax Autos Limited manufactures and sells auto and non-auto components in India. It provides various products for commercial vehicles, including chassis assemblies, cross members, bumpers, cross car beam sub-assemblies, fender support brackets, holding brackets for number plates and rear tail lights, rear cross members, truck frames and side rails, and sub structures; and passenger car products, such as steering and axle shafts, trunk and hood hinges, piston rods, air cleaner mounting brackets, and oil pans. The company also offers products for railways and heavy fabrication comprising roofs, side walls, underframes, bogie frames, vertical and horizontal dampers, stainless steel benches, Indian and western bio-toilets, electric loco shells, and diesel locomotives. It exports its products. The company was incorporated in 1983 and is headquartered in Gurugram, India.",141,"{'maxAge': 1, 'name': 'Mr. Deepak  Bhasker', 'age': 51, 'title': 'Assistant VP of HR', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,61.45,61.95,58.75,62.75,61.45,61.95,58.75,62.75,1472774400,0.0,0.307845,63248,63248,44354,115820,115820,0.0,0.0,0,0,1300402560,38.4,87.9,0.43070713,53.857,52.92325,0.0,0.0,INR,2197369856,-0.06803,8331128,21388200,0.51735,0.0,133.563,0.45521587,1680220800,1711843200,1688083200,-205406000,-9.93,6:1,1029196800,0.728,11.382,NSI,EQUITY,OMAXAUTO.NS,OMAXAUTO.NS,OMAX AUTOS LTD,Omax Autos Limited,1046058300,Asia/Kolkata,IST,19800000,60.8,none,300292992,13.994,193053504,1192940032,3019226880,41.725,141.015,707608000,0.016,0.24364,0.06394,-0.01956,INR,
8,"Plot No. B-26, Institutional Area",Sector-32,Gurugram,122001,India,91 12 4434 3000,91 12 4258 0016,https://www.omaxauto.com,Auto Parts,Consumer Cyclical,"Omax Autos Limited manufactures and sells auto and non-auto components in India. It provides various products for commercial vehicles, including chassis assemblies, cross members, bumpers, cross car beam sub-assemblies, fender support brackets, holding brackets for number plates and rear tail lights, rear cross members, truck frames and side rails, and sub structures; and passenger car products, such as steering and axle shafts, trunk and hood hinges, piston rods, air cleaner mounting brackets, and oil pans. The company also offers products for railways and heavy fabrication comprising roofs, side walls, underframes, bogie frames, vertical and horizontal dampers, stainless steel benches, Indian and western bio-toilets, electric loco shells, and diesel locomotives. It exports its products. The company was incorporated in 1983 and is headquartered in Gurugram, India.",141,"{'maxAge': 1, 'name': 'Mr. Tamio  Sugiura', 'age': 73, 'title': 'Chief Officer of Strategy & External Relations and Deputy GM', 'yearBorn': 1949, 'fiscalYear': 2018, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,61.45,61.95,58.75,62.75,61.45,61.95,58.75,62.75,1472774400,0.0,0.307845,63248,63248,44354,115820,115820,0.0,0.0,0,0,1300402560,38.4,87.9,0.43070713,53.857,52.92325,0.0,0.0,INR,2197369856,-0.06803,8331128,21388200,0.51735,0.0,133.563,0.45521587,1680220800,1711843200,1688083200,-205406000,-9.93,6:1,1029196800,0.728,11.382,NSI,EQUITY,OMAXAUTO.NS,OMAXAUTO.NS,OMAX AUTOS LTD,Omax Autos Limited,1046058300,Asia/Kolkata,IST,19800000,60.8,none,300292992,13.994,193053504,1192940032,3019226880,41.725,141.015,707608000,0.016,0.24364,0.06394,-0.01956,INR,
9,"Plot No. B-26, Institutional Area",Sector-32,Gurugram,122001,India,91 12 4434 3000,91 12 4258 0016,https://www.omaxauto.com,Auto Parts,Consumer Cyclical,"Omax Autos Limited manufactures and sells auto and non-auto components in India. It provides various products for commercial vehicles, including chassis assemblies, cross members, bumpers, cross car beam sub-assemblies, fender support brackets, holding brackets for number plates and rear tail lights, rear cross members, truck frames and side rails, and sub structures; and passenger car products, such as steering and axle shafts, trunk and hood hinges, piston rods, air cleaner mounting brackets, and oil pans. The company also offers products for railways and heavy fabrication comprising roofs, side walls, underframes, bogie frames, vertical and horizontal dampers, stainless steel benches, Indian and western bio-toilets, electric loco shells, and diesel locomotives. It exports its products. The company was incorporated in 1983 and is headquartered in Gurugram, India.",141,"{'maxAge': 1, 'name': 'Achal  Puri', 'age': 50, 'title': 'Sr. Gen. Mang. of Marketing - Railway & Metro Bus.', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,61.45,61.95,58.75,62.75,61.45,61.95,58.75,62.75,1472774400,0.0,0.307845,63248,63248,44354,115820,115820,0.0,0.0,0,0,1300402560,38.4,87.9,0.43070713,53.857,52.92325,0.0,0.0,INR,2197369856,-0.06803,8331128,21388200,0.51735,0.0,133.563,0.45521587,1680220800,1711843200,1688083200,-205406000,-9.93,6:1,1029196800,0.728,11.382,NSI,EQUITY,OMAXAUTO.NS,OMAXAUTO.NS,OMAX AUTOS LTD,Omax Autos Limited,1046058300,Asia/Kolkata,IST,19800000,60.8,none,300292992,13.994,193053504,1192940032,3019226880,41.725,141.015,707608000,0.016,0.24364,0.06394,-0.01956,INR,
