,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationMean,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,111 North Canal Street,Suite 325,Chicago,IL,60606,United States,312 951 0600,https://www.potbelly.com,Restaurants,Consumer Cyclical,"Potbelly Corporation, through its subsidiaries, owns, operates, and franchises Potbelly sandwich shops in the United States. The company was formerly known as Potbelly Sandwich Works, Inc. and changed its name to Potbelly Corporation in 2002. Potbelly Corporation was founded in 1977 and is headquartered in Chicago, Illinois.",6000,"{'maxAge': 1, 'name': 'Mr. Robert D. Wright', 'age': 55, 'title': 'Pres, CEO & Director', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 1605463, 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,4,6,3,1693526400,1672444800,86400,2,8.2,8.2,8.0401,8.2,8.2,8.2,8.0401,8.2,0.0,1.412171,17.933332,44.83333,217019,217019,195485,117440,117440,8.03,8.11,1000,1100,236593824,4.31,11.14,0.49015385,8.616,7.9679,0.0,0.0,USD,402158176,0.02605,17994058,29317700,901073,902062,1690761600,1693440000,0.0307,0.23169,0.66597,6.01,0.0332,0.254,31.771652,1671926400,1703462400,1687651200,2.861,12574000,0.45,0.18,17.08,0.833,18.823,NMS,EQUITY,PBPB,PBPB,Potbelly Corporation,Potbelly Corporation,1380893400,America/New_York,EDT,-14400000,8.07,3.0,hold,34261000,1.169,21365000,200059008,0.573,0.707,482692992,2778.211,16.696,0.024330001,126191000,8977625,22520000,2.5,0.092,0.30203,0.044260003,0.02027,USD,
1,111 North Canal Street,Suite 325,Chicago,IL,60606,United States,312 951 0600,https://www.potbelly.com,Restaurants,Consumer Cyclical,"Potbelly Corporation, through its subsidiaries, owns, operates, and franchises Potbelly sandwich shops in the United States. The company was formerly known as Potbelly Sandwich Works, Inc. and changed its name to Potbelly Corporation in 2002. Potbelly Corporation was founded in 1977 and is headquartered in Chicago, Illinois.",6000,"{'maxAge': 1, 'name': 'Mr. Steven W. Cirulis', 'age': 51, 'title': 'Sr. VP, CFO & Chief Strategy Officer', 'yearBorn': 1971, 'fiscalYear': 2022, 'totalPay': 758986, 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,4,6,3,1693526400,1672444800,86400,2,8.2,8.2,8.0401,8.2,8.2,8.2,8.0401,8.2,0.0,1.412171,17.933332,44.83333,217019,217019,195485,117440,117440,8.03,8.11,1000,1100,236593824,4.31,11.14,0.49015385,8.616,7.9679,0.0,0.0,USD,402158176,0.02605,17994058,29317700,901073,902062,1690761600,1693440000,0.0307,0.23169,0.66597,6.01,0.0332,0.254,31.771652,1671926400,1703462400,1687651200,2.861,12574000,0.45,0.18,17.08,0.833,18.823,NMS,EQUITY,PBPB,PBPB,Potbelly Corporation,Potbelly Corporation,1380893400,America/New_York,EDT,-14400000,8.07,3.0,hold,34261000,1.169,21365000,200059008,0.573,0.707,482692992,2778.211,16.696,0.024330001,126191000,8977625,22520000,2.5,0.092,0.30203,0.044260003,0.02027,USD,
2,111 North Canal Street,Suite 325,Chicago,IL,60606,United States,312 951 0600,https://www.potbelly.com,Restaurants,Consumer Cyclical,"Potbelly Corporation, through its subsidiaries, owns, operates, and franchises Potbelly sandwich shops in the United States. The company was formerly known as Potbelly Sandwich Works, Inc. and changed its name to Potbelly Corporation in 2002. Potbelly Corporation was founded in 1977 and is headquartered in Chicago, Illinois.",6000,"{'maxAge': 1, 'name': 'Mr. Adam  Noyes', 'age': 52, 'title': 'COO & Sr. VP', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 734356, 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,4,6,3,1693526400,1672444800,86400,2,8.2,8.2,8.0401,8.2,8.2,8.2,8.0401,8.2,0.0,1.412171,17.933332,44.83333,217019,217019,195485,117440,117440,8.03,8.11,1000,1100,236593824,4.31,11.14,0.49015385,8.616,7.9679,0.0,0.0,USD,402158176,0.02605,17994058,29317700,901073,902062,1690761600,1693440000,0.0307,0.23169,0.66597,6.01,0.0332,0.254,31.771652,1671926400,1703462400,1687651200,2.861,12574000,0.45,0.18,17.08,0.833,18.823,NMS,EQUITY,PBPB,PBPB,Potbelly Corporation,Potbelly Corporation,1380893400,America/New_York,EDT,-14400000,8.07,3.0,hold,34261000,1.169,21365000,200059008,0.573,0.707,482692992,2778.211,16.696,0.024330001,126191000,8977625,22520000,2.5,0.092,0.30203,0.044260003,0.02027,USD,
3,111 North Canal Street,Suite 325,Chicago,IL,60606,United States,312 951 0600,https://www.potbelly.com,Restaurants,Consumer Cyclical,"Potbelly Corporation, through its subsidiaries, owns, operates, and franchises Potbelly sandwich shops in the United States. The company was formerly known as Potbelly Sandwich Works, Inc. and changed its name to Potbelly Corporation in 2002. Potbelly Corporation was founded in 1977 and is headquartered in Chicago, Illinois.",6000,"{'maxAge': 1, 'name': 'Mr. Jeffrey  Douglas', 'age': 50, 'title': 'Sr. VP & Chief Information Officer', 'yearBorn': 1972, 'fiscalYear': 2022, 'totalPay': 530188, 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,4,6,3,1693526400,1672444800,86400,2,8.2,8.2,8.0401,8.2,8.2,8.2,8.0401,8.2,0.0,1.412171,17.933332,44.83333,217019,217019,195485,117440,117440,8.03,8.11,1000,1100,236593824,4.31,11.14,0.49015385,8.616,7.9679,0.0,0.0,USD,402158176,0.02605,17994058,29317700,901073,902062,1690761600,1693440000,0.0307,0.23169,0.66597,6.01,0.0332,0.254,31.771652,1671926400,1703462400,1687651200,2.861,12574000,0.45,0.18,17.08,0.833,18.823,NMS,EQUITY,PBPB,PBPB,Potbelly Corporation,Potbelly Corporation,1380893400,America/New_York,EDT,-14400000,8.07,3.0,hold,34261000,1.169,21365000,200059008,0.573,0.707,482692992,2778.211,16.696,0.024330001,126191000,8977625,22520000,2.5,0.092,0.30203,0.044260003,0.02027,USD,
4,111 North Canal Street,Suite 325,Chicago,IL,60606,United States,312 951 0600,https://www.potbelly.com,Restaurants,Consumer Cyclical,"Potbelly Corporation, through its subsidiaries, owns, operates, and franchises Potbelly sandwich shops in the United States. The company was formerly known as Potbelly Sandwich Works, Inc. and changed its name to Potbelly Corporation in 2002. Potbelly Corporation was founded in 1977 and is headquartered in Chicago, Illinois.",6000,"{'maxAge': 1, 'name': 'Ms. Adiya  Dixon', 'age': 43, 'title': 'Sr. VP, Chief Legal Officer, Chief Compliance Officer & Sec.', 'yearBorn': 1979, 'fiscalYear': 2022, 'totalPay': 548100, 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,4,6,3,1693526400,1672444800,86400,2,8.2,8.2,8.0401,8.2,8.2,8.2,8.0401,8.2,0.0,1.412171,17.933332,44.83333,217019,217019,195485,117440,117440,8.03,8.11,1000,1100,236593824,4.31,11.14,0.49015385,8.616,7.9679,0.0,0.0,USD,402158176,0.02605,17994058,29317700,901073,902062,1690761600,1693440000,0.0307,0.23169,0.66597,6.01,0.0332,0.254,31.771652,1671926400,1703462400,1687651200,2.861,12574000,0.45,0.18,17.08,0.833,18.823,NMS,EQUITY,PBPB,PBPB,Potbelly Corporation,Potbelly Corporation,1380893400,America/New_York,EDT,-14400000,8.07,3.0,hold,34261000,1.169,21365000,200059008,0.573,0.707,482692992,2778.211,16.696,0.024330001,126191000,8977625,22520000,2.5,0.092,0.30203,0.044260003,0.02027,USD,
5,111 North Canal Street,Suite 325,Chicago,IL,60606,United States,312 951 0600,https://www.potbelly.com,Restaurants,Consumer Cyclical,"Potbelly Corporation, through its subsidiaries, owns, operates, and franchises Potbelly sandwich shops in the United States. The company was formerly known as Potbelly Sandwich Works, Inc. and changed its name to Potbelly Corporation in 2002. Potbelly Corporation was founded in 1977 and is headquartered in Chicago, Illinois.",6000,"{'maxAge': 1, 'name': 'Mr. David Scott Daniels', 'age': 50, 'title': 'Sr. VP & Chief Marketing Officer', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,4,6,3,1693526400,1672444800,86400,2,8.2,8.2,8.0401,8.2,8.2,8.2,8.0401,8.2,0.0,1.412171,17.933332,44.83333,217019,217019,195485,117440,117440,8.03,8.11,1000,1100,236593824,4.31,11.14,0.49015385,8.616,7.9679,0.0,0.0,USD,402158176,0.02605,17994058,29317700,901073,902062,1690761600,1693440000,0.0307,0.23169,0.66597,6.01,0.0332,0.254,31.771652,1671926400,1703462400,1687651200,2.861,12574000,0.45,0.18,17.08,0.833,18.823,NMS,EQUITY,PBPB,PBPB,Potbelly Corporation,Potbelly Corporation,1380893400,America/New_York,EDT,-14400000,8.07,3.0,hold,34261000,1.169,21365000,200059008,0.573,0.707,482692992,2778.211,16.696,0.024330001,126191000,8977625,22520000,2.5,0.092,0.30203,0.044260003,0.02027,USD,
6,111 North Canal Street,Suite 325,Chicago,IL,60606,United States,312 951 0600,https://www.potbelly.com,Restaurants,Consumer Cyclical,"Potbelly Corporation, through its subsidiaries, owns, operates, and franchises Potbelly sandwich shops in the United States. The company was formerly known as Potbelly Sandwich Works, Inc. and changed its name to Potbelly Corporation in 2002. Potbelly Corporation was founded in 1977 and is headquartered in Chicago, Illinois.",6000,"{'maxAge': 1, 'name': 'Mr. Patrick James Walsh', 'age': 39, 'title': 'Chief People Officer', 'yearBorn': 1983, 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,4,6,3,1693526400,1672444800,86400,2,8.2,8.2,8.0401,8.2,8.2,8.2,8.0401,8.2,0.0,1.412171,17.933332,44.83333,217019,217019,195485,117440,117440,8.03,8.11,1000,1100,236593824,4.31,11.14,0.49015385,8.616,7.9679,0.0,0.0,USD,402158176,0.02605,17994058,29317700,901073,902062,1690761600,1693440000,0.0307,0.23169,0.66597,6.01,0.0332,0.254,31.771652,1671926400,1703462400,1687651200,2.861,12574000,0.45,0.18,17.08,0.833,18.823,NMS,EQUITY,PBPB,PBPB,Potbelly Corporation,Potbelly Corporation,1380893400,America/New_York,EDT,-14400000,8.07,3.0,hold,34261000,1.169,21365000,200059008,0.573,0.707,482692992,2778.211,16.696,0.024330001,126191000,8977625,22520000,2.5,0.092,0.30203,0.044260003,0.02027,USD,
7,111 North Canal Street,Suite 325,Chicago,IL,60606,United States,312 951 0600,https://www.potbelly.com,Restaurants,Consumer Cyclical,"Potbelly Corporation, through its subsidiaries, owns, operates, and franchises Potbelly sandwich shops in the United States. The company was formerly known as Potbelly Sandwich Works, Inc. and changed its name to Potbelly Corporation in 2002. Potbelly Corporation was founded in 1977 and is headquartered in Chicago, Illinois.",6000,"{'maxAge': 1, 'name': 'Mr. Larry  Strain', 'age': 48, 'title': 'Chief Devel. Officer', 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,4,6,3,1693526400,1672444800,86400,2,8.2,8.2,8.0401,8.2,8.2,8.2,8.0401,8.2,0.0,1.412171,17.933332,44.83333,217019,217019,195485,117440,117440,8.03,8.11,1000,1100,236593824,4.31,11.14,0.49015385,8.616,7.9679,0.0,0.0,USD,402158176,0.02605,17994058,29317700,901073,902062,1690761600,1693440000,0.0307,0.23169,0.66597,6.01,0.0332,0.254,31.771652,1671926400,1703462400,1687651200,2.861,12574000,0.45,0.18,17.08,0.833,18.823,NMS,EQUITY,PBPB,PBPB,Potbelly Corporation,Potbelly Corporation,1380893400,America/New_York,EDT,-14400000,8.07,3.0,hold,34261000,1.169,21365000,200059008,0.573,0.707,482692992,2778.211,16.696,0.024330001,126191000,8977625,22520000,2.5,0.092,0.30203,0.044260003,0.02027,USD,
8,111 North Canal Street,Suite 325,Chicago,IL,60606,United States,312 951 0600,https://www.potbelly.com,Restaurants,Consumer Cyclical,"Potbelly Corporation, through its subsidiaries, owns, operates, and franchises Potbelly sandwich shops in the United States. The company was formerly known as Potbelly Sandwich Works, Inc. and changed its name to Potbelly Corporation in 2002. Potbelly Corporation was founded in 1977 and is headquartered in Chicago, Illinois.",6000,"{'maxAge': 1, 'name': 'Ms. Lynette  McKee CFE', 'title': 'Sr. VP of Franchising', 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,4,6,3,1693526400,1672444800,86400,2,8.2,8.2,8.0401,8.2,8.2,8.2,8.0401,8.2,0.0,1.412171,17.933332,44.83333,217019,217019,195485,117440,117440,8.03,8.11,1000,1100,236593824,4.31,11.14,0.49015385,8.616,7.9679,0.0,0.0,USD,402158176,0.02605,17994058,29317700,901073,902062,1690761600,1693440000,0.0307,0.23169,0.66597,6.01,0.0332,0.254,31.771652,1671926400,1703462400,1687651200,2.861,12574000,0.45,0.18,17.08,0.833,18.823,NMS,EQUITY,PBPB,PBPB,Potbelly Corporation,Potbelly Corporation,1380893400,America/New_York,EDT,-14400000,8.07,3.0,hold,34261000,1.169,21365000,200059008,0.573,0.707,482692992,2778.211,16.696,0.024330001,126191000,8977625,22520000,2.5,0.092,0.30203,0.044260003,0.02027,USD,
9,111 North Canal Street,Suite 325,Chicago,IL,60606,United States,312 951 0600,https://www.potbelly.com,Restaurants,Consumer Cyclical,"Potbelly Corporation, through its subsidiaries, owns, operates, and franchises Potbelly sandwich shops in the United States. The company was formerly known as Potbelly Sandwich Works, Inc. and changed its name to Potbelly Corporation in 2002. Potbelly Corporation was founded in 1977 and is headquartered in Chicago, Illinois.",6000,"{'maxAge': 1, 'name': 'Mr. William C. Atkins', 'age': 38, 'title': 'VP & Controller', 'yearBorn': 1984, 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,4,6,3,1693526400,1672444800,86400,2,8.2,8.2,8.0401,8.2,8.2,8.2,8.0401,8.2,0.0,1.412171,17.933332,44.83333,217019,217019,195485,117440,117440,8.03,8.11,1000,1100,236593824,4.31,11.14,0.49015385,8.616,7.9679,0.0,0.0,USD,402158176,0.02605,17994058,29317700,901073,902062,1690761600,1693440000,0.0307,0.23169,0.66597,6.01,0.0332,0.254,31.771652,1671926400,1703462400,1687651200,2.861,12574000,0.45,0.18,17.08,0.833,18.823,NMS,EQUITY,PBPB,PBPB,Potbelly Corporation,Potbelly Corporation,1380893400,America/New_York,EDT,-14400000,8.07,3.0,hold,34261000,1.169,21365000,200059008,0.573,0.707,482692992,2778.211,16.696,0.024330001,126191000,8977625,22520000,2.5,0.092,0.30203,0.044260003,0.02027,USD,
