,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,3200 Kirby Drive,Suite 600,Houston,TX,77098,United States,713 335 5151,https://www.pros.com,Software—Application,Technology,"PROS Holdings, Inc. provides solutions that optimize the processes of selling and shopping in the digital economy worldwide. The company offers PROS Smart Configure Price Quote that improves sales productivity and accelerate deal velocity by automating common sales tasks; and PROS Smart Price Optimization and Management that enables businesses to optimize, personalize, and harmonize pricing across the complexity of their go-to-market channels in the context of dynamic market and competitive conditions. It also provides PROS Airline Revenue Optimization; PROS Airline Revenue Management solution that delivers algorithmic forecasting and network optimization for the travel industry; PROS Airline Real-Time Dynamic Pricing that offers accurate booking class availability and seat prices; PROS Airline Group Sales Optimizer, which enables airlines and their travel agent partners to create and manage group bookings, contracts, policies, and payments; and PROS Corporate Sales, a solution that enables airlines to create commercial agreements with their corporate customers. In addition, the company offers PROS Digital Retail, a configurable end-to-end solution for airlines to optimize the traveler experience from inspiration to post-trip; and PROS digital offer marketing solutions provide performance content management and search engine marketing tools that enable businesses in the travel industry. Further, it provides software-related services, such as implementation, configuration, consulting, training, maintenance, and support services. The company sells its software solutions to customers in various industries, including automotive and industrial manufacturing, transportation and logistics, chemicals and energy, food and beverage, healthcare, high tech, and travel. It markets and sells its software solutions through its sales force, as well as through partners, resellers, and systems integrators. The company was incorporated in 1985 and is headquartered in Houston, Texas.",1528,"{'maxAge': 1, 'name': 'Mr. Andres D. Reiner', 'age': 51, 'title': 'CEO, Pres & Director', 'yearBorn': 1971, 'fiscalYear': 2022, 'totalPay': 731588, 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,2,7,4,1693526400,1672444800,86400,2,33.0,32.75,32.29,32.86,33.0,32.75,32.29,32.86,0.0,1.123443,182.49998,445494,445494,356724,367250,367250,32.74,32.76,900,900,1517758592,20.32,38.96,5.2290163,34.979,28.66945,0.0,0.0,USD,1661965184,-0.21874,38263666,46202700,3710406,3909618,1690761600,1693440000,0.080299996,0.101789996,0.98445,10.8,0.0935,-1.115,1672444800,1703980800,1688083200,-63491000,-1.41,0.18,-8.04,5.726,-32.63,NYQ,EQUITY,PRO,PRO,"PROS Holdings, Inc.","PROS Holdings, Inc.",1185456600,America/New_York,EDT,-14400000,32.85,51.0,40.0,42.29,40.0,1.6,buy,7,184567008,3.995,-50934000,321844000,0.783,0.841,290256992,6.352,-0.088199995,166057000,-2315125,-23646000,0.109,0.61003,-0.17548001,-0.21776,USD,
1,3200 Kirby Drive,Suite 600,Houston,TX,77098,United States,713 335 5151,https://www.pros.com,Software—Application,Technology,"PROS Holdings, Inc. provides solutions that optimize the processes of selling and shopping in the digital economy worldwide. The company offers PROS Smart Configure Price Quote that improves sales productivity and accelerate deal velocity by automating common sales tasks; and PROS Smart Price Optimization and Management that enables businesses to optimize, personalize, and harmonize pricing across the complexity of their go-to-market channels in the context of dynamic market and competitive conditions. It also provides PROS Airline Revenue Optimization; PROS Airline Revenue Management solution that delivers algorithmic forecasting and network optimization for the travel industry; PROS Airline Real-Time Dynamic Pricing that offers accurate booking class availability and seat prices; PROS Airline Group Sales Optimizer, which enables airlines and their travel agent partners to create and manage group bookings, contracts, policies, and payments; and PROS Corporate Sales, a solution that enables airlines to create commercial agreements with their corporate customers. In addition, the company offers PROS Digital Retail, a configurable end-to-end solution for airlines to optimize the traveler experience from inspiration to post-trip; and PROS digital offer marketing solutions provide performance content management and search engine marketing tools that enable businesses in the travel industry. Further, it provides software-related services, such as implementation, configuration, consulting, training, maintenance, and support services. The company sells its software solutions to customers in various industries, including automotive and industrial manufacturing, transportation and logistics, chemicals and energy, food and beverage, healthcare, high tech, and travel. It markets and sells its software solutions through its sales force, as well as through partners, resellers, and systems integrators. The company was incorporated in 1985 and is headquartered in Houston, Texas.",1528,"{'maxAge': 1, 'name': 'Mr. Stefan B. Schulz', 'age': 55, 'title': 'Exec. VP & CFO', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 515048, 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,2,7,4,1693526400,1672444800,86400,2,33.0,32.75,32.29,32.86,33.0,32.75,32.29,32.86,0.0,1.123443,182.49998,445494,445494,356724,367250,367250,32.74,32.76,900,900,1517758592,20.32,38.96,5.2290163,34.979,28.66945,0.0,0.0,USD,1661965184,-0.21874,38263666,46202700,3710406,3909618,1690761600,1693440000,0.080299996,0.101789996,0.98445,10.8,0.0935,-1.115,1672444800,1703980800,1688083200,-63491000,-1.41,0.18,-8.04,5.726,-32.63,NYQ,EQUITY,PRO,PRO,"PROS Holdings, Inc.","PROS Holdings, Inc.",1185456600,America/New_York,EDT,-14400000,32.85,51.0,40.0,42.29,40.0,1.6,buy,7,184567008,3.995,-50934000,321844000,0.783,0.841,290256992,6.352,-0.088199995,166057000,-2315125,-23646000,0.109,0.61003,-0.17548001,-0.21776,USD,
2,3200 Kirby Drive,Suite 600,Houston,TX,77098,United States,713 335 5151,https://www.pros.com,Software—Application,Technology,"PROS Holdings, Inc. provides solutions that optimize the processes of selling and shopping in the digital economy worldwide. The company offers PROS Smart Configure Price Quote that improves sales productivity and accelerate deal velocity by automating common sales tasks; and PROS Smart Price Optimization and Management that enables businesses to optimize, personalize, and harmonize pricing across the complexity of their go-to-market channels in the context of dynamic market and competitive conditions. It also provides PROS Airline Revenue Optimization; PROS Airline Revenue Management solution that delivers algorithmic forecasting and network optimization for the travel industry; PROS Airline Real-Time Dynamic Pricing that offers accurate booking class availability and seat prices; PROS Airline Group Sales Optimizer, which enables airlines and their travel agent partners to create and manage group bookings, contracts, policies, and payments; and PROS Corporate Sales, a solution that enables airlines to create commercial agreements with their corporate customers. In addition, the company offers PROS Digital Retail, a configurable end-to-end solution for airlines to optimize the traveler experience from inspiration to post-trip; and PROS digital offer marketing solutions provide performance content management and search engine marketing tools that enable businesses in the travel industry. Further, it provides software-related services, such as implementation, configuration, consulting, training, maintenance, and support services. The company sells its software solutions to customers in various industries, including automotive and industrial manufacturing, transportation and logistics, chemicals and energy, food and beverage, healthcare, high tech, and travel. It markets and sells its software solutions through its sales force, as well as through partners, resellers, and systems integrators. The company was incorporated in 1985 and is headquartered in Houston, Texas.",1528,"{'maxAge': 1, 'name': 'Mr. Scott William Cook CPA', 'age': 54, 'title': 'Sr. VP & Chief Accounting Officer', 'yearBorn': 1968, 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,2,7,4,1693526400,1672444800,86400,2,33.0,32.75,32.29,32.86,33.0,32.75,32.29,32.86,0.0,1.123443,182.49998,445494,445494,356724,367250,367250,32.74,32.76,900,900,1517758592,20.32,38.96,5.2290163,34.979,28.66945,0.0,0.0,USD,1661965184,-0.21874,38263666,46202700,3710406,3909618,1690761600,1693440000,0.080299996,0.101789996,0.98445,10.8,0.0935,-1.115,1672444800,1703980800,1688083200,-63491000,-1.41,0.18,-8.04,5.726,-32.63,NYQ,EQUITY,PRO,PRO,"PROS Holdings, Inc.","PROS Holdings, Inc.",1185456600,America/New_York,EDT,-14400000,32.85,51.0,40.0,42.29,40.0,1.6,buy,7,184567008,3.995,-50934000,321844000,0.783,0.841,290256992,6.352,-0.088199995,166057000,-2315125,-23646000,0.109,0.61003,-0.17548001,-0.21776,USD,
3,3200 Kirby Drive,Suite 600,Houston,TX,77098,United States,713 335 5151,https://www.pros.com,Software—Application,Technology,"PROS Holdings, Inc. provides solutions that optimize the processes of selling and shopping in the digital economy worldwide. The company offers PROS Smart Configure Price Quote that improves sales productivity and accelerate deal velocity by automating common sales tasks; and PROS Smart Price Optimization and Management that enables businesses to optimize, personalize, and harmonize pricing across the complexity of their go-to-market channels in the context of dynamic market and competitive conditions. It also provides PROS Airline Revenue Optimization; PROS Airline Revenue Management solution that delivers algorithmic forecasting and network optimization for the travel industry; PROS Airline Real-Time Dynamic Pricing that offers accurate booking class availability and seat prices; PROS Airline Group Sales Optimizer, which enables airlines and their travel agent partners to create and manage group bookings, contracts, policies, and payments; and PROS Corporate Sales, a solution that enables airlines to create commercial agreements with their corporate customers. In addition, the company offers PROS Digital Retail, a configurable end-to-end solution for airlines to optimize the traveler experience from inspiration to post-trip; and PROS digital offer marketing solutions provide performance content management and search engine marketing tools that enable businesses in the travel industry. Further, it provides software-related services, such as implementation, configuration, consulting, training, maintenance, and support services. The company sells its software solutions to customers in various industries, including automotive and industrial manufacturing, transportation and logistics, chemicals and energy, food and beverage, healthcare, high tech, and travel. It markets and sells its software solutions through its sales force, as well as through partners, resellers, and systems integrators. The company was incorporated in 1985 and is headquartered in Houston, Texas.",1528,"{'maxAge': 1, 'name': 'Ms. Shannon  Tatz', 'title': 'VP of Strategy and Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,2,7,4,1693526400,1672444800,86400,2,33.0,32.75,32.29,32.86,33.0,32.75,32.29,32.86,0.0,1.123443,182.49998,445494,445494,356724,367250,367250,32.74,32.76,900,900,1517758592,20.32,38.96,5.2290163,34.979,28.66945,0.0,0.0,USD,1661965184,-0.21874,38263666,46202700,3710406,3909618,1690761600,1693440000,0.080299996,0.101789996,0.98445,10.8,0.0935,-1.115,1672444800,1703980800,1688083200,-63491000,-1.41,0.18,-8.04,5.726,-32.63,NYQ,EQUITY,PRO,PRO,"PROS Holdings, Inc.","PROS Holdings, Inc.",1185456600,America/New_York,EDT,-14400000,32.85,51.0,40.0,42.29,40.0,1.6,buy,7,184567008,3.995,-50934000,321844000,0.783,0.841,290256992,6.352,-0.088199995,166057000,-2315125,-23646000,0.109,0.61003,-0.17548001,-0.21776,USD,
4,3200 Kirby Drive,Suite 600,Houston,TX,77098,United States,713 335 5151,https://www.pros.com,Software—Application,Technology,"PROS Holdings, Inc. provides solutions that optimize the processes of selling and shopping in the digital economy worldwide. The company offers PROS Smart Configure Price Quote that improves sales productivity and accelerate deal velocity by automating common sales tasks; and PROS Smart Price Optimization and Management that enables businesses to optimize, personalize, and harmonize pricing across the complexity of their go-to-market channels in the context of dynamic market and competitive conditions. It also provides PROS Airline Revenue Optimization; PROS Airline Revenue Management solution that delivers algorithmic forecasting and network optimization for the travel industry; PROS Airline Real-Time Dynamic Pricing that offers accurate booking class availability and seat prices; PROS Airline Group Sales Optimizer, which enables airlines and their travel agent partners to create and manage group bookings, contracts, policies, and payments; and PROS Corporate Sales, a solution that enables airlines to create commercial agreements with their corporate customers. In addition, the company offers PROS Digital Retail, a configurable end-to-end solution for airlines to optimize the traveler experience from inspiration to post-trip; and PROS digital offer marketing solutions provide performance content management and search engine marketing tools that enable businesses in the travel industry. Further, it provides software-related services, such as implementation, configuration, consulting, training, maintenance, and support services. The company sells its software solutions to customers in various industries, including automotive and industrial manufacturing, transportation and logistics, chemicals and energy, food and beverage, healthcare, high tech, and travel. It markets and sells its software solutions through its sales force, as well as through partners, resellers, and systems integrators. The company was incorporated in 1985 and is headquartered in Houston, Texas.",1528,"{'maxAge': 1, 'name': 'Mr. Damian W. Olthoff', 'age': 47, 'title': 'Chief Compliance Officer, Gen. Counsel & Corp. Sec.', 'yearBorn': 1975, 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,2,7,4,1693526400,1672444800,86400,2,33.0,32.75,32.29,32.86,33.0,32.75,32.29,32.86,0.0,1.123443,182.49998,445494,445494,356724,367250,367250,32.74,32.76,900,900,1517758592,20.32,38.96,5.2290163,34.979,28.66945,0.0,0.0,USD,1661965184,-0.21874,38263666,46202700,3710406,3909618,1690761600,1693440000,0.080299996,0.101789996,0.98445,10.8,0.0935,-1.115,1672444800,1703980800,1688083200,-63491000,-1.41,0.18,-8.04,5.726,-32.63,NYQ,EQUITY,PRO,PRO,"PROS Holdings, Inc.","PROS Holdings, Inc.",1185456600,America/New_York,EDT,-14400000,32.85,51.0,40.0,42.29,40.0,1.6,buy,7,184567008,3.995,-50934000,321844000,0.783,0.841,290256992,6.352,-0.088199995,166057000,-2315125,-23646000,0.109,0.61003,-0.17548001,-0.21776,USD,
5,3200 Kirby Drive,Suite 600,Houston,TX,77098,United States,713 335 5151,https://www.pros.com,Software—Application,Technology,"PROS Holdings, Inc. provides solutions that optimize the processes of selling and shopping in the digital economy worldwide. The company offers PROS Smart Configure Price Quote that improves sales productivity and accelerate deal velocity by automating common sales tasks; and PROS Smart Price Optimization and Management that enables businesses to optimize, personalize, and harmonize pricing across the complexity of their go-to-market channels in the context of dynamic market and competitive conditions. It also provides PROS Airline Revenue Optimization; PROS Airline Revenue Management solution that delivers algorithmic forecasting and network optimization for the travel industry; PROS Airline Real-Time Dynamic Pricing that offers accurate booking class availability and seat prices; PROS Airline Group Sales Optimizer, which enables airlines and their travel agent partners to create and manage group bookings, contracts, policies, and payments; and PROS Corporate Sales, a solution that enables airlines to create commercial agreements with their corporate customers. In addition, the company offers PROS Digital Retail, a configurable end-to-end solution for airlines to optimize the traveler experience from inspiration to post-trip; and PROS digital offer marketing solutions provide performance content management and search engine marketing tools that enable businesses in the travel industry. Further, it provides software-related services, such as implementation, configuration, consulting, training, maintenance, and support services. The company sells its software solutions to customers in various industries, including automotive and industrial manufacturing, transportation and logistics, chemicals and energy, food and beverage, healthcare, high tech, and travel. It markets and sells its software solutions through its sales force, as well as through partners, resellers, and systems integrators. The company was incorporated in 1985 and is headquartered in Houston, Texas.",1528,"{'maxAge': 1, 'name': 'Mr. Wilson  Conn', 'age': 58, 'title': 'Chief Marketing Officer', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,2,7,4,1693526400,1672444800,86400,2,33.0,32.75,32.29,32.86,33.0,32.75,32.29,32.86,0.0,1.123443,182.49998,445494,445494,356724,367250,367250,32.74,32.76,900,900,1517758592,20.32,38.96,5.2290163,34.979,28.66945,0.0,0.0,USD,1661965184,-0.21874,38263666,46202700,3710406,3909618,1690761600,1693440000,0.080299996,0.101789996,0.98445,10.8,0.0935,-1.115,1672444800,1703980800,1688083200,-63491000,-1.41,0.18,-8.04,5.726,-32.63,NYQ,EQUITY,PRO,PRO,"PROS Holdings, Inc.","PROS Holdings, Inc.",1185456600,America/New_York,EDT,-14400000,32.85,51.0,40.0,42.29,40.0,1.6,buy,7,184567008,3.995,-50934000,321844000,0.783,0.841,290256992,6.352,-0.088199995,166057000,-2315125,-23646000,0.109,0.61003,-0.17548001,-0.21776,USD,
6,3200 Kirby Drive,Suite 600,Houston,TX,77098,United States,713 335 5151,https://www.pros.com,Software—Application,Technology,"PROS Holdings, Inc. provides solutions that optimize the processes of selling and shopping in the digital economy worldwide. The company offers PROS Smart Configure Price Quote that improves sales productivity and accelerate deal velocity by automating common sales tasks; and PROS Smart Price Optimization and Management that enables businesses to optimize, personalize, and harmonize pricing across the complexity of their go-to-market channels in the context of dynamic market and competitive conditions. It also provides PROS Airline Revenue Optimization; PROS Airline Revenue Management solution that delivers algorithmic forecasting and network optimization for the travel industry; PROS Airline Real-Time Dynamic Pricing that offers accurate booking class availability and seat prices; PROS Airline Group Sales Optimizer, which enables airlines and their travel agent partners to create and manage group bookings, contracts, policies, and payments; and PROS Corporate Sales, a solution that enables airlines to create commercial agreements with their corporate customers. In addition, the company offers PROS Digital Retail, a configurable end-to-end solution for airlines to optimize the traveler experience from inspiration to post-trip; and PROS digital offer marketing solutions provide performance content management and search engine marketing tools that enable businesses in the travel industry. Further, it provides software-related services, such as implementation, configuration, consulting, training, maintenance, and support services. The company sells its software solutions to customers in various industries, including automotive and industrial manufacturing, transportation and logistics, chemicals and energy, food and beverage, healthcare, high tech, and travel. It markets and sells its software solutions through its sales force, as well as through partners, resellers, and systems integrators. The company was incorporated in 1985 and is headquartered in Houston, Texas.",1528,"{'maxAge': 1, 'name': 'Ms. Nikki  Brewer', 'age': 41, 'title': 'Chief People Officer', 'yearBorn': 1981, 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,2,7,4,1693526400,1672444800,86400,2,33.0,32.75,32.29,32.86,33.0,32.75,32.29,32.86,0.0,1.123443,182.49998,445494,445494,356724,367250,367250,32.74,32.76,900,900,1517758592,20.32,38.96,5.2290163,34.979,28.66945,0.0,0.0,USD,1661965184,-0.21874,38263666,46202700,3710406,3909618,1690761600,1693440000,0.080299996,0.101789996,0.98445,10.8,0.0935,-1.115,1672444800,1703980800,1688083200,-63491000,-1.41,0.18,-8.04,5.726,-32.63,NYQ,EQUITY,PRO,PRO,"PROS Holdings, Inc.","PROS Holdings, Inc.",1185456600,America/New_York,EDT,-14400000,32.85,51.0,40.0,42.29,40.0,1.6,buy,7,184567008,3.995,-50934000,321844000,0.783,0.841,290256992,6.352,-0.088199995,166057000,-2315125,-23646000,0.109,0.61003,-0.17548001,-0.21776,USD,
7,3200 Kirby Drive,Suite 600,Houston,TX,77098,United States,713 335 5151,https://www.pros.com,Software—Application,Technology,"PROS Holdings, Inc. provides solutions that optimize the processes of selling and shopping in the digital economy worldwide. The company offers PROS Smart Configure Price Quote that improves sales productivity and accelerate deal velocity by automating common sales tasks; and PROS Smart Price Optimization and Management that enables businesses to optimize, personalize, and harmonize pricing across the complexity of their go-to-market channels in the context of dynamic market and competitive conditions. It also provides PROS Airline Revenue Optimization; PROS Airline Revenue Management solution that delivers algorithmic forecasting and network optimization for the travel industry; PROS Airline Real-Time Dynamic Pricing that offers accurate booking class availability and seat prices; PROS Airline Group Sales Optimizer, which enables airlines and their travel agent partners to create and manage group bookings, contracts, policies, and payments; and PROS Corporate Sales, a solution that enables airlines to create commercial agreements with their corporate customers. In addition, the company offers PROS Digital Retail, a configurable end-to-end solution for airlines to optimize the traveler experience from inspiration to post-trip; and PROS digital offer marketing solutions provide performance content management and search engine marketing tools that enable businesses in the travel industry. Further, it provides software-related services, such as implementation, configuration, consulting, training, maintenance, and support services. The company sells its software solutions to customers in various industries, including automotive and industrial manufacturing, transportation and logistics, chemicals and energy, food and beverage, healthcare, high tech, and travel. It markets and sells its software solutions through its sales force, as well as through partners, resellers, and systems integrators. The company was incorporated in 1985 and is headquartered in Houston, Texas.",1528,"{'maxAge': 1, 'name': 'Mr. Surain R. Adyanthaya', 'age': 57, 'title': 'Pres of Travel', 'yearBorn': 1965, 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,2,7,4,1693526400,1672444800,86400,2,33.0,32.75,32.29,32.86,33.0,32.75,32.29,32.86,0.0,1.123443,182.49998,445494,445494,356724,367250,367250,32.74,32.76,900,900,1517758592,20.32,38.96,5.2290163,34.979,28.66945,0.0,0.0,USD,1661965184,-0.21874,38263666,46202700,3710406,3909618,1690761600,1693440000,0.080299996,0.101789996,0.98445,10.8,0.0935,-1.115,1672444800,1703980800,1688083200,-63491000,-1.41,0.18,-8.04,5.726,-32.63,NYQ,EQUITY,PRO,PRO,"PROS Holdings, Inc.","PROS Holdings, Inc.",1185456600,America/New_York,EDT,-14400000,32.85,51.0,40.0,42.29,40.0,1.6,buy,7,184567008,3.995,-50934000,321844000,0.783,0.841,290256992,6.352,-0.088199995,166057000,-2315125,-23646000,0.109,0.61003,-0.17548001,-0.21776,USD,
8,3200 Kirby Drive,Suite 600,Houston,TX,77098,United States,713 335 5151,https://www.pros.com,Software—Application,Technology,"PROS Holdings, Inc. provides solutions that optimize the processes of selling and shopping in the digital economy worldwide. The company offers PROS Smart Configure Price Quote that improves sales productivity and accelerate deal velocity by automating common sales tasks; and PROS Smart Price Optimization and Management that enables businesses to optimize, personalize, and harmonize pricing across the complexity of their go-to-market channels in the context of dynamic market and competitive conditions. It also provides PROS Airline Revenue Optimization; PROS Airline Revenue Management solution that delivers algorithmic forecasting and network optimization for the travel industry; PROS Airline Real-Time Dynamic Pricing that offers accurate booking class availability and seat prices; PROS Airline Group Sales Optimizer, which enables airlines and their travel agent partners to create and manage group bookings, contracts, policies, and payments; and PROS Corporate Sales, a solution that enables airlines to create commercial agreements with their corporate customers. In addition, the company offers PROS Digital Retail, a configurable end-to-end solution for airlines to optimize the traveler experience from inspiration to post-trip; and PROS digital offer marketing solutions provide performance content management and search engine marketing tools that enable businesses in the travel industry. Further, it provides software-related services, such as implementation, configuration, consulting, training, maintenance, and support services. The company sells its software solutions to customers in various industries, including automotive and industrial manufacturing, transportation and logistics, chemicals and energy, food and beverage, healthcare, high tech, and travel. It markets and sells its software solutions through its sales force, as well as through partners, resellers, and systems integrators. The company was incorporated in 1985 and is headquartered in Houston, Texas.",1528,"{'maxAge': 1, 'name': 'Mr. Tim C. Girgenti', 'age': 52, 'title': 'Chief Strategy Officer', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,2,7,4,1693526400,1672444800,86400,2,33.0,32.75,32.29,32.86,33.0,32.75,32.29,32.86,0.0,1.123443,182.49998,445494,445494,356724,367250,367250,32.74,32.76,900,900,1517758592,20.32,38.96,5.2290163,34.979,28.66945,0.0,0.0,USD,1661965184,-0.21874,38263666,46202700,3710406,3909618,1690761600,1693440000,0.080299996,0.101789996,0.98445,10.8,0.0935,-1.115,1672444800,1703980800,1688083200,-63491000,-1.41,0.18,-8.04,5.726,-32.63,NYQ,EQUITY,PRO,PRO,"PROS Holdings, Inc.","PROS Holdings, Inc.",1185456600,America/New_York,EDT,-14400000,32.85,51.0,40.0,42.29,40.0,1.6,buy,7,184567008,3.995,-50934000,321844000,0.783,0.841,290256992,6.352,-0.088199995,166057000,-2315125,-23646000,0.109,0.61003,-0.17548001,-0.21776,USD,
9,3200 Kirby Drive,Suite 600,Houston,TX,77098,United States,713 335 5151,https://www.pros.com,Software—Application,Technology,"PROS Holdings, Inc. provides solutions that optimize the processes of selling and shopping in the digital economy worldwide. The company offers PROS Smart Configure Price Quote that improves sales productivity and accelerate deal velocity by automating common sales tasks; and PROS Smart Price Optimization and Management that enables businesses to optimize, personalize, and harmonize pricing across the complexity of their go-to-market channels in the context of dynamic market and competitive conditions. It also provides PROS Airline Revenue Optimization; PROS Airline Revenue Management solution that delivers algorithmic forecasting and network optimization for the travel industry; PROS Airline Real-Time Dynamic Pricing that offers accurate booking class availability and seat prices; PROS Airline Group Sales Optimizer, which enables airlines and their travel agent partners to create and manage group bookings, contracts, policies, and payments; and PROS Corporate Sales, a solution that enables airlines to create commercial agreements with their corporate customers. In addition, the company offers PROS Digital Retail, a configurable end-to-end solution for airlines to optimize the traveler experience from inspiration to post-trip; and PROS digital offer marketing solutions provide performance content management and search engine marketing tools that enable businesses in the travel industry. Further, it provides software-related services, such as implementation, configuration, consulting, training, maintenance, and support services. The company sells its software solutions to customers in various industries, including automotive and industrial manufacturing, transportation and logistics, chemicals and energy, food and beverage, healthcare, high tech, and travel. It markets and sells its software solutions through its sales force, as well as through partners, resellers, and systems integrators. The company was incorporated in 1985 and is headquartered in Houston, Texas.",1528,"{'maxAge': 1, 'name': 'Mr. Craig  Zawada', 'age': 51, 'title': 'Chief Visionary Officer', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",4,2,2,7,4,1693526400,1672444800,86400,2,33.0,32.75,32.29,32.86,33.0,32.75,32.29,32.86,0.0,1.123443,182.49998,445494,445494,356724,367250,367250,32.74,32.76,900,900,1517758592,20.32,38.96,5.2290163,34.979,28.66945,0.0,0.0,USD,1661965184,-0.21874,38263666,46202700,3710406,3909618,1690761600,1693440000,0.080299996,0.101789996,0.98445,10.8,0.0935,-1.115,1672444800,1703980800,1688083200,-63491000,-1.41,0.18,-8.04,5.726,-32.63,NYQ,EQUITY,PRO,PRO,"PROS Holdings, Inc.","PROS Holdings, Inc.",1185456600,America/New_York,EDT,-14400000,32.85,51.0,40.0,42.29,40.0,1.6,buy,7,184567008,3.995,-50934000,321844000,0.783,0.841,290256992,6.352,-0.088199995,166057000,-2315125,-23646000,0.109,0.61003,-0.17548001,-0.21776,USD,
