,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,11100 Santa Monica Blvd.,Suite 800,Los Angeles,CA,90025,United States,310 966 1444,310 966 1448,https://brileyfin.com,Financial Conglomerates,Financial Services,"B. Riley Financial, Inc., through its subsidiaries, provides financial services to corporate, institutional, and high net worth clients in North America, Australia, and Europe. The company operates through six segments: Capital Markets, Wealth Management, Financial Consulting, Auction and Liquidation, Communications, and Consumer. The Capital Markets segments offers investment banking, equity research, institutional sales and trading, securities lending, fund and asset management, direct lending, venture capital, proprietary trading, and investment services; merger and acquisition, restructuring advisory, and recapitalization services; public and private equity offerings; and debt financing solutions. This segment also trades in equity securities. The Wealth Management segment provides wealth management and tax services. The Financial Consulting segment offers bankruptcy restructuring and turnaround management, forensic accounting and litigation support, valuation and appraisal, and real estate services. The Auction and Liquidation Segment provides auction and liquidation services. The Communications segment offers dial-up, mobile broadband and digital subscriber line services under the NetZero and Juno brands; cloud communication services; VoIP cloud-based technology and communication devices and subscription services through magicJack; and mobile phone voice, text, and data services and devices through Marconi Wireless. The Consumer segment provides licensing of trademarks; and sells laptop and computer accessories. The company was formerly known as Great American Group, Inc. and changed its name to B. Riley Financial, Inc. in November 2014. B. Riley Financial, Inc. was founded in 1973 and is headquartered in Los Angeles, California.",2210,"{'maxAge': 1, 'name': 'Mr. Bryant Richard Riley', 'age': 55, 'title': 'Co-Founder, Chairman & Co-CEO', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 1248758, 'exercisedValue': 0, 'unexercisedValue': 0}",10,7,8,2,7,1693526400,1672444800,86400,2,45.71,45.51,44.6,45.84,45.71,45.51,44.6,45.84,4.0,0.086,1691625600,2.4691,4.47,1.872752,28.23457,431858,431858,279800,225800,225800,45.41,45.62,800,800,1398354176,24.95,60.72,1.1184069,50.845,40.6124,4.0,0.08750821,USD,2733964800,0.043130003,16271218,30571800,2697595,3587025,1689292800,1692057600,0.088199995,0.49029,0.46598,8.09,0.1479,14.133,3.236397,1672444800,1703980800,1688083200,45897000,1.62,101:100,1480032000,2.187,NGM,EQUITY,RILY,RILY,"B. Riley Financial, Inc.","B. Riley Financial, Inc.",1187011800,America/New_York,EDT,-14400000,45.74,none,4118545920,134.717,5353162240,1.561,1.603,1250308992,1158.849,43.998,0.008169999,0.07293,-33775000,133657000,2.463,0.10099,0.0,0.07263,USD,
1,11100 Santa Monica Blvd.,Suite 800,Los Angeles,CA,90025,United States,310 966 1444,310 966 1448,https://brileyfin.com,Financial Conglomerates,Financial Services,"B. Riley Financial, Inc., through its subsidiaries, provides financial services to corporate, institutional, and high net worth clients in North America, Australia, and Europe. The company operates through six segments: Capital Markets, Wealth Management, Financial Consulting, Auction and Liquidation, Communications, and Consumer. The Capital Markets segments offers investment banking, equity research, institutional sales and trading, securities lending, fund and asset management, direct lending, venture capital, proprietary trading, and investment services; merger and acquisition, restructuring advisory, and recapitalization services; public and private equity offerings; and debt financing solutions. This segment also trades in equity securities. The Wealth Management segment provides wealth management and tax services. The Financial Consulting segment offers bankruptcy restructuring and turnaround management, forensic accounting and litigation support, valuation and appraisal, and real estate services. The Auction and Liquidation Segment provides auction and liquidation services. The Communications segment offers dial-up, mobile broadband and digital subscriber line services under the NetZero and Juno brands; cloud communication services; VoIP cloud-based technology and communication devices and subscription services through magicJack; and mobile phone voice, text, and data services and devices through Marconi Wireless. The Consumer segment provides licensing of trademarks; and sells laptop and computer accessories. The company was formerly known as Great American Group, Inc. and changed its name to B. Riley Financial, Inc. in November 2014. B. Riley Financial, Inc. was founded in 1973 and is headquartered in Los Angeles, California.",2210,"{'maxAge': 1, 'name': 'Mr. Thomas J. Kelleher', 'age': 55, 'title': 'Co-Founder, Co-CEO & Director', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 4048758, 'exercisedValue': 0, 'unexercisedValue': 0}",10,7,8,2,7,1693526400,1672444800,86400,2,45.71,45.51,44.6,45.84,45.71,45.51,44.6,45.84,4.0,0.086,1691625600,2.4691,4.47,1.872752,28.23457,431858,431858,279800,225800,225800,45.41,45.62,800,800,1398354176,24.95,60.72,1.1184069,50.845,40.6124,4.0,0.08750821,USD,2733964800,0.043130003,16271218,30571800,2697595,3587025,1689292800,1692057600,0.088199995,0.49029,0.46598,8.09,0.1479,14.133,3.236397,1672444800,1703980800,1688083200,45897000,1.62,101:100,1480032000,2.187,NGM,EQUITY,RILY,RILY,"B. Riley Financial, Inc.","B. Riley Financial, Inc.",1187011800,America/New_York,EDT,-14400000,45.74,none,4118545920,134.717,5353162240,1.561,1.603,1250308992,1158.849,43.998,0.008169999,0.07293,-33775000,133657000,2.463,0.10099,0.0,0.07263,USD,
2,11100 Santa Monica Blvd.,Suite 800,Los Angeles,CA,90025,United States,310 966 1444,310 966 1448,https://brileyfin.com,Financial Conglomerates,Financial Services,"B. Riley Financial, Inc., through its subsidiaries, provides financial services to corporate, institutional, and high net worth clients in North America, Australia, and Europe. The company operates through six segments: Capital Markets, Wealth Management, Financial Consulting, Auction and Liquidation, Communications, and Consumer. The Capital Markets segments offers investment banking, equity research, institutional sales and trading, securities lending, fund and asset management, direct lending, venture capital, proprietary trading, and investment services; merger and acquisition, restructuring advisory, and recapitalization services; public and private equity offerings; and debt financing solutions. This segment also trades in equity securities. The Wealth Management segment provides wealth management and tax services. The Financial Consulting segment offers bankruptcy restructuring and turnaround management, forensic accounting and litigation support, valuation and appraisal, and real estate services. The Auction and Liquidation Segment provides auction and liquidation services. The Communications segment offers dial-up, mobile broadband and digital subscriber line services under the NetZero and Juno brands; cloud communication services; VoIP cloud-based technology and communication devices and subscription services through magicJack; and mobile phone voice, text, and data services and devices through Marconi Wireless. The Consumer segment provides licensing of trademarks; and sells laptop and computer accessories. The company was formerly known as Great American Group, Inc. and changed its name to B. Riley Financial, Inc. in November 2014. B. Riley Financial, Inc. was founded in 1973 and is headquartered in Los Angeles, California.",2210,"{'maxAge': 1, 'name': 'Mr. Kenneth M. Young', 'age': 58, 'title': 'Pres', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 2468749, 'exercisedValue': 0, 'unexercisedValue': 0}",10,7,8,2,7,1693526400,1672444800,86400,2,45.71,45.51,44.6,45.84,45.71,45.51,44.6,45.84,4.0,0.086,1691625600,2.4691,4.47,1.872752,28.23457,431858,431858,279800,225800,225800,45.41,45.62,800,800,1398354176,24.95,60.72,1.1184069,50.845,40.6124,4.0,0.08750821,USD,2733964800,0.043130003,16271218,30571800,2697595,3587025,1689292800,1692057600,0.088199995,0.49029,0.46598,8.09,0.1479,14.133,3.236397,1672444800,1703980800,1688083200,45897000,1.62,101:100,1480032000,2.187,NGM,EQUITY,RILY,RILY,"B. Riley Financial, Inc.","B. Riley Financial, Inc.",1187011800,America/New_York,EDT,-14400000,45.74,none,4118545920,134.717,5353162240,1.561,1.603,1250308992,1158.849,43.998,0.008169999,0.07293,-33775000,133657000,2.463,0.10099,0.0,0.07263,USD,
3,11100 Santa Monica Blvd.,Suite 800,Los Angeles,CA,90025,United States,310 966 1444,310 966 1448,https://brileyfin.com,Financial Conglomerates,Financial Services,"B. Riley Financial, Inc., through its subsidiaries, provides financial services to corporate, institutional, and high net worth clients in North America, Australia, and Europe. The company operates through six segments: Capital Markets, Wealth Management, Financial Consulting, Auction and Liquidation, Communications, and Consumer. The Capital Markets segments offers investment banking, equity research, institutional sales and trading, securities lending, fund and asset management, direct lending, venture capital, proprietary trading, and investment services; merger and acquisition, restructuring advisory, and recapitalization services; public and private equity offerings; and debt financing solutions. This segment also trades in equity securities. The Wealth Management segment provides wealth management and tax services. The Financial Consulting segment offers bankruptcy restructuring and turnaround management, forensic accounting and litigation support, valuation and appraisal, and real estate services. The Auction and Liquidation Segment provides auction and liquidation services. The Communications segment offers dial-up, mobile broadband and digital subscriber line services under the NetZero and Juno brands; cloud communication services; VoIP cloud-based technology and communication devices and subscription services through magicJack; and mobile phone voice, text, and data services and devices through Marconi Wireless. The Consumer segment provides licensing of trademarks; and sells laptop and computer accessories. The company was formerly known as Great American Group, Inc. and changed its name to B. Riley Financial, Inc. in November 2014. B. Riley Financial, Inc. was founded in 1973 and is headquartered in Los Angeles, California.",2210,"{'maxAge': 1, 'name': 'Mr. Phillip  Ahn CFA', 'age': 52, 'title': 'CFO & COO', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 1389968, 'exercisedValue': 0, 'unexercisedValue': 0}",10,7,8,2,7,1693526400,1672444800,86400,2,45.71,45.51,44.6,45.84,45.71,45.51,44.6,45.84,4.0,0.086,1691625600,2.4691,4.47,1.872752,28.23457,431858,431858,279800,225800,225800,45.41,45.62,800,800,1398354176,24.95,60.72,1.1184069,50.845,40.6124,4.0,0.08750821,USD,2733964800,0.043130003,16271218,30571800,2697595,3587025,1689292800,1692057600,0.088199995,0.49029,0.46598,8.09,0.1479,14.133,3.236397,1672444800,1703980800,1688083200,45897000,1.62,101:100,1480032000,2.187,NGM,EQUITY,RILY,RILY,"B. Riley Financial, Inc.","B. Riley Financial, Inc.",1187011800,America/New_York,EDT,-14400000,45.74,none,4118545920,134.717,5353162240,1.561,1.603,1250308992,1158.849,43.998,0.008169999,0.07293,-33775000,133657000,2.463,0.10099,0.0,0.07263,USD,
4,11100 Santa Monica Blvd.,Suite 800,Los Angeles,CA,90025,United States,310 966 1444,310 966 1448,https://brileyfin.com,Financial Conglomerates,Financial Services,"B. Riley Financial, Inc., through its subsidiaries, provides financial services to corporate, institutional, and high net worth clients in North America, Australia, and Europe. The company operates through six segments: Capital Markets, Wealth Management, Financial Consulting, Auction and Liquidation, Communications, and Consumer. The Capital Markets segments offers investment banking, equity research, institutional sales and trading, securities lending, fund and asset management, direct lending, venture capital, proprietary trading, and investment services; merger and acquisition, restructuring advisory, and recapitalization services; public and private equity offerings; and debt financing solutions. This segment also trades in equity securities. The Wealth Management segment provides wealth management and tax services. The Financial Consulting segment offers bankruptcy restructuring and turnaround management, forensic accounting and litigation support, valuation and appraisal, and real estate services. The Auction and Liquidation Segment provides auction and liquidation services. The Communications segment offers dial-up, mobile broadband and digital subscriber line services under the NetZero and Juno brands; cloud communication services; VoIP cloud-based technology and communication devices and subscription services through magicJack; and mobile phone voice, text, and data services and devices through Marconi Wireless. The Consumer segment provides licensing of trademarks; and sells laptop and computer accessories. The company was formerly known as Great American Group, Inc. and changed its name to B. Riley Financial, Inc. in November 2014. B. Riley Financial, Inc. was founded in 1973 and is headquartered in Los Angeles, California.",2210,"{'maxAge': 1, 'name': 'Mr. Alan Neil Forman J.D.', 'age': 61, 'title': 'Exec. VP, Gen. Counsel & Sec.', 'yearBorn': 1961, 'fiscalYear': 2022, 'totalPay': 1284475, 'exercisedValue': 0, 'unexercisedValue': 0}",10,7,8,2,7,1693526400,1672444800,86400,2,45.71,45.51,44.6,45.84,45.71,45.51,44.6,45.84,4.0,0.086,1691625600,2.4691,4.47,1.872752,28.23457,431858,431858,279800,225800,225800,45.41,45.62,800,800,1398354176,24.95,60.72,1.1184069,50.845,40.6124,4.0,0.08750821,USD,2733964800,0.043130003,16271218,30571800,2697595,3587025,1689292800,1692057600,0.088199995,0.49029,0.46598,8.09,0.1479,14.133,3.236397,1672444800,1703980800,1688083200,45897000,1.62,101:100,1480032000,2.187,NGM,EQUITY,RILY,RILY,"B. Riley Financial, Inc.","B. Riley Financial, Inc.",1187011800,America/New_York,EDT,-14400000,45.74,none,4118545920,134.717,5353162240,1.561,1.603,1250308992,1158.849,43.998,0.008169999,0.07293,-33775000,133657000,2.463,0.10099,0.0,0.07263,USD,
5,11100 Santa Monica Blvd.,Suite 800,Los Angeles,CA,90025,United States,310 966 1444,310 966 1448,https://brileyfin.com,Financial Conglomerates,Financial Services,"B. Riley Financial, Inc., through its subsidiaries, provides financial services to corporate, institutional, and high net worth clients in North America, Australia, and Europe. The company operates through six segments: Capital Markets, Wealth Management, Financial Consulting, Auction and Liquidation, Communications, and Consumer. The Capital Markets segments offers investment banking, equity research, institutional sales and trading, securities lending, fund and asset management, direct lending, venture capital, proprietary trading, and investment services; merger and acquisition, restructuring advisory, and recapitalization services; public and private equity offerings; and debt financing solutions. This segment also trades in equity securities. The Wealth Management segment provides wealth management and tax services. The Financial Consulting segment offers bankruptcy restructuring and turnaround management, forensic accounting and litigation support, valuation and appraisal, and real estate services. The Auction and Liquidation Segment provides auction and liquidation services. The Communications segment offers dial-up, mobile broadband and digital subscriber line services under the NetZero and Juno brands; cloud communication services; VoIP cloud-based technology and communication devices and subscription services through magicJack; and mobile phone voice, text, and data services and devices through Marconi Wireless. The Consumer segment provides licensing of trademarks; and sells laptop and computer accessories. The company was formerly known as Great American Group, Inc. and changed its name to B. Riley Financial, Inc. in November 2014. B. Riley Financial, Inc. was founded in 1973 and is headquartered in Los Angeles, California.",2210,"{'maxAge': 1, 'name': 'Mr. Andrew Thomas Moore', 'age': 45, 'title': 'Chief Exec. Officer of B. Riley Securities, Inc.,', 'yearBorn': 1977, 'fiscalYear': 2022, 'totalPay': 1939174, 'exercisedValue': 0, 'unexercisedValue': 0}",10,7,8,2,7,1693526400,1672444800,86400,2,45.71,45.51,44.6,45.84,45.71,45.51,44.6,45.84,4.0,0.086,1691625600,2.4691,4.47,1.872752,28.23457,431858,431858,279800,225800,225800,45.41,45.62,800,800,1398354176,24.95,60.72,1.1184069,50.845,40.6124,4.0,0.08750821,USD,2733964800,0.043130003,16271218,30571800,2697595,3587025,1689292800,1692057600,0.088199995,0.49029,0.46598,8.09,0.1479,14.133,3.236397,1672444800,1703980800,1688083200,45897000,1.62,101:100,1480032000,2.187,NGM,EQUITY,RILY,RILY,"B. Riley Financial, Inc.","B. Riley Financial, Inc.",1187011800,America/New_York,EDT,-14400000,45.74,none,4118545920,134.717,5353162240,1.561,1.603,1250308992,1158.849,43.998,0.008169999,0.07293,-33775000,133657000,2.463,0.10099,0.0,0.07263,USD,
6,11100 Santa Monica Blvd.,Suite 800,Los Angeles,CA,90025,United States,310 966 1444,310 966 1448,https://brileyfin.com,Financial Conglomerates,Financial Services,"B. Riley Financial, Inc., through its subsidiaries, provides financial services to corporate, institutional, and high net worth clients in North America, Australia, and Europe. The company operates through six segments: Capital Markets, Wealth Management, Financial Consulting, Auction and Liquidation, Communications, and Consumer. The Capital Markets segments offers investment banking, equity research, institutional sales and trading, securities lending, fund and asset management, direct lending, venture capital, proprietary trading, and investment services; merger and acquisition, restructuring advisory, and recapitalization services; public and private equity offerings; and debt financing solutions. This segment also trades in equity securities. The Wealth Management segment provides wealth management and tax services. The Financial Consulting segment offers bankruptcy restructuring and turnaround management, forensic accounting and litigation support, valuation and appraisal, and real estate services. The Auction and Liquidation Segment provides auction and liquidation services. The Communications segment offers dial-up, mobile broadband and digital subscriber line services under the NetZero and Juno brands; cloud communication services; VoIP cloud-based technology and communication devices and subscription services through magicJack; and mobile phone voice, text, and data services and devices through Marconi Wireless. The Consumer segment provides licensing of trademarks; and sells laptop and computer accessories. The company was formerly known as Great American Group, Inc. and changed its name to B. Riley Financial, Inc. in November 2014. B. Riley Financial, Inc. was founded in 1973 and is headquartered in Los Angeles, California.",2210,"{'maxAge': 1, 'name': 'Mr. Daniel  Shribman', 'age': 38, 'title': 'Chief Investment Officer', 'yearBorn': 1984, 'exercisedValue': 0, 'unexercisedValue': 0}",10,7,8,2,7,1693526400,1672444800,86400,2,45.71,45.51,44.6,45.84,45.71,45.51,44.6,45.84,4.0,0.086,1691625600,2.4691,4.47,1.872752,28.23457,431858,431858,279800,225800,225800,45.41,45.62,800,800,1398354176,24.95,60.72,1.1184069,50.845,40.6124,4.0,0.08750821,USD,2733964800,0.043130003,16271218,30571800,2697595,3587025,1689292800,1692057600,0.088199995,0.49029,0.46598,8.09,0.1479,14.133,3.236397,1672444800,1703980800,1688083200,45897000,1.62,101:100,1480032000,2.187,NGM,EQUITY,RILY,RILY,"B. Riley Financial, Inc.","B. Riley Financial, Inc.",1187011800,America/New_York,EDT,-14400000,45.74,none,4118545920,134.717,5353162240,1.561,1.603,1250308992,1158.849,43.998,0.008169999,0.07293,-33775000,133657000,2.463,0.10099,0.0,0.07263,USD,
7,11100 Santa Monica Blvd.,Suite 800,Los Angeles,CA,90025,United States,310 966 1444,310 966 1448,https://brileyfin.com,Financial Conglomerates,Financial Services,"B. Riley Financial, Inc., through its subsidiaries, provides financial services to corporate, institutional, and high net worth clients in North America, Australia, and Europe. The company operates through six segments: Capital Markets, Wealth Management, Financial Consulting, Auction and Liquidation, Communications, and Consumer. The Capital Markets segments offers investment banking, equity research, institutional sales and trading, securities lending, fund and asset management, direct lending, venture capital, proprietary trading, and investment services; merger and acquisition, restructuring advisory, and recapitalization services; public and private equity offerings; and debt financing solutions. This segment also trades in equity securities. The Wealth Management segment provides wealth management and tax services. The Financial Consulting segment offers bankruptcy restructuring and turnaround management, forensic accounting and litigation support, valuation and appraisal, and real estate services. The Auction and Liquidation Segment provides auction and liquidation services. The Communications segment offers dial-up, mobile broadband and digital subscriber line services under the NetZero and Juno brands; cloud communication services; VoIP cloud-based technology and communication devices and subscription services through magicJack; and mobile phone voice, text, and data services and devices through Marconi Wireless. The Consumer segment provides licensing of trademarks; and sells laptop and computer accessories. The company was formerly known as Great American Group, Inc. and changed its name to B. Riley Financial, Inc. in November 2014. B. Riley Financial, Inc. was founded in 1973 and is headquartered in Los Angeles, California.",2210,"{'maxAge': 1, 'name': 'Mr. Howard E. Weitzman', 'age': 60, 'title': 'Chief Accounting Officer & Sr. VP', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}",10,7,8,2,7,1693526400,1672444800,86400,2,45.71,45.51,44.6,45.84,45.71,45.51,44.6,45.84,4.0,0.086,1691625600,2.4691,4.47,1.872752,28.23457,431858,431858,279800,225800,225800,45.41,45.62,800,800,1398354176,24.95,60.72,1.1184069,50.845,40.6124,4.0,0.08750821,USD,2733964800,0.043130003,16271218,30571800,2697595,3587025,1689292800,1692057600,0.088199995,0.49029,0.46598,8.09,0.1479,14.133,3.236397,1672444800,1703980800,1688083200,45897000,1.62,101:100,1480032000,2.187,NGM,EQUITY,RILY,RILY,"B. Riley Financial, Inc.","B. Riley Financial, Inc.",1187011800,America/New_York,EDT,-14400000,45.74,none,4118545920,134.717,5353162240,1.561,1.603,1250308992,1158.849,43.998,0.008169999,0.07293,-33775000,133657000,2.463,0.10099,0.0,0.07263,USD,
8,11100 Santa Monica Blvd.,Suite 800,Los Angeles,CA,90025,United States,310 966 1444,310 966 1448,https://brileyfin.com,Financial Conglomerates,Financial Services,"B. Riley Financial, Inc., through its subsidiaries, provides financial services to corporate, institutional, and high net worth clients in North America, Australia, and Europe. The company operates through six segments: Capital Markets, Wealth Management, Financial Consulting, Auction and Liquidation, Communications, and Consumer. The Capital Markets segments offers investment banking, equity research, institutional sales and trading, securities lending, fund and asset management, direct lending, venture capital, proprietary trading, and investment services; merger and acquisition, restructuring advisory, and recapitalization services; public and private equity offerings; and debt financing solutions. This segment also trades in equity securities. The Wealth Management segment provides wealth management and tax services. The Financial Consulting segment offers bankruptcy restructuring and turnaround management, forensic accounting and litigation support, valuation and appraisal, and real estate services. The Auction and Liquidation Segment provides auction and liquidation services. The Communications segment offers dial-up, mobile broadband and digital subscriber line services under the NetZero and Juno brands; cloud communication services; VoIP cloud-based technology and communication devices and subscription services through magicJack; and mobile phone voice, text, and data services and devices through Marconi Wireless. The Consumer segment provides licensing of trademarks; and sells laptop and computer accessories. The company was formerly known as Great American Group, Inc. and changed its name to B. Riley Financial, Inc. in November 2014. B. Riley Financial, Inc. was founded in 1973 and is headquartered in Los Angeles, California.",2210,"{'maxAge': 1, 'name': 'Mr. Perry M. Mandarino', 'title': 'Head of Corp. Fin. & Sr. MD', 'exercisedValue': 0, 'unexercisedValue': 0}",10,7,8,2,7,1693526400,1672444800,86400,2,45.71,45.51,44.6,45.84,45.71,45.51,44.6,45.84,4.0,0.086,1691625600,2.4691,4.47,1.872752,28.23457,431858,431858,279800,225800,225800,45.41,45.62,800,800,1398354176,24.95,60.72,1.1184069,50.845,40.6124,4.0,0.08750821,USD,2733964800,0.043130003,16271218,30571800,2697595,3587025,1689292800,1692057600,0.088199995,0.49029,0.46598,8.09,0.1479,14.133,3.236397,1672444800,1703980800,1688083200,45897000,1.62,101:100,1480032000,2.187,NGM,EQUITY,RILY,RILY,"B. Riley Financial, Inc.","B. Riley Financial, Inc.",1187011800,America/New_York,EDT,-14400000,45.74,none,4118545920,134.717,5353162240,1.561,1.603,1250308992,1158.849,43.998,0.008169999,0.07293,-33775000,133657000,2.463,0.10099,0.0,0.07263,USD,
9,11100 Santa Monica Blvd.,Suite 800,Los Angeles,CA,90025,United States,310 966 1444,310 966 1448,https://brileyfin.com,Financial Conglomerates,Financial Services,"B. Riley Financial, Inc., through its subsidiaries, provides financial services to corporate, institutional, and high net worth clients in North America, Australia, and Europe. The company operates through six segments: Capital Markets, Wealth Management, Financial Consulting, Auction and Liquidation, Communications, and Consumer. The Capital Markets segments offers investment banking, equity research, institutional sales and trading, securities lending, fund and asset management, direct lending, venture capital, proprietary trading, and investment services; merger and acquisition, restructuring advisory, and recapitalization services; public and private equity offerings; and debt financing solutions. This segment also trades in equity securities. The Wealth Management segment provides wealth management and tax services. The Financial Consulting segment offers bankruptcy restructuring and turnaround management, forensic accounting and litigation support, valuation and appraisal, and real estate services. The Auction and Liquidation Segment provides auction and liquidation services. The Communications segment offers dial-up, mobile broadband and digital subscriber line services under the NetZero and Juno brands; cloud communication services; VoIP cloud-based technology and communication devices and subscription services through magicJack; and mobile phone voice, text, and data services and devices through Marconi Wireless. The Consumer segment provides licensing of trademarks; and sells laptop and computer accessories. The company was formerly known as Great American Group, Inc. and changed its name to B. Riley Financial, Inc. in November 2014. B. Riley Financial, Inc. was founded in 1973 and is headquartered in Los Angeles, California.",2210,"{'maxAge': 1, 'name': 'Mr. Timothy  Wood', 'title': 'Chief Information Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",10,7,8,2,7,1693526400,1672444800,86400,2,45.71,45.51,44.6,45.84,45.71,45.51,44.6,45.84,4.0,0.086,1691625600,2.4691,4.47,1.872752,28.23457,431858,431858,279800,225800,225800,45.41,45.62,800,800,1398354176,24.95,60.72,1.1184069,50.845,40.6124,4.0,0.08750821,USD,2733964800,0.043130003,16271218,30571800,2697595,3587025,1689292800,1692057600,0.088199995,0.49029,0.46598,8.09,0.1479,14.133,3.236397,1672444800,1703980800,1688083200,45897000,1.62,101:100,1480032000,2.187,NGM,EQUITY,RILY,RILY,"B. Riley Financial, Inc.","B. Riley Financial, Inc.",1187011800,America/New_York,EDT,-14400000,45.74,none,4118545920,134.717,5353162240,1.561,1.603,1250308992,1158.849,43.998,0.008169999,0.07293,-33775000,133657000,2.463,0.10099,0.0,0.07263,USD,
