,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,totalDebt,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,209 Troy Street,Tupelo,MS,38804-4827,United States,662 680 1001,https://investors.renasant.com,Banks—Regional,Financial Services,"Renasant Corporation operates as a bank holding company for Renasant Bank that provides a range of financial, wealth management, fiduciary, and insurance services to retail and commercial customers. It operates through three segments: Community Banks, Insurance, and Wealth Management. The Community Banks segment offers checking and savings accounts, business and personal loans, asset-based lending, and factoring equipment leasing services, as well as safe deposit and night depository facilities. It also provides commercial, financial, and agricultural loans; equipment financing and leasing; real estate1-4 family mortgage; real estatecommercial mortgage; real estateconstruction loans for the construction of single family residential properties, multi-family properties, and commercial projects; installment loans to individuals; and interim construction loans, as well as automated teller machine (ATM), online and mobile banking, call center, and treasury management services. The Insurance segment provides insurance agency services, such as commercial and personal insurance products through insurance carriers. The Wealth Management segment offers a range of wealth management and fiduciary services, including administration and management of trust accounts, such as personal and corporate benefit accounts, and custodial accounts, as well as accounting and money management for trust accounts; annuities, mutual funds, and other investment services through a third party broker-dealer; administrative and compliance services; and qualified retirement plans, IRAs, employee benefit plans, personal trusts, and estates. Renasant Corporation was founded in 1904 and is headquartered in Tupelo, Mississippi.",2334,"{'maxAge': 1, 'name': 'Mr. Edward Robinson McGraw', 'age': 75, 'title': 'Exec. Chairman', 'yearBorn': 1947, 'fiscalYear': 2022, 'totalPay': 1626448, 'exercisedValue': 0, 'unexercisedValue': 0}",5,7,3,7,5,1693526400,1672444800,86400,2,24.6,24.8,24.8,25.0,24.6,24.8,24.8,25.0,0.83,0.033099998,1694649600,0.2215,2.64,1.124135,8.928572,10.204082,65,65,0,0,0,24.8,25.0,1403422464,21.8,40.8,2.2206156,26.268,29.252,0.88,0.035772357,EUR,1139862528,0.26513,54440968,56136900,0.026689999,0.77537,39.347,0.63537246,1672444800,1703980800,1688083200,-0.278,167564000,2.8,2.45,1.14,1.804,FRA,EQUITY,RN6.F,RN6.F,RENASANT CORP.  DL 5,Renasant Corporation,1291014000,Europe/Berlin,CEST,7200000,25.0,47.25,37.0,38.75,37.0,3.0,hold,7,985644992,17.558,722086016,631996992,11.285,0.0099,0.07748,606763000,192799008,-0.281,-0.029,0.0,0.0,0.34552,USD,
1,209 Troy Street,Tupelo,MS,38804-4827,United States,662 680 1001,https://investors.renasant.com,Banks—Regional,Financial Services,"Renasant Corporation operates as a bank holding company for Renasant Bank that provides a range of financial, wealth management, fiduciary, and insurance services to retail and commercial customers. It operates through three segments: Community Banks, Insurance, and Wealth Management. The Community Banks segment offers checking and savings accounts, business and personal loans, asset-based lending, and factoring equipment leasing services, as well as safe deposit and night depository facilities. It also provides commercial, financial, and agricultural loans; equipment financing and leasing; real estate1-4 family mortgage; real estatecommercial mortgage; real estateconstruction loans for the construction of single family residential properties, multi-family properties, and commercial projects; installment loans to individuals; and interim construction loans, as well as automated teller machine (ATM), online and mobile banking, call center, and treasury management services. The Insurance segment provides insurance agency services, such as commercial and personal insurance products through insurance carriers. The Wealth Management segment offers a range of wealth management and fiduciary services, including administration and management of trust accounts, such as personal and corporate benefit accounts, and custodial accounts, as well as accounting and money management for trust accounts; annuities, mutual funds, and other investment services through a third party broker-dealer; administrative and compliance services; and qualified retirement plans, IRAs, employee benefit plans, personal trusts, and estates. Renasant Corporation was founded in 1904 and is headquartered in Tupelo, Mississippi.",2334,"{'maxAge': 1, 'name': 'Mr. C. Mitchell Waycaster', 'age': 63, 'title': 'CEO & Exec. Vice Chairman', 'yearBorn': 1959, 'fiscalYear': 2022, 'totalPay': 2340755, 'exercisedValue': 0, 'unexercisedValue': 0}",5,7,3,7,5,1693526400,1672444800,86400,2,24.6,24.8,24.8,25.0,24.6,24.8,24.8,25.0,0.83,0.033099998,1694649600,0.2215,2.64,1.124135,8.928572,10.204082,65,65,0,0,0,24.8,25.0,1403422464,21.8,40.8,2.2206156,26.268,29.252,0.88,0.035772357,EUR,1139862528,0.26513,54440968,56136900,0.026689999,0.77537,39.347,0.63537246,1672444800,1703980800,1688083200,-0.278,167564000,2.8,2.45,1.14,1.804,FRA,EQUITY,RN6.F,RN6.F,RENASANT CORP.  DL 5,Renasant Corporation,1291014000,Europe/Berlin,CEST,7200000,25.0,47.25,37.0,38.75,37.0,3.0,hold,7,985644992,17.558,722086016,631996992,11.285,0.0099,0.07748,606763000,192799008,-0.281,-0.029,0.0,0.0,0.34552,USD,
2,209 Troy Street,Tupelo,MS,38804-4827,United States,662 680 1001,https://investors.renasant.com,Banks—Regional,Financial Services,"Renasant Corporation operates as a bank holding company for Renasant Bank that provides a range of financial, wealth management, fiduciary, and insurance services to retail and commercial customers. It operates through three segments: Community Banks, Insurance, and Wealth Management. The Community Banks segment offers checking and savings accounts, business and personal loans, asset-based lending, and factoring equipment leasing services, as well as safe deposit and night depository facilities. It also provides commercial, financial, and agricultural loans; equipment financing and leasing; real estate1-4 family mortgage; real estatecommercial mortgage; real estateconstruction loans for the construction of single family residential properties, multi-family properties, and commercial projects; installment loans to individuals; and interim construction loans, as well as automated teller machine (ATM), online and mobile banking, call center, and treasury management services. The Insurance segment provides insurance agency services, such as commercial and personal insurance products through insurance carriers. The Wealth Management segment offers a range of wealth management and fiduciary services, including administration and management of trust accounts, such as personal and corporate benefit accounts, and custodial accounts, as well as accounting and money management for trust accounts; annuities, mutual funds, and other investment services through a third party broker-dealer; administrative and compliance services; and qualified retirement plans, IRAs, employee benefit plans, personal trusts, and estates. Renasant Corporation was founded in 1904 and is headquartered in Tupelo, Mississippi.",2334,"{'maxAge': 1, 'name': 'Mr. Kevin D. Chapman', 'age': 46, 'title': 'Pres & COO', 'yearBorn': 1976, 'fiscalYear': 2022, 'totalPay': 1484531, 'exercisedValue': 0, 'unexercisedValue': 0}",5,7,3,7,5,1693526400,1672444800,86400,2,24.6,24.8,24.8,25.0,24.6,24.8,24.8,25.0,0.83,0.033099998,1694649600,0.2215,2.64,1.124135,8.928572,10.204082,65,65,0,0,0,24.8,25.0,1403422464,21.8,40.8,2.2206156,26.268,29.252,0.88,0.035772357,EUR,1139862528,0.26513,54440968,56136900,0.026689999,0.77537,39.347,0.63537246,1672444800,1703980800,1688083200,-0.278,167564000,2.8,2.45,1.14,1.804,FRA,EQUITY,RN6.F,RN6.F,RENASANT CORP.  DL 5,Renasant Corporation,1291014000,Europe/Berlin,CEST,7200000,25.0,47.25,37.0,38.75,37.0,3.0,hold,7,985644992,17.558,722086016,631996992,11.285,0.0099,0.07748,606763000,192799008,-0.281,-0.029,0.0,0.0,0.34552,USD,
3,209 Troy Street,Tupelo,MS,38804-4827,United States,662 680 1001,https://investors.renasant.com,Banks—Regional,Financial Services,"Renasant Corporation operates as a bank holding company for Renasant Bank that provides a range of financial, wealth management, fiduciary, and insurance services to retail and commercial customers. It operates through three segments: Community Banks, Insurance, and Wealth Management. The Community Banks segment offers checking and savings accounts, business and personal loans, asset-based lending, and factoring equipment leasing services, as well as safe deposit and night depository facilities. It also provides commercial, financial, and agricultural loans; equipment financing and leasing; real estate1-4 family mortgage; real estatecommercial mortgage; real estateconstruction loans for the construction of single family residential properties, multi-family properties, and commercial projects; installment loans to individuals; and interim construction loans, as well as automated teller machine (ATM), online and mobile banking, call center, and treasury management services. The Insurance segment provides insurance agency services, such as commercial and personal insurance products through insurance carriers. The Wealth Management segment offers a range of wealth management and fiduciary services, including administration and management of trust accounts, such as personal and corporate benefit accounts, and custodial accounts, as well as accounting and money management for trust accounts; annuities, mutual funds, and other investment services through a third party broker-dealer; administrative and compliance services; and qualified retirement plans, IRAs, employee benefit plans, personal trusts, and estates. Renasant Corporation was founded in 1904 and is headquartered in Tupelo, Mississippi.",2334,"{'maxAge': 1, 'name': 'Mr. James C. Mabry IV', 'age': 64, 'title': 'Exec. VP & CFO', 'yearBorn': 1958, 'fiscalYear': 2022, 'totalPay': 1392300, 'exercisedValue': 0, 'unexercisedValue': 0}",5,7,3,7,5,1693526400,1672444800,86400,2,24.6,24.8,24.8,25.0,24.6,24.8,24.8,25.0,0.83,0.033099998,1694649600,0.2215,2.64,1.124135,8.928572,10.204082,65,65,0,0,0,24.8,25.0,1403422464,21.8,40.8,2.2206156,26.268,29.252,0.88,0.035772357,EUR,1139862528,0.26513,54440968,56136900,0.026689999,0.77537,39.347,0.63537246,1672444800,1703980800,1688083200,-0.278,167564000,2.8,2.45,1.14,1.804,FRA,EQUITY,RN6.F,RN6.F,RENASANT CORP.  DL 5,Renasant Corporation,1291014000,Europe/Berlin,CEST,7200000,25.0,47.25,37.0,38.75,37.0,3.0,hold,7,985644992,17.558,722086016,631996992,11.285,0.0099,0.07748,606763000,192799008,-0.281,-0.029,0.0,0.0,0.34552,USD,
4,209 Troy Street,Tupelo,MS,38804-4827,United States,662 680 1001,https://investors.renasant.com,Banks—Regional,Financial Services,"Renasant Corporation operates as a bank holding company for Renasant Bank that provides a range of financial, wealth management, fiduciary, and insurance services to retail and commercial customers. It operates through three segments: Community Banks, Insurance, and Wealth Management. The Community Banks segment offers checking and savings accounts, business and personal loans, asset-based lending, and factoring equipment leasing services, as well as safe deposit and night depository facilities. It also provides commercial, financial, and agricultural loans; equipment financing and leasing; real estate1-4 family mortgage; real estatecommercial mortgage; real estateconstruction loans for the construction of single family residential properties, multi-family properties, and commercial projects; installment loans to individuals; and interim construction loans, as well as automated teller machine (ATM), online and mobile banking, call center, and treasury management services. The Insurance segment provides insurance agency services, such as commercial and personal insurance products through insurance carriers. The Wealth Management segment offers a range of wealth management and fiduciary services, including administration and management of trust accounts, such as personal and corporate benefit accounts, and custodial accounts, as well as accounting and money management for trust accounts; annuities, mutual funds, and other investment services through a third party broker-dealer; administrative and compliance services; and qualified retirement plans, IRAs, employee benefit plans, personal trusts, and estates. Renasant Corporation was founded in 1904 and is headquartered in Tupelo, Mississippi.",2334,"{'maxAge': 1, 'name': 'Mr. Curtis J. Perry', 'age': 59, 'title': 'Exec. VP', 'yearBorn': 1963, 'fiscalYear': 2022, 'totalPay': 1116456, 'exercisedValue': 0, 'unexercisedValue': 0}",5,7,3,7,5,1693526400,1672444800,86400,2,24.6,24.8,24.8,25.0,24.6,24.8,24.8,25.0,0.83,0.033099998,1694649600,0.2215,2.64,1.124135,8.928572,10.204082,65,65,0,0,0,24.8,25.0,1403422464,21.8,40.8,2.2206156,26.268,29.252,0.88,0.035772357,EUR,1139862528,0.26513,54440968,56136900,0.026689999,0.77537,39.347,0.63537246,1672444800,1703980800,1688083200,-0.278,167564000,2.8,2.45,1.14,1.804,FRA,EQUITY,RN6.F,RN6.F,RENASANT CORP.  DL 5,Renasant Corporation,1291014000,Europe/Berlin,CEST,7200000,25.0,47.25,37.0,38.75,37.0,3.0,hold,7,985644992,17.558,722086016,631996992,11.285,0.0099,0.07748,606763000,192799008,-0.281,-0.029,0.0,0.0,0.34552,USD,
5,209 Troy Street,Tupelo,MS,38804-4827,United States,662 680 1001,https://investors.renasant.com,Banks—Regional,Financial Services,"Renasant Corporation operates as a bank holding company for Renasant Bank that provides a range of financial, wealth management, fiduciary, and insurance services to retail and commercial customers. It operates through three segments: Community Banks, Insurance, and Wealth Management. The Community Banks segment offers checking and savings accounts, business and personal loans, asset-based lending, and factoring equipment leasing services, as well as safe deposit and night depository facilities. It also provides commercial, financial, and agricultural loans; equipment financing and leasing; real estate1-4 family mortgage; real estatecommercial mortgage; real estateconstruction loans for the construction of single family residential properties, multi-family properties, and commercial projects; installment loans to individuals; and interim construction loans, as well as automated teller machine (ATM), online and mobile banking, call center, and treasury management services. The Insurance segment provides insurance agency services, such as commercial and personal insurance products through insurance carriers. The Wealth Management segment offers a range of wealth management and fiduciary services, including administration and management of trust accounts, such as personal and corporate benefit accounts, and custodial accounts, as well as accounting and money management for trust accounts; annuities, mutual funds, and other investment services through a third party broker-dealer; administrative and compliance services; and qualified retirement plans, IRAs, employee benefit plans, personal trusts, and estates. Renasant Corporation was founded in 1904 and is headquartered in Tupelo, Mississippi.",2334,"{'maxAge': 1, 'name': 'Ms. Kelly W. Hutcheson', 'age': 39, 'title': 'Exec. VP & Chief Accounting Officer', 'yearBorn': 1983, 'exercisedValue': 0, 'unexercisedValue': 0}",5,7,3,7,5,1693526400,1672444800,86400,2,24.6,24.8,24.8,25.0,24.6,24.8,24.8,25.0,0.83,0.033099998,1694649600,0.2215,2.64,1.124135,8.928572,10.204082,65,65,0,0,0,24.8,25.0,1403422464,21.8,40.8,2.2206156,26.268,29.252,0.88,0.035772357,EUR,1139862528,0.26513,54440968,56136900,0.026689999,0.77537,39.347,0.63537246,1672444800,1703980800,1688083200,-0.278,167564000,2.8,2.45,1.14,1.804,FRA,EQUITY,RN6.F,RN6.F,RENASANT CORP.  DL 5,Renasant Corporation,1291014000,Europe/Berlin,CEST,7200000,25.0,47.25,37.0,38.75,37.0,3.0,hold,7,985644992,17.558,722086016,631996992,11.285,0.0099,0.07748,606763000,192799008,-0.281,-0.029,0.0,0.0,0.34552,USD,
6,209 Troy Street,Tupelo,MS,38804-4827,United States,662 680 1001,https://investors.renasant.com,Banks—Regional,Financial Services,"Renasant Corporation operates as a bank holding company for Renasant Bank that provides a range of financial, wealth management, fiduciary, and insurance services to retail and commercial customers. It operates through three segments: Community Banks, Insurance, and Wealth Management. The Community Banks segment offers checking and savings accounts, business and personal loans, asset-based lending, and factoring equipment leasing services, as well as safe deposit and night depository facilities. It also provides commercial, financial, and agricultural loans; equipment financing and leasing; real estate1-4 family mortgage; real estatecommercial mortgage; real estateconstruction loans for the construction of single family residential properties, multi-family properties, and commercial projects; installment loans to individuals; and interim construction loans, as well as automated teller machine (ATM), online and mobile banking, call center, and treasury management services. The Insurance segment provides insurance agency services, such as commercial and personal insurance products through insurance carriers. The Wealth Management segment offers a range of wealth management and fiduciary services, including administration and management of trust accounts, such as personal and corporate benefit accounts, and custodial accounts, as well as accounting and money management for trust accounts; annuities, mutual funds, and other investment services through a third party broker-dealer; administrative and compliance services; and qualified retirement plans, IRAs, employee benefit plans, personal trusts, and estates. Renasant Corporation was founded in 1904 and is headquartered in Tupelo, Mississippi.",2334,"{'maxAge': 1, 'name': 'Mr. Mark W. Jeanfreau', 'age': 46, 'title': 'Exec. VP, Gen. Counsel & Sec.', 'yearBorn': 1976, 'exercisedValue': 0, 'unexercisedValue': 0}",5,7,3,7,5,1693526400,1672444800,86400,2,24.6,24.8,24.8,25.0,24.6,24.8,24.8,25.0,0.83,0.033099998,1694649600,0.2215,2.64,1.124135,8.928572,10.204082,65,65,0,0,0,24.8,25.0,1403422464,21.8,40.8,2.2206156,26.268,29.252,0.88,0.035772357,EUR,1139862528,0.26513,54440968,56136900,0.026689999,0.77537,39.347,0.63537246,1672444800,1703980800,1688083200,-0.278,167564000,2.8,2.45,1.14,1.804,FRA,EQUITY,RN6.F,RN6.F,RENASANT CORP.  DL 5,Renasant Corporation,1291014000,Europe/Berlin,CEST,7200000,25.0,47.25,37.0,38.75,37.0,3.0,hold,7,985644992,17.558,722086016,631996992,11.285,0.0099,0.07748,606763000,192799008,-0.281,-0.029,0.0,0.0,0.34552,USD,
7,209 Troy Street,Tupelo,MS,38804-4827,United States,662 680 1001,https://investors.renasant.com,Banks—Regional,Financial Services,"Renasant Corporation operates as a bank holding company for Renasant Bank that provides a range of financial, wealth management, fiduciary, and insurance services to retail and commercial customers. It operates through three segments: Community Banks, Insurance, and Wealth Management. The Community Banks segment offers checking and savings accounts, business and personal loans, asset-based lending, and factoring equipment leasing services, as well as safe deposit and night depository facilities. It also provides commercial, financial, and agricultural loans; equipment financing and leasing; real estate1-4 family mortgage; real estatecommercial mortgage; real estateconstruction loans for the construction of single family residential properties, multi-family properties, and commercial projects; installment loans to individuals; and interim construction loans, as well as automated teller machine (ATM), online and mobile banking, call center, and treasury management services. The Insurance segment provides insurance agency services, such as commercial and personal insurance products through insurance carriers. The Wealth Management segment offers a range of wealth management and fiduciary services, including administration and management of trust accounts, such as personal and corporate benefit accounts, and custodial accounts, as well as accounting and money management for trust accounts; annuities, mutual funds, and other investment services through a third party broker-dealer; administrative and compliance services; and qualified retirement plans, IRAs, employee benefit plans, personal trusts, and estates. Renasant Corporation was founded in 1904 and is headquartered in Tupelo, Mississippi.",2334,"{'maxAge': 1, 'name': 'Mr. John Sterling Oxford', 'age': 45, 'title': 'Chief Marketing Officer', 'yearBorn': 1977, 'exercisedValue': 0, 'unexercisedValue': 0}",5,7,3,7,5,1693526400,1672444800,86400,2,24.6,24.8,24.8,25.0,24.6,24.8,24.8,25.0,0.83,0.033099998,1694649600,0.2215,2.64,1.124135,8.928572,10.204082,65,65,0,0,0,24.8,25.0,1403422464,21.8,40.8,2.2206156,26.268,29.252,0.88,0.035772357,EUR,1139862528,0.26513,54440968,56136900,0.026689999,0.77537,39.347,0.63537246,1672444800,1703980800,1688083200,-0.278,167564000,2.8,2.45,1.14,1.804,FRA,EQUITY,RN6.F,RN6.F,RENASANT CORP.  DL 5,Renasant Corporation,1291014000,Europe/Berlin,CEST,7200000,25.0,47.25,37.0,38.75,37.0,3.0,hold,7,985644992,17.558,722086016,631996992,11.285,0.0099,0.07748,606763000,192799008,-0.281,-0.029,0.0,0.0,0.34552,USD,
8,209 Troy Street,Tupelo,MS,38804-4827,United States,662 680 1001,https://investors.renasant.com,Banks—Regional,Financial Services,"Renasant Corporation operates as a bank holding company for Renasant Bank that provides a range of financial, wealth management, fiduciary, and insurance services to retail and commercial customers. It operates through three segments: Community Banks, Insurance, and Wealth Management. The Community Banks segment offers checking and savings accounts, business and personal loans, asset-based lending, and factoring equipment leasing services, as well as safe deposit and night depository facilities. It also provides commercial, financial, and agricultural loans; equipment financing and leasing; real estate1-4 family mortgage; real estatecommercial mortgage; real estateconstruction loans for the construction of single family residential properties, multi-family properties, and commercial projects; installment loans to individuals; and interim construction loans, as well as automated teller machine (ATM), online and mobile banking, call center, and treasury management services. The Insurance segment provides insurance agency services, such as commercial and personal insurance products through insurance carriers. The Wealth Management segment offers a range of wealth management and fiduciary services, including administration and management of trust accounts, such as personal and corporate benefit accounts, and custodial accounts, as well as accounting and money management for trust accounts; annuities, mutual funds, and other investment services through a third party broker-dealer; administrative and compliance services; and qualified retirement plans, IRAs, employee benefit plans, personal trusts, and estates. Renasant Corporation was founded in 1904 and is headquartered in Tupelo, Mississippi.",2334,"{'maxAge': 1, 'name': 'Mr. Stuart R. Johnson', 'age': 68, 'title': 'Exec. VP', 'yearBorn': 1954, 'fiscalYear': 2012, 'exercisedValue': 0, 'unexercisedValue': 0}",5,7,3,7,5,1693526400,1672444800,86400,2,24.6,24.8,24.8,25.0,24.6,24.8,24.8,25.0,0.83,0.033099998,1694649600,0.2215,2.64,1.124135,8.928572,10.204082,65,65,0,0,0,24.8,25.0,1403422464,21.8,40.8,2.2206156,26.268,29.252,0.88,0.035772357,EUR,1139862528,0.26513,54440968,56136900,0.026689999,0.77537,39.347,0.63537246,1672444800,1703980800,1688083200,-0.278,167564000,2.8,2.45,1.14,1.804,FRA,EQUITY,RN6.F,RN6.F,RENASANT CORP.  DL 5,Renasant Corporation,1291014000,Europe/Berlin,CEST,7200000,25.0,47.25,37.0,38.75,37.0,3.0,hold,7,985644992,17.558,722086016,631996992,11.285,0.0099,0.07748,606763000,192799008,-0.281,-0.029,0.0,0.0,0.34552,USD,
9,209 Troy Street,Tupelo,MS,38804-4827,United States,662 680 1001,https://investors.renasant.com,Banks—Regional,Financial Services,"Renasant Corporation operates as a bank holding company for Renasant Bank that provides a range of financial, wealth management, fiduciary, and insurance services to retail and commercial customers. It operates through three segments: Community Banks, Insurance, and Wealth Management. The Community Banks segment offers checking and savings accounts, business and personal loans, asset-based lending, and factoring equipment leasing services, as well as safe deposit and night depository facilities. It also provides commercial, financial, and agricultural loans; equipment financing and leasing; real estate1-4 family mortgage; real estatecommercial mortgage; real estateconstruction loans for the construction of single family residential properties, multi-family properties, and commercial projects; installment loans to individuals; and interim construction loans, as well as automated teller machine (ATM), online and mobile banking, call center, and treasury management services. The Insurance segment provides insurance agency services, such as commercial and personal insurance products through insurance carriers. The Wealth Management segment offers a range of wealth management and fiduciary services, including administration and management of trust accounts, such as personal and corporate benefit accounts, and custodial accounts, as well as accounting and money management for trust accounts; annuities, mutual funds, and other investment services through a third party broker-dealer; administrative and compliance services; and qualified retirement plans, IRAs, employee benefit plans, personal trusts, and estates. Renasant Corporation was founded in 1904 and is headquartered in Tupelo, Mississippi.",2334,"{'maxAge': 1, 'name': 'Mr. James W. Gray', 'age': 65, 'title': 'Exec. VP', 'yearBorn': 1957, 'fiscalYear': 2006, 'exercisedValue': 0, 'unexercisedValue': 0}",5,7,3,7,5,1693526400,1672444800,86400,2,24.6,24.8,24.8,25.0,24.6,24.8,24.8,25.0,0.83,0.033099998,1694649600,0.2215,2.64,1.124135,8.928572,10.204082,65,65,0,0,0,24.8,25.0,1403422464,21.8,40.8,2.2206156,26.268,29.252,0.88,0.035772357,EUR,1139862528,0.26513,54440968,56136900,0.026689999,0.77537,39.347,0.63537246,1672444800,1703980800,1688083200,-0.278,167564000,2.8,2.45,1.14,1.804,FRA,EQUITY,RN6.F,RN6.F,RENASANT CORP.  DL 5,Renasant Corporation,1291014000,Europe/Berlin,CEST,7200000,25.0,47.25,37.0,38.75,37.0,3.0,hold,7,985644992,17.558,722086016,631996992,11.285,0.0099,0.07748,606763000,192799008,-0.281,-0.029,0.0,0.0,0.34552,USD,
