,address1,address2,city,zip,country,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,C23 5 & 6 Cobalt Park Way,Cobalt Business Park,Newcastle upon Tyne,NE28 9EJ,United Kingdom,https://www.sage.com,Software—Application,Technology,"The Sage Group plc, together with its subsidiaries, provides technology solutions and services for small and medium businesses in North America, Northern Europe, and internationally. It offers cloud native solutions, such as Sage Intacct, a cloud accounting software products and financial management software; Sage People, a HR and people management solution; Sage 200, a finance and business management solution; Sage X3, a business management solution; Sage Accounting, a solution for small businesses, accountants, and bookkeepers to manage customer data, accounts, and people; Sage Payroll for small businesses manage their payroll; and Sage HR for small and mid-sized businesses for record management, leave management, staff scheduling, and expenses services. The company also provides Sage 50cloud and Sage 200cloud that provides a range of cloud connected accounting solutions. The company was founded in 1981 and is based in Newcastle upon Tyne, the United Kingdom.",11574,"{'maxAge': 1, 'name': 'Mr. Stephen  Hare ACA, B.A., B.Com', 'age': 61, 'title': 'CEO & Exec. Director', 'yearBorn': 1961, 'fiscalYear': 2022, 'totalPay': 2164000, 'exercisedValue': 0, 'unexercisedValue': 0}",3,3,1,1,2,1693526400,1672444800,86400,2,1039.0,1044.0,1028.0,1055.0,1039.0,1044.0,1028.0,1055.0,0.19,0.018099999,1685577600,0.9132,2.46,0.52027,5142.5,29.656862,6749007,6749007,2868632,2850199,2850199,1027.0,1034.5,0,0,10558272512,665.6,1055.0,5.0277486,954.724,837.955,0.186,0.00017901829,GBp,11180591104,0.09905,1003002815,1026569984,0.0067000003,0.69341004,1.281,802.88837,1664496000,1696032000,1680220800,-0.342,208000000,0.2,34.68,2.14,77:81,1370822400,5.324,28.742,LSE,EQUITY,SGE.L,SGE.L,SAGE GROUP PLC ORD 1 4/77P,The Sage Group plc,629539200,Europe/London,BST,3600000,1028.5,1270.0,800.0,973.85,970.0,2.3,buy,20,575000000,0.564,389000000,1266000000,0.858,0.858,2100000000,96.937,2.064,0.05822,0.16574,1809000000,294000000,321000000,-0.342,0.164,0.93047994,0.18524,0.16285999,GBP,2.2709
1,C23 5 & 6 Cobalt Park Way,Cobalt Business Park,Newcastle upon Tyne,NE28 9EJ,United Kingdom,https://www.sage.com,Software—Application,Technology,"The Sage Group plc, together with its subsidiaries, provides technology solutions and services for small and medium businesses in North America, Northern Europe, and internationally. It offers cloud native solutions, such as Sage Intacct, a cloud accounting software products and financial management software; Sage People, a HR and people management solution; Sage 200, a finance and business management solution; Sage X3, a business management solution; Sage Accounting, a solution for small businesses, accountants, and bookkeepers to manage customer data, accounts, and people; Sage Payroll for small businesses manage their payroll; and Sage HR for small and mid-sized businesses for record management, leave management, staff scheduling, and expenses services. The company also provides Sage 50cloud and Sage 200cloud that provides a range of cloud connected accounting solutions. The company was founded in 1981 and is based in Newcastle upon Tyne, the United Kingdom.",11574,"{'maxAge': 1, 'name': 'Mr. Jonathan Anton George Howell', 'age': 59, 'title': 'CFO & Director', 'yearBorn': 1963, 'fiscalYear': 2022, 'totalPay': 1466000, 'exercisedValue': 0, 'unexercisedValue': 0}",3,3,1,1,2,1693526400,1672444800,86400,2,1039.0,1044.0,1028.0,1055.0,1039.0,1044.0,1028.0,1055.0,0.19,0.018099999,1685577600,0.9132,2.46,0.52027,5142.5,29.656862,6749007,6749007,2868632,2850199,2850199,1027.0,1034.5,0,0,10558272512,665.6,1055.0,5.0277486,954.724,837.955,0.186,0.00017901829,GBp,11180591104,0.09905,1003002815,1026569984,0.0067000003,0.69341004,1.281,802.88837,1664496000,1696032000,1680220800,-0.342,208000000,0.2,34.68,2.14,77:81,1370822400,5.324,28.742,LSE,EQUITY,SGE.L,SGE.L,SAGE GROUP PLC ORD 1 4/77P,The Sage Group plc,629539200,Europe/London,BST,3600000,1028.5,1270.0,800.0,973.85,970.0,2.3,buy,20,575000000,0.564,389000000,1266000000,0.858,0.858,2100000000,96.937,2.064,0.05822,0.16574,1809000000,294000000,321000000,-0.342,0.164,0.93047994,0.18524,0.16285999,GBP,2.2709
2,C23 5 & 6 Cobalt Park Way,Cobalt Business Park,Newcastle upon Tyne,NE28 9EJ,United Kingdom,https://www.sage.com,Software—Application,Technology,"The Sage Group plc, together with its subsidiaries, provides technology solutions and services for small and medium businesses in North America, Northern Europe, and internationally. It offers cloud native solutions, such as Sage Intacct, a cloud accounting software products and financial management software; Sage People, a HR and people management solution; Sage 200, a finance and business management solution; Sage X3, a business management solution; Sage Accounting, a solution for small businesses, accountants, and bookkeepers to manage customer data, accounts, and people; Sage Payroll for small businesses manage their payroll; and Sage HR for small and mid-sized businesses for record management, leave management, staff scheduling, and expenses services. The company also provides Sage 50cloud and Sage 200cloud that provides a range of cloud connected accounting solutions. The company was founded in 1981 and is based in Newcastle upon Tyne, the United Kingdom.",11574,"{'maxAge': 1, 'name': 'Mr. Aaron  Harris', 'title': 'Chief Technology Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",3,3,1,1,2,1693526400,1672444800,86400,2,1039.0,1044.0,1028.0,1055.0,1039.0,1044.0,1028.0,1055.0,0.19,0.018099999,1685577600,0.9132,2.46,0.52027,5142.5,29.656862,6749007,6749007,2868632,2850199,2850199,1027.0,1034.5,0,0,10558272512,665.6,1055.0,5.0277486,954.724,837.955,0.186,0.00017901829,GBp,11180591104,0.09905,1003002815,1026569984,0.0067000003,0.69341004,1.281,802.88837,1664496000,1696032000,1680220800,-0.342,208000000,0.2,34.68,2.14,77:81,1370822400,5.324,28.742,LSE,EQUITY,SGE.L,SGE.L,SAGE GROUP PLC ORD 1 4/77P,The Sage Group plc,629539200,Europe/London,BST,3600000,1028.5,1270.0,800.0,973.85,970.0,2.3,buy,20,575000000,0.564,389000000,1266000000,0.858,0.858,2100000000,96.937,2.064,0.05822,0.16574,1809000000,294000000,321000000,-0.342,0.164,0.93047994,0.18524,0.16285999,GBP,2.2709
3,C23 5 & 6 Cobalt Park Way,Cobalt Business Park,Newcastle upon Tyne,NE28 9EJ,United Kingdom,https://www.sage.com,Software—Application,Technology,"The Sage Group plc, together with its subsidiaries, provides technology solutions and services for small and medium businesses in North America, Northern Europe, and internationally. It offers cloud native solutions, such as Sage Intacct, a cloud accounting software products and financial management software; Sage People, a HR and people management solution; Sage 200, a finance and business management solution; Sage X3, a business management solution; Sage Accounting, a solution for small businesses, accountants, and bookkeepers to manage customer data, accounts, and people; Sage Payroll for small businesses manage their payroll; and Sage HR for small and mid-sized businesses for record management, leave management, staff scheduling, and expenses services. The company also provides Sage 50cloud and Sage 200cloud that provides a range of cloud connected accounting solutions. The company was founded in 1981 and is based in Newcastle upon Tyne, the United Kingdom.",11574,"{'maxAge': 1, 'name': 'James  Sandford', 'title': 'VP of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",3,3,1,1,2,1693526400,1672444800,86400,2,1039.0,1044.0,1028.0,1055.0,1039.0,1044.0,1028.0,1055.0,0.19,0.018099999,1685577600,0.9132,2.46,0.52027,5142.5,29.656862,6749007,6749007,2868632,2850199,2850199,1027.0,1034.5,0,0,10558272512,665.6,1055.0,5.0277486,954.724,837.955,0.186,0.00017901829,GBp,11180591104,0.09905,1003002815,1026569984,0.0067000003,0.69341004,1.281,802.88837,1664496000,1696032000,1680220800,-0.342,208000000,0.2,34.68,2.14,77:81,1370822400,5.324,28.742,LSE,EQUITY,SGE.L,SGE.L,SAGE GROUP PLC ORD 1 4/77P,The Sage Group plc,629539200,Europe/London,BST,3600000,1028.5,1270.0,800.0,973.85,970.0,2.3,buy,20,575000000,0.564,389000000,1266000000,0.858,0.858,2100000000,96.937,2.064,0.05822,0.16574,1809000000,294000000,321000000,-0.342,0.164,0.93047994,0.18524,0.16285999,GBP,2.2709
4,C23 5 & 6 Cobalt Park Way,Cobalt Business Park,Newcastle upon Tyne,NE28 9EJ,United Kingdom,https://www.sage.com,Software—Application,Technology,"The Sage Group plc, together with its subsidiaries, provides technology solutions and services for small and medium businesses in North America, Northern Europe, and internationally. It offers cloud native solutions, such as Sage Intacct, a cloud accounting software products and financial management software; Sage People, a HR and people management solution; Sage 200, a finance and business management solution; Sage X3, a business management solution; Sage Accounting, a solution for small businesses, accountants, and bookkeepers to manage customer data, accounts, and people; Sage Payroll for small businesses manage their payroll; and Sage HR for small and mid-sized businesses for record management, leave management, staff scheduling, and expenses services. The company also provides Sage 50cloud and Sage 200cloud that provides a range of cloud connected accounting solutions. The company was founded in 1981 and is based in Newcastle upon Tyne, the United Kingdom.",11574,"{'maxAge': 1, 'name': 'Ms. Victoria  Bradin', 'age': 44, 'title': 'Gen. Counsel & Company Sec.', 'yearBorn': 1978, 'exercisedValue': 0, 'unexercisedValue': 0}",3,3,1,1,2,1693526400,1672444800,86400,2,1039.0,1044.0,1028.0,1055.0,1039.0,1044.0,1028.0,1055.0,0.19,0.018099999,1685577600,0.9132,2.46,0.52027,5142.5,29.656862,6749007,6749007,2868632,2850199,2850199,1027.0,1034.5,0,0,10558272512,665.6,1055.0,5.0277486,954.724,837.955,0.186,0.00017901829,GBp,11180591104,0.09905,1003002815,1026569984,0.0067000003,0.69341004,1.281,802.88837,1664496000,1696032000,1680220800,-0.342,208000000,0.2,34.68,2.14,77:81,1370822400,5.324,28.742,LSE,EQUITY,SGE.L,SGE.L,SAGE GROUP PLC ORD 1 4/77P,The Sage Group plc,629539200,Europe/London,BST,3600000,1028.5,1270.0,800.0,973.85,970.0,2.3,buy,20,575000000,0.564,389000000,1266000000,0.858,0.858,2100000000,96.937,2.064,0.05822,0.16574,1809000000,294000000,321000000,-0.342,0.164,0.93047994,0.18524,0.16285999,GBP,2.2709
5,C23 5 & 6 Cobalt Park Way,Cobalt Business Park,Newcastle upon Tyne,NE28 9EJ,United Kingdom,https://www.sage.com,Software—Application,Technology,"The Sage Group plc, together with its subsidiaries, provides technology solutions and services for small and medium businesses in North America, Northern Europe, and internationally. It offers cloud native solutions, such as Sage Intacct, a cloud accounting software products and financial management software; Sage People, a HR and people management solution; Sage 200, a finance and business management solution; Sage X3, a business management solution; Sage Accounting, a solution for small businesses, accountants, and bookkeepers to manage customer data, accounts, and people; Sage Payroll for small businesses manage their payroll; and Sage HR for small and mid-sized businesses for record management, leave management, staff scheduling, and expenses services. The company also provides Sage 50cloud and Sage 200cloud that provides a range of cloud connected accounting solutions. The company was founded in 1981 and is based in Newcastle upon Tyne, the United Kingdom.",11574,"{'maxAge': 1, 'name': 'Ms. Catherine Jane Keers', 'age': 57, 'title': 'Chief Marketing Officer', 'yearBorn': 1965, 'fiscalYear': 2020, 'exercisedValue': 0, 'unexercisedValue': 0}",3,3,1,1,2,1693526400,1672444800,86400,2,1039.0,1044.0,1028.0,1055.0,1039.0,1044.0,1028.0,1055.0,0.19,0.018099999,1685577600,0.9132,2.46,0.52027,5142.5,29.656862,6749007,6749007,2868632,2850199,2850199,1027.0,1034.5,0,0,10558272512,665.6,1055.0,5.0277486,954.724,837.955,0.186,0.00017901829,GBp,11180591104,0.09905,1003002815,1026569984,0.0067000003,0.69341004,1.281,802.88837,1664496000,1696032000,1680220800,-0.342,208000000,0.2,34.68,2.14,77:81,1370822400,5.324,28.742,LSE,EQUITY,SGE.L,SGE.L,SAGE GROUP PLC ORD 1 4/77P,The Sage Group plc,629539200,Europe/London,BST,3600000,1028.5,1270.0,800.0,973.85,970.0,2.3,buy,20,575000000,0.564,389000000,1266000000,0.858,0.858,2100000000,96.937,2.064,0.05822,0.16574,1809000000,294000000,321000000,-0.342,0.164,0.93047994,0.18524,0.16285999,GBP,2.2709
6,C23 5 & 6 Cobalt Park Way,Cobalt Business Park,Newcastle upon Tyne,NE28 9EJ,United Kingdom,https://www.sage.com,Software—Application,Technology,"The Sage Group plc, together with its subsidiaries, provides technology solutions and services for small and medium businesses in North America, Northern Europe, and internationally. It offers cloud native solutions, such as Sage Intacct, a cloud accounting software products and financial management software; Sage People, a HR and people management solution; Sage 200, a finance and business management solution; Sage X3, a business management solution; Sage Accounting, a solution for small businesses, accountants, and bookkeepers to manage customer data, accounts, and people; Sage Payroll for small businesses manage their payroll; and Sage HR for small and mid-sized businesses for record management, leave management, staff scheduling, and expenses services. The company also provides Sage 50cloud and Sage 200cloud that provides a range of cloud connected accounting solutions. The company was founded in 1981 and is based in Newcastle upon Tyne, the United Kingdom.",11574,"{'maxAge': 1, 'name': 'Ms. Amanda  Cusdin', 'age': 45, 'title': 'Chief People Officer', 'yearBorn': 1977, 'exercisedValue': 0, 'unexercisedValue': 0}",3,3,1,1,2,1693526400,1672444800,86400,2,1039.0,1044.0,1028.0,1055.0,1039.0,1044.0,1028.0,1055.0,0.19,0.018099999,1685577600,0.9132,2.46,0.52027,5142.5,29.656862,6749007,6749007,2868632,2850199,2850199,1027.0,1034.5,0,0,10558272512,665.6,1055.0,5.0277486,954.724,837.955,0.186,0.00017901829,GBp,11180591104,0.09905,1003002815,1026569984,0.0067000003,0.69341004,1.281,802.88837,1664496000,1696032000,1680220800,-0.342,208000000,0.2,34.68,2.14,77:81,1370822400,5.324,28.742,LSE,EQUITY,SGE.L,SGE.L,SAGE GROUP PLC ORD 1 4/77P,The Sage Group plc,629539200,Europe/London,BST,3600000,1028.5,1270.0,800.0,973.85,970.0,2.3,buy,20,575000000,0.564,389000000,1266000000,0.858,0.858,2100000000,96.937,2.064,0.05822,0.16574,1809000000,294000000,321000000,-0.342,0.164,0.93047994,0.18524,0.16285999,GBP,2.2709
7,C23 5 & 6 Cobalt Park Way,Cobalt Business Park,Newcastle upon Tyne,NE28 9EJ,United Kingdom,https://www.sage.com,Software—Application,Technology,"The Sage Group plc, together with its subsidiaries, provides technology solutions and services for small and medium businesses in North America, Northern Europe, and internationally. It offers cloud native solutions, such as Sage Intacct, a cloud accounting software products and financial management software; Sage People, a HR and people management solution; Sage 200, a finance and business management solution; Sage X3, a business management solution; Sage Accounting, a solution for small businesses, accountants, and bookkeepers to manage customer data, accounts, and people; Sage Payroll for small businesses manage their payroll; and Sage HR for small and mid-sized businesses for record management, leave management, staff scheduling, and expenses services. The company also provides Sage 50cloud and Sage 200cloud that provides a range of cloud connected accounting solutions. The company was founded in 1981 and is based in Newcastle upon Tyne, the United Kingdom.",11574,"{'maxAge': 1, 'name': 'Mr. Rainer  Downar', 'title': 'Managing Director of Central Europe', 'exercisedValue': 0, 'unexercisedValue': 0}",3,3,1,1,2,1693526400,1672444800,86400,2,1039.0,1044.0,1028.0,1055.0,1039.0,1044.0,1028.0,1055.0,0.19,0.018099999,1685577600,0.9132,2.46,0.52027,5142.5,29.656862,6749007,6749007,2868632,2850199,2850199,1027.0,1034.5,0,0,10558272512,665.6,1055.0,5.0277486,954.724,837.955,0.186,0.00017901829,GBp,11180591104,0.09905,1003002815,1026569984,0.0067000003,0.69341004,1.281,802.88837,1664496000,1696032000,1680220800,-0.342,208000000,0.2,34.68,2.14,77:81,1370822400,5.324,28.742,LSE,EQUITY,SGE.L,SGE.L,SAGE GROUP PLC ORD 1 4/77P,The Sage Group plc,629539200,Europe/London,BST,3600000,1028.5,1270.0,800.0,973.85,970.0,2.3,buy,20,575000000,0.564,389000000,1266000000,0.858,0.858,2100000000,96.937,2.064,0.05822,0.16574,1809000000,294000000,321000000,-0.342,0.164,0.93047994,0.18524,0.16285999,GBP,2.2709
8,C23 5 & 6 Cobalt Park Way,Cobalt Business Park,Newcastle upon Tyne,NE28 9EJ,United Kingdom,https://www.sage.com,Software—Application,Technology,"The Sage Group plc, together with its subsidiaries, provides technology solutions and services for small and medium businesses in North America, Northern Europe, and internationally. It offers cloud native solutions, such as Sage Intacct, a cloud accounting software products and financial management software; Sage People, a HR and people management solution; Sage 200, a finance and business management solution; Sage X3, a business management solution; Sage Accounting, a solution for small businesses, accountants, and bookkeepers to manage customer data, accounts, and people; Sage Payroll for small businesses manage their payroll; and Sage HR for small and mid-sized businesses for record management, leave management, staff scheduling, and expenses services. The company also provides Sage 50cloud and Sage 200cloud that provides a range of cloud connected accounting solutions. The company was founded in 1981 and is based in Newcastle upon Tyne, the United Kingdom.",11574,"{'maxAge': 1, 'name': 'Mr. Derk  Bleeker', 'title': 'Pres of EMEA', 'exercisedValue': 0, 'unexercisedValue': 0}",3,3,1,1,2,1693526400,1672444800,86400,2,1039.0,1044.0,1028.0,1055.0,1039.0,1044.0,1028.0,1055.0,0.19,0.018099999,1685577600,0.9132,2.46,0.52027,5142.5,29.656862,6749007,6749007,2868632,2850199,2850199,1027.0,1034.5,0,0,10558272512,665.6,1055.0,5.0277486,954.724,837.955,0.186,0.00017901829,GBp,11180591104,0.09905,1003002815,1026569984,0.0067000003,0.69341004,1.281,802.88837,1664496000,1696032000,1680220800,-0.342,208000000,0.2,34.68,2.14,77:81,1370822400,5.324,28.742,LSE,EQUITY,SGE.L,SGE.L,SAGE GROUP PLC ORD 1 4/77P,The Sage Group plc,629539200,Europe/London,BST,3600000,1028.5,1270.0,800.0,973.85,970.0,2.3,buy,20,575000000,0.564,389000000,1266000000,0.858,0.858,2100000000,96.937,2.064,0.05822,0.16574,1809000000,294000000,321000000,-0.342,0.164,0.93047994,0.18524,0.16285999,GBP,2.2709
9,C23 5 & 6 Cobalt Park Way,Cobalt Business Park,Newcastle upon Tyne,NE28 9EJ,United Kingdom,https://www.sage.com,Software—Application,Technology,"The Sage Group plc, together with its subsidiaries, provides technology solutions and services for small and medium businesses in North America, Northern Europe, and internationally. It offers cloud native solutions, such as Sage Intacct, a cloud accounting software products and financial management software; Sage People, a HR and people management solution; Sage 200, a finance and business management solution; Sage X3, a business management solution; Sage Accounting, a solution for small businesses, accountants, and bookkeepers to manage customer data, accounts, and people; Sage Payroll for small businesses manage their payroll; and Sage HR for small and mid-sized businesses for record management, leave management, staff scheduling, and expenses services. The company also provides Sage 50cloud and Sage 200cloud that provides a range of cloud connected accounting solutions. The company was founded in 1981 and is based in Newcastle upon Tyne, the United Kingdom.",11574,"{'maxAge': 1, 'name': 'Ms. Amy  Lawson', 'title': 'Chief Corp. Affairs Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",3,3,1,1,2,1693526400,1672444800,86400,2,1039.0,1044.0,1028.0,1055.0,1039.0,1044.0,1028.0,1055.0,0.19,0.018099999,1685577600,0.9132,2.46,0.52027,5142.5,29.656862,6749007,6749007,2868632,2850199,2850199,1027.0,1034.5,0,0,10558272512,665.6,1055.0,5.0277486,954.724,837.955,0.186,0.00017901829,GBp,11180591104,0.09905,1003002815,1026569984,0.0067000003,0.69341004,1.281,802.88837,1664496000,1696032000,1680220800,-0.342,208000000,0.2,34.68,2.14,77:81,1370822400,5.324,28.742,LSE,EQUITY,SGE.L,SGE.L,SAGE GROUP PLC ORD 1 4/77P,The Sage Group plc,629539200,Europe/London,BST,3600000,1028.5,1270.0,800.0,973.85,970.0,2.3,buy,20,575000000,0.564,389000000,1266000000,0.858,0.858,2100000000,96.937,2.064,0.05822,0.16574,1809000000,294000000,321000000,-0.342,0.164,0.93047994,0.18524,0.16285999,GBP,2.2709
